,number,value,datetime_start,datetime_complete,duration,params_ADP_ASML_beta_win,params_ADP_ASML_stop_loss,params_ADP_ASML_trade_freq,params_ADP_ASML_z_entry,params_ADP_ASML_z_exit,params_ADP_ASML_z_stop_scaler,params_ADP_ASML_z_win,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_AMZN_MRVL_beta_win,params_AMZN_MRVL_stop_loss,params_AMZN_MRVL_trade_freq,params_AMZN_MRVL_z_entry,params_AMZN_MRVL_z_exit,params_AMZN_MRVL_z_stop_scaler,params_AMZN_MRVL_z_win,params_AZN_ANSS_beta_win,params_AZN_ANSS_stop_loss,params_AZN_ANSS_trade_freq,params_AZN_ANSS_z_entry,params_AZN_ANSS_z_exit,params_AZN_ANSS_z_stop_scaler,params_AZN_ANSS_z_win,params_CSCO_DASH_beta_win,params_CSCO_DASH_stop_loss,params_CSCO_DASH_trade_freq,params_CSCO_DASH_z_entry,params_CSCO_DASH_z_exit,params_CSCO_DASH_z_stop_scaler,params_CSCO_DASH_z_win,params_CSCO_FTNT_beta_win,params_CSCO_FTNT_stop_loss,params_CSCO_FTNT_trade_freq,params_CSCO_FTNT_z_entry,params_CSCO_FTNT_z_exit,params_CSCO_FTNT_z_stop_scaler,params_CSCO_FTNT_z_win,params_CSCO_META_beta_win,params_CSCO_META_stop_loss,params_CSCO_META_trade_freq,params_CSCO_META_z_entry,params_CSCO_META_z_exit,params_CSCO_META_z_stop_scaler,params_CSCO_META_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,0.008956731563633486,2025-06-14 20:11:38.554667,2025-06-14 20:11:39.622260,0 days 00:00:01.067593,,,,,,,,640,0.006,1m,3.0,1.0,0.5,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,0.049031027359375846,2025-06-14 20:11:39.689375,2025-06-14 20:11:40.746680,0 days 00:00:01.057305,,,,,,,,636,0.006,1m,3.0,1.0,0.5,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
12,12,-1.2589026457137265,2025-06-14 20:11:40.851224,2025-06-14 20:11:41.914635,0 days 00:00:01.063411,,,,,,,,662,0.006,1m,3.0,1.0,0.5,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
13,13,1.0095691495533905,2025-06-14 20:11:41.973079,2025-06-14 20:11:43.115272,0 days 00:00:01.142193,,,,,,,,752,0.006,1m,3.0,1.0,1.1,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
14,14,0.16525068406302218,2025-06-14 20:11:43.196807,2025-06-14 20:11:44.429576,0 days 00:00:01.232769,,,,,,,,800,0.004,1m,2.5,2.0,1.6,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
15,15,-1.2526490207309935,2025-06-14 20:11:44.504989,2025-06-14 20:11:46.571998,0 days 00:00:02.067009,,,,,,,,772,0.003,1m,2.5,2.5,1.6,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.0,0.001,1m,4.0,1.0,0.5,56.0,0.25,2,COMPLETE
16,16,-10.789367965277592,2025-06-14 20:11:46.629868,2025-06-14 20:11:52.855367,0 days 00:00:06.225499,966.0,0.001,2m,4.0,2.0,0.5,836.0,834,0.002,1m,2.0,2.0,1.6,852,,,,,,,,548.0,0.001,3m,1.0,4.0,1.0,548.0,54.0,0.01,1m,4.0,1.5,0.5,176.0,394.0,0.004,4m,1.5,1.0,1.8,66.0,,,,,,,,,,,,,,,964.0,0.001,1m,4.0,4.0,0.5,1006.0,408.0,0.005,1m,2.0,1.0,1.1,366.0,0.4,7,COMPLETE
17,17,-43.543561604012,2025-06-14 20:11:52.914486,2025-06-14 20:11:55.039241,0 days 00:00:02.124755,,,,,,,,834,0.005,1m,3.5,3.0,1.6,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.0,0.003,1m,1.0,1.5,1.1,1010.0,0.3,2,COMPLETE
18,18,-6.965109990191602,2025-06-14 20:11:55.087665,2025-06-14 20:11:58.580997,0 days 00:00:03.493332,,,,,,,,1024,0.007,2m,2.0,2.5,1.0,884,,,,,,,,736.0,0.001,3m,1.0,2.5,1.3,1006.0,,,,,,,,602.0,0.004,4m,3.5,2.0,2.0,28.0,,,,,,,,,,,,,,,,,,,,,,406.0,0.008,3m,4.0,2.0,1.4,240.0,0.4,4,COMPLETE
19,19,-5.605887732613206,2025-06-14 20:11:58.640553,2025-06-14 20:12:00.635503,0 days 00:00:01.994950,,,,,,,,738,0.004,1m,3.5,1.5,1.1,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.0,0.005,2m,2.0,2.0,1.1,830.0,0.25,2,COMPLETE
20,20,-5.822871318557556,2025-06-14 20:12:00.698783,2025-06-14 20:12:05.814540,0 days 00:00:05.115757,642.0,0.01,1m,1.0,3.0,2.0,640.0,508,0.005,1m,2.5,2.0,1.4,764,,,,,,,,340.0,0.003,4m,3.5,1.0,0.6,748.0,668.0,0.001,2m,4.0,2.0,0.6,72.0,224.0,0.001,1m,3.5,4.0,1.6,236.0,,,,,,,,,,,,,,,,,,,,,,36.0,0.002,4m,3.0,1.5,0.5,200.0,0.5,6,COMPLETE
21,21,-0.1374408715519222,2025-06-14 20:12:05.895463,2025-06-14 20:12:07.008788,0 days 00:00:01.113325,,,,,,,,628,0.007,1m,3.0,1.0,1.5,948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
