,number,value,datetime_start,datetime_complete,duration,params_ADP_ASML_beta_win,params_ADP_ASML_stop_loss,params_ADP_ASML_trade_freq,params_ADP_ASML_z_entry,params_ADP_ASML_z_exit,params_ADP_ASML_z_stop_scaler,params_ADP_ASML_z_win,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_AMZN_MRVL_beta_win,params_AMZN_MRVL_stop_loss,params_AMZN_MRVL_trade_freq,params_AMZN_MRVL_z_entry,params_AMZN_MRVL_z_exit,params_AMZN_MRVL_z_stop_scaler,params_AMZN_MRVL_z_win,params_AZN_ANSS_beta_win,params_AZN_ANSS_stop_loss,params_AZN_ANSS_trade_freq,params_AZN_ANSS_z_entry,params_AZN_ANSS_z_exit,params_AZN_ANSS_z_stop_scaler,params_AZN_ANSS_z_win,params_CSCO_DASH_beta_win,params_CSCO_DASH_stop_loss,params_CSCO_DASH_trade_freq,params_CSCO_DASH_z_entry,params_CSCO_DASH_z_exit,params_CSCO_DASH_z_stop_scaler,params_CSCO_DASH_z_win,params_CSCO_FTNT_beta_win,params_CSCO_FTNT_stop_loss,params_CSCO_FTNT_trade_freq,params_CSCO_FTNT_z_entry,params_CSCO_FTNT_z_exit,params_CSCO_FTNT_z_stop_scaler,params_CSCO_FTNT_z_win,params_CSCO_META_beta_win,params_CSCO_META_stop_loss,params_CSCO_META_trade_freq,params_CSCO_META_z_entry,params_CSCO_META_z_exit,params_CSCO_META_z_stop_scaler,params_CSCO_META_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_buffer_capital,params_pairs_to_trade,state
43,43,-1.2091802544800987,2025-06-14 20:12:48.440416,2025-06-14 20:12:50.210104,0 days 00:00:01.769688,,,,,,,,588,0.008,1m,3.0,1.0,2.0,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.0,0.003,2m,3.0,2.0,1.2000000000000002,970.0,0.4,2,COMPLETE
44,44,-1.627301540561498,2025-06-14 20:12:50.268647,2025-06-14 20:12:51.242415,0 days 00:00:00.973768,,,,,,,,394,0.008,1m,3.5,4.0,1.9000000000000001,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
45,45,1.0778689790238638,2025-06-14 20:12:51.321161,2025-06-14 20:12:53.118871,0 days 00:00:01.797710,,,,,,,,496,0.009000000000000001,1m,3.0,1.5,1.8,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.0,0.008,3m,4.0,1.0,1.5,908.0,0.4,2,COMPLETE
46,46,0.1278974778206122,2025-06-14 20:12:53.171773,2025-06-14 20:12:55.459666,0 days 00:00:02.287893,,,,,,,,494,0.009000000000000001,1m,3.0,1.5,1.9000000000000001,824,,,,,,,,,,,,,,,,,,,,,,494.0,0.005,4m,2.0,4.0,1.3,366.0,,,,,,,,,,,,,,,,,,,,,,496.0,0.008,3m,4.0,1.0,1.5,914.0,0.5,3,COMPLETE
47,47,-7.059116862101746,2025-06-14 20:12:55.507285,2025-06-14 20:13:02.392447,0 days 00:00:06.885162,760.0,0.008,2m,4.0,2.0,1.6,688.0,308,0.01,1m,3.5,1.5,1.8,688,1014.0,0.01,3m,4.0,4.0,2.0,18.0,18.0,0.008,4m,3.5,3.0,2.0,478.0,90.0,0.01,3m,2.5,2.5,0.9,1008.0,900.0,0.003,2m,3.0,2.5,0.7,96.0,1018.0,0.005,2m,1.0,1.0,1.5,974.0,,,,,,,,22.0,0.01,2m,3.5,4.0,2.0,72.0,300.0,0.009000000000000001,3m,3.5,1.5,1.7000000000000002,848.0,0.45,9,COMPLETE
48,48,2.3101274877136526,2025-06-14 20:13:02.453394,2025-06-14 20:13:04.128654,0 days 00:00:01.675260,,,,,,,,532,0.009000000000000001,2m,4.0,3.5,1.2000000000000002,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.0,0.007,3m,4.0,1.0,1.4,938.0,0.4,2,COMPLETE
49,49,-9.192115310473728,2025-06-14 20:13:04.192901,2025-06-14 20:13:07.350991,0 days 00:00:03.158090,,,,,,,,222,0.009000000000000001,2m,4.0,3.5,1.7000000000000002,612,,,,,,,,422.0,0.002,3m,3.0,2.0,0.7,370.0,,,,,,,,254.0,0.007,1m,1.0,2.0,1.9000000000000001,904.0,,,,,,,,,,,,,,,,,,,,,,454.0,0.007,3m,4.0,1.0,1.4,946.0,0.4,4,COMPLETE
50,50,-0.23425355490067595,2025-06-14 20:13:07.401307,2025-06-14 20:13:09.851678,0 days 00:00:02.450371,,,,,,,,520,0.009000000000000001,2m,4.0,3.5,1.2000000000000002,560,,,,,,,,,,,,,,,,,,,,,,632.0,0.002,3m,3.5,3.5,1.5,754.0,,,,,,,,,,,,,,,,,,,,,,544.0,0.009000000000000001,3m,3.5,1.0,1.6,770.0,0.45,3,COMPLETE
51,51,0.28835337711052234,2025-06-14 20:13:09.907070,2025-06-14 20:13:11.587601,0 days 00:00:01.680531,,,,,,,,458,0.008,2m,4.0,3.5,1.2000000000000002,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.0,0.007,3m,4.0,1.5,1.6,932.0,0.4,2,COMPLETE
52,52,-1.286592173129735,2025-06-14 20:13:11.664493,2025-06-14 20:13:13.384913,0 days 00:00:01.720420,,,,,,,,554,0.01,2m,3.0,2.5,1.1,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.0,0.008,3m,3.5,1.0,1.8,578.0,0.35000000000000003,2,COMPLETE
53,53,-4.316622364300751,2025-06-14 20:13:13.441227,2025-06-14 20:13:15.111803,0 days 00:00:01.670576,,,,,,,,394,0.009000000000000001,1m,3.5,3.0,1.4,294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,0.006,3m,4.0,1.5,1.2000000000000002,970.0,0.4,2,COMPLETE
54,54,-4.744891123528904,2025-06-14 20:13:15.203831,2025-06-14 20:13:16.022912,0 days 00:00:00.819081,,,,,,,,988,0.008,4m,3.0,4.0,1.3,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
55,55,1.9108615468892003,2025-06-14 20:13:16.083525,2025-06-14 20:13:17.025019,0 days 00:00:00.941494,,,,,,,,662,0.009000000000000001,1m,4.0,2.0,1.0,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
56,56,-2.153826498739035,2025-06-14 20:13:17.074196,2025-06-14 20:13:18.050678,0 days 00:00:00.976482,,,,,,,,654,0.009000000000000001,2m,4.0,2.0,1.0,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
57,57,-6.988313831570093,2025-06-14 20:13:18.093501,2025-06-14 20:13:19.771588,0 days 00:00:01.678087,,,,,,,,78,0.009000000000000001,1m,4.0,2.0,0.9,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.0,0.007,3m,3.5,1.0,1.3,654.0,0.45,2,COMPLETE
58,58,-7.171569271878022,2025-06-14 20:13:19.853579,2025-06-14 20:13:22.255905,0 days 00:00:02.402326,,,,,,,,604,0.01,3m,3.5,1.5,1.5,810,,,,,,,,,,,,,,,,,,,,,,114.0,0.009000000000000001,3m,1.5,1.5,0.5,496.0,,,,,,,,,,,,,,,,,,,,,,164.0,0.005,3m,4.0,2.0,1.5,798.0,0.4,3,COMPLETE
59,59,-4.620176413256696,2025-06-14 20:13:22.313400,2025-06-14 20:13:26.841909,0 days 00:00:04.528509,294.0,0.004,1m,1.5,4.0,0.5,1022.0,524,0.007,1m,4.0,2.5,1.8,726,,,,,,,,620.0,0.005,1m,2.0,3.0,1.4,770.0,664.0,0.001,1m,1.5,1.0,2.0,646.0,826.0,0.003,2m,3.0,4.0,1.0,680.0,,,,,,,,,,,,,,,,,,,,,,958.0,0.01,3m,3.5,1.5,1.9000000000000001,886.0,0.5,6,COMPLETE
60,60,-5.5967766654374485,2025-06-14 20:13:26.897888,2025-06-14 20:13:33.505826,0 days 00:00:06.607938,754.0,0.004,4m,2.5,2.5,1.4,500.0,670,0.008,1m,3.5,2.0,2.0,862,212.0,0.006,2m,1.0,2.5,2.0,956.0,210.0,0.007,4m,3.5,3.5,1.1,982.0,250.0,0.005,1m,3.0,4.0,0.9,306.0,436.0,0.001,1m,2.0,2.5,0.7,456.0,28.0,0.01,1m,4.0,4.0,0.5,16.0,964.0,0.001,1m,1.0,4.0,2.0,962.0,1012.0,0.001,1m,3.0,2.5,1.2000000000000002,1024.0,870.0,0.007,4m,3.0,1.0,1.0,726.0,0.05,10,COMPLETE
61,61,-0.6272515951321348,2025-06-14 20:13:33.553510,2025-06-14 20:13:34.411488,0 days 00:00:00.857978,,,,,,,,758,0.009000000000000001,1m,3.0,1.5,1.1,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
62,62,0.47313351304594586,2025-06-14 20:13:34.448567,2025-06-14 20:13:35.301073,0 days 00:00:00.852506,,,,,,,,810,0.007,1m,3.5,1.0,1.9000000000000001,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
63,63,-4.397673883524778,2025-06-14 20:13:35.335881,2025-06-14 20:13:36.793747,0 days 00:00:01.457866,,,,,,,,28,0.008,1m,2.5,1.5,1.2000000000000002,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.0,0.009000000000000001,1m,4.0,3.0,1.4,580.0,0.35000000000000003,2,COMPLETE
64,64,-0.5026155963835752,2025-06-14 20:13:36.835793,2025-06-14 20:13:37.535867,0 days 00:00:00.700074,,,,,,,,720,0.007,1m,3.0,2.0,1.0,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
65,65,0.3453798835941622,2025-06-14 20:13:37.585744,2025-06-14 20:13:39.032449,0 days 00:00:01.446705,,,,,,,,856,0.009000000000000001,1m,3.5,1.0,1.8,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610.0,0.008,3m,3.5,2.5,1.8,992.0,0.45,2,COMPLETE
66,66,2.1200131836354035,2025-06-14 20:13:39.072323,2025-06-14 20:13:39.846180,0 days 00:00:00.773857,,,,,,,,648,0.001,1m,4.0,1.5,1.7000000000000002,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
67,67,1.7144186178059564,2025-06-14 20:13:39.886533,2025-06-14 20:13:40.742495,0 days 00:00:00.855962,,,,,,,,574,0.001,1m,4.0,1.5,1.7000000000000002,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
68,68,-2.7567298889233496,2025-06-14 20:13:40.793028,2025-06-14 20:13:41.534815,0 days 00:00:00.741787,,,,,,,,622,0.001,2m,4.0,2.0,1.6,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
69,69,-0.5273742503174222,2025-06-14 20:13:41.568901,2025-06-14 20:13:42.387704,0 days 00:00:00.818803,,,,,,,,568,0.002,1m,4.0,1.5,1.7000000000000002,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
70,70,-1.2792184179206607,2025-06-14 20:13:42.419822,2025-06-14 20:13:43.185131,0 days 00:00:00.765309,,,,,,,,534,0.002,3m,4.0,3.0,1.6,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
71,71,-6.530338679109973,2025-06-14 20:13:43.208934,2025-06-14 20:13:44.575934,0 days 00:00:01.367000,,,,,,,,470,0.001,1m,1.5,1.5,1.8,820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004.0,0.005,2m,2.5,1.5,0.9,522.0,0.4,2,COMPLETE
72,72,1.0671003522946256,2025-06-14 20:13:44.623428,2025-06-14 20:13:46.088091,0 days 00:00:01.464663,,,,,,,,642,0.001,1m,4.0,1.5,1.9000000000000001,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.0,0.006,4m,4.0,1.0,1.6,916.0,0.4,2,COMPLETE
73,73,1.1442364513853944,2025-06-14 20:13:46.126338,2025-06-14 20:13:50.760364,0 days 00:00:04.634026,222.0,0.01,3m,1.5,3.0,0.9,728.0,494,0.002,1m,4.0,2.5,1.7000000000000002,548,,,,,,,,854.0,0.004,1m,1.5,2.0,1.7000000000000002,132.0,710.0,0.007,4m,3.5,2.5,1.0,814.0,286.0,0.005,4m,4.0,2.0,1.2000000000000002,828.0,,,,,,,,,,,,,,,58.0,0.01,3m,3.0,1.5,0.8,330.0,810.0,0.008,1m,3.5,2.0,1.3,814.0,0.4,7,COMPLETE
74,74,-2.1808982431843376,2025-06-14 20:13:50.797836,2025-06-14 20:13:56.143778,0 days 00:00:05.345942,204.0,0.01,3m,1.5,3.0,0.9,734.0,578,0.001,1m,4.0,2.5,1.7000000000000002,510,34.0,0.01,4m,4.0,2.5,1.2000000000000002,102.0,910.0,0.004,1m,1.5,2.0,1.7000000000000002,138.0,736.0,0.007,4m,3.5,2.5,1.0,794.0,294.0,0.005,4m,4.0,2.0,1.2000000000000002,844.0,,,,,,,,,,,,,,,56.0,0.01,3m,3.0,1.5,0.8,308.0,826.0,0.004,1m,3.0,2.0,1.1,830.0,0.35000000000000003,8,COMPLETE
75,75,-2.081568996527368,2025-06-14 20:13:56.175507,2025-06-14 20:14:00.623501,0 days 00:00:04.447994,444.0,0.008,3m,1.5,3.0,1.0,572.0,550,0.002,4m,4.0,2.5,1.6,580,,,,,,,,810.0,0.003,1m,1.0,2.5,1.8,20.0,522.0,0.008,4m,3.0,2.0,1.2000000000000002,580.0,166.0,0.006,4m,3.5,1.5,1.4,942.0,,,,,,,,,,,,,,,238.0,0.008,3m,2.5,2.0,0.8,356.0,772.0,0.001,1m,2.5,2.5,0.9,726.0,0.4,7,COMPLETE
76,76,-4.45277076762493,2025-06-14 20:14:00.661593,2025-06-14 20:14:05.776515,0 days 00:00:05.114922,202.0,0.008,3m,2.0,2.0,0.7,822.0,422,0.001,1m,4.0,2.0,1.7000000000000002,548,1022.0,0.003,3m,1.0,3.0,1.3,722.0,660.0,0.002,1m,1.5,1.0,1.5,316.0,818.0,0.003,4m,2.0,3.0,1.5,830.0,330.0,0.006,4m,3.0,2.5,1.0,572.0,,,,,,,,,,,,,,,796.0,0.004,3m,4.0,1.0,0.5,358.0,656.0,0.007,1m,1.5,2.0,0.8,652.0,0.45,8,COMPLETE
77,77,-2.7347049174267832,2025-06-14 20:14:05.819347,2025-06-14 20:14:09.848941,0 days 00:00:04.029594,324.0,0.005,3m,1.0,3.5,1.3,402.0,606,0.002,1m,4.0,2.0,2.0,630,,,,,,,,866.0,0.004,1m,2.5,2.0,1.2000000000000002,130.0,532.0,0.003,2m,3.5,3.0,0.8,480.0,546.0,0.004,4m,4.0,1.0,0.9,816.0,,,,,,,,,,,,,,,,,,,,,,884.0,0.01,1m,3.0,3.0,1.2000000000000002,544.0,0.3,6,COMPLETE
78,78,1.880101956843517,2025-06-14 20:14:09.898912,2025-06-14 20:14:10.757761,0 days 00:00:00.858849,,,,,,,,678,0.001,1m,4.0,3.0,1.5,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
79,79,-12.945558953115185,2025-06-14 20:14:10.811866,2025-06-14 20:14:16.571534,0 days 00:00:05.759668,484.0,0.01,2m,3.0,2.5,1.8,888.0,696,0.001,1m,4.0,3.0,1.5,700,698.0,0.008,2m,3.0,1.5,0.9,282.0,694.0,0.002,1m,2.0,1.5,2.0,468.0,834.0,0.008,3m,3.5,2.0,1.1,674.0,428.0,0.007,4m,2.5,3.0,1.1,628.0,454.0,0.001,1m,1.0,1.0,1.2000000000000002,980.0,,,,,,,,450.0,0.008,3m,3.0,3.5,1.5,760.0,948.0,0.003,1m,3.5,4.0,1.4,334.0,0.35000000000000003,9,COMPLETE
80,80,-5.145034203959959,2025-06-14 20:14:16.632318,2025-06-14 20:14:21.245459,0 days 00:00:04.613141,150.0,0.007,4m,1.5,1.5,0.7,576.0,660,0.002,2m,4.0,3.0,1.5,668,,,,,,,,514.0,0.007,2m,1.0,3.0,1.6,640.0,210.0,0.006,4m,2.0,1.5,0.7,996.0,118.0,0.002,4m,3.5,3.5,1.4,950.0,,,,,,,,,,,,,,,180.0,0.004,2m,2.5,2.0,1.1,256.0,574.0,0.006,1m,3.5,2.5,1.3,806.0,0.3,7,COMPLETE
81,81,-1.1063563152165254,2025-06-14 20:14:21.295429,2025-06-14 20:14:22.126386,0 days 00:00:00.830957,,,,,,,,624,0.001,1m,3.5,3.5,1.4,532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
82,82,2.7433439491877896,2025-06-14 20:14:22.162018,2025-06-14 20:14:22.956958,0 days 00:00:00.794940,,,,,,,,496,0.003,1m,4.0,2.5,1.7000000000000002,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
83,83,-5.392239117046231,2025-06-14 20:14:22.983580,2025-06-14 20:14:26.427620,0 days 00:00:03.444040,582.0,0.009000000000000001,1m,2.5,4.0,1.2000000000000002,760.0,506,0.003,1m,4.0,2.5,1.6,484,,,,,,,,540.0,0.005,3m,2.5,2.0,0.8,166.0,,,,,,,,660.0,0.008,1m,2.5,3.0,0.6,1018.0,,,,,,,,,,,,,,,,,,,,,,856.0,0.005,2m,2.5,1.5,1.0,868.0,0.35000000000000003,5,COMPLETE
84,84,-1.5706689965830483,2025-06-14 20:14:26.450996,2025-06-14 20:14:27.198027,0 days 00:00:00.747031,,,,,,,,566,0.003,1m,4.0,2.5,1.7000000000000002,916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
85,85,-3.5878114304750475,2025-06-14 20:14:27.235811,2025-06-14 20:14:28.066258,0 days 00:00:00.830447,,,,,,,,440,0.002,1m,4.0,2.5,1.7000000000000002,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
86,86,2.9141730528584593,2025-06-14 20:14:28.137448,2025-06-14 20:14:29.001165,0 days 00:00:00.863717,,,,,,,,480,0.001,1m,4.0,3.5,1.6,946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
87,87,-3.58799090768922,2025-06-14 20:14:29.035714,2025-06-14 20:14:29.881186,0 days 00:00:00.845472,,,,,,,,390,0.001,1m,4.0,3.5,1.6,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
88,88,-100.0,2025-06-14 20:14:29.918021,2025-06-14 20:14:30.686784,0 days 00:00:00.768763,,,,,,,,536,0.001,3m,3.5,4.0,1.5,1002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
89,89,-12.084776212902481,2025-06-14 20:14:30.722595,2025-06-14 20:14:32.181144,0 days 00:00:01.458549,,,,,,,,678,0.002,4m,4.0,3.5,1.3,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,0.002,4m,2.0,3.5,2.0,288.0,0.35000000000000003,2,COMPLETE
90,90,-2.883826082958007,2025-06-14 20:14:32.229482,2025-06-14 20:14:32.988123,0 days 00:00:00.758641,,,,,,,,738,0.001,1m,4.0,3.0,1.8,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
91,91,3.0657819163275946,2025-06-14 20:14:33.018121,2025-06-14 20:14:33.854986,0 days 00:00:00.836865,,,,,,,,488,0.002,1m,4.0,3.5,1.7000000000000002,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
92,92,2.825381266559202,2025-06-14 20:14:33.898755,2025-06-14 20:14:34.690065,0 days 00:00:00.791310,,,,,,,,478,0.001,1m,4.0,3.5,1.8,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
93,93,0.08439925090008268,2025-06-14 20:14:34.752200,2025-06-14 20:14:35.562746,0 days 00:00:00.810546,,,,,,,,472,0.001,1m,4.0,3.5,0.8,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
94,94,4.054536719465111,2025-06-14 20:14:35.610688,2025-06-14 20:14:36.417179,0 days 00:00:00.806491,,,,,,,,516,0.003,1m,4.0,3.5,1.6,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
95,95,-44.104135358635084,2025-06-14 20:14:36.451061,2025-06-14 20:14:37.916443,0 days 00:00:01.465382,,,,,,,,430,0.003,1m,4.0,3.5,1.6,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.0,0.004,2m,1.0,3.0,0.7,152.0,0.25,2,COMPLETE
96,96,-2.708052256924123,2025-06-14 20:14:37.944442,2025-06-14 20:14:38.713098,0 days 00:00:00.768656,,,,,,,,350,0.004,2m,4.0,3.5,1.6,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
97,97,-3.531481765348839,2025-06-14 20:14:38.773012,2025-06-14 20:14:40.124850,0 days 00:00:01.351838,,,,,,,,516,0.003,1m,4.0,4.0,1.4,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.0,0.003,2m,2.0,4.0,1.9000000000000001,622.0,0.3,2,COMPLETE
98,98,2.633864235294539,2025-06-14 20:14:40.152932,2025-06-14 20:14:40.881378,0 days 00:00:00.728446,,,,,,,,380,0.002,1m,4.0,3.5,1.5,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
99,99,-10.150114492345509,2025-06-14 20:14:40.914966,2025-06-14 20:14:42.441115,0 days 00:00:01.526149,,,,,,,,318,0.003,1m,3.5,3.5,1.8,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,0.001,4m,1.5,1.5,0.5,1020.0,0.2,2,COMPLETE
100,100,-3.5878114304750475,2025-06-14 20:14:42.475593,2025-06-14 20:14:43.327225,0 days 00:00:00.851632,,,,,,,,402,0.004,1m,4.0,3.5,0.9,1004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
101,101,-4.734953661348823,2025-06-14 20:14:43.357158,2025-06-14 20:14:44.126185,0 days 00:00:00.769027,,,,,,,,290,0.002,1m,4.0,3.5,1.5,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
102,102,-3.5879909076892202,2025-06-14 20:14:44.163466,2025-06-14 20:14:44.910420,0 days 00:00:00.746954,,,,,,,,458,0.002,1m,4.0,3.5,1.4,956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
103,103,2.3089204790958564,2025-06-14 20:14:44.951883,2025-06-14 20:14:45.751676,0 days 00:00:00.799793,,,,,,,,368,0.001,1m,4.0,4.0,1.6,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
104,104,-3.587811430475047,2025-06-14 20:14:45.788857,2025-06-14 20:14:46.560807,0 days 00:00:00.771950,,,,,,,,334,0.002,1m,4.0,4.0,1.6,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
105,105,-7.993714987281303,2025-06-14 20:14:46.604695,2025-06-14 20:14:47.998474,0 days 00:00:01.393779,,,,,,,,246,0.003,1m,4.0,4.0,1.7000000000000002,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,0.004,2m,3.0,2.0,0.6,400.0,0.25,2,COMPLETE
106,106,-0.6147369389320048,2025-06-14 20:14:48.043022,2025-06-14 20:14:48.885839,0 days 00:00:00.842817,,,,,,,,414,0.002,2m,4.0,3.5,1.7000000000000002,932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
107,107,-0.669340740433334,2025-06-14 20:14:48.927711,2025-06-14 20:14:50.336863,0 days 00:00:01.409152,,,,,,,,494,0.001,1m,3.5,4.0,1.8,842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998.0,0.005,2m,2.5,2.5,1.7000000000000002,484.0,0.2,2,COMPLETE
108,108,1.111529336196399,2025-06-14 20:14:50.376719,2025-06-14 20:14:51.170615,0 days 00:00:00.793896,,,,,,,,480,0.01,1m,4.0,3.5,1.6,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
