,number,value,datetime_start,datetime_complete,duration,params_ABNB_NXPI_beta_win,params_ABNB_NXPI_stop_loss,params_ABNB_NXPI_trade_freq,params_ABNB_NXPI_z_entry,params_ABNB_NXPI_z_exit,params_ABNB_NXPI_z_stop_scaler,params_ABNB_NXPI_z_win,params_CTSH_MAR_beta_win,params_CTSH_MAR_stop_loss,params_CTSH_MAR_trade_freq,params_CTSH_MAR_z_entry,params_CTSH_MAR_z_exit,params_CTSH_MAR_z_stop_scaler,params_CTSH_MAR_z_win,params_DASH_KLAC_beta_win,params_DASH_KLAC_stop_loss,params_DASH_KLAC_trade_freq,params_DASH_KLAC_z_entry,params_DASH_KLAC_z_exit,params_DASH_KLAC_z_stop_scaler,params_DASH_KLAC_z_win,params_DASH_LRCX_beta_win,params_DASH_LRCX_stop_loss,params_DASH_LRCX_trade_freq,params_DASH_LRCX_z_entry,params_DASH_LRCX_z_exit,params_DASH_LRCX_z_stop_scaler,params_DASH_LRCX_z_win,params_DXCM_HON_beta_win,params_DXCM_HON_stop_loss,params_DXCM_HON_trade_freq,params_DXCM_HON_z_entry,params_DXCM_HON_z_exit,params_DXCM_HON_z_stop_scaler,params_DXCM_HON_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_PYPL_GFS_beta_win,params_PYPL_GFS_stop_loss,params_PYPL_GFS_trade_freq,params_PYPL_GFS_z_entry,params_PYPL_GFS_z_exit,params_PYPL_GFS_z_stop_scaler,params_PYPL_GFS_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-1.876022172489727,2025-06-14 19:46:03.019299,2025-06-14 19:46:04.075767,0 days 00:00:01.056468,,,,,,,,,,,,,,,640,0.006,2m,3.0,1.0,2.0,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,-2.9105662192563755,2025-06-14 19:46:04.181441,2025-06-14 19:46:06.669533,0 days 00:00:02.488092,,,,,,,,446.0,0.007,1m,2.5,1.5,1.1,908.0,68,0.007,1m,4.0,1.0,1.7000000000000002,488,30.0,0.005,3m,3.0,1.0,1.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
12,12,0.5610791128810672,2025-06-14 19:46:06.777049,2025-06-14 19:46:07.739731,0 days 00:00:00.962682,,,,,,,,,,,,,,,646,0.01,2m,4.0,1.0,1.6,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
13,13,-2.1930580583356876,2025-06-14 19:46:07.831750,2025-06-14 19:46:08.942548,0 days 00:00:01.110798,,,,,,,,,,,,,,,728,0.01,2m,3.5,1.5,1.6,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
14,14,-2.3114273032163943,2025-06-14 19:46:09.022053,2025-06-14 19:46:10.075767,0 days 00:00:01.053714,,,,,,,,,,,,,,,790,0.01,2m,3.5,2.0,1.6,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
15,15,-4.5866607568592785,2025-06-14 19:46:10.185280,2025-06-14 19:46:12.079288,0 days 00:00:01.894008,,,,,,,,342.0,0.005,1m,4.0,1.5,2.0,984.0,492,0.006,2m,3.0,2.5,1.8,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
16,16,-3.7790869355416143,2025-06-14 19:46:12.150445,2025-06-14 19:46:17.832101,0 days 00:00:05.681656,,,,,,,,38.0,0.008,1m,3.0,1.0,1.1,370.0,624,0.004,2m,4.0,1.5,1.5,160,546.0,0.004,4m,1.5,4.0,1.7000000000000002,162.0,70.0,0.001,1m,4.0,1.5,0.5,98.0,526.0,0.001,3m,1.0,4.0,1.0,578.0,,,,,,,,,,,,,,,,,,,,,,1006.0,0.001,1m,4.0,2.0,0.6,856.0,0.25,6,COMPLETE
17,17,-3.7869930847477007,2025-06-14 19:46:17.912986,2025-06-14 19:46:19.965143,0 days 00:00:02.052157,,,,,,,,328.0,0.009000000000000001,1m,2.0,2.0,0.5,774.0,842,0.007,2m,2.5,1.0,2.0,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
18,18,-7.973453991701608,2025-06-14 19:46:20.040513,2025-06-14 19:46:23.548461,0 days 00:00:03.507948,,,,,,,,580.0,0.001,1m,3.0,2.0,1.3,58.0,404,0.001,2m,3.5,2.0,1.4,582,324.0,0.004,3m,3.0,2.5,0.8,630.0,,,,,,,,726.0,0.001,3m,1.0,2.5,1.3,1024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
19,19,-2.6964273432937116,2025-06-14 19:46:23.649646,2025-06-14 19:46:25.618069,0 days 00:00:01.968423,,,,,,,,430.0,0.005,1m,4.0,3.5,1.5,1022.0,580,0.01,2m,3.0,3.0,1.1,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
