,number,value,datetime_start,datetime_complete,duration,params_AMAT_TXN_beta_win,params_AMAT_TXN_stop_loss,params_AMAT_TXN_trade_freq,params_AMAT_TXN_z_entry,params_AMAT_TXN_z_exit,params_AMAT_TXN_z_stop_scaler,params_AMAT_TXN_z_win,params_AMZN_SIRI_beta_win,params_AMZN_SIRI_stop_loss,params_AMZN_SIRI_trade_freq,params_AMZN_SIRI_z_entry,params_AMZN_SIRI_z_exit,params_AMZN_SIRI_z_stop_scaler,params_AMZN_SIRI_z_win,params_BKNG_ZM_beta_win,params_BKNG_ZM_stop_loss,params_BKNG_ZM_trade_freq,params_BKNG_ZM_z_entry,params_BKNG_ZM_z_exit,params_BKNG_ZM_z_stop_scaler,params_BKNG_ZM_z_win,params_COST_PCAR_beta_win,params_COST_PCAR_stop_loss,params_COST_PCAR_trade_freq,params_COST_PCAR_z_entry,params_COST_PCAR_z_exit,params_COST_PCAR_z_stop_scaler,params_COST_PCAR_z_win,params_CSCO_TXN_beta_win,params_CSCO_TXN_stop_loss,params_CSCO_TXN_trade_freq,params_CSCO_TXN_z_entry,params_CSCO_TXN_z_exit,params_CSCO_TXN_z_stop_scaler,params_CSCO_TXN_z_win,params_CTAS_PCAR_beta_win,params_CTAS_PCAR_stop_loss,params_CTAS_PCAR_trade_freq,params_CTAS_PCAR_z_entry,params_CTAS_PCAR_z_exit,params_CTAS_PCAR_z_stop_scaler,params_CTAS_PCAR_z_win,params_JD_SIRI_beta_win,params_JD_SIRI_stop_loss,params_JD_SIRI_trade_freq,params_JD_SIRI_z_entry,params_JD_SIRI_z_exit,params_JD_SIRI_z_stop_scaler,params_JD_SIRI_z_win,params_LULU_PCAR_beta_win,params_LULU_PCAR_stop_loss,params_LULU_PCAR_trade_freq,params_LULU_PCAR_z_entry,params_LULU_PCAR_z_exit,params_LULU_PCAR_z_stop_scaler,params_LULU_PCAR_z_win,params_MDLZ_SIRI_beta_win,params_MDLZ_SIRI_stop_loss,params_MDLZ_SIRI_trade_freq,params_MDLZ_SIRI_z_entry,params_MDLZ_SIRI_z_exit,params_MDLZ_SIRI_z_stop_scaler,params_MDLZ_SIRI_z_win,params_SGEN_SIRI_beta_win,params_SGEN_SIRI_stop_loss,params_SGEN_SIRI_trade_freq,params_SGEN_SIRI_z_entry,params_SGEN_SIRI_z_exit,params_SGEN_SIRI_z_stop_scaler,params_SGEN_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-100.0,2025-06-14 18:59:09.254947,2025-06-14 18:59:16.752125,0 days 00:00:07.497178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,2m,3.0,1.0,2.0,966,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,-4.829395783407696,2025-06-14 18:59:16.824406,2025-06-14 18:59:24.057971,0 days 00:00:07.233565,48.0,0.001,3m,1.5,1.5,0.5,44.0,,,,,,,,18.0,0.001,2m,3.0,4.0,0.6,504.0,386.0,0.007,1m,1.5,1.0,0.5,930.0,334.0,0.001,4m,1.0,4.0,2.0,46.0,972.0,0.001,4m,4.0,1.5,0.6,1024.0,1006.0,0.001,3m,4.0,1.0,0.6,76.0,726,0.007,4m,1.0,1.5,1.7000000000000002,90,522.0,0.005,4m,1.5,4.0,2.0,32.0,974.0,0.01,4m,4.0,4.0,0.6,224.0,0.3,9,COMPLETE
12,12,-0.18209276905690872,2025-06-14 18:59:24.140517,2025-06-14 18:59:25.136758,0 days 00:00:00.996241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,0.007,2m,1.0,2.0,1.6,254,,,,,,,,,,,,,,,0.25,1,COMPLETE
13,13,-0.812746723999565,2025-06-14 18:59:25.202367,2025-06-14 18:59:31.106597,0 days 00:00:05.904230,,,,,,,,,,,,,,,434.0,0.003,3m,1.0,3.0,0.9,20.0,430.0,0.008,1m,2.0,1.5,1.0,766.0,272.0,0.003,4m,1.0,2.5,1.6,780.0,,,,,,,,760.0,0.001,3m,2.5,1.0,0.9,302.0,406,0.01,4m,2.5,1.5,0.5,442,586.0,0.005,4m,1.5,2.5,2.0,244.0,758.0,0.002,1m,3.0,2.5,0.6,990.0,0.35000000000000003,7,COMPLETE
14,14,-0.31740778119048946,2025-06-14 18:59:31.167503,2025-06-14 18:59:34.086476,0 days 00:00:02.918973,,,,,,,,,,,,,,,,,,,,,,994.0,0.005,1m,4.0,2.0,2.0,1024.0,,,,,,,,,,,,,,,,,,,,,,204,0.005,2m,2.0,2.5,1.1,16,318.0,0.004,4m,1.5,4.0,1.7000000000000002,544.0,,,,,,,,0.2,3,COMPLETE
15,15,0.1181584550064789,2025-06-14 18:59:34.195858,2025-06-14 18:59:42.781206,0 days 00:00:08.585348,46.0,0.001,1m,3.0,3.0,0.5,1022.0,1002.0,0.001,2m,1.0,4.0,2.0,1004.0,630.0,0.004,2m,3.0,4.0,1.0,496.0,268.0,0.008,3m,3.0,3.5,1.2000000000000002,752.0,716.0,0.003,1m,1.5,4.0,0.5,652.0,800.0,0.005,4m,3.5,2.5,2.0,952.0,28.0,0.004,1m,2.5,2.0,1.1,364.0,514,0.01,4m,3.5,1.0,1.6,160,716.0,0.01,3m,3.0,2.5,0.9,316.0,76.0,0.009000000000000001,4m,2.5,2.5,1.1,408.0,0.3,10,COMPLETE
16,16,-6.2810670296209645,2025-06-14 18:59:42.864655,2025-06-14 18:59:48.093682,0 days 00:00:05.229027,,,,,,,,,,,,,,,414.0,0.007,3m,3.5,2.5,0.9,366.0,634.0,0.008,1m,1.0,3.5,0.5,864.0,1022.0,0.001,2m,4.0,3.0,1.6,16.0,,,,,,,,702.0,0.01,3m,3.5,2.0,1.4,30.0,292,0.007,2m,2.0,1.5,1.8,394,372.0,0.006,3m,2.0,3.5,1.6,64.0,,,,,,,,0.2,6,COMPLETE
17,17,-2.1751059635994925,2025-06-14 18:59:48.150646,2025-06-14 18:59:50.004009,0 days 00:00:01.853363,,,,,,,,,,,,,,,,,,,,,,436.0,0.006,3m,2.0,4.0,1.4,1024.0,,,,,,,,,,,,,,,,,,,,,,794,0.001,1m,3.0,3.0,1.5,258,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
18,18,-2.389947062273821,2025-06-14 18:59:50.065931,2025-06-14 18:59:57.164525,0 days 00:00:07.098594,,,,,,,,,,,,,,,770.0,0.001,2m,2.0,3.0,1.2000000000000002,728.0,22.0,0.009000000000000001,1m,3.0,2.0,1.1,676.0,226.0,0.01,4m,2.0,2.0,0.9,546.0,26.0,0.009000000000000001,3m,1.0,2.0,1.1,736.0,662.0,0.003,2m,2.0,2.0,2.0,704.0,152,0.008,4m,1.5,2.0,1.0,166,618.0,0.004,4m,3.0,1.0,0.9,614.0,864.0,0.001,2m,3.5,3.5,0.9,960.0,0.25,8,COMPLETE
19,19,-1.6710702279152136,2025-06-14 18:59:57.208141,2025-06-14 19:00:00.743921,0 days 00:00:03.535780,,,,,,,,,,,,,,,240.0,0.003,2m,2.5,3.5,0.7,190.0,1018.0,0.005,3m,2.0,3.5,0.7,438.0,,,,,,,,,,,,,,,,,,,,,,22,0.006,2m,3.5,1.0,0.7,586,866.0,0.006,4m,1.0,3.0,1.8,678.0,,,,,,,,0.15000000000000002,4,COMPLETE
