,number,value,datetime_start,datetime_complete,duration,params_ALGN_ZS_beta_win,params_ALGN_ZS_stop_loss,params_ALGN_ZS_trade_freq,params_ALGN_ZS_z_entry,params_ALGN_ZS_z_exit,params_ALGN_ZS_z_stop_scaler,params_ALGN_ZS_z_win,params_ANSS_PYPL_beta_win,params_ANSS_PYPL_stop_loss,params_ANSS_PYPL_trade_freq,params_ANSS_PYPL_z_entry,params_ANSS_PYPL_z_exit,params_ANSS_PYPL_z_stop_scaler,params_ANSS_PYPL_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_INTU_PYPL_beta_win,params_INTU_PYPL_stop_loss,params_INTU_PYPL_trade_freq,params_INTU_PYPL_z_entry,params_INTU_PYPL_z_exit,params_INTU_PYPL_z_stop_scaler,params_INTU_PYPL_z_win,params_KLAC_PYPL_beta_win,params_KLAC_PYPL_stop_loss,params_KLAC_PYPL_trade_freq,params_KLAC_PYPL_z_entry,params_KLAC_PYPL_z_exit,params_KLAC_PYPL_z_stop_scaler,params_KLAC_PYPL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_NVDA_PYPL_beta_win,params_NVDA_PYPL_stop_loss,params_NVDA_PYPL_trade_freq,params_NVDA_PYPL_z_entry,params_NVDA_PYPL_z_exit,params_NVDA_PYPL_z_stop_scaler,params_NVDA_PYPL_z_win,params_NXPI_PYPL_beta_win,params_NXPI_PYPL_stop_loss,params_NXPI_PYPL_trade_freq,params_NXPI_PYPL_z_entry,params_NXPI_PYPL_z_exit,params_NXPI_PYPL_z_stop_scaler,params_NXPI_PYPL_z_win,params_OKTA_SWKS_beta_win,params_OKTA_SWKS_stop_loss,params_OKTA_SWKS_trade_freq,params_OKTA_SWKS_z_entry,params_OKTA_SWKS_z_exit,params_OKTA_SWKS_z_stop_scaler,params_OKTA_SWKS_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-1.1388905731640901,2025-06-14 19:16:33.162478,2025-06-14 19:16:39.154635,0 days 00:00:05.992157,,,,,,,,694.0,0.01,4m,1.5,1.0,0.9,808.0,372.0,0.001,2m,2.0,1.0,1.1,1012.0,,,,,,,,660,0.006,3m,3.0,3.0,1.6,52,424.0,0.007,3m,3.0,3.0,1.3,936.0,,,,,,,,18.0,0.001,2m,3.5,4.0,1.6,60.0,98.0,0.001,2m,1.0,2.5,0.5,202.0,50.0,0.01,3m,4.0,4.0,0.9,1006.0,0.3,7,COMPLETE
11,11,2.884887365392975,2025-06-14 19:16:39.237764,2025-06-14 19:16:40.316341,0 days 00:00:01.078577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0.01,2m,3.0,2.5,2.0,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
12,12,2.512899777536093,2025-06-14 19:16:40.389827,2025-06-14 19:16:46.768997,0 days 00:00:06.379170,,,,,,,,442.0,0.009000000000000001,4m,2.0,2.0,1.3,658.0,22.0,0.001,1m,3.0,1.5,2.0,1010.0,,,,,,,,164,0.006,2m,3.5,3.0,1.6,168,64.0,0.001,1m,3.0,4.0,1.6,646.0,,,,,,,,286.0,0.004,3m,3.5,2.5,1.4,598.0,386.0,0.005,2m,2.0,2.5,0.9,586.0,1022.0,0.001,1m,3.0,3.5,1.3,874.0,0.35000000000000003,7,COMPLETE
13,13,-100.0,2025-06-14 19:16:46.843893,2025-06-14 19:16:47.873450,0 days 00:00:01.029557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,0.007,2m,3.0,1.0,1.1,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
14,14,-0.8608615442551204,2025-06-14 19:16:47.954397,2025-06-14 19:16:53.741080,0 days 00:00:05.786683,,,,,,,,650.0,0.008,2m,4.0,2.0,0.6,20.0,344.0,0.005,1m,4.0,2.0,1.8,892.0,,,,,,,,178,0.01,3m,3.5,3.0,1.6,382,648.0,0.003,3m,1.0,2.5,1.0,764.0,,,,,,,,490.0,0.004,4m,1.5,2.5,0.9,246.0,18.0,0.01,1m,4.0,1.5,1.3,38.0,,,,,,,,0.2,6,COMPLETE
15,15,-4.0899086138872045,2025-06-14 19:16:53.810591,2025-06-14 19:16:56.790156,0 days 00:00:02.979565,,,,,,,,,,,,,,,226.0,0.003,1m,3.0,3.5,1.4,828.0,,,,,,,,414,0.004,2m,2.5,4.0,1.1,154,,,,,,,,,,,,,,,204.0,0.005,3m,3.0,3.0,1.6,636.0,,,,,,,,,,,,,,,0.05,3,COMPLETE
16,16,-1.2264420895295565,2025-06-14 19:16:56.857159,2025-06-14 19:17:03.287833,0 days 00:00:06.430674,,,,,,,,1002.0,0.001,1m,2.0,1.5,2.0,494.0,188.0,0.008,1m,2.0,3.5,1.1,902.0,,,,,,,,522,0.007,3m,4.0,2.0,1.8,22,300.0,0.008,1m,3.5,2.5,1.7000000000000002,1024.0,,,,,,,,560.0,0.003,2m,2.0,2.0,2.0,374.0,658.0,0.004,2m,2.0,3.0,1.0,440.0,270.0,0.009000000000000001,3m,3.0,2.5,0.5,240.0,0.25,7,COMPLETE
17,17,3.411657273395153,2025-06-14 19:17:03.368357,2025-06-14 19:17:05.542739,0 days 00:00:02.174382,,,,,,,,,,,,,,,448.0,0.008,2m,3.0,4.0,2.0,742.0,,,,,,,,232,0.001,1m,3.5,3.5,1.4,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
18,18,-1.5850488308284851,2025-06-14 19:17:05.615275,2025-06-14 19:17:09.341094,0 days 00:00:03.725819,,,,,,,,,,,,,,,132.0,0.005,1m,2.0,3.5,1.8,398.0,,,,,,,,394,0.008,3m,3.0,2.5,1.1,972,754.0,0.002,1m,2.0,4.0,1.1,478.0,,,,,,,,758.0,0.006,3m,3.0,4.0,1.0,158.0,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
19,19,-4.993651559141173,2025-06-14 19:17:09.442087,2025-06-14 19:17:14.720127,0 days 00:00:05.278040,,,,,,,,262.0,0.01,4m,1.0,2.5,1.1,382.0,328.0,0.003,2m,4.0,2.0,1.6,926.0,,,,,,,,810,0.01,2m,2.0,1.5,1.5,410,210.0,0.007,3m,2.5,1.0,2.0,780.0,,,,,,,,436.0,0.001,2m,3.5,1.0,1.3,690.0,250.0,0.007,1m,1.5,2.0,2.0,632.0,,,,,,,,0.25,6,COMPLETE
