,number,value,datetime_start,datetime_complete,duration,params_AEP_HON_beta_win,params_AEP_HON_stop_loss,params_AEP_HON_trade_freq,params_AEP_HON_z_entry,params_AEP_HON_z_exit,params_AEP_HON_z_stop_scaler,params_AEP_HON_z_win,params_ATVI_ROST_beta_win,params_ATVI_ROST_stop_loss,params_ATVI_ROST_trade_freq,params_ATVI_ROST_z_entry,params_ATVI_ROST_z_exit,params_ATVI_ROST_z_stop_scaler,params_ATVI_ROST_z_win,params_BIDU_SIRI_beta_win,params_BIDU_SIRI_stop_loss,params_BIDU_SIRI_trade_freq,params_BIDU_SIRI_z_entry,params_BIDU_SIRI_z_exit,params_BIDU_SIRI_z_stop_scaler,params_BIDU_SIRI_z_win,params_FOXA_MAR_beta_win,params_FOXA_MAR_stop_loss,params_FOXA_MAR_trade_freq,params_FOXA_MAR_z_entry,params_FOXA_MAR_z_exit,params_FOXA_MAR_z_stop_scaler,params_FOXA_MAR_z_win,params_FOX_MAR_beta_win,params_FOX_MAR_stop_loss,params_FOX_MAR_trade_freq,params_FOX_MAR_z_entry,params_FOX_MAR_z_exit,params_FOX_MAR_z_stop_scaler,params_FOX_MAR_z_win,params_GOOGL_VRTX_beta_win,params_GOOGL_VRTX_stop_loss,params_GOOGL_VRTX_trade_freq,params_GOOGL_VRTX_z_entry,params_GOOGL_VRTX_z_exit,params_GOOGL_VRTX_z_stop_scaler,params_GOOGL_VRTX_z_win,params_GOOG_VRTX_beta_win,params_GOOG_VRTX_stop_loss,params_GOOG_VRTX_trade_freq,params_GOOG_VRTX_z_entry,params_GOOG_VRTX_z_exit,params_GOOG_VRTX_z_stop_scaler,params_GOOG_VRTX_z_win,params_HON_JD_beta_win,params_HON_JD_stop_loss,params_HON_JD_trade_freq,params_HON_JD_z_entry,params_HON_JD_z_exit,params_HON_JD_z_stop_scaler,params_HON_JD_z_win,params_JD_MDLZ_beta_win,params_JD_MDLZ_stop_loss,params_JD_MDLZ_trade_freq,params_JD_MDLZ_z_entry,params_JD_MDLZ_z_exit,params_JD_MDLZ_z_stop_scaler,params_JD_MDLZ_z_win,params_KHC_ROST_beta_win,params_KHC_ROST_stop_loss,params_KHC_ROST_trade_freq,params_KHC_ROST_z_entry,params_KHC_ROST_z_exit,params_KHC_ROST_z_stop_scaler,params_KHC_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-3.9941215454969607,2025-06-14 18:59:09.308292,2025-06-14 18:59:13.706165,0 days 00:00:04.397873,372.0,0.001,2m,2.0,1.0,1.1,1012.0,,,,,,,,,,,,,,,98.0,0.001,2m,1.0,2.5,0.5,202.0,,,,,,,,424.0,0.007,3m,3.0,3.0,1.3,936.0,18.0,0.001,2m,3.5,4.0,1.6,60.0,660,0.006,3m,3.0,3.0,1.6,52,50.0,0.01,3m,4.0,4.0,0.9,1006.0,694.0,0.01,4m,1.5,1.0,0.9,808.0,0.3,7,COMPLETE
11,11,2.481383142758403,2025-06-14 18:59:13.769612,2025-06-14 18:59:21.576995,0 days 00:00:07.807383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,0.004,3m,2.5,3.0,1.0,1024,,,,,,,,,,,,,,,0.05,1,COMPLETE
12,12,-0.6024306398951437,2025-06-14 18:59:21.659831,2025-06-14 18:59:22.752121,0 days 00:00:01.092290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,0.006,3m,3.0,3.0,1.1,956,,,,,,,,,,,,,,,0.05,1,COMPLETE
13,13,-5.015088915711123,2025-06-14 18:59:22.856535,2025-06-14 18:59:29.009696,0 days 00:00:06.153161,374.0,0.001,1m,4.0,1.5,2.0,836.0,,,,,,,,,,,,,,,424.0,0.01,2m,2.0,2.5,0.9,628.0,,,,,,,,48.0,0.002,1m,1.0,4.0,1.6,654.0,244.0,0.004,4m,3.5,1.0,1.6,150.0,136,0.002,3m,2.5,3.0,1.5,986,312.0,0.001,1m,3.0,3.5,1.2000000000000002,864.0,448.0,0.01,4m,2.0,2.0,1.3,650.0,0.15000000000000002,7,COMPLETE
14,14,-0.3926139242457372,2025-06-14 18:59:29.068760,2025-06-14 18:59:30.158886,0 days 00:00:01.090126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746,0.004,3m,3.0,4.0,1.1,180,,,,,,,,,,,,,,,0.05,1,COMPLETE
15,15,-3.691302563344209,2025-06-14 18:59:30.211955,2025-06-14 18:59:36.349390,0 days 00:00:06.137435,16.0,0.003,2m,2.0,2.0,1.2000000000000002,364.0,,,,,,,,,,,,,,,22.0,0.005,1m,4.0,1.5,1.3,96.0,,,,,,,,644.0,0.001,3m,3.0,2.5,1.0,778.0,312.0,0.003,2m,3.5,2.5,2.0,272.0,36,0.007,3m,2.0,3.5,1.0,496,924.0,0.009000000000000001,3m,3.0,2.5,0.5,222.0,992.0,0.008,1m,4.0,2.0,0.5,22.0,0.35000000000000003,7,COMPLETE
16,16,-2.0294115720785517,2025-06-14 18:59:36.426675,2025-06-14 18:59:41.887873,0 days 00:00:05.461198,428.0,0.005,2m,3.0,4.0,0.5,872.0,,,,,,,,,,,,,,,628.0,0.005,2m,2.0,3.0,1.0,444.0,,,,,,,,280.0,0.008,1m,3.5,2.5,1.6,1016.0,498.0,0.004,2m,1.5,2.5,1.4,680.0,526,0.003,3m,3.5,2.5,1.5,582,,,,,,,,668.0,0.001,2m,2.0,1.5,2.0,488.0,0.15000000000000002,6,COMPLETE
17,17,-5.54292781130125,2025-06-14 18:59:41.966582,2025-06-14 18:59:43.758599,0 days 00:00:01.792017,214.0,0.002,1m,1.0,3.5,1.5,724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,856,0.005,2m,2.0,3.5,1.2000000000000002,804,,,,,,,,,,,,,,,0.1,2,COMPLETE
18,18,-6.106248537511735,2025-06-14 18:59:43.818123,2025-06-14 18:59:51.765584,0 days 00:00:07.947461,576.0,0.005,2m,2.0,2.0,1.8,428.0,1012.0,0.006,1m,1.0,1.0,1.7000000000000002,938.0,,,,,,,,270.0,0.002,1m,1.5,2.0,2.0,974.0,38.0,0.01,2m,4.0,4.0,2.0,974.0,226.0,0.003,1m,2.0,1.0,2.0,454.0,190.0,0.001,4m,3.0,4.0,1.8,384.0,632,0.007,1m,3.5,3.0,0.7,438,362.0,0.003,3m,2.5,3.0,1.4,352.0,322.0,0.008,4m,1.0,2.5,1.1,680.0,0.25,9,COMPLETE
19,19,1.1029443037896607,2025-06-14 18:59:51.847164,2025-06-14 18:59:57.264124,0 days 00:00:05.416960,106.0,0.003,2m,4.0,3.5,1.4,26.0,,,,,,,,,,,,,,,674.0,0.007,3m,3.5,4.0,1.5,650.0,,,,,,,,712.0,0.007,3m,2.5,4.0,1.0,762.0,456.0,0.005,2m,3.0,2.0,0.9,1018.0,178,0.01,3m,2.5,2.5,1.6,188,,,,,,,,668.0,0.004,4m,2.0,1.5,1.7000000000000002,326.0,0.1,6,COMPLETE
20,20,-5.074546964434099,2025-06-14 18:59:57.333743,2025-06-14 19:00:00.900131,0 days 00:00:03.566388,482.0,0.006,1m,3.0,2.0,1.1,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.0,0.005,2m,3.5,3.0,1.7000000000000002,442.0,658.0,0.003,2m,2.0,2.0,1.4,214.0,392,0.005,3m,3.0,3.5,1.4,874,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
21,21,-2.7919591322307213,2025-06-14 19:00:00.977484,2025-06-14 19:00:06.431969,0 days 00:00:05.454485,166.0,0.002,2m,4.0,3.5,1.4,42.0,,,,,,,,,,,,,,,672.0,0.007,3m,3.5,4.0,1.5,644.0,,,,,,,,772.0,0.007,3m,2.5,4.0,1.1,790.0,440.0,0.005,2m,3.0,2.0,0.9,1006.0,194,0.01,3m,2.5,2.5,1.7000000000000002,196,,,,,,,,666.0,0.004,4m,2.0,1.5,1.7000000000000002,348.0,0.1,6,COMPLETE
22,22,-3.755138418616226,2025-06-14 19:00:06.494441,2025-06-14 19:00:13.670643,0 days 00:00:07.176202,110.0,0.003,2m,2.5,3.5,1.6,200.0,,,,,,,,,,,,,,,760.0,0.009000000000000001,3m,4.0,3.5,1.5,338.0,994.0,0.006,3m,1.0,2.5,2.0,26.0,772.0,0.008,3m,2.0,3.5,0.7,754.0,134.0,0.005,2m,4.0,1.0,0.8,868.0,194,0.01,3m,2.5,2.5,1.7000000000000002,134,18.0,0.008,1m,4.0,2.0,1.2000000000000002,750.0,836.0,0.004,4m,2.5,1.5,1.4,320.0,0.05,8,COMPLETE
23,23,-5.9815702300940226,2025-06-14 19:00:13.731513,2025-06-14 19:00:19.322140,0 days 00:00:05.590627,312.0,0.002,2m,4.0,4.0,1.0,268.0,,,,,,,,,,,,,,,286.0,0.004,3m,3.0,3.0,1.0,544.0,,,,,,,,796.0,0.006,3m,3.5,3.0,1.4,680.0,388.0,0.002,2m,3.0,2.5,1.2000000000000002,432.0,460,0.01,3m,2.0,2.0,1.1,412,,,,,,,,588.0,0.001,4m,1.5,2.0,1.8,94.0,0.1,6,COMPLETE
