,number,value,datetime_start,datetime_complete,duration,params_COST_MU_beta_win,params_COST_MU_stop_loss,params_COST_MU_trade_freq,params_COST_MU_z_entry,params_COST_MU_z_exit,params_COST_MU_z_stop_scaler,params_COST_MU_z_win,params_CRWD_EXC_beta_win,params_CRWD_EXC_stop_loss,params_CRWD_EXC_trade_freq,params_CRWD_EXC_z_entry,params_CRWD_EXC_z_exit,params_CRWD_EXC_z_stop_scaler,params_CRWD_EXC_z_win,params_EXC_TEAM_beta_win,params_EXC_TEAM_stop_loss,params_EXC_TEAM_trade_freq,params_EXC_TEAM_z_entry,params_EXC_TEAM_z_exit,params_EXC_TEAM_z_stop_scaler,params_EXC_TEAM_z_win,params_INTC_CTAS_beta_win,params_INTC_CTAS_stop_loss,params_INTC_CTAS_trade_freq,params_INTC_CTAS_z_entry,params_INTC_CTAS_z_exit,params_INTC_CTAS_z_stop_scaler,params_INTC_CTAS_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_MSFT_TTWO_beta_win,params_MSFT_TTWO_stop_loss,params_MSFT_TTWO_trade_freq,params_MSFT_TTWO_z_entry,params_MSFT_TTWO_z_exit,params_MSFT_TTWO_z_stop_scaler,params_MSFT_TTWO_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_MU_EXC_beta_win,params_MU_EXC_stop_loss,params_MU_EXC_trade_freq,params_MU_EXC_z_entry,params_MU_EXC_z_exit,params_MU_EXC_z_stop_scaler,params_MU_EXC_z_win,params_WBA_WBD_beta_win,params_WBA_WBD_stop_loss,params_WBA_WBD_trade_freq,params_WBA_WBD_z_entry,params_WBA_WBD_z_exit,params_WBA_WBD_z_stop_scaler,params_WBA_WBD_z_win,params_ZS_EXC_beta_win,params_ZS_EXC_stop_loss,params_ZS_EXC_trade_freq,params_ZS_EXC_z_entry,params_ZS_EXC_z_exit,params_ZS_EXC_z_stop_scaler,params_ZS_EXC_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-6.84141004074912,2025-06-14 19:46:00.501787,2025-06-14 19:46:01.627630,0 days 00:00:01.125843,,,,,,,,,,,,,,,,,,,,,,660,0.006,1m,1.0,4.0,1.5,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,-1.3448563526225876,2025-06-14 19:46:01.709909,2025-06-14 19:46:06.673532,0 days 00:00:04.963623,56.0,0.01,4m,1.0,4.0,0.5,940.0,,,,,,,,392.0,0.007,2m,2.5,1.0,0.5,912.0,636,0.004,2m,2.0,3.0,1.1,978,,,,,,,,1024.0,0.002,4m,4.0,1.0,1.0,352.0,658.0,0.01,4m,4.0,1.0,1.1,738.0,,,,,,,,340.0,0.005,3m,1.5,1.0,0.8,850.0,,,,,,,,0.4,6,COMPLETE
12,12,-0.2933171535488513,2025-06-14 19:46:06.783049,2025-06-14 19:46:15.580464,0 days 00:00:08.797415,538.0,0.001,1m,4.0,2.5,1.9000000000000001,64.0,48.0,0.002,3m,1.0,4.0,0.6,18.0,412.0,0.008,2m,2.0,2.5,0.6,1006.0,38,0.006,2m,3.0,3.5,1.5,388,422.0,0.007,4m,4.0,1.5,0.9,166.0,752.0,0.003,4m,2.5,2.0,0.5,446.0,736.0,0.008,4m,2.0,4.0,1.0,774.0,832.0,0.001,2m,4.0,1.0,2.0,28.0,416.0,0.005,2m,1.0,4.0,1.5,752.0,934.0,0.01,4m,4.0,4.0,2.0,942.0,0.25,10,COMPLETE
13,13,-3.2769546622711174,2025-06-14 19:46:15.693576,2025-06-14 19:46:22.010449,0 days 00:00:06.316873,676.0,0.001,1m,4.0,2.0,2.0,22.0,,,,,,,,504.0,0.01,3m,1.5,3.0,0.5,1012.0,582,0.006,1m,3.0,3.5,1.5,388,,,,,,,,718.0,0.002,4m,2.5,2.5,1.3,528.0,800.0,0.008,4m,2.0,1.5,1.1,450.0,1006.0,0.001,2m,4.0,4.0,2.0,60.0,372.0,0.004,2m,1.0,4.0,1.7000000000000002,1016.0,,,,,,,,0.25,7,COMPLETE
14,14,-4.6271951743226465,2025-06-14 19:46:22.146485,2025-06-14 19:46:26.446889,0 days 00:00:04.300404,,,,,,,,,,,,,,,348.0,0.005,3m,2.0,2.5,0.8,736.0,790,0.007,1m,2.5,3.5,1.6,174,,,,,,,,778.0,0.008,3m,2.5,2.0,1.1,398.0,446.0,0.005,4m,4.0,4.0,0.5,322.0,,,,,,,,442.0,0.004,2m,1.0,4.0,1.4,670.0,,,,,,,,0.05,5,COMPLETE
15,15,-4.50684698464253,2025-06-14 19:46:26.563534,2025-06-14 19:46:35.350475,0 days 00:00:08.786941,646.0,0.001,1m,4.0,2.0,0.8,130.0,32.0,0.01,3m,1.0,4.0,2.0,134.0,680.0,0.008,2m,4.0,2.0,0.8,726.0,476,0.002,2m,2.0,3.5,1.7000000000000002,484,158.0,0.008,4m,1.5,2.0,0.6,90.0,414.0,0.004,4m,1.0,1.0,1.4,658.0,494.0,0.008,1m,3.0,3.5,2.0,624.0,936.0,0.01,1m,4.0,2.0,0.5,1018.0,244.0,0.006,2m,1.5,4.0,1.8,94.0,908.0,0.01,2m,4.0,4.0,2.0,1022.0,0.15000000000000002,10,COMPLETE
16,16,-1.00740892354045,2025-06-14 19:46:35.434580,2025-06-14 19:46:36.410416,0 days 00:00:00.975836,,,,,,,,,,,,,,,,,,,,,,62,0.01,2m,3.0,3.0,1.4,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
17,17,-3.315435688635357,2025-06-14 19:46:36.492611,2025-06-14 19:46:44.354057,0 days 00:00:07.861446,168.0,0.004,1m,3.0,2.5,1.0,200.0,86.0,0.004,2m,4.0,2.5,1.1,62.0,318.0,0.005,1m,2.0,3.5,0.8,792.0,784,0.005,1m,1.5,4.0,1.1,400,,,,,,,,790.0,0.001,4m,3.0,2.5,0.5,56.0,942.0,0.008,4m,2.0,2.0,1.3,840.0,16.0,0.001,2m,3.0,1.0,1.4,294.0,602.0,0.004,4m,1.0,3.5,1.4,890.0,,,,,,,,0.1,8,COMPLETE
18,18,-2.7180315780873276,2025-06-14 19:46:44.465402,2025-06-14 19:46:59.952855,0 days 00:00:15.487453,652.0,0.003,3m,3.5,1.0,1.6,652.0,,,,,,,,774.0,0.001,2m,2.5,3.0,1.0,1000.0,454,0.007,1m,1.5,2.5,1.7000000000000002,606,,,,,,,,838.0,0.004,3m,2.0,2.0,0.8,712.0,1024.0,0.006,4m,3.0,3.5,1.0,576.0,,,,,,,,272.0,0.01,2m,2.0,2.5,1.5,698.0,,,,,,,,0.2,6,COMPLETE
19,19,-5.166991471672307,2025-06-14 19:47:00.126716,2025-06-14 19:47:08.337917,0 days 00:00:08.211201,,,,,,,,,,,,,,,,,,,,,,754,0.003,2m,3.5,3.5,1.0,156,,,,,,,,578.0,0.003,4m,2.0,1.5,1.5,416.0,746.0,0.009000000000000001,4m,2.0,4.0,1.5,986.0,,,,,,,,494.0,0.001,2m,3.5,4.0,1.2000000000000002,918.0,,,,,,,,0.35000000000000003,4,COMPLETE
