,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_ADI_BKNG_beta_win,params_ADI_BKNG_stop_loss,params_ADI_BKNG_trade_freq,params_ADI_BKNG_z_entry,params_ADI_BKNG_z_exit,params_ADI_BKNG_z_stop_scaler,params_ADI_BKNG_z_win,params_AVGO_COST_beta_win,params_AVGO_COST_stop_loss,params_AVGO_COST_trade_freq,params_AVGO_COST_z_entry,params_AVGO_COST_z_exit,params_AVGO_COST_z_stop_scaler,params_AVGO_COST_z_win,params_CDW_PCAR_beta_win,params_CDW_PCAR_stop_loss,params_CDW_PCAR_trade_freq,params_CDW_PCAR_z_entry,params_CDW_PCAR_z_exit,params_CDW_PCAR_z_stop_scaler,params_CDW_PCAR_z_win,params_COST_KLAC_beta_win,params_COST_KLAC_stop_loss,params_COST_KLAC_trade_freq,params_COST_KLAC_z_entry,params_COST_KLAC_z_exit,params_COST_KLAC_z_stop_scaler,params_COST_KLAC_z_win,params_DDOG_INTU_beta_win,params_DDOG_INTU_stop_loss,params_DDOG_INTU_trade_freq,params_DDOG_INTU_z_entry,params_DDOG_INTU_z_exit,params_DDOG_INTU_z_stop_scaler,params_DDOG_INTU_z_win,params_DDOG_ROP_beta_win,params_DDOG_ROP_stop_loss,params_DDOG_ROP_trade_freq,params_DDOG_ROP_z_entry,params_DDOG_ROP_z_exit,params_DDOG_ROP_z_stop_scaler,params_DDOG_ROP_z_win,params_KLAC_NFLX_beta_win,params_KLAC_NFLX_stop_loss,params_KLAC_NFLX_trade_freq,params_KLAC_NFLX_z_entry,params_KLAC_NFLX_z_exit,params_KLAC_NFLX_z_stop_scaler,params_KLAC_NFLX_z_win,params_MAR_MRVL_beta_win,params_MAR_MRVL_stop_loss,params_MAR_MRVL_trade_freq,params_MAR_MRVL_z_entry,params_MAR_MRVL_z_exit,params_MAR_MRVL_z_stop_scaler,params_MAR_MRVL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,1.569694052760992,2025-06-14 19:59:01.563747,2025-06-14 19:59:02.484547,0 days 00:00:00.920800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988,0.004,3m,2.5,3.0,1.6,1010,0.35000000000000003,1,COMPLETE
11,11,2.4339611460767365,2025-06-14 19:59:02.547892,2025-06-14 19:59:14.265192,0 days 00:00:11.717300,554.0,0.01,4m,1.5,4.0,2.0,32.0,974.0,0.01,4m,4.0,4.0,0.6,224.0,1006.0,0.001,3m,4.0,1.0,0.6,76.0,334.0,0.001,4m,1.0,4.0,2.0,46.0,1012.0,0.001,3m,1.0,4.0,2.0,984.0,18.0,0.001,2m,3.0,4.0,0.6,504.0,972.0,0.001,4m,4.0,1.5,0.5,1024.0,48.0,0.001,3m,1.5,1.5,0.5,44.0,982.0,0.007,3m,4.0,1.5,1.1,454.0,636,0.006,4m,1.0,2.5,0.6,104,0.15000000000000002,10,COMPLETE
12,12,-0.9136294014263941,2025-06-14 19:59:14.416047,2025-06-14 19:59:17.263380,0 days 00:00:02.847333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716,0.006,4m,2.0,2.5,0.9,526,0.15000000000000002,1,COMPLETE
13,13,-1.684256796067345,2025-06-14 19:59:17.402442,2025-06-14 19:59:33.502022,0 days 00:00:16.099580,450.0,0.01,4m,3.5,4.0,2.0,102.0,984.0,0.01,1m,4.0,4.0,0.5,118.0,702.0,0.001,1m,4.0,1.0,0.5,52.0,390.0,0.001,4m,1.0,2.5,2.0,746.0,,,,,,,,404.0,0.001,3m,1.0,4.0,0.9,514.0,,,,,,,,,,,,,,,1022.0,0.005,3m,4.0,1.5,1.2000000000000002,398.0,768,0.005,3m,1.0,2.5,0.6,516,0.1,7,COMPLETE
14,14,0.9817645221725072,2025-06-14 19:59:33.608348,2025-06-14 19:59:37.299367,0 days 00:00:03.691019,726.0,0.004,4m,1.5,4.0,1.6,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722.0,0.008,3m,4.0,1.0,1.2000000000000002,396.0,780,0.002,4m,2.0,3.0,1.1,188,0.25,3,COMPLETE
15,15,-0.4983082201726405,2025-06-14 19:59:37.374473,2025-06-14 19:59:46.742009,0 days 00:00:09.367536,300.0,0.01,2m,3.5,2.5,1.7000000000000002,702.0,24.0,0.01,4m,4.0,4.0,1.0,1014.0,22.0,0.001,3m,4.0,2.0,0.5,30.0,732.0,0.001,1m,1.5,4.0,0.5,20.0,964.0,0.001,3m,1.0,4.0,2.0,970.0,612.0,0.001,2m,3.0,2.5,0.5,586.0,1024.0,0.01,4m,4.0,2.5,2.0,1014.0,30.0,0.001,3m,1.0,1.0,0.5,76.0,386.0,0.006,3m,3.5,2.0,1.4,240.0,620,0.006,3m,1.5,2.0,0.8,634,0.1,10,COMPLETE
16,16,-2.4259821785926454,2025-06-14 19:59:46.851915,2025-06-14 19:59:52.612171,0 days 00:00:05.760256,598.0,0.005,2m,1.5,2.5,1.7000000000000002,230.0,,,,,,,,684.0,0.01,3m,3.0,2.0,0.9,282.0,276.0,0.003,2m,4.0,3.0,1.6,608.0,,,,,,,,436.0,0.003,3m,3.5,4.0,1.0,448.0,,,,,,,,,,,,,,,844.0,0.009000000000000001,1m,4.0,2.0,1.0,498.0,886,0.003,1m,2.0,3.5,0.7,844,0.15000000000000002,6,COMPLETE
17,17,-5.002509240098044,2025-06-14 19:59:52.699685,2025-06-14 19:59:54.839841,0 days 00:00:02.140156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446.0,0.008,3m,3.0,1.0,0.5,252.0,628,0.007,2m,1.0,2.5,1.0,444,0.25,2,COMPLETE
18,18,0.4380463672389995,2025-06-14 19:59:54.953360,2025-06-14 20:00:00.993563,0 days 00:00:06.040203,860.0,0.01,4m,1.0,1.0,1.9000000000000001,1022.0,,,,,,,,722.0,0.004,2m,2.0,2.0,0.9,224.0,998.0,0.01,4m,2.0,1.5,0.9,44.0,,,,,,,,770.0,0.003,2m,2.0,2.5,1.3,734.0,,,,,,,,,,,,,,,666.0,0.005,3m,3.0,2.0,1.4,718.0,870,0.005,3m,3.0,3.5,1.5,190,0.35000000000000003,6,COMPLETE
19,19,0.2946743090530828,2025-06-14 20:00:01.067566,2025-06-14 20:00:05.108808,0 days 00:00:04.041242,642.0,0.008,2m,2.0,4.0,1.5,692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,0.002,2m,2.5,3.0,0.7,360.0,,,,,,,,,,,,,,,928.0,0.009000000000000001,3m,3.5,1.5,1.0,512.0,548,0.003,4m,1.5,3.0,0.5,834,0.1,4,COMPLETE
