,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_ADI_BKNG_beta_win,params_ADI_BKNG_stop_loss,params_ADI_BKNG_trade_freq,params_ADI_BKNG_z_entry,params_ADI_BKNG_z_exit,params_ADI_BKNG_z_stop_scaler,params_ADI_BKNG_z_win,params_AVGO_COST_beta_win,params_AVGO_COST_stop_loss,params_AVGO_COST_trade_freq,params_AVGO_COST_z_entry,params_AVGO_COST_z_exit,params_AVGO_COST_z_stop_scaler,params_AVGO_COST_z_win,params_CDW_PCAR_beta_win,params_CDW_PCAR_stop_loss,params_CDW_PCAR_trade_freq,params_CDW_PCAR_z_entry,params_CDW_PCAR_z_exit,params_CDW_PCAR_z_stop_scaler,params_CDW_PCAR_z_win,params_COST_KLAC_beta_win,params_COST_KLAC_stop_loss,params_COST_KLAC_trade_freq,params_COST_KLAC_z_entry,params_COST_KLAC_z_exit,params_COST_KLAC_z_stop_scaler,params_COST_KLAC_z_win,params_DDOG_INTU_beta_win,params_DDOG_INTU_stop_loss,params_DDOG_INTU_trade_freq,params_DDOG_INTU_z_entry,params_DDOG_INTU_z_exit,params_DDOG_INTU_z_stop_scaler,params_DDOG_INTU_z_win,params_DDOG_ROP_beta_win,params_DDOG_ROP_stop_loss,params_DDOG_ROP_trade_freq,params_DDOG_ROP_z_entry,params_DDOG_ROP_z_exit,params_DDOG_ROP_z_stop_scaler,params_DDOG_ROP_z_win,params_KLAC_NFLX_beta_win,params_KLAC_NFLX_stop_loss,params_KLAC_NFLX_trade_freq,params_KLAC_NFLX_z_entry,params_KLAC_NFLX_z_exit,params_KLAC_NFLX_z_stop_scaler,params_KLAC_NFLX_z_win,params_MAR_MRVL_beta_win,params_MAR_MRVL_stop_loss,params_MAR_MRVL_trade_freq,params_MAR_MRVL_z_entry,params_MAR_MRVL_z_exit,params_MAR_MRVL_z_stop_scaler,params_MAR_MRVL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
32,32,0.432919889597368,2025-06-14 20:01:24.785070,2025-06-14 20:01:33.060872,0 days 00:00:08.275802,564.0,0.009000000000000001,4m,1.5,3.5,1.9000000000000001,126.0,628.0,0.006,4m,2.5,2.0,1.0,208.0,916.0,0.004,3m,1.5,1.5,0.7,558.0,126.0,0.002,2m,1.5,4.0,1.7000000000000002,250.0,104.0,0.01,2m,2.5,2.5,1.4,640.0,210.0,0.002,2m,2.0,4.0,0.7,476.0,570.0,0.001,2m,2.5,1.5,1.1,600.0,30.0,0.002,3m,2.0,2.0,1.3,224.0,864.0,0.009000000000000001,3m,1.0,3.0,0.7,340.0,628,0.005,2m,1.5,1.5,0.6,22,0.25,10,COMPLETE
33,33,-0.8336723321200583,2025-06-14 20:01:33.128742,2025-06-14 20:01:39.612051,0 days 00:00:06.483309,690.0,0.008,4m,1.0,4.0,1.7000000000000002,236.0,248.0,0.008,4m,1.5,2.5,1.4,66.0,808.0,0.002,3m,2.5,4.0,1.2000000000000002,398.0,302.0,0.005,3m,1.0,3.5,1.1,90.0,,,,,,,,102.0,0.006,2m,2.5,3.5,1.2000000000000002,870.0,400.0,0.003,4m,3.5,4.0,0.5,914.0,,,,,,,,950.0,0.008,3m,1.5,3.5,0.8,660.0,338,0.006,4m,1.0,1.0,0.7,186,0.1,8,COMPLETE
34,34,-2.2684810980893926,2025-06-14 20:01:39.684387,2025-06-14 20:01:46.893371,0 days 00:00:07.208984,890.0,0.006,1m,2.0,3.5,1.9000000000000001,498.0,894.0,0.009000000000000001,4m,1.5,3.5,0.7,356.0,1022.0,0.004,2m,3.5,2.5,1.6,800.0,592.0,0.003,4m,2.0,4.0,1.5,390.0,,,,,,,,486.0,0.001,2m,3.0,4.0,0.9,660.0,924.0,0.006,4m,3.5,2.0,0.7,308.0,524.0,0.007,2m,2.5,1.0,0.8,624.0,1022.0,0.01,3m,2.0,2.5,1.1,544.0,508,0.007,1m,1.5,1.5,1.3,338,0.15000000000000002,9,COMPLETE
35,35,1.918382735382354,2025-06-14 20:01:46.957572,2025-06-14 20:01:53.002872,0 days 00:00:06.045300,464.0,0.005,4m,1.5,3.0,1.6,420.0,676.0,0.005,2m,2.5,2.5,2.0,550.0,912.0,0.002,3m,2.0,3.5,2.0,596.0,360.0,0.001,4m,1.5,3.5,1.8,142.0,,,,,,,,312.0,0.003,2m,3.5,3.5,1.5,800.0,,,,,,,,,,,,,,,824.0,0.003,3m,1.0,4.0,0.6,844.0,946,0.01,2m,1.5,2.0,0.5,256,0.05,7,COMPLETE
36,36,3.788249850301546,2025-06-14 20:01:53.067567,2025-06-14 20:01:57.292846,0 days 00:00:04.225279,960.0,0.007,4m,1.0,2.5,2.0,58.0,,,,,,,,,,,,,,,466.0,0.008,3m,1.0,4.0,1.3,226.0,,,,,,,,72.0,0.005,3m,2.5,3.0,0.6,418.0,,,,,,,,,,,,,,,904.0,0.009000000000000001,3m,1.5,3.0,1.4,462.0,200,0.008,4m,1.0,1.5,2.0,718,0.2,5,COMPLETE
37,37,-2.242058391125859,2025-06-14 20:01:57.360668,2025-06-14 20:01:59.882467,0 days 00:00:02.521799,972.0,0.006,1m,1.0,2.0,1.9000000000000001,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636.0,0.009000000000000001,1m,3.0,3.0,1.4,438.0,812,0.005,4m,2.0,1.0,2.0,728,0.15000000000000002,3,COMPLETE
38,38,-2.437221361208503,2025-06-14 20:01:59.950943,2025-06-14 20:02:04.305000,0 days 00:00:04.354057,780.0,0.007,4m,1.0,2.5,1.3,172.0,,,,,,,,,,,,,,,488.0,0.008,3m,2.5,2.5,1.0,254.0,,,,,,,,252.0,0.004,3m,2.0,2.0,0.5,436.0,,,,,,,,,,,,,,,892.0,0.01,4m,2.5,3.0,1.5,182.0,262,0.008,3m,1.0,2.5,1.6,612,0.3,5,COMPLETE
39,39,1.3728521583698479,2025-06-14 20:02:04.393738,2025-06-14 20:02:07.881005,0 days 00:00:03.487267,964.0,0.009000000000000001,2m,1.0,2.5,1.7000000000000002,924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,0.002,3m,1.5,3.0,0.6,546.0,,,,,,,,,,,,,,,492.0,0.009000000000000001,3m,1.5,3.0,1.7000000000000002,366.0,1010,0.004,1m,1.5,1.5,1.7000000000000002,766,0.2,4,COMPLETE
40,40,-1.6835119490416144,2025-06-14 20:02:07.947666,2025-06-14 20:02:11.992609,0 days 00:00:04.044943,914.0,0.008,3m,2.0,2.0,1.5,58.0,,,,,,,,,,,,,,,688.0,0.008,3m,1.5,3.5,1.3,66.0,,,,,,,,784.0,0.007,3m,2.5,2.0,1.8,406.0,,,,,,,,,,,,,,,744.0,0.01,2m,3.5,2.0,1.5,298.0,210,0.006,4m,1.0,1.5,1.2000000000000002,666,0.1,5,COMPLETE
41,41,0.05285739015447978,2025-06-14 20:02:12.057140,2025-06-14 20:02:20.391311,0 days 00:00:08.334171,808.0,0.007,4m,1.5,3.0,2.0,588.0,532.0,0.009000000000000001,3m,2.0,1.5,0.6,756.0,764.0,0.003,3m,1.0,1.5,1.8,244.0,214.0,0.007,3m,1.0,4.0,1.4,164.0,674.0,0.004,1m,2.0,3.0,1.4,604.0,74.0,0.005,3m,2.5,2.5,0.8,184.0,704.0,0.002,4m,1.0,1.0,1.0,880.0,214.0,0.003,1m,1.0,2.5,0.5,18.0,970.0,0.007,3m,1.5,4.0,1.3,586.0,266,0.009000000000000001,4m,1.0,1.0,1.8,554,0.25,10,COMPLETE
42,42,3.6672473781864356,2025-06-14 20:02:20.463919,2025-06-14 20:02:22.234304,0 days 00:00:01.770385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.0,0.007,3m,2.0,3.5,0.9,486.0,142,0.008,4m,1.5,2.0,1.4,776,0.2,2,COMPLETE
43,43,3.8994143602752733,2025-06-14 20:02:22.297912,2025-06-14 20:02:24.016776,0 days 00:00:01.718864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.0,0.008,3m,2.0,3.5,1.1,492.0,116,0.008,4m,1.5,2.0,1.4,802,0.15000000000000002,2,COMPLETE
44,44,3.3339977648865045,2025-06-14 20:02:24.103351,2025-06-14 20:02:25.972530,0 days 00:00:01.869179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.0,0.008,3m,2.5,3.5,0.9,496.0,110,0.009000000000000001,4m,2.0,2.0,1.4,772,0.5,2,COMPLETE
45,45,4.96911956460939,2025-06-14 20:02:26.010798,2025-06-14 20:02:27.717524,0 days 00:00:01.706726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.0,0.008,3m,2.5,3.5,0.9,502.0,114,0.009000000000000001,4m,2.0,2.0,1.4,784,0.5,2,COMPLETE
46,46,-1.7587406502501155,2025-06-14 20:02:27.791821,2025-06-14 20:02:29.723603,0 days 00:00:01.931782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.0,0.008,4m,2.5,3.5,0.9,608.0,114,0.009000000000000001,4m,2.5,2.0,1.4,780,0.5,2,COMPLETE
47,47,-2.4834392825166582,2025-06-14 20:02:29.785639,2025-06-14 20:02:30.786562,0 days 00:00:01.000923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.01,4m,2.0,2.0,1.4,916,0.5,1,COMPLETE
48,48,2.11966749577296,2025-06-14 20:02:30.839572,2025-06-14 20:02:32.590573,0 days 00:00:01.751001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.0,0.008,3m,2.5,3.5,0.9,480.0,88,0.009000000000000001,4m,2.5,2.0,1.5,880,0.45,2,COMPLETE
49,49,0.5569635829121118,2025-06-14 20:02:32.674072,2025-06-14 20:02:33.694387,0 days 00:00:01.020315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,0.008,4m,2.0,2.0,1.5,786,0.4,1,COMPLETE
50,50,-2.092405161513594,2025-06-14 20:02:33.742203,2025-06-14 20:02:35.614453,0 days 00:00:01.872250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.0,0.006,2m,2.5,3.5,1.2000000000000002,410.0,222,0.008,4m,2.0,1.5,1.7000000000000002,696,0.45,2,COMPLETE
51,51,2.9220539159319796,2025-06-14 20:02:35.732570,2025-06-14 20:02:38.208846,0 days 00:00:02.476276,834.0,0.003,1m,4.0,1.5,0.9,788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.0,0.009000000000000001,3m,2.0,3.5,1.1,516.0,66,0.009000000000000001,4m,2.0,3.0,1.3,818,0.5,3,COMPLETE
52,52,2.2466601718296264,2025-06-14 20:02:38.270022,2025-06-14 20:02:40.769720,0 days 00:00:02.499698,1018.0,0.005,2m,3.0,1.0,0.5,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.0,0.008,3m,3.0,4.0,1.0,556.0,158,0.01,4m,1.5,2.5,1.6,750,0.4,3,COMPLETE
53,53,2.0283311385066694,2025-06-14 20:02:40.825834,2025-06-14 20:02:43.514926,0 days 00:00:02.689092,750.0,0.004,3m,3.5,2.5,1.4,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,0.007,3m,2.5,3.0,0.9,518.0,204,0.008,3m,2.5,2.0,1.4,670,0.4,3,COMPLETE
54,54,3.406521127647043,2025-06-14 20:02:43.576670,2025-06-14 20:02:45.993088,0 days 00:00:02.416418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798.0,0.009000000000000001,3m,2.0,3.5,0.8,404.0,130,0.007,4m,2.0,2.5,1.2000000000000002,996,0.5,2,COMPLETE
55,55,2.807788315877661,2025-06-14 20:02:46.049022,2025-06-14 20:02:47.893812,0 days 00:00:01.844790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.0,0.009000000000000001,3m,2.0,4.0,0.8,418.0,66,0.007,4m,2.0,2.0,1.3,976,0.5,2,COMPLETE
56,56,1.484329419101963,2025-06-14 20:02:47.964362,2025-06-14 20:02:50.473296,0 days 00:00:02.508934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,0.008,4m,1.5,2.5,1.2000000000000002,888,0.45,1,COMPLETE
57,57,0.5228604621026852,2025-06-14 20:02:50.589836,2025-06-14 20:02:55.572310,0 days 00:00:04.982474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706.0,0.008,3m,2.0,3.5,0.8,372.0,302,0.009000000000000001,4m,2.0,1.5,1.9000000000000001,980,0.5,2,COMPLETE
58,58,-100.0,2025-06-14 20:02:55.690822,2025-06-14 20:02:58.384367,0 days 00:00:02.693545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,0.007,4m,3.5,2.0,1.5,1024,0.35000000000000003,1,COMPLETE
59,59,-3.9546040498552415,2025-06-14 20:02:58.498814,2025-06-14 20:03:08.014396,0 days 00:00:09.515582,114.0,0.001,1m,2.5,1.5,1.1,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,704.0,0.009000000000000001,1m,1.0,1.0,2.0,306.0,,,,,,,,,,,,,,,918.0,0.007,3m,2.5,3.5,1.0,468.0,30,0.009000000000000001,4m,1.5,2.5,1.2000000000000002,808,0.45,4,COMPLETE
60,60,-5.045298834115617,2025-06-14 20:03:08.113455,2025-06-14 20:03:11.042448,0 days 00:00:02.928993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776.0,0.009000000000000001,1m,1.5,3.0,0.9,626.0,228,0.008,2m,2.5,1.5,1.7000000000000002,878,0.5,2,COMPLETE
61,61,0.3122260307996556,2025-06-14 20:03:11.137503,2025-06-14 20:03:14.509458,0 days 00:00:03.371955,948.0,0.003,2m,4.0,2.5,1.2000000000000002,770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.0,0.008,3m,2.5,3.5,1.6,504.0,86,0.007,3m,2.0,3.0,2.0,708,0.2,3,COMPLETE
62,62,1.5599771634078312,2025-06-14 20:03:14.580807,2025-06-14 20:03:17.171069,0 days 00:00:02.590262,26.0,0.006,3m,2.5,2.0,0.8,552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,0.009000000000000001,3m,2.5,3.5,1.2000000000000002,388.0,178,0.009000000000000001,4m,2.0,2.5,1.0,736,0.25,3,COMPLETE
63,63,1.9074031721688265,2025-06-14 20:03:17.234178,2025-06-14 20:03:19.065997,0 days 00:00:01.831819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732.0,0.008,3m,2.0,3.0,1.1,546.0,122,0.008,4m,2.0,2.5,1.8,554,0.15000000000000002,2,COMPLETE
64,64,2.0122240594808893,2025-06-14 20:03:19.122786,2025-06-14 20:03:20.045325,0 days 00:00:00.922539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,0.007,3m,1.5,3.0,1.4,656,0.2,1,COMPLETE
65,65,4.551181977459813,2025-06-14 20:03:20.107748,2025-06-14 20:03:21.828638,0 days 00:00:01.720890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824.0,0.009000000000000001,3m,3.0,3.5,0.8,488.0,236,0.01,4m,2.5,2.5,1.6,856,0.45,2,COMPLETE
66,66,3.776754261695506,2025-06-14 20:03:21.890078,2025-06-14 20:03:23.809116,0 days 00:00:01.919038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.0,0.007,3m,3.0,3.5,0.6,424.0,296,0.01,4m,3.0,2.0,1.3,854,0.45,2,COMPLETE
67,67,-100.0,2025-06-14 20:03:23.905585,2025-06-14 20:03:24.838748,0 days 00:00:00.933163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,0.01,4m,3.0,2.5,1.3,948,0.45,1,COMPLETE
68,68,-6.536069003639044,2025-06-14 20:03:24.921171,2025-06-14 20:03:27.508024,0 days 00:00:02.586853,182.0,0.003,1m,2.5,1.0,0.7,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.0,0.007,3m,3.0,4.0,0.6,430.0,240,0.01,4m,3.5,2.0,1.5,864,0.4,3,COMPLETE
69,69,-3.1674682325216015,2025-06-14 20:03:27.590689,2025-06-14 20:03:31.077931,0 days 00:00:03.487242,250.0,0.002,3m,2.5,1.5,1.0,458.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,0.01,4m,4.0,1.5,1.2000000000000002,172.0,,,,,,,,,,,,,,,880.0,0.006,3m,3.0,3.5,0.8,362.0,302,0.01,4m,3.0,2.5,1.3,926,0.45,4,COMPLETE
70,70,0.352525811019912,2025-06-14 20:03:31.164133,2025-06-14 20:03:32.875151,0 days 00:00:01.711018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662.0,0.005,3m,3.0,4.0,0.6,282.0,386,0.01,4m,3.0,2.0,1.6,842,0.3,2,COMPLETE
71,71,3.560310460254561,2025-06-14 20:03:32.923665,2025-06-14 20:03:34.865041,0 days 00:00:01.941376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820.0,0.008,3m,2.5,3.5,0.8,480.0,188,0.009000000000000001,4m,3.5,2.0,1.2000000000000002,816,0.5,2,COMPLETE
72,72,4.238088633365617,2025-06-14 20:03:34.928162,2025-06-14 20:03:36.880539,0 days 00:00:01.952377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,808.0,0.007,3m,2.0,3.5,0.7,462.0,194,0.009000000000000001,4m,3.5,2.0,1.2000000000000002,902,0.5,2,COMPLETE
73,73,-100.0,2025-06-14 20:03:36.944896,2025-06-14 20:03:37.843874,0 days 00:00:00.898978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,0.009000000000000001,4m,3.5,2.0,1.1,814,0.5,1,COMPLETE
74,74,5.327406248504786,2025-06-14 20:03:37.906261,2025-06-14 20:03:39.722451,0 days 00:00:01.816190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848.0,0.007,3m,3.0,3.5,0.5,466.0,298,0.01,4m,4.0,1.5,1.2000000000000002,908,0.45,2,COMPLETE
75,75,-2.8973112150911784,2025-06-14 20:03:39.772141,2025-06-14 20:03:42.562604,0 days 00:00:02.790463,374.0,0.002,1m,3.0,1.5,1.2000000000000002,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892.0,0.006,3m,3.0,3.0,0.5,462.0,292,0.01,4m,4.0,1.5,1.4,894,0.45,3,COMPLETE
76,76,-100.0,2025-06-14 20:03:42.635542,2025-06-14 20:03:43.715907,0 days 00:00:01.080365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,0.01,2m,4.0,1.5,1.3,856,0.4,1,COMPLETE
77,77,0.06129770949963763,2025-06-14 20:03:43.772988,2025-06-14 20:03:45.579884,0 days 00:00:01.806896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,924.0,0.007,4m,3.5,3.5,0.5,532.0,324,0.01,4m,3.5,1.5,1.5,950,0.35000000000000003,2,COMPLETE
78,78,-2.0973808036755153,2025-06-14 20:03:45.611957,2025-06-14 20:03:47.992707,0 days 00:00:02.380750,714.0,0.005,3m,3.5,1.0,1.0,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756.0,0.007,3m,3.0,4.0,0.6,568.0,246,0.009000000000000001,4m,4.0,1.5,1.0,794,0.45,3,COMPLETE
79,79,-0.7021469387034301,2025-06-14 20:03:48.050303,2025-06-14 20:03:49.885266,0 days 00:00:01.834963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858.0,0.006,2m,1.5,3.5,0.7,442.0,162,0.01,4m,4.0,3.5,1.1,918,0.45,2,COMPLETE
80,80,-100.0,2025-06-14 20:03:49.940305,2025-06-14 20:03:51.029147,0 days 00:00:01.088842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,0.009000000000000001,4m,3.5,2.0,1.2000000000000002,750,0.2,1,COMPLETE
81,81,3.357813405930147,2025-06-14 20:03:51.097452,2025-06-14 20:03:52.827222,0 days 00:00:01.729770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.0,0.007,3m,2.5,3.5,0.7,486.0,276,0.009000000000000001,4m,3.5,2.0,1.2000000000000002,830,0.5,2,COMPLETE
82,82,4.020803709244505,2025-06-14 20:03:52.880666,2025-06-14 20:03:55.049507,0 days 00:00:02.168841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,836.0,0.008,3m,2.0,3.5,0.6,484.0,186,0.009000000000000001,4m,3.0,2.0,1.3,908,0.5,2,COMPLETE
83,83,3.8784617746861776,2025-06-14 20:03:55.095081,2025-06-14 20:03:56.874938,0 days 00:00:01.779857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860.0,0.007,3m,2.0,3.5,0.5,424.0,250,0.01,4m,3.0,2.0,1.3,912,0.5,2,COMPLETE
84,84,-0.3596678378822058,2025-06-14 20:03:56.926554,2025-06-14 20:03:59.832798,0 days 00:00:02.906244,422.0,0.004,1m,2.0,2.0,1.4,292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,904.0,0.008,3m,2.0,3.0,0.5,348.0,254,0.01,4m,3.0,2.0,1.3,914,0.5,3,COMPLETE
85,85,-1.8520355793751178,2025-06-14 20:03:59.886397,2025-06-14 20:04:01.852819,0 days 00:00:01.966422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.0,0.001,3m,1.5,3.5,0.5,438.0,216,0.01,4m,3.0,1.5,1.3,964,0.45,2,COMPLETE
86,86,-100.0,2025-06-14 20:04:01.951081,2025-06-14 20:04:03.024894,0 days 00:00:01.073813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,0.01,4m,3.0,1.5,1.1,908,0.5,1,COMPLETE
87,87,-6.514546325884022,2025-06-14 20:04:03.099897,2025-06-14 20:04:05.958690,0 days 00:00:02.858793,642.0,0.003,3m,1.0,3.0,0.5,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,944.0,0.007,3m,3.0,4.0,0.6,388.0,284,0.009000000000000001,4m,3.0,2.0,1.4,860,0.45,3,COMPLETE
88,88,-0.9568282828882856,2025-06-14 20:04:06.027679,2025-06-14 20:04:08.118343,0 days 00:00:02.090664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.0,0.008,1m,2.0,3.5,0.6,528.0,330,0.01,2m,2.5,2.0,1.9000000000000001,932,0.5,2,COMPLETE
89,89,-1.1041340437626606,2025-06-14 20:04:08.173663,2025-06-14 20:04:10.077236,0 days 00:00:01.903573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718.0,0.007,3m,3.5,3.0,0.7,596.0,210,0.001,4m,3.5,2.0,1.3,994,0.4,2,COMPLETE
90,90,-1.7253448465384893,2025-06-14 20:04:10.146138,2025-06-14 20:04:13.939331,0 days 00:00:03.793193,98.0,0.001,1m,2.5,2.0,0.6,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894.0,0.008,1m,1.5,2.0,1.0,16.0,,,,,,,,,,,,,,,978.0,0.005,3m,1.0,3.5,0.6,452.0,248,0.009000000000000001,4m,2.5,2.0,1.2000000000000002,886,0.5,4,COMPLETE
91,91,4.092198344898889,2025-06-14 20:04:14.005216,2025-06-14 20:04:16.004277,0 days 00:00:01.999061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.007,3m,2.0,3.5,0.5,496.0,154,0.008,4m,3.0,2.0,1.4,842,0.15000000000000002,2,COMPLETE
92,92,4.302792815330364,2025-06-14 20:04:16.078993,2025-06-14 20:04:18.036544,0 days 00:00:01.957551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,876.0,0.007,3m,2.0,3.5,0.5,426.0,148,0.008,4m,3.0,2.0,1.4,854,0.15000000000000002,2,COMPLETE
93,93,3.7402181079981753,2025-06-14 20:04:18.093619,2025-06-14 20:04:20.125770,0 days 00:00:02.032151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.0,0.006,3m,2.0,3.5,0.5,506.0,96,0.008,4m,3.0,1.5,1.5,802,0.15000000000000002,2,COMPLETE
94,94,-100.0,2025-06-14 20:04:20.181104,2025-06-14 20:04:21.301898,0 days 00:00:01.120794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,0.008,4m,3.0,2.0,1.6,830,0.15000000000000002,1,COMPLETE
95,95,-0.3960766124276483,2025-06-14 20:04:21.367372,2025-06-14 20:04:26.745870,0 days 00:00:05.378498,490.0,0.007,4m,2.0,1.5,1.3,862.0,,,,,,,,68.0,0.01,1m,1.0,3.5,1.0,830.0,816.0,0.01,1m,4.0,2.0,0.6,870.0,,,,,,,,898.0,0.009000000000000001,3m,1.0,2.5,1.3,310.0,,,,,,,,,,,,,,,928.0,0.008,3m,2.0,3.5,0.5,470.0,188,0.008,4m,2.5,2.0,1.8,898,0.15000000000000002,6,COMPLETE
