,number,value,datetime_start,datetime_complete,duration,params_AEP_MCHP_beta_win,params_AEP_MCHP_stop_loss,params_AEP_MCHP_trade_freq,params_AEP_MCHP_z_entry,params_AEP_MCHP_z_exit,params_AEP_MCHP_z_stop_scaler,params_AEP_MCHP_z_win,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_AMZN_NFLX_beta_win,params_AMZN_NFLX_stop_loss,params_AMZN_NFLX_trade_freq,params_AMZN_NFLX_z_entry,params_AMZN_NFLX_z_exit,params_AMZN_NFLX_z_stop_scaler,params_AMZN_NFLX_z_win,params_ASML_NFLX_beta_win,params_ASML_NFLX_stop_loss,params_ASML_NFLX_trade_freq,params_ASML_NFLX_z_entry,params_ASML_NFLX_z_exit,params_ASML_NFLX_z_stop_scaler,params_ASML_NFLX_z_win,params_AVGO_COST_beta_win,params_AVGO_COST_stop_loss,params_AVGO_COST_trade_freq,params_AVGO_COST_z_entry,params_AVGO_COST_z_exit,params_AVGO_COST_z_stop_scaler,params_AVGO_COST_z_win,params_CCEP_MRVL_beta_win,params_CCEP_MRVL_stop_loss,params_CCEP_MRVL_trade_freq,params_CCEP_MRVL_z_entry,params_CCEP_MRVL_z_exit,params_CCEP_MRVL_z_stop_scaler,params_CCEP_MRVL_z_win,params_COST_KLAC_beta_win,params_COST_KLAC_stop_loss,params_COST_KLAC_trade_freq,params_COST_KLAC_z_entry,params_COST_KLAC_z_exit,params_COST_KLAC_z_stop_scaler,params_COST_KLAC_z_win,params_ISRG_MRVL_beta_win,params_ISRG_MRVL_stop_loss,params_ISRG_MRVL_trade_freq,params_ISRG_MRVL_z_entry,params_ISRG_MRVL_z_exit,params_ISRG_MRVL_z_stop_scaler,params_ISRG_MRVL_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_LULU_TTD_beta_win,params_LULU_TTD_stop_loss,params_LULU_TTD_trade_freq,params_LULU_TTD_z_entry,params_LULU_TTD_z_exit,params_LULU_TTD_z_stop_scaler,params_LULU_TTD_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
75,75,-2.108167383324017,2025-06-14 20:01:36.897903,2025-06-14 20:01:42.491507,0 days 00:00:05.593604,,,,,,,,140.0,0.001,2m,3.5,2.5,1.3,250.0,,,,,,,,872.0,0.004,4m,3.5,1.5,1.5,550.0,184.0,0.008,4m,4.0,1.0,1.5,22.0,,,,,,,,,,,,,,,966.0,0.007,3m,2.5,4.0,1.1,296.0,612,0.008,3m,3.0,3.5,0.7,946,752,0.003,2m,3.5,3.0,1.3,264,498.0,0.007,1m,3.5,3.0,1.4,110.0,0.5,6,COMPLETE
76,76,-2.7065150025330915,2025-06-14 20:01:42.562454,2025-06-14 20:01:49.075208,0 days 00:00:06.512754,,,,,,,,252.0,0.002,2m,4.0,3.5,1.1,32.0,,,,,,,,1024.0,0.003,4m,3.5,1.5,1.6,658.0,398.0,0.01,4m,4.0,1.0,1.8,122.0,,,,,,,,220.0,0.003,2m,4.0,1.0,1.9000000000000001,464.0,920.0,0.007,3m,2.5,4.0,1.0,180.0,690,0.008,3m,3.0,3.5,0.8,864,698,0.003,2m,3.5,2.5,1.2000000000000002,324,632.0,0.008,1m,3.0,2.5,1.3,206.0,0.5,7,COMPLETE
77,77,4.21602542059379,2025-06-14 20:01:49.145450,2025-06-14 20:01:56.689914,0 days 00:00:07.544464,866.0,0.006,3m,3.0,1.5,0.6,246.0,214.0,0.001,2m,3.5,3.0,1.5,132.0,,,,,,,,816.0,0.004,4m,3.5,1.0,1.5,752.0,334.0,0.009000000000000001,2m,3.5,1.0,1.7000000000000002,160.0,,,,,,,,320.0,0.003,2m,3.5,1.5,1.5,382.0,980.0,0.005,1m,3.0,3.5,1.3,378.0,576,0.01,3m,3.0,4.0,1.4,916,612,0.004,2m,2.0,3.0,1.3,234,556.0,0.007,1m,3.0,3.0,1.2000000000000002,286.0,0.45,8,COMPLETE
78,78,-1.939990881723133,2025-06-14 20:01:56.777521,2025-06-14 20:02:03.234893,0 days 00:00:06.457372,,,,,,,,70.0,0.002,2m,3.0,3.0,1.4,140.0,,,,,,,,764.0,0.003,4m,3.5,1.5,1.6,862.0,310.0,0.01,2m,3.5,1.5,1.5,170.0,,,,,,,,342.0,0.005,3m,3.5,2.0,1.5,384.0,974.0,0.004,1m,3.0,3.5,1.3,372.0,588,0.01,3m,3.5,4.0,1.4,984,614,0.004,4m,2.0,3.5,1.5,176,558.0,0.007,1m,3.0,3.0,1.1,298.0,0.5,7,COMPLETE
79,79,0.7235643322231755,2025-06-14 20:02:03.309291,2025-06-14 20:02:08.859002,0 days 00:00:05.549711,,,,,,,,146.0,0.001,3m,2.5,2.5,1.5,90.0,,,,,,,,818.0,0.01,1m,3.0,4.0,1.4,750.0,364.0,0.009000000000000001,2m,3.5,1.0,1.9000000000000001,830.0,,,,,,,,,,,,,,,886.0,0.005,1m,3.0,3.5,1.5,470.0,796,0.009000000000000001,1m,3.0,3.5,1.5,896,520,0.004,2m,2.0,3.0,1.6,366,510.0,0.006,1m,3.0,2.5,1.2000000000000002,288.0,0.45,6,COMPLETE
80,80,0.822127969955814,2025-06-14 20:02:08.930121,2025-06-14 20:02:15.190135,0 days 00:00:06.260014,,,,,,,,308.0,0.001,1m,4.0,3.0,1.6,160.0,,,,,,,,716.0,0.004,4m,4.0,1.0,1.3,698.0,238.0,0.007,2m,3.5,1.0,1.6,60.0,,,,,,,,294.0,0.002,2m,3.0,1.0,1.4,366.0,938.0,0.004,1m,2.0,4.0,1.3,124.0,668,0.01,3m,3.0,4.0,1.4,474,586,0.004,2m,2.0,3.5,1.1,148,438.0,0.007,2m,2.5,3.0,0.5,250.0,0.4,7,COMPLETE
81,81,-6.962866550143682,2025-06-14 20:02:15.255326,2025-06-14 20:02:22.624522,0 days 00:00:07.369196,878.0,0.006,3m,3.0,1.5,0.6,224.0,234.0,0.001,2m,3.5,3.0,1.2000000000000002,238.0,,,,,,,,968.0,0.004,4m,3.5,1.0,1.5,654.0,146.0,0.009000000000000001,2m,4.0,1.0,1.7000000000000002,110.0,,,,,,,,214.0,0.003,2m,3.5,1.5,1.6,484.0,1024.0,0.005,2m,2.5,4.0,1.1,266.0,636,0.009000000000000001,3m,3.0,4.0,1.5,918,688,0.003,2m,4.0,3.0,1.3,288,476.0,0.008,1m,3.5,3.0,1.3,164.0,0.45,8,COMPLETE
82,82,0.7497900045184406,2025-06-14 20:02:22.702291,2025-06-14 20:02:30.790549,0 days 00:00:08.088258,848.0,0.004,3m,3.0,1.0,0.6,248.0,206.0,0.002,2m,3.5,3.0,1.0,306.0,308.0,0.01,3m,1.5,2.0,1.2000000000000002,320.0,904.0,0.004,4m,3.5,1.0,1.5,584.0,330.0,0.009000000000000001,4m,4.0,1.0,1.8,152.0,,,,,,,,274.0,0.003,2m,3.5,1.5,1.8,572.0,980.0,0.006,3m,3.0,4.0,1.2000000000000002,298.0,718,0.009000000000000001,3m,3.0,4.0,1.6,974,720,0.003,2m,2.0,3.0,1.4,240,518.0,0.008,1m,3.0,3.0,1.4,208.0,0.5,9,COMPLETE
83,83,1.8786165670566854,2025-06-14 20:02:30.855411,2025-06-14 20:02:38.042351,0 days 00:00:07.186940,804.0,0.006,3m,2.5,1.5,0.7,430.0,190.0,0.001,2m,3.5,3.5,1.3,148.0,,,,,,,,856.0,0.004,4m,3.5,1.0,1.6,690.0,296.0,0.008,4m,4.0,1.0,1.7000000000000002,48.0,,,,,,,,386.0,0.004,3m,4.0,1.5,1.6,426.0,986.0,0.008,1m,2.5,3.5,1.0,216.0,618,0.007,3m,3.5,4.0,0.6,946,624,0.004,2m,1.5,3.0,1.3,196,382.0,0.007,1m,3.0,3.0,1.2000000000000002,54.0,0.45,8,COMPLETE
84,84,-2.1161203810740874,2025-06-14 20:02:38.151745,2025-06-14 20:02:47.420549,0 days 00:00:09.268804,930.0,0.005,3m,3.5,2.0,0.6,326.0,280.0,0.001,4m,3.5,3.0,1.5,226.0,708.0,0.005,3m,4.0,3.0,1.7000000000000002,978.0,802.0,0.005,4m,3.5,1.5,1.4,772.0,208.0,0.01,1m,4.0,1.5,1.6,84.0,38.0,0.002,3m,1.0,2.5,1.1,1022.0,176.0,0.003,1m,3.5,1.5,1.9000000000000001,350.0,840.0,0.005,3m,3.5,4.0,1.4,266.0,568,0.008,3m,3.0,3.5,1.6,1024,552,0.004,2m,1.5,3.0,1.3,350,566.0,0.008,1m,3.5,3.5,1.1,106.0,0.45,10,COMPLETE
85,85,3.070276521121453,2025-06-14 20:02:47.513258,2025-06-14 20:03:08.035964,0 days 00:00:20.522706,690.0,0.002,3m,2.0,1.5,0.5,188.0,82.0,0.002,2m,3.5,3.0,1.0,662.0,,,,,,,,628.0,0.003,3m,3.0,1.5,1.7000000000000002,742.0,392.0,0.009000000000000001,4m,4.0,1.0,1.8,16.0,,,,,,,,102.0,0.002,4m,3.5,1.0,1.7000000000000002,232.0,908.0,0.006,3m,3.0,2.5,0.9,344.0,426,0.001,3m,3.0,4.0,1.0,988,650,0.005,2m,2.0,2.5,1.2000000000000002,374,692.0,0.007,3m,4.0,3.0,1.3,220.0,0.4,8,COMPLETE
86,86,-4.067129780999603,2025-06-14 20:03:08.144919,2025-06-14 20:03:16.348111,0 days 00:00:08.203192,,,,,,,,74.0,0.002,2m,2.0,3.0,0.9,674.0,,,,,,,,632.0,0.003,3m,3.0,1.5,1.7000000000000002,528.0,376.0,0.009000000000000001,3m,3.5,1.5,1.9000000000000001,18.0,,,,,,,,86.0,0.001,4m,4.0,1.0,1.1,220.0,912.0,0.006,2m,3.0,2.5,0.9,366.0,376,0.001,3m,3.0,4.0,1.4,988,650,0.005,2m,2.0,2.5,1.1,534,704.0,0.006,3m,4.0,3.5,1.4,234.0,0.4,7,COMPLETE
87,87,1.3449898858329918,2025-06-14 20:03:16.439843,2025-06-14 20:03:24.314199,0 days 00:00:07.874356,694.0,0.002,3m,2.0,2.0,0.5,184.0,134.0,0.003,1m,4.0,3.5,1.0,908.0,334.0,0.007,4m,2.0,1.0,0.9,620.0,660.0,0.003,3m,3.0,1.5,1.7000000000000002,824.0,414.0,0.01,4m,4.0,1.0,1.4,192.0,,,,,,,,532.0,0.002,4m,3.0,1.0,1.5,262.0,782.0,0.005,3m,3.0,2.5,0.9,460.0,470,0.01,3m,3.5,3.5,1.0,874,740,0.005,3m,2.0,2.5,1.2000000000000002,492,302.0,0.007,3m,4.0,3.0,1.2000000000000002,188.0,0.5,9,COMPLETE
88,88,0.5685931184796611,2025-06-14 20:03:24.397490,2025-06-14 20:03:31.613035,0 days 00:00:07.215545,534.0,0.002,2m,2.0,1.0,1.4,506.0,552.0,0.001,2m,3.0,3.0,1.8,546.0,,,,,,,,564.0,0.003,3m,3.0,1.5,1.6,736.0,460.0,0.009000000000000001,4m,3.5,3.0,2.0,52.0,,,,,,,,120.0,0.009000000000000001,4m,3.5,3.5,1.3,294.0,872.0,0.003,4m,2.0,2.5,1.3,318.0,430,0.006,3m,3.0,3.5,1.3,844,614,0.005,2m,2.0,2.5,1.2000000000000002,392,340.0,0.007,3m,4.0,3.0,1.3,152.0,0.4,8,COMPLETE
89,89,-1.2296717690279386,2025-06-14 20:03:31.688964,2025-06-14 20:03:37.538822,0 days 00:00:05.849858,,,,,,,,64.0,0.002,2m,3.5,2.5,1.1,626.0,,,,,,,,954.0,0.004,3m,3.5,1.5,1.8,594.0,262.0,0.008,2m,4.0,1.0,1.8,140.0,,,,,,,,,,,,,,,934.0,0.006,1m,3.0,3.0,1.2000000000000002,200.0,412,0.005,3m,3.0,4.0,0.9,920,670,0.004,2m,1.5,2.5,1.5,576,440.0,0.007,3m,2.5,2.5,1.5,84.0,0.5,6,COMPLETE
90,90,-2.169617590342511,2025-06-14 20:03:37.610949,2025-06-14 20:03:45.096751,0 days 00:00:07.485802,698.0,0.002,4m,2.0,1.5,0.7,126.0,34.0,0.008,3m,1.5,3.0,0.8,56.0,,,,,,,,766.0,0.005,1m,3.5,2.0,1.6,680.0,352.0,0.007,4m,4.0,1.5,1.8,242.0,,,,,,,,454.0,0.005,4m,1.5,1.0,1.7000000000000002,174.0,990.0,0.006,3m,3.5,3.0,1.5,608.0,294,0.002,2m,2.5,4.0,1.5,968,492,0.005,2m,1.5,2.0,1.4,330,532.0,0.009000000000000001,3m,3.0,3.5,1.4,260.0,0.45,8,COMPLETE
91,91,2.785880246887814,2025-06-14 20:03:45.157992,2025-06-14 20:03:52.294823,0 days 00:00:07.136831,810.0,0.004,3m,2.5,1.5,0.7,328.0,172.0,0.001,2m,3.5,3.0,1.2000000000000002,820.0,,,,,,,,876.0,0.004,4m,3.5,1.0,1.5,654.0,242.0,0.009000000000000001,4m,4.0,1.0,1.7000000000000002,94.0,,,,,,,,314.0,0.002,2m,3.5,1.5,2.0,338.0,1022.0,0.007,3m,2.5,4.0,1.1,252.0,672,0.002,3m,3.0,4.0,0.8,1000,704,0.003,2m,2.0,3.0,1.4,228,636.0,0.008,3m,3.5,3.0,1.3,122.0,0.45,8,COMPLETE
92,92,-2.1243807532695467,2025-06-14 20:03:52.371812,2025-06-14 20:03:59.517883,0 days 00:00:07.146071,,,,,,,,668.0,0.001,2m,3.5,3.0,1.1,162.0,,,,,,,,1002.0,0.004,4m,3.5,1.0,1.5,634.0,52.0,0.008,4m,4.0,1.0,1.6,110.0,,,,,,,,248.0,0.004,2m,3.5,2.0,1.6,392.0,986.0,0.005,3m,2.5,4.0,1.2000000000000002,320.0,368,0.007,3m,3.0,4.0,1.7000000000000002,942,634,0.004,2m,2.5,3.0,1.5,368,592.0,0.008,1m,3.0,3.0,1.3,170.0,0.45,7,COMPLETE
93,93,-1.9359081504015594,2025-06-14 20:04:00.507489,2025-06-14 20:04:09.274053,0 days 00:00:08.766564,902.0,0.004,3m,2.5,1.5,0.5,166.0,220.0,0.001,2m,3.5,3.0,1.4,300.0,876.0,0.003,1m,3.0,2.0,1.8,42.0,564.0,0.004,4m,4.0,1.5,1.4,558.0,176.0,0.009000000000000001,4m,4.0,1.0,1.7000000000000002,52.0,,,,,,,,26.0,0.003,1m,3.5,2.5,1.8,86.0,906.0,0.008,3m,2.5,4.0,1.1,142.0,540,0.007,3m,3.5,4.0,0.6,960,682,0.003,2m,3.0,3.0,1.3,436,632.0,0.009000000000000001,3m,4.0,3.0,1.5,218.0,0.4,9,COMPLETE
94,94,-0.530018421088079,2025-06-14 20:04:09.365087,2025-06-14 20:04:17.201043,0 days 00:00:07.835956,768.0,0.006,3m,3.0,2.0,0.7,266.0,170.0,0.005,4m,3.5,3.5,1.2000000000000002,212.0,,,,,,,,844.0,0.003,4m,3.5,1.0,1.7000000000000002,718.0,294.0,0.009000000000000001,4m,4.0,1.0,1.5,42.0,,,,,,,,300.0,0.004,2m,3.5,1.5,1.6,360.0,538.0,0.007,3m,3.0,3.5,1.3,388.0,586,0.001,3m,3.0,3.5,1.2000000000000002,886,724,0.004,2m,1.5,3.0,1.4,402,738.0,0.008,3m,3.5,3.0,1.2000000000000002,138.0,0.5,8,COMPLETE
95,95,1.275913210964341,2025-06-14 20:04:17.298507,2025-06-14 20:04:24.313686,0 days 00:00:07.015179,,,,,,,,344.0,0.001,2m,3.5,3.0,0.9,176.0,,,,,,,,906.0,0.005,4m,3.0,1.5,1.6,750.0,258.0,0.01,4m,4.0,1.0,1.9000000000000001,136.0,,,,,,,,158.0,0.003,2m,3.5,1.0,1.9000000000000001,852.0,944.0,0.006,3m,2.0,2.0,0.8,226.0,626,0.003,3m,3.0,4.0,1.6,998,596,0.004,2m,2.0,3.5,1.3,150,684.0,0.006,3m,3.5,3.0,1.4,64.0,0.45,7,COMPLETE
96,96,-2.997161860183739,2025-06-14 20:04:24.427078,2025-06-14 20:04:32.323236,0 days 00:00:07.896158,606.0,0.002,1m,2.5,1.0,0.6,590.0,106.0,0.001,2m,3.0,2.5,1.3,504.0,,,,,,,,934.0,0.004,4m,3.5,1.0,1.5,612.0,216.0,0.008,4m,3.5,1.0,1.7000000000000002,16.0,,,,,,,,192.0,0.002,2m,4.0,1.5,1.7000000000000002,314.0,998.0,0.004,3m,2.5,4.0,1.0,342.0,496,0.008,3m,3.0,4.0,1.7000000000000002,928,644,0.003,4m,2.0,3.0,1.2000000000000002,292,570.0,0.008,2m,4.0,3.5,1.3,190.0,0.5,8,COMPLETE
97,97,1.2207451560880989,2025-06-14 20:04:32.412600,2025-06-14 20:04:39.433090,0 days 00:00:07.020490,,,,,,,,240.0,0.002,2m,4.0,3.0,1.0,92.0,,,,,,,,710.0,0.003,3m,3.5,2.0,1.3,676.0,120.0,0.01,1m,4.0,1.0,1.8,82.0,,,,,,,,362.0,0.004,2m,3.5,1.0,0.8,436.0,680.0,0.005,3m,3.0,3.5,1.2000000000000002,56.0,530,0.006,3m,3.0,3.5,1.5,970,556,0.005,2m,1.5,3.0,1.1,316,602.0,0.007,3m,3.0,3.0,1.3,90.0,0.45,7,COMPLETE
98,98,-0.3619024992805942,2025-06-14 20:04:39.501814,2025-06-14 20:04:45.669743,0 days 00:00:06.167929,,,,,,,,192.0,0.001,2m,3.5,3.5,1.2000000000000002,350.0,,,,,,,,992.0,0.004,4m,3.5,1.5,1.6,990.0,402.0,0.009000000000000001,4m,4.0,1.0,2.0,106.0,,,,,,,,,,,,,,,944.0,0.007,3m,2.5,4.0,1.4,188.0,318,0.007,3m,2.5,4.0,1.1,1024,806,0.003,2m,2.5,3.0,1.5,374,482.0,0.009000000000000001,3m,3.0,2.5,1.1,32.0,0.4,6,COMPLETE
99,99,-3.901034046903797,2025-06-14 20:04:45.738137,2025-06-14 20:04:53.607987,0 days 00:00:07.869850,702.0,0.005,2m,2.0,1.5,0.5,516.0,386.0,0.002,2m,3.5,2.5,1.1,682.0,,,,,,,,624.0,0.005,4m,4.0,1.0,1.8,638.0,288.0,0.009000000000000001,3m,3.5,1.5,0.9,182.0,,,,,,,,260.0,0.006,2m,3.0,1.5,1.6,538.0,900.0,0.009000000000000001,3m,2.5,2.5,1.3,302.0,574,0.007,1m,3.5,4.0,0.7,338,768,0.004,2m,4.0,3.0,1.3,260,460.0,0.008,1m,3.5,3.5,1.2000000000000002,148.0,0.5,8,COMPLETE
100,100,-7.401706422845015,2025-06-14 20:04:53.682632,2025-06-14 20:05:02.912586,0 days 00:00:09.229954,954.0,0.007,3m,2.5,2.0,0.7,68.0,292.0,0.001,2m,3.0,3.0,2.0,276.0,428.0,0.008,2m,1.0,3.0,1.3,382.0,866.0,0.004,4m,3.0,1.0,1.7000000000000002,792.0,332.0,0.008,4m,2.5,1.0,1.5,214.0,664.0,0.007,4m,3.0,3.0,2.0,412.0,308.0,0.001,4m,3.5,1.5,1.5,262.0,330.0,0.006,3m,2.0,3.0,1.8,248.0,664,0.006,3m,3.0,3.0,0.5,910,530,0.001,2m,2.0,3.5,1.6,448,664.0,0.008,3m,3.0,3.0,1.4,340.0,0.45,10,COMPLETE
101,101,-0.6816602340297223,2025-06-14 20:05:02.984021,2025-06-14 20:05:10.679071,0 days 00:00:07.695050,638.0,0.003,3m,1.5,2.5,1.0,650.0,230.0,0.001,2m,3.5,3.0,1.2000000000000002,218.0,,,,,,,,916.0,0.005,4m,3.5,1.0,2.0,628.0,64.0,0.009000000000000001,4m,4.0,1.0,1.6,78.0,,,,,,,,260.0,0.004,2m,3.5,1.5,1.7000000000000002,306.0,1020.0,0.006,3m,2.5,4.0,1.2000000000000002,224.0,520,0.007,3m,2.5,4.0,1.6,1002,658,0.002,2m,2.5,3.0,1.4,414,588.0,0.008,3m,3.5,3.0,1.3,124.0,0.45,8,COMPLETE
102,102,-1.500212731341666,2025-06-14 20:05:10.744144,2025-06-14 20:05:19.584929,0 days 00:00:08.840785,822.0,0.003,3m,2.0,2.5,0.9,788.0,156.0,0.001,2m,3.5,3.0,1.2000000000000002,196.0,696.0,0.001,3m,2.0,4.0,0.8,150.0,960.0,0.005,4m,3.5,1.0,1.6,578.0,132.0,0.009000000000000001,4m,4.0,1.0,1.7000000000000002,1022.0,,,,,,,,252.0,0.004,2m,3.5,2.0,1.8,284.0,994.0,0.005,3m,2.5,4.0,1.1,164.0,448,0.007,3m,2.5,4.0,1.7000000000000002,984,690,0.002,2m,2.5,3.0,1.4,408,542.0,0.007,3m,3.5,3.0,1.3,128.0,0.45,9,COMPLETE
103,103,1.866573488217844,2025-06-14 20:05:19.650071,2025-06-14 20:05:27.235179,0 days 00:00:07.585108,664.0,0.004,3m,1.5,2.5,0.9,364.0,202.0,0.001,2m,3.5,3.0,1.3,178.0,,,,,,,,892.0,0.005,4m,3.5,1.5,1.9000000000000001,526.0,82.0,0.01,4m,4.0,2.5,1.7000000000000002,98.0,,,,,,,,204.0,0.003,2m,3.5,1.0,1.7000000000000002,412.0,1024.0,0.006,3m,3.0,4.0,1.2000000000000002,262.0,478,0.007,3m,2.5,4.0,1.8,946,604,0.002,2m,2.5,3.0,1.4,350,618.0,0.008,3m,3.5,3.0,1.4,968.0,0.5,8,COMPLETE
104,104,2.4656745610718893,2025-06-14 20:05:27.319911,2025-06-14 20:05:33.998122,0 days 00:00:06.678211,,,,,,,,274.0,0.001,2m,4.0,3.0,1.0,86.0,,,,,,,,806.0,0.004,4m,3.5,1.0,1.4,602.0,186.0,0.009000000000000001,4m,4.0,1.0,1.8,46.0,,,,,,,,288.0,0.004,2m,3.5,1.5,1.7000000000000002,344.0,962.0,0.007,3m,2.5,4.0,1.1,416.0,568,0.008,3m,3.0,3.5,1.7000000000000002,998,658,0.002,2m,3.0,2.5,1.3,472,512.0,0.009000000000000001,3m,4.0,3.0,1.2000000000000002,226.0,0.45,7,COMPLETE
105,105,-0.5523031315457213,2025-06-14 20:05:34.084611,2025-06-14 20:05:41.909695,0 days 00:00:07.825084,500.0,0.002,3m,3.5,1.5,0.6,222.0,122.0,0.002,2m,3.5,3.0,1.5,226.0,,,,,,,,994.0,0.005,4m,3.5,1.5,1.5,720.0,158.0,0.01,4m,4.0,1.0,0.6,72.0,,,,,,,,862.0,0.003,2m,3.0,1.0,1.6,234.0,924.0,0.005,4m,2.5,4.0,0.9,284.0,600,0.008,3m,2.5,4.0,1.0,1024,712,0.003,2m,2.0,3.0,1.5,426,624.0,0.008,3m,3.5,3.0,1.3,174.0,0.4,8,COMPLETE
106,106,-0.35176919887571445,2025-06-14 20:05:42.000686,2025-06-14 20:05:50.455564,0 days 00:00:08.454878,270.0,0.005,1m,1.5,3.0,0.5,636.0,324.0,0.002,1m,3.5,1.0,1.1,128.0,1014.0,0.006,3m,3.5,1.5,1.2000000000000002,850.0,932.0,0.003,4m,3.5,1.0,0.8,838.0,372.0,0.009000000000000001,4m,4.0,1.0,1.6,148.0,,,,,,,,130.0,0.005,2m,3.5,1.5,1.8,470.0,834.0,0.006,3m,3.0,3.5,0.6,228.0,410,0.006,3m,2.0,3.5,1.6,962,578,0.004,3m,2.5,3.0,1.4,500,650.0,0.007,3m,3.0,2.5,1.4,98.0,0.5,9,COMPLETE
107,107,2.2169623002402044,2025-06-14 20:05:50.553356,2025-06-14 20:05:56.501473,0 days 00:00:05.948117,,,,,,,,218.0,0.001,2m,3.5,2.5,1.4,382.0,,,,,,,,914.0,0.004,1m,4.0,1.0,1.2000000000000002,642.0,224.0,0.008,4m,4.0,1.5,1.9000000000000001,124.0,,,,,,,,,,,,,,,990.0,0.007,1m,2.5,4.0,1.2000000000000002,116.0,640,0.007,3m,3.0,4.0,1.8,1008,674,0.005,2m,3.5,3.0,1.2000000000000002,382,700.0,0.007,3m,4.0,3.0,1.5,200.0,0.45,6,COMPLETE
108,108,2.21268263531572,2025-06-14 20:05:56.588380,2025-06-14 20:06:03.456612,0 days 00:00:06.868232,,,,,,,,262.0,0.001,2m,3.0,3.5,1.3,460.0,,,,,,,,836.0,0.009000000000000001,4m,2.5,3.5,1.7000000000000002,676.0,274.0,0.009000000000000001,2m,3.0,1.0,1.7000000000000002,68.0,,,,,,,,348.0,0.003,2m,2.0,1.0,1.4,308.0,882.0,0.006,2m,2.5,4.0,1.3,342.0,516,0.004,2m,2.5,3.5,1.7000000000000002,934,632,0.001,2m,1.5,2.5,1.3,454,388.0,0.008,3m,3.5,3.0,1.2000000000000002,72.0,0.5,7,COMPLETE
109,109,-1.6297280366743951,2025-06-14 20:06:03.536797,2025-06-14 20:06:11.393180,0 days 00:00:07.856383,552.0,0.001,3m,2.5,4.0,0.7,770.0,88.0,0.006,3m,4.0,3.0,1.6,274.0,,,,,,,,882.0,0.006,3m,3.5,1.5,1.5,702.0,106.0,0.006,4m,4.0,1.0,1.3,32.0,,,,,,,,226.0,0.004,3m,4.0,2.5,1.6,394.0,962.0,0.005,3m,2.0,3.5,1.1,200.0,338,0.005,3m,3.0,4.0,0.9,848,786,0.004,2m,2.5,3.5,1.8,334,558.0,0.009000000000000001,1m,3.0,2.5,1.1,150.0,0.4,8,COMPLETE
110,110,0.7457954371242985,2025-06-14 20:06:11.480375,2025-06-14 20:06:18.236686,0 days 00:00:06.756311,,,,,,,,166.0,0.002,2m,3.5,2.5,1.2000000000000002,192.0,,,,,,,,418.0,0.004,4m,3.0,2.0,1.8,570.0,308.0,0.01,4m,2.0,1.0,1.8,98.0,,,,,,,,404.0,0.002,2m,3.5,2.0,1.5,192.0,1000.0,0.007,3m,3.5,1.5,1.0,282.0,720,0.007,3m,3.0,4.0,1.6,978,754,0.003,2m,1.5,3.0,1.5,116,432.0,0.006,3m,2.5,3.0,1.3,40.0,0.5,7,COMPLETE
111,111,1.3310012971705087,2025-06-14 20:06:18.307763,2025-06-14 20:06:25.291163,0 days 00:00:06.983400,808.0,0.004,3m,2.5,1.5,0.7,312.0,168.0,0.001,2m,3.5,3.0,1.2000000000000002,830.0,,,,,,,,868.0,0.004,4m,3.5,1.0,1.5,656.0,248.0,0.009000000000000001,4m,4.0,1.0,1.7000000000000002,92.0,,,,,,,,320.0,0.002,2m,3.5,1.5,2.0,338.0,1018.0,0.007,3m,2.5,4.0,1.2000000000000002,246.0,680,0.001,3m,3.0,4.0,0.8,1004,704,0.003,2m,2.0,3.0,1.4,226,630.0,0.008,3m,3.5,3.0,1.3,128.0,0.45,8,COMPLETE
112,112,3.4526013761253025,2025-06-14 20:06:25.382052,2025-06-14 20:06:32.425917,0 days 00:00:07.043865,730.0,0.004,3m,2.0,1.0,0.8,292.0,194.0,0.001,2m,3.5,3.0,1.1,858.0,,,,,,,,924.0,0.004,4m,3.5,1.0,1.6,622.0,338.0,0.009000000000000001,4m,4.0,1.0,1.7000000000000002,166.0,,,,,,,,288.0,0.002,2m,3.5,1.5,1.7000000000000002,358.0,1024.0,0.007,3m,2.5,4.0,1.1,252.0,552,0.002,3m,3.0,4.0,0.8,986,738,0.003,2m,2.0,3.0,1.4,280,648.0,0.008,3m,3.5,3.0,1.4,122.0,0.45,8,COMPLETE
