,number,value,datetime_start,datetime_complete,duration,params_ABNB_ADSK_beta_win,params_ABNB_ADSK_stop_loss,params_ABNB_ADSK_trade_freq,params_ABNB_ADSK_z_entry,params_ABNB_ADSK_z_exit,params_ABNB_ADSK_z_stop_scaler,params_ABNB_ADSK_z_win,params_CPRT_FAST_beta_win,params_CPRT_FAST_stop_loss,params_CPRT_FAST_trade_freq,params_CPRT_FAST_z_entry,params_CPRT_FAST_z_exit,params_CPRT_FAST_z_stop_scaler,params_CPRT_FAST_z_win,params_CPRT_MSFT_beta_win,params_CPRT_MSFT_stop_loss,params_CPRT_MSFT_trade_freq,params_CPRT_MSFT_z_entry,params_CPRT_MSFT_z_exit,params_CPRT_MSFT_z_stop_scaler,params_CPRT_MSFT_z_win,params_CPRT_MU_beta_win,params_CPRT_MU_stop_loss,params_CPRT_MU_trade_freq,params_CPRT_MU_z_entry,params_CPRT_MU_z_exit,params_CPRT_MU_z_stop_scaler,params_CPRT_MU_z_win,params_CTSH_TEAM_beta_win,params_CTSH_TEAM_stop_loss,params_CTSH_TEAM_trade_freq,params_CTSH_TEAM_z_entry,params_CTSH_TEAM_z_exit,params_CTSH_TEAM_z_stop_scaler,params_CTSH_TEAM_z_win,params_DXCM_FANG_beta_win,params_DXCM_FANG_stop_loss,params_DXCM_FANG_trade_freq,params_DXCM_FANG_z_entry,params_DXCM_FANG_z_exit,params_DXCM_FANG_z_stop_scaler,params_DXCM_FANG_z_win,params_ENPH_TEAM_beta_win,params_ENPH_TEAM_stop_loss,params_ENPH_TEAM_trade_freq,params_ENPH_TEAM_z_entry,params_ENPH_TEAM_z_exit,params_ENPH_TEAM_z_stop_scaler,params_ENPH_TEAM_z_win,params_GOOGL_MU_beta_win,params_GOOGL_MU_stop_loss,params_GOOGL_MU_trade_freq,params_GOOGL_MU_z_entry,params_GOOGL_MU_z_exit,params_GOOGL_MU_z_stop_scaler,params_GOOGL_MU_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_MU_beta_win,params_GOOG_MU_stop_loss,params_GOOG_MU_trade_freq,params_GOOG_MU_z_entry,params_GOOG_MU_z_exit,params_GOOG_MU_z_stop_scaler,params_GOOG_MU_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_LULU_VRTX_beta_win,params_LULU_VRTX_stop_loss,params_LULU_VRTX_trade_freq,params_LULU_VRTX_z_entry,params_LULU_VRTX_z_exit,params_LULU_VRTX_z_stop_scaler,params_LULU_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
20,20,0.47685785250944707,2025-06-14 19:42:36.137656,2025-06-14 19:42:45.981561,0 days 00:00:09.843905,1000.0,0.002,3m,4.0,4.0,2.0,24.0,320.0,0.006,1m,2.5,2.5,1.5,788.0,608.0,0.006,4m,1.5,1.5,0.7,198.0,,,,,,,,430,0.009000000000000001,3m,3.5,1.0,1.4,814,478.0,0.002,1m,2.0,4.0,1.1,470.0,360.0,0.002,1m,3.5,1.5,1.2000000000000002,444.0,218,0.005,2m,2.5,3.5,1.5,602,184.0,0.01,1m,2.5,1.5,1.7000000000000002,506.0,868.0,0.009000000000000001,2m,4.0,2.0,1.1,522.0,704.0,0.006,1m,1.5,1.5,0.9,990.0,560.0,0.006,3m,2.0,1.0,1.5,836.0,0.35000000000000003,9,COMPLETE
21,21,4.64005705661584,2025-06-14 19:42:46.091780,2025-06-14 19:42:55.132917,0 days 00:00:09.041137,,,,,,,,684.0,0.004,3m,3.5,2.0,1.0,460.0,416.0,0.001,1m,1.5,3.0,1.3,860.0,,,,,,,,274,0.004,3m,3.0,1.5,1.7000000000000002,156,632.0,0.005,3m,3.0,1.5,1.8,708.0,194.0,0.005,1m,1.0,3.5,1.4,656.0,904,0.006,2m,4.0,3.0,0.7,354,506.0,0.004,2m,1.5,3.5,0.6,870.0,254.0,0.01,4m,3.5,2.5,1.6,470.0,672.0,0.01,2m,2.5,3.0,1.4,614.0,678.0,0.003,1m,3.5,2.5,1.9000000000000001,876.0,0.45,8,COMPLETE
22,22,2.5663575413007367,2025-06-14 19:42:55.255907,2025-06-14 19:43:03.291569,0 days 00:00:08.035662,,,,,,,,,,,,,,,376.0,0.002,4m,1.5,2.5,1.4,896.0,,,,,,,,228,0.004,3m,2.5,1.5,1.7000000000000002,168,684.0,0.005,3m,2.0,1.5,2.0,780.0,226.0,0.004,1m,1.5,4.0,1.9000000000000001,640.0,606,0.006,2m,4.0,3.0,0.7,392,690.0,0.004,2m,1.5,3.0,0.5,822.0,316.0,0.009000000000000001,4m,3.0,2.5,1.8,682.0,650.0,0.01,4m,2.0,3.0,1.6,506.0,738.0,0.002,1m,3.5,2.5,1.9000000000000001,684.0,0.45,7,COMPLETE
23,23,1.7090772500811062,2025-06-14 19:43:03.399325,2025-06-14 19:43:12.744100,0 days 00:00:09.344775,566.0,0.01,3m,2.5,2.5,0.6,536.0,834.0,0.004,3m,3.0,2.5,0.8,358.0,426.0,0.002,2m,2.5,2.0,1.4,874.0,,,,,,,,230,0.003,3m,2.5,2.0,1.8,160,708.0,0.006,3m,2.0,1.5,2.0,814.0,196.0,0.005,1m,1.5,4.0,2.0,820.0,616,0.004,2m,3.5,2.5,0.7,382,694.0,0.003,2m,1.5,3.5,0.5,862.0,318.0,0.008,4m,4.0,3.0,1.8,694.0,682.0,0.01,3m,2.0,3.0,1.6,740.0,566.0,0.004,1m,3.5,2.5,1.9000000000000001,674.0,0.4,9,COMPLETE
24,24,1.189579160034345,2025-06-14 19:43:12.829820,2025-06-14 19:43:20.494084,0 days 00:00:07.664264,,,,,,,,,,,,,,,562.0,0.004,3m,2.0,3.0,1.6,894.0,,,,,,,,54,0.004,3m,2.5,2.5,1.7000000000000002,186,876.0,0.005,3m,2.5,2.0,2.0,774.0,52.0,0.004,1m,1.0,4.0,1.8,662.0,644,0.006,2m,4.0,3.0,0.7,318,662.0,0.004,2m,1.5,3.5,0.6,572.0,146.0,0.008,4m,3.5,2.5,1.9000000000000001,820.0,732.0,0.01,2m,3.0,3.0,1.6,498.0,678.0,0.002,1m,3.5,2.5,1.9000000000000001,878.0,0.45,7,COMPLETE
25,25,-0.1629936343380478,2025-06-14 19:43:20.612736,2025-06-14 19:43:29.346781,0 days 00:00:08.734045,,,,,,,,460.0,0.005,3m,3.5,2.0,1.0,400.0,728.0,0.002,1m,1.0,1.5,1.7000000000000002,498.0,,,,,,,,620,0.002,3m,2.0,1.0,1.4,16,688.0,0.005,4m,1.5,3.5,1.6,986.0,440.0,0.003,1m,1.5,3.5,1.8,570.0,916,0.004,2m,3.0,2.5,0.5,534,954.0,0.004,2m,1.5,3.0,1.1,902.0,322.0,0.009000000000000001,4m,2.0,3.5,1.6,682.0,606.0,0.008,4m,2.0,3.0,1.6,160.0,1010.0,0.002,1m,1.5,2.5,1.8,742.0,0.35000000000000003,8,COMPLETE
26,26,-3.284682555246798,2025-06-14 19:43:29.455761,2025-06-14 19:43:44.232902,0 days 00:00:14.777141,,,,,,,,,,,,,,,262.0,0.001,4m,2.5,2.5,1.3,828.0,,,,,,,,338,0.004,3m,1.5,2.5,1.9000000000000001,286,528.0,0.007,2m,2.0,1.5,1.9000000000000001,668.0,344.0,0.005,1m,2.0,4.0,1.6,450.0,756,0.008,3m,3.5,3.0,0.6,388,824.0,0.005,2m,1.0,3.5,0.7,810.0,140.0,0.007,4m,3.0,2.5,1.9000000000000001,542.0,,,,,,,,842.0,0.003,1m,2.5,3.5,2.0,906.0,0.45,6,COMPLETE
27,27,-3.1695005333917003,2025-06-14 19:43:44.361998,2025-06-14 19:44:18.685560,0 days 00:00:34.323562,516.0,0.005,4m,1.0,2.5,1.2000000000000002,472.0,32.0,0.001,3m,1.5,1.0,1.6,166.0,520.0,0.004,4m,1.5,4.0,1.0,28.0,,,,,,,,488,0.002,2m,3.0,1.5,1.2000000000000002,106,916.0,0.003,3m,3.0,2.5,1.8,894.0,104.0,0.004,4m,1.0,3.0,1.9000000000000001,634.0,838,0.006,1m,2.0,2.5,0.8,282,1020.0,0.003,3m,1.5,3.0,1.5,644.0,258.0,0.004,2m,4.0,3.0,1.6,914.0,328.0,0.01,1m,3.0,2.5,1.1,374.0,498.0,0.004,3m,3.5,3.0,1.8,806.0,0.1,9,COMPLETE
28,28,0.33998660525506086,2025-06-14 19:44:18.879568,2025-06-14 19:44:33.018513,0 days 00:00:14.138945,644.0,0.006,2m,3.0,3.0,1.6,542.0,696.0,0.007,1m,3.5,2.0,0.5,826.0,376.0,0.003,1m,1.0,2.0,1.9000000000000001,596.0,778.0,0.01,3m,4.0,2.5,2.0,802.0,812,0.001,1m,2.5,1.0,2.0,316,540.0,0.007,3m,2.5,2.5,1.9000000000000001,746.0,558.0,0.003,3m,1.5,3.5,1.4,768.0,278,0.005,4m,4.0,3.0,0.9,112,422.0,0.003,4m,2.5,4.0,1.2000000000000002,432.0,442.0,0.009000000000000001,1m,3.5,2.5,1.8,762.0,114.0,0.008,4m,2.0,3.5,1.4,766.0,724.0,0.002,2m,4.0,1.5,1.9000000000000001,664.0,0.4,10,COMPLETE
29,29,0.7304062600988674,2025-06-14 19:44:33.118880,2025-06-14 19:44:37.452298,0 days 00:00:04.333418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556,0.003,4m,3.5,2.0,1.1,496,,,,,,,,640.0,0.006,2m,1.5,4.0,0.7,290.0,552,0.001,3m,3.5,2.0,0.6,540,,,,,,,,102.0,0.006,4m,2.5,2.5,2.0,604.0,,,,,,,,598.0,0.005,4m,3.0,2.5,1.5,734.0,0.5,3,COMPLETE
30,30,-0.4064536555635278,2025-06-14 19:44:37.582045,2025-06-14 19:44:45.526667,0 days 00:00:07.944622,,,,,,,,,,,,,,,702.0,0.002,3m,2.0,3.0,1.3,260.0,,,,,,,,400,0.005,3m,4.0,1.5,0.8,204,784.0,0.005,2m,1.0,1.5,1.6,888.0,96.0,0.005,3m,2.0,2.5,1.6,592.0,318,0.009000000000000001,2m,3.0,3.5,1.1,848,614.0,0.006,1m,1.0,3.5,1.8,920.0,386.0,0.004,3m,2.0,3.0,1.4,478.0,592.0,0.01,2m,3.0,3.0,0.7,528.0,284.0,0.003,1m,3.5,2.0,1.7000000000000002,920.0,0.3,7,COMPLETE
31,31,6.200634213479506,2025-06-14 19:44:45.629670,2025-06-14 19:44:53.468138,0 days 00:00:07.838468,,,,,,,,,,,,,,,368.0,0.001,4m,1.5,2.5,0.6,1020.0,,,,,,,,162,0.006,3m,3.0,1.5,1.6,386,684.0,0.001,3m,3.0,1.5,1.9000000000000001,576.0,226.0,0.001,1m,2.0,2.0,0.9,750.0,440,0.007,2m,4.0,3.5,0.6,694,388.0,0.007,2m,2.0,2.5,0.8,786.0,690.0,0.01,4m,3.0,2.0,1.9000000000000001,112.0,392.0,0.007,4m,1.5,2.0,1.2000000000000002,492.0,938.0,0.001,1m,3.0,2.0,1.6,554.0,0.5,7,COMPLETE
32,32,3.9900937121029156,2025-06-14 19:44:53.595691,2025-06-14 19:45:02.254857,0 days 00:00:08.659166,,,,,,,,462.0,0.004,4m,3.5,3.5,1.8,556.0,430.0,0.001,4m,1.5,2.5,0.9,1020.0,,,,,,,,172,0.006,3m,3.0,1.0,1.7000000000000002,442,700.0,0.001,3m,3.0,1.0,1.9000000000000001,574.0,224.0,0.002,1m,2.5,2.0,0.6,878.0,476,0.007,2m,4.0,3.5,0.6,686,738.0,0.007,2m,1.5,2.5,0.7,790.0,838.0,0.01,4m,3.0,2.0,1.9000000000000001,654.0,378.0,0.007,4m,1.5,2.5,1.7000000000000002,594.0,980.0,0.002,1m,3.0,2.0,2.0,450.0,0.5,8,COMPLETE
33,33,5.599390903642719,2025-06-14 19:45:02.368984,2025-06-14 19:45:09.515135,0 days 00:00:07.146151,,,,,,,,,,,,,,,194.0,0.002,4m,1.5,2.5,1.1,948.0,,,,,,,,140,0.006,3m,2.5,1.5,1.7000000000000002,438,674.0,0.003,3m,3.0,1.0,1.7000000000000002,692.0,232.0,0.002,1m,2.5,2.0,0.9,872.0,486,0.008,2m,4.0,4.0,0.8,680,758.0,0.007,2m,2.0,2.0,0.7,786.0,830.0,0.01,4m,3.0,1.5,1.7000000000000002,120.0,,,,,,,,926.0,0.002,1m,3.0,2.0,1.8,434.0,0.5,6,COMPLETE
34,34,1.4011659431470698,2025-06-14 19:45:09.622728,2025-06-14 19:45:17.180526,0 days 00:00:07.557798,,,,,,,,,,,,,,,122.0,0.001,4m,2.0,2.5,1.1,1010.0,,,,,,,,132,0.006,3m,3.5,2.0,1.7000000000000002,448,560.0,0.003,3m,3.5,1.0,1.7000000000000002,452.0,300.0,0.002,1m,3.0,2.0,0.9,902.0,490,0.009000000000000001,4m,3.5,4.0,0.8,808,780.0,0.007,2m,2.5,2.0,0.8,748.0,798.0,0.01,4m,2.5,1.5,1.7000000000000002,112.0,,,,,,,,940.0,0.001,1m,3.0,2.0,1.4,404.0,0.5,6,COMPLETE
35,35,-1.4042022991584753,2025-06-14 19:45:17.261786,2025-06-14 19:45:22.931318,0 days 00:00:05.669532,,,,,,,,,,,,,,,238.0,0.002,4m,3.5,3.0,0.9,946.0,,,,,,,,38,0.006,4m,3.0,3.5,1.9000000000000001,548,,,,,,,,412.0,0.001,1m,2.5,2.0,1.0,878.0,434,0.008,2m,4.0,4.0,0.6,668,,,,,,,,972.0,0.01,4m,3.0,1.0,1.9000000000000001,130.0,,,,,,,,950.0,0.002,1m,2.5,1.5,1.8,428.0,0.5,4,COMPLETE
36,36,1.6042655507805146,2025-06-14 19:45:23.012298,2025-06-14 19:45:30.783719,0 days 00:00:07.771421,,,,,,,,,,,,,,,132.0,0.003,2m,2.5,2.5,1.1,830.0,,,,,,,,152,0.007,3m,1.5,1.0,1.5,458,406.0,0.001,3m,3.0,1.0,1.7000000000000002,540.0,190.0,0.002,1m,3.0,2.5,0.6,840.0,538,0.007,2m,3.5,3.5,0.9,798,384.0,0.007,2m,2.0,2.5,0.7,632.0,886.0,0.008,4m,2.5,1.5,1.6,18.0,,,,,,,,936.0,0.001,1m,3.0,2.0,1.6,268.0,0.5,6,COMPLETE
37,37,4.118882473652947,2025-06-14 19:45:30.866903,2025-06-14 19:45:36.127178,0 days 00:00:05.260275,,,,,,,,,,,,,,,70.0,0.003,4m,1.5,3.0,0.9,1022.0,,,,,,,,328,0.006,1m,2.5,1.5,1.8,630,,,,,,,,252.0,0.008,2m,2.5,2.5,0.8,1016.0,664,0.008,1m,4.0,4.0,0.8,554,,,,,,,,832.0,0.01,4m,3.5,2.0,1.7000000000000002,300.0,,,,,,,,1006.0,0.002,1m,2.5,2.0,1.3,470.0,0.45,4,COMPLETE
38,38,1.4697624714806516,2025-06-14 19:45:36.203404,2025-06-14 19:45:41.801370,0 days 00:00:05.597966,,,,,,,,,,,,,,,38.0,0.003,3m,2.0,3.5,0.6,944.0,,,,,,,,324,0.005,1m,2.0,2.5,1.8,642,,,,,,,,392.0,0.008,2m,3.5,2.5,0.9,1006.0,664,0.008,1m,3.5,4.0,0.8,512,,,,,,,,556.0,0.009000000000000001,4m,3.5,1.5,1.7000000000000002,304.0,,,,,,,,1022.0,0.007,4m,2.5,1.5,1.3,532.0,0.45,4,COMPLETE
39,39,1.0655421110069536,2025-06-14 19:45:41.886232,2025-06-14 19:45:46.998696,0 days 00:00:05.112464,,,,,,,,,,,,,,,190.0,0.004,4m,1.5,3.5,1.5,778.0,,,,,,,,88,0.006,1m,2.5,1.5,1.9000000000000001,724,,,,,,,,138.0,0.01,2m,2.5,2.5,0.8,924.0,996,0.009000000000000001,1m,4.0,4.0,0.9,560,,,,,,,,760.0,0.01,1m,3.5,1.5,1.5,98.0,,,,,,,,842.0,0.003,1m,2.5,2.0,1.2000000000000002,198.0,0.4,4,COMPLETE
40,40,-4.331967069917395,2025-06-14 19:45:47.078366,2025-06-14 19:45:51.941013,0 days 00:00:04.862647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,0.007,1m,1.0,2.0,1.8,588,,,,,,,,480.0,0.008,2m,3.5,1.5,1.1,746.0,934,0.008,1m,2.5,4.0,1.1,454,,,,,,,,938.0,0.009000000000000001,4m,3.5,2.0,1.4,418.0,,,,,,,,884.0,0.003,1m,2.0,2.5,1.1,608.0,0.45,3,COMPLETE
41,41,4.1630291110661615,2025-06-14 19:45:52.046855,2025-06-14 19:45:58.544404,0 days 00:00:06.497549,,,,,,,,,,,,,,,82.0,0.001,4m,1.5,3.0,1.0,1016.0,,,,,,,,198,0.006,1m,2.5,1.5,1.7000000000000002,528,710.0,0.003,3m,3.5,1.0,1.6,688.0,238.0,0.009000000000000001,2m,2.5,2.0,0.6,960.0,496,0.007,1m,4.0,3.5,0.6,680,,,,,,,,810.0,0.01,4m,3.0,2.0,1.8,196.0,,,,,,,,974.0,0.002,1m,3.0,2.0,1.4,480.0,0.5,5,COMPLETE
42,42,-0.5084671402347036,2025-06-14 19:45:58.628029,2025-06-14 19:46:04.938404,0 days 00:00:06.310375,,,,,,,,,,,,,,,88.0,0.002,4m,1.5,3.0,1.0,954.0,,,,,,,,202,0.005,1m,2.5,1.5,1.6,524,934.0,0.003,3m,3.5,1.0,1.6,690.0,260.0,0.009000000000000001,2m,2.5,2.0,0.8,958.0,562,0.007,1m,4.0,3.5,0.7,762,,,,,,,,638.0,0.008,4m,3.5,1.5,1.8,188.0,,,,,,,,902.0,0.002,1m,2.5,2.0,1.4,496.0,0.45,5,COMPLETE
43,43,2.4698219490379083,2025-06-14 19:46:05.032172,2025-06-14 19:46:11.128563,0 days 00:00:06.096391,,,,,,,,,,,,,,,76.0,0.001,4m,2.0,3.5,1.2000000000000002,846.0,,,,,,,,270,0.008,1m,2.0,1.5,1.4,640,104.0,0.004,4m,3.5,1.0,1.4,486.0,148.0,0.009000000000000001,2m,2.5,3.0,1.0,1024.0,332,0.01,1m,3.5,4.0,0.8,668,,,,,,,,694.0,0.01,4m,3.0,2.0,1.7000000000000002,312.0,,,,,,,,812.0,0.001,1m,3.0,2.0,1.4,340.0,0.5,5,COMPLETE
44,44,2.687958739735091,2025-06-14 19:46:11.212631,2025-06-14 19:46:15.200697,0 days 00:00:03.988066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,0.006,1m,2.5,2.0,1.7000000000000002,824,,,,,,,,316.0,0.007,2m,2.5,2.5,1.3,958.0,400,0.007,1m,4.0,1.0,1.0,568,,,,,,,,810.0,0.009000000000000001,3m,3.5,2.0,1.6,246.0,,,,,,,,,,,,,,,0.45,2,COMPLETE
45,45,1.115910116760719,2025-06-14 19:46:15.272439,2025-06-14 19:46:22.604322,0 days 00:00:07.331883,,,,,,,,,,,,,,,218.0,0.002,1m,1.5,3.0,0.9,914.0,,,,,,,,84,0.006,1m,3.0,1.5,1.8,572,464.0,0.002,3m,4.0,1.5,1.5,18.0,192.0,0.009000000000000001,2m,3.0,2.0,0.6,816.0,506,0.009000000000000001,4m,4.0,3.5,0.6,480,570.0,0.008,3m,3.0,1.0,0.9,350.0,906.0,0.01,4m,3.0,1.5,1.5,362.0,,,,,,,,974.0,0.002,1m,3.5,2.5,1.1,386.0,0.4,6,COMPLETE
46,46,2.0985912597602914,2025-06-14 19:46:22.684923,2025-06-14 19:46:27.942830,0 days 00:00:05.257907,,,,,,,,,,,,,,,308.0,0.001,2m,2.0,3.0,1.0,712.0,,,,,,,,102,0.005,4m,2.5,3.5,2.0,698,,,,,,,,94.0,0.008,2m,3.0,3.0,0.8,724.0,658,0.008,1m,4.0,4.0,0.9,1024,,,,,,,,564.0,0.01,4m,2.5,1.0,2.0,62.0,,,,,,,,914.0,0.003,1m,3.0,1.5,1.6,568.0,0.5,4,COMPLETE
47,47,2.4144594309608527,2025-06-14 19:46:28.036770,2025-06-14 19:46:34.698199,0 days 00:00:06.661429,,,,,,,,,,,,,,,140.0,0.003,4m,3.0,3.0,0.8,1024.0,,,,,,,,262,0.007,1m,2.0,1.5,1.5,490,650.0,0.003,3m,3.5,2.0,1.2000000000000002,622.0,354.0,0.01,3m,2.0,1.5,0.9,960.0,832,0.007,1m,1.5,3.5,0.5,716,,,,,,,,760.0,0.009000000000000001,4m,3.0,2.0,1.3,160.0,,,,,,,,1022.0,0.009000000000000001,1m,3.5,1.5,1.0,284.0,0.45,5,COMPLETE
48,48,0.31068305957014386,2025-06-14 19:46:34.795258,2025-06-14 19:46:42.101096,0 days 00:00:07.305838,,,,,,,,,,,,,,,86.0,0.01,1m,1.5,3.5,1.2000000000000002,964.0,,,,,,,,24,0.006,2m,3.0,2.0,1.6,416,596.0,0.004,3m,3.0,1.0,1.7000000000000002,692.0,298.0,0.007,2m,2.5,2.0,1.1,800.0,698,0.01,3m,3.5,4.0,1.0,642,424.0,0.005,4m,4.0,1.5,0.6,104.0,606.0,0.008,3m,3.5,2.0,1.8,276.0,,,,,,,,830.0,0.001,1m,2.5,3.0,1.3,464.0,0.35000000000000003,6,COMPLETE
49,49,1.11458678714604,2025-06-14 19:46:42.308240,2025-06-14 19:46:56.766148,0 days 00:00:14.457908,,,,,,,,,,,,,,,58.0,0.009000000000000001,4m,2.0,3.0,1.1,790.0,,,,,,,,336,0.008,1m,2.5,1.5,1.9000000000000001,604,398.0,0.006,4m,3.5,1.5,1.4,268.0,928.0,0.006,4m,3.0,2.5,0.7,854.0,134,0.006,1m,4.0,3.5,0.7,434,,,,,,,,802.0,0.01,4m,3.0,1.5,1.9000000000000001,434.0,,,,,,,,966.0,0.002,4m,4.0,2.0,1.7000000000000002,522.0,0.5,5,COMPLETE
50,50,-1.2295780960188045,2025-06-14 19:46:56.932960,2025-06-14 19:47:08.122492,0 days 00:00:11.189532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,0.005,3m,3.5,1.0,1.8,784,,,,,,,,160.0,0.008,1m,2.0,2.0,0.6,996.0,456,0.007,4m,3.0,3.0,0.8,768,,,,,,,,1020.0,0.009000000000000001,1m,3.5,2.0,1.4,200.0,,,,,,,,700.0,0.002,1m,2.0,2.5,0.5,24.0,0.4,3,COMPLETE
51,51,3.8918413298253913,2025-06-14 19:47:08.230809,2025-06-14 19:47:17.441256,0 days 00:00:09.210447,,,,,,,,454.0,0.005,4m,2.0,3.5,1.7000000000000002,518.0,304.0,0.001,4m,1.5,2.5,0.8,1018.0,,,,,,,,174,0.007,3m,3.0,1.0,1.7000000000000002,388,714.0,0.001,3m,3.0,1.0,1.9000000000000001,578.0,218.0,0.001,1m,2.5,2.0,0.5,914.0,410,0.007,2m,4.0,3.5,0.6,690,728.0,0.007,2m,2.0,2.0,0.8,780.0,828.0,0.01,4m,2.5,2.0,1.9000000000000001,84.0,354.0,0.007,4m,1.0,2.0,1.8,602.0,994.0,0.002,1m,3.0,2.0,1.5,444.0,0.5,8,COMPLETE
52,52,0.9852441464874417,2025-06-14 19:47:17.534769,2025-06-14 19:47:25.375162,0 days 00:00:07.840393,,,,,,,,,,,,,,,438.0,0.001,4m,1.0,2.5,0.9,958.0,,,,,,,,124,0.006,3m,3.0,1.0,1.6,470,812.0,0.001,3m,3.0,1.0,1.9000000000000001,614.0,262.0,0.002,1m,2.5,2.0,0.6,888.0,362,0.008,2m,4.0,3.5,0.6,578,486.0,0.008,2m,2.0,2.5,0.9,652.0,830.0,0.01,4m,3.0,2.0,1.8,152.0,402.0,0.004,4m,2.5,1.5,2.0,746.0,894.0,0.001,1m,3.0,2.0,1.9000000000000001,390.0,0.5,7,COMPLETE
53,53,4.75532597197576,2025-06-14 19:47:25.456189,2025-06-14 19:47:34.700385,0 days 00:00:09.244196,,,,,,,,844.0,0.009000000000000001,4m,3.0,4.0,0.9,490.0,490.0,0.001,4m,1.5,2.5,1.0,876.0,,,,,,,,296,0.006,3m,3.0,1.5,1.7000000000000002,532,662.0,0.002,3m,4.0,1.0,1.8,536.0,232.0,0.001,1m,2.5,1.5,0.8,856.0,520,0.006,2m,4.0,4.0,0.5,694,876.0,0.009000000000000001,2m,1.5,1.5,0.6,966.0,866.0,0.01,4m,3.0,1.5,2.0,218.0,398.0,0.007,3m,1.5,2.5,1.1,416.0,970.0,0.003,1m,2.5,2.0,2.0,630.0,0.45,8,COMPLETE
54,54,0.31789322320060925,2025-06-14 19:47:34.787959,2025-06-14 19:47:44.019749,0 days 00:00:09.231790,,,,,,,,998.0,0.01,4m,3.0,4.0,0.9,218.0,552.0,0.002,4m,1.5,2.5,1.3,876.0,,,,,,,,442,0.009000000000000001,3m,2.5,1.5,1.9000000000000001,668,572.0,0.002,3m,4.0,1.0,1.6,500.0,118.0,0.001,1m,2.5,1.0,1.0,756.0,518,0.006,2m,3.5,4.0,0.5,878,854.0,0.01,1m,2.0,1.5,0.6,972.0,922.0,0.01,4m,3.5,1.5,2.0,218.0,764.0,0.007,3m,3.5,2.0,1.1,412.0,866.0,0.004,2m,2.5,2.0,1.7000000000000002,634.0,0.45,8,COMPLETE
55,55,-2.5485270722045357,2025-06-14 19:47:44.101133,2025-06-14 19:47:54.818088,0 days 00:00:10.716955,20.0,0.004,1m,3.0,1.5,0.9,338.0,812.0,0.008,4m,2.0,3.0,0.7,478.0,506.0,0.001,1m,1.0,3.5,0.6,412.0,,,,,,,,298,0.007,3m,3.0,1.5,1.5,536,646.0,0.003,1m,4.0,2.0,1.8,714.0,70.0,0.001,1m,3.0,1.5,0.9,924.0,576,0.005,2m,4.0,4.0,0.5,738,518.0,0.009000000000000001,2m,2.5,1.0,0.6,1000.0,868.0,0.009000000000000001,4m,3.0,1.0,1.7000000000000002,286.0,552.0,0.004,3m,1.0,3.5,1.1,260.0,930.0,0.003,1m,2.5,1.5,1.2000000000000002,504.0,0.45,9,COMPLETE
56,56,0.8887924330605861,2025-06-14 19:47:54.873357,2025-06-14 19:48:03.250468,0 days 00:00:08.377111,,,,,,,,,,,,,,,334.0,0.006,4m,2.0,3.0,1.1,970.0,,,,,,,,238,0.003,3m,2.5,2.0,0.5,330,470.0,0.002,3m,4.0,1.5,1.7000000000000002,426.0,256.0,0.01,2m,2.0,1.5,0.8,706.0,446,0.006,2m,3.5,4.0,0.7,646,900.0,0.001,3m,1.5,1.5,0.5,942.0,700.0,0.009000000000000001,4m,2.5,1.5,2.0,336.0,242.0,0.005,3m,1.5,1.5,1.4,434.0,798.0,0.003,1m,2.5,2.5,1.4,570.0,0.4,7,COMPLETE
57,57,5.384152445083777,2025-06-14 19:48:03.338289,2025-06-14 19:48:11.060009,0 days 00:00:07.721720,,,,,,,,,,,,,,,272.0,0.003,4m,1.0,2.5,1.2000000000000002,750.0,,,,,,,,372,0.005,2m,3.5,1.5,1.6,504,746.0,0.004,3m,3.5,1.0,0.5,534.0,170.0,0.001,1m,2.5,3.0,1.5,794.0,596,0.008,3m,4.0,4.0,1.8,588,942.0,0.005,2m,2.0,2.0,0.8,844.0,766.0,0.008,4m,4.0,1.5,1.6,462.0,,,,,,,,970.0,0.001,1m,2.0,2.0,1.8,620.0,0.45,6,COMPLETE
