,number,value,datetime_start,datetime_complete,duration,params_ABNB_ADSK_beta_win,params_ABNB_ADSK_stop_loss,params_ABNB_ADSK_trade_freq,params_ABNB_ADSK_z_entry,params_ABNB_ADSK_z_exit,params_ABNB_ADSK_z_stop_scaler,params_ABNB_ADSK_z_win,params_CPRT_FAST_beta_win,params_CPRT_FAST_stop_loss,params_CPRT_FAST_trade_freq,params_CPRT_FAST_z_entry,params_CPRT_FAST_z_exit,params_CPRT_FAST_z_stop_scaler,params_CPRT_FAST_z_win,params_CPRT_MSFT_beta_win,params_CPRT_MSFT_stop_loss,params_CPRT_MSFT_trade_freq,params_CPRT_MSFT_z_entry,params_CPRT_MSFT_z_exit,params_CPRT_MSFT_z_stop_scaler,params_CPRT_MSFT_z_win,params_CPRT_MU_beta_win,params_CPRT_MU_stop_loss,params_CPRT_MU_trade_freq,params_CPRT_MU_z_entry,params_CPRT_MU_z_exit,params_CPRT_MU_z_stop_scaler,params_CPRT_MU_z_win,params_CTSH_TEAM_beta_win,params_CTSH_TEAM_stop_loss,params_CTSH_TEAM_trade_freq,params_CTSH_TEAM_z_entry,params_CTSH_TEAM_z_exit,params_CTSH_TEAM_z_stop_scaler,params_CTSH_TEAM_z_win,params_DXCM_FANG_beta_win,params_DXCM_FANG_stop_loss,params_DXCM_FANG_trade_freq,params_DXCM_FANG_z_entry,params_DXCM_FANG_z_exit,params_DXCM_FANG_z_stop_scaler,params_DXCM_FANG_z_win,params_ENPH_TEAM_beta_win,params_ENPH_TEAM_stop_loss,params_ENPH_TEAM_trade_freq,params_ENPH_TEAM_z_entry,params_ENPH_TEAM_z_exit,params_ENPH_TEAM_z_stop_scaler,params_ENPH_TEAM_z_win,params_GOOGL_MU_beta_win,params_GOOGL_MU_stop_loss,params_GOOGL_MU_trade_freq,params_GOOGL_MU_z_entry,params_GOOGL_MU_z_exit,params_GOOGL_MU_z_stop_scaler,params_GOOGL_MU_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_MU_beta_win,params_GOOG_MU_stop_loss,params_GOOG_MU_trade_freq,params_GOOG_MU_z_entry,params_GOOG_MU_z_exit,params_GOOG_MU_z_stop_scaler,params_GOOG_MU_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_LULU_VRTX_beta_win,params_LULU_VRTX_stop_loss,params_LULU_VRTX_trade_freq,params_LULU_VRTX_z_entry,params_LULU_VRTX_z_exit,params_LULU_VRTX_z_stop_scaler,params_LULU_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-5.326047411757734,2025-06-14 19:41:07.480161,2025-06-14 19:41:19.152367,0 days 00:00:11.672206,848.0,0.001,1m,2.0,3.5,1.2000000000000002,194.0,648.0,0.003,2m,4.0,1.5,1.2000000000000002,648.0,374.0,0.01,1m,4.0,1.0,2.0,936.0,222.0,0.008,4m,3.0,4.0,1.3,264.0,66,0.004,2m,4.0,1.0,1.6,956,996.0,0.01,1m,1.5,1.0,0.6,844.0,316.0,0.01,4m,1.0,1.0,2.0,708.0,718,0.001,2m,2.0,4.0,1.2000000000000002,212,886.0,0.009000000000000001,2m,1.0,4.0,0.5,1024.0,44.0,0.01,2m,2.5,3.0,0.8,806.0,890.0,0.009000000000000001,2m,2.5,4.0,1.4,654.0,666.0,0.001,2m,3.0,1.0,1.7000000000000002,1010.0,0.4,10,COMPLETE
11,11,2.316455579396213,2025-06-14 19:41:19.232974,2025-06-14 19:41:29.025869,0 days 00:00:09.792895,,,,,,,,210.0,0.002,3m,4.0,1.5,2.0,1022.0,588.0,0.001,4m,1.0,2.0,0.8,84.0,,,,,,,,670,0.004,3m,3.0,1.0,1.2000000000000002,284,750.0,0.001,2m,2.5,3.0,2.0,598.0,40.0,0.003,1m,2.0,4.0,0.5,196.0,16,0.006,2m,4.0,3.0,0.5,722,58.0,0.006,2m,1.0,4.0,2.0,892.0,224.0,0.005,2m,4.0,2.5,2.0,630.0,106.0,0.009000000000000001,1m,1.5,2.5,0.6,122.0,630.0,0.004,3m,1.0,1.0,2.0,790.0,0.05,8,COMPLETE
12,12,-11.037666594822797,2025-06-14 19:41:29.111966,2025-06-14 19:41:39.659644,0 days 00:00:10.547678,46.0,0.01,4m,4.0,1.0,2.0,1006.0,24.0,0.002,3m,4.0,1.5,2.0,1014.0,452.0,0.002,1m,1.0,2.0,0.5,50.0,,,,,,,,722,0.005,3m,3.5,1.5,1.3,98,758.0,0.007,3m,2.5,2.5,2.0,642.0,22.0,0.004,4m,1.0,4.0,1.4,190.0,988,0.006,2m,4.0,3.0,0.5,744,24.0,0.006,2m,1.0,4.0,1.9000000000000001,970.0,214.0,0.005,2m,4.0,2.5,1.5,628.0,22.0,0.009000000000000001,1m,1.0,2.0,0.5,30.0,472.0,0.004,3m,2.0,3.0,2.0,818.0,0.2,9,COMPLETE
13,13,-1.418636346989041,2025-06-14 19:41:39.752652,2025-06-14 19:41:49.327985,0 days 00:00:09.575333,,,,,,,,286.0,0.001,4m,3.0,1.0,0.6,1024.0,636.0,0.001,4m,1.0,1.5,1.1,134.0,,,,,,,,276,0.005,2m,3.0,2.0,1.3,286,768.0,0.008,2m,2.5,2.0,2.0,550.0,270.0,0.001,1m,2.0,3.5,1.5,300.0,716,0.005,2m,3.5,3.5,0.5,326,574.0,0.006,2m,2.0,3.5,2.0,694.0,232.0,0.005,2m,4.0,2.5,1.7000000000000002,708.0,226.0,0.008,1m,2.0,3.5,0.9,304.0,760.0,0.004,2m,4.0,1.0,2.0,708.0,0.35000000000000003,8,COMPLETE
14,14,-4.486123850971967,2025-06-14 19:41:49.435520,2025-06-14 19:41:58.962250,0 days 00:00:09.526730,,,,,,,,962.0,0.007,2m,1.0,3.0,1.5,62.0,18.0,0.004,1m,1.0,2.0,0.8,638.0,,,,,,,,722,0.004,1m,3.0,1.5,2.0,32,1004.0,0.004,1m,1.5,3.0,0.8,720.0,478.0,0.004,1m,1.5,3.5,0.5,352.0,784,0.005,2m,3.0,2.5,0.7,22,22.0,0.004,1m,1.0,3.0,1.3,722.0,20.0,0.007,2m,2.5,3.0,1.2000000000000002,1008.0,846.0,0.003,2m,4.0,2.5,1.8,866.0,424.0,0.003,3m,2.5,3.0,0.9,996.0,0.05,8,COMPLETE
15,15,1.7449853614907438,2025-06-14 19:41:59.086276,2025-06-14 19:42:07.144448,0 days 00:00:08.058172,,,,,,,,,,,,,,,362.0,0.001,4m,1.5,2.5,0.5,998.0,,,,,,,,220,0.007,3m,3.0,1.5,1.6,376,614.0,0.002,3m,3.0,1.5,1.8,366.0,234.0,0.001,1m,2.0,1.5,1.2000000000000002,688.0,430,0.007,2m,4.0,3.5,1.3,630,362.0,0.008,2m,2.0,2.5,0.8,784.0,710.0,0.01,4m,3.0,2.0,0.5,246.0,478.0,0.006,4m,1.5,1.0,1.2000000000000002,478.0,768.0,0.001,1m,3.0,2.0,1.6,556.0,0.5,7,COMPLETE
16,16,-1.883859306558615,2025-06-14 19:42:07.214165,2025-06-14 19:42:15.553280,0 days 00:00:08.339115,,,,,,,,,,,,,,,312.0,0.003,4m,1.5,2.0,0.5,996.0,,,,,,,,712,0.008,3m,4.0,2.0,1.5,344,828.0,0.002,2m,3.0,1.5,1.8,378.0,270.0,0.001,2m,2.0,1.5,1.1,406.0,196,0.008,2m,3.0,3.5,2.0,612,250.0,0.009000000000000001,2m,3.0,2.0,1.0,704.0,736.0,0.004,4m,2.0,2.0,0.5,168.0,470.0,0.005,4m,1.0,1.0,0.5,218.0,870.0,0.001,3m,3.0,1.5,1.7000000000000002,484.0,0.2,7,COMPLETE
17,17,-7.132518473043431,2025-06-14 19:42:15.647744,2025-06-14 19:42:26.111722,0 days 00:00:10.463978,268.0,0.006,2m,1.0,1.5,0.6,824.0,236.0,0.01,3m,2.5,4.0,2.0,326.0,898.0,0.005,4m,1.0,1.0,0.7,218.0,946.0,0.001,1m,1.0,1.0,0.5,996.0,154,0.007,3m,2.0,1.0,1.1,358,608.0,0.001,3m,1.0,3.0,1.0,364.0,598.0,0.002,3m,2.0,1.0,1.7000000000000002,216.0,392,0.004,2m,2.5,3.5,1.3,834,270.0,0.008,3m,3.0,2.5,1.6,540.0,988.0,0.001,2m,3.0,1.0,0.9,250.0,504.0,0.006,4m,1.5,1.0,0.9,364.0,792.0,0.005,2m,1.5,1.5,1.5,590.0,0.5,10,COMPLETE
18,18,-1.283972526605888,2025-06-14 19:42:26.213753,2025-06-14 19:42:34.034900,0 days 00:00:07.821147,,,,,,,,,,,,,,,182.0,0.002,4m,4.0,2.5,0.5,590.0,,,,,,,,648,0.007,1m,2.0,2.0,1.2000000000000002,410,862.0,0.003,2m,3.0,2.5,1.7000000000000002,350.0,40.0,0.003,4m,2.5,2.0,0.7,18.0,36,0.007,1m,4.0,2.5,1.2000000000000002,618,788.0,0.007,4m,2.0,3.0,1.0,858.0,658.0,0.006,1m,3.0,3.5,0.7,56.0,260.0,0.001,3m,3.5,2.0,1.9000000000000001,34.0,324.0,0.001,4m,3.0,2.0,1.8,354.0,0.15000000000000002,7,COMPLETE
19,19,-0.2506794279206816,2025-06-14 19:42:34.132413,2025-06-14 19:42:36.061138,0 days 00:00:01.928725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832,0.01,2m,3.0,1.5,1.6,578,,,,,,,,,,,,,,,474,0.008,2m,3.5,4.0,1.4,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
