,number,value,datetime_start,datetime_complete,duration,params_CHTR_SWKS_beta_win,params_CHTR_SWKS_stop_loss,params_CHTR_SWKS_trade_freq,params_CHTR_SWKS_z_entry,params_CHTR_SWKS_z_exit,params_CHTR_SWKS_z_stop_scaler,params_CHTR_SWKS_z_win,params_CMCSA_FISV_beta_win,params_CMCSA_FISV_stop_loss,params_CMCSA_FISV_trade_freq,params_CMCSA_FISV_z_entry,params_CMCSA_FISV_z_exit,params_CMCSA_FISV_z_stop_scaler,params_CMCSA_FISV_z_win,params_CMCSA_SWKS_beta_win,params_CMCSA_SWKS_stop_loss,params_CMCSA_SWKS_trade_freq,params_CMCSA_SWKS_z_entry,params_CMCSA_SWKS_z_exit,params_CMCSA_SWKS_z_stop_scaler,params_CMCSA_SWKS_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_FISV_MAR_beta_win,params_FISV_MAR_stop_loss,params_FISV_MAR_trade_freq,params_FISV_MAR_z_entry,params_FISV_MAR_z_exit,params_FISV_MAR_z_stop_scaler,params_FISV_MAR_z_win,params_ILMN_SWKS_beta_win,params_ILMN_SWKS_stop_loss,params_ILMN_SWKS_trade_freq,params_ILMN_SWKS_z_entry,params_ILMN_SWKS_z_exit,params_ILMN_SWKS_z_stop_scaler,params_ILMN_SWKS_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_OKTA_SBUX_beta_win,params_OKTA_SBUX_stop_loss,params_OKTA_SBUX_trade_freq,params_OKTA_SBUX_z_entry,params_OKTA_SBUX_z_exit,params_OKTA_SBUX_z_stop_scaler,params_OKTA_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,0.5871219352769877,2025-06-14 19:09:39.348972,2025-06-14 19:09:40.334968,0 days 00:00:00.985996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,1m,3.0,1.0,0.5,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,-4.939621340128125,2025-06-14 19:09:40.408066,2025-06-14 19:09:43.096030,0 days 00:00:02.687964,,,,,,,,30.0,0.005,3m,3.0,1.0,1.0,32.0,,,,,,,,446.0,0.007,1m,2.5,1.5,1.1,908.0,68,0.007,2m,4.0,1.0,2.0,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
12,12,3.1348413813601947,2025-06-14 19:09:43.163959,2025-06-14 19:09:44.124351,0 days 00:00:00.960392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,0.01,2m,4.0,1.0,1.7000000000000002,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
13,13,-3.052614007347124,2025-06-14 19:09:44.187557,2025-06-14 19:09:47.973201,0 days 00:00:03.785644,334.0,0.001,2m,1.0,4.0,1.4,1020.0,370.0,0.005,3m,2.0,2.0,0.9,184.0,,,,,,,,454.0,0.008,1m,3.0,2.0,0.5,1020.0,392,0.007,1m,3.5,1.5,1.6,834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
14,14,6.33039700333376,2025-06-14 19:09:48.026812,2025-06-14 19:09:53.091126,0 days 00:00:05.064314,520.0,0.008,3m,2.0,3.0,1.0,688.0,606.0,0.01,3m,3.0,2.0,1.5,272.0,,,,,,,,608.0,0.005,2m,2.0,2.0,1.1,384.0,260,0.005,2m,3.5,2.0,1.6,262,,,,,,,,,,,,,,,886.0,0.001,2m,4.0,2.0,0.5,872.0,50.0,0.01,1m,4.0,1.5,0.5,20.0,,,,,,,,0.3,6,COMPLETE
15,15,5.892434880733776,2025-06-14 19:09:53.180135,2025-06-14 19:09:59.080885,0 days 00:00:05.900750,556.0,0.008,3m,2.0,3.0,1.0,686.0,534.0,0.01,3m,3.5,1.0,1.6,250.0,1010.0,0.001,1m,4.0,4.0,0.5,1008.0,606.0,0.005,2m,2.0,1.5,1.0,350.0,186,0.004,1m,3.0,2.5,1.1,210,,,,,,,,,,,,,,,966.0,0.001,2m,4.0,2.0,0.7,826.0,18.0,0.01,1m,4.0,1.5,0.5,60.0,,,,,,,,0.25,7,COMPLETE
16,16,3.9310653976765986,2025-06-14 19:09:59.198629,2025-06-14 19:10:04.826331,0 days 00:00:05.627702,636.0,0.008,3m,2.0,2.5,0.9,608.0,634.0,0.01,4m,3.5,1.0,1.7000000000000002,162.0,1024.0,0.001,1m,4.0,4.0,0.5,1010.0,574.0,0.005,2m,1.5,1.0,1.1,328.0,168,0.003,1m,3.0,2.5,1.5,224,,,,,,,,,,,,,,,1018.0,0.001,2m,4.0,2.0,0.5,878.0,78.0,0.01,1m,4.0,1.5,0.5,20.0,,,,,,,,0.25,7,COMPLETE
17,17,-1.1144032734612463,2025-06-14 19:10:04.913413,2025-06-14 19:10:10.506089,0 days 00:00:05.592676,490.0,0.008,3m,2.0,2.5,1.0,716.0,416.0,0.01,3m,3.5,2.0,1.8,320.0,1022.0,0.01,1m,4.0,4.0,1.0,1008.0,686.0,0.003,2m,2.0,1.5,1.1,112.0,484,0.002,2m,2.5,3.0,1.1,164,,,,,,,,,,,,,,,742.0,0.001,2m,4.0,2.0,0.8,738.0,46.0,0.01,1m,4.0,2.0,0.5,36.0,,,,,,,,0.25,7,COMPLETE
18,18,-1.7489806404922048,2025-06-14 19:10:10.610156,2025-06-14 19:10:15.508664,0 days 00:00:04.898508,744.0,0.003,3m,1.0,3.0,1.1,442.0,486.0,0.004,3m,3.5,1.5,1.5,106.0,,,,,,,,324.0,0.005,2m,2.0,1.0,1.3,394.0,770,0.005,2m,3.5,2.5,1.5,156,,,,,,,,,,,,,,,1014.0,0.003,2m,4.0,2.5,0.5,632.0,206.0,0.008,1m,3.5,2.0,0.8,220.0,,,,,,,,0.3,6,COMPLETE
19,19,2.0382023444932225,2025-06-14 19:10:15.583881,2025-06-14 19:10:22.691344,0 days 00:00:07.107463,412.0,0.007,3m,2.5,3.0,0.7,448.0,684.0,0.01,3m,3.0,2.5,1.9000000000000001,216.0,32.0,0.001,1m,3.0,3.0,0.5,122.0,706.0,0.001,2m,1.0,2.0,0.9,232.0,26,0.005,1m,3.0,2.0,1.0,446,28.0,0.01,2m,4.0,4.0,2.0,88.0,1008.0,0.006,1m,1.0,1.0,1.5,1000.0,744.0,0.001,2m,3.5,1.5,0.9,806.0,660.0,0.001,1m,2.5,1.0,0.9,192.0,,,,,,,,0.2,9,COMPLETE
