,number,value,datetime_start,datetime_complete,duration,params_ARM_ROP_beta_win,params_ARM_ROP_stop_loss,params_ARM_ROP_trade_freq,params_ARM_ROP_z_entry,params_ARM_ROP_z_exit,params_ARM_ROP_z_stop_scaler,params_ARM_ROP_z_win,params_AVGO_ROP_beta_win,params_AVGO_ROP_stop_loss,params_AVGO_ROP_trade_freq,params_AVGO_ROP_z_entry,params_AVGO_ROP_z_exit,params_AVGO_ROP_z_stop_scaler,params_AVGO_ROP_z_win,params_COST_ROP_beta_win,params_COST_ROP_stop_loss,params_COST_ROP_trade_freq,params_COST_ROP_z_entry,params_COST_ROP_z_exit,params_COST_ROP_z_stop_scaler,params_COST_ROP_z_win,params_FTNT_ROP_beta_win,params_FTNT_ROP_stop_loss,params_FTNT_ROP_trade_freq,params_FTNT_ROP_z_entry,params_FTNT_ROP_z_exit,params_FTNT_ROP_z_stop_scaler,params_FTNT_ROP_z_win,params_HON_ROP_beta_win,params_HON_ROP_stop_loss,params_HON_ROP_trade_freq,params_HON_ROP_z_entry,params_HON_ROP_z_exit,params_HON_ROP_z_stop_scaler,params_HON_ROP_z_win,params_IDXX_ON_beta_win,params_IDXX_ON_stop_loss,params_IDXX_ON_trade_freq,params_IDXX_ON_z_entry,params_IDXX_ON_z_exit,params_IDXX_ON_z_stop_scaler,params_IDXX_ON_z_win,params_ISRG_ROP_beta_win,params_ISRG_ROP_stop_loss,params_ISRG_ROP_trade_freq,params_ISRG_ROP_z_entry,params_ISRG_ROP_z_exit,params_ISRG_ROP_z_stop_scaler,params_ISRG_ROP_z_win,params_NFLX_ROP_beta_win,params_NFLX_ROP_stop_loss,params_NFLX_ROP_trade_freq,params_NFLX_ROP_z_entry,params_NFLX_ROP_z_exit,params_NFLX_ROP_z_stop_scaler,params_NFLX_ROP_z_win,params_NVDA_ROP_beta_win,params_NVDA_ROP_stop_loss,params_NVDA_ROP_trade_freq,params_NVDA_ROP_z_entry,params_NVDA_ROP_z_exit,params_NVDA_ROP_z_stop_scaler,params_NVDA_ROP_z_win,params_PANW_ROP_beta_win,params_PANW_ROP_stop_loss,params_PANW_ROP_trade_freq,params_PANW_ROP_z_entry,params_PANW_ROP_z_exit,params_PANW_ROP_z_stop_scaler,params_PANW_ROP_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-6.880723955316332,2025-06-14 20:03:56.810590,2025-06-14 20:03:59.722816,0 days 00:00:02.912226,876.0,0.003,3m,1.0,3.0,1.3,394.0,,,,,,,,,,,,,,,,,,,,,,1000.0,0.002,1m,2.5,2.0,0.6,468.0,342,0.009000000000000001,3m,3.5,2.0,1.3,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,-0.01351323798284285,2025-06-14 20:03:59.789712,2025-06-14 20:04:02.581331,0 days 00:00:02.791619,210.0,0.009000000000000001,1m,3.0,3.0,1.9000000000000001,948.0,,,,,,,,,,,,,,,,,,,,,,984.0,0.006,3m,2.5,3.0,1.0,592.0,324,0.009000000000000001,2m,4.0,1.5,1.9000000000000001,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
2,2,-3.4845068471850924,2025-06-14 20:04:02.674768,2025-06-14 20:04:10.680517,0 days 00:00:08.005749,978.0,0.007,3m,1.5,4.0,0.7,698.0,34.0,0.005,2m,3.0,3.5,0.8,230.0,76.0,0.001,3m,2.5,2.5,0.6,388.0,920.0,0.003,3m,2.5,1.0,1.3,360.0,572.0,0.008,4m,1.5,3.5,2.0,386.0,270,0.008,4m,1.0,1.5,0.5,50,670.0,0.006,4m,2.0,2.5,0.8,548.0,,,,,,,,652.0,0.001,4m,3.0,1.5,0.5,828.0,110.0,0.003,4m,1.0,4.0,1.6,146.0,0.2,9,COMPLETE
3,3,-9.883289587046798,2025-06-14 20:04:10.763217,2025-06-14 20:04:15.259706,0 days 00:00:04.496489,844.0,0.01,4m,3.5,4.0,1.9000000000000001,582.0,960.0,0.01,4m,2.5,1.5,1.3,260.0,,,,,,,,,,,,,,,352.0,0.007,2m,1.0,3.5,1.3,856.0,544,0.009000000000000001,1m,1.5,3.5,1.3,326,,,,,,,,,,,,,,,,,,,,,,434.0,0.006,3m,2.5,3.5,0.7,974.0,0.05,5,COMPLETE
4,4,-4.850378899816459,2025-06-14 20:04:15.340313,2025-06-14 20:04:19.955865,0 days 00:00:04.615552,56.0,0.007,4m,3.5,3.0,1.7000000000000002,226.0,956.0,0.01,1m,1.5,1.5,1.9000000000000001,592.0,,,,,,,,,,,,,,,754.0,0.009000000000000001,1m,2.5,3.0,1.1,992.0,974,0.009000000000000001,4m,1.5,2.0,1.9000000000000001,702,,,,,,,,,,,,,,,,,,,,,,886.0,0.003,3m,3.5,2.5,1.1,452.0,0.2,5,COMPLETE
5,5,-1.9300553257581958,2025-06-14 20:04:20.028507,2025-06-14 20:04:27.036467,0 days 00:00:07.007960,218.0,0.004,2m,1.5,3.0,1.6,72.0,604.0,0.006,1m,4.0,2.0,1.9000000000000001,106.0,,,,,,,,974.0,0.008,4m,3.0,4.0,1.8,922.0,804.0,0.008,1m,2.5,3.5,0.6,550.0,430,0.001,4m,2.5,4.0,0.8,278,304.0,0.007,4m,1.5,1.0,1.8,648.0,,,,,,,,370.0,0.007,1m,2.0,1.0,1.4,490.0,32.0,0.006,1m,3.0,3.5,1.5,220.0,0.15000000000000002,8,COMPLETE
6,6,-0.03230899203873201,2025-06-14 20:04:27.091271,2025-06-14 20:04:30.751251,0 days 00:00:03.659980,588.0,0.007,2m,2.5,2.5,0.8,598.0,254.0,0.009000000000000001,2m,2.0,3.5,1.6,890.0,,,,,,,,,,,,,,,56.0,0.009000000000000001,3m,2.5,1.5,1.1,276.0,264,0.008,1m,4.0,1.0,0.6,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
7,7,0.052932563778066544,2025-06-14 20:04:30.863564,2025-06-14 20:04:33.303246,0 days 00:00:02.439682,832.0,0.01,3m,3.5,2.5,1.5,514.0,,,,,,,,,,,,,,,,,,,,,,948.0,0.008,2m,4.0,3.0,1.6,760.0,952,0.004,3m,2.0,2.5,0.8,652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
8,8,-2.727774445757545,2025-06-14 20:04:33.362943,2025-06-14 20:04:39.677870,0 days 00:00:06.314927,172.0,0.001,2m,2.5,4.0,1.8,892.0,142.0,0.007,1m,3.0,3.0,1.7000000000000002,862.0,,,,,,,,338.0,0.005,2m,1.5,3.0,1.4,492.0,150.0,0.002,2m,4.0,3.0,1.4,444.0,186,0.009000000000000001,3m,3.0,3.0,1.2000000000000002,68,370.0,0.006,3m,2.0,3.0,1.2000000000000002,674.0,,,,,,,,,,,,,,,574.0,0.009000000000000001,4m,2.0,1.5,1.2000000000000002,294.0,0.05,7,COMPLETE
9,9,-4.426140738019355,2025-06-14 20:04:39.731056,2025-06-14 20:04:48.502042,0 days 00:00:08.770986,698.0,0.01,4m,2.5,3.5,0.8,766.0,1012.0,0.004,4m,4.0,1.5,0.5,248.0,678.0,0.01,4m,4.0,4.0,2.0,420.0,410.0,0.006,4m,1.0,3.5,1.7000000000000002,748.0,1010.0,0.007,3m,4.0,1.5,0.8,766.0,90,0.004,2m,4.0,1.5,0.9,844,612.0,0.004,2m,1.0,1.5,1.6,82.0,432.0,0.007,4m,4.0,1.5,0.9,224.0,552.0,0.003,1m,2.0,3.5,0.7,384.0,64.0,0.007,2m,3.0,1.0,1.9000000000000001,316.0,0.45,10,COMPLETE
10,10,1.2278526641379164,2025-06-14 20:04:48.590762,2025-06-14 20:04:49.755224,0 days 00:00:01.164462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988,0.004,3m,2.5,3.0,1.6,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,1.193886880048743,2025-06-14 20:04:49.805531,2025-06-14 20:04:50.904392,0 days 00:00:01.098861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,0.004,3m,2.5,3.0,1.6,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
12,12,-100.0,2025-06-14 20:04:50.959233,2025-06-14 20:04:52.003978,0 days 00:00:01.044745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,0.005,3m,2.5,3.0,1.6,978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
13,13,-100.0,2025-06-14 20:04:52.051332,2025-06-14 20:04:53.147432,0 days 00:00:01.096100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,0.002,3m,3.0,3.0,1.6,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
14,14,-1.394717016896361,2025-06-14 20:04:53.215725,2025-06-14 20:04:54.257496,0 days 00:00:01.041771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,0.006,3m,2.0,4.0,1.6,884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
15,15,-0.7558830214092972,2025-06-14 20:04:54.313817,2025-06-14 20:04:56.273764,0 days 00:00:01.959947,414.0,0.001,1m,4.0,1.0,0.5,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642,0.003,3m,3.0,3.5,1.7000000000000002,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
16,16,-8.817984692746125,2025-06-14 20:04:56.327848,2025-06-14 20:05:02.733132,0 days 00:00:06.405284,408.0,0.005,1m,2.0,1.0,1.1,366.0,548.0,0.001,3m,1.0,4.0,1.0,548.0,,,,,,,,54.0,0.01,1m,4.0,1.5,0.5,176.0,394.0,0.004,4m,1.5,1.0,1.8,66.0,1002,0.006,3m,2.0,2.5,1.4,1012,964.0,0.001,1m,4.0,4.0,0.5,1006.0,,,,,,,,,,,,,,,966.0,0.001,2m,4.0,2.0,0.5,836.0,0.4,7,COMPLETE
17,17,-6.7522040950880164,2025-06-14 20:05:02.809882,2025-06-14 20:05:04.725123,0 days 00:00:01.915241,620.0,0.003,1m,1.0,1.5,1.1,1010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,0.003,1m,2.5,3.5,2.0,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
18,18,-2.597206092597692,2025-06-14 20:05:04.796081,2025-06-14 20:05:08.597907,0 days 00:00:03.801826,406.0,0.008,3m,4.0,2.0,1.4,240.0,736.0,0.001,3m,1.0,2.5,1.3,1006.0,,,,,,,,,,,,,,,602.0,0.004,4m,3.5,2.0,2.0,28.0,648,0.005,2m,3.5,2.5,1.0,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
19,19,-2.097996454234437,2025-06-14 20:05:08.647482,2025-06-14 20:05:10.563139,0 days 00:00:01.915657,1016.0,0.005,2m,2.0,2.0,1.1,830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,0.007,3m,1.5,3.0,1.5,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
20,20,-4.460235888017298,2025-06-14 20:05:10.621982,2025-06-14 20:05:16.409845,0 days 00:00:05.787863,36.0,0.002,4m,3.0,1.5,0.5,200.0,340.0,0.003,4m,3.5,1.0,0.6,748.0,,,,,,,,668.0,0.001,2m,4.0,2.0,0.6,72.0,224.0,0.001,1m,3.5,4.0,1.6,236.0,638,0.001,3m,3.0,2.0,1.8,608,,,,,,,,,,,,,,,,,,,,,,642.0,0.01,1m,1.0,3.0,2.0,640.0,0.5,6,COMPLETE
21,21,-3.231799987570421,2025-06-14 20:05:16.463167,2025-06-14 20:05:19.335304,0 days 00:00:02.872137,754.0,0.009000000000000001,3m,3.5,2.5,1.6,454.0,,,,,,,,,,,,,,,,,,,,,,750.0,0.01,2m,3.5,2.5,1.6,724.0,1008,0.004,3m,2.0,2.5,1.1,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,3,COMPLETE
22,22,0.9189095786113862,2025-06-14 20:05:19.394691,2025-06-14 20:05:20.282860,0 days 00:00:00.888169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874,0.004,3m,2.5,2.5,0.8,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
23,23,0.8021454743733528,2025-06-14 20:05:20.336831,2025-06-14 20:05:21.424933,0 days 00:00:01.088102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,0.003,3m,2.5,3.5,1.4,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
24,24,1.5597088165470587,2025-06-14 20:05:21.465886,2025-06-14 20:05:23.548031,0 days 00:00:02.082145,328.0,0.006,1m,1.5,3.5,0.7,676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,0.002,3m,2.5,3.0,1.1,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
25,25,2.052477657157403,2025-06-14 20:05:23.611316,2025-06-14 20:05:25.631925,0 days 00:00:02.020609,506.0,0.006,1m,1.5,3.5,0.9,694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,0.002,3m,3.5,3.0,1.1,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
26,26,-2.9220089958987026,2025-06-14 20:05:25.682933,2025-06-14 20:05:29.232709,0 days 00:00:03.549776,518.0,0.006,1m,1.5,3.5,0.9,700.0,758.0,0.008,2m,2.0,2.5,1.0,22.0,,,,,,,,,,,,,,,410.0,0.004,4m,1.0,1.0,0.8,1000.0,738,0.002,4m,3.5,3.5,1.1,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
27,27,0.4299750733742196,2025-06-14 20:05:29.318235,2025-06-14 20:05:31.257279,0 days 00:00:01.939044,308.0,0.006,1m,2.0,3.5,0.6,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934,0.002,2m,3.0,3.0,1.1,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
28,28,-1.8290684035410703,2025-06-14 20:05:31.310619,2025-06-14 20:05:33.389492,0 days 00:00:02.078873,524.0,0.004,1m,1.0,3.5,1.0,782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,0.001,1m,3.5,4.0,1.2000000000000002,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
29,29,2.9399120522927733,2025-06-14 20:05:33.479109,2025-06-14 20:05:36.374318,0 days 00:00:02.895209,284.0,0.008,1m,1.5,4.0,0.7,540.0,,,,,,,,,,,,,,,,,,,,,,32.0,0.005,3m,2.0,4.0,0.8,184.0,696,0.002,3m,3.5,2.5,1.3,898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
30,30,0.2954744762996973,2025-06-14 20:05:36.431904,2025-06-14 20:05:40.194767,0 days 00:00:03.762863,330.0,0.008,1m,1.5,4.0,0.7,538.0,384.0,0.003,3m,2.5,4.0,1.5,410.0,,,,,,,,,,,,,,,38.0,0.005,3m,2.0,4.0,0.5,154.0,712,0.002,3m,3.5,2.0,1.3,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
31,31,-0.7294586921280545,2025-06-14 20:05:40.255509,2025-06-14 20:05:43.166660,0 days 00:00:02.911151,292.0,0.008,1m,2.0,3.5,0.9,642.0,,,,,,,,,,,,,,,,,,,,,,268.0,0.003,3m,2.0,4.0,0.8,338.0,932,0.003,3m,3.0,2.5,1.4,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
32,32,-3.7322373826967405,2025-06-14 20:05:43.217719,2025-06-14 20:05:46.113652,0 days 00:00:02.895933,124.0,0.006,1m,1.5,4.0,0.7,466.0,,,,,,,,,,,,,,,,,,,,,,488.0,0.006,3m,3.0,2.5,1.0,190.0,496,0.002,3m,4.0,3.0,1.0,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
33,33,-4.0971172083652,2025-06-14 20:05:46.145725,2025-06-14 20:05:48.069142,0 days 00:00:01.923417,492.0,0.007,1m,1.0,3.5,0.9,756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834,0.001,3m,3.5,2.5,1.0,948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
34,34,2.4659803374308185,2025-06-14 20:05:48.134067,2025-06-14 20:05:50.237738,0 days 00:00:02.103671,370.0,0.005,1m,2.0,4.0,1.2000000000000002,884.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,0.003,3m,4.0,3.0,1.3,886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
35,35,-3.0558188544644707,2025-06-14 20:05:50.298379,2025-06-14 20:05:54.999132,0 days 00:00:04.700753,370.0,0.005,1m,2.0,4.0,1.3,860.0,752.0,0.007,1m,1.5,1.0,1.0,414.0,,,,,,,,,,,,,,,116.0,0.005,3m,1.5,2.0,1.4,132.0,572,0.003,2m,4.0,3.5,1.2000000000000002,900,,,,,,,,,,,,,,,,,,,,,,350.0,0.001,2m,2.0,1.0,0.9,738.0,0.45,5,COMPLETE
36,36,-2.318988318583947,2025-06-14 20:05:55.062467,2025-06-14 20:05:57.725840,0 days 00:00:02.663373,464.0,0.004,1m,1.5,4.0,1.2000000000000002,942.0,,,,,,,,,,,,,,,,,,,,,,260.0,0.001,3m,2.0,3.5,0.7,606.0,680,0.002,4m,4.0,2.0,1.3,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,3,COMPLETE
37,37,-11.637875979013247,2025-06-14 20:05:57.798443,2025-06-14 20:05:59.872330,0 days 00:00:02.073887,268.0,0.006,1m,1.0,3.5,0.6,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434,0.001,1m,3.5,3.5,0.9,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
38,38,0.3262197053141968,2025-06-14 20:05:59.933183,2025-06-14 20:06:03.718374,0 days 00:00:03.785191,356.0,0.005,1m,2.0,3.0,1.0,814.0,472.0,0.002,2m,3.5,3.0,0.8,704.0,,,,,,,,,,,,,,,494.0,0.003,3m,3.0,4.0,1.0,312.0,548,0.003,3m,4.0,3.0,0.6,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
39,39,-1.2834857777433535,2025-06-14 20:06:03.810864,2025-06-14 20:06:06.558833,0 days 00:00:02.747969,246.0,0.003,1m,1.5,3.5,0.8,712.0,,,,,,,,,,,,,,,,,,,,,,670.0,0.01,2m,3.0,2.5,1.2000000000000002,94.0,602,0.01,4m,1.0,1.5,1.1,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
40,40,-12.305120800131354,2025-06-14 20:06:06.615138,2025-06-14 20:06:11.585764,0 days 00:00:04.970626,144.0,0.009000000000000001,1m,1.0,4.0,1.2000000000000002,910.0,44.0,0.005,3m,2.0,2.0,2.0,412.0,,,,,,,,,,,,,,,172.0,0.007,1m,1.0,1.5,0.5,396.0,710,0.001,3m,3.5,1.0,1.4,816,,,,,,,,,,,,,,,,,,,,,,800.0,0.008,4m,4.0,2.0,1.6,20.0,0.3,5,COMPLETE
41,41,-0.9533214343146867,2025-06-14 20:06:11.655208,2025-06-14 20:06:13.658266,0 days 00:00:02.003058,630.0,0.007,1m,1.5,4.0,0.6,628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958,0.002,3m,3.0,3.0,1.5,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
42,42,-100.0,2025-06-14 20:06:13.739892,2025-06-14 20:06:14.750884,0 days 00:00:01.010992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,0.005,3m,4.0,2.5,1.2000000000000002,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
43,43,-2.539758560888238,2025-06-14 20:06:14.819068,2025-06-14 20:06:17.843215,0 days 00:00:03.024147,454.0,0.008,1m,2.0,3.0,1.0,554.0,,,,,,,,,,,,,,,,,,,,,,310.0,0.003,4m,1.5,3.5,0.9,668.0,1024,0.003,3m,2.5,3.0,1.5,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,3,COMPLETE
44,44,1.0479649540063065,2025-06-14 20:06:17.918855,2025-06-14 20:06:18.870483,0 days 00:00:00.951628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964,0.004,3m,2.0,3.0,0.9,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
45,45,-0.5372462905576597,2025-06-14 20:06:18.924363,2025-06-14 20:06:20.799779,0 days 00:00:01.875416,102.0,0.004,4m,1.5,4.0,0.7,446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,0.002,3m,3.5,3.0,1.3,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
46,46,-100.0,2025-06-14 20:06:20.862836,2025-06-14 20:06:21.958335,0 days 00:00:01.095499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,0.004,3m,2.5,3.5,1.9000000000000001,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
47,47,-5.532497461710669,2025-06-14 20:06:22.022697,2025-06-14 20:06:29.706461,0 days 00:00:07.683764,192.0,0.006,3m,1.0,3.0,1.3,976.0,216.0,0.008,4m,3.0,3.0,1.4,688.0,998.0,0.006,1m,1.0,1.0,1.5,986.0,136.0,0.01,3m,2.5,2.5,0.9,980.0,884.0,0.005,3m,2.0,4.0,1.8,220.0,326,0.003,1m,3.0,2.5,1.7000000000000002,914,114.0,0.01,3m,3.5,4.0,1.2000000000000002,26.0,,,,,,,,16.0,0.01,3m,4.0,4.0,2.0,34.0,270.0,0.004,1m,2.0,4.0,0.5,514.0,0.2,9,COMPLETE
48,48,-2.9109669436546266,2025-06-14 20:06:29.791213,2025-06-14 20:06:31.707361,0 days 00:00:01.916148,564.0,0.007,2m,2.5,3.5,0.8,694.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426,0.001,2m,4.0,3.0,1.3,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
49,49,-1.8476540023513608,2025-06-14 20:06:31.764832,2025-06-14 20:06:37.086827,0 days 00:00:05.321995,236.0,0.009000000000000001,1m,2.0,3.0,0.9,496.0,864.0,0.004,1m,3.5,2.0,1.7000000000000002,956.0,,,,,,,,682.0,0.001,1m,1.5,4.0,2.0,688.0,418.0,0.006,1m,3.0,3.0,1.3,868.0,758,0.002,3m,2.0,2.0,1.7000000000000002,880,,,,,,,,,,,,,,,,,,,,,,712.0,0.004,3m,1.5,2.5,0.9,970.0,0.35000000000000003,6,COMPLETE
50,50,2.3712038282928667,2025-06-14 20:06:37.153945,2025-06-14 20:06:38.254385,0 days 00:00:01.100440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,0.005,4m,2.5,3.5,0.7,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
51,51,1.8297241862896176,2025-06-14 20:06:38.314730,2025-06-14 20:06:39.412723,0 days 00:00:01.097993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,0.005,4m,2.5,3.5,0.5,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
52,52,2.373527087139527,2025-06-14 20:06:39.484412,2025-06-14 20:06:40.477045,0 days 00:00:00.992633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,0.006,4m,2.5,3.5,0.5,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
53,53,2.3691347980826243,2025-06-14 20:06:40.531711,2025-06-14 20:06:41.461007,0 days 00:00:00.929296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,0.007,4m,2.5,4.0,0.5,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
54,54,-100.0,2025-06-14 20:06:41.544989,2025-06-14 20:06:42.537308,0 days 00:00:00.992319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,0.007,4m,3.0,4.0,0.6,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
55,55,0.8732438178267081,2025-06-14 20:06:42.598167,2025-06-14 20:06:43.717008,0 days 00:00:01.118841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,0.007,4m,2.0,4.0,0.7,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
56,56,1.386561382695577,2025-06-14 20:06:43.794359,2025-06-14 20:06:45.748874,0 days 00:00:01.954515,718.0,0.002,4m,3.0,4.0,1.4,568.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,0.006,4m,1.5,4.0,0.5,676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
57,57,-100.0,2025-06-14 20:06:45.828273,2025-06-14 20:06:46.995857,0 days 00:00:01.167584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,0.008,4m,2.5,4.0,0.7,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
58,58,-0.9382577151678682,2025-06-14 20:06:47.070762,2025-06-14 20:06:48.880783,0 days 00:00:01.810021,906.0,0.01,2m,3.0,2.0,2.0,326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722,0.006,4m,3.0,3.5,0.6,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
59,59,-1.6158583658477539,2025-06-14 20:06:48.903242,2025-06-14 20:06:49.788191,0 days 00:00:00.884949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684,0.008,4m,2.0,3.5,0.5,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
60,60,0.9386494392351181,2025-06-14 20:06:49.851227,2025-06-14 20:06:52.777019,0 days 00:00:02.925792,666.0,0.007,3m,2.5,2.5,1.4,600.0,,,,,,,,,,,,,,,,,,,,,,656.0,0.002,4m,2.0,2.0,0.6,492.0,808,0.007,4m,2.5,4.0,0.7,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,3,COMPLETE
61,61,1.7026815569952622,2025-06-14 20:06:52.864711,2025-06-14 20:06:53.952430,0 days 00:00:01.087719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,0.005,4m,2.5,3.5,0.5,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
62,62,0.5196101979838345,2025-06-14 20:06:53.992489,2025-06-14 20:06:55.101625,0 days 00:00:01.109136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804,0.006,4m,2.5,3.5,0.5,856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
63,63,1.7530991534746294,2025-06-14 20:06:55.184323,2025-06-14 20:06:56.844919,0 days 00:00:01.660596,86.0,0.009000000000000001,4m,2.5,3.0,1.2000000000000002,734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,0.005,4m,2.5,3.5,0.6,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
