,number,value,datetime_start,datetime_complete,duration,params_AAPL_ATVI_beta_win,params_AAPL_ATVI_stop_loss,params_AAPL_ATVI_trade_freq,params_AAPL_ATVI_z_entry,params_AAPL_ATVI_z_exit,params_AAPL_ATVI_z_stop_scaler,params_AAPL_ATVI_z_win,params_ABNB_ATVI_beta_win,params_ABNB_ATVI_stop_loss,params_ABNB_ATVI_trade_freq,params_ABNB_ATVI_z_entry,params_ABNB_ATVI_z_exit,params_ABNB_ATVI_z_stop_scaler,params_ABNB_ATVI_z_win,params_ADBE_ATVI_beta_win,params_ADBE_ATVI_stop_loss,params_ADBE_ATVI_trade_freq,params_ADBE_ATVI_z_entry,params_ADBE_ATVI_z_exit,params_ADBE_ATVI_z_stop_scaler,params_ADBE_ATVI_z_win,params_ALGN_ATVI_beta_win,params_ALGN_ATVI_stop_loss,params_ALGN_ATVI_trade_freq,params_ALGN_ATVI_z_entry,params_ALGN_ATVI_z_exit,params_ALGN_ATVI_z_stop_scaler,params_ALGN_ATVI_z_win,params_AMAT_ATVI_beta_win,params_AMAT_ATVI_stop_loss,params_AMAT_ATVI_trade_freq,params_AMAT_ATVI_z_entry,params_AMAT_ATVI_z_exit,params_AMAT_ATVI_z_stop_scaler,params_AMAT_ATVI_z_win,params_AMD_ATVI_beta_win,params_AMD_ATVI_stop_loss,params_AMD_ATVI_trade_freq,params_AMD_ATVI_z_entry,params_AMD_ATVI_z_exit,params_AMD_ATVI_z_stop_scaler,params_AMD_ATVI_z_win,params_AMZN_ATVI_beta_win,params_AMZN_ATVI_stop_loss,params_AMZN_ATVI_trade_freq,params_AMZN_ATVI_z_entry,params_AMZN_ATVI_z_exit,params_AMZN_ATVI_z_stop_scaler,params_AMZN_ATVI_z_win,params_ATVI_ANSS_beta_win,params_ATVI_ANSS_stop_loss,params_ATVI_ANSS_trade_freq,params_ATVI_ANSS_z_entry,params_ATVI_ANSS_z_exit,params_ATVI_ANSS_z_stop_scaler,params_ATVI_ANSS_z_win,params_ATVI_MSFT_beta_win,params_ATVI_MSFT_stop_loss,params_ATVI_MSFT_trade_freq,params_ATVI_MSFT_z_entry,params_ATVI_MSFT_z_exit,params_ATVI_MSFT_z_stop_scaler,params_ATVI_MSFT_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-2.061722045503533,2025-06-14 19:27:16.433596,2025-06-14 19:27:17.449270,0 days 00:00:01.015674,,,,,,,,,,,,,,,640,0.001,4m,2.5,4.0,1.6,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
11,11,-4.503425386457618,2025-06-14 19:27:17.516615,2025-06-14 19:27:23.315892,0 days 00:00:05.799277,334.0,0.01,1m,4.0,3.0,1.6,768.0,90.0,0.01,4m,4.0,1.0,2.0,926.0,720,0.006,1m,3.0,1.0,0.5,978,474.0,0.001,2m,1.5,4.0,1.5,992.0,,,,,,,,446.0,0.004,2m,2.0,1.5,1.0,28.0,30.0,0.01,3m,3.0,1.0,0.5,92.0,1006.0,0.01,4m,4.0,4.0,0.5,988.0,,,,,,,,,,,,,,,0.4,7,COMPLETE
12,12,-1.478429877474874,2025-06-14 19:27:23.390760,2025-06-14 19:27:29.382458,0 days 00:00:05.991698,782.0,0.001,1m,1.5,2.5,0.6,34.0,1022.0,0.001,1m,1.0,4.0,2.0,172.0,452,0.001,1m,2.5,4.0,0.8,522,504.0,0.007,3m,4.0,2.5,2.0,22.0,,,,,,,,462.0,0.005,2m,1.5,2.0,1.1,270.0,624.0,0.005,1m,2.0,4.0,0.9,186.0,698.0,0.01,1m,3.5,2.0,2.0,54.0,,,,,,,,,,,,,,,0.2,7,COMPLETE
13,13,-7.424606302364459,2025-06-14 19:27:29.450453,2025-06-14 19:27:36.102852,0 days 00:00:06.652399,220.0,0.004,1m,3.0,4.0,1.9000000000000001,614.0,38.0,0.01,4m,3.0,2.0,1.4,990.0,56,0.006,1m,3.0,3.0,1.0,216,292.0,0.008,2m,2.0,2.5,1.6,556.0,,,,,,,,614.0,0.007,2m,2.0,1.0,0.5,140.0,286.0,0.01,4m,3.0,2.0,0.7,266.0,28.0,0.008,4m,2.5,2.0,0.7,890.0,50.0,0.009000000000000001,3m,1.0,1.0,1.8,30.0,,,,,,,,0.4,8,COMPLETE
14,14,-3.9887345400394985,2025-06-14 19:27:36.146250,2025-06-14 19:27:40.405249,0 days 00:00:04.258999,568.0,0.008,2m,4.0,2.0,1.5,248.0,,,,,,,,466,0.004,4m,3.5,1.0,0.6,542,716.0,0.003,1m,1.0,2.5,1.2000000000000002,732.0,,,,,,,,388.0,0.002,2m,1.0,2.0,1.4,424.0,730.0,0.005,1m,3.0,1.0,1.6,626.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
15,15,-6.200723934847924,2025-06-14 19:27:40.464099,2025-06-14 19:27:41.380740,0 days 00:00:00.916641,,,,,,,,,,,,,,,820,0.007,1m,2.0,3.0,0.7,804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
16,16,-5.403827305754939,2025-06-14 19:27:41.443551,2025-06-14 19:27:49.784924,0 days 00:00:08.341373,30.0,0.005,1m,2.5,3.0,0.9,566.0,358.0,0.008,3m,2.5,1.0,0.7,316.0,156,0.003,4m,3.5,3.5,1.1,192,704.0,0.008,3m,3.0,4.0,1.8,404.0,996.0,0.005,2m,1.0,1.0,1.5,1018.0,320.0,0.005,1m,2.0,2.5,1.6,652.0,420.0,0.009000000000000001,3m,2.0,2.0,1.1,314.0,682.0,0.001,1m,3.0,4.0,2.0,722.0,196.0,0.008,1m,4.0,2.5,1.5,530.0,1008.0,0.001,1m,1.0,4.0,2.0,978.0,0.5,10,COMPLETE
17,17,-5.273861590613285,2025-06-14 19:27:49.853609,2025-06-14 19:27:54.955820,0 days 00:00:05.102211,1002.0,0.001,1m,2.0,3.5,1.4,26.0,,,,,,,,388,0.002,2m,2.0,2.5,1.5,978,322.0,0.006,2m,3.5,2.0,1.3,756.0,,,,,,,,576.0,0.006,2m,4.0,2.0,1.1,356.0,802.0,0.004,1m,3.5,4.0,0.5,36.0,738.0,0.007,2m,2.0,3.0,1.6,192.0,,,,,,,,,,,,,,,0.25,6,COMPLETE
18,18,-3.4927311442147544,2025-06-14 19:27:55.059450,2025-06-14 19:28:01.764724,0 days 00:00:06.705274,274.0,0.006,2m,3.5,3.5,1.0,446.0,286.0,0.003,2m,1.5,3.5,1.7000000000000002,700.0,578,0.007,4m,2.5,3.5,0.7,430,664.0,0.009000000000000001,1m,2.0,1.0,2.0,32.0,,,,,,,,302.0,0.008,2m,1.5,3.5,0.8,822.0,474.0,0.008,3m,2.0,2.5,1.5,544.0,178.0,0.004,3m,3.5,1.0,0.9,648.0,1020.0,0.006,2m,2.0,2.0,1.1,1010.0,,,,,,,,0.15000000000000002,8,COMPLETE
19,19,-1.2559006595976683,2025-06-14 19:28:01.834971,2025-06-14 19:28:05.393090,0 days 00:00:03.558119,,,,,,,,,,,,,,,216,0.005,1m,4.0,2.0,1.0,676,340.0,0.002,2m,2.5,3.0,1.5,1016.0,,,,,,,,20.0,0.004,2m,3.0,2.5,0.6,32.0,222.0,0.009000000000000001,4m,1.5,1.5,0.8,194.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
