,number,value,datetime_start,datetime_complete,duration,params_AAPL_ATVI_beta_win,params_AAPL_ATVI_stop_loss,params_AAPL_ATVI_trade_freq,params_AAPL_ATVI_z_entry,params_AAPL_ATVI_z_exit,params_AAPL_ATVI_z_stop_scaler,params_AAPL_ATVI_z_win,params_ABNB_ATVI_beta_win,params_ABNB_ATVI_stop_loss,params_ABNB_ATVI_trade_freq,params_ABNB_ATVI_z_entry,params_ABNB_ATVI_z_exit,params_ABNB_ATVI_z_stop_scaler,params_ABNB_ATVI_z_win,params_ADBE_ATVI_beta_win,params_ADBE_ATVI_stop_loss,params_ADBE_ATVI_trade_freq,params_ADBE_ATVI_z_entry,params_ADBE_ATVI_z_exit,params_ADBE_ATVI_z_stop_scaler,params_ADBE_ATVI_z_win,params_ALGN_ATVI_beta_win,params_ALGN_ATVI_stop_loss,params_ALGN_ATVI_trade_freq,params_ALGN_ATVI_z_entry,params_ALGN_ATVI_z_exit,params_ALGN_ATVI_z_stop_scaler,params_ALGN_ATVI_z_win,params_AMAT_ATVI_beta_win,params_AMAT_ATVI_stop_loss,params_AMAT_ATVI_trade_freq,params_AMAT_ATVI_z_entry,params_AMAT_ATVI_z_exit,params_AMAT_ATVI_z_stop_scaler,params_AMAT_ATVI_z_win,params_AMD_ATVI_beta_win,params_AMD_ATVI_stop_loss,params_AMD_ATVI_trade_freq,params_AMD_ATVI_z_entry,params_AMD_ATVI_z_exit,params_AMD_ATVI_z_stop_scaler,params_AMD_ATVI_z_win,params_AMZN_ATVI_beta_win,params_AMZN_ATVI_stop_loss,params_AMZN_ATVI_trade_freq,params_AMZN_ATVI_z_entry,params_AMZN_ATVI_z_exit,params_AMZN_ATVI_z_stop_scaler,params_AMZN_ATVI_z_win,params_ATVI_ANSS_beta_win,params_ATVI_ANSS_stop_loss,params_ATVI_ANSS_trade_freq,params_ATVI_ANSS_z_entry,params_ATVI_ANSS_z_exit,params_ATVI_ANSS_z_stop_scaler,params_ATVI_ANSS_z_win,params_ATVI_MSFT_beta_win,params_ATVI_MSFT_stop_loss,params_ATVI_MSFT_trade_freq,params_ATVI_MSFT_z_entry,params_ATVI_MSFT_z_exit,params_ATVI_MSFT_z_stop_scaler,params_ATVI_MSFT_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,-1.0884153140610582,2025-06-14 19:28:50.105904,2025-06-14 19:28:55.038364,0 days 00:00:04.932460,444.0,0.004,3m,1.0,3.0,1.3,214.0,,,,,,,,384,0.002,3m,3.5,4.0,1.4,250,836.0,0.006,1m,4.0,2.0,0.5,378.0,,,,,,,,372.0,0.002,4m,2.5,3.5,2.0,128.0,866.0,0.003,1m,3.5,4.0,1.8,858.0,544.0,0.009000000000000001,4m,3.0,3.5,1.7000000000000002,466.0,,,,,,,,,,,,,,,0.1,6,COMPLETE
31,31,3.3651460263903354,2025-06-14 19:28:55.107298,2025-06-14 19:29:01.515510,0 days 00:00:06.408212,194.0,0.005,3m,1.5,3.5,1.7000000000000002,378.0,220.0,0.008,4m,2.0,1.5,1.7000000000000002,770.0,484,0.003,3m,3.5,3.0,1.1,474,840.0,0.007,1m,4.0,2.0,0.7,464.0,,,,,,,,112.0,0.003,4m,3.5,3.0,1.6,188.0,872.0,0.003,1m,3.0,3.5,1.7000000000000002,710.0,524.0,0.007,4m,3.0,4.0,1.5,324.0,756.0,0.01,2m,3.0,1.0,2.0,162.0,,,,,,,,0.15000000000000002,8,COMPLETE
32,32,-0.26907294319177316,2025-06-14 19:29:01.582381,2025-06-14 19:29:08.466976,0 days 00:00:06.884595,206.0,0.005,3m,1.5,3.5,1.6,378.0,218.0,0.008,4m,2.0,1.5,1.6,808.0,490,0.001,3m,3.0,3.0,1.4,474,840.0,0.007,1m,4.0,2.0,0.7,448.0,,,,,,,,86.0,0.003,4m,3.5,3.0,1.6,180.0,858.0,0.003,1m,3.0,3.5,1.7000000000000002,732.0,516.0,0.007,4m,3.0,4.0,1.5,282.0,816.0,0.01,2m,3.0,1.0,2.0,80.0,,,,,,,,0.15000000000000002,8,COMPLETE
33,33,-0.6466317233590309,2025-06-14 19:29:08.514315,2025-06-14 19:29:15.095360,0 days 00:00:06.581045,176.0,0.005,3m,1.5,3.5,1.7000000000000002,366.0,204.0,0.008,4m,2.0,1.5,1.7000000000000002,798.0,620,0.001,3m,2.5,3.0,1.7000000000000002,462,848.0,0.007,1m,4.0,2.0,0.7,442.0,,,,,,,,202.0,0.002,4m,4.0,3.0,1.6,338.0,880.0,0.003,1m,3.0,3.5,1.7000000000000002,708.0,534.0,0.007,4m,3.0,4.0,1.5,304.0,854.0,0.01,2m,3.0,1.0,2.0,44.0,,,,,,,,0.15000000000000002,8,COMPLETE
34,34,-2.733414367542235,2025-06-14 19:29:15.167110,2025-06-14 19:29:22.626755,0 days 00:00:07.459645,146.0,0.004,3m,1.5,3.0,1.4,158.0,448.0,0.007,4m,1.5,1.5,1.5,816.0,486,0.002,3m,3.5,3.5,1.4,370,882.0,0.006,1m,3.5,2.0,0.7,492.0,536.0,0.001,1m,1.0,4.0,1.1,984.0,96.0,0.003,4m,3.5,2.5,1.4,436.0,698.0,0.003,1m,3.5,4.0,1.8,860.0,440.0,0.008,4m,3.0,3.5,1.8,342.0,764.0,0.01,2m,3.0,1.0,2.0,204.0,,,,,,,,0.05,9,COMPLETE
35,35,-0.9601188285540403,2025-06-14 19:29:22.688693,2025-06-14 19:29:29.914638,0 days 00:00:07.225945,336.0,0.006,3m,1.0,4.0,1.7000000000000002,400.0,162.0,0.009000000000000001,4m,2.5,1.0,1.8,566.0,534,0.001,3m,3.0,3.0,1.3,262,764.0,0.007,1m,4.0,1.5,0.6,616.0,1018.0,0.006,2m,2.5,2.5,2.0,18.0,244.0,0.001,4m,4.0,3.0,1.7000000000000002,198.0,792.0,0.001,1m,3.0,3.5,2.0,916.0,596.0,0.007,4m,3.5,4.0,1.5,162.0,424.0,0.008,2m,2.5,1.5,1.6,252.0,,,,,,,,0.1,9,COMPLETE
36,36,-3.015039516627274,2025-06-14 19:29:29.969948,2025-06-14 19:29:37.249308,0 days 00:00:07.279360,28.0,0.005,3m,1.5,3.5,1.5,146.0,228.0,0.007,4m,1.5,2.0,1.8,818.0,322,0.002,3m,3.5,3.5,1.5,132,622.0,0.008,1m,3.5,2.0,1.0,318.0,,,,,,,,184.0,0.002,4m,3.5,3.0,2.0,94.0,924.0,0.004,1m,3.5,4.0,1.7000000000000002,740.0,290.0,0.009000000000000001,4m,2.5,3.5,1.8,586.0,836.0,0.008,2m,3.5,1.5,1.6,646.0,,,,,,,,0.2,8,COMPLETE
37,37,-2.6823566757089274,2025-06-14 19:29:37.341673,2025-06-14 19:29:42.613832,0 days 00:00:05.272159,256.0,0.003,3m,2.0,3.0,1.3,296.0,,,,,,,,686,0.001,3m,4.0,4.0,2.0,492,902.0,0.005,1m,4.0,2.5,0.7,656.0,,,,,,,,96.0,0.004,4m,1.0,3.0,1.8,176.0,820.0,0.002,1m,3.0,3.5,1.5,664.0,462.0,0.006,4m,3.0,4.0,1.2000000000000002,420.0,,,,,,,,,,,,,,,0.1,6,COMPLETE
38,38,-1.7700803192464478,2025-06-14 19:29:42.697889,2025-06-14 19:29:48.997347,0 days 00:00:06.299458,150.0,0.007,3m,1.0,3.5,1.7000000000000002,472.0,514.0,0.005,4m,2.0,1.5,1.4,674.0,400,0.01,3m,2.5,3.0,1.2000000000000002,386,772.0,0.006,1m,4.0,1.5,1.1,476.0,,,,,,,,248.0,0.003,3m,3.0,4.0,1.5,352.0,924.0,0.003,1m,2.5,3.0,1.8,520.0,616.0,0.009000000000000001,4m,2.5,3.5,1.5,244.0,,,,,,,,,,,,,,,0.05,7,COMPLETE
39,39,-1.9958241469954752,2025-06-14 19:29:49.076239,2025-06-14 19:29:57.355453,0 days 00:00:08.279214,390.0,0.004,3m,1.5,4.0,2.0,206.0,326.0,0.007,4m,1.5,1.0,1.9000000000000001,898.0,508,0.003,3m,3.5,3.5,1.7000000000000002,300,608.0,0.007,1m,3.5,2.5,0.8,308.0,318.0,0.006,3m,3.0,2.0,1.2000000000000002,670.0,350.0,0.006,4m,3.5,2.5,1.9000000000000001,296.0,700.0,0.002,1m,3.0,4.0,1.3,788.0,782.0,0.007,4m,3.5,4.0,1.8,558.0,666.0,0.01,3m,2.0,1.0,1.8,224.0,,,,,,,,0.15000000000000002,9,COMPLETE
40,40,-0.5837604084032838,2025-06-14 19:29:57.444750,2025-06-14 19:30:06.121917,0 days 00:00:08.677167,498.0,0.007,3m,2.0,3.0,1.5,360.0,132.0,0.009000000000000001,4m,3.0,2.5,1.6,452.0,560,0.002,2m,1.0,1.5,1.5,520,926.0,0.004,1m,4.0,2.0,0.6,132.0,740.0,0.004,4m,2.0,3.5,1.6,692.0,104.0,0.003,4m,3.5,3.0,1.7000000000000002,90.0,1024.0,0.005,1m,2.5,3.5,1.9000000000000001,450.0,284.0,0.008,4m,3.0,3.0,1.6,408.0,996.0,0.004,4m,2.5,2.0,1.0,150.0,26.0,0.009000000000000001,3m,2.5,3.5,0.5,806.0,0.2,10,COMPLETE
41,41,1.149821239261517,2025-06-14 19:30:06.177214,2025-06-14 19:30:14.067641,0 days 00:00:07.890427,642.0,0.007,3m,2.0,3.0,1.5,364.0,116.0,0.009000000000000001,4m,3.0,2.5,1.6,430.0,556,0.002,2m,1.0,1.5,1.5,552,926.0,0.004,1m,4.0,2.0,0.6,142.0,648.0,0.004,4m,2.0,3.5,1.7000000000000002,640.0,98.0,0.003,4m,3.5,3.0,1.7000000000000002,96.0,1022.0,0.006,1m,2.5,3.5,1.9000000000000001,444.0,234.0,0.008,4m,3.0,3.0,1.6,412.0,1016.0,0.004,4m,2.5,2.0,0.9,122.0,44.0,0.01,3m,2.5,3.5,0.5,824.0,0.2,10,COMPLETE
42,42,-2.7134438742854843,2025-06-14 19:30:14.156826,2025-06-14 19:30:26.453743,0 days 00:00:12.296917,602.0,0.005,3m,1.5,3.5,1.4,260.0,16.0,0.009000000000000001,4m,2.5,3.0,1.4,628.0,604,0.001,2m,1.0,1.5,1.6,580,1000.0,0.005,1m,4.0,2.0,0.8,162.0,,,,,,,,176.0,0.002,4m,3.5,3.0,1.8,184.0,956.0,0.006,1m,2.5,3.5,1.9000000000000001,388.0,142.0,0.009000000000000001,4m,3.0,3.5,1.4,294.0,890.0,0.005,4m,2.5,1.5,0.9,314.0,,,,,,,,0.15000000000000002,8,COMPLETE
43,43,-2.3047112501652958,2025-06-14 19:30:26.584911,2025-06-14 19:30:41.379652,0 days 00:00:14.794741,638.0,0.006,3m,2.0,2.5,1.6,522.0,232.0,0.008,4m,3.0,1.5,1.8,426.0,306,0.004,2m,1.5,3.0,1.3,366,832.0,0.006,1m,3.5,1.5,0.6,190.0,,,,,,,,80.0,0.004,4m,4.0,2.5,1.6,494.0,896.0,0.004,1m,2.5,3.0,1.7000000000000002,572.0,374.0,0.008,4m,2.5,3.0,1.7000000000000002,502.0,,,,,,,,,,,,,,,0.1,7,COMPLETE
44,44,-1.1451424576808484,2025-06-14 19:30:41.495036,2025-06-14 19:30:53.036415,0 days 00:00:11.541379,684.0,0.007,3m,1.0,3.0,1.2000000000000002,96.0,184.0,0.007,4m,2.0,2.0,1.6,750.0,684,0.001,3m,1.5,2.0,1.6,554,738.0,0.005,1m,4.0,2.0,0.9,98.0,394.0,0.008,4m,1.5,3.0,1.6,728.0,160.0,0.001,3m,2.5,3.5,1.5,92.0,820.0,0.006,1m,2.0,3.5,2.0,930.0,190.0,0.006,4m,3.5,4.0,1.9000000000000001,400.0,438.0,0.003,1m,3.5,3.0,1.4,112.0,26.0,0.01,3m,2.5,2.5,1.5,588.0,0.2,10,COMPLETE
45,45,-1.5924532422620403,2025-06-14 19:30:53.159269,2025-06-14 19:31:10.510021,0 days 00:00:17.350752,314.0,0.005,1m,2.5,3.5,1.8,350.0,412.0,0.009000000000000001,3m,3.5,1.0,1.2000000000000002,584.0,750,0.002,2m,3.0,4.0,1.8,732,948.0,0.008,4m,3.0,1.5,0.5,306.0,,,,,,,,992.0,0.005,4m,3.5,3.0,1.8,238.0,976.0,0.002,1m,2.5,4.0,1.5,810.0,28.0,0.007,3m,3.0,3.5,1.6,148.0,682.0,0.007,4m,1.5,2.0,1.8,132.0,,,,,,,,0.15000000000000002,8,COMPLETE
46,46,0.39957316947190186,2025-06-14 19:31:10.608084,2025-06-14 19:31:17.738282,0 days 00:00:07.130198,90.0,0.002,4m,1.0,4.0,1.6,202.0,274.0,0.01,2m,1.5,3.0,1.0,482.0,434,0.003,3m,4.0,3.0,1.4,492,886.0,0.004,1m,3.5,2.5,0.7,516.0,786.0,0.003,4m,3.0,3.5,0.9,230.0,922.0,0.003,4m,3.5,3.0,1.9000000000000001,168.0,548.0,0.006,2m,3.5,3.0,1.6,598.0,482.0,0.009000000000000001,1m,2.5,4.0,1.4,254.0,926.0,0.009000000000000001,2m,3.0,1.0,0.8,632.0,,,,,,,,0.05,9,COMPLETE
47,47,-0.07969587707015847,2025-06-14 19:31:17.795814,2025-06-14 19:31:25.008652,0 days 00:00:07.212838,204.0,0.002,4m,1.0,4.0,1.6,114.0,114.0,0.01,2m,2.5,3.0,1.0,286.0,512,0.004,3m,4.0,3.0,1.4,490,882.0,0.003,1m,3.5,2.5,0.7,554.0,806.0,0.003,4m,3.0,3.5,0.9,262.0,740.0,0.002,4m,4.0,2.5,2.0,304.0,578.0,0.006,2m,3.5,3.0,1.6,616.0,492.0,0.01,1m,2.0,2.5,1.3,240.0,940.0,0.009000000000000001,2m,3.0,1.5,0.8,764.0,,,,,,,,0.05,9,COMPLETE
48,48,-8.446616760015193,2025-06-14 19:31:25.067103,2025-06-14 19:31:32.803485,0 days 00:00:07.736382,102.0,0.002,4m,1.0,4.0,1.6,96.0,88.0,0.01,2m,3.0,3.0,1.0,266.0,422,0.004,3m,4.0,3.0,1.5,658,980.0,0.003,1m,3.5,2.5,0.9,558.0,768.0,0.003,4m,3.0,3.5,0.9,216.0,936.0,0.001,4m,4.0,2.0,2.0,318.0,598.0,0.006,2m,3.5,3.0,1.6,610.0,638.0,0.01,1m,2.0,2.5,1.2000000000000002,50.0,940.0,0.009000000000000001,2m,3.5,1.5,0.7,724.0,,,,,,,,0.05,9,COMPLETE
49,49,-4.812830750054472,2025-06-14 19:31:32.867701,2025-06-14 19:31:41.002028,0 days 00:00:08.134327,494.0,0.002,4m,1.0,4.0,1.8,100.0,106.0,0.01,2m,2.5,3.5,0.9,482.0,540,0.003,3m,4.0,3.0,1.3,558,910.0,0.003,1m,3.0,3.0,0.6,684.0,848.0,0.003,4m,3.0,3.5,0.8,272.0,758.0,0.002,4m,4.0,2.5,1.9000000000000001,402.0,554.0,0.007,2m,4.0,2.5,1.4,490.0,470.0,0.01,1m,2.0,2.0,1.4,232.0,950.0,0.009000000000000001,2m,3.0,2.0,0.8,800.0,438.0,0.004,2m,3.5,3.0,0.5,566.0,0.05,10,COMPLETE
50,50,-4.353580192558649,2025-06-14 19:31:41.064899,2025-06-14 19:31:49.221968,0 days 00:00:08.157069,106.0,0.002,4m,1.0,4.0,1.4,182.0,276.0,0.01,2m,3.5,3.5,0.5,230.0,372,0.004,3m,4.0,1.0,1.2000000000000002,508,1018.0,0.004,4m,3.5,2.5,0.8,536.0,546.0,0.003,4m,3.5,3.0,0.9,196.0,902.0,0.002,4m,3.5,2.5,1.9000000000000001,264.0,472.0,0.006,2m,3.5,3.0,1.8,698.0,560.0,0.009000000000000001,1m,2.5,2.5,1.1,336.0,768.0,0.004,2m,3.5,2.5,0.5,650.0,764.0,0.006,3m,1.5,2.0,1.1,250.0,0.05,10,COMPLETE
51,51,-2.887207616176221,2025-06-14 19:31:49.289248,2025-06-14 19:31:57.240921,0 days 00:00:07.951673,212.0,0.003,4m,1.5,4.0,1.6,420.0,178.0,0.009000000000000001,2m,2.0,3.0,1.0,372.0,480,0.003,3m,4.0,3.0,1.4,484,868.0,0.003,1m,4.0,2.5,0.7,486.0,840.0,0.002,4m,2.0,3.0,1.4,506.0,784.0,0.003,4m,3.5,3.0,1.7000000000000002,182.0,552.0,0.005,2m,3.5,3.5,1.7000000000000002,592.0,494.0,0.009000000000000001,1m,2.0,3.0,1.3,266.0,808.0,0.01,2m,3.0,1.0,0.9,628.0,,,,,,,,0.1,9,COMPLETE
52,52,-0.09735111242088951,2025-06-14 19:31:57.290382,2025-06-14 19:32:05.489102,0 days 00:00:08.198720,204.0,0.002,4m,1.0,3.5,1.7000000000000002,264.0,242.0,0.009000000000000001,2m,2.5,2.5,1.1,384.0,450,0.003,3m,4.0,3.5,1.4,466,818.0,0.004,1m,4.0,2.0,0.5,428.0,668.0,0.004,4m,2.0,4.0,1.1,582.0,662.0,0.003,4m,3.5,3.0,1.9000000000000001,208.0,754.0,0.007,2m,4.0,3.0,1.6,670.0,510.0,0.01,1m,1.5,4.0,1.4,374.0,924.0,0.009000000000000001,2m,3.0,1.5,0.7,840.0,,,,,,,,0.1,9,COMPLETE
53,53,-2.5477318353268643,2025-06-14 19:32:05.556953,2025-06-14 19:32:13.499791,0 days 00:00:07.942838,390.0,0.002,4m,1.0,2.5,1.7000000000000002,262.0,110.0,0.009000000000000001,2m,2.5,2.5,0.8,508.0,444,0.004,3m,4.0,3.5,1.6,394,802.0,0.004,1m,3.5,2.5,0.5,612.0,648.0,0.004,4m,2.0,4.0,1.1,570.0,668.0,0.002,4m,3.0,2.0,1.9000000000000001,138.0,668.0,0.007,2m,4.0,3.0,1.6,412.0,384.0,0.01,1m,1.5,3.5,1.3,392.0,928.0,0.009000000000000001,2m,2.5,1.5,0.7,908.0,,,,,,,,0.1,9,COMPLETE
54,54,-2.705862255270054,2025-06-14 19:32:13.593861,2025-06-14 19:32:22.356271,0 days 00:00:08.762410,94.0,0.003,4m,1.0,4.0,1.5,298.0,268.0,0.01,2m,3.0,2.5,1.1,374.0,588,0.003,3m,4.0,3.5,1.5,436,952.0,0.002,1m,4.0,2.5,0.6,418.0,864.0,0.004,4m,2.5,3.5,0.8,786.0,498.0,0.003,4m,4.0,2.5,2.0,216.0,410.0,0.006,2m,4.0,3.0,1.4,638.0,314.0,0.01,1m,1.5,3.0,1.4,466.0,1024.0,0.008,2m,3.0,1.5,0.6,760.0,262.0,0.003,1m,2.0,1.0,1.5,1016.0,0.05,10,COMPLETE
55,55,-1.9215236500917114,2025-06-14 19:32:22.424216,2025-06-14 19:32:26.928028,0 days 00:00:04.503812,736.0,0.001,4m,1.0,3.5,1.9000000000000001,112.0,,,,,,,,360,0.003,2m,3.5,3.5,1.3,348,22.0,0.004,3m,3.0,1.5,0.5,518.0,,,,,,,,838.0,0.001,4m,3.0,3.0,1.8,1020.0,762.0,0.007,2m,4.0,2.5,1.9000000000000001,502.0,,,,,,,,,,,,,,,,,,,,,,0.1,5,COMPLETE
56,56,-6.07644701950329,2025-06-14 19:32:26.992962,2025-06-14 19:32:34.996321,0 days 00:00:08.003359,274.0,0.002,4m,1.5,3.0,1.1,178.0,52.0,0.009000000000000001,2m,2.5,3.0,1.3,300.0,520,0.004,3m,4.0,2.5,1.4,548,160.0,0.003,1m,4.0,3.5,0.6,348.0,626.0,0.005,4m,3.5,4.0,1.0,540.0,680.0,0.009000000000000001,3m,3.5,1.0,2.0,470.0,598.0,0.008,2m,3.5,3.0,1.5,682.0,424.0,0.009000000000000001,2m,1.0,3.5,1.4,114.0,906.0,0.009000000000000001,4m,2.5,2.0,0.9,884.0,,,,,,,,0.05,9,COMPLETE
57,57,-3.7409735942710673,2025-06-14 19:32:35.091163,2025-06-14 19:32:44.018413,0 days 00:00:08.927250,150.0,0.003,4m,1.0,4.0,1.7000000000000002,964.0,454.0,0.01,2m,2.0,2.5,0.9,182.0,292,0.002,3m,3.5,3.0,1.1,404,912.0,0.005,1m,3.5,2.0,0.8,220.0,782.0,0.002,4m,1.5,3.5,1.8,320.0,734.0,0.004,4m,4.0,1.5,1.9000000000000001,262.0,490.0,0.005,2m,4.0,2.5,1.6,818.0,576.0,0.01,1m,1.5,4.0,1.6,350.0,956.0,0.007,2m,3.5,1.5,0.8,574.0,248.0,0.008,4m,3.5,4.0,0.8,20.0,0.1,10,COMPLETE
58,58,-4.2811696823651815,2025-06-14 19:32:44.086538,2025-06-14 19:32:50.133642,0 days 00:00:06.047104,226.0,0.001,4m,2.0,3.5,1.3,330.0,650.0,0.009000000000000001,1m,1.0,3.0,1.1,434.0,644,0.003,3m,4.0,2.5,1.3,464,672.0,0.004,1m,4.0,3.0,0.5,580.0,,,,,,,,626.0,0.003,4m,3.5,3.5,1.8,598.0,718.0,0.007,2m,3.5,3.0,1.2000000000000002,564.0,638.0,0.008,1m,2.0,2.5,1.1,208.0,,,,,,,,,,,,,,,0.05,7,COMPLETE
59,59,-1.517604905728102,2025-06-14 19:32:50.192603,2025-06-14 19:32:57.842552,0 days 00:00:07.649949,544.0,0.008,4m,1.5,2.5,1.8,238.0,334.0,0.006,2m,2.5,3.5,0.7,558.0,458,0.004,2m,3.5,3.5,1.6,628,746.0,0.001,2m,3.0,2.5,0.7,654.0,444.0,0.004,4m,2.0,3.0,1.3,822.0,540.0,0.004,4m,3.0,3.0,1.7000000000000002,66.0,982.0,0.006,2m,4.0,3.5,1.8,934.0,500.0,0.009000000000000001,1m,1.5,4.0,1.3,448.0,738.0,0.009000000000000001,3m,2.5,2.0,1.0,706.0,,,,,,,,0.1,9,COMPLETE
60,60,-5.330348390900527,2025-06-14 19:32:57.915678,2025-06-14 19:33:05.069516,0 days 00:00:07.153838,886.0,0.002,4m,1.0,3.0,1.5,60.0,146.0,0.01,2m,1.5,2.5,1.0,146.0,410,0.006,3m,4.0,3.0,1.2000000000000002,322,812.0,0.002,3m,1.0,2.0,0.6,792.0,,,,,,,,882.0,0.002,4m,4.0,3.5,1.9000000000000001,152.0,656.0,0.008,2m,3.0,3.0,2.0,304.0,346.0,0.01,3m,1.0,2.0,1.5,534.0,602.0,0.003,4m,3.0,1.5,0.6,868.0,,,,,,,,0.2,8,COMPLETE
61,61,-3.389135742631391,2025-06-14 19:33:05.142624,2025-06-14 19:33:11.838938,0 days 00:00:06.696314,204.0,0.004,2m,1.5,3.5,1.6,480.0,212.0,0.008,3m,2.0,2.0,1.3,386.0,500,0.002,3m,3.5,3.0,1.4,462,864.0,0.007,1m,4.0,2.0,0.7,436.0,,,,,,,,794.0,0.003,4m,3.5,3.0,1.6,104.0,844.0,0.003,3m,3.0,3.5,1.7000000000000002,730.0,512.0,0.005,2m,3.0,4.0,1.5,306.0,866.0,0.001,2m,3.0,1.0,1.9000000000000001,80.0,,,,,,,,0.15000000000000002,8,COMPLETE
62,62,-3.0975236513333657,2025-06-14 19:33:11.921573,2025-06-14 19:33:19.383246,0 days 00:00:07.461673,310.0,0.004,3m,1.5,3.5,1.6,382.0,260.0,0.008,2m,2.5,3.0,1.5,890.0,552,0.002,3m,3.0,2.5,1.5,520,882.0,0.003,1m,4.0,1.5,0.8,482.0,932.0,0.002,4m,2.5,4.0,0.7,176.0,940.0,0.003,4m,3.5,3.0,1.4,158.0,770.0,0.004,2m,3.0,4.0,1.7000000000000002,764.0,430.0,0.008,1m,2.5,4.0,1.4,362.0,824.0,0.01,2m,3.0,1.0,0.8,802.0,,,,,,,,0.15000000000000002,9,COMPLETE
63,63,-1.4846929696296591,2025-06-14 19:33:19.424247,2025-06-14 19:33:26.030485,0 days 00:00:06.606238,62.0,0.003,3m,1.0,4.0,1.7000000000000002,286.0,66.0,0.009000000000000001,4m,2.0,2.5,1.2000000000000002,1022.0,1016,0.003,3m,3.5,3.0,1.4,484,944.0,0.009000000000000001,1m,4.0,2.0,0.7,264.0,,,,,,,,718.0,0.002,4m,3.5,3.0,2.0,198.0,916.0,0.005,1m,3.5,3.0,1.6,616.0,674.0,0.001,1m,2.5,4.0,1.6,268.0,958.0,0.01,2m,3.0,1.0,0.5,314.0,,,,,,,,0.1,8,COMPLETE
64,64,0.7603970087396147,2025-06-14 19:33:26.096484,2025-06-14 19:33:32.083800,0 days 00:00:05.987316,170.0,0.009000000000000001,3m,2.0,3.5,1.4,214.0,392.0,0.001,1m,1.0,4.0,1.7000000000000002,34.0,460,0.003,3m,4.0,3.0,1.3,558,806.0,0.007,1m,3.5,2.5,0.9,362.0,,,,,,,,54.0,0.003,4m,3.5,2.5,1.7000000000000002,314.0,852.0,0.006,4m,3.0,3.5,1.9000000000000001,548.0,548.0,0.009000000000000001,4m,3.5,3.5,1.7000000000000002,122.0,,,,,,,,,,,,,,,0.15000000000000002,7,COMPLETE
65,65,0.19455990632482206,2025-06-14 19:33:32.146717,2025-06-14 19:33:37.378680,0 days 00:00:05.231963,164.0,0.01,2m,2.5,2.0,1.2000000000000002,134.0,,,,,,,,452,0.003,3m,4.0,2.5,1.2000000000000002,582,786.0,0.005,1m,3.5,2.5,1.0,362.0,,,,,,,,44.0,0.004,4m,3.0,2.5,1.7000000000000002,314.0,748.0,0.006,4m,3.5,3.5,1.9000000000000001,536.0,576.0,0.009000000000000001,4m,4.0,3.0,1.7000000000000002,104.0,,,,,,,,,,,,,,,0.05,6,COMPLETE
66,66,-6.1309033298085716,2025-06-14 19:33:37.446908,2025-06-14 19:33:42.555463,0 days 00:00:05.108555,72.0,0.01,2m,2.5,2.0,1.2000000000000002,16.0,,,,,,,,262,0.005,3m,4.0,2.5,1.2000000000000002,694,680.0,0.005,4m,3.5,3.0,1.0,360.0,,,,,,,,1016.0,0.004,4m,3.0,2.5,1.8,542.0,368.0,0.006,4m,3.5,4.0,1.9000000000000001,542.0,746.0,0.009000000000000001,4m,4.0,3.0,1.7000000000000002,106.0,,,,,,,,,,,,,,,0.05,6,COMPLETE
67,67,2.2936045269346854,2025-06-14 19:33:42.619443,2025-06-14 19:33:48.702218,0 days 00:00:06.082775,140.0,0.009000000000000001,2m,2.5,1.5,1.1,138.0,402.0,0.001,1m,1.0,4.0,1.9000000000000001,18.0,354,0.004,2m,4.0,2.0,1.1,648,784.0,0.006,2m,3.0,3.0,1.2000000000000002,268.0,,,,,,,,42.0,0.006,3m,3.0,2.0,1.2000000000000002,392.0,522.0,0.005,4m,3.0,3.5,2.0,486.0,570.0,0.002,4m,3.5,3.0,1.9000000000000001,82.0,,,,,,,,,,,,,,,0.3,7,COMPLETE
68,68,0.9908787945035391,2025-06-14 19:33:48.769525,2025-06-14 19:33:55.304071,0 days 00:00:06.534546,56.0,0.009000000000000001,2m,2.5,1.5,0.9,144.0,558.0,0.001,1m,1.0,4.0,2.0,28.0,342,0.003,2m,4.0,2.0,1.1,632,784.0,0.006,2m,2.5,3.0,1.2000000000000002,272.0,,,,,,,,48.0,0.006,3m,2.5,1.5,1.2000000000000002,374.0,526.0,0.004,4m,3.0,3.5,2.0,430.0,584.0,0.002,4m,3.5,3.0,2.0,74.0,,,,,,,,,,,,,,,0.25,7,COMPLETE
69,69,-0.5455422618669801,2025-06-14 19:33:55.393241,2025-06-14 19:34:10.932292,0 days 00:00:15.539051,56.0,0.009000000000000001,2m,2.5,1.0,0.7,196.0,586.0,0.001,1m,1.0,4.0,2.0,18.0,348,0.002,2m,3.5,2.0,1.0,642,726.0,0.006,2m,2.5,3.5,1.2000000000000002,266.0,,,,,,,,16.0,0.006,3m,2.5,1.5,1.3,388.0,518.0,0.004,4m,3.0,3.5,2.0,426.0,672.0,0.002,4m,3.5,3.5,1.9000000000000001,34.0,,,,,,,,,,,,,,,0.3,7,COMPLETE
