,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_ADSK_ILMN_beta_win,params_ADSK_ILMN_stop_loss,params_ADSK_ILMN_trade_freq,params_ADSK_ILMN_z_entry,params_ADSK_ILMN_z_exit,params_ADSK_ILMN_z_stop_scaler,params_ADSK_ILMN_z_win,params_AMGN_ILMN_beta_win,params_AMGN_ILMN_stop_loss,params_AMGN_ILMN_trade_freq,params_AMGN_ILMN_z_entry,params_AMGN_ILMN_z_exit,params_AMGN_ILMN_z_stop_scaler,params_AMGN_ILMN_z_win,params_ATVI_INTU_beta_win,params_ATVI_INTU_stop_loss,params_ATVI_INTU_trade_freq,params_ATVI_INTU_z_entry,params_ATVI_INTU_z_exit,params_ATVI_INTU_z_stop_scaler,params_ATVI_INTU_z_win,params_CHTR_DLTR_beta_win,params_CHTR_DLTR_stop_loss,params_CHTR_DLTR_trade_freq,params_CHTR_DLTR_z_entry,params_CHTR_DLTR_z_exit,params_CHTR_DLTR_z_stop_scaler,params_CHTR_DLTR_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_DLTR_ILMN_beta_win,params_DLTR_ILMN_stop_loss,params_DLTR_ILMN_trade_freq,params_DLTR_ILMN_z_entry,params_DLTR_ILMN_z_exit,params_DLTR_ILMN_z_stop_scaler,params_DLTR_ILMN_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,3.171383021389363,2025-06-14 19:32:13.351008,2025-06-14 19:32:14.228390,0 days 00:00:00.877382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988,0.004,3m,2.5,3.0,1.6,1010,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,1.067129322425363,2025-06-14 19:32:14.283941,2025-06-14 19:32:15.192077,0 days 00:00:00.908136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,0.004,3m,2.5,3.0,1.6,978,,,,,,,,0.35000000000000003,1,COMPLETE
12,12,2.720743404820799,2025-06-14 19:32:15.247247,2025-06-14 19:32:16.243085,0 days 00:00:00.995838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,0.005,3m,2.0,2.5,1.6,936,,,,,,,,0.35000000000000003,1,COMPLETE
13,13,2.337110325451054,2025-06-14 19:32:16.291627,2025-06-14 19:32:17.266358,0 days 00:00:00.974731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,0.006,3m,2.0,3.0,1.6,992,,,,,,,,0.35000000000000003,1,COMPLETE
14,14,2.7893247519790045,2025-06-14 19:32:17.327291,2025-06-14 19:32:18.300340,0 days 00:00:00.973049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,0.002,3m,3.0,2.5,1.6,884,,,,,,,,0.35000000000000003,1,COMPLETE
15,15,3.7974195320894335,2025-06-14 19:32:18.354955,2025-06-14 19:32:20.309488,0 days 00:00:01.954533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.0,0.001,1m,4.0,1.0,0.5,56.0,802,0.001,3m,3.0,4.0,1.7000000000000002,840,,,,,,,,0.25,2,COMPLETE
16,16,1.4251786170681335,2025-06-14 19:32:20.373007,2025-06-14 19:32:22.198292,0 days 00:00:01.825285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.0,0.001,1m,4.0,1.0,0.5,22.0,622,0.002,3m,3.0,4.0,2.0,804,,,,,,,,0.25,2,COMPLETE
17,17,-6.1507148335016835,2025-06-14 19:32:22.256427,2025-06-14 19:32:27.180822,0 days 00:00:04.924395,538.0,0.001,3m,1.0,4.0,1.0,602.0,22.0,0.01,1m,4.0,1.5,0.6,46.0,,,,,,,,,,,,,,,1014.0,0.001,1m,4.0,2.0,0.5,838.0,,,,,,,,,,,,,,,402.0,0.003,1m,4.0,1.0,1.1,272.0,872,0.001,1m,3.5,3.5,1.8,582,334.0,0.004,4m,1.5,4.0,2.0,38.0,0.25,6,COMPLETE
18,18,-1.0805821609750912,2025-06-14 19:32:27.234488,2025-06-14 19:32:28.983260,0 days 00:00:01.748772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.0,0.005,1m,2.0,1.5,1.1,242.0,642,0.003,2m,3.5,3.5,1.4,792,,,,,,,,0.4,2,COMPLETE
19,19,-2.3042565842898863,2025-06-14 19:32:29.037000,2025-06-14 19:32:32.611505,0 days 00:00:03.574505,688.0,0.001,3m,1.0,2.5,1.3,1012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,0.002,1m,3.0,2.0,0.5,400.0,864,0.006,3m,2.5,4.0,1.1,1020,532.0,0.004,4m,3.5,1.0,1.7000000000000002,18.0,0.3,4,COMPLETE
