,number,value,datetime_start,datetime_complete,duration,params_ADBE_BIIB_beta_win,params_ADBE_BIIB_stop_loss,params_ADBE_BIIB_trade_freq,params_ADBE_BIIB_z_entry,params_ADBE_BIIB_z_exit,params_ADBE_BIIB_z_stop_scaler,params_ADBE_BIIB_z_win,params_AEP_JD_beta_win,params_AEP_JD_stop_loss,params_AEP_JD_trade_freq,params_AEP_JD_z_entry,params_AEP_JD_z_exit,params_AEP_JD_z_stop_scaler,params_AEP_JD_z_win,params_AMZN_SIRI_beta_win,params_AMZN_SIRI_stop_loss,params_AMZN_SIRI_trade_freq,params_AMZN_SIRI_z_entry,params_AMZN_SIRI_z_exit,params_AMZN_SIRI_z_stop_scaler,params_AMZN_SIRI_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_CMCSA_FISV_beta_win,params_CMCSA_FISV_stop_loss,params_CMCSA_FISV_trade_freq,params_CMCSA_FISV_z_entry,params_CMCSA_FISV_z_exit,params_CMCSA_FISV_z_stop_scaler,params_CMCSA_FISV_z_win,params_COST_ORLY_beta_win,params_COST_ORLY_stop_loss,params_COST_ORLY_trade_freq,params_COST_ORLY_z_entry,params_COST_ORLY_z_exit,params_COST_ORLY_z_stop_scaler,params_COST_ORLY_z_win,params_GOOG_SIRI_beta_win,params_GOOG_SIRI_stop_loss,params_GOOG_SIRI_trade_freq,params_GOOG_SIRI_z_entry,params_GOOG_SIRI_z_exit,params_GOOG_SIRI_z_stop_scaler,params_GOOG_SIRI_z_win,params_IDXX_SIRI_beta_win,params_IDXX_SIRI_stop_loss,params_IDXX_SIRI_trade_freq,params_IDXX_SIRI_z_entry,params_IDXX_SIRI_z_exit,params_IDXX_SIRI_z_stop_scaler,params_IDXX_SIRI_z_win,params_NTES_SIRI_beta_win,params_NTES_SIRI_stop_loss,params_NTES_SIRI_trade_freq,params_NTES_SIRI_z_entry,params_NTES_SIRI_z_exit,params_NTES_SIRI_z_stop_scaler,params_NTES_SIRI_z_win,params_NVDA_SIRI_beta_win,params_NVDA_SIRI_stop_loss,params_NVDA_SIRI_trade_freq,params_NVDA_SIRI_z_entry,params_NVDA_SIRI_z_exit,params_NVDA_SIRI_z_stop_scaler,params_NVDA_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-9.011901414074174,2025-06-14 19:10:32.178666,2025-06-14 19:10:37.530141,0 days 00:00:05.351475,372.0,0.001,2m,2.0,1.0,1.1,1012.0,98.0,0.001,2m,1.0,2.5,0.5,202.0,694.0,0.01,4m,1.5,1.0,0.9,808.0,660,0.006,3m,3.0,3.0,1.6,52,50.0,0.01,3m,4.0,4.0,0.9,1006.0,424.0,0.007,3m,3.0,3.0,1.3,936.0,,,,,,,,,,,,,,,18.0,0.001,2m,3.5,4.0,1.6,60.0,,,,,,,,0.3,7,COMPLETE
11,11,-1.034055527544892,2025-06-14 19:10:37.620622,2025-06-14 19:10:42.397940,0 days 00:00:04.777318,456.0,0.002,4m,4.0,4.0,2.0,862.0,380.0,0.01,2m,2.0,2.5,0.9,566.0,452.0,0.009000000000000001,3m,2.0,2.5,0.5,1022.0,654,0.01,1m,2.5,3.5,1.3,244,,,,,,,,750.0,0.001,4m,2.5,2.5,1.3,530.0,,,,,,,,,,,,,,,280.0,0.004,2m,1.0,2.5,1.5,1000.0,,,,,,,,0.05,6,COMPLETE
12,12,-4.485919554079491,2025-06-14 19:10:42.499237,2025-06-14 19:10:43.504894,0 days 00:00:01.005657,,,,,,,,,,,,,,,,,,,,,,604,0.006,1m,1.0,3.5,1.1,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
13,13,-5.702629357419727,2025-06-14 19:10:43.592761,2025-06-14 19:10:48.547125,0 days 00:00:04.954364,630.0,0.005,1m,3.0,1.5,1.8,402.0,92.0,0.005,1m,4.0,1.5,1.3,16.0,414.0,0.008,3m,2.0,2.0,0.7,640.0,30,0.007,1m,2.0,3.0,1.5,150,,,,,,,,36.0,0.008,1m,3.0,1.0,1.6,788.0,,,,,,,,,,,,,,,314.0,0.003,2m,1.5,4.0,1.4,786.0,,,,,,,,0.15000000000000002,6,COMPLETE
14,14,-4.277901671792781,2025-06-14 19:10:48.626389,2025-06-14 19:10:54.997545,0 days 00:00:06.371156,20.0,0.001,2m,4.0,4.0,1.4,800.0,664.0,0.005,2m,2.0,3.0,2.0,530.0,666.0,0.005,4m,2.5,3.5,1.2000000000000002,24.0,826,0.01,3m,3.0,4.0,1.1,152,994.0,0.001,1m,3.0,3.5,1.3,830.0,300.0,0.01,4m,1.0,2.5,1.0,364.0,,,,,,,,,,,,,,,268.0,0.005,2m,3.5,2.5,1.8,254.0,1002.0,0.01,2m,4.0,4.0,2.0,16.0,0.05,8,COMPLETE
15,15,2.1638902873857324,2025-06-14 19:10:55.075438,2025-06-14 19:11:01.548188,0 days 00:00:06.472750,342.0,0.008,4m,3.0,3.5,2.0,612.0,,,,,,,,320.0,0.001,1m,4.0,1.5,0.9,566.0,486,0.001,1m,2.0,3.5,1.6,994,,,,,,,,728.0,0.003,3m,2.5,3.0,1.6,670.0,,,,,,,,,,,,,,,432.0,0.005,4m,1.0,3.5,1.3,654.0,,,,,,,,0.25,5,COMPLETE
16,16,-5.599285385550213,2025-06-14 19:11:01.698478,2025-06-14 19:11:18.499860,0 days 00:00:16.801382,316.0,0.008,4m,2.0,3.5,1.1,690.0,582.0,0.002,1m,1.5,2.0,1.0,1000.0,284.0,0.001,1m,4.0,1.5,1.4,522.0,192,0.001,3m,3.0,3.0,1.6,984,290.0,0.009000000000000001,3m,3.0,2.5,0.5,210.0,710.0,0.003,3m,3.5,4.0,1.6,720.0,,,,,,,,,,,,,,,480.0,0.004,4m,3.5,1.0,1.2000000000000002,634.0,,,,,,,,0.35000000000000003,7,COMPLETE
17,17,-0.8643843801791083,2025-06-14 19:11:18.659964,2025-06-14 19:11:20.215318,0 days 00:00:01.555354,,,,,,,,,,,,,,,,,,,,,,452,0.003,2m,2.0,2.5,1.7000000000000002,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
18,18,2.7850428088665153,2025-06-14 19:11:20.337659,2025-06-14 19:11:27.162156,0 days 00:00:06.824497,176.0,0.005,2m,3.0,2.0,2.0,896.0,242.0,0.007,3m,3.0,4.0,1.5,720.0,644.0,0.001,1m,4.0,1.5,1.0,392.0,776,0.003,1m,3.5,3.5,2.0,578,392.0,0.003,3m,2.5,3.0,1.3,344.0,472.0,0.001,3m,2.0,3.0,2.0,686.0,,,,,,,,,,,,,,,172.0,0.001,4m,1.5,3.0,1.7000000000000002,358.0,,,,,,,,0.25,7,COMPLETE
19,19,-2.5801014484601734,2025-06-14 19:11:27.229456,2025-06-14 19:11:33.436912,0 days 00:00:06.207456,374.0,0.005,1m,3.0,2.0,2.0,412.0,,,,,,,,,,,,,,,810,0.002,1m,3.5,4.0,2.0,836,,,,,,,,528.0,0.001,3m,2.0,3.0,2.0,664.0,,,,,,,,,,,,,,,458.0,0.001,4m,1.5,4.0,1.8,154.0,,,,,,,,0.25,4,COMPLETE
