,number,value,datetime_start,datetime_complete,duration,params_ADI_ILMN_beta_win,params_ADI_ILMN_stop_loss,params_ADI_ILMN_trade_freq,params_ADI_ILMN_z_entry,params_ADI_ILMN_z_exit,params_ADI_ILMN_z_stop_scaler,params_ADI_ILMN_z_win,params_ADSK_ILMN_beta_win,params_ADSK_ILMN_stop_loss,params_ADSK_ILMN_trade_freq,params_ADSK_ILMN_z_entry,params_ADSK_ILMN_z_exit,params_ADSK_ILMN_z_stop_scaler,params_ADSK_ILMN_z_win,params_AMGN_ILMN_beta_win,params_AMGN_ILMN_stop_loss,params_AMGN_ILMN_trade_freq,params_AMGN_ILMN_z_entry,params_AMGN_ILMN_z_exit,params_AMGN_ILMN_z_stop_scaler,params_AMGN_ILMN_z_win,params_EA_ILMN_beta_win,params_EA_ILMN_stop_loss,params_EA_ILMN_trade_freq,params_EA_ILMN_z_entry,params_EA_ILMN_z_exit,params_EA_ILMN_z_stop_scaler,params_EA_ILMN_z_win,params_FANG_ILMN_beta_win,params_FANG_ILMN_stop_loss,params_FANG_ILMN_trade_freq,params_FANG_ILMN_z_entry,params_FANG_ILMN_z_exit,params_FANG_ILMN_z_stop_scaler,params_FANG_ILMN_z_win,params_GFS_ILMN_beta_win,params_GFS_ILMN_stop_loss,params_GFS_ILMN_trade_freq,params_GFS_ILMN_z_entry,params_GFS_ILMN_z_exit,params_GFS_ILMN_z_stop_scaler,params_GFS_ILMN_z_win,params_HON_ILMN_beta_win,params_HON_ILMN_stop_loss,params_HON_ILMN_trade_freq,params_HON_ILMN_z_entry,params_HON_ILMN_z_exit,params_HON_ILMN_z_stop_scaler,params_HON_ILMN_z_win,params_IDXX_ODFL_beta_win,params_IDXX_ODFL_stop_loss,params_IDXX_ODFL_trade_freq,params_IDXX_ODFL_z_entry,params_IDXX_ODFL_z_exit,params_IDXX_ODFL_z_stop_scaler,params_IDXX_ODFL_z_win,params_NFLX_PCAR_beta_win,params_NFLX_PCAR_stop_loss,params_NFLX_PCAR_trade_freq,params_NFLX_PCAR_z_entry,params_NFLX_PCAR_z_exit,params_NFLX_PCAR_z_stop_scaler,params_NFLX_PCAR_z_win,params_NFLX_SBUX_beta_win,params_NFLX_SBUX_stop_loss,params_NFLX_SBUX_trade_freq,params_NFLX_SBUX_z_entry,params_NFLX_SBUX_z_exit,params_NFLX_SBUX_z_stop_scaler,params_NFLX_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
137,137,2.7574936952266493,2025-06-14 19:40:48.256311,2025-06-14 19:40:53.552160,0 days 00:00:05.295849,,,,,,,,296.0,0.008,2m,1.0,2.0,1.9000000000000001,1008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768.0,0.003,3m,4.0,1.5,0.5,416.0,156.0,0.009000000000000001,3m,1.5,2.5,1.0,824.0,40.0,0.004,1m,3.5,4.0,0.8,228.0,958,0.007,4m,1.0,2.5,1.3,470,0.25,5,COMPLETE
138,138,1.5292145080746729,2025-06-14 19:40:53.635651,2025-06-14 19:40:57.699450,0 days 00:00:04.063799,,,,,,,,246.0,0.009000000000000001,2m,1.5,2.0,2.0,974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.0,0.008,3m,1.5,3.0,1.1,760.0,374.0,0.003,1m,3.5,4.0,0.9,264.0,874,0.005,4m,1.0,2.5,1.4,570,0.3,4,COMPLETE
139,139,4.725914824287692,2025-06-14 19:40:57.765506,2025-06-14 19:41:04.631197,0 days 00:00:06.865691,,,,,,,,274.0,0.009000000000000001,2m,2.0,2.5,1.9000000000000001,880.0,,,,,,,,18.0,0.006,1m,3.0,1.0,2.0,322.0,,,,,,,,,,,,,,,666.0,0.002,3m,4.0,1.5,0.6,370.0,214.0,0.009000000000000001,2m,1.5,3.5,1.0,666.0,442.0,0.003,1m,3.0,3.5,0.9,186.0,1024,0.006,4m,1.0,2.5,1.3,464,0.25,6,COMPLETE
140,140,1.6152917142865222,2025-06-14 19:41:04.728771,2025-06-14 19:41:06.008509,0 days 00:00:01.279738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1022,0.006,4m,1.0,2.5,1.3,474,0.2,1,COMPLETE
141,141,3.6650199558308527,2025-06-14 19:41:06.086817,2025-06-14 19:41:12.244656,0 days 00:00:06.157839,,,,,,,,330.0,0.009000000000000001,2m,2.0,2.5,1.9000000000000001,884.0,,,,,,,,46.0,0.006,1m,3.0,1.0,2.0,306.0,,,,,,,,,,,,,,,596.0,0.002,3m,4.0,1.5,0.6,592.0,232.0,0.009000000000000001,2m,1.5,2.5,1.0,672.0,430.0,0.003,1m,3.0,3.5,0.9,198.0,978,0.006,4m,1.0,2.5,1.3,536,0.25,6,COMPLETE
142,142,4.0395791982761216,2025-06-14 19:41:12.351265,2025-06-14 19:41:18.749950,0 days 00:00:06.398685,,,,,,,,286.0,0.009000000000000001,2m,2.0,2.5,1.8,858.0,,,,,,,,304.0,0.005,1m,3.5,1.5,1.8,332.0,,,,,,,,,,,,,,,678.0,0.002,3m,4.0,1.5,0.5,472.0,220.0,0.009000000000000001,2m,1.0,4.0,1.1,648.0,402.0,0.004,1m,3.0,3.5,0.8,374.0,926,0.006,4m,1.0,2.5,1.2000000000000002,326,0.25,6,COMPLETE
143,143,2.3595347780140954,2025-06-14 19:41:18.824312,2025-06-14 19:41:23.965562,0 days 00:00:05.141250,,,,,,,,258.0,0.009000000000000001,2m,2.0,2.5,1.9000000000000001,912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.0,0.003,3m,4.0,1.5,0.6,372.0,170.0,0.009000000000000001,2m,1.5,3.5,0.9,732.0,466.0,0.004,1m,3.0,4.0,0.9,162.0,900,0.007,4m,1.0,2.5,1.4,492,0.25,5,COMPLETE
144,144,5.001171187701649,2025-06-14 19:41:24.037047,2025-06-14 19:41:30.683572,0 days 00:00:06.646525,,,,,,,,218.0,0.009000000000000001,2m,2.0,2.0,1.8,944.0,,,,,,,,30.0,0.007,1m,4.0,1.0,1.7000000000000002,230.0,,,,,,,,,,,,,,,770.0,0.002,3m,4.0,1.0,0.5,334.0,210.0,0.008,2m,1.5,3.5,1.0,702.0,440.0,0.003,1m,3.0,4.0,1.1,110.0,990,0.006,4m,1.0,2.5,1.2000000000000002,398,0.3,6,COMPLETE
145,145,2.7042737958376795,2025-06-14 19:41:30.755502,2025-06-14 19:41:35.965107,0 days 00:00:05.209605,,,,,,,,184.0,0.009000000000000001,2m,2.0,2.0,1.8,946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.0,0.002,3m,4.0,1.0,0.5,324.0,208.0,0.007,2m,1.5,3.5,1.0,698.0,454.0,0.003,1m,3.0,4.0,1.1,136.0,1010,0.006,4m,1.0,2.5,1.3,366,0.3,5,COMPLETE
146,146,1.24578901851589,2025-06-14 19:41:36.031108,2025-06-14 19:41:42.008387,0 days 00:00:05.977279,,,,,,,,272.0,0.009000000000000001,2m,2.0,2.0,1.8,900.0,,,,,,,,156.0,0.006,1m,3.0,1.0,1.9000000000000001,220.0,,,,,,,,,,,,,,,814.0,0.002,2m,3.5,1.0,0.6,372.0,286.0,0.008,2m,1.5,3.5,0.9,718.0,492.0,0.003,1m,3.0,4.0,1.2000000000000002,50.0,1000,0.005,4m,1.0,2.5,1.2000000000000002,396,0.3,6,COMPLETE
147,147,2.702224868679503,2025-06-14 19:41:42.070238,2025-06-14 19:41:49.512429,0 days 00:00:07.442191,,,,,,,,216.0,0.009000000000000001,2m,2.0,2.0,1.7000000000000002,962.0,,,,,,,,16.0,0.007,1m,2.5,1.0,1.7000000000000002,468.0,,,,,,,,822.0,0.009000000000000001,3m,3.0,3.0,0.9,526.0,784.0,0.001,3m,4.0,1.0,0.5,432.0,148.0,0.008,2m,1.5,3.5,1.0,632.0,364.0,0.003,1m,3.0,4.0,1.1,110.0,968,0.006,4m,1.0,3.0,1.1,500,0.3,7,COMPLETE
148,148,0.12026288897823184,2025-06-14 19:41:49.573340,2025-06-14 19:41:54.505751,0 days 00:00:04.932411,,,,,,,,236.0,0.005,2m,2.0,2.0,1.7000000000000002,812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.0,0.002,3m,4.0,1.5,0.6,338.0,124.0,0.009000000000000001,2m,1.5,3.5,1.0,550.0,444.0,0.003,1m,3.0,4.0,1.1,182.0,950,0.006,4m,1.0,2.5,1.4,424,0.35000000000000003,5,COMPLETE
149,149,-2.049991723903223,2025-06-14 19:41:54.621594,2025-06-14 19:41:59.782242,0 days 00:00:05.160648,,,,,,,,298.0,0.009000000000000001,2m,2.0,2.0,1.9000000000000001,934.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752.0,0.001,3m,4.0,1.5,0.7,494.0,182.0,0.009000000000000001,2m,1.0,4.0,1.1,750.0,394.0,0.003,1m,4.0,3.5,1.0,308.0,926,0.007,2m,1.0,2.0,1.2000000000000002,408,0.2,5,COMPLETE
