,number,value,datetime_start,datetime_complete,duration,params_AAPL_BIDU_beta_win,params_AAPL_BIDU_stop_loss,params_AAPL_BIDU_trade_freq,params_AAPL_BIDU_z_entry,params_AAPL_BIDU_z_exit,params_AAPL_BIDU_z_stop_scaler,params_AAPL_BIDU_z_win,params_ALGN_KDP_beta_win,params_ALGN_KDP_stop_loss,params_ALGN_KDP_trade_freq,params_ALGN_KDP_z_entry,params_ALGN_KDP_z_exit,params_ALGN_KDP_z_stop_scaler,params_ALGN_KDP_z_win,params_AMD_ATVI_beta_win,params_AMD_ATVI_stop_loss,params_AMD_ATVI_trade_freq,params_AMD_ATVI_z_entry,params_AMD_ATVI_z_exit,params_AMD_ATVI_z_stop_scaler,params_AMD_ATVI_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_FISV_INTC_beta_win,params_FISV_INTC_stop_loss,params_FISV_INTC_trade_freq,params_FISV_INTC_z_entry,params_FISV_INTC_z_exit,params_FISV_INTC_z_stop_scaler,params_FISV_INTC_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_SBUX_KDP_beta_win,params_SBUX_KDP_stop_loss,params_SBUX_KDP_trade_freq,params_SBUX_KDP_z_entry,params_SBUX_KDP_z_exit,params_SBUX_KDP_z_stop_scaler,params_SBUX_KDP_z_win,params_ZS_ADI_beta_win,params_ZS_ADI_stop_loss,params_ZS_ADI_trade_freq,params_ZS_ADI_z_entry,params_ZS_ADI_z_exit,params_ZS_ADI_z_stop_scaler,params_ZS_ADI_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,-0.3468904944005824,2025-06-14 19:07:55.381908,2025-06-14 19:07:59.930699,0 days 00:00:04.548791,972.0,0.001,1m,4.0,1.0,2.0,34.0,,,,,,,,524.0,0.007,4m,3.5,3.5,0.7,206.0,668.0,0.001,4m,2.5,3.0,1.0,730.0,,,,,,,,,,,,,,,234,0.008,2m,3.0,2.5,1.8,774,872.0,0.009000000000000001,4m,3.0,1.0,1.7000000000000002,230.0,,,,,,,,,,,,,,,0.5,5,COMPLETE
31,31,4.620553762337115,2025-06-14 19:07:59.997155,2025-06-14 19:08:02.421764,0 days 00:00:02.424609,,,,,,,,,,,,,,,,,,,,,,386.0,0.002,4m,3.0,3.5,0.6,866.0,,,,,,,,,,,,,,,324,0.01,2m,3.5,2.5,1.4,904,848.0,0.01,4m,3.0,1.0,1.9000000000000001,76.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
32,32,-2.2482748558229373,2025-06-14 19:08:02.491285,2025-06-14 19:08:04.972454,0 days 00:00:02.481169,,,,,,,,,,,,,,,,,,,,,,262.0,0.002,4m,2.5,3.0,0.8,894.0,,,,,,,,,,,,,,,324,0.009000000000000001,2m,3.5,2.0,1.6,844,868.0,0.009000000000000001,4m,3.0,1.0,1.5,70.0,,,,,,,,,,,,,,,0.5,3,COMPLETE
33,33,-1.4978519573282316,2025-06-14 19:08:05.043386,2025-06-14 19:08:06.816913,0 days 00:00:01.773527,,,,,,,,,,,,,,,,,,,,,,398.0,0.001,4m,3.0,4.0,0.5,854.0,,,,,,,,,,,,,,,342,0.009000000000000001,2m,3.5,2.5,1.4,950,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
34,34,0.8348701356941568,2025-06-14 19:08:06.896022,2025-06-14 19:08:09.292009,0 days 00:00:02.395987,,,,,,,,,,,,,,,,,,,,,,418.0,0.002,1m,3.0,2.5,0.6,940.0,,,,,,,,,,,,,,,284,0.008,2m,3.5,2.0,1.2000000000000002,668,480.0,0.01,4m,3.0,1.5,1.8,222.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
35,35,1.2613591496739611,2025-06-14 19:08:09.363054,2025-06-14 19:08:12.662578,0 days 00:00:03.299524,,,,,,,,,,,,,,,532.0,0.009000000000000001,4m,3.0,4.0,1.0,342.0,490.0,0.003,4m,2.0,3.5,0.9,948.0,,,,,,,,,,,,,,,196,0.009000000000000001,2m,3.0,2.5,1.6,882,826.0,0.008,4m,3.5,1.0,1.9000000000000001,128.0,,,,,,,,,,,,,,,0.5,4,COMPLETE
36,36,-3.147756156829116,2025-06-14 19:08:12.731457,2025-06-14 19:08:16.844193,0 days 00:00:04.112736,814.0,0.004,4m,1.5,2.0,1.5,506.0,,,,,,,,204.0,0.007,2m,4.0,3.0,0.7,126.0,284.0,0.001,2m,1.0,3.0,0.7,756.0,,,,,,,,,,,,,,,480,0.009000000000000001,2m,3.0,3.0,1.1,604,234.0,0.001,1m,3.5,1.5,1.7000000000000002,326.0,,,,,,,,,,,,,,,0.4,5,COMPLETE
37,37,-100.0,2025-06-14 19:08:16.908766,2025-06-14 19:08:19.363210,0 days 00:00:02.454444,,,,,,,,,,,,,,,,,,,,,,540.0,0.002,4m,3.5,4.0,0.9,852.0,,,,,,,,,,,,,,,372,0.01,2m,4.0,2.0,2.0,762,384.0,0.009000000000000001,4m,3.0,2.5,1.9000000000000001,476.0,,,,,,,,,,,,,,,0.45,3,COMPLETE
38,38,2.170882209101206,2025-06-14 19:08:19.420609,2025-06-14 19:08:23.738175,0 days 00:00:04.317566,172.0,0.002,2m,3.5,1.5,1.8,398.0,,,,,,,,426.0,0.01,4m,3.0,3.0,0.6,50.0,912.0,0.004,1m,2.5,3.0,0.7,698.0,,,,,,,,,,,,,,,282,0.008,4m,2.5,1.5,1.3,798,940.0,0.007,4m,3.0,1.0,1.5,156.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
39,39,-1.079828051825816,2025-06-14 19:08:23.805692,2025-06-14 19:08:27.300935,0 days 00:00:03.495243,,,,,,,,,,,,,,,608.0,0.008,4m,3.5,4.0,1.0,162.0,206.0,0.001,4m,3.0,4.0,1.2000000000000002,960.0,,,,,,,,,,,,,,,106,0.009000000000000001,2m,3.5,1.0,1.5,686,508.0,0.01,3m,3.5,2.5,1.9000000000000001,360.0,,,,,,,,,,,,,,,0.5,4,COMPLETE
40,40,2.0431229374130324,2025-06-14 19:08:27.371940,2025-06-14 19:08:29.167444,0 days 00:00:01.795504,,,,,,,,,,,,,,,,,,,,,,654.0,0.006,2m,3.5,3.0,0.6,884.0,,,,,,,,,,,,,,,234,0.007,4m,2.5,2.5,1.2000000000000002,1020,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
41,41,0.24147574699215316,2025-06-14 19:08:29.250952,2025-06-14 19:08:33.063100,0 days 00:00:03.812148,150.0,0.002,2m,3.5,1.5,1.8,408.0,,,,,,,,422.0,0.01,4m,3.0,3.0,0.6,30.0,946.0,0.004,1m,2.5,3.0,0.7,700.0,,,,,,,,,,,,,,,292,0.008,4m,3.0,1.5,1.3,818,954.0,0.007,4m,3.0,1.0,1.6,138.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
42,42,0.44896226963561625,2025-06-14 19:08:33.141912,2025-06-14 19:08:37.852655,0 days 00:00:04.710743,200.0,0.004,2m,3.5,1.5,1.7000000000000002,594.0,,,,,,,,468.0,0.009000000000000001,4m,2.5,3.5,0.6,82.0,918.0,0.003,1m,2.5,3.0,0.5,786.0,,,,,,,,,,,,,,,554,0.01,4m,2.5,1.5,1.4,962,888.0,0.008,4m,3.0,1.0,1.5,134.0,,,,,,,,,,,,,,,0.45,5,COMPLETE
43,43,9.150981194320467,2025-06-14 19:08:37.921999,2025-06-14 19:08:42.729547,0 days 00:00:04.807548,,,,,,,,,,,,,,,,,,,,,,830.0,0.004,1m,3.0,2.5,0.8,572.0,,,,,,,,,,,,,,,304,0.008,4m,4.0,2.0,1.3,724,766.0,0.009000000000000001,4m,3.0,1.5,1.7000000000000002,208.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
44,44,4.947109510043538,2025-06-14 19:08:42.858204,2025-06-14 19:08:49.804643,0 days 00:00:06.946439,,,,,,,,,,,,,,,,,,,,,,844.0,0.002,1m,3.0,2.5,0.8,584.0,,,,,,,,,,,,,,,388,0.009000000000000001,4m,4.0,2.0,1.5,710,762.0,0.009000000000000001,4m,2.5,1.5,1.7000000000000002,204.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
45,45,1.0918780727159754,2025-06-14 19:08:49.955917,2025-06-14 19:08:56.870741,0 days 00:00:06.914824,,,,,,,,,,,,,,,,,,,,,,786.0,0.005,1m,3.5,2.5,0.8,536.0,,,,,,,,,,,,,,,184,0.009000000000000001,4m,4.0,2.0,1.5,716,784.0,0.009000000000000001,1m,2.5,1.5,1.7000000000000002,212.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
46,46,8.344983029903961,2025-06-14 19:08:57.016770,2025-06-14 19:09:02.782512,0 days 00:00:05.765742,,,,,,,,,,,,,,,,,,,,,,856.0,0.003,1m,3.0,2.5,1.0,596.0,,,,,,,,,,,,,,,242,0.008,4m,4.0,2.0,0.5,548,740.0,0.008,4m,2.5,1.5,1.7000000000000002,278.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
47,47,5.088537010812891,2025-06-14 19:09:02.869465,2025-06-14 19:09:04.124189,0 days 00:00:01.254724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,0.006,4m,4.0,2.0,0.5,548,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
48,48,-100.0,2025-06-14 19:09:04.211095,2025-06-14 19:09:05.436861,0 days 00:00:01.225766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,0.006,4m,4.0,2.0,0.5,482,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
49,49,3.1404352304848437,2025-06-14 19:09:05.509968,2025-06-14 19:09:06.524457,0 days 00:00:01.014489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,0.007,4m,4.0,2.0,0.6,538,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
50,50,1.8261355431576587,2025-06-14 19:09:06.572125,2025-06-14 19:09:08.461806,0 days 00:00:01.889681,,,,,,,,,,,,,,,,,,,,,,842.0,0.005,1m,3.5,2.5,1.1,310.0,,,,,,,,,,,,,,,576,0.006,4m,4.0,1.5,0.6,558,,,,,,,,,,,,,,,,,,,,,,0.2,2,COMPLETE
51,51,2.594927272893563,2025-06-14 19:09:08.516647,2025-06-14 19:09:11.243124,0 days 00:00:02.726477,,,,,,,,,,,,,,,,,,,,,,804.0,0.003,1m,3.0,2.5,1.0,562.0,,,,,,,,,,,,,,,326,0.009000000000000001,4m,4.0,2.0,0.7,450,744.0,0.008,4m,2.5,1.5,0.9,66.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
52,52,-1.5715620430791362,2025-06-14 19:09:11.294587,2025-06-14 19:09:13.022066,0 days 00:00:01.727479,,,,,,,,,,,,,,,,,,,,,,730.0,0.003,1m,3.0,2.5,0.8,496.0,,,,,,,,,,,,,,,512,0.005,4m,3.5,2.0,0.5,364,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
53,53,1.7808653771604859,2025-06-14 19:09:13.092814,2025-06-14 19:09:15.752143,0 days 00:00:02.659329,,,,,,,,,,,,,,,,,,,,,,878.0,0.006,1m,3.5,2.0,1.1,618.0,,,,,,,,,,,,,,,382,0.003,4m,3.5,1.5,0.8,648,718.0,0.008,3m,2.5,1.5,0.5,412.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
54,54,-4.0819200587312325,2025-06-14 19:09:15.835176,2025-06-14 19:09:16.765173,0 days 00:00:00.929997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,0.009000000000000001,3m,4.0,2.5,0.7,576,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
55,55,1.1842435094854107,2025-06-14 19:09:16.828137,2025-06-14 19:09:25.080668,0 days 00:00:08.252531,660.0,0.005,4m,1.5,2.0,1.3,846.0,992.0,0.005,2m,1.0,1.0,1.5,1000.0,74.0,0.005,2m,1.5,2.0,1.5,998.0,1024.0,0.004,1m,3.0,2.0,0.8,88.0,270.0,0.005,3m,1.5,4.0,2.0,716.0,26.0,0.006,3m,1.0,2.5,1.9000000000000001,1002.0,374,0.008,4m,3.5,1.0,1.0,636,784.0,0.009000000000000001,1m,2.5,2.0,1.2000000000000002,16.0,990.0,0.001,1m,1.0,4.0,1.9000000000000001,892.0,78.0,0.01,2m,3.0,2.5,2.0,42.0,0.2,10,COMPLETE
56,56,2.0262798124117625,2025-06-14 19:09:25.143040,2025-06-14 19:09:26.834389,0 days 00:00:01.691349,,,,,,,,,,,,,,,,,,,,,,762.0,0.003,3m,3.0,2.5,1.3,468.0,,,,,,,,,,,,,,,528,0.009000000000000001,4m,4.0,2.0,0.9,524,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
57,57,-3.88819647465763,2025-06-14 19:09:26.907938,2025-06-14 19:09:29.634959,0 days 00:00:02.727021,,,,,,,,,,,,,,,,,,,,,,622.0,0.004,1m,3.5,2.5,1.0,366.0,,,,,,,,,,,,,,,312,0.001,3m,4.0,3.0,0.7,718,574.0,0.007,4m,3.5,1.5,1.4,180.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
58,58,-100.0,2025-06-14 19:09:29.696681,2025-06-14 19:09:30.749385,0 days 00:00:01.052704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,0.007,4m,4.0,2.0,0.5,410,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
59,59,0.5022032853516173,2025-06-14 19:09:30.806715,2025-06-14 19:09:34.116754,0 days 00:00:03.310039,,,,,,,,,,,,,,,162.0,0.004,1m,1.5,2.5,2.0,644.0,972.0,0.002,2m,3.0,2.0,0.9,618.0,,,,,,,,,,,,,,,150,0.01,4m,3.5,2.5,1.1,476,630.0,0.006,4m,2.5,1.5,1.6,306.0,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
60,60,1.4144127857951607,2025-06-14 19:09:34.202070,2025-06-14 19:09:36.103200,0 days 00:00:01.901130,,,,,,,,,,,,,,,,,,,,,,876.0,0.009000000000000001,1m,4.0,1.0,0.7,550.0,,,,,,,,,,,,,,,644,0.008,4m,4.0,1.5,1.2000000000000002,272,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
61,61,-1.5004804743503861,2025-06-14 19:09:36.158431,2025-06-14 19:09:41.176552,0 days 00:00:05.018121,770.0,0.009000000000000001,1m,1.5,4.0,1.1,60.0,,,,,,,,612.0,0.006,2m,4.0,3.5,1.1,324.0,732.0,0.002,3m,2.5,2.5,0.9,654.0,530.0,0.007,2m,2.0,1.0,1.5,1012.0,,,,,,,,264,0.008,2m,3.5,2.5,1.3,758,840.0,0.009000000000000001,4m,3.0,1.0,1.7000000000000002,256.0,,,,,,,,,,,,,,,0.4,6,COMPLETE
62,62,2.0173561169261935,2025-06-14 19:09:41.247366,2025-06-14 19:09:45.029000,0 days 00:00:03.781634,,,,,,,,,,,,,,,732.0,0.006,1m,2.5,3.5,0.8,420.0,820.0,0.001,1m,2.5,2.5,0.8,588.0,,,,,,,,,,,,,,,236,0.008,2m,4.0,2.5,1.5,628,916.0,0.008,4m,2.5,1.0,1.9000000000000001,284.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
63,63,-1.6649970954145301,2025-06-14 19:09:45.083533,2025-06-14 19:09:47.968090,0 days 00:00:02.884557,,,,,,,,,,,,,,,,,,,,,,758.0,0.002,1m,2.5,3.0,0.6,156.0,,,,,,,,,,,,,,,408,0.007,4m,3.5,3.0,1.6,690,764.0,0.009000000000000001,4m,3.0,1.0,1.7000000000000002,368.0,,,,,,,,,,,,,,,0.25,3,COMPLETE
64,64,-0.4382378768524285,2025-06-14 19:09:48.016792,2025-06-14 19:09:50.765690,0 days 00:00:02.748898,,,,,,,,,,,,,,,,,,,,,,878.0,0.001,4m,3.0,2.0,1.7000000000000002,488.0,,,,,,,,,,,,,,,352,0.01,3m,4.0,2.0,1.4,886,994.0,0.009000000000000001,4m,3.5,1.5,1.8,496.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
65,65,-2.5767967125186333,2025-06-14 19:09:50.832923,2025-06-14 19:09:54.246698,0 days 00:00:03.413775,,,,,,,,,,,,,,,40.0,0.007,2m,3.5,3.0,0.8,298.0,520.0,0.003,2m,2.0,2.5,1.1,804.0,,,,,,,,,,,,,,,444,0.006,2m,3.5,2.5,0.6,20,706.0,0.01,3m,2.0,2.0,1.6,106.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
66,66,1.479771094007561,2025-06-14 19:09:54.326193,2025-06-14 19:09:57.861917,0 days 00:00:03.535724,,,,,,,,,,,,,,,342.0,0.004,1m,4.0,4.0,1.4,252.0,676.0,0.002,4m,3.0,4.0,1.0,436.0,,,,,,,,,,,,,,,160,0.009000000000000001,4m,3.0,3.0,1.5,736,820.0,0.009000000000000001,4m,1.5,1.5,1.5,182.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
67,67,-2.68439357899282,2025-06-14 19:09:57.931992,2025-06-14 19:10:00.448320,0 days 00:00:02.516328,,,,,,,,,,,,,,,,,,,,,,384.0,0.003,3m,3.5,3.0,0.9,694.0,,,,,,,,,,,,,,,108,0.009000000000000001,2m,3.5,2.0,1.3,822,856.0,0.01,4m,4.0,1.0,1.9000000000000001,336.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
68,68,-4.693606722906646,2025-06-14 19:10:00.505611,2025-06-14 19:10:02.388756,0 days 00:00:01.883145,,,,,,,,,,,,,,,,,,,,,,38.0,0.001,1m,3.0,3.5,0.6,752.0,,,,,,,,,,,,,,,302,0.005,4m,4.0,2.5,1.4,942,,,,,,,,,,,,,,,,,,,,,,0.4,2,COMPLETE
69,69,0.09303066203289899,2025-06-14 19:10:02.446338,2025-06-14 19:10:09.583516,0 days 00:00:07.137178,966.0,0.007,1m,3.0,1.0,1.4,812.0,80.0,0.01,1m,1.0,4.0,0.6,1002.0,586.0,0.005,1m,2.0,3.5,1.0,180.0,436.0,0.002,4m,2.5,2.5,0.8,968.0,842.0,0.003,4m,1.0,3.5,1.0,622.0,36.0,0.01,4m,4.0,2.5,1.1,68.0,488,0.01,1m,3.0,2.0,1.2000000000000002,778,904.0,0.008,4m,2.5,3.0,2.0,426.0,,,,,,,,60.0,0.008,3m,3.0,1.5,1.5,296.0,0.35000000000000003,9,COMPLETE
70,70,-1.4035800360902515,2025-06-14 19:10:09.675634,2025-06-14 19:10:12.978516,0 days 00:00:03.302882,,,,,,,,,,,,,,,252.0,0.008,2m,3.0,2.0,1.7000000000000002,468.0,980.0,0.004,4m,3.0,1.5,0.5,920.0,,,,,,,,,,,,,,,996,0.004,2m,4.0,3.0,1.7000000000000002,126,750.0,0.005,2m,3.0,2.0,1.7000000000000002,90.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
71,71,2.811541775462715,2025-06-14 19:10:13.039545,2025-06-14 19:10:13.999621,0 days 00:00:00.960076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,0.007,4m,4.0,2.0,0.6,546,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
72,72,-100.0,2025-06-14 19:10:14.063149,2025-06-14 19:10:15.047735,0 days 00:00:00.984586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,0.007,4m,4.0,2.0,0.5,590,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
73,73,6.838374267101939,2025-06-14 19:10:15.138851,2025-06-14 19:10:16.051794,0 days 00:00:00.912943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,0.008,4m,4.0,2.5,0.6,536,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
74,74,0.9752490635956379,2025-06-14 19:10:16.120121,2025-06-14 19:10:17.848455,0 days 00:00:01.728334,,,,,,,,,,,,,,,,,,,,,,630.0,0.003,1m,1.5,3.5,1.2000000000000002,398.0,,,,,,,,,,,,,,,406,0.008,4m,2.0,2.5,0.5,498,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
75,75,1.7951463570369406,2025-06-14 19:10:17.914074,2025-06-14 19:10:20.464140,0 days 00:00:02.550066,,,,,,,,,,,,,,,,,,,,,,698.0,0.002,4m,2.0,2.0,0.7,828.0,,,,,,,,,,,,,,,348,0.008,4m,4.0,2.5,1.3,986,626.0,0.01,1m,2.0,1.5,1.8,276.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
76,76,-4.556638812994833,2025-06-14 19:10:20.535285,2025-06-14 19:10:24.693808,0 days 00:00:04.158523,626.0,0.004,4m,1.0,2.5,1.0,636.0,,,,,,,,686.0,0.009000000000000001,4m,2.0,1.5,1.1,622.0,910.0,0.001,4m,3.0,3.0,0.6,862.0,,,,,,,,,,,,,,,256,0.009000000000000001,1m,3.5,2.5,0.6,360,806.0,0.008,4m,3.5,1.0,1.2000000000000002,184.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
77,77,-1.6464060536685499,2025-06-14 19:10:24.771173,2025-06-14 19:10:26.584021,0 days 00:00:01.812848,,,,,,,,,,,,,,,,,,,,,,468.0,0.004,1m,2.5,4.0,0.7,514.0,,,,,,,,,,,,,,,728,0.008,2m,4.0,3.0,1.4,846,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
78,78,-3.970065694931425,2025-06-14 19:10:26.643364,2025-06-14 19:10:27.595464,0 days 00:00:00.952100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586,0.01,4m,3.5,2.5,1.5,792,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
79,79,1.3974168215760945,2025-06-14 19:10:27.660095,2025-06-14 19:10:30.928483,0 days 00:00:03.268388,,,,,,,,,,,,,,,920.0,0.007,3m,4.0,3.0,1.8,286.0,560.0,0.006,4m,3.5,3.5,1.5,976.0,,,,,,,,,,,,,,,500,0.002,3m,4.0,1.5,1.6,678,542.0,0.007,4m,2.5,1.5,1.6,548.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
80,80,-0.7718075051846265,2025-06-14 19:10:30.997532,2025-06-14 19:10:33.339646,0 days 00:00:02.342114,,,,,,,,,,,,,,,,,,,,,,846.0,0.003,2m,2.5,3.0,2.0,626.0,,,,,,,,,,,,,,,534,0.009000000000000001,4m,4.0,2.0,1.1,616,1024.0,0.003,2m,3.0,2.0,1.4,606.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
81,81,3.3402628152336633,2025-06-14 19:10:33.427297,2025-06-14 19:10:34.381584,0 days 00:00:00.954287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,0.006,4m,4.0,2.0,0.6,528,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
82,82,1.8514787258451166,2025-06-14 19:10:34.442524,2025-06-14 19:10:35.377540,0 days 00:00:00.935016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,0.006,4m,4.0,2.0,0.7,444,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
83,83,-100.0,2025-06-14 19:10:35.442012,2025-06-14 19:10:36.313132,0 days 00:00:00.871120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,0.006,4m,4.0,2.0,0.5,570,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
84,84,-1.7060404887443867,2025-06-14 19:10:36.378222,2025-06-14 19:10:38.062113,0 days 00:00:01.683891,,,,,,,,,,,,,,,,,,,,,,370.0,0.005,3m,3.0,2.5,0.9,672.0,,,,,,,,,,,,,,,324,0.007,4m,4.0,1.5,0.6,498,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
85,85,-1.126448959382487,2025-06-14 19:10:38.125057,2025-06-14 19:10:40.743498,0 days 00:00:02.618441,,,,,,,,,,,,,,,,,,,,,,246.0,0.002,4m,3.5,4.0,1.0,726.0,,,,,,,,,,,,,,,396,0.005,1m,3.5,2.0,0.7,470,680.0,0.01,3m,2.0,3.0,1.8,256.0,,,,,,,,,,,,,,,0.25,3,COMPLETE
86,86,-0.23423484166327205,2025-06-14 19:10:40.810319,2025-06-14 19:10:45.560947,0 days 00:00:04.750628,860.0,0.002,1m,4.0,3.5,2.0,558.0,,,,,,,,558.0,0.003,4m,3.5,3.5,1.3,230.0,934.0,0.001,1m,3.0,3.5,0.5,320.0,222.0,0.008,2m,3.5,2.0,1.1,842.0,,,,,,,,448,0.008,4m,1.0,2.5,1.4,522,48.0,0.009000000000000001,4m,1.5,1.0,2.0,224.0,,,,,,,,,,,,,,,0.3,6,COMPLETE
87,87,1.2576653922357681,2025-06-14 19:10:45.641813,2025-06-14 19:10:46.623539,0 days 00:00:00.981726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,0.01,2m,3.5,2.0,0.9,658,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
88,88,-4.395379714979663,2025-06-14 19:10:46.686868,2025-06-14 19:10:48.485617,0 days 00:00:01.798749,,,,,,,,,,,,,,,,,,,,,,318.0,0.003,4m,2.5,3.0,0.7,920.0,,,,,,,,,,,,,,,298,0.009000000000000001,4m,2.5,2.5,0.8,896,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
89,89,-0.5155537759752887,2025-06-14 19:10:48.579005,2025-06-14 19:10:50.271393,0 days 00:00:01.692388,,,,,,,,,,,,,,,,,,,,,,130.0,0.004,1m,3.0,2.0,0.8,780.0,,,,,,,,,,,,,,,562,0.006,4m,4.0,2.0,0.5,704,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
90,90,-0.963757117339438,2025-06-14 19:10:50.384613,2025-06-14 19:10:53.681166,0 days 00:00:03.296553,,,,,,,,,,,,,,,768.0,0.006,1m,2.5,4.0,0.5,854.0,414.0,0.002,4m,2.5,3.5,0.6,572.0,,,,,,,,,,,,,,,872,0.008,1m,4.0,1.5,1.3,852,954.0,0.01,4m,3.0,1.5,1.7000000000000002,44.0,,,,,,,,,,,,,,,0.3,4,COMPLETE
91,91,4.187873123489474,2025-06-14 19:10:53.747000,2025-06-14 19:10:54.756910,0 days 00:00:01.009910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,0.007,4m,4.0,2.0,0.6,540,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
92,92,-3.9790714416516764,2025-06-14 19:10:54.829172,2025-06-14 19:10:55.859950,0 days 00:00:01.030778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,0.007,4m,4.0,2.0,0.6,588,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
