,number,value,datetime_start,datetime_complete,duration,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_AMZN_ON_beta_win,params_AMZN_ON_stop_loss,params_AMZN_ON_trade_freq,params_AMZN_ON_z_entry,params_AMZN_ON_z_exit,params_AMZN_ON_z_stop_scaler,params_AMZN_ON_z_win,params_GFS_EXC_beta_win,params_GFS_EXC_stop_loss,params_GFS_EXC_trade_freq,params_GFS_EXC_z_entry,params_GFS_EXC_z_exit,params_GFS_EXC_z_stop_scaler,params_GFS_EXC_z_win,params_GOOGL_ON_beta_win,params_GOOGL_ON_stop_loss,params_GOOGL_ON_trade_freq,params_GOOGL_ON_z_entry,params_GOOGL_ON_z_exit,params_GOOGL_ON_z_stop_scaler,params_GOOGL_ON_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_GOOG_ON_beta_win,params_GOOG_ON_stop_loss,params_GOOG_ON_trade_freq,params_GOOG_ON_z_entry,params_GOOG_ON_z_exit,params_GOOG_ON_z_stop_scaler,params_GOOG_ON_z_win,params_NXPI_ANSS_beta_win,params_NXPI_ANSS_stop_loss,params_NXPI_ANSS_trade_freq,params_NXPI_ANSS_z_entry,params_NXPI_ANSS_z_exit,params_NXPI_ANSS_z_stop_scaler,params_NXPI_ANSS_z_win,params_WBD_ANSS_beta_win,params_WBD_ANSS_stop_loss,params_WBD_ANSS_trade_freq,params_WBD_ANSS_z_entry,params_WBD_ANSS_z_exit,params_WBD_ANSS_z_stop_scaler,params_WBD_ANSS_z_win,params_WDAY_ANSS_beta_win,params_WDAY_ANSS_stop_loss,params_WDAY_ANSS_trade_freq,params_WDAY_ANSS_z_entry,params_WDAY_ANSS_z_exit,params_WDAY_ANSS_z_stop_scaler,params_WDAY_ANSS_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-0.41591321499038886,2025-06-14 20:10:09.728190,2025-06-14 20:10:10.798312,0 days 00:00:01.070122,,,,,,,,988,0.006,4m,1.0,2.5,2.0,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
11,11,-3.565920627580556,2025-06-14 20:10:10.871301,2025-06-14 20:10:11.998298,0 days 00:00:01.126997,,,,,,,,1020,0.006,4m,1.0,2.5,1.9000000000000001,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
12,12,-0.13884451450875318,2025-06-14 20:10:12.079542,2025-06-14 20:10:13.218851,0 days 00:00:01.139309,,,,,,,,766,0.006,4m,1.5,3.0,1.7000000000000002,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
13,13,-5.8141544071554145,2025-06-14 20:10:13.302971,2025-06-14 20:10:18.649124,0 days 00:00:05.346153,,,,,,,,728,0.004,4m,2.0,3.0,1.6,818,404.0,0.006,4m,4.0,1.0,1.1,160.0,998.0,0.001,3m,4.0,2.5,0.8,702.0,48.0,0.01,1m,4.0,1.5,0.5,42.0,698.0,0.001,3m,1.0,2.5,2.0,612.0,,,,,,,,,,,,,,,670.0,0.01,1m,1.5,4.0,1.7000000000000002,76.0,,,,,,,,0.2,6,COMPLETE
14,14,-0.8962019663293582,2025-06-14 20:10:18.738309,2025-06-14 20:10:19.864145,0 days 00:00:01.125836,,,,,,,,800,0.007,4m,2.0,3.5,1.7000000000000002,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
15,15,-25.100994425072848,2025-06-14 20:10:19.957234,2025-06-14 20:10:24.467744,0 days 00:00:04.510510,,,,,,,,768,0.001,4m,1.5,2.0,1.6,876,16.0,0.004,1m,4.0,1.5,1.1,278.0,968.0,0.003,3m,4.0,2.5,1.1,586.0,,,,,,,,800.0,0.008,1m,1.0,1.0,1.2000000000000002,558.0,,,,,,,,,,,,,,,382.0,0.004,4m,3.5,1.0,0.9,1024.0,,,,,,,,0.35000000000000003,5,COMPLETE
16,16,-0.21220575396687677,2025-06-14 20:10:24.561575,2025-06-14 20:10:31.289546,0 days 00:00:06.727971,,,,,,,,614,0.01,4m,1.5,3.0,1.7000000000000002,730,420.0,0.008,4m,3.0,2.0,1.6,306.0,718.0,0.003,2m,3.5,2.0,0.5,850.0,722.0,0.001,3m,4.0,2.0,0.6,118.0,406.0,0.003,3m,1.5,1.0,1.3,686.0,1002.0,0.001,1m,4.0,4.0,0.5,1024.0,,,,,,,,742.0,0.004,1m,3.0,2.5,2.0,996.0,,,,,,,,0.25,7,COMPLETE
17,17,-4.012598421338613,2025-06-14 20:10:31.380676,2025-06-14 20:10:35.369776,0 days 00:00:03.989100,,,,,,,,868,0.005,1m,2.5,2.0,1.5,478,48.0,0.001,4m,2.0,2.0,0.5,34.0,,,,,,,,,,,,,,,452.0,0.01,1m,2.0,2.5,1.6,1024.0,,,,,,,,,,,,,,,430.0,0.005,1m,2.0,2.5,1.5,214.0,,,,,,,,0.35000000000000003,4,COMPLETE
18,18,-4.754306695741541,2025-06-14 20:10:35.448597,2025-06-14 20:10:37.579851,0 days 00:00:02.131254,,,,,,,,642,0.002,2m,1.5,4.0,1.8,956,350.0,0.005,1m,3.5,1.0,1.3,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
19,19,2.9640048449873677,2025-06-14 20:10:37.663791,2025-06-14 20:10:39.648191,0 days 00:00:01.984400,,,,,,,,904,0.007,4m,3.0,1.0,2.0,626,580.0,0.008,4m,3.0,3.5,2.0,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
20,20,-5.838216122389379,2025-06-14 20:10:39.723046,2025-06-14 20:10:45.910312,0 days 00:00:06.187266,,,,,,,,900,0.007,4m,3.0,1.0,2.0,414,568.0,0.008,4m,3.0,3.5,2.0,418.0,802.0,0.001,1m,1.5,3.0,1.0,480.0,30.0,0.01,1m,2.5,2.5,0.9,714.0,808.0,0.008,1m,1.5,4.0,0.9,430.0,,,,,,,,,,,,,,,572.0,0.01,4m,3.0,4.0,1.1,688.0,,,,,,,,0.35000000000000003,6,COMPLETE
21,21,1.7541469250228672,2025-06-14 20:10:45.987826,2025-06-14 20:10:48.489317,0 days 00:00:02.501491,,,,,,,,862,0.007,4m,2.5,1.0,1.8,634,642.0,0.006,4m,3.5,3.5,1.7000000000000002,444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
22,22,3.6318859395575296,2025-06-14 20:10:48.612904,2025-06-14 20:10:54.246269,0 days 00:00:05.633365,,,,,,,,876,0.007,4m,3.0,1.0,2.0,592,684.0,0.006,4m,3.5,3.5,1.7000000000000002,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
23,23,0.46383279272484557,2025-06-14 20:10:54.384055,2025-06-14 20:10:59.690370,0 days 00:00:05.306315,,,,,,,,672,0.007,4m,3.0,1.0,2.0,600,690.0,0.006,4m,3.0,3.5,2.0,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
24,24,0.7856936267529073,2025-06-14 20:10:59.815917,2025-06-14 20:11:05.201030,0 days 00:00:05.385113,,,,,,,,854,0.005,4m,3.5,1.0,1.4,588,696.0,0.005,4m,4.0,3.5,1.5,506.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
25,25,-3.019584806793588,2025-06-14 20:11:05.350440,2025-06-14 20:11:12.590113,0 days 00:00:07.239673,,,,,,,,890,0.008,4m,2.5,1.5,1.8,430,494.0,0.008,4m,3.5,3.5,1.8,350.0,,,,,,,,,,,,,,,288.0,0.001,4m,3.5,4.0,0.5,52.0,,,,,,,,,,,,,,,228.0,0.001,3m,1.0,1.0,1.8,58.0,,,,,,,,0.25,4,COMPLETE
26,26,-1.1859134651075587,2025-06-14 20:11:12.694079,2025-06-14 20:11:14.980962,0 days 00:00:02.286883,,,,,,,,534,0.007,1m,3.5,1.0,1.8,772,642.0,0.006,4m,3.0,4.0,1.7000000000000002,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
27,27,-2.899044732275327,2025-06-14 20:11:15.041245,2025-06-14 20:11:17.871435,0 days 00:00:02.830190,,,,,,,,828,0.005,2m,3.0,1.5,2.0,640,772.0,0.004,4m,4.0,2.5,2.0,662.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,0.003,2m,3.5,2.0,0.5,218.0,,,,,,,,0.4,3,COMPLETE
28,28,-1.2596852655722328,2025-06-14 20:11:17.931325,2025-06-14 20:11:19.761339,0 days 00:00:01.830014,,,,,,,,726,0.008,4m,2.5,1.0,1.5,184,492.0,0.009000000000000001,4m,2.5,3.5,1.4,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
