,number,value,datetime_start,datetime_complete,duration,params_ADSK_ZM_beta_win,params_ADSK_ZM_stop_loss,params_ADSK_ZM_trade_freq,params_ADSK_ZM_z_entry,params_ADSK_ZM_z_exit,params_ADSK_ZM_z_stop_scaler,params_ADSK_ZM_z_win,params_AVGO_ILMN_beta_win,params_AVGO_ILMN_stop_loss,params_AVGO_ILMN_trade_freq,params_AVGO_ILMN_z_entry,params_AVGO_ILMN_z_exit,params_AVGO_ILMN_z_stop_scaler,params_AVGO_ILMN_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_KDP_ZM_beta_win,params_KDP_ZM_stop_loss,params_KDP_ZM_trade_freq,params_KDP_ZM_z_entry,params_KDP_ZM_z_exit,params_KDP_ZM_z_stop_scaler,params_KDP_ZM_z_win,params_LCID_ZM_beta_win,params_LCID_ZM_stop_loss,params_LCID_ZM_trade_freq,params_LCID_ZM_z_entry,params_LCID_ZM_z_exit,params_LCID_ZM_z_stop_scaler,params_LCID_ZM_z_win,params_LULU_VRTX_beta_win,params_LULU_VRTX_stop_loss,params_LULU_VRTX_trade_freq,params_LULU_VRTX_z_entry,params_LULU_VRTX_z_exit,params_LULU_VRTX_z_stop_scaler,params_LULU_VRTX_z_win,params_PAYX_ZM_beta_win,params_PAYX_ZM_stop_loss,params_PAYX_ZM_trade_freq,params_PAYX_ZM_z_entry,params_PAYX_ZM_z_exit,params_PAYX_ZM_z_stop_scaler,params_PAYX_ZM_z_win,params_PYPL_ZM_beta_win,params_PYPL_ZM_stop_loss,params_PYPL_ZM_trade_freq,params_PYPL_ZM_z_entry,params_PYPL_ZM_z_exit,params_PYPL_ZM_z_stop_scaler,params_PYPL_ZM_z_win,params_QCOM_ZM_beta_win,params_QCOM_ZM_stop_loss,params_QCOM_ZM_trade_freq,params_QCOM_ZM_z_entry,params_QCOM_ZM_z_exit,params_QCOM_ZM_z_stop_scaler,params_QCOM_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,4.06434581643065,2025-06-14 19:32:43.386463,2025-06-14 19:32:44.392099,0 days 00:00:01.005636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,1m,3.0,1.0,0.5,1014,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,3.377909832524062,2025-06-14 19:32:44.464932,2025-06-14 19:32:45.376509,0 days 00:00:00.911577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636,0.006,1m,3.0,1.0,0.5,986,,,,,,,,0.35000000000000003,1,COMPLETE
12,12,-1.384524903186896,2025-06-14 19:32:45.436850,2025-06-14 19:32:46.514947,0 days 00:00:01.078097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712,0.006,1m,3.5,1.0,0.5,936,,,,,,,,0.4,1,COMPLETE
13,13,1.044841885070072,2025-06-14 19:32:46.562770,2025-06-14 19:32:48.387586,0 days 00:00:01.824816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754,0.007,1m,3.0,1.0,1.0,784,492.0,0.006,2m,2.0,1.0,1.0,382.0,0.4,2,COMPLETE
14,14,-6.799790185410829,2025-06-14 19:32:48.462865,2025-06-14 19:32:53.410822,0 days 00:00:04.947957,40.0,0.01,3m,1.5,1.0,1.7000000000000002,62.0,,,,,,,,988.0,0.01,2m,4.0,2.0,0.5,816.0,362.0,0.001,3m,1.0,4.0,1.3,1000.0,,,,,,,,,,,,,,,,,,,,,,86.0,0.01,1m,4.0,1.5,0.5,66.0,44,0.004,1m,3.5,2.0,0.7,580,482.0,0.004,1m,4.0,1.5,0.5,770.0,0.5,6,COMPLETE
15,15,-1.2541347663485103,2025-06-14 19:32:53.469352,2025-06-14 19:32:57.091369,0 days 00:00:03.622017,356.0,0.004,4m,3.5,2.0,0.9,172.0,,,,,,,,,,,,,,,418.0,0.008,2m,2.0,3.0,1.6,702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,0.007,1m,2.5,2.5,1.5,1014,678.0,0.008,2m,2.0,2.0,1.1,42.0,0.3,4,COMPLETE
16,16,3.569569008505521,2025-06-14 19:32:57.147949,2025-06-14 19:32:58.125750,0 days 00:00:00.977801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,0.002,1m,4.0,1.0,1.1,860,,,,,,,,0.4,1,COMPLETE
17,17,2.674196476681792,2025-06-14 19:32:58.175552,2025-06-14 19:32:59.129298,0 days 00:00:00.953746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838,0.001,1m,3.5,1.5,1.6,890,,,,,,,,0.25,1,COMPLETE
18,18,-5.787597937248101,2025-06-14 19:32:59.199214,2025-06-14 19:33:01.158726,0 days 00:00:01.959512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,0.003,2m,2.0,2.5,1.1,822,328.0,0.001,1m,1.0,1.0,1.4,202.0,0.35000000000000003,2,COMPLETE
19,19,-0.12042694482231892,2025-06-14 19:33:01.210725,2025-06-14 19:33:03.211845,0 days 00:00:02.001120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,0.002,1m,3.0,1.0,1.6,510,362.0,0.003,3m,4.0,2.0,0.5,404.0,0.35000000000000003,2,COMPLETE
20,20,-3.7425300951643634,2025-06-14 19:33:03.275315,2025-06-14 19:33:06.679462,0 days 00:00:03.404147,558.0,0.004,4m,3.5,4.0,1.9000000000000001,36.0,,,,,,,,,,,,,,,678.0,0.001,3m,1.0,1.0,0.9,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,0.005,1m,4.0,3.0,1.0,1010,24.0,0.002,1m,3.0,1.5,1.2000000000000002,1012.0,0.4,4,COMPLETE
21,21,-1.1484974558677403,2025-06-14 19:33:06.733407,2025-06-14 19:33:07.789936,0 days 00:00:01.056529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,0.007,1m,4.0,1.0,0.7,746,,,,,,,,0.45,1,COMPLETE
22,22,-4.677623765052994,2025-06-14 19:33:07.856874,2025-06-14 19:33:11.527412,0 days 00:00:03.670538,256.0,0.01,3m,2.0,1.0,1.5,270.0,,,,,,,,,,,,,,,276.0,0.008,2m,2.0,4.0,1.6,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418,0.005,1m,3.5,1.5,0.6,644,662.0,0.005,2m,2.0,2.5,0.9,570.0,0.45,4,COMPLETE
23,23,5.178867352556636,2025-06-14 19:33:11.584453,2025-06-14 19:33:13.174124,0 days 00:00:01.589671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,0.008,1m,4.0,1.0,0.8,906,562.0,0.008,2m,3.0,2.0,0.8,684.0,0.4,2,COMPLETE
24,24,0.4463693573754975,2025-06-14 19:33:13.225711,2025-06-14 19:33:15.172296,0 days 00:00:01.946585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740,0.01,1m,3.5,2.0,0.9,876,370.0,0.008,2m,3.0,2.0,0.6,848.0,0.35000000000000003,2,COMPLETE
25,25,3.1165004145494017,2025-06-14 19:33:15.238435,2025-06-14 19:33:16.248117,0 days 00:00:01.009682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778,0.003,1m,4.0,1.5,1.1,910,,,,,,,,0.25,1,COMPLETE
26,26,-1.7912120284578497,2025-06-14 19:33:16.297500,2025-06-14 19:33:18.172183,0 days 00:00:01.874683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912,0.006,3m,3.0,1.0,0.7,948,974.0,0.005,4m,4.0,1.5,1.1,660.0,0.4,2,COMPLETE
27,27,-0.9397806878703862,2025-06-14 19:33:18.226827,2025-06-14 19:33:20.750428,0 days 00:00:02.523601,704.0,0.001,4m,1.0,4.0,1.8,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686,0.008,2m,2.5,1.5,0.9,424,758.0,0.009000000000000001,2m,3.0,3.5,1.0,286.0,0.3,3,COMPLETE
28,28,1.3145654076438549,2025-06-14 19:33:20.810998,2025-06-14 19:33:21.632044,0 days 00:00:00.821046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018,0.005,4m,2.0,1.0,0.8,840,,,,,,,,0.5,1,COMPLETE
29,29,-0.022252589779266713,2025-06-14 19:33:21.671757,2025-06-14 19:33:24.425598,0 days 00:00:02.753841,426.0,0.004,2m,3.0,2.5,0.5,978.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,0.002,3m,3.5,2.0,1.2000000000000002,1024,536.0,0.006,2m,1.5,1.0,0.7,788.0,0.4,3,COMPLETE
30,30,1.399078199231268,2025-06-14 19:33:24.473834,2025-06-14 19:33:26.223243,0 days 00:00:01.749409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,0.01,1m,4.0,1.5,1.5,786,438.0,0.008,4m,3.5,2.0,1.3,440.0,0.35000000000000003,2,COMPLETE
31,31,3.4148083954293726,2025-06-14 19:33:26.267162,2025-06-14 19:33:29.672743,0 days 00:00:03.405581,80.0,0.005,3m,2.0,1.5,1.2000000000000002,302.0,,,,,,,,,,,,,,,778.0,0.003,2m,3.0,2.5,1.0,970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,0.008,1m,4.0,1.0,0.7,702,556.0,0.007,2m,2.5,2.5,0.8,660.0,0.45,4,COMPLETE
32,32,2.9983343093571313,2025-06-14 19:33:29.765462,2025-06-14 19:33:32.466101,0 days 00:00:02.700639,190.0,0.009000000000000001,3m,3.0,1.5,0.8,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,0.007,1m,4.0,1.0,0.6,950,590.0,0.009000000000000001,2m,2.0,2.5,0.9,506.0,0.5,3,COMPLETE
33,33,-6.822740943546055,2025-06-14 19:33:32.522369,2025-06-14 19:33:37.724845,0 days 00:00:05.202476,454.0,0.006,3m,2.0,2.0,1.2000000000000002,364.0,,,,,,,,654.0,0.001,1m,1.0,3.0,0.9,686.0,212.0,0.009000000000000001,2m,2.0,3.0,1.4,518.0,,,,,,,,,,,,,,,,,,,,,,652.0,0.001,3m,4.0,2.0,0.6,76.0,356,0.008,1m,3.5,1.5,0.6,754,630.0,0.006,2m,2.5,1.5,0.7,632.0,0.45,6,COMPLETE
34,34,0.07920517009331468,2025-06-14 19:33:37.774763,2025-06-14 19:33:39.599539,0 days 00:00:01.824776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,0.008,1m,4.0,1.0,0.5,580,778.0,0.008,2m,3.0,3.5,1.1,836.0,0.4,2,COMPLETE
35,35,-2.645541840856322,2025-06-14 19:33:39.698361,2025-06-14 19:33:43.819678,0 days 00:00:04.121317,242.0,0.01,1m,3.0,2.5,1.5,206.0,,,,,,,,376.0,0.001,3m,2.0,1.0,2.0,16.0,494.0,0.007,3m,3.5,3.5,2.0,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,0.007,4m,4.0,1.0,0.6,864,428.0,0.007,2m,2.5,2.0,0.9,720.0,0.3,5,COMPLETE
36,36,-1.2687746172804835,2025-06-14 19:33:43.868938,2025-06-14 19:33:46.624085,0 days 00:00:02.755147,874.0,0.005,3m,1.5,1.0,1.0,690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,0.01,2m,3.5,2.0,1.3,704,276.0,0.004,3m,1.0,2.5,1.4,330.0,0.45,3,COMPLETE
37,37,-2.478589771370983,2025-06-14 19:33:46.686313,2025-06-14 19:33:47.734631,0 days 00:00:01.048318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,0.006,1m,1.0,4.0,0.8,932,,,,,,,,0.35000000000000003,1,COMPLETE
38,38,-3.073594537015824,2025-06-14 19:33:47.786343,2025-06-14 19:33:54.335304,0 days 00:00:06.548961,654.0,0.009000000000000001,3m,3.5,1.5,0.7,110.0,,,,,,,,776.0,0.008,1m,4.0,2.0,1.6,606.0,18.0,0.003,4m,1.5,2.5,1.1,428.0,996.0,0.001,1m,4.0,4.0,0.6,992.0,,,,,,,,,,,,,,,26.0,0.01,2m,2.5,2.5,0.9,982.0,896,0.009000000000000001,4m,1.5,1.5,1.0,432,934.0,0.005,1m,3.5,3.0,1.2000000000000002,472.0,0.5,7,COMPLETE
