,number,value,datetime_start,datetime_complete,duration,params_ADSK_ZM_beta_win,params_ADSK_ZM_stop_loss,params_ADSK_ZM_trade_freq,params_ADSK_ZM_z_entry,params_ADSK_ZM_z_exit,params_ADSK_ZM_z_stop_scaler,params_ADSK_ZM_z_win,params_AVGO_ILMN_beta_win,params_AVGO_ILMN_stop_loss,params_AVGO_ILMN_trade_freq,params_AVGO_ILMN_z_entry,params_AVGO_ILMN_z_exit,params_AVGO_ILMN_z_stop_scaler,params_AVGO_ILMN_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_DXCM_ORLY_beta_win,params_DXCM_ORLY_stop_loss,params_DXCM_ORLY_trade_freq,params_DXCM_ORLY_z_entry,params_DXCM_ORLY_z_exit,params_DXCM_ORLY_z_stop_scaler,params_DXCM_ORLY_z_win,params_KDP_ZM_beta_win,params_KDP_ZM_stop_loss,params_KDP_ZM_trade_freq,params_KDP_ZM_z_entry,params_KDP_ZM_z_exit,params_KDP_ZM_z_stop_scaler,params_KDP_ZM_z_win,params_LCID_ZM_beta_win,params_LCID_ZM_stop_loss,params_LCID_ZM_trade_freq,params_LCID_ZM_z_entry,params_LCID_ZM_z_exit,params_LCID_ZM_z_stop_scaler,params_LCID_ZM_z_win,params_LULU_VRTX_beta_win,params_LULU_VRTX_stop_loss,params_LULU_VRTX_trade_freq,params_LULU_VRTX_z_entry,params_LULU_VRTX_z_exit,params_LULU_VRTX_z_stop_scaler,params_LULU_VRTX_z_win,params_PAYX_ZM_beta_win,params_PAYX_ZM_stop_loss,params_PAYX_ZM_trade_freq,params_PAYX_ZM_z_entry,params_PAYX_ZM_z_exit,params_PAYX_ZM_z_stop_scaler,params_PAYX_ZM_z_win,params_PYPL_ZM_beta_win,params_PYPL_ZM_stop_loss,params_PYPL_ZM_trade_freq,params_PYPL_ZM_z_entry,params_PYPL_ZM_z_exit,params_PYPL_ZM_z_stop_scaler,params_PYPL_ZM_z_win,params_QCOM_ZM_beta_win,params_QCOM_ZM_stop_loss,params_QCOM_ZM_trade_freq,params_QCOM_ZM_z_entry,params_QCOM_ZM_z_exit,params_QCOM_ZM_z_stop_scaler,params_QCOM_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
39,39,-2.137928248459572,2025-06-14 19:33:54.400131,2025-06-14 19:34:01.206931,0 days 00:00:06.806800,20.0,0.007,1m,2.0,2.0,1.4,302.0,,,,,,,,,,,,,,,334.0,0.009000000000000001,2m,2.5,3.5,0.7,872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544,0.008,3m,3.0,3.5,1.4,128,710.0,0.009000000000000001,3m,3.0,1.5,0.6,606.0,0.3,4,COMPLETE
40,40,1.1025242981840928,2025-06-14 19:34:01.320555,2025-06-14 19:34:08.230040,0 days 00:00:06.909485,332.0,0.002,4m,3.0,2.5,1.7000000000000002,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,406,0.009000000000000001,1m,4.0,1.5,2.0,642,602.0,0.006,2m,2.0,2.5,0.8,956.0,0.2,3,COMPLETE
41,41,0.39943249454828156,2025-06-14 19:34:08.347509,2025-06-14 19:34:18.696733,0 days 00:00:10.349224,92.0,0.005,3m,2.0,1.5,1.2000000000000002,272.0,,,,,,,,290.0,0.004,4m,1.5,4.0,0.5,1022.0,782.0,0.003,2m,3.0,2.5,1.1,1020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,0.008,1m,4.0,1.0,0.7,698,550.0,0.007,2m,2.5,2.5,0.8,684.0,0.45,5,COMPLETE
42,42,-5.132193467160931,2025-06-14 19:34:18.780684,2025-06-14 19:34:22.387360,0 days 00:00:03.606676,154.0,0.003,3m,1.5,1.0,1.1,372.0,,,,,,,,,,,,,,,834.0,0.003,2m,3.5,2.0,1.0,928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,0.009000000000000001,1m,4.0,1.0,0.5,776,424.0,0.007,2m,2.5,2.0,0.6,540.0,0.4,4,COMPLETE
43,43,-0.11932489580242477,2025-06-14 19:34:22.480303,2025-06-14 19:34:26.663370,0 days 00:00:04.183067,86.0,0.006,3m,2.0,1.5,1.3,210.0,,,,,,,,232.0,0.004,2m,2.5,2.5,0.9,466.0,582.0,0.005,2m,2.5,2.0,1.5,772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,0.008,1m,3.5,1.0,0.8,814,586.0,0.009000000000000001,2m,3.0,3.0,1.0,728.0,0.45,5,COMPLETE
44,44,-2.0320641803004986,2025-06-14 19:34:26.719679,2025-06-14 19:34:27.663360,0 days 00:00:00.943681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,0.007,1m,4.0,1.0,0.6,712,,,,,,,,0.4,1,COMPLETE
45,45,-5.276874788853659,2025-06-14 19:34:27.712224,2025-06-14 19:34:36.204362,0 days 00:00:08.492138,240.0,0.005,3m,1.0,2.0,1.0,324.0,984.0,0.005,1m,1.0,1.0,1.5,978.0,752.0,0.008,2m,1.5,3.0,1.8,822.0,834.0,0.002,2m,1.5,3.0,0.6,632.0,88.0,0.01,1m,3.5,4.0,2.0,48.0,972.0,0.001,2m,1.0,4.0,1.9000000000000001,984.0,1014.0,0.01,3m,4.0,4.0,2.0,48.0,672.0,0.001,1m,1.5,4.0,2.0,316.0,480,0.006,1m,3.5,1.5,0.7,590,768.0,0.008,2m,2.5,2.5,2.0,626.0,0.5,10,COMPLETE
46,46,1.561303559132146,2025-06-14 19:34:36.239446,2025-06-14 19:34:38.043443,0 days 00:00:01.803997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,0.009000000000000001,1m,4.0,1.0,0.9,972,888.0,0.007,4m,1.5,3.0,0.7,910.0,0.45,2,COMPLETE
47,47,-5.1452465108195735,2025-06-14 19:34:38.117868,2025-06-14 19:34:43.395739,0 days 00:00:05.277871,464.0,0.003,3m,2.5,2.5,0.8,438.0,,,,,,,,508.0,0.01,1m,3.5,1.5,1.4,74.0,718.0,0.004,2m,3.5,2.5,1.2000000000000002,922.0,,,,,,,,,,,,,,,,,,,,,,236.0,0.005,3m,3.0,1.0,0.9,720.0,726,0.004,2m,3.5,1.5,0.5,906,522.0,0.01,3m,3.0,3.5,0.5,578.0,0.4,6,COMPLETE
48,48,-3.985716824524973,2025-06-14 19:34:43.489287,2025-06-14 19:34:52.194971,0 days 00:00:08.705684,116.0,0.001,2m,2.5,1.5,1.4,90.0,22.0,0.01,2m,1.0,4.0,0.5,100.0,228.0,0.005,4m,3.0,3.0,1.0,792.0,472.0,0.006,4m,2.5,4.0,1.8,810.0,1010.0,0.001,3m,3.0,2.5,1.1,314.0,,,,,,,,28.0,0.006,2m,1.0,2.5,1.9000000000000001,1016.0,752.0,0.007,1m,3.5,2.5,0.9,708.0,684,0.008,1m,3.0,1.0,0.8,860,210.0,0.007,2m,3.5,2.0,0.8,820.0,0.35000000000000003,9,COMPLETE
49,49,-5.322115919062692,2025-06-14 19:34:52.266358,2025-06-14 19:34:56.104321,0 days 00:00:03.837963,300.0,0.003,1m,1.5,1.0,1.1,584.0,,,,,,,,,,,,,,,112.0,0.002,3m,3.0,3.5,0.9,972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,806,0.001,4m,2.5,2.0,0.6,974,94.0,0.006,1m,2.0,3.0,0.9,674.0,0.45,4,COMPLETE
50,50,-2.3706389227143054,2025-06-14 19:34:56.165588,2025-06-14 19:34:57.261025,0 days 00:00:01.095437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596,0.007,1m,4.0,3.0,1.1,456,,,,,,,,0.1,1,COMPLETE
51,51,-0.6316952205733375,2025-06-14 19:34:57.337491,2025-06-14 19:34:58.438817,0 days 00:00:01.101326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,0.006,1m,3.0,1.0,0.5,896,,,,,,,,0.35000000000000003,1,COMPLETE
52,52,-1.018728101031344,2025-06-14 19:34:58.516368,2025-06-14 19:35:00.485375,0 days 00:00:01.969007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,0.005,1m,2.5,1.0,0.5,992,820.0,0.008,2m,2.5,2.5,1.6,738.0,0.35000000000000003,2,COMPLETE
53,53,2.0266010704442934,2025-06-14 19:35:00.545177,2025-06-14 19:35:01.636881,0 days 00:00:01.091704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,0.006,1m,3.5,1.0,0.7,822,,,,,,,,0.4,1,COMPLETE
54,54,-4.4421555387623695,2025-06-14 19:35:01.697497,2025-06-14 19:35:03.909936,0 days 00:00:02.212439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,0.004,1m,2.0,1.5,1.8,928,476.0,0.009000000000000001,4m,3.5,2.5,0.7,480.0,0.25,2,COMPLETE
55,55,-0.12873659771052817,2025-06-14 19:35:03.971224,2025-06-14 19:35:05.158098,0 days 00:00:01.186874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,0.003,1m,3.0,1.0,0.6,972,,,,,,,,0.4,1,COMPLETE
56,56,-3.042272333335,2025-06-14 19:35:05.213967,2025-06-14 19:35:08.363406,0 days 00:00:03.149439,618.0,0.007,3m,3.0,2.0,0.9,470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448,0.007,3m,3.5,1.5,0.5,738,274.0,0.005,2m,1.5,4.0,0.6,222.0,0.3,3,COMPLETE
57,57,-1.1180269888168204,2025-06-14 19:35:08.410930,2025-06-14 19:35:10.754694,0 days 00:00:02.343764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,0.002,1m,4.0,1.0,0.7,664,384.0,0.004,3m,2.5,3.0,1.3,126.0,0.35000000000000003,2,COMPLETE
58,58,-1.9645379801782625,2025-06-14 19:35:10.823419,2025-06-14 19:35:17.867762,0 days 00:00:07.044343,196.0,0.006,3m,2.0,2.0,0.5,410.0,,,,,,,,988.0,0.002,3m,2.0,2.0,1.3,374.0,618.0,0.004,1m,2.0,3.0,1.2000000000000002,690.0,30.0,0.01,2m,2.5,1.5,1.4,996.0,,,,,,,,,,,,,,,538.0,0.003,4m,2.0,2.0,1.5,226.0,570,0.005,1m,2.5,1.0,1.0,804,650.0,0.01,1m,3.0,2.0,1.0,354.0,0.45,7,COMPLETE
59,59,4.31633586069985,2025-06-14 19:35:17.934529,2025-06-14 19:35:19.030648,0 days 00:00:01.096119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,0.006,2m,4.0,1.5,0.8,286,,,,,,,,0.4,1,COMPLETE
60,60,-0.36090568208857193,2025-06-14 19:35:19.092192,2025-06-14 19:35:20.183436,0 days 00:00:01.091244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,0.007,2m,4.0,1.5,0.9,244,,,,,,,,0.4,1,COMPLETE
61,61,-0.32687699260084385,2025-06-14 19:35:20.235557,2025-06-14 19:35:21.420076,0 days 00:00:01.184519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,0.006,2m,4.0,1.0,0.7,334,,,,,,,,0.4,1,COMPLETE
62,62,-0.0016420833603989072,2025-06-14 19:35:21.486758,2025-06-14 19:35:23.352457,0 days 00:00:01.865699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,0.006,2m,3.5,1.0,0.8,534,704.0,0.003,2m,2.0,1.5,1.2000000000000002,538.0,0.35000000000000003,2,COMPLETE
63,63,2.445604699994542,2025-06-14 19:35:23.420855,2025-06-14 19:35:24.592680,0 days 00:00:01.171825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,0.005,2m,4.0,1.0,0.6,42,,,,,,,,0.5,1,COMPLETE
64,64,-1.3521442819108516,2025-06-14 19:35:24.648768,2025-06-14 19:35:26.677515,0 days 00:00:02.028747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,0.007,1m,1.5,1.0,0.9,148,478.0,0.006,2m,3.5,3.5,1.4,890.0,0.45,2,COMPLETE
65,65,0.4793457518902363,2025-06-14 19:35:26.754906,2025-06-14 19:35:29.454248,0 days 00:00:02.699342,514.0,0.008,4m,2.5,1.5,2.0,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,0.008,2m,4.0,1.5,0.6,360,132.0,0.007,4m,3.0,1.0,1.1,426.0,0.4,3,COMPLETE
66,66,5.965803126874327,2025-06-14 19:35:29.513437,2025-06-14 19:35:30.655109,0 days 00:00:01.141672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758,0.006,1m,3.5,1.0,1.1,1020,,,,,,,,0.35000000000000003,1,COMPLETE
67,67,3.6130567597096968,2025-06-14 19:35:30.715008,2025-06-14 19:35:31.870569,0 days 00:00:01.155561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,0.004,1m,3.5,1.0,1.2000000000000002,1004,,,,,,,,0.45,1,COMPLETE
68,68,0.6220148648241984,2025-06-14 19:35:31.930873,2025-06-14 19:35:32.959468,0 days 00:00:01.028595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950,0.003,3m,3.5,2.5,1.2000000000000002,992,,,,,,,,0.35000000000000003,1,COMPLETE
69,69,-100.0,2025-06-14 19:35:33.020761,2025-06-14 19:35:34.087289,0 days 00:00:01.066528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,0.002,4m,3.0,1.5,1.2000000000000002,1018,,,,,,,,0.5,1,COMPLETE
70,70,3.8006300803828528,2025-06-14 19:35:34.169859,2025-06-14 19:35:36.000130,0 days 00:00:01.830271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,0.004,1m,3.5,1.0,1.1,950,296.0,0.002,1m,4.0,1.5,1.6,276.0,0.45,2,COMPLETE
71,71,1.1455351629645154,2025-06-14 19:35:36.042345,2025-06-14 19:35:38.134961,0 days 00:00:02.092616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,0.004,1m,3.5,1.0,1.1,956,296.0,0.002,1m,4.0,1.5,1.8,126.0,0.45,2,COMPLETE
72,72,-0.4628659773973985,2025-06-14 19:35:38.205952,2025-06-14 19:35:40.040173,0 days 00:00:01.834221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,0.005,1m,3.5,1.0,1.3,910,328.0,0.002,1m,4.0,1.0,1.6,310.0,0.4,2,COMPLETE
73,73,-2.042681656642413,2025-06-14 19:35:40.126931,2025-06-14 19:35:41.160712,0 days 00:00:01.033781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708,0.004,1m,3.5,1.0,1.1,874,,,,,,,,0.45,1,COMPLETE
74,74,5.796127204191848,2025-06-14 19:35:41.225218,2025-06-14 19:35:42.301591,0 days 00:00:01.076373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,0.003,1m,3.0,1.5,1.4,1022,,,,,,,,0.45,1,COMPLETE
75,75,4.649428359106399,2025-06-14 19:35:42.365752,2025-06-14 19:35:43.507659,0 days 00:00:01.141907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,0.003,1m,3.0,1.5,1.4,1008,,,,,,,,0.4,1,COMPLETE
76,76,1.0009697680871625,2025-06-14 19:35:43.559211,2025-06-14 19:35:44.635592,0 days 00:00:01.076381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,0.003,1m,3.0,2.0,1.4,1004,,,,,,,,0.4,1,COMPLETE
77,77,0.1553448539080115,2025-06-14 19:35:44.685292,2025-06-14 19:35:46.787290,0 days 00:00:02.101998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812,0.003,1m,3.0,1.5,1.4,946,118.0,0.003,1m,4.0,1.0,1.7000000000000002,276.0,0.45,2,COMPLETE
78,78,2.657822838650044,2025-06-14 19:35:46.839374,2025-06-14 19:35:47.717912,0 days 00:00:00.878538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744,0.004,1m,3.0,1.5,1.5,1024,,,,,,,,0.5,1,COMPLETE
79,79,-2.0687114931777524,2025-06-14 19:35:47.769552,2025-06-14 19:35:49.794343,0 days 00:00:02.024791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,0.004,1m,2.5,2.5,1.2000000000000002,930,180.0,0.001,1m,4.0,1.5,1.5,136.0,0.3,2,COMPLETE
80,80,-2.322576971750485,2025-06-14 19:35:49.864529,2025-06-14 19:35:50.991878,0 days 00:00:01.127349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938,0.003,2m,3.0,2.0,1.6,988,,,,,,,,0.4,1,COMPLETE
81,81,4.171535220483159,2025-06-14 19:35:51.047397,2025-06-14 19:35:52.233541,0 days 00:00:01.186144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,0.002,1m,3.5,1.5,1.3,948,,,,,,,,0.4,1,COMPLETE
82,82,4.737502584746427,2025-06-14 19:35:52.281953,2025-06-14 19:35:53.529076,0 days 00:00:01.247123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786,0.002,1m,3.5,1.5,1.4,962,,,,,,,,0.45,1,COMPLETE
83,83,4.700562162205573,2025-06-14 19:35:53.594337,2025-06-14 19:35:54.826429,0 days 00:00:01.232092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774,0.002,1m,3.0,1.5,1.3,976,,,,,,,,0.4,1,COMPLETE
84,84,1.1763763316255713,2025-06-14 19:35:54.895279,2025-06-14 19:35:56.075671,0 days 00:00:01.180392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,0.001,1m,3.0,1.5,1.4,974,,,,,,,,0.35000000000000003,1,COMPLETE
85,85,5.681332333819251,2025-06-14 19:35:56.124677,2025-06-14 19:35:57.278440,0 days 00:00:01.153763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,0.002,1m,3.0,2.0,1.5,892,,,,,,,,0.4,1,COMPLETE
86,86,5.172747235561776,2025-06-14 19:35:57.349600,2025-06-14 19:35:58.621278,0 days 00:00:01.271678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782,0.002,1m,3.0,2.0,1.5,908,,,,,,,,0.4,1,COMPLETE
87,87,-4.058833755666293,2025-06-14 19:35:58.673533,2025-06-14 19:35:59.844149,0 days 00:00:01.170616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002,0.002,1m,2.5,2.0,1.5,886,,,,,,,,0.4,1,COMPLETE
88,88,0.1630674901726234,2025-06-14 19:35:59.909277,2025-06-14 19:36:01.061751,0 days 00:00:01.152474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878,0.001,4m,3.0,2.0,1.6,920,,,,,,,,0.4,1,COMPLETE
89,89,1.8280190885301943,2025-06-14 19:36:01.118067,2025-06-14 19:36:02.229319,0 days 00:00:01.111252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744,0.002,1m,3.0,2.0,1.4,844,,,,,,,,0.35000000000000003,1,COMPLETE
90,90,-3.110105187270249,2025-06-14 19:36:02.308017,2025-06-14 19:36:04.377190,0 days 00:00:02.069173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914,0.002,3m,3.0,2.0,1.7000000000000002,194,1004.0,0.004,3m,1.0,4.0,2.0,1016.0,0.4,2,COMPLETE
91,91,4.936161478962982,2025-06-14 19:36:04.439911,2025-06-14 19:36:05.654854,0 days 00:00:01.214943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,0.002,1m,3.0,1.5,1.5,958,,,,,,,,0.4,1,COMPLETE
92,92,5.34841791887417,2025-06-14 19:36:05.709934,2025-06-14 19:36:06.863501,0 days 00:00:01.153567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,0.001,1m,3.0,1.5,1.5,972,,,,,,,,0.4,1,COMPLETE
93,93,-0.5319333007345517,2025-06-14 19:36:06.924313,2025-06-14 19:36:08.137936,0 days 00:00:01.213623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842,0.001,1m,3.0,2.0,1.5,896,,,,,,,,0.4,1,COMPLETE
94,94,5.400389347818443,2025-06-14 19:36:08.246776,2025-06-14 19:36:09.336017,0 days 00:00:01.089241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,0.001,1m,3.0,1.5,1.5,966,,,,,,,,0.45,1,COMPLETE
95,95,1.687732089807273,2025-06-14 19:36:09.394455,2025-06-14 19:36:11.422903,0 days 00:00:02.028448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,0.001,1m,2.5,1.5,1.7000000000000002,968,906.0,0.01,4m,1.0,4.0,1.8,972.0,0.45,2,COMPLETE
96,96,2.9363741202150315,2025-06-14 19:36:11.502188,2025-06-14 19:36:12.729127,0 days 00:00:01.226939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730,0.001,1m,3.0,2.5,1.5,916,,,,,,,,0.45,1,COMPLETE
97,97,2.841262309526694,2025-06-14 19:36:12.780185,2025-06-14 19:36:13.939333,0 days 00:00:01.159148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,0.002,1m,3.0,1.5,1.6,840,,,,,,,,0.45,1,COMPLETE
98,98,1.5402636744515192,2025-06-14 19:36:13.993610,2025-06-14 19:36:16.154280,0 days 00:00:02.160670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796,0.002,1m,3.0,1.5,1.3,992,832.0,0.005,3m,1.5,3.0,1.9000000000000001,918.0,0.45,2,COMPLETE
99,99,-1.038509877650484,2025-06-14 19:36:16.236582,2025-06-14 19:36:17.348476,0 days 00:00:01.111894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916,0.001,1m,2.5,2.0,1.5,878,,,,,,,,0.35000000000000003,1,COMPLETE
100,100,-3.8259761435554056,2025-06-14 19:36:17.444305,2025-06-14 19:36:25.209749,0 days 00:00:07.765444,812.0,0.001,1m,1.0,3.5,2.0,886.0,,,,,,,,672.0,0.007,3m,1.5,1.5,0.7,592.0,910.0,0.008,4m,4.0,1.0,0.5,102.0,814.0,0.003,2m,4.0,3.0,0.5,328.0,,,,,,,,1024.0,0.01,3m,4.0,2.0,1.1,88.0,808.0,0.008,2m,1.0,3.0,2.0,552.0,846,0.002,1m,3.0,1.5,1.6,928,28.0,0.009000000000000001,4m,3.5,3.5,1.3,38.0,0.5,8,COMPLETE
101,101,5.510843968023822,2025-06-14 19:36:25.265945,2025-06-14 19:36:26.332675,0 days 00:00:01.066730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,0.001,1m,3.0,1.5,1.4,962,,,,,,,,0.4,1,COMPLETE
102,102,0.6560791992724226,2025-06-14 19:36:26.385345,2025-06-14 19:36:27.668694,0 days 00:00:01.283349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,822,0.001,1m,3.0,1.5,1.4,966,,,,,,,,0.4,1,COMPLETE
103,103,5.900453098614737,2025-06-14 19:36:27.722518,2025-06-14 19:36:28.891336,0 days 00:00:01.168818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,788,0.001,1m,3.0,1.5,1.5,1024,,,,,,,,0.4,1,COMPLETE
104,104,1.7817727088192015,2025-06-14 19:36:28.962269,2025-06-14 19:36:30.142970,0 days 00:00:01.180701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698,0.001,1m,3.0,1.5,1.5,998,,,,,,,,0.35000000000000003,1,COMPLETE
105,105,-0.004344623120397776,2025-06-14 19:36:30.218096,2025-06-14 19:36:32.265473,0 days 00:00:02.047377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720,0.001,1m,3.0,2.0,1.6,940,248.0,0.003,3m,1.5,1.0,1.5,172.0,0.05,2,COMPLETE
106,106,0.20098578927568553,2025-06-14 19:36:32.330170,2025-06-14 19:36:33.441663,0 days 00:00:01.111493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,666,0.001,1m,2.5,1.5,1.7000000000000002,904,,,,,,,,0.45,1,COMPLETE
107,107,0.6377931768901517,2025-06-14 19:36:33.526512,2025-06-14 19:36:35.587168,0 days 00:00:02.060656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,868,0.001,1m,3.0,1.5,1.5,1024,740.0,0.01,4m,3.5,2.0,0.9,794.0,0.4,2,COMPLETE
108,108,5.115550140871594,2025-06-14 19:36:35.682135,2025-06-14 19:36:36.888430,0 days 00:00:01.206295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,0.002,1m,3.0,3.0,1.4,858,,,,,,,,0.2,1,COMPLETE
