,number,value,datetime_start,datetime_complete,duration,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AEP_MELI_beta_win,params_AEP_MELI_stop_loss,params_AEP_MELI_trade_freq,params_AEP_MELI_z_entry,params_AEP_MELI_z_exit,params_AEP_MELI_z_stop_scaler,params_AEP_MELI_z_win,params_AXON_MSTR_beta_win,params_AXON_MSTR_stop_loss,params_AXON_MSTR_trade_freq,params_AXON_MSTR_z_entry,params_AXON_MSTR_z_exit,params_AXON_MSTR_z_stop_scaler,params_AXON_MSTR_z_win,params_BIIB_MCHP_beta_win,params_BIIB_MCHP_stop_loss,params_BIIB_MCHP_trade_freq,params_BIIB_MCHP_z_entry,params_BIIB_MCHP_z_exit,params_BIIB_MCHP_z_stop_scaler,params_BIIB_MCHP_z_win,params_CDW_IDXX_beta_win,params_CDW_IDXX_stop_loss,params_CDW_IDXX_trade_freq,params_CDW_IDXX_z_entry,params_CDW_IDXX_z_exit,params_CDW_IDXX_z_stop_scaler,params_CDW_IDXX_z_win,params_CMCSA_INTU_beta_win,params_CMCSA_INTU_stop_loss,params_CMCSA_INTU_trade_freq,params_CMCSA_INTU_z_entry,params_CMCSA_INTU_z_exit,params_CMCSA_INTU_z_stop_scaler,params_CMCSA_INTU_z_win,params_CSCO_DASH_beta_win,params_CSCO_DASH_stop_loss,params_CSCO_DASH_trade_freq,params_CSCO_DASH_z_entry,params_CSCO_DASH_z_exit,params_CSCO_DASH_z_stop_scaler,params_CSCO_DASH_z_win,params_DASH_FTNT_beta_win,params_DASH_FTNT_stop_loss,params_DASH_FTNT_trade_freq,params_DASH_FTNT_z_entry,params_DASH_FTNT_z_exit,params_DASH_FTNT_z_stop_scaler,params_DASH_FTNT_z_win,params_NFLX_PLTR_beta_win,params_NFLX_PLTR_stop_loss,params_NFLX_PLTR_trade_freq,params_NFLX_PLTR_z_entry,params_NFLX_PLTR_z_exit,params_NFLX_PLTR_z_stop_scaler,params_NFLX_PLTR_z_win,params_PAYX_XEL_beta_win,params_PAYX_XEL_stop_loss,params_PAYX_XEL_trade_freq,params_PAYX_XEL_z_entry,params_PAYX_XEL_z_exit,params_PAYX_XEL_z_stop_scaler,params_PAYX_XEL_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-4.490228871629412,2025-06-14 20:12:39.437532,2025-06-14 20:12:46.697796,0 days 00:00:07.260264,542.0,0.004,4m,1.0,4.0,2.0,56.0,640,0.006,4m,1.0,1.0,0.5,52,340.0,0.001,4m,1.0,4.0,2.0,24.0,142.0,0.001,3m,1.5,1.5,0.5,52.0,852.0,0.01,4m,4.0,4.0,0.5,1006.0,982.0,0.001,3m,4.0,1.0,0.7,148.0,1008.0,0.001,4m,4.0,1.5,0.5,1022.0,454.0,0.003,3m,3.0,4.0,0.6,498.0,990.0,0.006,3m,1.5,1.0,0.5,746.0,990.0,0.001,1m,1.0,4.0,2.0,1012.0,0.3,10,COMPLETE
11,11,1.7213793015317265,2025-06-14 20:12:46.762549,2025-06-14 20:12:47.587022,0 days 00:00:00.824473,,,,,,,,706,0.007,2m,3.0,1.5,2.0,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
12,12,-1.1984482187324015,2025-06-14 20:12:47.647326,2025-06-14 20:12:52.781070,0 days 00:00:05.133744,506.0,0.004,4m,1.5,4.0,2.0,218.0,696,0.006,2m,2.5,2.0,1.7000000000000002,182,254.0,0.003,4m,1.0,2.5,1.7000000000000002,710.0,,,,,,,,52.0,0.001,1m,3.0,2.5,0.7,214.0,712.0,0.001,3m,2.5,1.0,0.9,234.0,,,,,,,,46.0,0.001,2m,1.0,3.0,1.0,34.0,548.0,0.004,1m,1.5,1.5,1.0,372.0,,,,,,,,0.25,7,COMPLETE
13,13,-2.6694502462392915,2025-06-14 20:12:52.836291,2025-06-14 20:12:53.660675,0 days 00:00:00.824384,,,,,,,,792,0.007,2m,3.0,1.5,1.6,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
14,14,-2.548964810927552,2025-06-14 20:12:53.703375,2025-06-14 20:12:54.491330,0 days 00:00:00.787955,,,,,,,,502,0.007,4m,1.0,2.5,1.1,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
15,15,-2.5534416476371087,2025-06-14 20:12:54.534297,2025-06-14 20:13:00.288632,0 days 00:00:05.754335,330.0,0.01,4m,1.5,1.0,1.7000000000000002,270.0,806,0.004,2m,3.0,1.0,1.5,20,726.0,0.001,1m,1.5,4.0,0.8,32.0,,,,,,,,1024.0,0.009000000000000001,4m,3.0,2.5,1.0,404.0,36.0,0.004,1m,2.5,2.0,1.2000000000000002,448.0,764.0,0.009000000000000001,4m,3.5,2.5,1.9000000000000001,928.0,396.0,0.004,2m,3.0,4.0,0.9,500.0,1012.0,0.008,3m,1.0,2.0,0.5,766.0,,,,,,,,0.35000000000000003,8,COMPLETE
16,16,-1.664705383767637,2025-06-14 20:13:00.355370,2025-06-14 20:13:06.662011,0 days 00:00:06.306641,640.0,0.004,4m,1.5,2.5,1.8,26.0,36,0.01,4m,2.0,1.5,2.0,190,1010.0,0.004,2m,2.0,3.0,1.5,600.0,134.0,0.001,2m,3.0,3.0,0.6,1014.0,686.0,0.003,3m,2.5,3.5,0.9,886.0,684.0,0.01,3m,3.5,2.5,1.2000000000000002,38.0,74.0,0.004,3m,1.0,2.0,1.0,30.0,672.0,0.001,3m,3.5,2.5,0.9,322.0,450.0,0.001,3m,2.0,4.0,1.1,1016.0,,,,,,,,0.2,9,COMPLETE
17,17,-4.169970523909445,2025-06-14 20:13:06.729258,2025-06-14 20:13:10.989191,0 days 00:00:04.259933,306.0,0.005,4m,3.5,2.5,1.4,358.0,584,0.005,1m,2.0,3.0,1.0,1000,198.0,0.01,4m,4.0,2.0,0.5,834.0,,,,,,,,,,,,,,,718.0,0.003,2m,2.0,2.0,0.5,338.0,,,,,,,,748.0,0.007,2m,2.0,3.0,1.3,704.0,382.0,0.005,1m,4.0,3.5,0.8,28.0,,,,,,,,0.35000000000000003,6,COMPLETE
18,18,1.5064297095722612,2025-06-14 20:13:11.038816,2025-06-14 20:13:12.601153,0 days 00:00:01.562337,,,,,,,,432,0.002,2m,3.5,2.0,1.5,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.0,0.008,3m,2.0,2.0,1.3,250.0,,,,,,,,0.25,2,COMPLETE
19,19,0.8874758133832392,2025-06-14 20:13:12.676815,2025-06-14 20:13:14.210493,0 days 00:00:01.533678,,,,,,,,766,0.001,2m,3.5,2.5,1.7000000000000002,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,664.0,0.008,3m,2.0,1.0,1.4,192.0,,,,,,,,0.4,2,COMPLETE
