,number,value,datetime_start,datetime_complete,duration,params_AMAT_TXN_beta_win,params_AMAT_TXN_stop_loss,params_AMAT_TXN_trade_freq,params_AMAT_TXN_z_entry,params_AMAT_TXN_z_exit,params_AMAT_TXN_z_stop_scaler,params_AMAT_TXN_z_win,params_ASML_CSCO_beta_win,params_ASML_CSCO_stop_loss,params_ASML_CSCO_trade_freq,params_ASML_CSCO_z_entry,params_ASML_CSCO_z_exit,params_ASML_CSCO_z_stop_scaler,params_ASML_CSCO_z_win,params_CHTR_CTAS_beta_win,params_CHTR_CTAS_stop_loss,params_CHTR_CTAS_trade_freq,params_CHTR_CTAS_z_entry,params_CHTR_CTAS_z_exit,params_CHTR_CTAS_z_stop_scaler,params_CHTR_CTAS_z_win,params_CMCSA_CSCO_beta_win,params_CMCSA_CSCO_stop_loss,params_CMCSA_CSCO_trade_freq,params_CMCSA_CSCO_z_entry,params_CMCSA_CSCO_z_exit,params_CMCSA_CSCO_z_stop_scaler,params_CMCSA_CSCO_z_win,params_CSCO_GOOGL_beta_win,params_CSCO_GOOGL_stop_loss,params_CSCO_GOOGL_trade_freq,params_CSCO_GOOGL_z_entry,params_CSCO_GOOGL_z_exit,params_CSCO_GOOGL_z_stop_scaler,params_CSCO_GOOGL_z_win,params_CSCO_GOOG_beta_win,params_CSCO_GOOG_stop_loss,params_CSCO_GOOG_trade_freq,params_CSCO_GOOG_z_entry,params_CSCO_GOOG_z_exit,params_CSCO_GOOG_z_stop_scaler,params_CSCO_GOOG_z_win,params_CSCO_NXPI_beta_win,params_CSCO_NXPI_stop_loss,params_CSCO_NXPI_trade_freq,params_CSCO_NXPI_z_entry,params_CSCO_NXPI_z_exit,params_CSCO_NXPI_z_stop_scaler,params_CSCO_NXPI_z_win,params_CSCO_SBUX_beta_win,params_CSCO_SBUX_stop_loss,params_CSCO_SBUX_trade_freq,params_CSCO_SBUX_z_entry,params_CSCO_SBUX_z_exit,params_CSCO_SBUX_z_stop_scaler,params_CSCO_SBUX_z_win,params_CSCO_TXN_beta_win,params_CSCO_TXN_stop_loss,params_CSCO_TXN_trade_freq,params_CSCO_TXN_z_entry,params_CSCO_TXN_z_exit,params_CSCO_TXN_z_stop_scaler,params_CSCO_TXN_z_win,params_LRCX_TXN_beta_win,params_LRCX_TXN_stop_loss,params_LRCX_TXN_trade_freq,params_LRCX_TXN_z_entry,params_LRCX_TXN_z_exit,params_LRCX_TXN_z_stop_scaler,params_LRCX_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
39,39,0.62916513242373,2025-06-14 19:00:19.941186,2025-06-14 19:00:21.032013,0 days 00:00:01.090827,,,,,,,,312,0.006,4m,1.5,4.0,0.7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
40,40,-9.444875003560789,2025-06-14 19:00:21.104353,2025-06-14 19:00:22.782022,0 days 00:00:01.677669,,,,,,,,16,0.007,4m,1.0,3.5,0.5,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914.0,0.003,1m,1.0,1.0,0.9,20.0,,,,,,,,,,,,,,,0.25,2,COMPLETE
41,41,-5.592740806877788,2025-06-14 19:00:22.837216,2025-06-14 19:00:27.260364,0 days 00:00:04.423148,406.0,0.009000000000000001,4m,1.0,4.0,1.0,360.0,190,0.005,4m,1.5,2.5,0.8,238,786.0,0.005,4m,3.0,2.0,0.7,416.0,,,,,,,,762.0,0.004,4m,4.0,2.0,1.5,1018.0,,,,,,,,,,,,,,,852.0,0.007,2m,2.0,2.5,1.6,744.0,,,,,,,,,,,,,,,0.1,5,COMPLETE
42,42,-7.158786235053244,2025-06-14 19:00:27.313490,2025-06-14 19:00:34.114275,0 days 00:00:06.800785,214.0,0.003,1m,3.0,3.0,0.8,696.0,366,0.004,4m,2.0,4.0,0.8,338,48.0,0.008,2m,2.0,3.0,1.4,334.0,,,,,,,,264.0,0.001,2m,2.0,1.0,0.5,618.0,1020.0,0.01,2m,4.0,4.0,2.0,1008.0,,,,,,,,734.0,0.007,4m,3.0,2.0,1.9000000000000001,408.0,1022.0,0.001,1m,4.0,4.0,0.6,140.0,82.0,0.001,1m,2.5,2.5,1.0,1006.0,0.05,8,COMPLETE
43,43,-2.578509220666268,2025-06-14 19:00:34.195870,2025-06-14 19:00:35.219285,0 days 00:00:01.023415,,,,,,,,444,0.006,4m,2.0,1.0,0.6,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
44,44,-0.015523515697914627,2025-06-14 19:00:35.275708,2025-06-14 19:00:37.992809,0 days 00:00:02.717101,774.0,0.007,3m,1.5,2.5,1.2000000000000002,490.0,238,0.005,1m,1.5,1.5,0.9,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608.0,0.01,1m,2.0,4.0,1.0,164.0,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
45,45,-0.6162015607142599,2025-06-14 19:00:38.067042,2025-06-14 19:00:39.924265,0 days 00:00:01.857223,,,,,,,,582,0.008,4m,1.5,2.0,0.8,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938.0,0.004,2m,3.5,2.5,1.7000000000000002,676.0,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
46,46,-100.0,2025-06-14 19:00:39.981303,2025-06-14 19:00:40.969258,0 days 00:00:00.987955,,,,,,,,146,0.009000000000000001,2m,4.0,3.5,1.8,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
47,47,-5.175001854759946,2025-06-14 19:00:41.025095,2025-06-14 19:00:42.970511,0 days 00:00:01.945416,,,,,,,,304,0.004,4m,2.0,3.0,2.0,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796.0,0.006,4m,2.5,1.5,1.9000000000000001,944.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
48,48,-2.8135063763842054,2025-06-14 19:00:43.022101,2025-06-14 19:00:51.376898,0 days 00:00:08.354797,432.0,0.005,2m,2.0,3.5,1.3,600.0,486,0.005,1m,1.0,2.0,0.5,296,230.0,0.003,3m,1.5,2.0,1.1,694.0,984.0,0.005,1m,1.0,1.0,1.5,936.0,758.0,0.004,1m,2.5,4.0,0.9,484.0,60.0,0.006,3m,1.0,2.5,2.0,66.0,988.0,0.001,3m,1.0,4.0,2.0,910.0,138.0,0.01,2m,3.0,3.0,1.3,788.0,32.0,0.01,1m,3.5,4.0,2.0,988.0,672.0,0.01,2m,1.5,1.0,2.0,704.0,0.05,10,COMPLETE
49,49,-4.229265020789137,2025-06-14 19:00:51.431092,2025-06-14 19:00:55.707345,0 days 00:00:04.276253,938.0,0.008,3m,3.0,2.5,2.0,948.0,402,0.006,2m,3.0,4.0,1.2000000000000002,224,644.0,0.006,1m,3.5,3.5,1.7000000000000002,1018.0,,,,,,,,228.0,0.01,2m,1.5,3.0,2.0,854.0,,,,,,,,,,,,,,,196.0,0.008,1m,1.0,3.0,1.7000000000000002,242.0,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
50,50,-3.8336865781925815,2025-06-14 19:00:55.761437,2025-06-14 19:00:59.149484,0 days 00:00:03.388047,704.0,0.003,1m,2.5,1.0,0.6,432.0,114,0.004,4m,1.5,1.5,0.6,496,866.0,0.009000000000000001,4m,1.0,2.5,0.7,820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674.0,0.007,1m,4.0,1.0,0.5,642.0,,,,,,,,,,,,,,,0.45,4,COMPLETE
51,51,0.41818276669348803,2025-06-14 19:00:59.218207,2025-06-14 19:01:00.179688,0 days 00:00:00.961481,,,,,,,,316,0.006,4m,1.5,4.0,0.7,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
52,52,-3.97014796329041,2025-06-14 19:01:00.274633,2025-06-14 19:01:01.312171,0 days 00:00:01.037538,,,,,,,,222,0.005,4m,1.5,4.0,0.7,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
53,53,-0.9842024566842005,2025-06-14 19:01:01.435681,2025-06-14 19:01:02.466653,0 days 00:00:01.030972,,,,,,,,322,0.01,4m,2.0,4.0,0.6,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
54,54,-1.811347493417298,2025-06-14 19:01:02.570465,2025-06-14 19:01:04.478698,0 days 00:00:01.908233,,,,,,,,266,0.007,4m,1.5,3.5,1.4,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,0.001,4m,3.5,4.0,1.6,388.0,,,,,,,,,,,,,,,0.2,2,COMPLETE
55,55,-2.509368408908168,2025-06-14 19:01:04.527053,2025-06-14 19:01:07.047536,0 days 00:00:02.520483,546.0,0.01,4m,4.0,3.0,0.7,520.0,396,0.003,2m,1.0,2.5,1.9000000000000001,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550.0,0.01,2m,2.5,2.5,1.9000000000000001,826.0,,,,,,,,,,,,,,,0.25,3,COMPLETE
56,56,-6.952768819495133,2025-06-14 19:01:07.153568,2025-06-14 19:01:09.007805,0 days 00:00:01.854237,,,,,,,,988,0.006,4m,2.0,4.0,1.0,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.0,0.004,1m,1.5,2.0,0.7,566.0,,,,,,,,,,,,,,,0.15000000000000002,2,COMPLETE
57,57,-6.554562728698571,2025-06-14 19:01:09.063128,2025-06-14 19:01:14.838902,0 days 00:00:05.775774,458.0,0.006,1m,1.5,1.5,1.1,340.0,698,0.004,2m,1.5,1.0,0.8,718,420.0,0.002,2m,4.0,4.0,1.2000000000000002,130.0,,,,,,,,740.0,0.008,1m,3.5,2.0,1.7000000000000002,26.0,,,,,,,,,,,,,,,366.0,0.008,1m,3.0,3.0,1.0,128.0,1006.0,0.01,2m,3.0,2.5,1.1,1020.0,716.0,0.005,3m,3.0,4.0,1.0,284.0,0.05,7,COMPLETE
58,58,-100.0,2025-06-14 19:01:14.897986,2025-06-14 19:01:24.050178,0 days 00:00:09.152192,,,,,,,,198,0.009000000000000001,1m,2.0,3.5,1.6,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
59,59,-0.7750592357691424,2025-06-14 19:01:24.126874,2025-06-14 19:01:26.895160,0 days 00:00:02.768286,956.0,0.008,2m,1.0,3.5,1.8,778.0,568,0.002,3m,2.5,3.0,0.7,418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.0,0.009000000000000001,3m,4.0,1.5,1.3,728.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
60,60,-4.412081356513478,2025-06-14 19:01:26.972810,2025-06-14 19:01:28.793341,0 days 00:00:01.820531,,,,,,,,366,0.005,4m,2.0,2.5,1.0,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794.0,0.005,1m,2.5,2.0,2.0,968.0,,,,,,,,,,,,,,,0.25,2,COMPLETE
61,61,0.14244439744609436,2025-06-14 19:01:28.854733,2025-06-14 19:01:30.587411,0 days 00:00:01.732678,,,,,,,,960,0.003,3m,3.0,4.0,0.5,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.0,0.008,3m,3.5,3.0,1.4,340.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
62,62,-1.7710234501539996,2025-06-14 19:01:30.644732,2025-06-14 19:01:31.726929,0 days 00:00:01.082197,,,,,,,,274,0.003,3m,2.5,3.5,0.5,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
63,63,-1.5644677500740498,2025-06-14 19:01:31.795623,2025-06-14 19:01:33.699867,0 days 00:00:01.904244,,,,,,,,872,0.004,3m,2.5,4.0,0.5,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0,0.008,3m,3.5,3.0,1.2000000000000002,252.0,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
64,64,5.695414077296473,2025-06-14 19:01:33.760558,2025-06-14 19:01:34.735638,0 days 00:00:00.975080,,,,,,,,1018,0.003,3m,1.5,3.5,0.6,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
65,65,-0.33971459907809015,2025-06-14 19:01:34.799743,2025-06-14 19:01:35.761334,0 days 00:00:00.961591,,,,,,,,780,0.002,3m,1.5,4.0,0.6,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
66,66,4.350525065451127,2025-06-14 19:01:35.818804,2025-06-14 19:01:36.797716,0 days 00:00:00.978912,,,,,,,,998,0.004,3m,1.5,3.0,0.9,860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
67,67,-0.688947178117235,2025-06-14 19:01:36.847027,2025-06-14 19:01:39.654642,0 days 00:00:02.807615,866.0,0.007,4m,2.5,4.0,1.4,820.0,1004,0.004,3m,1.0,3.0,0.9,916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.0,0.01,4m,3.0,1.0,1.8,488.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
68,68,3.4397604328138414,2025-06-14 19:01:39.743695,2025-06-14 19:01:40.802634,0 days 00:00:01.058939,,,,,,,,950,0.003,3m,1.5,3.0,1.8,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
69,69,5.0799287824819634,2025-06-14 19:01:40.884977,2025-06-14 19:01:41.912095,0 days 00:00:01.027118,,,,,,,,1012,0.003,3m,1.5,3.0,1.8,962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
70,70,3.042434584077464,2025-06-14 19:01:41.989675,2025-06-14 19:01:42.964432,0 days 00:00:00.974757,,,,,,,,954,0.001,3m,1.5,3.0,1.7000000000000002,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
71,71,6.091453341744222,2025-06-14 19:01:43.041290,2025-06-14 19:01:44.010222,0 days 00:00:00.968932,,,,,,,,1022,0.001,3m,1.5,3.0,1.8,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
72,72,-100.0,2025-06-14 19:01:44.061533,2025-06-14 19:01:45.142551,0 days 00:00:01.081018,,,,,,,,1020,0.001,3m,3.5,3.0,1.8,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
73,73,-0.4503989797379347,2025-06-14 19:01:45.197890,2025-06-14 19:01:46.230984,0 days 00:00:01.033094,,,,,,,,940,0.001,3m,1.0,3.0,1.7000000000000002,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
74,74,-0.2915228103483172,2025-06-14 19:01:46.284333,2025-06-14 19:01:48.180028,0 days 00:00:01.895695,,,,,,,,976,0.001,3m,1.5,3.0,1.7000000000000002,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.0,0.006,1m,2.0,4.0,0.7,830.0,,,,,,,,,,,,,,,0.25,2,COMPLETE
75,75,5.572606908105192,2025-06-14 19:01:48.258671,2025-06-14 19:01:49.186780,0 days 00:00:00.928109,,,,,,,,898,0.002,3m,1.5,3.0,1.9000000000000001,914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
76,76,6.024929796378381,2025-06-14 19:01:49.236574,2025-06-14 19:01:50.200107,0 days 00:00:00.963533,,,,,,,,894,0.002,3m,1.5,3.0,1.9000000000000001,908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
77,77,6.024929796378381,2025-06-14 19:01:50.247230,2025-06-14 19:01:51.310469,0 days 00:00:01.063239,,,,,,,,894,0.002,3m,1.5,2.5,1.9000000000000001,910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
78,78,2.6457639625724645,2025-06-14 19:01:51.356033,2025-06-14 19:01:52.360544,0 days 00:00:01.004511,,,,,,,,840,0.002,3m,1.0,2.5,2.0,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
79,79,-8.910672105573044,2025-06-14 19:01:52.406671,2025-06-14 19:01:54.202858,0 days 00:00:01.796187,,,,,,,,896,0.002,3m,1.5,2.5,1.9000000000000001,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,668.0,0.002,2m,1.5,1.0,0.6,86.0,,,,,,,,,,,,,,,0.2,2,COMPLETE
80,80,-19.789296599333614,2025-06-14 19:01:54.250161,2025-06-14 19:02:01.715478,0 days 00:00:07.465317,240.0,0.001,1m,1.0,1.0,0.5,200.0,1014,0.002,3m,1.0,2.5,1.9000000000000001,810,174.0,0.007,3m,2.5,1.0,1.8,572.0,42.0,0.01,2m,1.0,1.0,0.5,52.0,1008.0,0.005,3m,2.0,2.0,1.3,664.0,934.0,0.01,3m,4.0,2.5,1.2000000000000002,24.0,,,,,,,,74.0,0.002,4m,1.0,1.5,0.9,176.0,26.0,0.001,3m,3.0,1.5,1.4,320.0,296.0,0.007,4m,2.0,2.5,0.9,634.0,0.25,9,COMPLETE
81,81,5.055422078430722,2025-06-14 19:02:01.813390,2025-06-14 19:02:02.902019,0 days 00:00:01.088629,,,,,,,,982,0.003,3m,1.5,3.0,1.8,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
82,82,5.521436856605279,2025-06-14 19:02:02.980273,2025-06-14 19:02:04.015879,0 days 00:00:01.035606,,,,,,,,986,0.002,3m,1.5,3.0,1.8,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
83,83,4.584183202175234,2025-06-14 19:02:04.080588,2025-06-14 19:02:05.057794,0 days 00:00:00.977206,,,,,,,,992,0.002,3m,1.5,3.0,1.8,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
84,84,-1.199496499053207,2025-06-14 19:02:05.108583,2025-06-14 19:02:06.095953,0 days 00:00:00.987370,,,,,,,,924,0.002,3m,1.5,3.0,1.8,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
85,85,6.001756711004963,2025-06-14 19:02:06.143580,2025-06-14 19:02:07.072117,0 days 00:00:00.928537,,,,,,,,982,0.002,3m,1.5,3.0,1.9000000000000001,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
86,86,3.1778430518915846,2025-06-14 19:02:07.156055,2025-06-14 19:02:08.213398,0 days 00:00:01.057343,,,,,,,,894,0.001,3m,1.5,3.0,2.0,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
87,87,-2.2861339297361374,2025-06-14 19:02:08.285928,2025-06-14 19:02:10.225578,0 days 00:00:01.939650,,,,,,,,856,0.002,3m,1.5,3.5,1.9000000000000001,894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.0,0.003,2m,1.5,3.5,0.6,992.0,,,,,,,,,,,,,,,0.25,2,COMPLETE
88,88,-0.1506609146426267,2025-06-14 19:02:10.284411,2025-06-14 19:02:11.309344,0 days 00:00:01.024933,,,,,,,,798,0.003,3m,1.5,3.0,1.6,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
89,89,-1.643723916714147,2025-06-14 19:02:11.383975,2025-06-14 19:02:13.070446,0 days 00:00:01.686471,,,,,,,,904,0.001,3m,1.5,3.0,2.0,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,0.004,4m,1.0,4.0,0.9,34.0,,,,,,,,,,,,,,,0.25,2,COMPLETE
90,90,4.414586750865091,2025-06-14 19:02:13.139280,2025-06-14 19:02:14.222137,0 days 00:00:01.082857,,,,,,,,970,0.002,3m,1.0,3.0,1.9000000000000001,952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
91,91,5.231229167683412,2025-06-14 19:02:14.272035,2025-06-14 19:02:15.170669,0 days 00:00:00.898634,,,,,,,,980,0.002,3m,1.5,3.0,1.8,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
92,92,5.127442221593208,2025-06-14 19:02:15.223113,2025-06-14 19:02:16.154599,0 days 00:00:00.931486,,,,,,,,980,0.003,3m,1.5,3.0,1.8,898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
93,93,-0.12658267179573968,2025-06-14 19:02:16.206209,2025-06-14 19:02:17.183455,0 days 00:00:00.977246,,,,,,,,934,0.002,3m,1.5,2.5,1.9000000000000001,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
94,94,0.4719259718197399,2025-06-14 19:02:17.229731,2025-06-14 19:02:18.215074,0 days 00:00:00.985343,,,,,,,,1024,0.001,3m,2.0,3.5,1.8,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
95,95,-0.7942874256592284,2025-06-14 19:02:18.262300,2025-06-14 19:02:19.144451,0 days 00:00:00.882151,,,,,,,,928,0.002,3m,1.5,3.0,1.9000000000000001,940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
96,96,2.187281570546113,2025-06-14 19:02:19.191452,2025-06-14 19:02:20.666149,0 days 00:00:01.474697,,,,,,,,974,0.003,3m,1.5,3.5,1.7000000000000002,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.0,0.001,2m,1.5,3.5,0.8,914.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
97,97,2.7498587029592323,2025-06-14 19:02:20.731049,2025-06-14 19:02:22.435826,0 days 00:00:01.704777,,,,,,,,944,0.002,3m,1.0,3.0,2.0,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882.0,0.005,4m,2.0,4.0,0.6,638.0,,,,,,,,,,,,,,,0.25,2,COMPLETE
98,98,-1.2607568229810246,2025-06-14 19:02:22.502608,2025-06-14 19:02:23.554218,0 days 00:00:01.051610,,,,,,,,848,0.001,3m,2.0,3.0,1.5,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
99,99,2.4655369762346764,2025-06-14 19:02:23.603673,2025-06-14 19:02:24.663510,0 days 00:00:01.059837,,,,,,,,872,0.003,3m,1.5,2.5,1.8,1024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
100,100,-1.8709916607732262,2025-06-14 19:02:24.710808,2025-06-14 19:02:25.638945,0 days 00:00:00.928137,,,,,,,,808,0.002,3m,1.5,3.0,1.8,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
101,101,5.41261881943564,2025-06-14 19:02:25.704312,2025-06-14 19:02:26.732201,0 days 00:00:01.027889,,,,,,,,992,0.003,3m,1.5,3.0,1.8,974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
102,102,3.9761127954664697,2025-06-14 19:02:26.785996,2025-06-14 19:02:27.825293,0 days 00:00:01.039297,,,,,,,,998,0.003,3m,1.5,3.0,1.9000000000000001,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
103,103,3.4495773849444187,2025-06-14 19:02:27.870634,2025-06-14 19:02:28.839552,0 days 00:00:00.968918,,,,,,,,966,0.003,3m,1.5,2.5,1.7000000000000002,990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
104,104,-6.324332130115351,2025-06-14 19:02:28.883305,2025-06-14 19:02:30.665719,0 days 00:00:01.782414,,,,,,,,908,0.002,1m,1.5,3.0,1.9000000000000001,896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,0.003,2m,1.5,2.0,1.1,860.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
105,105,5.187177159747553,2025-06-14 19:02:30.724621,2025-06-14 19:02:31.715012,0 days 00:00:00.990391,,,,,,,,990,0.003,3m,1.5,3.5,2.0,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
106,106,4.0046065981156005,2025-06-14 19:02:31.770376,2025-06-14 19:02:32.814881,0 days 00:00:01.044505,,,,,,,,878,0.002,3m,1.5,3.5,2.0,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
107,107,-5.921167174445451,2025-06-14 19:02:32.888869,2025-06-14 19:02:34.900906,0 days 00:00:02.012037,,,,,,,,982,0.001,3m,2.0,3.5,2.0,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.0,0.001,4m,1.0,2.5,0.8,92.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
108,108,-2.2076774730240296,2025-06-14 19:02:34.977613,2025-06-14 19:02:36.760769,0 days 00:00:01.783156,,,,,,,,950,0.002,3m,1.5,3.5,1.9000000000000001,882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890.0,0.002,2m,2.0,3.5,1.0,356.0,,,,,,,,,,,,,,,0.25,2,COMPLETE
