,number,value,datetime_start,datetime_complete,duration,params_AMAT_TXN_beta_win,params_AMAT_TXN_stop_loss,params_AMAT_TXN_trade_freq,params_AMAT_TXN_z_entry,params_AMAT_TXN_z_exit,params_AMAT_TXN_z_stop_scaler,params_AMAT_TXN_z_win,params_ASML_CSCO_beta_win,params_ASML_CSCO_stop_loss,params_ASML_CSCO_trade_freq,params_ASML_CSCO_z_entry,params_ASML_CSCO_z_exit,params_ASML_CSCO_z_stop_scaler,params_ASML_CSCO_z_win,params_CHTR_CTAS_beta_win,params_CHTR_CTAS_stop_loss,params_CHTR_CTAS_trade_freq,params_CHTR_CTAS_z_entry,params_CHTR_CTAS_z_exit,params_CHTR_CTAS_z_stop_scaler,params_CHTR_CTAS_z_win,params_CMCSA_CSCO_beta_win,params_CMCSA_CSCO_stop_loss,params_CMCSA_CSCO_trade_freq,params_CMCSA_CSCO_z_entry,params_CMCSA_CSCO_z_exit,params_CMCSA_CSCO_z_stop_scaler,params_CMCSA_CSCO_z_win,params_CSCO_GOOGL_beta_win,params_CSCO_GOOGL_stop_loss,params_CSCO_GOOGL_trade_freq,params_CSCO_GOOGL_z_entry,params_CSCO_GOOGL_z_exit,params_CSCO_GOOGL_z_stop_scaler,params_CSCO_GOOGL_z_win,params_CSCO_GOOG_beta_win,params_CSCO_GOOG_stop_loss,params_CSCO_GOOG_trade_freq,params_CSCO_GOOG_z_entry,params_CSCO_GOOG_z_exit,params_CSCO_GOOG_z_stop_scaler,params_CSCO_GOOG_z_win,params_CSCO_NXPI_beta_win,params_CSCO_NXPI_stop_loss,params_CSCO_NXPI_trade_freq,params_CSCO_NXPI_z_entry,params_CSCO_NXPI_z_exit,params_CSCO_NXPI_z_stop_scaler,params_CSCO_NXPI_z_win,params_CSCO_SBUX_beta_win,params_CSCO_SBUX_stop_loss,params_CSCO_SBUX_trade_freq,params_CSCO_SBUX_z_entry,params_CSCO_SBUX_z_exit,params_CSCO_SBUX_z_stop_scaler,params_CSCO_SBUX_z_win,params_CSCO_TXN_beta_win,params_CSCO_TXN_stop_loss,params_CSCO_TXN_trade_freq,params_CSCO_TXN_z_entry,params_CSCO_TXN_z_exit,params_CSCO_TXN_z_stop_scaler,params_CSCO_TXN_z_win,params_LRCX_TXN_beta_win,params_LRCX_TXN_stop_loss,params_LRCX_TXN_trade_freq,params_LRCX_TXN_z_entry,params_LRCX_TXN_z_exit,params_LRCX_TXN_z_stop_scaler,params_LRCX_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-100.0,2025-06-14 18:59:05.097105,2025-06-14 18:59:13.889549,0 days 00:00:08.792444,,,,,,,,640,0.006,2m,3.0,1.0,2.0,966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
11,11,3.642753637200588,2025-06-14 18:59:13.937485,2025-06-14 18:59:15.223593,0 days 00:00:01.286108,,,,,,,,1016,0.004,3m,2.0,2.5,1.7000000000000002,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.0,0.009000000000000001,1m,4.0,1.5,1.4,436.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
12,12,-2.526068590496019,2025-06-14 18:59:15.271411,2025-06-14 18:59:15.939881,0 days 00:00:00.668470,,,,,,,,746,0.005,2m,2.5,2.5,1.7000000000000002,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
13,13,0.015536795270994032,2025-06-14 18:59:15.987861,2025-06-14 18:59:17.278911,0 days 00:00:01.291050,,,,,,,,768,0.002,3m,2.0,2.0,1.6,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.0,0.008,1m,4.0,1.0,1.1,1018.0,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
14,14,-2.6563889643926424,2025-06-14 18:59:17.351548,2025-06-14 18:59:19.711874,0 days 00:00:02.360326,524.0,0.004,3m,1.5,4.0,0.9,46.0,538,0.006,2m,3.0,3.0,1.7000000000000002,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.0,0.008,1m,4.0,1.5,1.3,366.0,,,,,,,,,,,,,,,0.25,3,COMPLETE
15,15,-3.8973822798863935,2025-06-14 18:59:19.757055,2025-06-14 18:59:24.682964,0 days 00:00:04.925909,722.0,0.005,3m,3.5,1.0,1.7000000000000002,128.0,838,0.003,2m,3.5,1.5,1.5,426,504.0,0.001,3m,1.0,4.0,1.0,580.0,,,,,,,,964.0,0.001,1m,4.0,1.5,0.5,800.0,,,,,,,,,,,,,,,352.0,0.005,1m,3.0,2.0,2.0,330.0,,,,,,,,102.0,0.01,1m,4.0,1.5,0.6,30.0,0.35000000000000003,6,COMPLETE
16,16,-5.288714247859551,2025-06-14 18:59:24.768995,2025-06-14 18:59:26.452090,0 days 00:00:01.683095,,,,,,,,392,0.007,3m,1.0,3.0,1.9000000000000001,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.0,0.009000000000000001,1m,3.0,1.0,1.1,832.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
17,17,-4.130065863063115,2025-06-14 18:59:26.507142,2025-06-14 18:59:30.124300,0 days 00:00:03.617158,372.0,0.004,4m,3.0,2.5,0.9,612.0,76,0.01,1m,2.0,4.0,1.8,582,660.0,0.001,3m,1.0,2.5,1.3,1008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.0,0.006,1m,3.0,2.0,0.5,168.0,,,,,,,,,,,,,,,0.4,4,COMPLETE
18,18,-8.758620847468073,2025-06-14 18:59:30.176954,2025-06-14 18:59:31.878974,0 days 00:00:01.702020,,,,,,,,634,0.005,3m,3.5,2.0,1.4,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,0.009000000000000001,1m,2.0,2.0,1.5,1018.0,,,,,,,,,,,,,,,0.25,2,COMPLETE
19,19,-6.099421514568298,2025-06-14 18:59:31.943354,2025-06-14 18:59:35.632454,0 days 00:00:03.689100,322.0,0.01,3m,2.0,2.5,0.5,230.0,474,0.007,2m,1.5,3.5,1.1,166,336.0,0.004,4m,3.5,1.0,0.5,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.0,0.008,1m,4.0,1.5,1.1,482.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
20,20,-15.991761583283342,2025-06-14 18:59:35.687723,2025-06-14 18:59:40.917062,0 days 00:00:05.229339,858.0,0.001,4m,3.0,4.0,1.5,646.0,864,0.003,2m,2.5,1.0,1.5,794,782.0,0.008,3m,2.0,2.5,0.9,40.0,,,,,,,,610.0,0.01,2m,1.0,2.5,0.9,676.0,,,,,,,,,,,,,,,644.0,0.005,1m,3.5,1.5,2.0,684.0,,,,,,,,668.0,0.002,3m,4.0,2.0,0.5,156.0,0.4,6,COMPLETE
21,21,-1.2158756884491593,2025-06-14 18:59:40.983558,2025-06-14 18:59:43.541781,0 days 00:00:02.558223,936.0,0.006,2m,3.5,3.0,1.7000000000000002,758.0,1024,0.004,3m,2.0,2.5,0.9,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,758.0,0.01,3m,3.5,2.5,1.5,480.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
22,22,0.05057981518777046,2025-06-14 18:59:43.604210,2025-06-14 18:59:44.577713,0 days 00:00:00.973503,,,,,,,,932,0.004,3m,2.0,2.5,2.0,586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
23,23,0.45981721905495726,2025-06-14 18:59:44.632627,2025-06-14 18:59:47.316498,0 days 00:00:02.683871,648.0,0.006,2m,3.5,2.0,1.6,878.0,916,0.003,3m,2.5,3.0,1.1,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.0,0.009000000000000001,3m,4.0,3.5,1.4,514.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
24,24,-1.6221477808731357,2025-06-14 18:59:47.366047,2025-06-14 18:59:49.187452,0 days 00:00:01.821405,,,,,,,,716,0.001,3m,1.5,1.5,1.8,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.0,0.01,3m,3.0,2.5,1.7000000000000002,282.0,,,,,,,,,,,,,,,0.25,2,COMPLETE
25,25,-1.2833090048080789,2025-06-14 18:59:49.271807,2025-06-14 18:59:52.544378,0 days 00:00:03.272571,838.0,0.004,2m,2.0,3.0,1.9000000000000001,688.0,1004,0.005,3m,2.0,2.5,1.6,670,376.0,0.003,2m,2.5,4.0,1.5,742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,0.009000000000000001,3m,3.5,3.5,1.8,424.0,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
26,26,-1.311801943728556,2025-06-14 18:59:52.598459,2025-06-14 18:59:57.150525,0 days 00:00:04.552066,912.0,0.01,3m,3.0,2.5,1.2000000000000002,1018.0,828,0.002,4m,3.0,3.5,0.7,802,800.0,0.002,1m,1.5,1.0,2.0,464.0,,,,,,,,374.0,0.008,3m,1.5,3.0,1.9000000000000001,22.0,,,,,,,,,,,,,,,538.0,0.008,1m,4.0,2.5,1.6,592.0,,,,,,,,,,,,,,,0.1,5,COMPLETE
27,27,-0.7823930428065178,2025-06-14 18:59:57.192494,2025-06-14 18:59:58.977265,0 days 00:00:01.784771,,,,,,,,638,0.006,1m,2.5,2.0,1.0,566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.0,0.009000000000000001,1m,3.5,3.0,1.2000000000000002,902.0,,,,,,,,,,,,,,,0.4,2,COMPLETE
28,28,-5.122295645749546,2025-06-14 18:59:59.048880,2025-06-14 19:00:01.616264,0 days 00:00:02.567384,654.0,0.007,2m,2.0,2.0,1.8,870.0,162,0.004,3m,1.5,2.5,1.9000000000000001,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.0,0.006,3m,3.0,2.0,1.4,636.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
29,29,-4.3230966320237165,2025-06-14 19:00:01.689330,2025-06-14 19:00:04.482655,0 days 00:00:02.793325,1016.0,0.005,3m,4.0,3.5,1.4,558.0,350,0.01,3m,3.5,1.5,1.3,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,0.01,4m,2.5,1.5,1.8,450.0,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
30,30,-100.0,2025-06-14 19:00:04.567000,2025-06-14 19:00:05.613651,0 days 00:00:01.046651,,,,,,,,918,0.007,2m,4.0,2.0,1.7000000000000002,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
31,31,0.34562492924802074,2025-06-14 19:00:05.656970,2025-06-14 19:00:08.298986,0 days 00:00:02.642016,652.0,0.006,2m,3.5,2.0,1.6,876.0,912,0.003,3m,2.5,3.0,1.1,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.0,0.009000000000000001,3m,4.0,3.5,1.4,540.0,,,,,,,,,,,,,,,0.3,3,COMPLETE
32,32,0.22379593722853774,2025-06-14 19:00:08.391048,2025-06-14 19:00:11.874650,0 days 00:00:03.483602,910.0,0.008,2m,3.5,2.0,1.5,754.0,960,0.002,3m,2.0,3.0,0.7,366,462.0,0.007,3m,3.5,3.0,1.1,722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316.0,0.009000000000000001,3m,4.0,3.5,1.5,542.0,,,,,,,,,,,,,,,0.2,4,COMPLETE
33,33,0.5844069639473622,2025-06-14 19:00:11.953360,2025-06-14 19:00:13.706213,0 days 00:00:01.752853,,,,,,,,884,0.003,3m,2.5,3.5,0.5,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,0.008,3m,3.5,3.0,1.2000000000000002,304.0,,,,,,,,,,,,,,,0.3,2,COMPLETE
34,34,-8.79817744218889,2025-06-14 19:00:13.782926,2025-06-14 19:00:15.619163,0 days 00:00:01.836237,,,,,,,,820,0.004,3m,1.0,3.5,0.5,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464.0,0.002,3m,3.5,3.0,1.2000000000000002,316.0,,,,,,,,,,,,,,,0.5,2,COMPLETE
35,35,1.5033714693462734,2025-06-14 19:00:15.692622,2025-06-14 19:00:16.782959,0 days 00:00:01.090337,,,,,,,,272,0.005,4m,1.5,4.0,0.5,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
36,36,1.5091771804381318,2025-06-14 19:00:16.850376,2025-06-14 19:00:17.945284,0 days 00:00:01.094908,,,,,,,,252,0.005,4m,1.5,4.0,0.6,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
37,37,-3.1163071888904232,2025-06-14 19:00:18.021799,2025-06-14 19:00:18.971535,0 days 00:00:00.949736,,,,,,,,282,0.008,4m,1.0,4.0,0.6,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
38,38,-3.2484480030338827,2025-06-14 19:00:19.034996,2025-06-14 19:00:19.884409,0 days 00:00:00.849413,,,,,,,,232,0.005,4m,1.5,4.0,0.6,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
