,number,value,datetime_start,datetime_complete,duration,params_AMAT_META_beta_win,params_AMAT_META_stop_loss,params_AMAT_META_trade_freq,params_AMAT_META_z_entry,params_AMAT_META_z_exit,params_AMAT_META_z_stop_scaler,params_AMAT_META_z_win,params_AMAT_NVDA_beta_win,params_AMAT_NVDA_stop_loss,params_AMAT_NVDA_trade_freq,params_AMAT_NVDA_z_entry,params_AMAT_NVDA_z_exit,params_AMAT_NVDA_z_stop_scaler,params_AMAT_NVDA_z_win,params_AMZN_KLAC_beta_win,params_AMZN_KLAC_stop_loss,params_AMZN_KLAC_trade_freq,params_AMZN_KLAC_z_entry,params_AMZN_KLAC_z_exit,params_AMZN_KLAC_z_stop_scaler,params_AMZN_KLAC_z_win,params_AZN_MRNA_beta_win,params_AZN_MRNA_stop_loss,params_AZN_MRNA_trade_freq,params_AZN_MRNA_z_entry,params_AZN_MRNA_z_exit,params_AZN_MRNA_z_stop_scaler,params_AZN_MRNA_z_win,params_AZN_VRSK_beta_win,params_AZN_VRSK_stop_loss,params_AZN_VRSK_trade_freq,params_AZN_VRSK_z_entry,params_AZN_VRSK_z_exit,params_AZN_VRSK_z_stop_scaler,params_AZN_VRSK_z_win,params_DASH_LIN_beta_win,params_DASH_LIN_stop_loss,params_DASH_LIN_trade_freq,params_DASH_LIN_z_entry,params_DASH_LIN_z_exit,params_DASH_LIN_z_stop_scaler,params_DASH_LIN_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_KLAC_NFLX_beta_win,params_KLAC_NFLX_stop_loss,params_KLAC_NFLX_trade_freq,params_KLAC_NFLX_z_entry,params_KLAC_NFLX_z_exit,params_KLAC_NFLX_z_stop_scaler,params_KLAC_NFLX_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_NVDA_ORLY_beta_win,params_NVDA_ORLY_stop_loss,params_NVDA_ORLY_trade_freq,params_NVDA_ORLY_z_entry,params_NVDA_ORLY_z_exit,params_NVDA_ORLY_z_stop_scaler,params_NVDA_ORLY_z_win,params_buffer_capital,params_pairs_to_trade,state
108,108,1.8912460231769397,2025-06-14 19:54:49.085263,2025-06-14 19:54:55.544629,0 days 00:00:06.459366,,,,,,,,,,,,,,,1020.0,0.009000000000000001,4m,3.0,1.5,1.2000000000000002,868.0,,,,,,,,,,,,,,,258.0,0.003,2m,4.0,3.5,1.9000000000000001,88.0,1012,0.01,3m,1.5,1.0,1.2000000000000002,80,1002.0,0.008,4m,4.0,1.0,0.6,166.0,604.0,0.002,3m,4.0,1.0,0.6,954.0,980.0,0.006,4m,2.0,4.0,1.0,796.0,0.25,6,COMPLETE
109,109,5.543106944694119,2025-06-14 19:54:55.651649,2025-06-14 19:55:00.018088,0 days 00:00:04.366439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0,0.002,2m,4.0,2.0,1.8,16.0,864,0.009000000000000001,3m,1.5,1.0,1.1,138,930.0,0.008,4m,4.0,1.5,0.6,460.0,496.0,0.001,3m,3.0,1.5,0.8,1004.0,,,,,,,,0.3,4,COMPLETE
110,110,3.0882386315180175,2025-06-14 19:55:00.121110,2025-06-14 19:55:03.298065,0 days 00:00:03.176955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,964,0.01,3m,1.5,1.0,1.4,108,878.0,0.01,4m,4.0,1.0,0.5,420.0,632.0,0.002,3m,4.0,1.5,0.7,816.0,,,,,,,,0.3,3,COMPLETE
111,111,5.931906077696714,2025-06-14 19:55:03.386571,2025-06-14 19:55:07.811133,0 days 00:00:04.424562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.0,0.002,2m,4.0,2.0,1.8,34.0,862,0.009000000000000001,3m,1.5,1.0,1.1,146,934.0,0.008,4m,4.0,1.5,0.6,458.0,506.0,0.001,3m,3.0,1.5,0.8,1004.0,,,,,,,,0.3,4,COMPLETE
112,112,5.246680949533912,2025-06-14 19:55:07.893137,2025-06-14 19:55:12.448122,0 days 00:00:04.554985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.0,0.001,2m,4.0,2.0,1.8,90.0,902,0.009000000000000001,3m,1.5,1.0,1.0,86,966.0,0.008,4m,4.0,1.5,0.7,518.0,670.0,0.001,3m,3.0,1.5,0.9,1008.0,,,,,,,,0.3,4,COMPLETE
113,113,5.146469757502526,2025-06-14 19:55:12.531635,2025-06-14 19:55:16.826073,0 days 00:00:04.294438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,0.004,2m,4.0,2.5,1.9000000000000001,52.0,932,0.009000000000000001,3m,1.5,1.0,1.1,34,26.0,0.009000000000000001,4m,4.0,1.0,0.6,470.0,546.0,0.001,3m,3.5,1.5,0.8,884.0,,,,,,,,0.35000000000000003,4,COMPLETE
114,114,4.1421589448097285,2025-06-14 19:55:16.923594,2025-06-14 19:55:21.100524,0 days 00:00:04.176930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.0,0.003,2m,4.0,4.0,1.7000000000000002,294.0,856,0.01,3m,1.5,1.0,1.2000000000000002,124,1000.0,0.008,4m,4.0,1.0,0.7,314.0,574.0,0.001,3m,4.0,1.5,0.6,976.0,,,,,,,,0.3,4,COMPLETE
115,115,7.29689241323441,2025-06-14 19:55:21.174539,2025-06-14 19:55:26.532211,0 days 00:00:05.357672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.0,0.002,2m,4.0,2.5,1.9000000000000001,126.0,914,0.003,3m,1.5,1.5,0.9,166,906.0,0.008,4m,4.0,1.0,0.5,364.0,740.0,0.002,3m,4.0,1.5,0.7,924.0,1020.0,0.004,4m,1.5,3.0,1.5,332.0,0.25,5,COMPLETE
116,116,2.6133427665909146,2025-06-14 19:55:26.597215,2025-06-14 19:55:31.246569,0 days 00:00:04.649354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,0.002,2m,4.0,3.0,1.6,118.0,886,0.003,3m,1.0,1.0,0.7,190,860.0,0.008,4m,4.0,1.0,0.5,370.0,728.0,0.002,1m,3.5,1.5,0.8,932.0,1024.0,0.004,4m,1.5,3.0,1.5,316.0,0.25,5,COMPLETE
117,117,1.7806149983863695,2025-06-14 19:55:31.338094,2025-06-14 19:55:36.685137,0 days 00:00:05.347043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.0,0.002,2m,4.0,2.5,1.8,234.0,822,0.01,3m,1.5,2.0,1.4,170,906.0,0.008,4m,4.0,1.5,0.8,402.0,506.0,0.002,3m,2.5,1.0,0.7,904.0,890.0,0.003,4m,1.0,3.5,1.6,544.0,0.25,5,COMPLETE
118,118,3.6328104589945336,2025-06-14 19:55:36.760650,2025-06-14 19:55:43.037317,0 days 00:00:06.276667,,,,,,,,,,,,,,,630.0,0.005,2m,1.5,3.5,1.8,182.0,,,,,,,,,,,,,,,262.0,0.002,3m,4.0,2.0,1.9000000000000001,174.0,910,0.002,3m,1.5,1.5,1.3,158,944.0,0.009000000000000001,4m,4.0,1.0,0.5,446.0,614.0,0.002,3m,4.0,1.5,0.9,958.0,958.0,0.005,4m,2.0,3.0,1.2000000000000002,356.0,0.25,6,COMPLETE
119,119,3.349313519034992,2025-06-14 19:55:43.132344,2025-06-14 19:55:47.843398,0 days 00:00:04.711054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,0.001,2m,4.0,2.5,1.7000000000000002,42.0,794,0.003,2m,1.5,1.0,0.8,106,1004.0,0.008,4m,4.0,1.5,1.5,236.0,752.0,0.001,3m,3.5,1.5,0.7,866.0,790.0,0.007,4m,1.5,2.5,1.8,246.0,0.2,5,COMPLETE
120,120,2.405928069648073,2025-06-14 19:55:47.932817,2025-06-14 19:55:50.861334,0 days 00:00:02.928517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,982,0.001,3m,1.0,1.0,0.9,84,812.0,0.007,4m,4.0,1.0,1.9000000000000001,312.0,660.0,0.001,3m,3.0,1.5,1.0,920.0,,,,,,,,0.3,3,COMPLETE
121,121,-3.4667634581138773,2025-06-14 19:55:50.951269,2025-06-14 19:55:54.882677,0 days 00:00:03.931408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0,0.004,2m,3.5,2.5,1.9000000000000001,138.0,936,0.01,3m,1.5,1.5,1.5,1022,1024.0,0.007,4m,3.5,1.0,0.6,540.0,856.0,0.001,3m,4.0,1.5,0.7,1006.0,,,,,,,,0.35000000000000003,4,COMPLETE
122,122,6.254457524729316,2025-06-14 19:55:54.945095,2025-06-14 19:55:58.888976,0 days 00:00:03.943881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,0.005,2m,4.0,2.5,2.0,74.0,954,0.009000000000000001,3m,1.5,1.5,0.9,36,972.0,0.008,4m,4.0,1.0,0.6,508.0,784.0,0.001,3m,1.0,1.5,2.0,984.0,,,,,,,,0.35000000000000003,4,COMPLETE
123,123,3.062305770876656,2025-06-14 19:55:58.979380,2025-06-14 19:56:03.010436,0 days 00:00:04.031056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,0.005,2m,4.0,2.5,1.8,80.0,876,0.009000000000000001,3m,1.5,1.5,0.9,34,964.0,0.008,4m,4.0,1.0,0.5,362.0,780.0,0.002,3m,2.0,1.5,1.8,988.0,,,,,,,,0.3,4,COMPLETE
124,124,5.556717394998757,2025-06-14 19:56:03.090950,2025-06-14 19:56:08.179292,0 days 00:00:05.088342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,0.005,2m,4.0,2.5,1.9000000000000001,102.0,914,0.009000000000000001,3m,1.5,1.5,1.0,76,918.0,0.008,4m,4.0,1.0,0.6,400.0,750.0,0.001,3m,1.0,1.5,1.9000000000000001,944.0,890.0,0.006,3m,2.0,3.0,1.6,174.0,0.35000000000000003,5,COMPLETE
125,125,1.6017776171903335,2025-06-14 19:56:08.297816,2025-06-14 19:56:12.369422,0 days 00:00:04.071606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,0.003,1m,4.0,3.0,2.0,44.0,972,0.004,3m,1.5,1.0,0.9,138,980.0,0.008,4m,4.0,1.0,0.7,576.0,582.0,0.001,3m,4.0,1.5,0.8,976.0,,,,,,,,0.25,4,COMPLETE
126,126,4.3916038165434435,2025-06-14 19:56:12.427046,2025-06-14 19:56:17.176236,0 days 00:00:04.749190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,0.004,2m,4.0,2.0,1.9000000000000001,76.0,932,0.002,3m,1.5,1.5,0.8,16,936.0,0.009000000000000001,1m,4.0,1.0,0.6,510.0,634.0,0.001,3m,2.5,4.0,1.4,892.0,726.0,0.004,4m,1.0,3.5,1.3,436.0,0.3,5,COMPLETE
127,127,2.704374476996529,2025-06-14 19:56:17.248131,2025-06-14 19:56:20.222143,0 days 00:00:02.974012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952,0.01,3m,1.5,1.5,1.0,62,1004.0,0.008,3m,4.0,1.0,0.6,478.0,798.0,0.001,3m,1.5,3.0,2.0,962.0,,,,,,,,0.4,3,COMPLETE
128,128,1.7898209117601411,2025-06-14 19:56:20.296497,2025-06-14 19:56:24.780486,0 days 00:00:04.483989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0,0.004,2m,4.0,2.5,1.8,212.0,1006,0.009000000000000001,3m,1.5,1.0,0.9,102,150.0,0.008,4m,4.0,1.0,0.7,550.0,692.0,0.002,3m,4.0,1.5,1.4,1000.0,844.0,0.003,2m,2.5,2.5,1.0,630.0,0.35000000000000003,5,COMPLETE
129,129,8.268631298670966,2025-06-14 19:56:24.891561,2025-06-14 19:56:28.283101,0 days 00:00:03.391540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,0.003,2m,4.0,2.5,2.0,128.0,890,0.01,3m,1.5,1.0,1.4,180,894.0,0.007,4m,4.0,1.5,0.5,28.0,730.0,0.002,3m,1.5,1.0,1.6,924.0,,,,,,,,0.3,4,COMPLETE
130,130,4.017801356421776,2025-06-14 19:56:28.379276,2025-06-14 19:56:32.423339,0 days 00:00:04.044063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,0.003,2m,4.0,2.0,1.9000000000000001,120.0,844,0.009000000000000001,3m,1.5,1.0,1.3,178,902.0,0.009000000000000001,4m,4.0,1.5,0.5,72.0,826.0,0.003,1m,1.5,1.0,1.8,936.0,,,,,,,,0.3,4,COMPLETE
131,131,3.004314268945281,2025-06-14 19:56:32.496351,2025-06-14 19:56:36.004377,0 days 00:00:03.508026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,0.003,2m,4.0,2.5,2.0,172.0,900,0.01,3m,1.5,1.0,1.4,230,960.0,0.007,4m,4.0,1.5,0.5,108.0,736.0,0.002,3m,1.0,1.0,0.8,914.0,,,,,,,,0.3,4,COMPLETE
132,132,1.1966181378223895,2025-06-14 19:56:36.075745,2025-06-14 19:56:39.810184,0 days 00:00:03.734439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,0.003,2m,4.0,2.5,2.0,16.0,880,0.01,3m,1.5,1.0,1.5,152,990.0,0.008,4m,4.0,1.5,0.6,444.0,718.0,0.001,3m,1.0,1.0,0.6,968.0,,,,,,,,0.35000000000000003,4,COMPLETE
133,133,7.034962018608242,2025-06-14 19:56:39.898895,2025-06-14 19:56:43.608400,0 days 00:00:03.709505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.0,0.004,2m,4.0,2.5,2.0,136.0,924,0.004,3m,1.5,1.0,1.4,128,874.0,0.007,4m,4.0,1.0,0.6,18.0,606.0,0.002,3m,1.5,1.5,1.3,986.0,,,,,,,,0.3,4,COMPLETE
134,134,5.4993789583645425,2025-06-14 19:56:43.691809,2025-06-14 19:56:46.492085,0 days 00:00:02.800276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,0.004,3m,1.5,1.0,1.4,120,882.0,0.008,4m,4.0,1.0,0.5,58.0,610.0,0.002,3m,1.5,2.0,1.2000000000000002,946.0,,,,,,,,0.3,3,COMPLETE
135,135,4.845434356219722,2025-06-14 19:56:46.565486,2025-06-14 19:56:50.152724,0 days 00:00:03.587238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.0,0.003,2m,4.0,2.5,1.9000000000000001,66.0,856,0.003,3m,1.5,1.0,1.3,186,854.0,0.008,4m,4.0,2.0,0.7,40.0,532.0,0.003,3m,1.0,1.5,2.0,1008.0,,,,,,,,0.25,4,COMPLETE
136,136,7.41703511711075,2025-06-14 19:56:50.232324,2025-06-14 19:56:54.061780,0 days 00:00:03.829456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.0,0.002,2m,4.0,2.5,1.8,124.0,892,0.004,3m,1.5,1.0,1.2000000000000002,146,922.0,0.008,4m,4.0,1.0,0.6,120.0,678.0,0.002,3m,2.0,1.5,1.3,898.0,,,,,,,,0.3,4,COMPLETE
137,137,7.405194650812575,2025-06-14 19:56:54.155078,2025-06-14 19:56:57.769595,0 days 00:00:03.614517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,0.002,3m,4.0,2.5,2.0,94.0,892,0.005,3m,1.5,1.0,1.2000000000000002,152,888.0,0.007,4m,4.0,1.0,0.8,18.0,680.0,0.003,3m,1.5,1.5,1.5,858.0,,,,,,,,0.25,4,COMPLETE
138,138,7.035605101645005,2025-06-14 19:56:57.839433,2025-06-14 19:57:01.279817,0 days 00:00:03.440384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,0.005,3m,1.0,1.0,1.5,208,882.0,0.007,4m,4.0,1.0,0.5,16.0,648.0,0.003,3m,2.0,1.5,1.3,874.0,,,,,,,,0.3,3,COMPLETE
139,139,-1.856916637543181,2025-06-14 19:57:01.349614,2025-06-14 19:57:08.156981,0 days 00:00:06.807367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816,0.005,1m,1.0,1.0,1.5,216,888.0,0.007,4m,4.0,1.0,0.5,28.0,644.0,0.003,3m,2.0,1.0,1.3,838.0,,,,,,,,0.3,3,COMPLETE
140,140,4.702855809334294,2025-06-14 19:57:08.299546,2025-06-14 19:57:15.301283,0 days 00:00:07.001737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,0.004,3m,1.0,1.0,1.5,256,916.0,0.006,4m,4.0,1.0,0.5,106.0,694.0,0.003,3m,1.5,2.0,1.3,872.0,,,,,,,,0.3,3,COMPLETE
141,141,6.499581112948684,2025-06-14 19:57:15.459478,2025-06-14 19:57:24.590000,0 days 00:00:09.130522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,0.002,3m,4.0,3.0,2.0,98.0,864,0.005,3m,1.5,1.0,1.4,158,822.0,0.007,4m,4.0,1.0,0.6,18.0,666.0,0.003,3m,2.0,1.5,1.5,924.0,,,,,,,,0.3,4,COMPLETE
142,142,3.860723358636071,2025-06-14 19:57:24.754298,2025-06-14 19:57:29.348301,0 days 00:00:04.594003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.0,0.002,3m,4.0,3.0,2.0,94.0,870,0.005,3m,2.0,1.0,1.4,200,868.0,0.007,4m,4.0,1.0,0.6,18.0,668.0,0.003,3m,2.0,1.5,1.5,824.0,,,,,,,,0.3,4,COMPLETE
143,143,5.448972508214847,2025-06-14 19:57:29.432502,2025-06-14 19:57:33.037014,0 days 00:00:03.604512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.0,0.002,3m,4.0,3.5,2.0,110.0,832,0.005,3m,1.0,1.0,1.4,166,900.0,0.007,4m,4.0,1.0,0.5,48.0,560.0,0.003,3m,2.0,1.5,1.6,852.0,,,,,,,,0.3,4,COMPLETE
144,144,6.879233857867051,2025-06-14 19:57:33.111879,2025-06-14 19:57:36.965414,0 days 00:00:03.853535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.0,0.001,3m,4.0,3.0,2.0,132.0,890,0.005,3m,1.5,1.0,1.5,152,830.0,0.007,4m,4.0,1.0,0.8,140.0,632.0,0.004,3m,1.5,1.5,1.6,920.0,,,,,,,,0.1,4,COMPLETE
145,145,7.389583870275255,2025-06-14 19:57:37.042780,2025-06-14 19:57:39.743098,0 days 00:00:02.700318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884,0.005,3m,1.5,1.0,1.5,182,818.0,0.006,1m,4.0,1.0,0.9,92.0,628.0,0.004,3m,1.5,1.5,1.6,914.0,,,,,,,,0.1,3,COMPLETE
146,146,0.1588886646961474,2025-06-14 19:57:39.830462,2025-06-14 19:57:42.838823,0 days 00:00:03.008361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884,0.005,3m,2.0,1.0,1.5,284,828.0,0.006,3m,4.0,1.0,0.9,88.0,600.0,0.004,3m,1.5,1.5,1.6,878.0,,,,,,,,0.1,3,COMPLETE
147,147,8.287324790146155,2025-06-14 19:57:42.937034,2025-06-14 19:57:45.554690,0 days 00:00:02.617656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896,0.005,3m,1.5,1.0,1.5,224,830.0,0.007,1m,4.0,1.0,0.9,136.0,714.0,0.004,3m,1.5,1.5,1.7000000000000002,790.0,,,,,,,,0.15000000000000002,3,COMPLETE
148,148,8.493198624792566,2025-06-14 19:57:45.621620,2025-06-14 19:57:48.428098,0 days 00:00:02.806478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,0.005,3m,1.5,1.0,1.5,190,810.0,0.006,1m,4.0,1.0,0.8,148.0,716.0,0.004,3m,1.5,1.5,1.7000000000000002,804.0,,,,,,,,0.1,3,COMPLETE
149,149,7.576191924873003,2025-06-14 19:57:48.517298,2025-06-14 19:57:51.437654,0 days 00:00:02.920356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892,0.005,3m,1.0,1.0,1.5,228,804.0,0.006,1m,4.0,1.0,0.9,144.0,712.0,0.004,3m,1.5,1.5,1.7000000000000002,774.0,,,,,,,,0.1,3,COMPLETE
