,number,value,datetime_start,datetime_complete,duration,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_CPRT_MSFT_beta_win,params_CPRT_MSFT_stop_loss,params_CPRT_MSFT_trade_freq,params_CPRT_MSFT_z_entry,params_CPRT_MSFT_z_exit,params_CPRT_MSFT_z_stop_scaler,params_CPRT_MSFT_z_win,params_EBAY_ZM_beta_win,params_EBAY_ZM_stop_loss,params_EBAY_ZM_trade_freq,params_EBAY_ZM_z_entry,params_EBAY_ZM_z_exit,params_EBAY_ZM_z_stop_scaler,params_EBAY_ZM_z_win,params_GILD_ZM_beta_win,params_GILD_ZM_stop_loss,params_GILD_ZM_trade_freq,params_GILD_ZM_z_entry,params_GILD_ZM_z_exit,params_GILD_ZM_z_stop_scaler,params_GILD_ZM_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_JD_ZM_beta_win,params_JD_ZM_stop_loss,params_JD_ZM_trade_freq,params_JD_ZM_z_entry,params_JD_ZM_z_exit,params_JD_ZM_z_stop_scaler,params_JD_ZM_z_win,params_KDP_ZM_beta_win,params_KDP_ZM_stop_loss,params_KDP_ZM_trade_freq,params_KDP_ZM_z_entry,params_KDP_ZM_z_exit,params_KDP_ZM_z_stop_scaler,params_KDP_ZM_z_win,params_KHC_ZM_beta_win,params_KHC_ZM_stop_loss,params_KHC_ZM_trade_freq,params_KHC_ZM_z_entry,params_KHC_ZM_z_exit,params_KHC_ZM_z_stop_scaler,params_KHC_ZM_z_win,params_QCOM_ZM_beta_win,params_QCOM_ZM_stop_loss,params_QCOM_ZM_trade_freq,params_QCOM_ZM_z_entry,params_QCOM_ZM_z_exit,params_QCOM_ZM_z_stop_scaler,params_QCOM_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
123,123,-0.6762175605904612,2025-06-14 19:46:57.944134,2025-06-14 19:47:01.020840,0 days 00:00:03.076706,,,,,,,,740,0.004,3m,2.5,4.0,1.8,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
124,124,-0.9315124381999234,2025-06-14 19:47:01.171257,2025-06-14 19:47:06.314075,0 days 00:00:05.142818,658.0,0.008,3m,3.5,1.0,1.0,22.0,954,0.004,3m,3.0,4.0,1.9000000000000001,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
125,125,-1.6089223804430357,2025-06-14 19:47:06.459911,2025-06-14 19:47:08.169861,0 days 00:00:01.709950,,,,,,,,878,0.007,3m,2.5,4.0,2.0,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
126,126,6.30086316861233,2025-06-14 19:47:08.266434,2025-06-14 19:47:09.541794,0 days 00:00:01.275360,,,,,,,,916,0.005,3m,3.0,4.0,2.0,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
127,127,1.9461124945182282,2025-06-14 19:47:09.642864,2025-06-14 19:47:10.873355,0 days 00:00:01.230491,,,,,,,,972,0.005,1m,3.0,4.0,2.0,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
128,128,2.558571055320917,2025-06-14 19:47:10.945851,2025-06-14 19:47:12.162319,0 days 00:00:01.216468,,,,,,,,928,0.006,3m,3.0,4.0,2.0,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
129,129,-1.0800112392190857,2025-06-14 19:47:12.224455,2025-06-14 19:47:13.435798,0 days 00:00:01.211343,,,,,,,,606,0.005,3m,3.0,4.0,2.0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
130,130,-2.0993493403544066,2025-06-14 19:47:13.533768,2025-06-14 19:47:14.732849,0 days 00:00:01.199081,,,,,,,,810,0.007,3m,3.0,4.0,1.9000000000000001,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
131,131,2.784767248828436,2025-06-14 19:47:14.808185,2025-06-14 19:47:16.953715,0 days 00:00:02.145530,752.0,0.006,1m,4.0,1.5,1.1,314.0,890,0.004,3m,2.5,4.0,1.9000000000000001,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
132,132,0.4126072829738037,2025-06-14 19:47:17.036628,2025-06-14 19:47:18.078507,0 days 00:00:01.041879,,,,,,,,920,0.005,3m,3.0,4.0,2.0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
133,133,1.825286184531907,2025-06-14 19:47:18.126013,2025-06-14 19:47:19.188855,0 days 00:00:01.062842,,,,,,,,854,0.004,3m,2.5,4.0,1.9000000000000001,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
134,134,2.7008451165417044,2025-06-14 19:47:19.270103,2025-06-14 19:47:20.452419,0 days 00:00:01.182316,,,,,,,,948,0.003,3m,3.0,4.0,2.0,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
135,135,0.7562979669703552,2025-06-14 19:47:20.516009,2025-06-14 19:47:22.458484,0 days 00:00:01.942475,676.0,0.009000000000000001,4m,3.0,1.5,0.7,266.0,1004,0.006,3m,2.5,4.0,2.0,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
136,136,-0.7421563769421905,2025-06-14 19:47:22.547688,2025-06-14 19:47:23.654116,0 days 00:00:01.106428,,,,,,,,982,0.008,2m,3.0,3.5,1.8,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
137,137,-3.898032253218726,2025-06-14 19:47:23.720421,2025-06-14 19:47:25.777727,0 days 00:00:02.057306,590.0,0.005,3m,1.0,2.5,1.9000000000000001,346.0,908,0.004,3m,2.5,4.0,1.9000000000000001,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
138,138,-8.608118876285442,2025-06-14 19:47:25.835669,2025-06-14 19:47:30.898231,0 days 00:00:05.062562,24.0,0.007,3m,3.5,1.0,1.2000000000000002,234.0,772,0.005,3m,3.0,4.0,1.9000000000000001,118,,,,,,,,,,,,,,,172.0,0.01,2m,1.0,3.0,1.0,216.0,474.0,0.009000000000000001,1m,1.5,1.5,1.0,20.0,,,,,,,,222.0,0.007,2m,1.5,1.5,1.7000000000000002,908.0,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
139,139,2.191772479001817,2025-06-14 19:47:30.965774,2025-06-14 19:47:32.229171,0 days 00:00:01.263397,,,,,,,,734,0.006,3m,2.5,4.0,2.0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
140,140,-0.9736054978377162,2025-06-14 19:47:32.278424,2025-06-14 19:47:33.384678,0 days 00:00:01.106254,,,,,,,,674,0.007,3m,1.5,3.5,2.0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
141,141,2.6572034202047456,2025-06-14 19:47:33.446531,2025-06-14 19:47:34.679234,0 days 00:00:01.232703,,,,,,,,716,0.008,3m,2.5,3.5,1.9000000000000001,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
142,142,0.5350141698235198,2025-06-14 19:47:34.750956,2025-06-14 19:47:35.864563,0 days 00:00:01.113607,,,,,,,,656,0.008,3m,2.5,4.0,1.9000000000000001,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
143,143,5.479291379503616,2025-06-14 19:47:35.916077,2025-06-14 19:47:37.030873,0 days 00:00:01.114796,,,,,,,,884,0.008,3m,2.5,4.0,1.8,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
144,144,4.8933572426472125,2025-06-14 19:47:37.094601,2025-06-14 19:47:38.388683,0 days 00:00:01.294082,,,,,,,,882,0.007,3m,2.5,4.0,1.8,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
145,145,4.042381359829985,2025-06-14 19:47:38.459761,2025-06-14 19:47:39.623774,0 days 00:00:01.164013,,,,,,,,874,0.007,3m,3.0,4.0,1.8,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
146,146,3.9126241835414244,2025-06-14 19:47:39.695101,2025-06-14 19:47:40.966165,0 days 00:00:01.271064,,,,,,,,868,0.007,3m,3.0,4.0,1.7000000000000002,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
147,147,-3.9302535438920936,2025-06-14 19:47:41.028132,2025-06-14 19:47:42.216556,0 days 00:00:01.188424,,,,,,,,832,0.007,3m,3.0,4.0,1.8,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
148,148,2.3933173932852956,2025-06-14 19:47:42.283647,2025-06-14 19:47:43.497091,0 days 00:00:01.213444,,,,,,,,876,0.007,3m,3.0,4.0,1.7000000000000002,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
149,149,-4.434650192575945,2025-06-14 19:47:43.574734,2025-06-14 19:47:44.675482,0 days 00:00:01.100748,,,,,,,,864,0.007,3m,3.0,4.0,1.7000000000000002,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,1,COMPLETE
