,number,value,datetime_start,datetime_complete,duration,params_AEP_AMGN_beta_win,params_AEP_AMGN_stop_loss,params_AEP_AMGN_trade_freq,params_AEP_AMGN_z_entry,params_AEP_AMGN_z_exit,params_AEP_AMGN_z_stop_scaler,params_AEP_AMGN_z_win,params_AMD_NTES_beta_win,params_AMD_NTES_stop_loss,params_AMD_NTES_trade_freq,params_AMD_NTES_z_entry,params_AMD_NTES_z_exit,params_AMD_NTES_z_stop_scaler,params_AMD_NTES_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_AMZN_GOOGL_beta_win,params_AMZN_GOOGL_stop_loss,params_AMZN_GOOGL_trade_freq,params_AMZN_GOOGL_z_entry,params_AMZN_GOOGL_z_exit,params_AMZN_GOOGL_z_stop_scaler,params_AMZN_GOOGL_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_ATVI_NTES_beta_win,params_ATVI_NTES_stop_loss,params_ATVI_NTES_trade_freq,params_ATVI_NTES_z_entry,params_ATVI_NTES_z_exit,params_ATVI_NTES_z_stop_scaler,params_ATVI_NTES_z_win,params_GOOGL_WDAY_beta_win,params_GOOGL_WDAY_stop_loss,params_GOOGL_WDAY_trade_freq,params_GOOGL_WDAY_z_entry,params_GOOGL_WDAY_z_exit,params_GOOGL_WDAY_z_stop_scaler,params_GOOGL_WDAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_ORLY_SIRI_beta_win,params_ORLY_SIRI_stop_loss,params_ORLY_SIRI_trade_freq,params_ORLY_SIRI_z_entry,params_ORLY_SIRI_z_exit,params_ORLY_SIRI_z_stop_scaler,params_ORLY_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
37,37,-1.428430256771265,2025-06-14 19:15:41.173124,2025-06-14 19:15:49.084259,0 days 00:00:07.911135,24.0,0.01,2m,3.0,2.5,0.8,358.0,1020.0,0.004,2m,2.0,3.0,1.6,350.0,54.0,0.009000000000000001,4m,1.0,4.0,0.7,858.0,668.0,0.002,2m,2.5,1.5,1.5,742.0,290.0,0.007,1m,2.0,2.0,1.0,630.0,914.0,0.006,4m,2.5,1.5,2.0,388.0,,,,,,,,560,0.003,4m,1.5,3.5,2.0,110,446.0,0.006,3m,1.5,4.0,1.8,602.0,456.0,0.009000000000000001,2m,3.5,1.5,0.7,486.0,0.3,9,COMPLETE
38,38,-3.8443016957536353,2025-06-14 19:15:49.153168,2025-06-14 19:15:56.544984,0 days 00:00:07.391816,100.0,0.01,3m,3.5,3.5,0.8,500.0,622.0,0.002,3m,2.0,2.5,1.2000000000000002,290.0,158.0,0.009000000000000001,1m,3.0,4.0,0.9,960.0,474.0,0.003,1m,3.0,3.0,1.7000000000000002,886.0,,,,,,,,848.0,0.002,4m,3.0,2.0,1.9000000000000001,532.0,,,,,,,,734,0.001,4m,2.0,3.0,1.9000000000000001,238,754.0,0.004,2m,3.0,2.0,1.4,858.0,408.0,0.009000000000000001,2m,3.0,2.0,1.0,500.0,0.4,8,COMPLETE
39,39,-0.3585998542358494,2025-06-14 19:15:56.620446,2025-06-14 19:16:02.716369,0 days 00:00:06.095923,30.0,0.005,4m,3.0,2.5,0.9,568.0,724.0,0.003,4m,1.5,4.0,1.9000000000000001,430.0,46.0,0.009000000000000001,4m,1.0,4.0,1.3,744.0,606.0,0.004,1m,2.5,2.0,1.4,588.0,,,,,,,,780.0,0.006,4m,2.5,2.5,1.2000000000000002,428.0,,,,,,,,622,0.005,4m,3.0,2.0,1.8,106,,,,,,,,564.0,0.007,2m,2.5,1.0,1.5,304.0,0.3,7,COMPLETE
40,40,-2.3945050064533455,2025-06-14 19:16:02.799119,2025-06-14 19:16:11.004649,0 days 00:00:08.205530,82.0,0.01,2m,3.5,2.0,0.6,382.0,858.0,0.004,2m,3.5,3.5,1.7000000000000002,512.0,20.0,0.003,3m,1.0,3.0,0.8,600.0,852.0,0.003,1m,1.0,1.0,1.7000000000000002,726.0,816.0,0.004,3m,1.5,1.5,1.6,94.0,904.0,0.005,1m,2.5,3.0,1.7000000000000002,90.0,,,,,,,,258,0.004,4m,2.0,1.5,1.9000000000000001,282,166.0,0.008,4m,1.5,3.0,0.8,230.0,212.0,0.01,4m,3.5,2.0,0.6,172.0,0.2,9,COMPLETE
41,41,1.4531620899472888,2025-06-14 19:16:11.095385,2025-06-14 19:16:15.640127,0 days 00:00:04.544742,236.0,0.008,1m,4.0,3.0,1.2000000000000002,672.0,,,,,,,,136.0,0.007,1m,2.5,3.5,0.6,692.0,712.0,0.001,1m,2.0,1.0,1.6,620.0,,,,,,,,718.0,0.003,4m,2.5,2.0,1.9000000000000001,294.0,,,,,,,,456,0.002,4m,2.5,2.5,1.7000000000000002,928,,,,,,,,,,,,,,,0.25,5,COMPLETE
42,42,1.3355971189473963,2025-06-14 19:16:15.708964,2025-06-14 19:16:20.084959,0 days 00:00:04.375995,214.0,0.009000000000000001,1m,4.0,3.0,1.2000000000000002,580.0,,,,,,,,94.0,0.007,1m,2.5,3.5,0.6,778.0,638.0,0.002,1m,2.0,1.0,1.6,616.0,,,,,,,,724.0,0.01,4m,2.5,2.0,2.0,282.0,,,,,,,,536,0.002,4m,2.5,2.5,1.6,966,,,,,,,,,,,,,,,0.3,5,COMPLETE
43,43,-6.520070891821539,2025-06-14 19:16:20.168339,2025-06-14 19:16:24.810024,0 days 00:00:04.641685,226.0,0.009000000000000001,1m,4.0,2.5,1.2000000000000002,570.0,,,,,,,,198.0,0.008,1m,3.0,4.0,0.7,548.0,522.0,0.002,1m,2.0,1.0,1.6,548.0,,,,,,,,718.0,0.004,4m,2.5,2.5,2.0,276.0,,,,,,,,560,0.001,4m,2.5,2.5,1.6,930,,,,,,,,,,,,,,,0.35000000000000003,5,COMPLETE
44,44,-5.782908433990488,2025-06-14 19:16:24.891215,2025-06-14 19:16:28.279120,0 days 00:00:03.387905,170.0,0.01,1m,4.0,3.5,1.0,586.0,,,,,,,,82.0,0.007,1m,2.5,3.5,0.7,798.0,,,,,,,,,,,,,,,804.0,0.008,4m,2.5,1.5,1.9000000000000001,172.0,,,,,,,,476,0.003,4m,3.0,3.0,1.3,1012,,,,,,,,,,,,,,,0.4,4,COMPLETE
45,45,-1.2418618105887775,2025-06-14 19:16:28.379562,2025-06-14 19:16:33.080197,0 days 00:00:04.700635,240.0,0.009000000000000001,1m,4.0,3.0,0.6,324.0,,,,,,,,970.0,0.007,1m,2.5,3.0,0.6,702.0,702.0,0.002,3m,2.5,1.0,1.4,516.0,,,,,,,,742.0,0.01,4m,3.0,2.0,2.0,294.0,,,,,,,,676,0.002,4m,2.5,2.0,1.5,946,,,,,,,,,,,,,,,0.5,5,COMPLETE
46,46,-0.9791575530980989,2025-06-14 19:16:33.178233,2025-06-14 19:16:36.604108,0 days 00:00:03.425875,112.0,0.007,4m,4.0,2.5,1.1,670.0,,,,,,,,202.0,0.008,4m,3.0,4.0,0.8,126.0,,,,,,,,,,,,,,,580.0,0.009000000000000001,4m,2.5,2.5,1.9000000000000001,962.0,,,,,,,,378,0.001,4m,3.0,2.5,1.6,884,,,,,,,,,,,,,,,0.3,4,COMPLETE
47,47,-3.3301942983651993,2025-06-14 19:16:36.689302,2025-06-14 19:16:41.211386,0 days 00:00:04.522084,262.0,0.006,1m,4.0,3.0,0.9,162.0,,,,,,,,66.0,0.01,1m,2.5,3.5,0.5,792.0,816.0,0.003,1m,3.0,1.0,1.6,712.0,,,,,,,,990.0,0.01,4m,2.5,1.5,0.5,216.0,,,,,,,,314,0.004,4m,2.0,3.0,0.5,810,,,,,,,,,,,,,,,0.3,5,COMPLETE
48,48,0.5180466743932415,2025-06-14 19:16:41.301504,2025-06-14 19:16:46.882511,0 days 00:00:05.581007,76.0,0.01,1m,4.0,3.5,1.3,512.0,958.0,0.006,1m,3.5,2.0,1.7000000000000002,166.0,154.0,0.007,1m,2.5,3.0,1.0,566.0,400.0,0.001,3m,2.0,4.0,1.1,422.0,,,,,,,,934.0,0.001,4m,2.5,2.0,1.6,372.0,,,,,,,,1020,0.002,4m,2.5,2.5,1.2000000000000002,710,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
49,49,-5.392875357765423,2025-06-14 19:16:46.978932,2025-06-14 19:16:49.820865,0 days 00:00:02.841933,,,,,,,,,,,,,,,240.0,0.008,1m,3.0,1.0,0.7,464.0,,,,,,,,,,,,,,,682.0,0.002,4m,3.0,3.5,1.5,112.0,,,,,,,,460,0.003,1m,1.5,2.0,1.7000000000000002,970,,,,,,,,,,,,,,,0.05,3,COMPLETE
50,50,0.13094804484899597,2025-06-14 19:16:49.892883,2025-06-14 19:16:52.047747,0 days 00:00:02.154864,,,,,,,,,,,,,,,674.0,0.005,2m,3.5,4.0,0.6,612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,0.001,4m,3.0,3.0,1.5,992,,,,,,,,,,,,,,,0.1,2,COMPLETE
51,51,-3.3019869158909443,2025-06-14 19:16:52.135254,2025-06-14 19:16:58.835060,0 days 00:00:06.699806,298.0,0.008,1m,3.5,3.0,1.9000000000000001,896.0,576.0,0.002,2m,2.5,3.0,1.4,320.0,140.0,0.006,1m,2.5,3.5,0.6,868.0,632.0,0.001,1m,2.5,1.5,1.5,598.0,,,,,,,,612.0,0.003,1m,2.0,2.0,1.8,352.0,,,,,,,,526,0.002,4m,2.5,2.5,1.8,900,,,,,,,,734.0,0.005,1m,3.0,1.5,2.0,446.0,0.25,7,COMPLETE
52,52,2.1778119487258545,2025-06-14 19:16:58.906084,2025-06-14 19:17:05.688789,0 days 00:00:06.782705,204.0,0.009000000000000001,1m,3.5,3.0,1.2000000000000002,764.0,456.0,0.001,2m,1.0,2.5,1.6,410.0,116.0,0.004,1m,2.0,3.5,0.5,890.0,558.0,0.001,1m,2.0,1.5,1.9000000000000001,640.0,,,,,,,,530.0,0.007,3m,2.0,2.0,1.7000000000000002,274.0,,,,,,,,584,0.002,2m,2.5,2.5,2.0,60,,,,,,,,350.0,0.008,2m,4.0,2.5,1.0,590.0,0.2,7,COMPLETE
53,53,-0.14787966942915473,2025-06-14 19:17:05.791354,2025-06-14 19:17:11.325365,0 days 00:00:05.534011,200.0,0.009000000000000001,1m,3.5,2.5,1.2000000000000002,766.0,442.0,0.001,3m,1.0,1.0,1.6,368.0,18.0,0.004,1m,1.5,3.5,0.5,976.0,562.0,0.002,1m,2.0,1.0,1.9000000000000001,630.0,,,,,,,,528.0,0.009000000000000001,3m,2.5,2.0,1.7000000000000002,270.0,,,,,,,,578,0.001,2m,2.0,2.0,2.0,94,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
54,54,1.0138539788851606,2025-06-14 19:17:11.435081,2025-06-14 19:17:17.508762,0 days 00:00:06.073681,142.0,0.009000000000000001,1m,4.0,3.0,1.0,668.0,484.0,0.001,2m,1.0,2.5,1.3,662.0,94.0,0.002,1m,2.5,3.5,1.6,726.0,486.0,0.001,1m,3.0,1.5,1.9000000000000001,526.0,,,,,,,,492.0,0.006,3m,1.5,1.5,2.0,204.0,,,,,,,,630,0.003,2m,3.0,2.5,2.0,72,,,,,,,,382.0,0.001,2m,4.0,3.5,1.0,582.0,0.2,7,COMPLETE
55,55,-0.9118664685958668,2025-06-14 19:17:17.597730,2025-06-14 19:17:22.136659,0 days 00:00:04.538929,60.0,0.001,1m,3.0,3.0,1.3,30.0,,,,,,,,348.0,0.004,1m,2.0,4.0,0.5,818.0,704.0,0.002,1m,1.5,1.0,1.6,778.0,,,,,,,,318.0,0.007,3m,2.0,4.0,1.9000000000000001,262.0,,,,,,,,422,0.002,2m,2.5,2.5,1.9000000000000001,184,,,,,,,,,,,,,,,0.2,5,COMPLETE
56,56,-3.726775269955848,2025-06-14 19:17:22.225352,2025-06-14 19:17:27.401603,0 days 00:00:05.176251,722.0,0.007,3m,3.5,2.5,1.1,610.0,1024.0,0.003,4m,1.0,2.0,1.8,252.0,188.0,0.005,3m,3.5,3.0,0.7,686.0,912.0,0.001,2m,2.0,1.5,1.8,686.0,,,,,,,,758.0,0.007,3m,2.0,3.0,1.6,420.0,,,,,,,,534,0.002,2m,2.5,3.0,1.4,908,,,,,,,,,,,,,,,0.3,6,COMPLETE
57,57,0.9887055538198655,2025-06-14 19:17:27.475996,2025-06-14 19:17:34.646085,0 days 00:00:07.170089,196.0,0.003,1m,2.0,3.5,0.9,744.0,276.0,0.009000000000000001,3m,1.5,4.0,1.4,508.0,124.0,0.007,1m,1.5,1.5,1.2000000000000002,908.0,140.0,0.002,4m,3.5,1.0,2.0,634.0,,,,,,,,708.0,0.004,4m,2.5,2.5,2.0,462.0,,,,,,,,686,0.004,2m,2.0,2.5,1.6,836,1020.0,0.003,1m,3.5,1.0,1.2000000000000002,510.0,514.0,0.009000000000000001,2m,4.0,3.0,1.4,788.0,0.15000000000000002,8,COMPLETE
58,58,-7.719257822257741,2025-06-14 19:17:34.720974,2025-06-14 19:17:38.286463,0 days 00:00:03.565489,270.0,0.01,1m,1.0,2.5,0.7,874.0,,,,,,,,54.0,0.009000000000000001,2m,4.0,3.5,0.8,786.0,,,,,,,,,,,,,,,810.0,0.01,3m,1.0,2.0,1.3,302.0,,,,,,,,728,0.008,1m,3.0,3.0,1.9000000000000001,464,,,,,,,,,,,,,,,0.1,4,COMPLETE
59,59,-4.779912371903364,2025-06-14 19:17:38.919619,2025-06-14 19:17:44.197325,0 days 00:00:05.277706,140.0,0.008,2m,4.0,3.0,1.5,462.0,930.0,0.002,4m,2.5,2.5,1.9000000000000001,970.0,214.0,0.007,1m,2.0,2.5,0.6,858.0,550.0,0.003,1m,2.5,3.0,1.5,858.0,,,,,,,,526.0,0.004,4m,2.0,1.5,1.8,580.0,,,,,,,,834,0.001,4m,2.5,2.0,1.7000000000000002,48,,,,,,,,,,,,,,,0.25,6,COMPLETE
60,60,0.624795959738601,2025-06-14 19:17:44.284421,2025-06-14 19:17:50.433799,0 days 00:00:06.149378,908.0,0.009000000000000001,1m,3.0,4.0,1.2000000000000002,790.0,338.0,0.007,2m,1.0,3.5,1.5,874.0,84.0,0.003,4m,2.5,2.0,0.5,348.0,660.0,0.007,1m,2.0,2.0,1.0,360.0,,,,,,,,964.0,0.008,4m,3.0,2.0,1.9000000000000001,356.0,,,,,,,,398,0.003,4m,2.0,3.5,1.8,754,,,,,,,,850.0,0.007,2m,3.5,4.0,1.0,610.0,0.2,7,COMPLETE
61,61,0.8241401445542013,2025-06-14 19:17:50.530686,2025-06-14 19:17:56.516572,0 days 00:00:05.985886,300.0,0.008,1m,3.5,3.0,1.7000000000000002,818.0,660.0,0.003,2m,1.5,3.0,1.6,444.0,126.0,0.006,1m,2.0,3.5,0.6,898.0,610.0,0.001,1m,2.0,1.5,1.7000000000000002,624.0,,,,,,,,606.0,0.003,2m,2.0,2.0,1.8,410.0,,,,,,,,504,0.002,3m,2.5,2.5,1.9000000000000001,202,,,,,,,,342.0,0.008,3m,3.5,2.5,0.8,428.0,0.25,7,COMPLETE
62,62,-0.41026602891433117,2025-06-14 19:17:56.580246,2025-06-14 19:18:03.771531,0 days 00:00:07.191285,322.0,0.008,1m,3.5,3.0,1.6,682.0,458.0,0.005,2m,2.0,3.0,0.7,384.0,164.0,0.005,1m,2.0,3.5,0.6,980.0,638.0,0.001,1m,2.0,1.5,1.7000000000000002,684.0,,,,,,,,652.0,0.003,3m,2.0,2.5,1.7000000000000002,340.0,,,,,,,,596,0.002,3m,2.5,2.5,1.8,138,522.0,0.01,3m,2.0,2.0,2.0,898.0,246.0,0.008,2m,4.0,2.0,1.1,322.0,0.25,8,COMPLETE
63,63,0.045118064295801084,2025-06-14 19:18:03.858247,2025-06-14 19:18:10.087857,0 days 00:00:06.229610,196.0,0.007,1m,3.5,3.0,1.9000000000000001,548.0,856.0,0.004,2m,1.5,2.5,1.3,540.0,126.0,0.006,1m,1.5,3.5,0.7,936.0,716.0,0.001,1m,2.5,1.5,1.9000000000000001,1010.0,,,,,,,,572.0,0.002,2m,1.5,2.0,1.9000000000000001,240.0,,,,,,,,536,0.002,2m,2.5,2.5,1.7000000000000002,162,,,,,,,,140.0,0.009000000000000001,2m,3.0,2.5,0.6,548.0,0.3,7,COMPLETE
64,64,-4.469439176610329,2025-06-14 19:18:10.173652,2025-06-14 19:18:14.534941,0 days 00:00:04.361289,400.0,0.009000000000000001,1m,2.5,3.5,1.3,950.0,,,,,,,,44.0,0.005,1m,2.0,4.0,0.5,842.0,586.0,0.002,2m,2.0,1.0,0.8,614.0,,,,,,,,694.0,0.003,1m,2.5,2.0,1.6,378.0,,,,,,,,490,0.001,3m,2.5,2.0,1.6,18,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
65,65,-4.9513262238655065,2025-06-14 19:18:14.637178,2025-06-14 19:18:23.380387,0 days 00:00:08.743209,244.0,0.008,4m,3.5,3.0,1.7000000000000002,796.0,718.0,0.005,2m,2.0,3.0,1.1,458.0,246.0,0.006,1m,2.5,3.5,0.6,882.0,668.0,0.001,4m,1.5,2.0,1.6,656.0,544.0,0.003,4m,3.0,3.0,0.5,792.0,826.0,0.005,2m,1.5,2.5,1.8,290.0,62.0,0.01,2m,2.5,2.5,1.4,548.0,656,0.003,3m,3.0,2.5,2.0,64,140.0,0.005,3m,1.0,3.5,1.5,730.0,474.0,0.006,3m,2.5,1.5,0.8,452.0,0.25,10,COMPLETE
66,66,0.3148194670626822,2025-06-14 19:18:23.489294,2025-06-14 19:18:28.681961,0 days 00:00:05.192667,158.0,0.006,1m,1.5,2.0,2.0,744.0,672.0,0.001,2m,1.0,3.5,1.7000000000000002,342.0,94.0,0.007,1m,2.0,3.0,0.5,826.0,444.0,0.002,1m,2.0,1.0,1.8,474.0,,,,,,,,400.0,0.004,4m,2.0,1.5,1.0,182.0,,,,,,,,462,0.002,1m,2.0,4.0,1.8,986,,,,,,,,,,,,,,,0.2,6,COMPLETE
67,67,-1.9038554366978602,2025-06-14 19:18:28.748541,2025-06-14 19:18:35.029164,0 days 00:00:06.280623,112.0,0.009000000000000001,1m,3.0,2.5,1.0,970.0,544.0,0.003,2m,2.5,2.5,1.1,412.0,184.0,0.008,1m,1.5,3.5,0.7,732.0,540.0,0.005,1m,1.5,1.5,1.3,748.0,,,,,,,,648.0,0.001,2m,2.5,1.0,1.7000000000000002,146.0,,,,,,,,434,0.001,3m,1.0,2.5,1.7000000000000002,678,,,,,,,,628.0,0.006,4m,2.0,2.5,0.6,532.0,0.35000000000000003,7,COMPLETE
68,68,-4.071963784049766,2025-06-14 19:18:35.121798,2025-06-14 19:18:43.322050,0 days 00:00:08.200252,556.0,0.008,1m,4.0,3.0,1.1,854.0,372.0,0.004,2m,1.5,3.0,1.4,262.0,308.0,0.006,1m,3.0,4.0,0.8,776.0,616.0,0.001,1m,2.0,1.0,1.7000000000000002,536.0,272.0,0.007,2m,1.5,1.5,1.7000000000000002,266.0,880.0,0.009000000000000001,2m,2.0,2.5,2.0,320.0,,,,,,,,590,0.003,4m,2.5,3.0,0.8,254,866.0,0.007,2m,2.5,3.5,0.5,374.0,118.0,0.01,1m,2.5,2.0,0.9,288.0,0.2,9,COMPLETE
69,69,0.5909431690860315,2025-06-14 19:18:43.398229,2025-06-14 19:18:49.196755,0 days 00:00:05.798526,220.0,0.01,3m,3.5,3.5,1.5,640.0,614.0,0.006,2m,2.0,3.5,1.7000000000000002,184.0,146.0,0.005,1m,2.0,3.0,0.9,914.0,754.0,0.003,1m,2.5,1.5,1.5,696.0,,,,,,,,550.0,0.002,3m,2.5,2.0,0.7,504.0,,,,,,,,350,0.002,3m,3.0,1.5,1.9000000000000001,934,,,,,,,,,,,,,,,0.3,6,COMPLETE
70,70,-3.2266115529208395,2025-06-14 19:18:49.310273,2025-06-14 19:18:56.535591,0 days 00:00:07.225318,64.0,0.007,1m,4.0,2.5,1.8,610.0,166.0,0.002,4m,1.5,3.0,0.5,482.0,380.0,0.007,2m,2.5,4.0,0.5,664.0,578.0,0.01,3m,1.5,1.0,2.0,842.0,,,,,,,,770.0,0.003,4m,2.0,2.0,1.8,248.0,,,,,,,,622,0.001,2m,2.0,2.5,1.6,368,420.0,0.002,4m,1.5,1.5,1.8,624.0,328.0,0.007,4m,1.5,1.0,1.6,190.0,0.15000000000000002,8,COMPLETE
71,71,-2.1249970486440897,2025-06-14 19:18:56.619102,2025-06-14 19:19:03.454454,0 days 00:00:06.835352,146.0,0.009000000000000001,1m,4.0,3.0,1.2000000000000002,670.0,590.0,0.001,2m,1.0,2.5,1.3,666.0,98.0,0.002,1m,2.5,3.5,1.7000000000000002,722.0,488.0,0.001,1m,3.0,1.5,1.9000000000000001,518.0,,,,,,,,472.0,0.006,3m,1.5,1.5,2.0,196.0,,,,,,,,550,0.003,2m,3.5,2.5,1.9000000000000001,84,,,,,,,,422.0,0.001,2m,4.0,3.5,1.0,600.0,0.2,7,COMPLETE
72,72,-1.8030490479106158,2025-06-14 19:19:03.547994,2025-06-14 19:19:10.264385,0 days 00:00:06.716391,174.0,0.009000000000000001,1m,4.0,3.0,1.0,690.0,482.0,0.001,2m,1.0,2.0,1.2000000000000002,738.0,76.0,0.001,1m,2.5,3.5,1.2000000000000002,748.0,368.0,0.001,1m,3.5,2.0,1.8,178.0,,,,,,,,632.0,0.006,3m,1.0,1.5,1.9000000000000001,210.0,,,,,,,,644,0.002,2m,3.5,2.5,2.0,46,,,,,,,,382.0,0.002,2m,4.0,3.5,1.1,676.0,0.2,7,COMPLETE
73,73,-0.29651734206146396,2025-06-14 19:19:10.345403,2025-06-14 19:19:16.721043,0 days 00:00:06.375640,120.0,0.009000000000000001,1m,4.0,3.0,1.0,470.0,476.0,0.002,2m,1.0,2.5,1.0,646.0,36.0,0.002,1m,2.0,3.5,1.5,634.0,288.0,0.001,1m,3.0,1.5,1.9000000000000001,558.0,,,,,,,,488.0,0.007,3m,1.5,1.0,2.0,396.0,,,,,,,,630,0.002,2m,2.5,2.5,2.0,128,,,,,,,,256.0,0.003,2m,3.5,3.0,1.1,580.0,0.25,7,COMPLETE
74,74,-0.5451571735724312,2025-06-14 19:19:16.793101,2025-06-14 19:19:21.435601,0 days 00:00:04.642500,276.0,0.008,1m,4.0,3.0,1.4,750.0,,,,,,,,488.0,0.006,1m,2.5,3.5,2.0,880.0,450.0,0.002,1m,3.0,1.0,0.5,612.0,,,,,,,,448.0,0.003,3m,1.5,2.0,1.9000000000000001,342.0,,,,,,,,568,0.003,2m,3.0,1.0,1.8,72,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
75,75,1.0936943911494166,2025-06-14 19:19:21.515687,2025-06-14 19:19:29.018213,0 days 00:00:07.502526,364.0,0.008,1m,3.5,1.0,1.1,652.0,504.0,0.001,2m,1.5,2.5,1.5,572.0,116.0,0.004,3m,1.5,3.5,1.4,814.0,518.0,0.002,1m,4.0,1.5,1.7000000000000002,490.0,,,,,,,,730.0,0.005,2m,2.0,1.5,1.8,304.0,,,,,,,,512,0.001,3m,3.0,3.0,2.0,154,630.0,0.005,1m,3.5,2.5,1.2000000000000002,952.0,350.0,0.005,2m,4.0,3.0,0.8,746.0,0.25,8,COMPLETE
76,76,-2.0127117317444796,2025-06-14 19:19:29.089010,2025-06-14 19:19:36.642664,0 days 00:00:07.553654,384.0,0.008,2m,3.5,1.0,1.1,544.0,420.0,0.003,1m,1.5,3.0,1.5,568.0,174.0,0.004,3m,1.0,3.0,1.3,816.0,780.0,0.002,1m,4.0,2.0,1.6,768.0,,,,,,,,710.0,0.004,2m,2.0,2.0,1.8,450.0,,,,,,,,502,0.001,3m,2.5,3.5,1.9000000000000001,154,648.0,0.005,1m,3.5,2.5,1.2000000000000002,950.0,342.0,0.005,3m,3.5,3.0,0.8,834.0,0.25,8,COMPLETE
77,77,-2.746538807230672,2025-06-14 19:19:36.781727,2025-06-14 19:19:46.080654,0 days 00:00:09.298927,316.0,0.007,1m,3.0,1.5,1.3,726.0,816.0,0.002,2m,2.0,2.5,1.6,458.0,562.0,0.004,3m,1.5,4.0,1.5,1016.0,680.0,0.009000000000000001,4m,1.0,1.5,1.7000000000000002,644.0,886.0,0.01,2m,2.5,2.5,0.9,600.0,1022.0,0.003,2m,2.0,2.5,1.7000000000000002,288.0,676.0,0.004,1m,2.0,3.0,1.4,654.0,448,0.001,3m,2.5,3.0,1.8,212,630.0,0.007,1m,3.5,2.0,1.0,804.0,294.0,0.005,2m,4.0,3.0,0.6,970.0,0.3,10,COMPLETE
78,78,-1.3614687872828237,2025-06-14 19:19:46.155733,2025-06-14 19:19:51.533615,0 days 00:00:05.377882,446.0,0.008,1m,3.5,1.5,1.2000000000000002,904.0,640.0,0.004,2m,2.5,1.5,1.8,528.0,230.0,0.004,3m,1.5,3.5,1.4,962.0,526.0,0.002,1m,2.0,1.0,1.4,450.0,,,,,,,,750.0,0.002,2m,2.0,1.5,1.5,312.0,,,,,,,,412,0.002,3m,3.0,3.0,1.4,114,,,,,,,,,,,,,,,0.25,6,COMPLETE
79,79,4.015835283019636,2025-06-14 19:19:51.598905,2025-06-14 19:19:58.633543,0 days 00:00:07.034638,354.0,0.004,4m,3.5,2.0,1.6,824.0,566.0,0.003,2m,1.5,2.0,1.5,396.0,64.0,0.01,3m,1.0,3.0,1.4,840.0,634.0,0.003,1m,2.5,1.0,1.6,576.0,,,,,,,,662.0,0.005,2m,2.5,3.5,1.8,368.0,,,,,,,,518,0.001,3m,2.5,3.0,1.2000000000000002,170,922.0,0.005,1m,2.5,2.5,1.3,924.0,216.0,0.007,3m,3.0,2.5,0.7,718.0,0.3,8,COMPLETE
80,80,-1.6980467881631798,2025-06-14 19:19:58.706448,2025-06-14 19:20:07.105672,0 days 00:00:08.399224,244.0,0.004,4m,3.5,3.5,1.6,816.0,762.0,0.003,2m,2.0,1.5,1.4,392.0,68.0,0.01,3m,1.0,2.5,0.6,844.0,642.0,0.003,2m,2.5,1.0,1.6,576.0,640.0,0.007,4m,1.5,1.5,1.3,828.0,606.0,0.004,2m,2.5,3.5,1.9000000000000001,374.0,,,,,,,,480,0.006,4m,2.0,3.5,1.1,266,894.0,0.006,1m,2.5,3.0,1.5,786.0,224.0,0.007,3m,3.0,2.5,0.5,670.0,0.3,9,COMPLETE
81,81,-0.49285149617308566,2025-06-14 19:20:07.178780,2025-06-14 19:20:14.729622,0 days 00:00:07.550842,342.0,0.003,4m,3.5,2.0,1.4,788.0,516.0,0.003,2m,1.5,2.0,1.5,312.0,118.0,0.01,3m,1.0,3.0,1.6,924.0,586.0,0.002,1m,2.5,1.0,1.5,664.0,,,,,,,,670.0,0.005,2m,2.5,3.0,1.7000000000000002,268.0,,,,,,,,526,0.001,3m,2.5,3.5,1.2000000000000002,182,738.0,0.005,1m,4.0,2.5,1.3,1014.0,298.0,0.008,3m,3.0,2.5,0.7,744.0,0.3,8,COMPLETE
