,number,value,datetime_start,datetime_complete,duration,params_AEP_AMGN_beta_win,params_AEP_AMGN_stop_loss,params_AEP_AMGN_trade_freq,params_AEP_AMGN_z_entry,params_AEP_AMGN_z_exit,params_AEP_AMGN_z_stop_scaler,params_AEP_AMGN_z_win,params_AMD_NTES_beta_win,params_AMD_NTES_stop_loss,params_AMD_NTES_trade_freq,params_AMD_NTES_z_entry,params_AMD_NTES_z_exit,params_AMD_NTES_z_stop_scaler,params_AMD_NTES_z_win,params_AMGN_JD_beta_win,params_AMGN_JD_stop_loss,params_AMGN_JD_trade_freq,params_AMGN_JD_z_entry,params_AMGN_JD_z_exit,params_AMGN_JD_z_stop_scaler,params_AMGN_JD_z_win,params_AMZN_GOOGL_beta_win,params_AMZN_GOOGL_stop_loss,params_AMZN_GOOGL_trade_freq,params_AMZN_GOOGL_z_entry,params_AMZN_GOOGL_z_exit,params_AMZN_GOOGL_z_stop_scaler,params_AMZN_GOOGL_z_win,params_AMZN_GOOG_beta_win,params_AMZN_GOOG_stop_loss,params_AMZN_GOOG_trade_freq,params_AMZN_GOOG_z_entry,params_AMZN_GOOG_z_exit,params_AMZN_GOOG_z_stop_scaler,params_AMZN_GOOG_z_win,params_ATVI_NTES_beta_win,params_ATVI_NTES_stop_loss,params_ATVI_NTES_trade_freq,params_ATVI_NTES_z_entry,params_ATVI_NTES_z_exit,params_ATVI_NTES_z_stop_scaler,params_ATVI_NTES_z_win,params_GOOGL_WDAY_beta_win,params_GOOGL_WDAY_stop_loss,params_GOOGL_WDAY_trade_freq,params_GOOGL_WDAY_z_entry,params_GOOGL_WDAY_z_exit,params_GOOGL_WDAY_z_stop_scaler,params_GOOGL_WDAY_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_ORLY_SIRI_beta_win,params_ORLY_SIRI_stop_loss,params_ORLY_SIRI_trade_freq,params_ORLY_SIRI_z_entry,params_ORLY_SIRI_z_exit,params_ORLY_SIRI_z_stop_scaler,params_ORLY_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,-9.141992765125803,2025-06-14 19:13:00.340795,2025-06-14 19:13:06.301509,0 days 00:00:05.960714,424.0,0.007,3m,3.0,3.0,1.3,936.0,98.0,0.001,2m,1.0,2.5,0.5,202.0,372.0,0.001,2m,2.0,1.0,1.1,1012.0,694.0,0.01,4m,1.5,1.0,0.9,808.0,,,,,,,,18.0,0.001,2m,3.5,4.0,1.6,60.0,,,,,,,,660,0.006,3m,3.0,3.0,1.6,52,,,,,,,,50.0,0.01,3m,4.0,4.0,0.9,1006.0,0.3,7,COMPLETE
11,11,-6.662694359818349,2025-06-14 19:13:06.378402,2025-06-14 19:13:07.454130,0 days 00:00:01.075728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0.01,2m,3.0,2.5,2.0,244,,,,,,,,,,,,,,,0.3,1,COMPLETE
12,12,-3.7951566759488684,2025-06-14 19:13:07.509714,2025-06-14 19:13:13.658898,0 days 00:00:06.149184,64.0,0.001,1m,3.0,4.0,1.6,646.0,386.0,0.005,2m,2.0,2.5,0.9,586.0,22.0,0.001,1m,3.0,1.5,2.0,1010.0,442.0,0.009000000000000001,4m,2.0,2.0,1.3,658.0,,,,,,,,286.0,0.004,3m,3.5,2.5,1.4,598.0,,,,,,,,164,0.006,2m,3.5,3.0,1.6,168,,,,,,,,1022.0,0.001,1m,3.0,3.5,1.3,874.0,0.35000000000000003,7,COMPLETE
13,13,-6.551947757565776,2025-06-14 19:13:13.744283,2025-06-14 19:13:14.760279,0 days 00:00:01.015996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,0.007,2m,3.0,1.0,1.1,454,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
14,14,-4.847825070678916,2025-06-14 19:13:14.818971,2025-06-14 19:13:20.098961,0 days 00:00:05.279990,648.0,0.003,3m,1.0,2.5,1.0,764.0,18.0,0.01,1m,4.0,1.5,1.3,38.0,344.0,0.005,1m,4.0,2.0,1.8,892.0,650.0,0.008,2m,4.0,2.0,0.6,20.0,,,,,,,,490.0,0.004,4m,1.5,2.5,0.9,246.0,,,,,,,,178,0.01,3m,3.5,3.0,1.6,382,,,,,,,,,,,,,,,0.2,6,COMPLETE
15,15,-4.463624641110292,2025-06-14 19:13:20.160640,2025-06-14 19:13:22.983794,0 days 00:00:02.823154,,,,,,,,,,,,,,,226.0,0.003,1m,3.0,3.5,1.4,828.0,,,,,,,,,,,,,,,204.0,0.005,3m,3.0,3.0,1.6,636.0,,,,,,,,414,0.004,2m,2.5,4.0,1.1,154,,,,,,,,,,,,,,,0.05,3,COMPLETE
16,16,-0.6563920238897716,2025-06-14 19:13:23.053165,2025-06-14 19:13:29.005879,0 days 00:00:05.952714,300.0,0.008,1m,3.5,2.5,1.7000000000000002,1024.0,658.0,0.004,2m,2.0,3.0,1.0,440.0,188.0,0.008,1m,2.0,3.5,1.1,902.0,1002.0,0.001,1m,2.0,1.5,2.0,494.0,,,,,,,,560.0,0.003,2m,2.0,2.0,2.0,374.0,,,,,,,,522,0.007,3m,4.0,2.0,1.8,22,,,,,,,,270.0,0.009000000000000001,3m,3.0,2.5,0.5,240.0,0.25,7,COMPLETE
17,17,-1.6073156904170451,2025-06-14 19:13:29.076987,2025-06-14 19:13:35.509317,0 days 00:00:06.432330,278.0,0.008,1m,3.5,2.5,1.6,1022.0,694.0,0.005,2m,2.0,3.0,1.0,482.0,408.0,0.008,2m,2.0,4.0,1.1,722.0,1022.0,0.002,1m,2.0,1.5,2.0,476.0,,,,,,,,526.0,0.002,2m,1.5,1.0,2.0,136.0,,,,,,,,804,0.007,3m,3.5,2.0,1.5,22,1024.0,0.01,2m,4.0,4.0,2.0,154.0,304.0,0.01,3m,3.0,2.5,0.7,174.0,0.1,8,COMPLETE
18,18,2.1985456403213472,2025-06-14 19:13:35.576259,2025-06-14 19:13:43.256302,0 days 00:00:07.680043,222.0,0.007,1m,3.5,3.0,2.0,788.0,632.0,0.003,2m,1.5,3.0,1.5,398.0,128.0,0.006,1m,2.0,3.5,0.5,840.0,322.0,0.001,1m,2.0,1.5,1.6,634.0,850.0,0.005,2m,1.0,1.0,1.6,976.0,688.0,0.003,2m,2.0,2.0,1.8,382.0,986.0,0.001,3m,1.0,4.0,2.0,972.0,530,0.001,3m,2.0,3.5,1.4,1008,52.0,0.006,3m,1.0,2.5,1.3,988.0,326.0,0.008,3m,2.5,3.0,0.5,330.0,0.15000000000000002,10,COMPLETE
19,19,-2.008237589312342,2025-06-14 19:13:43.332467,2025-06-14 19:13:51.675855,0 days 00:00:08.343388,172.0,0.006,1m,2.5,3.0,2.0,794.0,248.0,0.002,2m,1.5,2.0,1.6,694.0,508.0,0.005,2m,1.0,3.5,0.5,426.0,310.0,0.004,1m,1.0,2.0,1.6,662.0,1022.0,0.005,2m,1.0,1.0,1.6,956.0,706.0,0.001,2m,3.5,2.0,1.8,238.0,974.0,0.001,3m,1.0,4.0,2.0,1000.0,700,0.003,3m,2.0,3.5,1.4,1024,34.0,0.006,3m,1.0,2.5,1.3,972.0,446.0,0.004,3m,2.0,3.5,1.2000000000000002,376.0,0.1,10,COMPLETE
