date,time,PRICE_PYPL_PYPL_ON_ZM,PRICE_ZM_PYPL_ON_ZM,BETA_PYPL_ON_ZM,SPREAD_PYPL_ON_ZM,Z_PYPL_ON_ZM,market_close,SIGNAL_PYPL_ON_ZM,POS_PYPL_ON_ZM,POS_BETA_PYPL_ON_ZM,PAIR_BASE_PYPL_ON_ZM,PAIR_RET_PYPL_ON_ZM,SL_PYPL_ON_ZM,LOSS_PYPL_ON_ZM,COOLDOWN_PYPL_ON_ZM,CAPITAL_PYPL_ON_ZM,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-08-04,13:29:00.000000000,64.85,70.31,4.838862290372034,-275.37040763605773,-3.4342437621249045,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:30:00.000000000,64.74,70.345,4.812107529329372,-273.7677041506746,-3.3910000333674786,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:31:00.000000000,64.7,70.55,4.764372507261162,-271.426480387275,-3.338685027788576,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:32:00.000000000,64.59,70.4625,4.735750581298247,-269.10282533472775,-3.28758716507375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:33:00.000000000,64.5,70.59,4.684062562242407,-266.14797626869154,-3.229044149384412,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:34:00.000000000,64.48,70.305,4.660095735596005,-263.1480306910771,-3.170955220481812,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:35:00.000000000,64.0074,70.19,4.643219576451923,-261.90018207116043,-3.1369560057144783,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:36:00.000000000,63.66,70.19,4.622008994906429,-260.7588113524823,-3.1048986105785543,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:37:00.000000000,63.611,70.1791,4.600037068228352,-259.2154614149044,-3.0680917100022578,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:38:00.000000000,63.76,70.16,4.576187193638503,-257.30529350567735,-3.0270830576785857,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:39:00.000000000,63.74,70.0805,4.559429891737914,-255.78712652793888,-2.991799445186568,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:40:00.000000000,63.88,70.23,4.530357574405909,-254.28701245052702,-2.9572767665129507,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:41:00.000000000,63.709,70.1,4.513798018876361,-252.70824112323288,-2.922246692128379,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:42:00.000000000,63.7903,70.12,4.487661671286932,-250.8845363906397,-2.8845762736776073,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:43:00.000000000,63.8372,69.98,4.473763503788453,-249.23676999511594,-2.8496952471141337,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:44:00.000000000,63.7697,69.91,4.463180947763864,-248.25128005817174,-2.82375138869228,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:45:00.000000000,63.855,70.11,4.436584074016718,-247.19390942931213,-2.797231365945666,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:46:00.000000000,63.94,70.1899,4.400043354692917,-244.89860306156032,-2.7553423598806295,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:47:00.000000000,64.11,70.2,4.362332274536797,-242.12572567248316,-2.707964230142568,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:48:00.000000000,63.895,70.17,4.325196942420618,-239.60406944965476,-2.6643706596255217,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:49:00.000000000,63.83,70.214,4.282731288887847,-236.87769471797128,-2.618745652697998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-08-04,13:50:00.000000000,63.825,70.23,4.23991658102825,-233.94434148561407,-2.571077106667647,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
