date,time,PRICE_INTC_INTC_ON_CTAS,PRICE_CTAS_INTC_ON_CTAS,BETA_INTC_ON_CTAS,SPREAD_INTC_ON_CTAS,Z_INTC_ON_CTAS,market_close,SIGNAL_INTC_ON_CTAS,POS_INTC_ON_CTAS,POS_BETA_INTC_ON_CTAS,PAIR_BASE_INTC_ON_CTAS,PAIR_RET_INTC_ON_CTAS,SL_INTC_ON_CTAS,LOSS_INTC_ON_CTAS,COOLDOWN_INTC_ON_CTAS,CAPITAL_INTC_ON_CTAS,REMAINING_CAPITAL,CAPITAL,PORT_RET
2024-01-26,14:29:00.000000000,44.15,149.6275,0.5503353725489707,-38.19530595607112,-0.001481487311610453,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:30:00.000000000,44.76,150.005,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:31:00.000000000,44.3043,150.005,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:32:00.000000000,44.1802,150.005,0.5465335525662316,-37.80256555269757,0.09211407319134716,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:33:00.000000000,44.34,149.3875,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:34:00.000000000,44.61,149.3875,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:35:00.000000000,44.02,149.475,0.5444962720114788,-37.36858025891578,0.19522789424044015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:36:00.000000000,43.8,149.4863,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:37:00.000000000,44.0279,149.846,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:38:00.000000000,44.055,149.846,0.5412825045960685,-37.05401818370249,0.2708108871407483,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:39:00.000000000,44.07,149.846,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:40:00.000000000,43.985,149.846,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:41:00.000000000,43.98,149.846,0.5379483819687206,-36.629413244484915,0.3719357628370461,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:42:00.000000000,44.029,149.45,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:43:00.000000000,43.965,149.6557,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:44:00.000000000,43.8557,149.6557,0.5352132382554323,-36.242011820383496,0.46445763706598775,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:45:00.000000000,43.7,149.5042,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:46:00.000000000,43.505,149.5042,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:47:00.000000000,43.6511,149.5042,0.533046653423364,-36.04161348273729,0.513633395773673,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:48:00.000000000,43.53,149.5042,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:49:00.000000000,43.645,149.5042,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:50:00.000000000,43.505,149.5042,0.5307999302852426,-35.85181893735096,0.5602966709196401,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:51:00.000000000,43.5309,149.5042,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:52:00.000000000,43.57,149.5042,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:53:00.000000000,43.575,149.5042,0.5284507151844153,-35.43060141307386,0.6606755121214754,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:54:00.000000000,43.5025,149.5042,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:55:00.000000000,43.4599,149.5042,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:56:00.000000000,43.47,149.5042,0.5262452407763278,-35.20587372607227,0.7152334177544338,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:57:00.000000000,43.425,149.0325,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:58:00.000000000,43.79,149.03,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,14:59:00.000000000,43.82,149.03,0.5257527752290745,-34.53293609238897,0.8737461745965733,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,15:00:00.000000000,43.955,149.03,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,15:01:00.000000000,43.92,148.8875,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,15:02:00.000000000,43.845,148.9,0.5257318221724082,-34.436468321471594,0.8978476175929028,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,15:03:00.000000000,43.675,148.985,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,15:04:00.000000000,43.6412,149.06,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,15:05:00.000000000,43.715,148.85,0.5258797547856743,-34.5622014998476,0.8701598029727039,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,15:06:00.000000000,43.675,148.85,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,15:07:00.000000000,43.76,148.85,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,15:08:00.000000000,43.915,148.85,0.5261132831952088,-34.396962203606826,0.9103456129285119,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,15:09:00.000000000,43.865,148.85,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,15:10:00.000000000,43.945,148.96,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,15:11:00.000000000,43.895,149.0525,0.5257186904688115,-34.46468511110252,0.896008244808322,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,15:12:00.000000000,43.915,149.0525,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,15:13:00.000000000,43.935,149.0738,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2024-01-26,15:14:00.000000000,44.035,149.0738,0.5252662044559643,-34.26842910982754,0.9432616835280682,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
