,number,value,datetime_start,datetime_complete,duration,params_AAPL_CSCO_beta_win,params_AAPL_CSCO_stop_loss,params_AAPL_CSCO_trade_freq,params_AAPL_CSCO_z_entry,params_AAPL_CSCO_z_exit,params_AAPL_CSCO_z_stop_scaler,params_AAPL_CSCO_z_win,params_ADI_CERN_beta_win,params_ADI_CERN_stop_loss,params_ADI_CERN_trade_freq,params_ADI_CERN_z_entry,params_ADI_CERN_z_exit,params_ADI_CERN_z_stop_scaler,params_ADI_CERN_z_win,params_ADSK_CSCO_beta_win,params_ADSK_CSCO_stop_loss,params_ADSK_CSCO_trade_freq,params_ADSK_CSCO_z_entry,params_ADSK_CSCO_z_exit,params_ADSK_CSCO_z_stop_scaler,params_ADSK_CSCO_z_win,params_AMAT_CERN_beta_win,params_AMAT_CERN_stop_loss,params_AMAT_CERN_trade_freq,params_AMAT_CERN_z_entry,params_AMAT_CERN_z_exit,params_AMAT_CERN_z_stop_scaler,params_AMAT_CERN_z_win,params_AMAT_CSCO_beta_win,params_AMAT_CSCO_stop_loss,params_AMAT_CSCO_trade_freq,params_AMAT_CSCO_z_entry,params_AMAT_CSCO_z_exit,params_AMAT_CSCO_z_stop_scaler,params_AMAT_CSCO_z_win,params_AMD_FAST_beta_win,params_AMD_FAST_stop_loss,params_AMD_FAST_trade_freq,params_AMD_FAST_z_entry,params_AMD_FAST_z_exit,params_AMD_FAST_z_stop_scaler,params_AMD_FAST_z_win,params_ANSS_CERN_beta_win,params_ANSS_CERN_stop_loss,params_ANSS_CERN_trade_freq,params_ANSS_CERN_z_entry,params_ANSS_CERN_z_exit,params_ANSS_CERN_z_stop_scaler,params_ANSS_CERN_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ASML_CERN_beta_win,params_ASML_CERN_stop_loss,params_ASML_CERN_trade_freq,params_ASML_CERN_z_entry,params_ASML_CERN_z_exit,params_ASML_CERN_z_stop_scaler,params_ASML_CERN_z_win,params_ASML_CSCO_beta_win,params_ASML_CSCO_stop_loss,params_ASML_CSCO_trade_freq,params_ASML_CSCO_z_entry,params_ASML_CSCO_z_exit,params_ASML_CSCO_z_stop_scaler,params_ASML_CSCO_z_win,params_BIDU_CERN_beta_win,params_BIDU_CERN_stop_loss,params_BIDU_CERN_trade_freq,params_BIDU_CERN_z_entry,params_BIDU_CERN_z_exit,params_BIDU_CERN_z_stop_scaler,params_BIDU_CERN_z_win,params_BKNG_CSCO_beta_win,params_BKNG_CSCO_stop_loss,params_BKNG_CSCO_trade_freq,params_BKNG_CSCO_z_entry,params_BKNG_CSCO_z_exit,params_BKNG_CSCO_z_stop_scaler,params_BKNG_CSCO_z_win,params_CDNS_CERN_beta_win,params_CDNS_CERN_stop_loss,params_CDNS_CERN_trade_freq,params_CDNS_CERN_z_entry,params_CDNS_CERN_z_exit,params_CDNS_CERN_z_stop_scaler,params_CDNS_CERN_z_win,params_CERN_CSCO_beta_win,params_CERN_CSCO_stop_loss,params_CERN_CSCO_trade_freq,params_CERN_CSCO_z_entry,params_CERN_CSCO_z_exit,params_CERN_CSCO_z_stop_scaler,params_CERN_CSCO_z_win,params_CERN_DOCU_beta_win,params_CERN_DOCU_stop_loss,params_CERN_DOCU_trade_freq,params_CERN_DOCU_z_entry,params_CERN_DOCU_z_exit,params_CERN_DOCU_z_stop_scaler,params_CERN_DOCU_z_win,params_CERN_MELI_beta_win,params_CERN_MELI_stop_loss,params_CERN_MELI_trade_freq,params_CERN_MELI_z_entry,params_CERN_MELI_z_exit,params_CERN_MELI_z_stop_scaler,params_CERN_MELI_z_win,params_CERN_PYPL_beta_win,params_CERN_PYPL_stop_loss,params_CERN_PYPL_trade_freq,params_CERN_PYPL_z_entry,params_CERN_PYPL_z_exit,params_CERN_PYPL_z_stop_scaler,params_CERN_PYPL_z_win,params_CHTR_FISV_beta_win,params_CHTR_FISV_stop_loss,params_CHTR_FISV_trade_freq,params_CHTR_FISV_z_entry,params_CHTR_FISV_z_exit,params_CHTR_FISV_z_stop_scaler,params_CHTR_FISV_z_win,params_CMCSA_REGN_beta_win,params_CMCSA_REGN_stop_loss,params_CMCSA_REGN_trade_freq,params_CMCSA_REGN_z_entry,params_CMCSA_REGN_z_exit,params_CMCSA_REGN_z_stop_scaler,params_CMCSA_REGN_z_win,params_CSCO_MNST_beta_win,params_CSCO_MNST_stop_loss,params_CSCO_MNST_trade_freq,params_CSCO_MNST_z_entry,params_CSCO_MNST_z_exit,params_CSCO_MNST_z_stop_scaler,params_CSCO_MNST_z_win,params_CTAS_INCY_beta_win,params_CTAS_INCY_stop_loss,params_CTAS_INCY_trade_freq,params_CTAS_INCY_z_entry,params_CTAS_INCY_z_exit,params_CTAS_INCY_z_stop_scaler,params_CTAS_INCY_z_win,params_CTSH_SBUX_beta_win,params_CTSH_SBUX_stop_loss,params_CTSH_SBUX_trade_freq,params_CTSH_SBUX_z_entry,params_CTSH_SBUX_z_exit,params_CTSH_SBUX_z_stop_scaler,params_CTSH_SBUX_z_win,params_CTSH_XLNX_beta_win,params_CTSH_XLNX_stop_loss,params_CTSH_XLNX_trade_freq,params_CTSH_XLNX_z_entry,params_CTSH_XLNX_z_exit,params_CTSH_XLNX_z_stop_scaler,params_CTSH_XLNX_z_win,params_EBAY_INCY_beta_win,params_EBAY_INCY_stop_loss,params_EBAY_INCY_trade_freq,params_EBAY_INCY_z_entry,params_EBAY_INCY_z_exit,params_EBAY_INCY_z_stop_scaler,params_EBAY_INCY_z_win,params_EXC_VRTX_beta_win,params_EXC_VRTX_stop_loss,params_EXC_VRTX_trade_freq,params_EXC_VRTX_z_entry,params_EXC_VRTX_z_exit,params_EXC_VRTX_z_stop_scaler,params_EXC_VRTX_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_NXPI_QCOM_beta_win,params_NXPI_QCOM_stop_loss,params_NXPI_QCOM_trade_freq,params_NXPI_QCOM_z_entry,params_NXPI_QCOM_z_exit,params_NXPI_QCOM_z_stop_scaler,params_NXPI_QCOM_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_QCOM_TXN_beta_win,params_QCOM_TXN_stop_loss,params_QCOM_TXN_trade_freq,params_QCOM_TXN_z_entry,params_QCOM_TXN_z_exit,params_QCOM_TXN_z_stop_scaler,params_QCOM_TXN_z_win,params_REGN_SBUX_beta_win,params_REGN_SBUX_stop_loss,params_REGN_SBUX_trade_freq,params_REGN_SBUX_z_entry,params_REGN_SBUX_z_exit,params_REGN_SBUX_z_stop_scaler,params_REGN_SBUX_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,0.9411043721075407,2025-06-22 16:10:04.306903,2025-06-22 16:10:21.746900,0 days 00:00:17.439997,,,,,,,,,,,,,,,,,,,,,,8088.0,0.01,5m,3.0,1.0,2.0,168.0,,,,,,,,1264.0,0.05,3m,1.0,0.6000000000000001,2.0,384.0,1072.0,0.04,2m,3.0,0.0,0.5,144.0,7584.0,0.05,1m,3.0,1.0,2.0,600.0,3440,0.025,3m,1.6,0.6000000000000001,1.5,864,1328.0,0.05,5m,3.0,1.0,2.0,128.0,7968,0.05,2m,1.4,0.2,1.0,968,1456.0,0.04,4m,2.4000000000000004,1.0,1.5,1016.0,8144,0.025,4m,1.0,0.2,2.0,352,,,,,,,,5488.0,0.05,4m,3.0,0.2,1.0,632.0,,,,,,,,7832.0,0.05,3m,2.4000000000000004,1.0,2.0,168.0,,,,,,,,8144,0.01,2m,2.6,0.6000000000000001,1.0,400,1128,0.05,4m,2.8,0.0,2.0,128,,,,,,,,3016.0,0.01,2m,1.4,0.0,2.0,208.0,1272,0.02,4m,2.2,0.6000000000000001,2.0,152,5520,0.04,3m,2.2,1.0,2.0,488,,,,,,,,2976,0.015,2m,3.0,0.0,0.5,1000,,,,,,,,1232,0.02,1m,1.2,1.0,1.5,448,7464,0.05,4m,1.4,1.0,2.0,288,6896.0,0.04,3m,2.2,0.8,0.5,384.0,0.05,20,COMPLETE
11,11,0.9695848419292147,2025-06-22 16:10:21.787464,2025-06-22 16:10:31.805378,0 days 00:00:10.017914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,0.05,5m,2.4000000000000004,0.4,1.0,1008,,,,,,,,1088,0.04,4m,1.8,0.0,1.0,976,,,,,,,,4144,0.02,3m,1.2,0.0,0.5,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6296,0.025,4m,1.6,0.0,0.5,800,7800,0.05,2m,1.0,0.2,1.0,472,,,,,,,,,,,,,,,2176,0.02,2m,3.0,1.0,0.5,432,1096,0.025,4m,2.0,0.0,1.5,136,,,,,,,,1336,0.02,1m,1.0,0.6000000000000001,1.0,648,,,,,,,,5600,0.03,3m,1.4,0.0,2.0,472,2328,0.04,1m,2.4000000000000004,0.2,1.5,664,,,,,,,,0.5,10,COMPLETE
12,12,0.9638055271164954,2025-06-22 16:10:31.871442,2025-06-22 16:10:50.142352,0 days 00:00:18.270910,,,,,,,,,,,,,,,,,,,,,,1088.0,0.01,3m,1.8,0.6000000000000001,2.0,752.0,,,,,,,,3888.0,0.05,1m,3.0,0.0,2.0,1024.0,3096.0,0.05,5m,1.6,0.2,2.0,1000.0,2960.0,0.01,3m,1.0,0.0,0.5,664.0,1040,0.025,2m,2.6,0.2,1.5,848,5816.0,0.025,3m,1.0,0.0,1.0,968.0,5344,0.015,4m,1.4,0.6000000000000001,1.0,864,1792.0,0.05,3m,1.0,0.0,2.0,608.0,1200,0.02,3m,1.4,0.2,0.5,136,,,,,,,,7960.0,0.035,5m,2.6,1.0,1.5,504.0,,,,,,,,1200.0,0.045000000000000005,3m,2.2,0.8,1.0,496.0,,,,,,,,6440,0.04,4m,2.4000000000000004,0.8,1.0,432,5152,0.04,2m,2.8,0.0,1.0,136,,,,,,,,1304.0,0.02,4m,2.2,0.8,1.5,536.0,3368,0.01,2m,2.4000000000000004,0.8,1.0,344,2040,0.01,3m,2.4000000000000004,0.8,1.0,360,,,,,,,,3200,0.02,4m,2.6,0.8,1.0,544,,,,,,,,2968,0.03,1m,1.6,0.4,1.5,1024,2616,0.01,1m,2.6,0.4,1.5,504,3208.0,0.035,5m,1.6,0.6000000000000001,1.0,624.0,0.15000000000000002,20,COMPLETE
13,13,0.9227262688681155,2025-06-22 16:10:50.179786,2025-06-22 16:11:03.735171,0 days 00:00:13.555385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368.0,0.05,3m,1.4,0.4,1.5,968.0,4616.0,0.01,3m,1.0,0.8,1.5,712.0,2792,0.02,1m,1.6,0.2,1.0,136,,,,,,,,6880,0.03,2m,2.0,0.2,0.5,880,,,,,,,,3160,0.02,4m,1.0,0.2,0.5,472,,,,,,,,6672.0,0.05,4m,2.0,0.8,0.5,544.0,,,,,,,,2696.0,0.045000000000000005,1m,3.0,0.6000000000000001,1.0,336.0,,,,,,,,7160,0.025,4m,2.6,0.4,0.5,840,7624,0.045000000000000005,3m,1.6,0.2,0.5,528,,,,,,,,2616.0,0.025,4m,2.4000000000000004,1.0,0.5,176.0,2688,0.04,4m,3.0,0.4,1.5,1024,1056,0.04,4m,1.0,0.4,1.5,184,,,,,,,,3264,0.025,5m,1.4,0.8,0.5,712,,,,,,,,5664,0.05,4m,2.0,0.8,1.5,480,1864,0.04,3m,2.0,1.0,1.5,696,2728.0,0.03,4m,1.6,0.6000000000000001,1.0,632.0,0.15000000000000002,16,COMPLETE
14,14,0.9749088463538185,2025-06-22 16:11:03.781673,2025-06-22 16:11:23.473012,0 days 00:00:19.691339,,,,,,,,,,,,,,,,,,,,,,3048.0,0.02,3m,2.8,0.6000000000000001,1.5,1016.0,,,,,,,,7720.0,0.04,1m,1.8,0.0,2.0,512.0,3208.0,0.04,3m,2.4000000000000004,1.0,0.5,840.0,2888.0,0.035,3m,1.2,0.2,0.5,448.0,3168,0.035,3m,2.2,0.0,1.5,824,2480.0,0.02,3m,2.4000000000000004,0.2,2.0,1008.0,4856,0.02,1m,1.4,0.2,1.5,1000,3608.0,0.04,3m,1.0,0.2,1.5,808.0,6840,0.035,3m,1.8,0.0,0.5,712,1128.0,0.015,5m,3.0,1.0,2.0,128.0,4544.0,0.04,5m,1.6,0.8,1.5,400.0,,,,,,,,2608.0,0.04,3m,2.0,0.6000000000000001,2.0,640.0,1728.0,0.05,4m,3.0,0.0,0.5,136.0,5328,0.04,4m,1.4,0.0,1.0,472,4824,0.04,2m,2.4000000000000004,0.2,1.0,272,,,,,,,,5328.0,0.01,4m,1.6,0.6000000000000001,1.5,376.0,4264,0.02,2m,2.2,0.8,0.5,592,2192,0.025,4m,3.0,0.8,1.0,424,,,,,,,,1040,0.01,3m,2.6,0.2,1.0,856,,,,,,,,1392,0.025,3m,2.6,0.2,2.0,128,2880,0.02,1m,1.0,0.2,2.0,312,3704.0,0.01,4m,2.0,0.4,0.5,1024.0,0.35000000000000003,22,COMPLETE
15,15,0.9652553822392815,2025-06-22 16:11:23.514627,2025-06-22 16:11:40.198241,0 days 00:00:16.683614,,,,,,,,,,,,,,,,,,,,,,5448.0,0.02,3m,1.6,1.0,1.5,720.0,,,,,,,,,,,,,,,7888.0,0.045000000000000005,4m,2.2,0.0,1.5,480.0,4120.0,0.045000000000000005,3m,1.2,0.8,1.5,1000.0,1832,0.03,5m,1.6,0.4,1.0,984,8136.0,0.03,3m,1.4,0.2,1.0,512.0,3856,0.04,4m,1.8,0.6000000000000001,1.0,544,,,,,,,,4496,0.025,4m,2.6,0.4,2.0,976,,,,,,,,6984.0,0.03,5m,2.4000000000000004,0.8,1.0,688.0,,,,,,,,2592.0,0.05,1m,1.8,0.8,1.5,304.0,,,,,,,,5216,0.035,1m,1.8,0.8,1.5,536,2064,0.045000000000000005,4m,1.0,0.6000000000000001,2.0,976,,,,,,,,1024.0,0.025,3m,1.8,0.2,2.0,632.0,1480,0.015,3m,2.6,0.4,1.0,240,5496,0.045000000000000005,3m,1.8,0.2,2.0,648,,,,,,,,3800,0.035,1m,2.2,0.6000000000000001,2.0,472,,,,,,,,6160,0.04,1m,2.0,0.8,1.5,352,6872,0.04,5m,2.4000000000000004,0.4,1.5,648,5968.0,0.025,5m,1.4,0.8,1.0,472.0,0.5,18,COMPLETE
16,16,0.9700385051488737,2025-06-22 16:11:40.242175,2025-06-22 16:12:05.972704,0 days 00:00:25.730529,6968.0,0.05,3m,2.2,0.6000000000000001,2.0,160.0,7904.0,0.015,4m,1.6,0.8,2.0,392.0,8112.0,0.035,5m,1.0,0.0,2.0,1016.0,5032.0,0.05,2m,2.6,0.4,2.0,608.0,1072.0,0.03,4m,1.6,0.2,0.5,944.0,2400.0,0.01,1m,3.0,0.6000000000000001,1.5,128.0,2296.0,0.035,5m,1.6,0.4,1.0,480.0,7136.0,0.015,1m,1.0,0.2,1.0,736.0,2520,0.05,3m,1.0,0.6000000000000001,2.0,768,5040.0,0.015,5m,1.0,0.4,1.5,352.0,6904,0.025,2m,1.2,0.8,1.5,824,3216.0,0.01,3m,2.0,0.4,2.0,408.0,2104,0.015,3m,1.4,0.2,0.5,496,6800.0,0.025,1m,3.0,1.0,1.5,368.0,4688.0,0.01,4m,2.8,0.4,2.0,448.0,8144.0,0.05,4m,3.0,0.0,0.5,1000.0,5816.0,0.03,5m,2.4000000000000004,0.4,1.0,552.0,2544.0,0.015,3m,1.0,1.0,1.0,840.0,7144,0.025,2m,1.4,0.4,0.5,808,6776,0.035,4m,2.4000000000000004,0.0,1.0,680,1072.0,0.015,4m,1.0,0.0,0.5,992.0,3240.0,0.02,4m,1.2,0.8,1.5,496.0,2920,0.015,4m,2.0,0.8,2.0,456,4024,0.035,3m,2.4000000000000004,0.6000000000000001,1.5,280,4888.0,0.05,1m,1.0,0.0,2.0,1016.0,1936,0.025,5m,1.2,0.4,0.5,624,8112.0,0.015,3m,1.0,0.0,2.0,1000.0,4776,0.015,4m,1.4,0.4,2.0,552,3632,0.05,5m,2.0,0.8,1.0,408,1072.0,0.04,3m,2.2,0.2,0.5,248.0,0.1,30,COMPLETE
17,17,0.9644537226534512,2025-06-22 16:12:06.022772,2025-06-22 16:12:19.352353,0 days 00:00:13.329581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5224.0,0.01,3m,1.0,0.2,2.0,832.0,2040.0,0.03,3m,1.4,0.6000000000000001,0.5,296.0,3672,0.02,5m,2.6,0.2,1.5,544,,,,,,,,4416,0.035,2m,2.0,0.4,0.5,296,,,,,,,,4936,0.05,4m,1.8,0.0,1.0,320,,,,,,,,,,,,,,,,,,,,,,8072.0,0.04,3m,3.0,0.8,2.0,776.0,,,,,,,,7304,0.05,4m,2.8,0.6000000000000001,1.0,712,4576,0.05,2m,1.4,0.6000000000000001,0.5,272,,,,,,,,2200.0,0.015,2m,3.0,0.2,0.5,288.0,2152,0.025,2m,2.4000000000000004,0.6000000000000001,0.5,632,1880,0.02,4m,1.6,0.4,1.0,128,,,,,,,,6248,0.04,1m,2.8,0.8,1.0,912,,,,,,,,2664,0.035,4m,2.2,1.0,2.0,888,1216,0.035,1m,1.8,0.4,2.0,1024,,,,,,,,0.3,14,COMPLETE
18,18,0.969350370138796,2025-06-22 16:12:19.403992,2025-06-22 16:12:42.411089,0 days 00:00:23.007097,,,,,,,,,,,,,,,,,,,,,,6872.0,0.02,4m,1.0,0.8,1.0,888.0,,,,,,,,5200.0,0.03,3m,1.4,0.2,0.5,864.0,3704.0,0.035,2m,2.8,0.4,0.5,400.0,3392.0,0.02,1m,2.4000000000000004,0.0,2.0,560.0,1024,0.035,2m,2.0,0.0,1.0,936,6728.0,0.03,1m,1.6,0.0,1.0,840.0,1256,0.02,4m,3.0,0.0,1.0,616,6224.0,0.035,2m,1.2,0.2,1.5,128.0,6760,0.015,2m,2.4000000000000004,0.4,0.5,696,1448.0,0.025,4m,2.6,0.2,2.0,696.0,8192.0,0.04,1m,2.0,1.0,1.0,688.0,,,,,,,,2096.0,0.04,1m,2.6,0.6000000000000001,1.5,688.0,3272.0,0.035,4m,1.6,0.4,2.0,304.0,5536,0.04,4m,2.2,0.8,1.5,320,4360,0.045000000000000005,5m,1.6,1.0,2.0,560,,,,,,,,4912.0,0.03,4m,2.4000000000000004,0.6000000000000001,2.0,680.0,3576,0.04,4m,2.8,1.0,1.0,392,3248,0.035,2m,2.0,0.8,1.0,712,,,,,,,,2320,0.025,2m,2.2,0.2,1.5,128,,,,,,,,3384,0.045000000000000005,1m,1.6,0.0,1.0,560,3184,0.025,2m,1.2,0.2,1.5,816,2288.0,0.05,2m,2.6,0.4,1.0,696.0,0.2,22,COMPLETE
19,19,0.9766040746047294,2025-06-22 16:12:42.461089,2025-06-22 16:12:57.245601,0 days 00:00:14.784512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1824.0,0.045000000000000005,3m,2.0,1.0,1.0,744.0,4752.0,0.015,4m,1.4,1.0,1.5,768.0,8024,0.03,1m,1.4,0.4,1.5,712,,,,,,,,6136,0.04,1m,1.6,0.2,1.5,904,,,,,,,,3944,0.025,1m,1.6,0.0,1.0,528,,,,,,,,,,,,,,,,,,,,,,5144.0,0.03,3m,2.2,1.0,1.0,480.0,,,,,,,,4024,0.02,4m,2.0,0.2,2.0,544,8144,0.035,1m,1.2,0.2,1.0,448,,,,,,,,,,,,,,,4616,0.01,3m,1.6,0.4,1.5,528,7984,0.01,1m,2.6,0.0,1.5,280,,,,,,,,3832,0.01,4m,1.8,1.0,2.0,448,,,,,,,,1952,0.025,3m,2.6,0.2,1.5,384,1976,0.035,4m,2.4000000000000004,0.8,1.0,568,,,,,,,,0.35000000000000003,13,COMPLETE
20,20,0.9482486851560095,2025-06-22 16:12:57.310894,2025-06-22 16:13:14.750802,0 days 00:00:17.439908,,,,,,,,,,,,,,,,,,,,,,2800.0,0.04,5m,2.0,0.2,1.5,576.0,,,,,,,,5128.0,0.045000000000000005,5m,2.2,0.4,2.0,552.0,2744.0,0.03,2m,2.2,0.0,1.5,920.0,2688.0,0.04,2m,1.8,0.8,1.0,1024.0,1768,0.015,4m,2.4000000000000004,0.6000000000000001,1.0,440,4576.0,0.02,3m,2.2,0.8,1.5,664.0,7864,0.03,5m,2.2,0.4,0.5,768,,,,,,,,7496,0.035,5m,1.2,0.2,0.5,1016,,,,,,,,6736.0,0.045000000000000005,5m,2.4000000000000004,0.8,1.5,328.0,,,,,,,,3600.0,0.05,1m,1.8,0.2,0.5,328.0,,,,,,,,4760,0.045000000000000005,2m,1.2,0.0,0.5,872,5488,0.04,3m,1.6,0.0,2.0,888,,,,,,,,3488.0,0.015,2m,1.8,0.4,1.5,808.0,4920,0.025,1m,2.2,0.2,0.5,152,2448,0.025,5m,1.0,0.2,0.5,424,,,,,,,,3976,0.035,3m,2.4000000000000004,0.6000000000000001,0.5,648,,,,,,,,8176,0.035,1m,3.0,0.4,2.0,864,6320,0.045000000000000005,3m,3.0,0.0,2.0,744,3896.0,0.01,4m,1.8,0.8,2.0,536.0,0.45,19,COMPLETE
21,21,0.9414726560144949,2025-06-22 16:13:14.786649,2025-06-22 16:13:38.884290,0 days 00:00:24.097641,5208.0,0.035,5m,1.6,0.4,2.0,304.0,,,,,,,,,,,,,,,6632.0,0.025,4m,2.4000000000000004,0.0,0.5,400.0,7864.0,0.02,3m,3.0,0.4,1.0,936.0,6760.0,0.02,2m,2.6,0.8,1.5,1024.0,4288.0,0.01,1m,2.6,0.8,2.0,472.0,1192.0,0.025,1m,3.0,0.4,1.0,848.0,6512,0.01,4m,1.0,1.0,2.0,552,6016.0,0.01,4m,1.2,0.0,1.5,312.0,2824,0.02,3m,2.2,1.0,2.0,128,8176.0,0.015,5m,1.6,0.4,0.5,256.0,6128,0.01,1m,2.0,0.8,1.5,832,7448.0,0.01,1m,1.4,0.4,1.0,424.0,3592.0,0.045000000000000005,2m,2.4000000000000004,0.2,0.5,808.0,,,,,,,,3632.0,0.01,5m,1.4,0.2,1.0,1024.0,3680.0,0.025,4m,2.0,0.6000000000000001,1.0,696.0,2520,0.035,5m,1.4,0.2,1.0,720,4000,0.02,5m,1.2,1.0,0.5,776,,,,,,,,1632.0,0.015,1m,2.2,0.8,1.0,424.0,6496,0.05,3m,1.4,0.6000000000000001,1.0,488,1688,0.03,2m,2.4000000000000004,0.2,0.5,264,5080.0,0.05,5m,1.8,1.0,1.0,136.0,6784,0.045000000000000005,5m,2.2,1.0,2.0,160,7816.0,0.05,3m,1.4,1.0,0.5,616.0,6872,0.04,4m,2.8,0.2,1.0,640,4688,0.025,5m,2.8,0.8,1.0,912,4032.0,0.02,2m,1.8,0.0,1.5,360.0,0.05,26,COMPLETE
22,22,0.9832151173292604,2025-06-22 16:13:38.935682,2025-06-22 16:14:01.158825,0 days 00:00:22.223143,,,,,,,,,,,,,,,,,,,,,,8000.0,0.025,4m,2.0,0.2,0.5,344.0,5856.0,0.02,2m,2.0,0.6000000000000001,0.5,720.0,6960.0,0.025,2m,2.8,0.8,1.5,888.0,3632.0,0.015,1m,2.8,0.8,2.0,568.0,1328.0,0.03,1m,2.4000000000000004,0.4,0.5,832.0,6672,0.015,4m,1.2,0.8,2.0,448,6720.0,0.01,4m,1.4,0.0,2.0,368.0,1792,0.01,3m,2.4000000000000004,1.0,1.0,304,6368.0,0.01,5m,1.4,0.2,1.0,504.0,6304,0.015,1m,2.0,1.0,1.5,784,5656.0,0.02,1m,1.8,0.4,0.5,312.0,1048.0,0.045000000000000005,2m,2.2,0.0,0.5,760.0,,,,,,,,4104.0,0.02,5m,1.4,0.4,1.0,1000.0,5680.0,0.02,4m,1.6,0.8,1.0,352.0,3008,0.03,5m,1.6,0.4,1.0,720,2728,0.025,5m,1.4,0.8,0.5,1024,,,,,,,,1824.0,0.01,1m,2.0,0.8,1.0,128.0,6368,0.045000000000000005,3m,1.4,0.8,1.0,672,1456,0.035,2m,2.2,0.0,0.5,360,,,,,,,,1704,0.045000000000000005,5m,2.0,1.0,2.0,360,,,,,,,,8048,0.045000000000000005,4m,2.8,0.0,0.5,776,4304,0.03,5m,2.8,0.4,1.5,1000,5048.0,0.02,2m,1.8,0.2,1.5,392.0,0.1,23,COMPLETE
23,23,0.9589106497093611,2025-06-22 16:14:01.196135,2025-06-22 16:14:23.780838,0 days 00:00:22.584703,5224.0,0.04,4m,1.8,0.0,2.0,416.0,,,,,,,,,,,,,,,4240.0,0.015,3m,1.6,0.6000000000000001,1.0,560.0,2784.0,0.015,3m,1.8,0.4,1.5,144.0,5720.0,0.02,2m,2.6,0.2,1.0,736.0,4792.0,0.02,1m,2.6,0.6000000000000001,2.0,552.0,1832.0,0.025,1m,1.2,0.2,1.0,648.0,5008,0.02,4m,1.4,0.8,2.0,416,5104.0,0.015,3m,1.0,0.2,1.0,216.0,3168,0.015,3m,1.6,0.8,2.0,216,6032.0,0.025,4m,1.8,0.6000000000000001,0.5,264.0,5144,0.01,1m,1.6,0.6000000000000001,2.0,920,8192.0,0.01,1m,1.0,0.8,1.0,528.0,5392.0,0.035,4m,1.6,0.0,0.5,928.0,,,,,,,,1728.0,0.015,5m,1.2,0.2,1.0,920.0,1088.0,0.03,4m,2.8,0.4,1.0,640.0,6704,0.035,5m,1.6,0.2,1.5,704,2344,0.02,5m,1.8,0.6000000000000001,0.5,936,,,,,,,,1032.0,0.02,1m,1.4,1.0,1.0,352.0,7416,0.035,3m,1.0,0.6000000000000001,1.0,528,1512,0.02,2m,2.6,0.2,0.5,224,,,,,,,,2608,0.05,5m,2.4000000000000004,0.8,1.5,552,,,,,,,,5288,0.045000000000000005,4m,2.6,0.2,1.5,624,4912,0.02,5m,2.6,0.6000000000000001,1.0,880,4232.0,0.025,2m,1.4,0.0,1.5,272.0,0.1,24,COMPLETE
