,number,value,datetime_start,datetime_complete,duration,params_ALGN_ZS_beta_win,params_ALGN_ZS_stop_loss,params_ALGN_ZS_trade_freq,params_ALGN_ZS_z_entry,params_ALGN_ZS_z_exit,params_ALGN_ZS_z_stop_scaler,params_ALGN_ZS_z_win,params_AMAT_EBAY_beta_win,params_AMAT_EBAY_stop_loss,params_AMAT_EBAY_trade_freq,params_AMAT_EBAY_z_entry,params_AMAT_EBAY_z_exit,params_AMAT_EBAY_z_stop_scaler,params_AMAT_EBAY_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_CSCO_NVDA_beta_win,params_CSCO_NVDA_stop_loss,params_CSCO_NVDA_trade_freq,params_CSCO_NVDA_z_entry,params_CSCO_NVDA_z_exit,params_CSCO_NVDA_z_stop_scaler,params_CSCO_NVDA_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_CSCO_ZS_beta_win,params_CSCO_ZS_stop_loss,params_CSCO_ZS_trade_freq,params_CSCO_ZS_z_entry,params_CSCO_ZS_z_exit,params_CSCO_ZS_z_stop_scaler,params_CSCO_ZS_z_win,params_CTSH_ZS_beta_win,params_CTSH_ZS_stop_loss,params_CTSH_ZS_trade_freq,params_CTSH_ZS_z_entry,params_CTSH_ZS_z_exit,params_CTSH_ZS_z_stop_scaler,params_CTSH_ZS_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_OKTA_ZS_beta_win,params_OKTA_ZS_stop_loss,params_OKTA_ZS_trade_freq,params_OKTA_ZS_z_entry,params_OKTA_ZS_z_exit,params_OKTA_ZS_z_stop_scaler,params_OKTA_ZS_z_win,params_SWKS_ZS_beta_win,params_SWKS_ZS_stop_loss,params_SWKS_ZS_trade_freq,params_SWKS_ZS_z_entry,params_SWKS_ZS_z_exit,params_SWKS_ZS_z_stop_scaler,params_SWKS_ZS_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,1.0166959221398264,2025-06-22 17:11:27.045272,2025-06-22 17:11:39.322267,0 days 00:00:12.276995,6440,0.01,3m,1.2,0.4,1.0,1008,2480.0,0.03,2m,2.8,1.0,1.5,568.0,2264.0,0.045000000000000005,4m,1.2,1.0,0.5,496.0,3872.0,0.04,5m,2.4000000000000004,0.6000000000000001,1.0,744.0,3080.0,0.035,6m,2.2,0.8,1.5,672.0,5128.0,0.025,4m,1.6,1.0,1.5,1016.0,2048.0,0.05,2m,1.6,0.6000000000000001,1.0,200.0,2496.0,0.02,3m,1.0,0.0,2.0,424.0,,,,,,,,1792.0,0.015,8m,1.4,1.0,1.5,512.0,0.15000000000000002,9,COMPLETE
31,31,1.050004940524658,2025-06-22 17:11:39.378059,2025-06-22 17:11:47.892943,0 days 00:00:08.514884,5992,0.015,5m,1.0,0.2,1.5,840,4832.0,0.02,5m,2.2,0.8,1.0,520.0,2648.0,0.04,4m,1.4,0.8,1.0,784.0,,,,,,,,2408.0,0.045000000000000005,6m,1.6,0.8,1.5,928.0,7568.0,0.02,3m,1.6,0.8,0.5,744.0,2208.0,0.045000000000000005,8m,2.2,0.2,0.5,592.0,3024.0,0.03,8m,2.0,0.2,1.5,536.0,,,,,,,,2880.0,0.02,6m,2.0,0.6000000000000001,2.0,752.0,0.1,8,COMPLETE
32,32,1.063534361343747,2025-06-22 17:11:47.935419,2025-06-22 17:11:55.449314,0 days 00:00:07.513895,5944,0.015,5m,1.0,0.2,1.5,848,4008.0,0.025,5m,2.2,0.8,1.0,528.0,2640.0,0.04,4m,1.4,0.8,0.5,824.0,,,,,,,,4248.0,0.05,6m,1.6,0.6000000000000001,1.5,904.0,7648.0,0.015,3m,1.6,0.8,0.5,760.0,1832.0,0.045000000000000005,8m,2.4000000000000004,0.2,0.5,672.0,,,,,,,,,,,,,,,3112.0,0.015,6m,2.0,0.8,2.0,744.0,0.05,7,COMPLETE
33,33,0.9796739195089726,2025-06-22 17:11:55.465335,2025-06-22 17:12:03.380572,0 days 00:00:07.915237,5456,0.02,5m,1.2,0.4,1.5,944,3760.0,0.03,5m,2.2,0.8,1.5,552.0,3456.0,0.035,4m,1.6,0.8,0.5,816.0,,,,,,,,4368.0,0.05,6m,2.2,0.6000000000000001,1.0,968.0,8160.0,0.015,3m,1.6,1.0,0.5,848.0,3576.0,0.04,8m,2.6,0.6000000000000001,0.5,704.0,,,,,,,,,,,,,,,4440.0,0.015,6m,2.0,0.8,1.5,920.0,0.05,7,COMPLETE
34,34,0.9927952768193938,2025-06-22 17:12:03.412496,2025-06-22 17:12:11.763993,0 days 00:00:08.351497,5136,0.025,2m,1.2,0.2,1.0,856,3936.0,0.025,7m,2.0,0.6000000000000001,1.0,360.0,3488.0,0.02,7m,1.2,0.6000000000000001,0.5,600.0,,,,,,,,5304.0,0.025,6m,2.8,0.6000000000000001,1.5,1024.0,6584.0,0.015,3m,1.2,0.2,0.5,960.0,,,,,,,,,,,,,,,,,,,,,,3896.0,0.01,2m,2.2,1.0,2.0,632.0,0.05,6,COMPLETE
35,35,1.087445197388458,2025-06-22 17:12:11.795462,2025-06-22 17:12:19.726122,0 days 00:00:07.930660,4192,0.02,7m,1.0,0.4,1.5,704,3080.0,0.045000000000000005,5m,1.6,1.0,1.0,768.0,1344.0,0.03,4m,1.8,1.0,0.5,896.0,,,,,,,,3360.0,0.03,4m,2.4000000000000004,0.4,2.0,624.0,5776.0,0.01,3m,1.4,0.8,0.5,624.0,1696.0,0.045000000000000005,6m,2.4000000000000004,0.8,1.0,464.0,,,,,,,,,,,,,,,3184.0,0.03,5m,1.6,0.8,0.5,760.0,0.1,7,COMPLETE
36,36,0.9537092644289398,2025-06-22 17:12:19.769578,2025-06-22 17:12:26.041511,0 days 00:00:06.271933,4120,0.02,7m,1.2,0.4,1.5,536,2816.0,0.045000000000000005,5m,1.6,0.8,1.5,792.0,2368.0,0.025,8m,1.8,0.8,0.5,928.0,,,,,,,,3432.0,0.03,4m,2.0,0.2,2.0,632.0,4904.0,0.01,2m,1.4,0.8,0.5,624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,5,COMPLETE
37,37,1.0131369847114895,2025-06-22 17:12:26.061839,2025-06-22 17:12:35.929852,0 days 00:00:09.868013,4352,0.025,7m,1.4,0.6000000000000001,2.0,792,1648.0,0.045000000000000005,5m,1.6,1.0,1.0,928.0,1200.0,0.03,5m,2.2,0.4,0.5,840.0,,,,,,,,4664.0,0.04,4m,2.2,0.4,2.0,896.0,5928.0,0.01,6m,1.8,0.8,0.5,640.0,4392.0,0.045000000000000005,6m,2.8,0.8,1.0,424.0,,,,,,,,,,,,,,,3272.0,0.03,5m,1.6,0.8,0.5,896.0,0.15000000000000002,7,COMPLETE
38,38,1.0290434244739601,2025-06-22 17:12:35.993204,2025-06-22 17:12:43.038973,0 days 00:00:07.045769,2984,0.01,9m,1.8,0.4,1.5,928,2008.0,0.045000000000000005,6m,1.4,0.4,1.5,720.0,2064.0,0.035,9m,1.0,0.6000000000000001,0.5,688.0,,,,,,,,3888.0,0.035,4m,2.4000000000000004,0.2,2.0,800.0,5656.0,0.015,8m,1.4,1.0,0.5,536.0,1976.0,0.04,6m,2.4000000000000004,1.0,1.0,456.0,,,,,,,,,,,,,,,4336.0,0.05,5m,1.6,1.0,0.5,776.0,0.1,7,COMPLETE
39,39,0.9222553637483226,2025-06-22 17:12:43.089747,2025-06-22 17:12:54.540955,0 days 00:00:11.451208,5112,0.02,7m,2.0,0.6000000000000001,1.5,1024,3240.0,0.035,2m,1.6,1.0,1.0,856.0,1640.0,0.025,7m,1.6,0.8,0.5,752.0,2656.0,0.02,7m,1.6,0.4,0.5,432.0,6160.0,0.045000000000000005,9m,1.4,0.4,2.0,624.0,7656.0,0.01,9m,1.6,0.8,0.5,712.0,3248.0,0.03,5m,2.4000000000000004,0.8,1.5,280.0,4744.0,0.045000000000000005,3m,3.0,0.8,0.5,264.0,1120.0,0.01,7m,2.6,1.0,0.5,888.0,5368.0,0.03,3m,1.2,0.8,1.0,576.0,0.05,10,COMPLETE
40,40,0.98038214058529,2025-06-22 17:12:54.578578,2025-06-22 17:13:00.225922,0 days 00:00:05.647344,3248,0.045000000000000005,8m,1.2,0.8,2.0,632,2800.0,0.04,5m,2.2,0.6000000000000001,1.5,600.0,1144.0,0.035,5m,2.2,1.0,1.5,904.0,,,,,,,,3168.0,0.035,7m,2.2,0.0,1.0,768.0,4456.0,0.015,7m,1.2,1.0,1.0,896.0,,,,,,,,,,,,,,,,,,,,,,2408.0,0.035,8m,1.8,1.0,1.5,408.0,0.1,6,COMPLETE
41,41,0.9253996392750513,2025-06-22 17:13:00.274544,2025-06-22 17:13:09.603089,0 days 00:00:09.328545,6712,0.015,2m,1.0,0.2,1.0,712,4328.0,0.03,5m,2.6,1.0,1.0,512.0,1744.0,0.03,4m,1.4,1.0,0.5,864.0,,,,,,,,2776.0,0.03,4m,2.4000000000000004,0.8,1.5,488.0,6400.0,0.02,3m,1.0,0.0,0.5,608.0,1576.0,0.05,6m,2.2,0.6000000000000001,0.5,696.0,,,,,,,,,,,,,,,3128.0,0.015,5m,2.0,0.8,2.0,728.0,0.15000000000000002,7,COMPLETE
42,42,0.9756606773448169,2025-06-22 17:13:09.652698,2025-06-22 17:13:21.548019,0 days 00:00:11.895321,5960,0.015,3m,1.0,0.2,1.5,880,5056.0,0.025,6m,2.8,1.0,1.0,208.0,4320.0,0.05,4m,1.4,1.0,0.5,272.0,5184.0,0.04,2m,2.4000000000000004,0.8,1.5,832.0,4304.0,0.025,3m,2.6,0.6000000000000001,1.5,520.0,6888.0,0.02,3m,2.0,0.8,0.5,832.0,1128.0,0.045000000000000005,4m,1.8,0.4,0.5,584.0,1144.0,0.015,6m,2.6,0.2,2.0,1024.0,,,,,,,,3904.0,0.01,6m,2.0,0.6000000000000001,1.5,696.0,0.35000000000000003,9,COMPLETE
43,43,0.967812392409829,2025-06-22 17:13:21.594151,2025-06-22 17:13:30.619407,0 days 00:00:09.025256,4824,0.015,4m,1.0,0.4,0.5,704,5888.0,0.035,9m,1.0,0.8,1.0,392.0,1552.0,0.04,4m,1.2,0.8,1.0,1008.0,,,,,,,,1616.0,0.03,2m,2.8,1.0,1.5,960.0,7088.0,0.01,2m,1.6,0.4,1.0,944.0,2288.0,0.05,8m,2.2,0.2,0.5,880.0,,,,,,,,,,,,,,,1616.0,0.015,8m,2.2,0.4,0.5,768.0,0.1,7,COMPLETE
44,44,1.0563271034909258,2025-06-22 17:13:30.649976,2025-06-22 17:13:40.834385,0 days 00:00:10.184409,2016,0.01,5m,1.4,0.2,1.0,832,3424.0,0.03,2m,2.2,1.0,1.0,656.0,4984.0,0.035,2m,1.8,1.0,0.5,736.0,,,,,,,,3320.0,0.02,9m,2.0,0.8,0.5,616.0,7720.0,0.015,4m,1.0,0.6000000000000001,2.0,736.0,1528.0,0.045000000000000005,8m,2.4000000000000004,0.8,0.5,480.0,1904.0,0.02,7m,1.6,0.0,1.0,808.0,,,,,,,,2408.0,0.035,6m,1.8,0.8,1.0,608.0,0.15000000000000002,8,COMPLETE
45,45,0.9173978413943437,2025-06-22 17:13:40.864764,2025-06-22 17:13:47.232654,0 days 00:00:06.367890,5944,0.02,6m,1.2,0.4,1.5,792,7624.0,0.05,7m,2.4000000000000004,0.8,1.5,488.0,6840.0,0.045000000000000005,4m,2.8,1.0,1.5,168.0,,,,,,,,8144.0,0.035,6m,2.4000000000000004,0.4,1.0,712.0,6136.0,0.025,5m,1.2,0.2,0.5,672.0,,,,,,,,,,,,,,,,,,,,,,5008.0,0.025,5m,1.4,0.6000000000000001,2.0,528.0,0.05,6,COMPLETE
46,46,1.0156244846991644,2025-06-22 17:13:47.260650,2025-06-22 17:13:56.664135,0 days 00:00:09.403485,5416,0.015,8m,1.0,0.2,1.0,512,2992.0,0.045000000000000005,4m,2.0,0.4,2.0,576.0,2672.0,0.03,6m,1.4,0.6000000000000001,1.0,648.0,5000.0,0.03,7m,1.6,0.2,1.0,848.0,4944.0,0.025,7m,2.2,0.6000000000000001,1.5,288.0,7912.0,0.01,3m,1.4,0.4,1.5,560.0,1720.0,0.04,6m,2.8,0.6000000000000001,1.0,616.0,5256.0,0.03,4m,2.2,0.2,2.0,456.0,,,,,,,,6072.0,0.045000000000000005,9m,2.6,0.8,1.5,872.0,0.2,9,COMPLETE
47,47,1.083031479017358,2025-06-22 17:13:56.685555,2025-06-22 17:14:02.202826,0 days 00:00:05.517271,7528,0.01,5m,1.2,0.8,1.5,648,3752.0,0.025,5m,2.2,0.6000000000000001,1.0,616.0,2016.0,0.025,3m,1.6,0.8,0.5,344.0,,,,,,,,1960.0,0.05,8m,1.4,0.8,2.0,992.0,6624.0,0.015,7m,3.0,0.0,0.5,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
48,48,0.9040322213461162,2025-06-22 17:14:02.237336,2025-06-22 17:14:05.422107,0 days 00:00:03.184771,7640,0.01,7m,1.2,0.8,1.5,264,,,,,,,,,,,,,,,,,,,,,,1816.0,0.05,8m,1.4,0.4,2.0,1000.0,5688.0,0.015,7m,2.8,0.0,0.5,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,3,COMPLETE
49,49,0.9481449610203554,2025-06-22 17:14:05.453932,2025-06-22 17:14:11.336249,0 days 00:00:05.882317,4232,0.01,5m,1.2,1.0,1.5,648,3584.0,0.035,5m,2.2,0.6000000000000001,1.5,688.0,1992.0,0.02,3m,2.0,0.4,0.5,344.0,,,,,,,,1448.0,0.05,8m,1.2,0.2,2.0,896.0,4096.0,0.01,7m,2.8,1.0,0.5,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,5,COMPLETE
50,50,0.9868845638017097,2025-06-22 17:14:11.379179,2025-06-22 17:14:15.693680,0 days 00:00:04.314501,3704,0.035,9m,1.4,0.8,2.0,600,,,,,,,,6512.0,0.025,3m,1.6,0.8,0.5,984.0,,,,,,,,2800.0,0.045000000000000005,8m,1.0,0.8,2.0,936.0,6248.0,0.035,7m,3.0,0.0,0.5,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
51,51,1.0504999314540768,2025-06-22 17:14:15.723330,2025-06-22 17:14:24.669486,0 days 00:00:08.946156,8128,0.015,5m,1.0,0.6000000000000001,1.5,704,4320.0,0.025,5m,2.4000000000000004,0.6000000000000001,1.0,624.0,2120.0,0.025,3m,1.2,0.8,0.5,272.0,,,,,,,,2144.0,0.03,5m,1.2,0.8,2.0,976.0,6720.0,0.02,4m,2.8,0.0,0.5,456.0,2336.0,0.01,3m,1.6,1.0,1.0,720.0,,,,,,,,,,,,,,,3984.0,0.02,3m,1.6,0.2,0.5,664.0,0.2,7,COMPLETE
52,52,1.099149482377731,2025-06-22 17:14:24.704968,2025-06-22 17:14:30.778238,0 days 00:00:06.073270,7488,0.01,5m,1.0,0.4,1.5,976,3912.0,0.025,5m,2.4000000000000004,0.8,1.0,728.0,2576.0,0.015,4m,1.4,1.0,0.5,488.0,,,,,,,,2632.0,0.05,6m,1.4,1.0,1.5,824.0,7392.0,0.015,3m,3.0,0.2,0.5,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,5,COMPLETE
53,53,1.0498840694704268,2025-06-22 17:14:30.805370,2025-06-22 17:14:34.909591,0 days 00:00:04.104221,7616,0.01,5m,1.2,0.4,1.5,984,,,,,,,,2496.0,0.015,4m,1.8,0.8,0.5,536.0,,,,,,,,3448.0,0.05,8m,1.4,1.0,1.5,832.0,7232.0,0.015,7m,3.0,0.0,0.5,392.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
54,54,1.0018112464057025,2025-06-22 17:14:34.961819,2025-06-22 17:14:42.124084,0 days 00:00:07.162265,6944,0.01,5m,1.0,0.4,1.5,872,3192.0,0.03,5m,2.2,0.8,1.0,728.0,1024.0,0.01,3m,1.6,0.6000000000000001,0.5,472.0,,,,,,,,2600.0,0.05,3m,1.6,1.0,2.0,808.0,7624.0,0.015,3m,3.0,0.8,0.5,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
55,55,1.1166862278615934,2025-06-22 17:14:42.158279,2025-06-22 17:14:44.643250,0 days 00:00:02.484971,7832,0.01,5m,1.0,0.2,1.5,976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600.0,0.01,5m,3.0,0.2,0.5,544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
56,56,1.0,2025-06-22 17:14:44.664930,2025-06-22 17:14:47.149262,0 days 00:00:02.484332,7720,0.01,6m,2.2,1.0,1.5,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3304.0,0.05,5m,2.8,0.0,0.5,560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2,COMPLETE
57,57,1.04965175647538,2025-06-22 17:14:47.190627,2025-06-22 17:14:49.599724,0 days 00:00:02.409097,7952,0.01,2m,1.0,0.4,1.5,984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
58,58,1.0484389448048546,2025-06-22 17:14:49.619722,2025-06-22 17:14:52.262647,0 days 00:00:02.642925,7400,0.03,3m,1.2,0.6000000000000001,1.5,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3648.0,0.015,5m,2.4000000000000004,0.2,0.5,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
59,59,1.0105677333031298,2025-06-22 17:14:52.290061,2025-06-22 17:14:55.929993,0 days 00:00:03.639932,3976,0.01,5m,1.4,0.2,1.5,960,,,,,,,,,,,,,,,,,,,,,,1056.0,0.045000000000000005,4m,1.2,1.0,1.0,712.0,2552.0,0.045000000000000005,5m,1.8,0.2,1.0,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
60,60,1.03476760344367,2025-06-22 17:14:55.957557,2025-06-22 17:14:58.585630,0 days 00:00:02.628073,4672,0.015,4m,1.6,0.8,2.0,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3712.0,0.01,6m,2.6,0.6000000000000001,0.5,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
61,61,1.0393432699380916,2025-06-22 17:14:58.611668,2025-06-22 17:15:04.626935,0 days 00:00:06.015267,6896,0.015,5m,1.0,0.2,1.5,808,2592.0,0.02,5m,2.4000000000000004,0.6000000000000001,0.5,760.0,8104.0,0.015,4m,1.4,1.0,0.5,568.0,,,,,,,,3024.0,0.05,6m,1.4,1.0,1.5,880.0,7384.0,0.01,3m,3.0,0.4,0.5,608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,5,COMPLETE
62,62,1.0486701166451253,2025-06-22 17:15:04.640678,2025-06-22 17:15:11.948928,0 days 00:00:07.308250,7976,0.01,5m,1.0,0.2,1.5,920,3808.0,0.025,5m,1.8,0.8,1.0,856.0,1512.0,0.015,8m,1.8,0.8,2.0,344.0,,,,,,,,3688.0,0.04,6m,1.6,0.6000000000000001,1.5,920.0,6992.0,0.015,5m,3.0,0.2,0.5,536.0,,,,,,,,,,,,,,,,,,,,,,3360.0,0.025,2m,1.0,1.0,1.0,976.0,0.15000000000000002,6,COMPLETE
63,63,1.0544003160063788,2025-06-22 17:15:12.002947,2025-06-22 17:15:15.475831,0 days 00:00:03.472884,7376,0.015,5m,1.0,0.2,1.5,1016,,,,,,,,,,,,,,,,,,,,,,7144.0,0.045000000000000005,6m,1.8,0.8,2.0,864.0,1864.0,0.01,4m,3.0,0.2,0.5,584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,3,COMPLETE
64,64,0.9137834216829721,2025-06-22 17:15:15.491545,2025-06-22 17:15:21.092866,0 days 00:00:05.601321,6936,0.02,5m,1.2,0.2,1.5,864,,,,,,,,1816.0,0.03,4m,1.2,1.0,0.5,600.0,,,,,,,,1952.0,0.05,2m,1.2,0.6000000000000001,1.5,1000.0,6392.0,0.01,8m,2.8,0.8,0.5,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,4,COMPLETE
65,65,1.0408202462024918,2025-06-22 17:15:21.131765,2025-06-22 17:15:26.992357,0 days 00:00:05.860592,7816,0.015,5m,1.0,0.4,1.5,632,1704.0,0.015,5m,2.0,0.8,1.0,648.0,3840.0,0.025,7m,1.4,0.8,1.5,472.0,,,,,,,,3912.0,0.04,5m,2.0,0.8,1.5,952.0,7888.0,0.015,9m,2.8,0.4,0.5,128.0,,,,,,,,,,,,,,,,,,,,,,3576.0,0.04,9m,1.6,1.0,1.5,240.0,0.15000000000000002,6,COMPLETE
66,66,1.0104635011814551,2025-06-22 17:15:27.021707,2025-06-22 17:15:32.107774,0 days 00:00:05.086067,5688,0.01,7m,1.0,0.6000000000000001,1.5,576,4368.0,0.05,8m,2.4000000000000004,0.6000000000000001,1.5,584.0,5640.0,0.035,9m,1.6,1.0,0.5,976.0,,,,,,,,4456.0,0.045000000000000005,6m,1.8,1.0,2.0,832.0,4760.0,0.02,3m,3.0,0.6000000000000001,0.5,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,5,COMPLETE
67,67,0.9625984127617369,2025-06-22 17:15:32.149218,2025-06-22 17:15:39.387623,0 days 00:00:07.238405,6376,0.01,5m,1.2,0.2,1.0,784,3456.0,0.02,5m,2.2,0.4,2.0,680.0,2776.0,0.02,4m,1.6,0.6000000000000001,0.5,184.0,,,,,,,,2576.0,0.05,8m,1.4,0.4,1.0,768.0,6776.0,0.01,2m,2.8,0.4,0.5,688.0,,,,,,,,,,,,,,,,,,,,,,6712.0,0.03,8m,1.2,0.2,1.0,968.0,0.1,6,COMPLETE
68,68,0.9552415249951779,2025-06-22 17:15:39.415475,2025-06-22 17:15:52.910619,0 days 00:00:13.495144,7360,0.015,8m,1.2,0.0,1.5,960,4056.0,0.03,2m,2.6,0.8,1.0,744.0,3160.0,0.015,2m,1.0,0.0,1.0,536.0,8144.0,0.05,4m,1.0,0.8,0.5,472.0,3200.0,0.015,9m,1.6,0.8,1.5,672.0,7424.0,0.015,3m,3.0,0.2,0.5,768.0,5568.0,0.035,2m,1.6,0.8,1.0,384.0,8160.0,0.035,5m,2.8,0.6000000000000001,1.0,296.0,4736.0,0.025,6m,2.2,0.0,2.0,136.0,2688.0,0.025,6m,1.4,0.8,0.5,800.0,0.15000000000000002,10,COMPLETE
69,69,1.0268121194442938,2025-06-22 17:15:52.937777,2025-06-22 17:15:54.495843,0 days 00:00:01.558066,4928,0.02,5m,1.0,0.4,1.5,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
70,70,1.0040277150474437,2025-06-22 17:15:54.531167,2025-06-22 17:15:59.281062,0 days 00:00:04.749895,7168,0.01,5m,1.4,0.4,1.0,848,,,,,,,,2224.0,0.03,5m,2.0,0.8,1.5,416.0,,,,,,,,2216.0,0.04,7m,1.0,0.6000000000000001,1.5,872.0,7144.0,0.01,3m,2.6,0.0,1.0,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
71,71,1.0172789870230292,2025-06-22 17:15:59.318869,2025-06-22 17:16:09.257380,0 days 00:00:09.938511,6616,0.015,5m,1.0,0.0,1.0,752,3760.0,0.025,3m,2.6,1.0,1.0,464.0,3192.0,0.04,4m,1.4,1.0,1.0,240.0,,,,,,,,2928.0,0.02,6m,2.6,0.8,1.5,424.0,6576.0,0.025,3m,1.8,0.2,1.5,976.0,1032.0,0.05,4m,2.0,0.4,0.5,680.0,2784.0,0.01,9m,2.2,0.0,1.5,768.0,,,,,,,,1928.0,0.01,3m,2.4000000000000004,0.4,2.0,680.0,0.35000000000000003,8,COMPLETE
72,72,1.0240097620963942,2025-06-22 17:16:09.291086,2025-06-22 17:16:17.566883,0 days 00:00:08.275797,6080,0.015,5m,1.0,0.0,1.0,680,4912.0,0.025,3m,2.8,0.8,1.0,536.0,5200.0,0.045000000000000005,4m,1.4,1.0,0.5,376.0,,,,,,,,2480.0,0.03,6m,2.4000000000000004,0.8,1.5,552.0,5304.0,0.02,3m,1.4,0.2,1.5,904.0,3272.0,0.045000000000000005,7m,2.8,0.2,0.5,872.0,,,,,,,,,,,,,,,1400.0,0.02,5m,2.6,0.6000000000000001,2.0,848.0,0.25,7,COMPLETE
73,73,1.0356267735421498,2025-06-22 17:16:17.606219,2025-06-22 17:16:28.389763,0 days 00:00:10.783544,7544,0.02,5m,1.0,0.2,1.0,896,4504.0,0.025,3m,2.4000000000000004,0.2,0.5,400.0,2480.0,0.04,4m,1.6,1.0,0.5,248.0,,,,,,,,3536.0,0.025,6m,2.8,1.0,1.5,488.0,6000.0,0.03,3m,1.6,0.4,2.0,848.0,1680.0,0.04,3m,1.8,0.0,1.5,544.0,1600.0,0.02,2m,1.2,0.4,2.0,944.0,,,,,,,,4208.0,0.015,7m,2.0,0.6000000000000001,2.0,616.0,0.45,8,COMPLETE
74,74,0.9900469562460991,2025-06-22 17:16:28.429427,2025-06-22 17:16:35.550096,0 days 00:00:07.120669,6448,0.01,7m,3.0,0.0,0.5,680,5128.0,0.02,9m,2.6,1.0,1.0,624.0,4224.0,0.035,6m,1.2,0.8,1.0,136.0,,,,,,,,1960.0,0.03,6m,2.4000000000000004,0.8,1.5,920.0,7536.0,0.02,4m,1.4,0.2,0.5,520.0,2416.0,0.025,8m,1.4,0.6000000000000001,0.5,736.0,,,,,,,,,,,,,,,2088.0,0.01,4m,2.2,0.4,2.0,456.0,0.1,7,COMPLETE
75,75,0.9957136851283249,2025-06-22 17:16:35.610298,2025-06-22 17:16:44.885294,0 days 00:00:09.274996,6832,0.015,9m,1.2,0.0,1.5,824,1024.0,0.03,3m,2.0,1.0,1.0,296.0,3688.0,0.04,4m,1.4,1.0,2.0,296.0,,,,,,,,1432.0,0.035,6m,2.6,0.6000000000000001,2.0,992.0,6416.0,0.015,3m,1.8,0.8,0.5,488.0,3992.0,0.05,9m,2.6,0.8,1.0,640.0,7152.0,0.015,6m,2.0,0.2,1.5,728.0,,,,,,,,4840.0,0.02,3m,2.4000000000000004,0.0,1.5,728.0,0.2,8,COMPLETE
76,76,1.0631811480846118,2025-06-22 17:16:44.915401,2025-06-22 17:16:55.307860,0 days 00:00:10.392459,8160,0.01,5m,1.0,0.2,1.0,1000,4680.0,0.025,4m,2.4000000000000004,0.8,1.5,848.0,3040.0,0.05,3m,1.8,0.8,0.5,344.0,3000.0,0.02,5m,3.0,0.2,1.5,296.0,2768.0,0.02,4m,2.0,0.8,1.5,592.0,6976.0,0.02,7m,2.0,0.8,1.0,560.0,3096.0,0.015,7m,1.2,1.0,2.0,272.0,4216.0,0.025,3m,1.6,0.0,2.0,504.0,,,,,,,,3160.0,0.015,8m,1.8,0.8,2.0,760.0,0.3,9,COMPLETE
