,number,value,datetime_start,datetime_complete,duration,params_ALGN_ZS_beta_win,params_ALGN_ZS_stop_loss,params_ALGN_ZS_trade_freq,params_ALGN_ZS_z_entry,params_ALGN_ZS_z_exit,params_ALGN_ZS_z_stop_scaler,params_ALGN_ZS_z_win,params_AMAT_EBAY_beta_win,params_AMAT_EBAY_stop_loss,params_AMAT_EBAY_trade_freq,params_AMAT_EBAY_z_entry,params_AMAT_EBAY_z_exit,params_AMAT_EBAY_z_stop_scaler,params_AMAT_EBAY_z_win,params_ASML_EBAY_beta_win,params_ASML_EBAY_stop_loss,params_ASML_EBAY_trade_freq,params_ASML_EBAY_z_entry,params_ASML_EBAY_z_exit,params_ASML_EBAY_z_stop_scaler,params_ASML_EBAY_z_win,params_CSCO_NVDA_beta_win,params_CSCO_NVDA_stop_loss,params_CSCO_NVDA_trade_freq,params_CSCO_NVDA_z_entry,params_CSCO_NVDA_z_exit,params_CSCO_NVDA_z_stop_scaler,params_CSCO_NVDA_z_win,params_CSCO_WDAY_beta_win,params_CSCO_WDAY_stop_loss,params_CSCO_WDAY_trade_freq,params_CSCO_WDAY_z_entry,params_CSCO_WDAY_z_exit,params_CSCO_WDAY_z_stop_scaler,params_CSCO_WDAY_z_win,params_CSCO_ZS_beta_win,params_CSCO_ZS_stop_loss,params_CSCO_ZS_trade_freq,params_CSCO_ZS_z_entry,params_CSCO_ZS_z_exit,params_CSCO_ZS_z_stop_scaler,params_CSCO_ZS_z_win,params_CTSH_ZS_beta_win,params_CTSH_ZS_stop_loss,params_CTSH_ZS_trade_freq,params_CTSH_ZS_z_entry,params_CTSH_ZS_z_exit,params_CTSH_ZS_z_stop_scaler,params_CTSH_ZS_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_OKTA_ZS_beta_win,params_OKTA_ZS_stop_loss,params_OKTA_ZS_trade_freq,params_OKTA_ZS_z_entry,params_OKTA_ZS_z_exit,params_OKTA_ZS_z_stop_scaler,params_OKTA_ZS_z_win,params_SWKS_ZS_beta_win,params_SWKS_ZS_stop_loss,params_SWKS_ZS_trade_freq,params_SWKS_ZS_z_entry,params_SWKS_ZS_z_exit,params_SWKS_ZS_z_stop_scaler,params_SWKS_ZS_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,0.9711606496680044,2025-06-22 17:08:43.952268,2025-06-22 17:08:45.411046,0 days 00:00:01.458778,7840,0.01,5m,1.8,0.0,2.0,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,1,COMPLETE
11,11,1.0038407144066728,2025-06-22 17:08:45.458633,2025-06-22 17:08:49.924798,0 days 00:00:04.466165,4488,0.03,6m,2.8,0.2,1.0,552,,,,,,,,5160.0,0.01,4m,3.0,1.0,1.5,1024.0,,,,,,,,3608.0,0.02,6m,3.0,0.6000000000000001,1.5,1016.0,7800.0,0.035,5m,1.8,0.4,0.5,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4,COMPLETE
12,12,0.9993936137629469,2025-06-22 17:08:49.978152,2025-06-22 17:08:54.850193,0 days 00:00:04.872041,4568,0.035,4m,2.4000000000000004,0.4,0.5,408,,,,,,,,8120.0,0.01,4m,2.2,0.0,1.5,136.0,,,,,,,,3704.0,0.025,6m,3.0,0.4,1.0,432.0,2976.0,0.025,8m,1.8,0.2,1.5,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
13,13,1.000420770892096,2025-06-22 17:08:54.866161,2025-06-22 17:08:59.414492,0 days 00:00:04.548331,6688,0.01,5m,3.0,0.0,1.0,664,,,,,,,,,,,,,,,,,,,,,,5160.0,0.01,2m,2.6,0.6000000000000001,1.5,848.0,1080.0,0.03,4m,2.4000000000000004,0.6000000000000001,1.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
14,14,0.9716256891468722,2025-06-22 17:08:59.472856,2025-06-22 17:09:09.063439,0 days 00:00:09.590583,3744,0.03,7m,2.4000000000000004,0.2,1.5,680,4664.0,0.035,3m,3.0,0.0,1.5,992.0,3864.0,0.04,6m,1.0,0.6000000000000001,0.5,320.0,1752.0,0.05,6m,3.0,0.0,0.5,232.0,2944.0,0.02,8m,1.8,0.4,1.0,408.0,6576.0,0.04,9m,1.4,0.2,2.0,784.0,1448.0,0.01,9m,2.6,0.4,0.5,1016.0,8168.0,0.05,5m,1.0,1.0,0.5,160.0,,,,,,,,3496.0,0.01,3m,2.2,1.0,2.0,128.0,0.05,9,COMPLETE
15,15,0.9697084886297402,2025-06-22 17:09:09.118671,2025-06-22 17:09:15.797597,0 days 00:00:06.678926,5704,0.04,6m,1.8,0.4,0.5,344,1256.0,0.01,2m,1.8,0.6000000000000001,1.5,288.0,5632.0,0.02,3m,1.8,0.2,2.0,920.0,,,,,,,,5776.0,0.05,5m,2.6,1.0,0.5,848.0,3264.0,0.035,5m,1.8,0.6000000000000001,1.0,416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
16,16,1.0100797248129172,2025-06-22 17:09:15.849058,2025-06-22 17:09:26.170381,0 days 00:00:10.321323,3816,0.015,5m,2.6,0.2,1.0,608,4504.0,0.025,3m,2.6,1.0,1.0,456.0,3408.0,0.04,4m,1.4,1.0,1.0,320.0,,,,,,,,2592.0,0.02,3m,2.8,0.8,1.5,480.0,6136.0,0.025,3m,1.0,0.2,1.5,1024.0,1216.0,0.05,4m,2.2,0.0,0.5,792.0,1072.0,0.015,6m,1.4,0.0,2.0,992.0,,,,,,,,1896.0,0.01,4m,2.2,0.6000000000000001,2.0,712.0,0.45,8,COMPLETE
17,17,1.056946535693318,2025-06-22 17:09:26.229898,2025-06-22 17:09:36.106250,0 days 00:00:09.876352,6592,0.015,5m,1.0,0.0,1.0,736,4792.0,0.025,3m,2.6,1.0,1.0,392.0,3200.0,0.04,4m,1.4,1.0,1.0,288.0,,,,,,,,2336.0,0.025,6m,2.6,0.8,1.5,520.0,6592.0,0.02,3m,1.0,0.2,1.5,1008.0,1080.0,0.05,4m,2.2,0.0,0.5,752.0,1096.0,0.015,6m,1.4,0.0,2.0,1016.0,,,,,,,,1752.0,0.01,4m,2.2,0.6000000000000001,2.0,712.0,0.25,8,COMPLETE
18,18,1.046706532815309,2025-06-22 17:09:36.154095,2025-06-22 17:09:45.291779,0 days 00:00:09.137684,7120,0.015,5m,1.0,0.0,1.5,760,4696.0,0.02,3m,2.4000000000000004,0.8,0.5,440.0,2920.0,0.04,4m,1.4,0.8,1.0,400.0,,,,,,,,2432.0,0.04,6m,1.8,0.8,1.5,832.0,7168.0,0.02,3m,2.2,0.6000000000000001,0.5,280.0,2744.0,0.035,8m,2.0,0.0,0.5,552.0,3472.0,0.025,8m,1.8,0.4,1.5,624.0,,,,,,,,2856.0,0.02,4m,2.4000000000000004,0.6000000000000001,2.0,808.0,0.25,8,COMPLETE
19,19,1.039256372503261,2025-06-22 17:09:45.338812,2025-06-22 17:09:55.225027,0 days 00:00:09.886215,8088,0.01,5m,1.0,0.0,1.5,744,5312.0,0.02,8m,1.8,0.8,0.5,416.0,2888.0,0.045000000000000005,4m,2.0,0.8,1.0,440.0,1104.0,0.01,3m,2.6,1.0,2.0,1016.0,2136.0,0.045000000000000005,6m,1.6,1.0,1.5,744.0,6896.0,0.015,3m,2.2,0.8,1.0,496.0,2944.0,0.05,8m,2.4000000000000004,0.0,0.5,504.0,3512.0,0.025,8m,1.8,0.4,1.5,648.0,,,,,,,,2208.0,0.015,4m,2.4000000000000004,0.6000000000000001,1.0,832.0,0.25,9,COMPLETE
