,number,value,datetime_start,datetime_complete,duration,params_AAPL_PDD_beta_win,params_AAPL_PDD_stop_loss,params_AAPL_PDD_trade_freq,params_AAPL_PDD_z_entry,params_AAPL_PDD_z_exit,params_AAPL_PDD_z_stop_scaler,params_AAPL_PDD_z_win,params_AMGN_ADI_beta_win,params_AMGN_ADI_stop_loss,params_AMGN_ADI_trade_freq,params_AMGN_ADI_z_entry,params_AMGN_ADI_z_exit,params_AMGN_ADI_z_stop_scaler,params_AMGN_ADI_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_GOOGL_FTNT_beta_win,params_GOOGL_FTNT_stop_loss,params_GOOGL_FTNT_trade_freq,params_GOOGL_FTNT_z_entry,params_GOOGL_FTNT_z_exit,params_GOOGL_FTNT_z_stop_scaler,params_GOOGL_FTNT_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MRNA_PCAR_beta_win,params_MRNA_PCAR_stop_loss,params_MRNA_PCAR_trade_freq,params_MRNA_PCAR_z_entry,params_MRNA_PCAR_z_exit,params_MRNA_PCAR_z_stop_scaler,params_MRNA_PCAR_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_PDD_PEP_beta_win,params_PDD_PEP_stop_loss,params_PDD_PEP_trade_freq,params_PDD_PEP_z_entry,params_PDD_PEP_z_exit,params_PDD_PEP_z_stop_scaler,params_PDD_PEP_z_win,params_SBUX_TXN_beta_win,params_SBUX_TXN_stop_loss,params_SBUX_TXN_trade_freq,params_SBUX_TXN_z_entry,params_SBUX_TXN_z_exit,params_SBUX_TXN_z_stop_scaler,params_SBUX_TXN_z_win,params_ZS_ADI_beta_win,params_ZS_ADI_stop_loss,params_ZS_ADI_trade_freq,params_ZS_ADI_z_entry,params_ZS_ADI_z_exit,params_ZS_ADI_z_stop_scaler,params_ZS_ADI_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,0.9425561664202681,2025-06-22 16:59:15.090582,2025-06-22 16:59:25.258463,0 days 00:00:10.167881,5048.0,0.01,7m,2.2,0.8,1.0,136.0,2048.0,0.01,8m,3.0,0.0,0.5,128.0,5248.0,0.025,8m,2.0,0.6000000000000001,2.0,416.0,1200.0,0.05,5m,2.8,0.0,0.5,176.0,7128,0.04,3m,2.2,0.4,1.5,920,7840.0,0.05,8m,1.6,0.6000000000000001,1.5,616.0,6896.0,0.045000000000000005,6m,2.2,0.8,1.5,920.0,,,,,,,,7936.0,0.05,3m,1.0,1.0,0.5,152.0,1024.0,0.01,5m,2.6,0.0,1.0,440.0,0.2,9,COMPLETE
31,31,1.0284062353452308,2025-06-22 16:59:25.286045,2025-06-22 16:59:30.391719,0 days 00:00:05.105674,,,,,,,,,,,,,,,2928.0,0.035,5m,1.4,0.8,1.5,488.0,,,,,,,,5968,0.01,4m,1.8,0.2,2.0,664,3624.0,0.02,5m,1.0,0.8,0.5,504.0,3208.0,0.02,4m,2.6,0.6000000000000001,0.5,448.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
32,32,0.9830127853517642,2025-06-22 16:59:30.436705,2025-06-22 16:59:36.105212,0 days 00:00:05.668507,,,,,,,,,,,,,,,2696.0,0.04,5m,1.4,1.0,1.5,304.0,,,,,,,,5424,0.025,4m,1.8,0.2,2.0,784,3424.0,0.025,3m,1.0,0.8,0.5,384.0,4504.0,0.02,4m,3.0,0.4,0.5,448.0,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
33,33,1.0136761694532455,2025-06-22 16:59:36.148387,2025-06-22 16:59:40.782435,0 days 00:00:04.634048,,,,,,,,,,,,,,,4072.0,0.03,5m,1.8,0.8,1.5,608.0,,,,,,,,5096,0.01,2m,2.0,0.2,2.0,680,6440.0,0.02,5m,1.2,1.0,0.5,784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,3,COMPLETE
34,34,0.9884669323679595,2025-06-22 16:59:40.814151,2025-06-22 16:59:43.705660,0 days 00:00:02.891509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6440,0.025,4m,1.6,0.4,2.0,616,5712.0,0.04,5m,1.0,0.6000000000000001,1.0,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
35,35,0.9647074013940815,2025-06-22 16:59:43.747371,2025-06-22 16:59:49.320697,0 days 00:00:05.573326,,,,,,,,,,,,,,,1888.0,0.04,4m,1.6,1.0,1.5,368.0,,,,,,,,5880,0.045000000000000005,6m,2.6,0.0,1.5,848,4592.0,0.03,5m,1.4,0.4,1.0,456.0,3088.0,0.01,9m,2.6,1.0,1.0,264.0,,,,,,,,,,,,,,,4664.0,0.02,4m,1.8,1.0,1.5,840.0,0.4,5,COMPLETE
36,36,0.9612486622065495,2025-06-22 16:59:49.344416,2025-06-22 16:59:52.004245,0 days 00:00:02.659829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5256,0.05,9m,1.6,0.6000000000000001,0.5,504,3088.0,0.035,3m,1.2,0.8,0.5,624.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
37,37,1.0213700299747055,2025-06-22 16:59:52.034850,2025-06-22 17:00:02.117278,0 days 00:00:10.082428,5664.0,0.05,5m,1.8,0.6000000000000001,0.5,288.0,7976.0,0.05,6m,2.4000000000000004,0.6000000000000001,0.5,520.0,3352.0,0.025,5m,2.2,0.8,1.5,248.0,,,,,,,,7552,0.035,2m,2.2,0.4,2.0,776,5464.0,0.02,5m,1.0,0.6000000000000001,1.0,544.0,2376.0,0.02,3m,2.4000000000000004,0.6000000000000001,0.5,624.0,,,,,,,,1144.0,0.015,5m,1.4,0.0,2.0,1008.0,7216.0,0.04,8m,1.4,0.4,0.5,128.0,0.25,8,COMPLETE
38,38,1.0165172647147107,2025-06-22 17:00:02.194999,2025-06-22 17:00:09.763633,0 days 00:00:07.568634,2672.0,0.015,3m,1.0,1.0,1.0,776.0,,,,,,,,1040.0,0.03,5m,1.2,1.0,1.0,488.0,,,,,,,,3824,0.04,8m,2.4000000000000004,0.2,1.0,744,3728.0,0.015,3m,1.4,0.4,1.5,720.0,3864.0,0.015,4m,2.0,0.0,1.0,496.0,,,,,,,,,,,,,,,5328.0,0.025,9m,2.0,0.8,1.5,448.0,0.3,6,COMPLETE
39,39,1.0159473305743767,2025-06-22 17:00:09.790619,2025-06-22 17:00:16.425756,0 days 00:00:06.635137,,,,,,,,,,,,,,,2280.0,0.035,2m,2.0,0.8,2.0,360.0,,,,,,,,6880,0.015,3m,2.8,0.0,1.5,600,2768.0,0.03,3m,2.6,1.0,1.0,392.0,4992.0,0.03,4m,2.8,0.8,1.5,376.0,,,,,,,,,,,,,,,,,,,,,,0.4,4,COMPLETE
40,40,0.9867950365538735,2025-06-22 17:00:16.467821,2025-06-22 17:00:21.194216,0 days 00:00:04.726395,,,,,,,,,,,,,,,4336.0,0.02,5m,1.4,0.4,1.5,248.0,,,,,,,,4704,0.02,5m,1.6,0.6000000000000001,2.0,824,4744.0,0.045000000000000005,2m,1.8,0.8,0.5,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
41,41,0.9944667569486862,2025-06-22 17:00:21.227321,2025-06-22 17:00:32.806640,0 days 00:00:11.579319,5056.0,0.05,5m,1.8,0.6000000000000001,0.5,288.0,7600.0,0.045000000000000005,6m,2.4000000000000004,0.6000000000000001,0.5,464.0,3216.0,0.025,5m,2.2,0.8,1.5,232.0,2168.0,0.01,3m,3.0,1.0,2.0,968.0,7464,0.035,2m,2.2,0.4,2.0,776,5336.0,0.02,5m,1.0,0.6000000000000001,1.0,528.0,2400.0,0.02,3m,2.4000000000000004,0.6000000000000001,0.5,624.0,,,,,,,,1144.0,0.015,5m,1.4,0.0,2.0,992.0,6976.0,0.04,8m,1.4,0.4,0.5,136.0,0.25,9,COMPLETE
42,42,0.9475058345755769,2025-06-22 17:00:32.835878,2025-06-22 17:00:42.576912,0 days 00:00:09.741034,5776.0,0.045000000000000005,5m,2.2,0.6000000000000001,0.5,328.0,8168.0,0.05,6m,2.4000000000000004,0.6000000000000001,0.5,584.0,3464.0,0.025,5m,2.6,1.0,1.5,128.0,,,,,,,,6208,0.03,2m,2.0,0.4,2.0,688,5816.0,0.015,5m,1.2,0.6000000000000001,1.0,560.0,1112.0,0.02,3m,2.4000000000000004,0.6000000000000001,0.5,144.0,,,,,,,,3544.0,0.02,4m,1.8,0.4,1.5,616.0,6944.0,0.04,8m,1.0,0.2,1.0,464.0,0.25,8,COMPLETE
43,43,0.9866600911000135,2025-06-22 17:00:42.615788,2025-06-22 17:00:52.617653,0 days 00:00:10.001865,6104.0,0.03,8m,1.4,0.8,1.0,472.0,3488.0,0.035,5m,2.4000000000000004,1.0,1.5,152.0,2960.0,0.02,5m,2.6,0.6000000000000001,1.5,424.0,,,,,,,,7664,0.045000000000000005,2m,2.4000000000000004,0.6000000000000001,2.0,632,4464.0,0.02,5m,1.0,0.6000000000000001,1.0,472.0,2520.0,0.01,3m,2.8,0.4,0.5,616.0,,,,,,,,3776.0,0.03,5m,2.0,0.0,1.5,696.0,6072.0,0.035,7m,1.4,0.6000000000000001,0.5,784.0,0.15000000000000002,8,COMPLETE
44,44,0.9814134017829165,2025-06-22 17:00:52.642277,2025-06-22 17:01:01.111484,0 days 00:00:08.469207,3952.0,0.04,7m,2.6,0.6000000000000001,0.5,248.0,,,,,,,,4512.0,0.03,5m,2.2,0.8,1.5,288.0,,,,,,,,6664,0.05,2m,2.2,0.2,2.0,864,5376.0,0.025,6m,1.6,0.4,1.0,616.0,3504.0,0.025,3m,2.4000000000000004,0.8,1.0,776.0,,,,,,,,,,,,,,,3912.0,0.045000000000000005,3m,1.8,0.0,0.5,144.0,0.3,6,COMPLETE
45,45,1.0387575987823077,2025-06-22 17:01:01.130768,2025-06-22 17:01:07.565431,0 days 00:00:06.434663,,,,,,,,,,,,,,,3600.0,0.025,4m,1.8,1.0,1.0,504.0,,,,,,,,5736,0.025,4m,2.6,0.4,2.0,752,6352.0,0.015,4m,1.2,0.8,1.5,552.0,4352.0,0.015,3m,1.8,0.6000000000000001,0.5,944.0,,,,,,,,,,,,,,,7440.0,0.03,8m,1.4,0.8,1.0,528.0,0.25,5,COMPLETE
46,46,1.0142035998920742,2025-06-22 17:01:07.612181,2025-06-22 17:01:14.585812,0 days 00:00:06.973631,,,,,,,,,,,,,,,2064.0,0.03,4m,1.8,1.0,1.0,616.0,,,,,,,,5728,0.015,4m,2.6,0.4,0.5,696,6400.0,0.015,4m,1.2,0.8,1.5,336.0,4248.0,0.015,9m,1.8,1.0,1.0,944.0,,,,,,,,,,,,,,,7624.0,0.015,2m,1.6,0.8,1.0,536.0,0.35000000000000003,5,COMPLETE
47,47,1.0096597292115557,2025-06-22 17:01:14.605114,2025-06-22 17:01:19.834333,0 days 00:00:05.229219,,,,,,,,,,,,,,,2752.0,0.035,4m,1.6,1.0,0.5,496.0,,,,,,,,6064,0.025,4m,3.0,0.2,2.0,944,6840.0,0.01,4m,1.4,1.0,2.0,760.0,5280.0,0.01,7m,1.6,0.4,2.0,960.0,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
48,48,1.009337442990805,2025-06-22 17:01:19.865015,2025-06-22 17:01:28.352700,0 days 00:00:08.487685,,,,,,,,,,,,,,,3664.0,0.02,3m,2.0,1.0,1.0,544.0,,,,,,,,5552,0.02,4m,2.8,0.0,1.5,744,7264.0,0.04,4m,1.0,0.8,1.5,584.0,5744.0,0.025,2m,1.6,0.2,0.5,824.0,,,,,,,,,,,,,,,6328.0,0.03,2m,2.0,0.8,1.0,920.0,0.3,5,COMPLETE
49,49,1.0238206674736483,2025-06-22 17:01:28.383430,2025-06-22 17:01:32.869334,0 days 00:00:04.485904,,,,,,,,,,,,,,,4800.0,0.04,4m,1.8,1.0,1.0,456.0,,,,,,,,1464,0.01,7m,3.0,0.2,2.0,808,6040.0,0.015,7m,2.2,0.8,1.5,408.0,3384.0,0.015,8m,1.4,0.8,1.5,512.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,4,COMPLETE
50,50,1.0448525484666815,2025-06-22 17:01:32.903439,2025-06-22 17:01:37.043603,0 days 00:00:04.140164,,,,,,,,,,,,,,,3008.0,0.01,9m,2.0,1.0,0.5,392.0,,,,,,,,6960,0.04,8m,1.0,0.4,1.0,496,4984.0,0.05,2m,1.2,1.0,2.0,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
51,51,1.0112147763087347,2025-06-22 17:01:37.098665,2025-06-22 17:01:41.205401,0 days 00:00:04.106736,,,,,,,,,,,,,,,2840.0,0.01,9m,2.0,1.0,0.5,408.0,,,,,,,,6408,0.045000000000000005,8m,1.0,0.4,1.0,504,4888.0,0.05,2m,1.2,1.0,2.0,656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
52,52,0.9253897695951646,2025-06-22 17:01:41.245769,2025-06-22 17:01:45.384016,0 days 00:00:04.138247,,,,,,,,,,,,,,,3080.0,0.01,9m,1.8,1.0,0.5,336.0,,,,,,,,6904,0.04,8m,1.0,0.4,1.0,568,4232.0,0.05,2m,1.0,1.0,2.0,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
53,53,0.9476621973283217,2025-06-22 17:01:45.408285,2025-06-22 17:01:48.725213,0 days 00:00:03.316928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5856,0.05,8m,1.2,0.6000000000000001,1.0,664,5104.0,0.045000000000000005,2m,1.4,1.0,2.0,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
54,54,0.984649851279751,2025-06-22 17:01:48.760077,2025-06-22 17:01:53.179843,0 days 00:00:04.419766,,,,,,,,,,,,,,,3568.0,0.015,7m,1.6,0.8,0.5,464.0,,,,,,,,5288,0.045000000000000005,4m,1.4,0.4,1.0,384,6248.0,0.03,9m,1.2,0.8,2.0,672.0,1656.0,0.035,5m,2.0,0.6000000000000001,1.0,864.0,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
55,55,0.9674986756314743,2025-06-22 17:01:53.212086,2025-06-22 17:01:59.972345,0 days 00:00:06.760259,2576.0,0.03,2m,2.4000000000000004,0.2,2.0,904.0,,,,,,,,4120.0,0.045000000000000005,9m,2.2,1.0,1.0,592.0,,,,,,,,7032,0.04,7m,2.6,0.6000000000000001,0.5,264,5664.0,0.04,8m,1.0,0.6000000000000001,1.5,568.0,4592.0,0.02,6m,1.0,0.2,1.5,224.0,,,,,,,,,,,,,,,5664.0,0.015,8m,1.2,1.0,1.5,752.0,0.2,6,COMPLETE
56,56,0.9491012640489369,2025-06-22 17:02:00.015354,2025-06-22 17:02:05.967298,0 days 00:00:05.951944,,,,,,,,,,,,,,,2560.0,0.025,3m,1.0,1.0,0.5,400.0,,,,,,,,6728,0.035,8m,2.8,0.2,1.5,480,6672.0,0.035,4m,1.2,1.0,0.5,424.0,6520.0,0.01,7m,2.2,0.8,0.5,352.0,,,,,,,,,,,,,,,7456.0,0.025,6m,2.0,0.6000000000000001,1.0,528.0,0.4,5,COMPLETE
57,57,0.9805524498746374,2025-06-22 17:02:05.999158,2025-06-22 17:02:09.404220,0 days 00:00:03.405062,,,,,,,,,,,,,,,1472.0,0.03,9m,2.4000000000000004,0.2,2.0,768.0,,,,,,,,6272,0.04,4m,1.2,0.4,2.0,616,2072.0,0.045000000000000005,7m,2.0,0.8,1.0,344.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
58,58,1.0003702846136695,2025-06-22 17:02:09.419927,2025-06-22 17:02:12.144290,0 days 00:00:02.724363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5712,0.045000000000000005,9m,2.4000000000000004,0.8,1.5,720,2672.0,0.04,3m,1.4,0.6000000000000001,1.0,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,2,COMPLETE
59,59,1.0407859258730023,2025-06-22 17:02:12.191477,2025-06-22 17:02:17.639764,0 days 00:00:05.448287,,,,,,,,,,,,,,,2048.0,0.015,6m,1.6,0.8,1.5,512.0,,,,,,,,4904,0.05,6m,3.0,0.0,2.0,528,3928.0,0.01,2m,1.0,0.4,1.5,456.0,1528.0,0.03,5m,2.6,0.4,1.0,712.0,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
60,60,0.9865574665617703,2025-06-22 17:02:17.685412,2025-06-22 17:02:23.317763,0 days 00:00:05.632351,,,,,,,,,,,,,,,1968.0,0.01,6m,1.8,1.0,1.0,520.0,,,,,,,,4672,0.05,6m,3.0,1.0,1.0,512,5144.0,0.01,2m,1.2,0.2,1.5,448.0,1680.0,0.04,5m,1.4,0.4,1.0,696.0,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
61,61,1.018088885789775,2025-06-22 17:02:23.357272,2025-06-22 17:02:29.694996,0 days 00:00:06.337724,,,,,,,,,,,,,,,2232.0,0.015,6m,1.6,0.8,1.5,448.0,,,,,,,,5088,0.05,6m,3.0,0.0,2.0,568,4008.0,0.01,2m,1.0,0.4,1.5,480.0,2160.0,0.03,5m,2.6,0.2,0.5,960.0,,,,,,,,,,,,,,,6448.0,0.02,9m,1.0,0.8,0.5,320.0,0.3,5,COMPLETE
62,62,0.9596305882193126,2025-06-22 17:02:29.710905,2025-06-22 17:02:34.244745,0 days 00:00:04.533840,,,,,,,,,,,,,,,3208.0,0.01,6m,1.4,0.8,1.5,328.0,,,,,,,,6080,0.045000000000000005,6m,2.6,0.0,2.0,536,4352.0,0.01,2m,1.0,0.4,1.5,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
63,63,1.0382981542742489,2025-06-22 17:02:34.273838,2025-06-22 17:02:40.176352,0 days 00:00:05.902514,,,,,,,,,,,,,,,2432.0,0.015,2m,1.6,1.0,1.5,384.0,,,,,,,,4296,0.05,7m,2.8,0.0,2.0,440,3760.0,0.015,3m,1.0,0.4,1.5,592.0,3688.0,0.025,5m,2.8,0.4,1.0,792.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
64,64,1.0363848092764953,2025-06-22 17:02:40.204204,2025-06-22 17:02:45.168012,0 days 00:00:04.963808,,,,,,,,,,,,,,,2608.0,0.015,2m,1.8,1.0,1.5,384.0,,,,,,,,3264,0.05,7m,2.8,0.0,2.0,480,6008.0,0.015,3m,1.0,0.4,1.5,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
65,65,1.0432846075766058,2025-06-22 17:02:45.213500,2025-06-22 17:02:51.298059,0 days 00:00:06.084559,,,,,,,,,,,,,,,7312.0,0.015,2m,1.6,1.0,1.5,376.0,,,,,,,,3136,0.05,7m,2.8,0.0,2.0,320,5928.0,0.015,3m,1.2,0.2,1.5,584.0,1320.0,0.025,5m,2.8,0.4,1.0,768.0,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
66,66,1.004466668399728,2025-06-22 17:02:51.330501,2025-06-22 17:02:56.333091,0 days 00:00:05.002590,,,,,,,,,,,,,,,7528.0,0.015,2m,1.6,1.0,1.5,648.0,,,,,,,,2952,0.05,7m,2.8,0.0,2.0,304,6032.0,0.015,3m,1.2,0.0,1.5,704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,3,COMPLETE
67,67,1.0170803703392448,2025-06-22 17:02:56.371482,2025-06-22 17:03:02.499604,0 days 00:00:06.128122,,,,,,,,,,,,,,,6840.0,0.015,2m,1.6,1.0,1.5,376.0,,,,,,,,3392,0.05,7m,2.8,0.0,2.0,424,6584.0,0.015,3m,2.8,0.2,1.5,592.0,1464.0,0.03,5m,3.0,0.4,1.0,768.0,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
68,68,0.9946162850170595,2025-06-22 17:03:02.551172,2025-06-22 17:03:08.034319,0 days 00:00:05.483147,,,,,,,,,,,,,,,8184.0,0.015,2m,2.0,1.0,2.0,192.0,,,,,,,,2312,0.05,7m,3.0,0.0,2.0,456,7576.0,0.015,6m,1.4,0.2,1.5,616.0,1024.0,0.025,5m,2.8,0.2,1.0,664.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
69,69,1.0016201207781037,2025-06-22 17:03:08.060362,2025-06-22 17:03:13.040336,0 days 00:00:04.979974,,,,,,,,,,,,,,,5184.0,0.01,2m,1.8,0.0,1.5,288.0,,,,,,,,3816,0.05,7m,2.8,0.0,2.0,352,3816.0,0.01,3m,1.2,0.4,1.5,632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,3,COMPLETE
70,70,0.9969099377210134,2025-06-22 17:03:13.077600,2025-06-22 17:03:15.740379,0 days 00:00:02.662779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2912,0.05,7m,2.6,0.0,2.0,200,4704.0,0.01,4m,1.0,0.4,2.0,648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
71,71,0.9982428954069928,2025-06-22 17:03:15.768205,2025-06-22 17:03:22.689201,0 days 00:00:06.920996,,,,,,,,,,,,,,,2536.0,0.015,2m,1.8,1.0,1.5,432.0,,,,,,,,4264,0.045000000000000005,5m,2.8,0.0,2.0,400,5928.0,0.015,3m,1.0,0.2,1.5,592.0,1408.0,0.035,5m,2.8,0.4,1.0,816.0,,,,,,,,,,,,,,,5240.0,0.035,5m,1.6,1.0,1.5,336.0,0.25,5,COMPLETE
72,72,1.0577582441669027,2025-06-22 17:03:22.708883,2025-06-22 17:03:30.347206,0 days 00:00:07.638323,,,,,,,,,,,,,,,5960.0,0.02,2m,1.6,1.0,1.5,392.0,,,,,,,,3256,0.05,3m,2.6,0.0,2.0,136,6232.0,0.02,3m,1.2,0.4,1.5,744.0,3736.0,0.025,5m,3.0,0.4,1.5,1024.0,,,,,,,,,,,,,,,4176.0,0.01,7m,2.4000000000000004,0.6000000000000001,1.0,544.0,0.25,5,COMPLETE
73,73,1.024143843286947,2025-06-22 17:03:30.378745,2025-06-22 17:03:36.888901,0 days 00:00:06.510156,,,,,,,,,,,,,,,5960.0,0.02,2m,1.6,1.0,1.5,328.0,,,,,,,,3232,0.05,3m,2.6,0.0,2.0,144,6888.0,0.02,3m,1.2,0.4,1.5,728.0,4096.0,0.025,5m,3.0,0.4,1.0,912.0,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
74,74,1.0525145977005952,2025-06-22 17:03:36.929876,2025-06-22 17:03:44.273042,0 days 00:00:07.343166,,,,,,,,,,,,,,,5904.0,0.02,2m,1.6,1.0,1.5,400.0,,,,,,,,2520,0.05,3m,2.8,0.0,2.0,344,3384.0,0.015,3m,1.2,0.4,1.5,792.0,2680.0,0.03,5m,3.0,0.4,1.5,1024.0,,,,,,,,,,,,,,,2280.0,0.045000000000000005,7m,2.6,0.6000000000000001,1.0,232.0,0.3,5,COMPLETE
75,75,0.9866231752798301,2025-06-22 17:03:44.322320,2025-06-22 17:03:49.618466,0 days 00:00:05.296146,,,,,,,,,,,,,,,6376.0,0.02,8m,1.2,1.0,1.5,512.0,,,,,,,,2448,0.05,3m,2.4000000000000004,0.0,2.0,352,3280.0,0.02,8m,1.4,0.0,1.5,840.0,2744.0,0.03,5m,3.0,0.4,1.5,1008.0,,,,,,,,,,,,,,,2592.0,0.045000000000000005,7m,2.6,0.6000000000000001,1.0,240.0,0.3,5,COMPLETE
76,76,1.0372900006238128,2025-06-22 17:03:49.657248,2025-06-22 17:03:58.052236,0 days 00:00:08.394988,2400.0,0.02,6m,1.2,0.0,1.5,768.0,,,,,,,,5840.0,0.02,2m,1.4,1.0,1.5,552.0,,,,,,,,1896,0.045000000000000005,3m,3.0,0.0,2.0,216,3048.0,0.015,3m,1.4,0.2,1.5,1000.0,2024.0,0.025,5m,2.8,0.4,1.5,1024.0,,,,,,,,,,,,,,,2264.0,0.03,7m,2.4000000000000004,0.8,1.0,256.0,0.35000000000000003,6,COMPLETE
77,77,1.035890916168752,2025-06-22 17:03:58.086182,2025-06-22 17:04:06.033954,0 days 00:00:07.947772,,,,,,,,,,,,,,,7200.0,0.01,2m,1.6,1.0,1.5,408.0,,,,,,,,2000,0.05,3m,2.8,0.2,2.0,304,2400.0,0.01,2m,1.2,0.4,1.5,776.0,4216.0,0.035,5m,3.0,0.4,2.0,848.0,,,,,,,,,,,,,,,3880.0,0.045000000000000005,7m,3.0,0.6000000000000001,1.5,392.0,0.3,5,COMPLETE
78,78,1.0039567732656127,2025-06-22 17:04:06.086036,2025-06-22 17:04:11.822944,0 days 00:00:05.736908,,,,,,,,,,,,,,,6672.0,0.015,2m,1.6,0.8,1.0,464.0,,,,,,,,2576,0.05,3m,2.6,0.0,2.0,128,1192.0,0.015,9m,2.4000000000000004,0.4,1.5,816.0,3552.0,0.03,5m,2.8,0.4,1.5,904.0,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
79,79,0.9812121421085533,2025-06-22 17:04:11.852669,2025-06-22 17:04:19.106116,0 days 00:00:07.253447,3168.0,0.015,4m,1.8,1.0,2.0,568.0,,,,,,,,5120.0,0.02,7m,1.4,1.0,1.5,344.0,,,,,,,,3864,0.03,3m,3.0,0.8,2.0,248,3576.0,0.025,3m,1.6,0.2,2.0,688.0,1872.0,0.035,5m,3.0,0.2,1.5,984.0,,,,,,,,,,,,,,,1888.0,0.035,7m,2.8,0.4,1.0,552.0,0.35000000000000003,6,COMPLETE
80,80,1.0114480839779947,2025-06-22 17:04:19.142903,2025-06-22 17:04:24.170756,0 days 00:00:05.027853,,,,,,,,,,,,,,,5520.0,0.02,4m,1.2,0.8,1.5,264.0,,,,,,,,3568,0.025,6m,2.4000000000000004,0.2,2.0,336,4168.0,0.02,3m,1.2,0.4,1.5,744.0,1432.0,0.025,5m,2.6,0.6000000000000001,1.0,728.0,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
81,81,0.945140674675718,2025-06-22 17:04:24.201758,2025-06-22 17:04:33.457652,0 days 00:00:09.255894,2064.0,0.025,6m,1.2,0.0,1.5,744.0,3016.0,0.01,8m,1.0,0.0,1.5,1016.0,6336.0,0.02,2m,1.4,1.0,1.5,552.0,,,,,,,,1800,0.045000000000000005,3m,3.0,0.0,2.0,192,3008.0,0.015,3m,1.4,0.2,1.5,968.0,2072.0,0.025,5m,2.8,0.4,1.5,1024.0,,,,,,,,,,,,,,,2096.0,0.03,7m,2.4000000000000004,0.8,1.0,232.0,0.35000000000000003,7,COMPLETE
82,82,1.0644150814814786,2025-06-22 17:04:33.506787,2025-06-22 17:04:41.647241,0 days 00:00:08.140454,4448.0,0.02,6m,1.4,0.2,1.5,888.0,,,,,,,,5944.0,0.02,2m,1.4,1.0,1.5,568.0,,,,,,,,2680,0.045000000000000005,3m,2.8,0.0,2.0,224,3408.0,0.01,3m,1.2,0.2,1.5,560.0,2648.0,0.025,5m,2.8,0.4,1.5,984.0,,,,,,,,,,,,,,,1264.0,0.025,7m,2.4000000000000004,0.8,1.0,240.0,0.35000000000000003,6,COMPLETE
