,number,value,datetime_start,datetime_complete,duration,params_AAPL_PDD_beta_win,params_AAPL_PDD_stop_loss,params_AAPL_PDD_trade_freq,params_AAPL_PDD_z_entry,params_AAPL_PDD_z_exit,params_AAPL_PDD_z_stop_scaler,params_AAPL_PDD_z_win,params_AMGN_ADI_beta_win,params_AMGN_ADI_stop_loss,params_AMGN_ADI_trade_freq,params_AMGN_ADI_z_entry,params_AMGN_ADI_z_exit,params_AMGN_ADI_z_stop_scaler,params_AMGN_ADI_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_GOOGL_FTNT_beta_win,params_GOOGL_FTNT_stop_loss,params_GOOGL_FTNT_trade_freq,params_GOOGL_FTNT_z_entry,params_GOOGL_FTNT_z_exit,params_GOOGL_FTNT_z_stop_scaler,params_GOOGL_FTNT_z_win,params_KDP_TXN_beta_win,params_KDP_TXN_stop_loss,params_KDP_TXN_trade_freq,params_KDP_TXN_z_entry,params_KDP_TXN_z_exit,params_KDP_TXN_z_stop_scaler,params_KDP_TXN_z_win,params_MRNA_PCAR_beta_win,params_MRNA_PCAR_stop_loss,params_MRNA_PCAR_trade_freq,params_MRNA_PCAR_z_entry,params_MRNA_PCAR_z_exit,params_MRNA_PCAR_z_stop_scaler,params_MRNA_PCAR_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_PDD_PEP_beta_win,params_PDD_PEP_stop_loss,params_PDD_PEP_trade_freq,params_PDD_PEP_z_entry,params_PDD_PEP_z_exit,params_PDD_PEP_z_stop_scaler,params_PDD_PEP_z_win,params_SBUX_TXN_beta_win,params_SBUX_TXN_stop_loss,params_SBUX_TXN_trade_freq,params_SBUX_TXN_z_entry,params_SBUX_TXN_z_exit,params_SBUX_TXN_z_stop_scaler,params_SBUX_TXN_z_win,params_ZS_ADI_beta_win,params_ZS_ADI_stop_loss,params_ZS_ADI_trade_freq,params_ZS_ADI_z_entry,params_ZS_ADI_z_exit,params_ZS_ADI_z_stop_scaler,params_ZS_ADI_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,1.0,2025-06-22 16:57:42.820571,2025-06-22 16:57:49.432073,0 days 00:00:06.611502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7840,0.035,7m,3.0,0.0,2.0,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
11,11,1.0,2025-06-22 16:57:49.459199,2025-06-22 16:57:50.691297,0 days 00:00:01.232098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8128,0.035,7m,3.0,0.0,2.0,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
12,12,1.0,2025-06-22 16:57:50.710717,2025-06-22 16:57:51.939810,0 days 00:00:01.229093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7360,0.04,7m,3.0,0.0,2.0,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
13,13,0.9968831570806908,2025-06-22 16:57:51.962195,2025-06-22 16:57:53.317265,0 days 00:00:01.355070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8192,0.04,7m,2.4000000000000004,0.0,2.0,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
14,14,0.9906490132807586,2025-06-22 16:57:53.357243,2025-06-22 16:57:58.282140,0 days 00:00:04.924897,,,,,,,,,,,,,,,3168.0,0.05,2m,3.0,0.6000000000000001,1.5,456.0,,,,,,,,6912,0.035,7m,3.0,0.0,1.5,424,1296.0,0.025,8m,1.8,0.8,1.5,1016.0,8008.0,0.01,6m,3.0,1.0,0.5,1016.0,,,,,,,,,,,,,,,,,,,,,,0.45,4,COMPLETE
15,15,0.9999152804613933,2025-06-22 16:57:58.316294,2025-06-22 16:58:01.587392,0 days 00:00:03.271098,,,,,,,,,,,,,,,5840.0,0.05,8m,1.6,0.4,1.5,864.0,,,,,,,,8072,0.04,4m,2.0,0.2,2.0,648,6872.0,0.01,9m,2.2,0.6000000000000001,1.0,432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
16,16,0.9964836978745918,2025-06-22 16:58:01.619389,2025-06-22 16:58:02.996460,0 days 00:00:01.377071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6528,0.03,7m,2.6,0.2,1.5,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
17,17,1.0313807487342272,2025-06-22 16:58:03.026458,2025-06-22 16:58:07.272520,0 days 00:00:04.246062,,,,,,,,,,,,,,,3224.0,0.025,5m,1.8,1.0,1.5,384.0,,,,,,,,6224,0.045000000000000005,7m,3.0,0.0,2.0,672,5632.0,0.04,3m,1.0,0.6000000000000001,1.0,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
18,18,1.0492928247354405,2025-06-22 16:58:07.306402,2025-06-22 16:58:11.675422,0 days 00:00:04.369020,,,,,,,,,,,,,,,2904.0,0.025,5m,1.8,1.0,1.5,392.0,,,,,,,,6040,0.045000000000000005,4m,2.6,0.4,2.0,704,5824.0,0.04,3m,1.0,0.6000000000000001,1.0,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
19,19,1.0347847496706752,2025-06-22 16:58:11.706421,2025-06-22 16:58:19.524704,0 days 00:00:07.818283,,,,,,,,,,,,,,,2768.0,0.025,5m,1.8,1.0,1.5,384.0,,,,,,,,5992,0.045000000000000005,4m,2.6,0.4,1.5,688,5840.0,0.04,3m,1.0,0.6000000000000001,1.0,424.0,3704.0,0.01,3m,2.2,1.0,1.5,984.0,,,,,,,,,,,,,,,5648.0,0.01,2m,1.6,0.0,0.5,1000.0,0.25,5,COMPLETE
