,number,value,datetime_start,datetime_complete,duration,params_AMD_FAST_beta_win,params_AMD_FAST_stop_loss,params_AMD_FAST_trade_freq,params_AMD_FAST_z_entry,params_AMD_FAST_z_exit,params_AMD_FAST_z_stop_scaler,params_AMD_FAST_z_win,params_AMD_ISRG_beta_win,params_AMD_ISRG_stop_loss,params_AMD_ISRG_trade_freq,params_AMD_ISRG_z_entry,params_AMD_ISRG_z_exit,params_AMD_ISRG_z_stop_scaler,params_AMD_ISRG_z_win,params_ANSS_DOCU_beta_win,params_ANSS_DOCU_stop_loss,params_ANSS_DOCU_trade_freq,params_ANSS_DOCU_z_entry,params_ANSS_DOCU_z_exit,params_ANSS_DOCU_z_stop_scaler,params_ANSS_DOCU_z_win,params_ANSS_OKTA_beta_win,params_ANSS_OKTA_stop_loss,params_ANSS_OKTA_trade_freq,params_ANSS_OKTA_z_entry,params_ANSS_OKTA_z_exit,params_ANSS_OKTA_z_stop_scaler,params_ANSS_OKTA_z_win,params_ASML_AVGO_beta_win,params_ASML_AVGO_stop_loss,params_ASML_AVGO_trade_freq,params_ASML_AVGO_z_entry,params_ASML_AVGO_z_exit,params_ASML_AVGO_z_stop_scaler,params_ASML_AVGO_z_win,params_ASML_INTU_beta_win,params_ASML_INTU_stop_loss,params_ASML_INTU_trade_freq,params_ASML_INTU_z_entry,params_ASML_INTU_z_exit,params_ASML_INTU_z_stop_scaler,params_ASML_INTU_z_win,params_ASML_TXN_beta_win,params_ASML_TXN_stop_loss,params_ASML_TXN_trade_freq,params_ASML_TXN_z_entry,params_ASML_TXN_z_exit,params_ASML_TXN_z_stop_scaler,params_ASML_TXN_z_win,params_ATVI_ILMN_beta_win,params_ATVI_ILMN_stop_loss,params_ATVI_ILMN_trade_freq,params_ATVI_ILMN_z_entry,params_ATVI_ILMN_z_exit,params_ATVI_ILMN_z_stop_scaler,params_ATVI_ILMN_z_win,params_ATVI_PYPL_beta_win,params_ATVI_PYPL_stop_loss,params_ATVI_PYPL_trade_freq,params_ATVI_PYPL_z_entry,params_ATVI_PYPL_z_exit,params_ATVI_PYPL_z_stop_scaler,params_ATVI_PYPL_z_win,params_AVGO_XEL_beta_win,params_AVGO_XEL_stop_loss,params_AVGO_XEL_trade_freq,params_AVGO_XEL_z_entry,params_AVGO_XEL_z_exit,params_AVGO_XEL_z_stop_scaler,params_AVGO_XEL_z_win,params_BIDU_ILMN_beta_win,params_BIDU_ILMN_stop_loss,params_BIDU_ILMN_trade_freq,params_BIDU_ILMN_z_entry,params_BIDU_ILMN_z_exit,params_BIDU_ILMN_z_stop_scaler,params_BIDU_ILMN_z_win,params_CHTR_MDLZ_beta_win,params_CHTR_MDLZ_stop_loss,params_CHTR_MDLZ_trade_freq,params_CHTR_MDLZ_z_entry,params_CHTR_MDLZ_z_exit,params_CHTR_MDLZ_z_stop_scaler,params_CHTR_MDLZ_z_win,params_CTSH_FAST_beta_win,params_CTSH_FAST_stop_loss,params_CTSH_FAST_trade_freq,params_CTSH_FAST_z_entry,params_CTSH_FAST_z_exit,params_CTSH_FAST_z_stop_scaler,params_CTSH_FAST_z_win,params_CTSH_TMUS_beta_win,params_CTSH_TMUS_stop_loss,params_CTSH_TMUS_trade_freq,params_CTSH_TMUS_z_entry,params_CTSH_TMUS_z_exit,params_CTSH_TMUS_z_stop_scaler,params_CTSH_TMUS_z_win,params_EBAY_NFLX_beta_win,params_EBAY_NFLX_stop_loss,params_EBAY_NFLX_trade_freq,params_EBAY_NFLX_z_entry,params_EBAY_NFLX_z_exit,params_EBAY_NFLX_z_stop_scaler,params_EBAY_NFLX_z_win,params_FAST_TMUS_beta_win,params_FAST_TMUS_stop_loss,params_FAST_TMUS_trade_freq,params_FAST_TMUS_z_entry,params_FAST_TMUS_z_exit,params_FAST_TMUS_z_stop_scaler,params_FAST_TMUS_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_ILMN_NFLX_beta_win,params_ILMN_NFLX_stop_loss,params_ILMN_NFLX_trade_freq,params_ILMN_NFLX_z_entry,params_ILMN_NFLX_z_exit,params_ILMN_NFLX_z_stop_scaler,params_ILMN_NFLX_z_win,params_ILMN_PYPL_beta_win,params_ILMN_PYPL_stop_loss,params_ILMN_PYPL_trade_freq,params_ILMN_PYPL_z_entry,params_ILMN_PYPL_z_exit,params_ILMN_PYPL_z_stop_scaler,params_ILMN_PYPL_z_win,params_ILMN_SWKS_beta_win,params_ILMN_SWKS_stop_loss,params_ILMN_SWKS_trade_freq,params_ILMN_SWKS_z_entry,params_ILMN_SWKS_z_exit,params_ILMN_SWKS_z_stop_scaler,params_ILMN_SWKS_z_win,params_KLAC_TXN_beta_win,params_KLAC_TXN_stop_loss,params_KLAC_TXN_trade_freq,params_KLAC_TXN_z_entry,params_KLAC_TXN_z_exit,params_KLAC_TXN_z_stop_scaler,params_KLAC_TXN_z_win,params_LRCX_MCHP_beta_win,params_LRCX_MCHP_stop_loss,params_LRCX_MCHP_trade_freq,params_LRCX_MCHP_z_entry,params_LRCX_MCHP_z_exit,params_LRCX_MCHP_z_stop_scaler,params_LRCX_MCHP_z_win,params_LRCX_TXN_beta_win,params_LRCX_TXN_stop_loss,params_LRCX_TXN_trade_freq,params_LRCX_TXN_z_entry,params_LRCX_TXN_z_exit,params_LRCX_TXN_z_stop_scaler,params_LRCX_TXN_z_win,params_MSFT_PCAR_beta_win,params_MSFT_PCAR_stop_loss,params_MSFT_PCAR_trade_freq,params_MSFT_PCAR_z_entry,params_MSFT_PCAR_z_exit,params_MSFT_PCAR_z_stop_scaler,params_MSFT_PCAR_z_win,params_MTCH_REGN_beta_win,params_MTCH_REGN_stop_loss,params_MTCH_REGN_trade_freq,params_MTCH_REGN_z_entry,params_MTCH_REGN_z_exit,params_MTCH_REGN_z_stop_scaler,params_MTCH_REGN_z_win,params_MU_TXN_beta_win,params_MU_TXN_stop_loss,params_MU_TXN_trade_freq,params_MU_TXN_z_entry,params_MU_TXN_z_exit,params_MU_TXN_z_stop_scaler,params_MU_TXN_z_win,params_MU_XEL_beta_win,params_MU_XEL_stop_loss,params_MU_XEL_trade_freq,params_MU_XEL_z_entry,params_MU_XEL_z_exit,params_MU_XEL_z_stop_scaler,params_MU_XEL_z_win,params_NXPI_TXN_beta_win,params_NXPI_TXN_stop_loss,params_NXPI_TXN_trade_freq,params_NXPI_TXN_z_entry,params_NXPI_TXN_z_exit,params_NXPI_TXN_z_stop_scaler,params_NXPI_TXN_z_win,params_REGN_SBUX_beta_win,params_REGN_SBUX_stop_loss,params_REGN_SBUX_trade_freq,params_REGN_SBUX_z_entry,params_REGN_SBUX_z_exit,params_REGN_SBUX_z_stop_scaler,params_REGN_SBUX_z_win,params_REGN_TEAM_beta_win,params_REGN_TEAM_stop_loss,params_REGN_TEAM_trade_freq,params_REGN_TEAM_z_entry,params_REGN_TEAM_z_exit,params_REGN_TEAM_z_stop_scaler,params_REGN_TEAM_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,0.9573544629676791,2025-06-22 16:10:11.780497,2025-06-22 16:10:20.918849,0 days 00:00:09.138352,,,,,,,,,,,,,,,6592,0.01,4m,1.4,0.0,2.0,960,,,,,,,,1152,0.01,2m,2.4000000000000004,0.0,2.0,400,,,,,,,,,,,,,,,6016,0.05,3m,1.0,1.0,1.5,448,5600,0.025,3m,1.0,1.0,2.0,144,,,,,,,,,,,,,,,1472,0.035,4m,2.8,1.0,1.0,456,,,,,,,,7968,0.05,2m,3.0,0.2,0.5,416,,,,,,,,,,,,,,,3360,0.025,5m,2.4000000000000004,0.6000000000000001,1.0,872,,,,,,,,,,,,,,,8152,0.05,5m,1.0,0.2,2.0,360,7464,0.05,2m,1.6,1.0,0.5,136,1048,0.02,1m,3.0,0.6000000000000001,2.0,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,10,COMPLETE
11,11,0.992013712782166,2025-06-22 16:10:20.937236,2025-06-22 16:10:29.971081,0 days 00:00:09.033845,,,,,,,,,,,,,,,2432,0.05,4m,1.0,0.6000000000000001,2.0,424,,,,,,,,5736,0.025,3m,1.8,0.0,0.5,456,,,,,,,,,,,,,,,5864,0.04,4m,1.2,0.0,1.5,472,2880,0.01,4m,1.0,0.0,1.5,168,,,,,,,,,,,,,,,8056,0.05,2m,2.8,0.2,1.0,592,,,,,,,,5200,0.015,4m,1.4,0.0,0.5,1016,,,,,,,,,,,,,,,1048,0.03,5m,2.4000000000000004,0.0,1.0,968,,,,,,,,,,,,,,,1072,0.04,3m,2.4000000000000004,0.0,0.5,1016,1920,0.05,1m,2.4000000000000004,0.4,2.0,136,3368,0.02,2m,3.0,1.0,1.5,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,10,COMPLETE
12,12,0.961248840429989,2025-06-22 16:10:29.996091,2025-06-22 16:10:39.606692,0 days 00:00:09.610601,,,,,,,,,,,,,,,3352,0.02,4m,1.0,0.6000000000000001,2.0,128,,,,,,,,5384,0.025,3m,2.4000000000000004,0.0,1.0,424,,,,,,,,,,,,,,,6088,0.04,4m,1.2,0.4,1.5,552,3440,0.01,3m,1.0,0.8,1.5,544,,,,,,,,,,,,,,,8152,0.04,2m,2.6,0.2,1.0,520,,,,,,,,5648,0.015,4m,1.2,0.2,0.5,256,,,,,,,,,,,,,,,1072,0.03,5m,2.4000000000000004,0.0,0.5,1008,,,,,,,,,,,,,,,1224,0.04,5m,2.4000000000000004,0.2,0.5,136,1336,0.05,1m,2.6,1.0,2.0,160,3024,0.02,1m,3.0,0.4,2.0,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,10,COMPLETE
13,13,1.0133167863450763,2025-06-22 16:10:39.656340,2025-06-22 16:10:50.316822,0 days 00:00:10.660482,7984.0,0.05,4m,2.2,1.0,1.5,432.0,,,,,,,,1144,0.04,4m,1.0,0.2,2.0,384,,,,,,,,4848,0.02,3m,2.0,0.0,1.0,816,,,,,,,,,,,,,,,6600,0.045000000000000005,4m,1.4,0.8,1.0,376,5208,0.01,4m,2.0,0.4,1.5,272,,,,,,,,,,,,,,,5528,0.045000000000000005,3m,2.4000000000000004,0.2,1.0,600,8024.0,0.05,2m,3.0,0.0,1.0,688.0,6952,0.01,2m,1.4,0.2,0.5,416,,,,,,,,,,,,,,,2832,0.025,5m,2.4000000000000004,0.0,1.0,1024,,,,,,,,,,,,,,,1072,0.04,3m,2.6,0.2,1.0,1016,6624,0.045000000000000005,2m,2.0,0.4,2.0,304,6544,0.04,2m,2.2,0.8,1.5,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1208.0,0.01,5m,1.6,1.0,2.0,136.0,,,,,,,,0.4,13,COMPLETE
14,14,1.0075409286496082,2025-06-22 16:10:50.362075,2025-06-22 16:11:06.166233,0 days 00:00:15.804158,7848.0,0.05,3m,2.4000000000000004,1.0,2.0,504.0,,,,,,,,1040,0.04,4m,1.0,0.2,1.0,448,,,,,,,,4720,0.02,3m,1.4,0.0,0.5,832,1480.0,0.05,3m,1.0,0.6000000000000001,2.0,360.0,,,,,,,,5144,0.045000000000000005,4m,1.4,1.0,1.0,360,5672,0.01,4m,2.2,0.2,2.0,424,,,,,,,,5736.0,0.025,3m,3.0,1.0,0.5,464.0,5192,0.045000000000000005,3m,2.4000000000000004,0.0,1.0,568,8064.0,0.05,2m,3.0,0.0,0.5,648.0,7640,0.01,1m,1.4,0.2,1.0,1000,,,,,,,,,,,,,,,2864,0.03,2m,2.6,0.4,1.5,976,1384.0,0.05,5m,3.0,1.0,2.0,144.0,8096.0,0.01,5m,3.0,1.0,2.0,128.0,1128,0.035,3m,2.6,0.2,0.5,1024,6760,0.04,3m,2.2,0.4,2.0,320,3024,0.04,2m,2.2,0.8,1.5,176,5024.0,0.01,4m,3.0,0.0,1.0,552.0,7048.0,0.035,3m,3.0,1.0,2.0,1016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1280.0,0.01,5m,1.4,1.0,2.0,152.0,,,,,,,,0.45,19,COMPLETE
15,15,1.0010432158161489,2025-06-22 16:11:06.201145,2025-06-22 16:11:23.637950,0 days 00:00:17.436805,8120.0,0.05,3m,2.4000000000000004,1.0,2.0,464.0,,,,,,,,1032,0.04,4m,1.2,0.2,1.0,464,,,,,,,,4616,0.01,1m,1.4,0.4,1.0,840,1072.0,0.05,3m,1.0,0.6000000000000001,2.0,360.0,,,,,,,,4920,0.05,3m,1.4,1.0,1.0,136,5784,0.04,4m,2.2,0.4,2.0,432,,,,,,,,5552.0,0.025,3m,3.0,1.0,0.5,456.0,5176,0.04,3m,2.6,0.0,1.0,288,8080.0,0.05,2m,3.0,0.0,0.5,640.0,8016,0.01,1m,1.4,0.2,1.0,536,,,,,,,,,,,,,,,2920,0.05,2m,2.6,0.4,1.5,832,1032.0,0.05,5m,3.0,1.0,2.0,144.0,8168.0,0.01,5m,3.0,1.0,2.0,128.0,2296,0.035,3m,2.8,0.4,1.0,1024,7176,0.04,3m,2.0,0.8,2.0,344,2440,0.04,2m,2.2,0.8,1.5,312,4872.0,0.01,4m,3.0,0.0,1.0,568.0,7176.0,0.035,3m,3.0,1.0,2.0,1016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.0,0.01,5m,1.6,1.0,2.0,144.0,,,,,,,,0.5,19,COMPLETE
16,16,1.000929568616067,2025-06-22 16:11:23.672605,2025-06-22 16:11:41.470469,0 days 00:00:17.797864,8168.0,0.05,3m,2.2,1.0,2.0,416.0,,,,,,,,1040,0.035,2m,1.4,0.2,1.0,632,,,,,,,,4600,0.02,2m,2.6,0.0,0.5,840,1096.0,0.03,3m,1.6,0.6000000000000001,2.0,488.0,,,,,,,,3104,0.045000000000000005,4m,1.6,0.8,1.0,352,8168,0.01,4m,2.0,0.2,2.0,656,,,,,,,,3360.0,0.03,3m,2.4000000000000004,0.8,0.5,208.0,4984,0.045000000000000005,3m,2.4000000000000004,0.0,1.0,528,8184.0,0.05,2m,3.0,0.0,0.5,512.0,6888,0.015,1m,1.0,0.2,1.5,328,1336.0,0.05,3m,3.0,0.0,2.0,944.0,,,,,,,,3600,0.02,2m,1.6,0.6000000000000001,1.5,1008,1048.0,0.025,5m,2.6,1.0,2.0,184.0,7712.0,0.01,5m,3.0,1.0,2.0,272.0,2264,0.025,3m,2.6,0.2,2.0,728,6632,0.04,3m,1.8,0.2,1.5,360,6448,0.04,2m,2.2,0.8,2.0,264,4576.0,0.015,4m,3.0,0.2,1.5,624.0,6480.0,0.035,3m,2.6,0.8,2.0,1016.0,,,,,,,,,,,,,,,,,,,,,,1232.0,0.04,4m,2.4000000000000004,1.0,1.5,976.0,1096.0,0.01,5m,1.4,1.0,2.0,136.0,,,,,,,,0.45,21,COMPLETE
17,17,0.935849565633373,2025-06-22 16:11:41.505403,2025-06-22 16:11:53.395617,0 days 00:00:11.890214,7248.0,0.05,5m,3.0,0.8,1.5,536.0,,,,,,,,3728,0.04,3m,1.2,0.0,1.0,136,,,,,,,,3504,0.015,3m,1.4,0.4,1.0,824,,,,,,,,,,,,,,,5056,0.025,4m,1.4,0.8,1.0,360,5096,0.02,4m,2.0,0.4,2.0,456,,,,,,,,5280.0,0.025,4m,3.0,0.6000000000000001,1.5,544.0,6936,0.04,3m,2.4000000000000004,0.6000000000000001,0.5,416,7072.0,0.045000000000000005,2m,2.6,0.0,1.0,736.0,6856,0.01,2m,1.8,0.4,1.0,584,,,,,,,,,,,,,,,2592,0.025,1m,2.6,0.4,2.0,168,,,,,,,,,,,,,,,3248,0.05,3m,3.0,0.4,0.5,464,6608,0.045000000000000005,4m,2.2,0.2,2.0,264,4912,0.045000000000000005,3m,2.2,0.8,1.5,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1144.0,0.01,5m,1.6,1.0,2.0,320.0,,,,,,,,0.35000000000000003,14,COMPLETE
18,18,0.9818518212535681,2025-06-22 16:11:53.439559,2025-06-22 16:12:09.630868,0 days 00:00:16.191309,7032.0,0.04,3m,1.8,0.8,1.0,264.0,,,,,,,,1680,0.02,4m,1.0,0.2,0.5,696,,,,,,,,4856,0.02,3m,1.2,0.6000000000000001,0.5,768,3160.0,0.05,3m,1.4,0.4,1.5,208.0,,,,,,,,8048,0.03,4m,2.0,1.0,1.5,152,6344,0.015,4m,2.4000000000000004,0.2,2.0,704,,,,,,,,7680.0,0.01,3m,1.6,1.0,0.5,320.0,5728,0.045000000000000005,3m,2.4000000000000004,0.2,1.0,136,6968.0,0.04,3m,2.6,0.2,1.5,376.0,7040,0.02,1m,1.4,0.2,0.5,168,,,,,,,,,,,,,,,4168,0.035,2m,2.2,0.6000000000000001,1.5,776,2664.0,0.05,5m,2.4000000000000004,0.8,2.0,408.0,5880.0,0.02,5m,2.6,0.6000000000000001,2.0,552.0,1744,0.035,3m,2.6,0.2,1.0,744,7848,0.01,3m,2.6,0.4,2.0,528,3600,0.035,2m,1.8,0.6000000000000001,2.0,432,4624.0,0.02,5m,2.2,0.2,1.0,456.0,7976.0,0.03,5m,2.4000000000000004,0.8,2.0,280.0,,,,,,,,,,,,,,,,,,,,,,1056.0,0.01,2m,2.2,0.4,1.5,720.0,3256.0,0.015,5m,2.2,0.2,2.0,424.0,,,,,,,,0.45,20,COMPLETE
19,19,1.0185573330633872,2025-06-22 16:12:09.669260,2025-06-22 16:12:21.212613,0 days 00:00:11.543353,5776.0,0.045000000000000005,4m,2.4000000000000004,0.8,2.0,336.0,,,,,,,,2824,0.035,4m,1.4,0.2,1.0,344,,,,,,,,7088,0.015,3m,1.8,0.0,1.0,928,,,,,,,,,,,,,,,6864,0.045000000000000005,3m,1.4,0.8,1.0,992,4408,0.04,4m,3.0,0.6000000000000001,1.5,272,,,,,,,,,,,,,,,4464,0.03,3m,3.0,0.6000000000000001,0.5,944,7000.0,0.045000000000000005,2m,3.0,0.2,0.5,752.0,1160,0.02,2m,1.8,0.0,1.0,352,,,,,,,,,,,,,,,3224,0.02,2m,2.6,1.0,1.0,912,,,,,,,,,,,,,,,2904,0.035,3m,2.6,0.2,1.5,952,6328,0.035,2m,1.8,0.8,1.5,664,6192,0.04,2m,2.0,0.8,1.5,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7808.0,0.015,5m,1.4,1.0,1.5,232.0,,,,,,,,0.15000000000000002,13,COMPLETE
20,20,0.9871124577503637,2025-06-22 16:12:21.247950,2025-06-22 16:12:33.995274,0 days 00:00:12.747324,5376.0,0.03,4m,2.2,0.8,1.5,328.0,,,,,,,,2608,0.035,4m,1.4,0.0,0.5,344,,,,,,,,6832,0.015,2m,2.0,0.2,1.0,944,,,,,,,,,,,,,,,6800,0.045000000000000005,3m,2.0,0.8,1.5,1000,4400,0.04,1m,3.0,0.6000000000000001,1.0,272,,,,,,,,,,,,,,,4360,0.03,3m,3.0,0.6000000000000001,0.5,1000,6920.0,0.04,2m,2.4000000000000004,0.2,1.0,1000.0,1176,0.02,2m,2.0,0.0,1.5,336,,,,,,,,,,,,,,,5024,0.015,4m,2.2,1.0,1.0,768,,,,,,,,,,,,,,,3280,0.045000000000000005,2m,2.2,0.4,1.5,904,8152,0.035,2m,1.8,0.8,1.5,672,6232,0.045000000000000005,2m,1.6,0.4,1.0,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7736.0,0.02,4m,2.0,0.4,1.5,248.0,,,,,,,,0.15000000000000002,13,COMPLETE
21,21,1.0008445083207806,2025-06-22 16:12:34.030895,2025-06-22 16:12:50.336226,0 days 00:00:16.305331,7328.0,0.045000000000000005,4m,2.4000000000000004,1.0,2.0,600.0,,,,,,,,1544,0.04,4m,1.2,0.2,1.0,456,,,,,,,,5488,0.025,3m,1.8,0.0,1.0,912,,,,,,,,,,,,,,,6880,0.045000000000000005,3m,1.4,1.0,1.0,896,5144,0.045000000000000005,4m,2.6,0.4,1.5,344,,,,,,,,2976.0,0.05,3m,1.6,0.2,1.5,624.0,4776,0.03,3m,3.0,0.6000000000000001,0.5,912,7408.0,0.045000000000000005,2m,3.0,0.0,0.5,704.0,4256,0.01,2m,1.6,0.0,1.0,368,,,,,,,,,,,,,,,3264,0.02,2m,2.6,0.8,1.0,952,2304.0,0.03,3m,2.4000000000000004,0.4,1.5,296.0,1808.0,0.05,2m,1.8,0.8,1.5,128.0,1672,0.035,3m,2.6,0.2,1.5,968,6360,0.035,2m,2.0,0.8,2.0,424,6912,0.04,2m,2.0,0.8,1.5,248,5744.0,0.01,1m,2.6,0.4,1.5,760.0,6064.0,0.04,3m,3.0,0.6000000000000001,1.0,664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8168.0,0.015,5m,1.4,1.0,2.0,128.0,,,,,,,,0.15000000000000002,18,COMPLETE
22,22,1.0020253386448486,2025-06-22 16:12:50.370380,2025-06-22 16:13:09.539762,0 days 00:00:19.169382,5992.0,0.05,4m,2.6,0.8,2.0,368.0,,,,,,,,2848,0.045000000000000005,4m,1.0,0.4,1.0,336,7760.0,0.01,5m,1.0,0.0,0.5,160.0,6928,0.015,3m,1.6,0.0,0.5,888,2552.0,0.01,1m,3.0,0.8,0.5,488.0,,,,,,,,5320,0.045000000000000005,3m,1.6,0.8,1.0,392,6312,0.035,4m,1.8,0.6000000000000001,1.5,248,,,,,,,,4912.0,0.02,4m,2.6,0.6000000000000001,0.5,280.0,5576,0.035,3m,2.2,0.4,1.0,680,7624.0,0.05,2m,2.8,0.2,0.5,760.0,7240,0.015,2m,1.6,0.2,1.0,512,3320.0,0.04,3m,3.0,0.2,0.5,760.0,,,,,,,,3816,0.025,2m,2.8,1.0,1.0,920,4696.0,0.04,1m,3.0,0.8,2.0,488.0,6056.0,0.02,4m,2.6,0.4,2.0,720.0,2664,0.025,3m,2.8,0.2,2.0,960,6896,0.045000000000000005,2m,2.2,0.4,1.5,280,4728,0.035,2m,2.0,0.8,1.5,152,3816.0,0.05,4m,2.6,0.2,1.0,488.0,7024.0,0.025,5m,1.4,0.8,1.5,416.0,,,,,,,,,,,,,,,,,,,,,,2760.0,0.035,4m,3.0,0.2,0.5,992.0,5216.0,0.01,5m,1.4,0.8,1.5,200.0,,,,,,,,0.3,22,COMPLETE
23,23,0.9248716403292626,2025-06-22 16:13:09.576744,2025-06-22 16:13:20.911083,0 days 00:00:11.334339,7816.0,0.045000000000000005,4m,2.2,1.0,2.0,504.0,,,,,,,,3864,0.035,4m,1.6,0.2,1.0,512,,,,,,,,3248,0.01,3m,2.2,0.2,1.0,776,,,,,,,,,,,,,,,8160,0.035,5m,1.2,1.0,1.0,560,3944,0.025,4m,2.2,0.4,1.5,384,,,,,,,,,,,,,,,2096,0.045000000000000005,3m,2.6,0.0,1.0,512,6296.0,0.045000000000000005,2m,2.8,0.0,0.5,600.0,6224,0.02,1m,1.2,0.4,1.0,128,,,,,,,,,,,,,,,2392,0.03,2m,2.6,0.4,1.5,784,,,,,,,,,,,,,,,1752,0.035,3m,2.4000000000000004,0.4,1.5,1024,6064,0.04,2m,1.8,0.2,2.0,664,6112,0.045000000000000005,2m,2.4000000000000004,1.0,1.5,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,12,COMPLETE
24,24,1.012531626099543,2025-06-22 16:13:20.947379,2025-06-22 16:13:35.067655,0 days 00:00:14.120276,2704.0,0.04,3m,2.4000000000000004,0.6000000000000001,1.5,136.0,,,,,,,,1656,0.025,4m,1.2,0.0,1.5,384,,,,,,,,7376,0.02,3m,1.6,0.0,1.0,1016,,,,,,,,,,,,,,,3928,0.05,1m,1.8,0.8,0.5,264,4864,0.035,2m,3.0,0.2,2.0,456,,,,,,,,6752.0,0.03,5m,1.4,0.8,1.5,584.0,4320,0.025,3m,2.8,1.0,0.5,792,6480.0,0.04,2m,2.8,0.2,1.0,512.0,7456,0.015,2m,1.8,0.0,0.5,280,,,,,,,,,,,,,,,2744,0.015,2m,2.8,0.8,1.0,912,,,,,,,,,,,,,,,4072,0.045000000000000005,3m,3.0,0.0,1.0,792,5920,0.045000000000000005,3m,2.4000000000000004,0.8,1.5,480,7416,0.03,2m,2.4000000000000004,0.6000000000000001,2.0,464,,,,,,,,3264.0,0.01,2m,2.2,1.0,2.0,680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1792.0,0.015,5m,1.8,1.0,2.0,376.0,,,,,,,,0.2,15,COMPLETE
25,25,0.9319119467910452,2025-06-22 16:13:35.104668,2025-06-22 16:13:52.197108,0 days 00:00:17.092440,2472.0,0.04,4m,3.0,0.6000000000000001,1.5,152.0,,,,,,,,1824,0.025,2m,1.6,0.0,1.5,224,,,,,,,,8152,0.025,3m,2.0,0.0,1.0,1008,,,,,,,,,,,,,,,4176,0.05,1m,1.8,0.8,0.5,256,4784,0.035,2m,3.0,0.6000000000000001,1.0,304,,,,,,,,7096.0,0.03,5m,1.4,0.8,2.0,656.0,4136,0.025,1m,2.8,1.0,0.5,808,5016.0,0.04,4m,2.2,0.2,1.0,416.0,5008,0.025,2m,1.8,0.0,0.5,240,,,,,,,,,,,,,,,1856,0.015,1m,2.8,0.8,1.0,904,,,,,,,,,,,,,,,4616,0.045000000000000005,1m,3.0,0.0,1.0,800,5920,0.045000000000000005,2m,2.6,0.8,1.0,464,7200,0.03,3m,1.6,0.6000000000000001,2.0,512,,,,,,,,1600.0,0.01,2m,2.0,0.4,1.5,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008.0,0.015,5m,1.8,0.8,1.5,400.0,,,,,,,,0.2,15,COMPLETE
26,26,1.0337114544374362,2025-06-22 16:13:52.246403,2025-06-22 16:14:05.394047,0 days 00:00:13.147644,2288.0,0.04,1m,1.8,0.6000000000000001,1.0,280.0,,,,,,,,2944,0.025,3m,1.2,0.0,2.0,368,,,,,,,,7368,0.015,1m,1.6,0.2,1.5,1016,,,,,,,,,,,,,,,3096,0.05,1m,1.6,0.6000000000000001,0.5,192,3968,0.035,2m,2.8,0.4,1.5,496,,,,,,,,,,,,,,,2912,0.02,5m,3.0,1.0,0.5,928,6360.0,0.035,2m,2.8,0.2,1.5,456.0,6336,0.015,2m,2.2,0.0,0.5,288,,,,,,,,,,,,,,,8168,0.02,2m,2.8,1.0,1.0,832,,,,,,,,,,,,,,,4384,0.045000000000000005,4m,2.8,0.0,1.0,664,5160,0.035,4m,2.4000000000000004,1.0,1.5,648,7536,0.03,4m,2.4000000000000004,0.4,2.0,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,12,COMPLETE
