,number,value,datetime_start,datetime_complete,duration,params_ADP_ASML_beta_win,params_ADP_ASML_stop_loss,params_ADP_ASML_trade_freq,params_ADP_ASML_z_entry,params_ADP_ASML_z_exit,params_ADP_ASML_z_stop_scaler,params_ADP_ASML_z_win,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_ADP_XEL_beta_win,params_ADP_XEL_stop_loss,params_ADP_XEL_trade_freq,params_ADP_XEL_z_entry,params_ADP_XEL_z_exit,params_ADP_XEL_z_stop_scaler,params_ADP_XEL_z_win,params_AMGN_ANSS_beta_win,params_AMGN_ANSS_stop_loss,params_AMGN_ANSS_trade_freq,params_AMGN_ANSS_z_entry,params_AMGN_ANSS_z_exit,params_AMGN_ANSS_z_stop_scaler,params_AMGN_ANSS_z_win,params_ASML_PAYX_beta_win,params_ASML_PAYX_stop_loss,params_ASML_PAYX_trade_freq,params_ASML_PAYX_z_entry,params_ASML_PAYX_z_exit,params_ASML_PAYX_z_stop_scaler,params_ASML_PAYX_z_win,params_AZN_ANSS_beta_win,params_AZN_ANSS_stop_loss,params_AZN_ANSS_trade_freq,params_AZN_ANSS_z_entry,params_AZN_ANSS_z_exit,params_AZN_ANSS_z_stop_scaler,params_AZN_ANSS_z_win,params_CSCO_META_beta_win,params_CSCO_META_stop_loss,params_CSCO_META_trade_freq,params_CSCO_META_z_entry,params_CSCO_META_z_exit,params_CSCO_META_z_stop_scaler,params_CSCO_META_z_win,params_GFS_SNPS_beta_win,params_GFS_SNPS_stop_loss,params_GFS_SNPS_trade_freq,params_GFS_SNPS_z_entry,params_GFS_SNPS_z_exit,params_GFS_SNPS_z_stop_scaler,params_GFS_SNPS_z_win,params_GILD_META_beta_win,params_GILD_META_stop_loss,params_GILD_META_trade_freq,params_GILD_META_z_entry,params_GILD_META_z_exit,params_GILD_META_z_stop_scaler,params_GILD_META_z_win,params_PYPL_ASML_beta_win,params_PYPL_ASML_stop_loss,params_PYPL_ASML_trade_freq,params_PYPL_ASML_z_entry,params_PYPL_ASML_z_exit,params_PYPL_ASML_z_stop_scaler,params_PYPL_ASML_z_win,params_buffer_capital,params_pairs_to_trade,state
42,42,1.0312481166305831,2025-06-22 17:33:16.482768,2025-06-22 17:33:17.728653,0 days 00:00:01.245885,8112,0.02,9m,1.6,0.6000000000000001,1.0,776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
43,43,0.9906333777880718,2025-06-22 17:33:17.754453,2025-06-22 17:33:21.225868,0 days 00:00:03.471415,3656,0.02,9m,1.8,0.6000000000000001,1.0,776,,,,,,,,2664.0,0.035,2m,2.6,0.0,1.5,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
44,44,0.9958453865739236,2025-06-22 17:33:21.242872,2025-06-22 17:33:24.393111,0 days 00:00:03.150239,7176,0.015,9m,1.4,0.4,0.5,824,,,,,,,,1624.0,0.025,8m,1.4,0.4,1.0,552.0,,,,,,,,,,,,,,,4184.0,0.05,6m,2.2,0.4,1.0,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
45,45,0.9937422333024499,2025-06-22 17:33:24.441255,2025-06-22 17:33:26.222755,0 days 00:00:01.781500,7672,0.025,5m,1.8,1.0,1.0,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
46,46,1.0567280278548696,2025-06-22 17:33:26.238655,2025-06-22 17:33:30.382918,0 days 00:00:04.144263,6888,0.02,9m,1.2,0.6000000000000001,1.5,888,4824.0,0.045000000000000005,9m,1.0,0.0,1.0,432.0,4584.0,0.03,6m,2.2,0.0,0.5,632.0,,,,,,,,,,,,,,,2216.0,0.02,7m,1.8,0.6000000000000001,0.5,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
47,47,1.0204817232105146,2025-06-22 17:33:30.424345,2025-06-22 17:33:37.143807,0 days 00:00:06.719462,6848,0.02,7m,1.2,0.8,1.5,1024,4912.0,0.045000000000000005,9m,1.0,0.0,1.0,432.0,5512.0,0.03,6m,2.2,0.0,0.5,672.0,,,,,,,,,,,,,,,2032.0,0.02,7m,1.8,0.6000000000000001,0.5,352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
48,48,0.9618539297066535,2025-06-22 17:33:37.232072,2025-06-22 17:33:42.250684,0 days 00:00:05.018612,1768,0.015,4m,1.2,0.4,1.5,880,4448.0,0.045000000000000005,9m,1.4,0.2,1.5,312.0,4584.0,0.035,6m,2.6,0.0,0.5,608.0,,,,,,,,,,,,,,,2360.0,0.02,7m,1.4,0.8,0.5,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
49,49,1.0153620134720343,2025-06-22 17:33:42.285155,2025-06-22 17:33:48.419968,0 days 00:00:06.134813,6320,0.035,9m,1.0,0.6000000000000001,1.5,848,7136.0,0.035,9m,1.6,0.0,0.5,504.0,4568.0,0.03,6m,2.4000000000000004,0.2,0.5,728.0,,,,,,,,4352.0,0.01,2m,3.0,0.8,1.5,848.0,1120.0,0.03,7m,1.4,0.6000000000000001,1.0,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
50,50,1.0400460637821693,2025-06-22 17:33:48.452713,2025-06-22 17:33:56.543684,0 days 00:00:08.090971,7384,0.025,6m,1.4,1.0,1.5,976,5720.0,0.04,9m,1.2,0.6000000000000001,1.0,256.0,4024.0,0.04,4m,2.2,0.0,1.0,816.0,1368.0,0.015,9m,1.4,0.0,2.0,896.0,2104.0,0.04,7m,2.0,0.2,0.5,144.0,3648.0,0.025,4m,2.4000000000000004,0.4,0.5,408.0,2680.0,0.05,7m,1.8,0.6000000000000001,0.5,336.0,,,,,,,,3008.0,0.01,6m,2.4000000000000004,0.6000000000000001,0.5,480.0,,,,,,,,0.2,8,COMPLETE
51,51,1.0247444769258536,2025-06-22 17:33:56.582091,2025-06-22 17:34:05.053683,0 days 00:00:08.471592,7360,0.025,6m,1.4,1.0,1.5,976,5688.0,0.04,9m,1.0,0.6000000000000001,1.0,248.0,4128.0,0.04,4m,2.2,0.0,1.0,832.0,1416.0,0.015,9m,1.4,0.0,2.0,1016.0,1872.0,0.04,7m,2.0,0.2,0.5,144.0,1784.0,0.025,4m,2.4000000000000004,0.4,0.5,440.0,2552.0,0.05,7m,1.8,0.6000000000000001,0.5,360.0,,,,,,,,3040.0,0.01,6m,2.6,0.6000000000000001,0.5,504.0,,,,,,,,0.2,8,COMPLETE
52,52,0.9194462346129479,2025-06-22 17:34:05.087240,2025-06-22 17:34:15.692840,0 days 00:00:10.605600,6912,0.02,6m,1.2,1.0,1.5,920,6256.0,0.05,9m,1.2,0.4,1.0,232.0,2912.0,0.035,4m,2.0,0.0,1.0,808.0,3992.0,0.025,9m,1.8,0.4,1.5,664.0,2272.0,0.04,7m,1.6,0.0,0.5,488.0,3560.0,0.02,4m,2.2,0.2,0.5,520.0,5080.0,0.045000000000000005,7m,1.0,0.6000000000000001,1.0,304.0,1232.0,0.05,8m,3.0,0.4,0.5,872.0,2648.0,0.01,6m,2.6,0.6000000000000001,0.5,512.0,2360.0,0.01,3m,2.6,1.0,0.5,904.0,0.25,10,COMPLETE
53,53,1.018108144880022,2025-06-22 17:34:15.716586,2025-06-22 17:34:26.293052,0 days 00:00:10.576466,7824,0.025,6m,1.6,0.8,1.5,888,5296.0,0.03,9m,1.4,0.6000000000000001,1.0,384.0,3800.0,0.04,4m,2.4000000000000004,0.2,1.0,944.0,3744.0,0.025,6m,2.0,0.0,1.5,656.0,3648.0,0.025,8m,2.6,0.4,1.0,128.0,2640.0,0.035,4m,2.0,0.4,0.5,384.0,2600.0,0.035,2m,2.4000000000000004,1.0,0.5,488.0,,,,,,,,4448.0,0.035,4m,2.4000000000000004,1.0,1.5,408.0,7920.0,0.025,6m,2.0,0.0,0.5,168.0,0.2,9,COMPLETE
54,54,1.0367185820219826,2025-06-22 17:34:26.319104,2025-06-22 17:34:32.707989,0 days 00:00:06.388885,6568,0.03,9m,1.4,0.6000000000000001,1.5,528,3120.0,0.045000000000000005,9m,1.6,0.8,1.5,616.0,3320.0,0.03,7m,2.2,0.0,1.5,648.0,,,,,,,,1096.0,0.045000000000000005,3m,2.0,0.2,0.5,264.0,4272.0,0.025,3m,2.4000000000000004,0.6000000000000001,1.0,560.0,2416.0,0.02,8m,1.4,0.8,1.0,704.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
55,55,0.9957483783422826,2025-06-22 17:34:32.732757,2025-06-22 17:34:39.246834,0 days 00:00:06.514077,6520,0.03,5m,1.6,0.8,1.5,552,3048.0,0.045000000000000005,9m,1.6,0.8,1.5,624.0,2536.0,0.04,7m,2.2,0.0,0.5,648.0,,,,,,,,1024.0,0.045000000000000005,3m,2.0,0.2,0.5,280.0,4568.0,0.025,3m,2.4000000000000004,0.6000000000000001,1.0,576.0,2704.0,0.015,8m,1.4,0.8,1.0,768.0,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
56,56,0.8601426717103852,2025-06-22 17:34:39.272822,2025-06-22 17:34:47.641458,0 days 00:00:08.368636,5904,0.02,7m,1.8,1.0,2.0,512,4608.0,0.04,9m,1.2,0.8,1.5,504.0,4336.0,0.045000000000000005,7m,2.2,0.0,1.0,576.0,2752.0,0.015,4m,1.0,0.8,2.0,480.0,2328.0,0.045000000000000005,3m,1.8,0.2,0.5,224.0,4208.0,0.03,3m,2.8,0.6000000000000001,0.5,472.0,1952.0,0.025,8m,1.8,0.6000000000000001,0.5,816.0,,,,,,,,7896.0,0.01,8m,2.2,0.4,0.5,128.0,,,,,,,,0.1,8,COMPLETE
57,57,0.9473148413739771,2025-06-22 17:34:47.657380,2025-06-22 17:34:56.076564,0 days 00:00:08.419184,5336,0.03,2m,1.4,0.6000000000000001,1.5,624,3408.0,0.045000000000000005,9m,1.4,0.6000000000000001,1.0,352.0,3312.0,0.035,7m,1.8,0.0,1.5,696.0,,,,,,,,2080.0,0.035,7m,2.4000000000000004,0.0,1.0,336.0,3600.0,0.02,3m,2.2,0.8,1.0,528.0,3624.0,0.03,4m,1.2,0.8,1.0,512.0,,,,,,,,2056.0,0.03,4m,1.8,0.8,1.5,664.0,,,,,,,,0.15000000000000002,7,COMPLETE
58,58,0.9443014989987419,2025-06-22 17:34:56.105417,2025-06-22 17:35:04.509007,0 days 00:00:08.403590,7040,0.025,9m,1.6,0.8,1.5,320,4376.0,0.05,9m,1.8,0.8,1.5,752.0,5456.0,0.025,2m,2.4000000000000004,0.0,1.0,784.0,,,,,,,,3944.0,0.045000000000000005,3m,1.4,0.4,0.5,512.0,3128.0,0.015,3m,2.4000000000000004,0.4,0.5,576.0,4456.0,0.02,5m,1.8,1.0,0.5,680.0,,,,,,,,4192.0,0.05,6m,1.0,0.0,1.0,872.0,,,,,,,,0.15000000000000002,7,COMPLETE
59,59,0.9697183719170562,2025-06-22 17:35:04.540553,2025-06-22 17:35:13.640408,0 days 00:00:09.099855,6712,0.015,6m,1.2,0.6000000000000001,2.0,736,1216.0,0.035,7m,1.2,0.4,2.0,584.0,6784.0,0.03,3m,1.4,0.0,0.5,896.0,5824.0,0.035,5m,1.6,0.4,1.0,888.0,2728.0,0.03,3m,2.2,0.6000000000000001,1.0,200.0,4912.0,0.03,4m,1.8,0.8,1.0,304.0,1944.0,0.015,6m,1.4,0.4,1.0,904.0,,,,,,,,5720.0,0.015,5m,2.6,0.6000000000000001,0.5,576.0,,,,,,,,0.2,8,COMPLETE
60,60,0.9492363927036772,2025-06-22 17:35:13.662488,2025-06-22 17:35:19.367149,0 days 00:00:05.704661,6336,0.03,3m,2.0,0.8,1.5,488,2344.0,0.04,4m,1.0,0.6000000000000001,1.0,504.0,1896.0,0.02,4m,2.2,0.0,1.5,576.0,,,,,,,,5216.0,0.04,7m,1.8,0.2,0.5,400.0,6440.0,0.025,7m,2.0,0.2,0.5,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,5,COMPLETE
61,61,1.0316370628698848,2025-06-22 17:35:19.402096,2025-06-22 17:35:22.200068,0 days 00:00:02.797972,7448,0.035,9m,1.4,0.6000000000000001,1.5,976,,,,,,,,4184.0,0.03,7m,2.0,0.2,1.5,496.0,,,,,,,,,,,,,,,1880.0,0.015,9m,2.2,0.6000000000000001,1.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,3,COMPLETE
62,62,1.0418727733433084,2025-06-22 17:35:22.228606,2025-06-22 17:35:31.634027,0 days 00:00:09.405421,7184,0.035,9m,1.4,0.6000000000000001,1.5,904,5512.0,0.035,8m,1.6,1.0,1.5,200.0,3208.0,0.035,6m,2.8,0.2,1.5,656.0,2496.0,0.02,3m,2.4000000000000004,0.2,1.5,432.0,1416.0,0.045000000000000005,5m,2.4000000000000004,0.4,1.5,352.0,1408.0,0.04,3m,2.8,0.8,0.5,392.0,2944.0,0.03,3m,2.0,0.6000000000000001,1.5,424.0,,,,,,,,2224.0,0.03,8m,2.2,0.2,1.0,264.0,3584.0,0.03,7m,2.0,0.6000000000000001,2.0,1016.0,0.3,9,COMPLETE
63,63,1.0275777219569635,2025-06-22 17:35:31.670655,2025-06-22 17:35:41.226322,0 days 00:00:09.555667,7128,0.045000000000000005,9m,1.6,0.4,1.5,1000,5656.0,0.035,8m,1.6,1.0,1.5,208.0,3144.0,0.035,6m,2.8,0.2,1.5,704.0,2432.0,0.02,3m,2.4000000000000004,0.2,1.5,408.0,1440.0,0.045000000000000005,5m,2.4000000000000004,0.4,1.5,344.0,1488.0,0.04,3m,3.0,0.8,0.5,392.0,3432.0,0.03,3m,2.2,0.6000000000000001,1.5,424.0,,,,,,,,2136.0,0.03,8m,2.2,0.2,1.0,248.0,3712.0,0.03,7m,2.0,0.6000000000000001,2.0,976.0,0.3,9,COMPLETE
64,64,1.0115832642892773,2025-06-22 17:35:41.261365,2025-06-22 17:35:51.099995,0 days 00:00:09.838630,7976,0.02,9m,1.4,0.6000000000000001,1.5,544,5008.0,0.04,8m,1.4,1.0,1.5,128.0,2344.0,0.035,6m,2.8,0.2,1.0,664.0,1048.0,0.01,3m,2.4000000000000004,0.2,2.0,352.0,1136.0,0.045000000000000005,5m,2.0,0.2,1.5,192.0,1384.0,0.04,3m,2.8,1.0,0.5,472.0,2976.0,0.035,3m,2.0,0.8,1.5,280.0,,,,,,,,3216.0,0.04,8m,2.0,0.4,0.5,440.0,3832.0,0.04,5m,2.4000000000000004,0.6000000000000001,1.5,672.0,0.3,9,COMPLETE
65,65,0.952518628023922,2025-06-22 17:35:51.135998,2025-06-22 17:36:02.406719,0 days 00:00:11.270721,7056,0.025,4m,1.0,0.6000000000000001,1.5,904,6472.0,0.03,8m,2.0,0.8,1.5,216.0,2832.0,0.04,6m,3.0,1.0,1.5,600.0,2760.0,0.025,3m,1.4,0.0,1.5,568.0,2600.0,0.035,5m,2.6,0.4,1.0,280.0,1040.0,0.03,3m,2.6,0.8,0.5,384.0,1912.0,0.02,8m,1.6,0.6000000000000001,2.0,616.0,1120.0,0.01,6m,2.6,1.0,0.5,1016.0,1920.0,0.025,2m,2.8,0.2,1.0,280.0,4888.0,0.02,7m,1.4,0.4,2.0,440.0,0.2,10,COMPLETE
66,66,1.0450949371377345,2025-06-22 17:36:02.436824,2025-06-22 17:36:11.245309,0 days 00:00:08.808485,6656,0.03,9m,1.2,0.6000000000000001,2.0,816,7224.0,0.045000000000000005,8m,1.0,1.0,1.0,280.0,3984.0,0.025,5m,2.6,0.4,2.0,560.0,2296.0,0.02,9m,2.2,0.2,1.0,768.0,1656.0,0.04,6m,2.2,0.0,1.5,384.0,2776.0,0.035,2m,2.8,0.6000000000000001,0.5,608.0,4576.0,0.045000000000000005,3m,2.0,0.8,1.5,128.0,,,,,,,,4000.0,0.045000000000000005,6m,2.4000000000000004,0.0,1.5,136.0,,,,,,,,0.2,8,COMPLETE
67,67,1.029527111802233,2025-06-22 17:36:11.291569,2025-06-22 17:36:20.038593,0 days 00:00:08.747024,3960,0.03,9m,1.2,1.0,2.0,432,7376.0,0.045000000000000005,8m,1.0,1.0,1.0,280.0,4776.0,0.025,5m,2.6,0.8,2.0,552.0,2192.0,0.02,9m,2.2,0.2,1.0,808.0,1760.0,0.04,6m,2.2,0.0,1.5,536.0,2624.0,0.035,2m,2.8,0.6000000000000001,0.5,648.0,4536.0,0.045000000000000005,3m,2.0,0.8,1.5,136.0,,,,,,,,3792.0,0.045000000000000005,6m,2.4000000000000004,0.0,1.5,168.0,,,,,,,,0.1,8,COMPLETE
68,68,1.0051747366044832,2025-06-22 17:36:20.082414,2025-06-22 17:36:27.141188,0 days 00:00:07.058774,6400,0.035,9m,1.0,0.4,2.0,696,7672.0,0.05,5m,1.2,1.0,1.0,184.0,4008.0,0.025,5m,2.8,0.4,2.0,648.0,,,,,,,,1656.0,0.05,6m,2.4000000000000004,0.0,1.5,256.0,2424.0,0.035,2m,3.0,0.6000000000000001,0.5,584.0,5768.0,0.045000000000000005,3m,2.0,0.6000000000000001,1.5,208.0,,,,,,,,,,,,,,,,,,,,,,0.4,6,COMPLETE
69,69,1.0440946295523406,2025-06-22 17:36:27.184013,2025-06-22 17:36:35.173052,0 days 00:00:07.989039,6128,0.03,8m,1.2,0.8,2.0,856,6848.0,0.045000000000000005,8m,1.0,0.8,1.0,328.0,4328.0,0.025,6m,2.4000000000000004,0.6000000000000001,2.0,720.0,3416.0,0.02,9m,2.8,0.0,0.5,752.0,1592.0,0.045000000000000005,6m,2.0,0.2,1.5,384.0,2912.0,0.04,2m,2.4000000000000004,0.6000000000000001,0.5,448.0,3136.0,0.05,7m,2.4000000000000004,0.8,1.5,296.0,,,,,,,,2624.0,0.035,6m,2.2,0.0,1.5,368.0,,,,,,,,0.25,8,COMPLETE
70,70,1.0558464516914792,2025-06-22 17:36:35.208921,2025-06-22 17:36:43.097040,0 days 00:00:07.888119,6056,0.04,8m,1.2,0.8,2.0,808,6752.0,0.035,8m,1.0,1.0,1.0,360.0,4400.0,0.02,6m,2.6,0.6000000000000001,2.0,728.0,3496.0,0.02,9m,2.8,0.0,0.5,760.0,2064.0,0.04,6m,2.2,0.0,1.5,440.0,2976.0,0.04,2m,2.6,0.4,0.5,448.0,4080.0,0.05,7m,2.4000000000000004,1.0,1.5,336.0,,,,,,,,2584.0,0.035,6m,2.2,0.0,1.5,384.0,,,,,,,,0.3,8,COMPLETE
71,71,1.0346962853495205,2025-06-22 17:36:43.125039,2025-06-22 17:36:50.346288,0 days 00:00:07.221249,5864,0.035,8m,1.2,0.8,2.0,808,6728.0,0.035,8m,1.0,1.0,1.0,360.0,4448.0,0.015,6m,2.6,0.6000000000000001,2.0,720.0,3600.0,0.02,9m,3.0,0.0,0.5,760.0,2000.0,0.04,6m,2.2,0.0,1.5,448.0,3048.0,0.04,2m,2.6,0.4,0.5,448.0,4128.0,0.05,7m,2.4000000000000004,1.0,1.5,320.0,,,,,,,,2680.0,0.035,6m,2.2,0.0,1.5,384.0,,,,,,,,0.3,8,COMPLETE
72,72,1.0448831557133058,2025-06-22 17:36:50.366345,2025-06-22 17:36:58.692475,0 days 00:00:08.326130,6176,0.045000000000000005,8m,1.2,0.8,2.0,848,5960.0,0.04,8m,1.0,1.0,1.0,336.0,5120.0,0.015,6m,2.4000000000000004,0.6000000000000001,2.0,776.0,3104.0,0.015,9m,2.8,0.0,0.5,744.0,1656.0,0.035,6m,2.2,0.0,1.5,376.0,3384.0,0.045000000000000005,2m,2.8,0.4,0.5,496.0,3296.0,0.05,7m,2.4000000000000004,1.0,1.5,232.0,,,,,,,,2464.0,0.035,6m,2.4000000000000004,0.0,1.5,256.0,2160.0,0.04,4m,1.6,0.8,1.0,816.0,0.3,9,COMPLETE
73,73,0.9995197485793327,2025-06-22 17:36:58.712237,2025-06-22 17:37:07.180115,0 days 00:00:08.467878,5440,0.045000000000000005,8m,1.0,0.8,2.0,840,6088.0,0.04,8m,1.0,1.0,1.0,336.0,5064.0,0.02,6m,2.4000000000000004,0.6000000000000001,2.0,848.0,3072.0,0.015,9m,2.8,0.0,0.5,744.0,1624.0,0.035,6m,2.2,0.0,1.5,408.0,2752.0,0.045000000000000005,2m,2.8,0.4,0.5,480.0,3176.0,0.05,7m,2.4000000000000004,1.0,1.5,240.0,,,,,,,,2480.0,0.035,6m,2.4000000000000004,0.0,1.5,256.0,2168.0,0.04,4m,1.6,0.8,1.0,840.0,0.3,9,COMPLETE
74,74,1.0450818210452322,2025-06-22 17:37:07.216915,2025-06-22 17:37:14.630136,0 days 00:00:07.413221,6104,0.04,8m,1.2,0.8,2.0,744,6840.0,0.035,8m,1.0,1.0,1.0,264.0,5728.0,0.015,6m,2.6,0.6000000000000001,2.0,752.0,2072.0,0.02,9m,2.6,0.0,0.5,848.0,2344.0,0.04,6m,2.0,0.0,1.5,360.0,3248.0,0.045000000000000005,2m,2.8,0.4,0.5,424.0,4952.0,0.045000000000000005,7m,2.6,1.0,1.5,360.0,,,,,,,,3248.0,0.035,6m,2.2,0.0,1.5,224.0,,,,,,,,0.35000000000000003,8,COMPLETE
75,75,0.9946320041788413,2025-06-22 17:37:14.643846,2025-06-22 17:37:23.192133,0 days 00:00:08.548287,4904,0.04,8m,1.0,0.8,2.0,752,6856.0,0.035,8m,1.0,1.0,1.0,408.0,5720.0,0.015,6m,2.6,0.6000000000000001,2.0,776.0,2192.0,0.02,9m,2.6,0.2,0.5,704.0,2504.0,0.035,6m,2.2,0.0,1.5,360.0,3456.0,0.045000000000000005,2m,2.8,0.4,0.5,496.0,5088.0,0.045000000000000005,7m,2.6,1.0,1.5,408.0,,,,,,,,1776.0,0.035,6m,2.0,0.0,1.5,208.0,2920.0,0.035,4m,1.8,0.8,1.0,1024.0,0.35000000000000003,9,COMPLETE
76,76,1.009997026653272,2025-06-22 17:37:23.209518,2025-06-22 17:37:29.950602,0 days 00:00:06.741084,5528,0.045000000000000005,8m,1.2,0.8,2.0,760,7392.0,0.03,8m,1.0,1.0,1.0,304.0,5096.0,0.015,6m,3.0,0.8,2.0,744.0,,,,,,,,1560.0,0.045000000000000005,6m,2.4000000000000004,0.0,1.5,464.0,2040.0,0.04,2m,3.0,0.4,0.5,344.0,4952.0,0.04,7m,2.6,1.0,1.5,192.0,,,,,,,,3456.0,0.03,6m,2.2,0.0,1.5,312.0,,,,,,,,0.4,7,COMPLETE
77,77,1.0596790356702661,2025-06-22 17:37:29.980535,2025-06-22 17:37:39.589601,0 days 00:00:09.609066,6000,0.04,8m,1.2,0.8,2.0,808,6456.0,0.035,8m,1.2,1.0,1.0,280.0,6632.0,0.01,6m,2.6,0.6000000000000001,2.0,688.0,3288.0,0.02,9m,2.8,0.0,0.5,824.0,1512.0,0.03,6m,2.0,0.0,1.5,376.0,2920.0,0.045000000000000005,2m,2.6,0.6000000000000001,0.5,424.0,4136.0,0.045000000000000005,7m,2.6,1.0,1.5,280.0,8048.0,0.025,4m,2.2,0.0,2.0,144.0,2552.0,0.04,6m,2.2,0.2,1.5,136.0,1600.0,0.05,4m,1.0,0.8,1.5,800.0,0.35000000000000003,10,COMPLETE
78,78,1.0699028542867626,2025-06-22 17:37:39.609458,2025-06-22 17:37:49.220018,0 days 00:00:09.610560,6104,0.05,8m,1.0,0.8,2.0,800,6408.0,0.035,8m,1.2,1.0,1.0,464.0,7064.0,0.01,6m,2.4000000000000004,0.6000000000000001,2.0,696.0,4592.0,0.025,9m,2.8,0.0,0.5,824.0,3072.0,0.03,6m,1.8,0.0,2.0,584.0,3264.0,0.045000000000000005,2m,2.6,0.6000000000000001,0.5,440.0,4256.0,0.045000000000000005,7m,2.6,1.0,2.0,256.0,7904.0,0.025,4m,2.2,0.0,2.0,136.0,2824.0,0.045000000000000005,6m,2.4000000000000004,0.0,1.5,136.0,1408.0,0.05,4m,1.2,0.8,1.5,768.0,0.35000000000000003,10,COMPLETE
79,79,0.9896952410399794,2025-06-22 17:37:49.266247,2025-06-22 17:37:58.721958,0 days 00:00:09.455711,5704,0.05,8m,1.0,0.8,2.0,808,6352.0,0.035,8m,1.2,1.0,1.0,448.0,6480.0,0.01,6m,2.6,0.6000000000000001,2.0,696.0,4816.0,0.025,9m,2.8,0.0,0.5,832.0,3136.0,0.03,6m,1.8,0.0,2.0,552.0,3288.0,0.045000000000000005,2m,2.6,0.2,0.5,440.0,4048.0,0.045000000000000005,7m,2.6,1.0,2.0,248.0,7664.0,0.025,4m,2.2,0.0,2.0,184.0,3896.0,0.045000000000000005,6m,2.4000000000000004,0.0,2.0,136.0,1040.0,0.05,4m,1.0,0.8,1.5,784.0,0.35000000000000003,10,COMPLETE
80,80,1.0392104735754841,2025-06-22 17:37:58.743485,2025-06-22 17:38:08.359155,0 days 00:00:09.615670,6096,0.05,8m,1.0,0.8,2.0,720,6080.0,0.03,8m,1.2,1.0,1.0,392.0,7640.0,0.01,5m,2.4000000000000004,0.8,2.0,688.0,4632.0,0.03,9m,2.6,0.0,0.5,944.0,2928.0,0.025,6m,1.8,0.0,2.0,608.0,3840.0,0.05,2m,2.6,0.6000000000000001,0.5,496.0,4296.0,0.04,7m,2.8,1.0,2.0,144.0,6112.0,0.025,4m,2.0,0.2,1.5,128.0,3120.0,0.045000000000000005,6m,2.6,0.2,1.5,200.0,1928.0,0.05,4m,1.2,0.8,1.5,744.0,0.35000000000000003,10,COMPLETE
81,81,1.0226860130500377,2025-06-22 17:38:08.374815,2025-06-22 17:38:17.800970,0 days 00:00:09.426155,5072,0.04,8m,1.2,0.8,2.0,848,7080.0,0.035,8m,1.0,1.0,1.0,464.0,7064.0,0.015,6m,2.4000000000000004,0.6000000000000001,2.0,784.0,3344.0,0.02,9m,2.8,0.0,0.5,792.0,2328.0,0.03,6m,2.0,0.0,2.0,736.0,2960.0,0.045000000000000005,2m,2.6,0.6000000000000001,0.5,432.0,4816.0,0.05,7m,2.6,1.0,1.5,280.0,6728.0,0.03,5m,2.2,0.4,2.0,664.0,2768.0,0.04,6m,2.0,0.0,1.5,184.0,1752.0,0.045000000000000005,4m,1.4,1.0,1.0,864.0,0.4,10,COMPLETE
82,82,1.022023398602066,2025-06-22 17:38:17.824157,2025-06-22 17:38:27.153539,0 days 00:00:09.329382,5752,0.04,8m,1.2,0.8,2.0,816,6592.0,0.04,8m,1.0,0.8,1.0,328.0,7440.0,0.01,6m,2.6,0.6000000000000001,2.0,744.0,4288.0,0.025,9m,2.8,0.0,0.5,792.0,1760.0,0.035,6m,2.0,0.0,1.5,392.0,2896.0,0.045000000000000005,2m,2.8,0.6000000000000001,0.5,616.0,3808.0,0.045000000000000005,9m,2.4000000000000004,1.0,1.5,264.0,3440.0,0.02,4m,1.8,0.0,1.5,320.0,1696.0,0.035,6m,2.2,0.0,1.5,136.0,2944.0,0.045000000000000005,4m,1.0,0.8,1.5,728.0,0.35000000000000003,10,COMPLETE
