,number,value,datetime_start,datetime_complete,duration,params_ABNB_NXPI_beta_win,params_ABNB_NXPI_stop_loss,params_ABNB_NXPI_trade_freq,params_ABNB_NXPI_z_entry,params_ABNB_NXPI_z_exit,params_ABNB_NXPI_z_stop_scaler,params_ABNB_NXPI_z_win,params_AMAT_ORLY_beta_win,params_AMAT_ORLY_stop_loss,params_AMAT_ORLY_trade_freq,params_AMAT_ORLY_z_entry,params_AMAT_ORLY_z_exit,params_AMAT_ORLY_z_stop_scaler,params_AMAT_ORLY_z_win,params_AMZN_DASH_beta_win,params_AMZN_DASH_stop_loss,params_AMZN_DASH_trade_freq,params_AMZN_DASH_z_entry,params_AMZN_DASH_z_exit,params_AMZN_DASH_z_stop_scaler,params_AMZN_DASH_z_win,params_AMZN_KLAC_beta_win,params_AMZN_KLAC_stop_loss,params_AMZN_KLAC_trade_freq,params_AMZN_KLAC_z_entry,params_AMZN_KLAC_z_exit,params_AMZN_KLAC_z_stop_scaler,params_AMZN_KLAC_z_win,params_DASH_LIN_beta_win,params_DASH_LIN_stop_loss,params_DASH_LIN_trade_freq,params_DASH_LIN_z_entry,params_DASH_LIN_z_exit,params_DASH_LIN_z_stop_scaler,params_DASH_LIN_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_NFLX_ORLY_beta_win,params_NFLX_ORLY_stop_loss,params_NFLX_ORLY_trade_freq,params_NFLX_ORLY_z_entry,params_NFLX_ORLY_z_exit,params_NFLX_ORLY_z_stop_scaler,params_NFLX_ORLY_z_win,params_NVDA_ORLY_beta_win,params_NVDA_ORLY_stop_loss,params_NVDA_ORLY_trade_freq,params_NVDA_ORLY_z_entry,params_NVDA_ORLY_z_exit,params_NVDA_ORLY_z_stop_scaler,params_NVDA_ORLY_z_win,params_PYPL_TXN_beta_win,params_PYPL_TXN_stop_loss,params_PYPL_TXN_trade_freq,params_PYPL_TXN_z_entry,params_PYPL_TXN_z_exit,params_PYPL_TXN_z_stop_scaler,params_PYPL_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,1.0021077126734168,2025-06-22 17:22:22.655223,2025-06-22 17:22:23.952647,0 days 00:00:01.297424,,,,,,,,,,,,,,,7840,0.035,7m,3.0,0.0,2.0,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
11,11,1.0021449387417412,2025-06-22 17:22:23.998368,2025-06-22 17:22:25.328774,0 days 00:00:01.330406,,,,,,,,,,,,,,,8128,0.035,7m,3.0,0.0,2.0,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
12,12,0.9919123327078289,2025-06-22 17:22:25.344612,2025-06-22 17:22:28.980203,0 days 00:00:03.635591,4968.0,0.05,5m,2.8,0.4,1.5,408.0,,,,,,,,6864,0.04,7m,2.6,0.0,1.5,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120.0,0.03,5m,1.8,0.2,2.0,448.0,0.5,3,COMPLETE
13,13,1.0,2025-06-22 17:22:29.037637,2025-06-22 17:22:30.493449,0 days 00:00:01.455812,,,,,,,,,,,,,,,3888,0.03,6m,2.4000000000000004,0.4,2.0,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
14,14,1.0027191988558701,2025-06-22 17:22:30.548655,2025-06-22 17:22:36.960100,0 days 00:00:06.411445,3256.0,0.025,2m,3.0,0.4,1.5,408.0,7928.0,0.01,3m,3.0,1.0,0.5,992.0,7864,0.04,4m,3.0,0.2,1.0,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3328.0,0.025,5m,1.8,0.6000000000000001,1.5,1016.0,0.45,4,COMPLETE
15,15,0.9952539903382349,2025-06-22 17:22:37.034165,2025-06-22 17:22:43.700402,0 days 00:00:06.666237,3272.0,0.025,2m,3.0,0.4,1.5,440.0,8120.0,0.01,3m,3.0,1.0,0.5,1016.0,6848,0.045000000000000005,4m,2.0,0.2,0.5,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3096.0,0.025,5m,1.8,0.6000000000000001,1.5,1016.0,0.4,4,COMPLETE
16,16,0.9733497397705991,2025-06-22 17:22:43.745784,2025-06-22 17:22:47.935650,0 days 00:00:04.189866,3456.0,0.02,8m,3.0,0.6000000000000001,1.5,360.0,4456.0,0.01,6m,2.2,1.0,0.5,992.0,4192,0.01,4m,2.6,0.4,1.0,696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3120.0,0.035,9m,1.4,0.6000000000000001,2.0,816.0,0.45,4,COMPLETE
17,17,1.0229005972818221,2025-06-22 17:22:47.956809,2025-06-22 17:22:56.131888,0 days 00:00:08.175079,5880.0,0.025,2m,2.6,0.2,1.0,528.0,8072.0,0.01,3m,3.0,0.8,1.0,864.0,4960,0.03,6m,2.8,0.2,0.5,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5176.0,0.01,2m,1.6,0.0,0.5,1016.0,3032.0,0.025,5m,2.0,0.2,1.5,760.0,0.25,5,COMPLETE
18,18,1.009467340549923,2025-06-22 17:22:56.157301,2025-06-22 17:23:04.036135,0 days 00:00:07.878834,5896.0,0.01,2m,2.6,0.2,0.5,792.0,3648.0,0.015,3m,2.6,0.6000000000000001,1.5,824.0,4984,0.03,6m,1.8,0.6000000000000001,0.5,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5008.0,0.01,2m,1.6,0.0,0.5,1024.0,2064.0,0.02,8m,2.2,0.2,1.0,736.0,0.25,5,COMPLETE
19,19,0.8689907017205727,2025-06-22 17:23:04.064006,2025-06-22 17:23:08.818964,0 days 00:00:04.754958,5600.0,0.02,3m,1.6,0.0,1.0,560.0,,,,,,,,6248,0.025,6m,2.6,0.8,0.5,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1072.0,0.035,3m,1.0,0.2,2.0,448.0,0.25,3,COMPLETE
