,number,value,datetime_start,datetime_complete,duration,params_ABNB_NXPI_beta_win,params_ABNB_NXPI_stop_loss,params_ABNB_NXPI_trade_freq,params_ABNB_NXPI_z_entry,params_ABNB_NXPI_z_exit,params_ABNB_NXPI_z_stop_scaler,params_ABNB_NXPI_z_win,params_AMAT_ORLY_beta_win,params_AMAT_ORLY_stop_loss,params_AMAT_ORLY_trade_freq,params_AMAT_ORLY_z_entry,params_AMAT_ORLY_z_exit,params_AMAT_ORLY_z_stop_scaler,params_AMAT_ORLY_z_win,params_AMZN_DASH_beta_win,params_AMZN_DASH_stop_loss,params_AMZN_DASH_trade_freq,params_AMZN_DASH_z_entry,params_AMZN_DASH_z_exit,params_AMZN_DASH_z_stop_scaler,params_AMZN_DASH_z_win,params_AMZN_KLAC_beta_win,params_AMZN_KLAC_stop_loss,params_AMZN_KLAC_trade_freq,params_AMZN_KLAC_z_entry,params_AMZN_KLAC_z_exit,params_AMZN_KLAC_z_stop_scaler,params_AMZN_KLAC_z_win,params_DASH_LIN_beta_win,params_DASH_LIN_stop_loss,params_DASH_LIN_trade_freq,params_DASH_LIN_z_entry,params_DASH_LIN_z_exit,params_DASH_LIN_z_stop_scaler,params_DASH_LIN_z_win,params_DASH_PCAR_beta_win,params_DASH_PCAR_stop_loss,params_DASH_PCAR_trade_freq,params_DASH_PCAR_z_entry,params_DASH_PCAR_z_exit,params_DASH_PCAR_z_stop_scaler,params_DASH_PCAR_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_NFLX_ORLY_beta_win,params_NFLX_ORLY_stop_loss,params_NFLX_ORLY_trade_freq,params_NFLX_ORLY_z_entry,params_NFLX_ORLY_z_exit,params_NFLX_ORLY_z_stop_scaler,params_NFLX_ORLY_z_win,params_NVDA_ORLY_beta_win,params_NVDA_ORLY_stop_loss,params_NVDA_ORLY_trade_freq,params_NVDA_ORLY_z_entry,params_NVDA_ORLY_z_exit,params_NVDA_ORLY_z_stop_scaler,params_NVDA_ORLY_z_win,params_PYPL_TXN_beta_win,params_PYPL_TXN_stop_loss,params_PYPL_TXN_trade_freq,params_PYPL_TXN_z_entry,params_PYPL_TXN_z_exit,params_PYPL_TXN_z_stop_scaler,params_PYPL_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,0.9788608977142466,2025-06-22 17:24:08.595519,2025-06-22 17:24:17.697424,0 days 00:00:09.101905,2296.0,0.05,5m,2.0,0.6000000000000001,1.0,472.0,4976.0,0.04,9m,1.8,0.0,1.0,472.0,5656,0.035,3m,2.2,0.0,1.5,240,,,,,,,,7928.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,456.0,1296.0,0.015,4m,1.4,0.0,2.0,968.0,,,,,,,,2728.0,0.05,5m,1.8,0.6000000000000001,0.5,352.0,1520.0,0.04,5m,2.6,0.2,1.0,424.0,5000.0,0.015,6m,1.2,0.8,1.5,520.0,0.35000000000000003,8,COMPLETE
31,31,0.9565639369004788,2025-06-22 17:24:17.718381,2025-06-22 17:24:26.872574,0 days 00:00:09.154193,2528.0,0.045000000000000005,5m,2.2,0.6000000000000001,1.0,280.0,7072.0,0.04,9m,2.0,0.4,1.0,384.0,6304,0.025,3m,2.4000000000000004,0.4,1.5,400,,,,,,,,2904.0,0.01,5m,2.4000000000000004,0.6000000000000001,0.5,560.0,3632.0,0.025,4m,1.8,0.4,1.5,608.0,,,,,,,,5152.0,0.045000000000000005,5m,1.0,0.6000000000000001,1.0,336.0,3936.0,0.04,5m,2.0,0.2,1.5,472.0,3656.0,0.03,6m,1.6,0.8,2.0,384.0,0.2,8,COMPLETE
32,32,0.9898555887632688,2025-06-22 17:24:26.898344,2025-06-22 17:24:30.282684,0 days 00:00:03.384340,,,,,,,,,,,,,,,3848,0.02,3m,2.6,0.4,1.5,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0,0.035,3m,1.6,0.6000000000000001,2.0,632.0,0.35000000000000003,2,COMPLETE
33,33,0.9967392775231583,2025-06-22 17:24:30.333980,2025-06-22 17:24:37.338426,0 days 00:00:07.004446,6760.0,0.04,3m,2.4000000000000004,0.4,1.0,224.0,2840.0,0.035,8m,1.8,0.0,1.5,200.0,6160,0.025,3m,1.6,0.6000000000000001,1.5,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2448.0,0.035,7m,2.2,1.0,0.5,256.0,1168.0,0.025,8m,2.0,0.4,1.0,128.0,3840.0,0.03,6m,1.8,0.4,2.0,888.0,0.45,6,COMPLETE
34,34,1.05845068230645,2025-06-22 17:24:37.374428,2025-06-22 17:24:50.136374,0 days 00:00:12.761946,4424.0,0.035,5m,1.8,1.0,1.5,352.0,4800.0,0.045000000000000005,2m,1.6,0.2,0.5,600.0,5368,0.02,2m,2.2,1.0,0.5,552,,,,,,,,8136.0,0.035,8m,2.4000000000000004,1.0,1.5,208.0,3704.0,0.025,3m,2.0,0.0,1.5,688.0,2168.0,0.01,2m,2.6,1.0,0.5,1016.0,2280.0,0.02,6m,2.4000000000000004,0.8,1.0,480.0,2256.0,0.04,9m,3.0,0.2,1.5,816.0,2712.0,0.025,5m,1.4,0.4,2.0,512.0,0.25,9,COMPLETE
35,35,0.9692755934208779,2025-06-22 17:24:50.193278,2025-06-22 17:25:02.994156,0 days 00:00:12.800878,4120.0,0.035,5m,1.8,1.0,1.5,344.0,5336.0,0.045000000000000005,2m,1.6,0.2,0.5,624.0,5344,0.015,2m,2.0,1.0,1.0,216,,,,,,,,8128.0,0.035,8m,2.4000000000000004,0.8,1.5,144.0,3904.0,0.025,3m,2.0,0.0,1.5,672.0,2096.0,0.01,2m,2.6,1.0,0.5,1000.0,2264.0,0.02,6m,2.4000000000000004,0.8,1.0,496.0,2288.0,0.04,9m,3.0,0.2,1.5,824.0,2720.0,0.025,5m,1.2,0.4,2.0,528.0,0.25,9,COMPLETE
36,36,0.9860265486705402,2025-06-22 17:25:03.072779,2025-06-22 17:25:14.482572,0 days 00:00:11.409793,2440.0,0.045000000000000005,5m,1.8,1.0,1.5,488.0,4496.0,0.045000000000000005,2m,1.6,0.0,0.5,504.0,6936,0.02,2m,2.2,1.0,0.5,632,,,,,,,,6672.0,0.03,6m,2.6,1.0,1.5,304.0,2880.0,0.02,9m,1.6,0.0,2.0,784.0,3464.0,0.025,5m,2.2,0.6000000000000001,0.5,992.0,3928.0,0.015,6m,1.8,0.6000000000000001,0.5,464.0,2104.0,0.035,9m,2.6,0.0,1.5,872.0,1728.0,0.02,5m,1.4,0.6000000000000001,1.5,376.0,0.3,9,COMPLETE
37,37,0.9599055761346945,2025-06-22 17:25:14.528768,2025-06-22 17:25:26.009402,0 days 00:00:11.480634,4464.0,0.035,5m,1.6,0.8,1.5,632.0,6336.0,0.04,2m,1.4,0.2,1.0,384.0,4440,0.015,2m,1.6,0.8,1.5,488,,,,,,,,8104.0,0.05,8m,1.8,0.4,1.5,496.0,5456.0,0.03,8m,2.4000000000000004,0.4,1.5,424.0,,,,,,,,3024.0,0.03,3m,2.6,0.8,1.0,264.0,4144.0,0.045000000000000005,3m,2.8,0.2,1.0,816.0,4624.0,0.025,3m,1.8,0.8,2.0,504.0,0.15000000000000002,8,COMPLETE
38,38,0.9880285120464634,2025-06-22 17:25:26.040401,2025-06-22 17:25:38.921218,0 days 00:00:12.880817,2856.0,0.045000000000000005,5m,1.6,1.0,2.0,360.0,4968.0,0.03,9m,2.0,0.0,1.0,752.0,5808,0.02,2m,2.0,1.0,2.0,736,1192.0,0.05,4m,3.0,0.4,0.5,992.0,5792.0,0.03,8m,2.6,1.0,1.0,688.0,2512.0,0.01,3m,1.2,0.2,1.0,440.0,3968.0,0.025,2m,2.0,0.6000000000000001,1.0,656.0,1792.0,0.03,8m,2.0,1.0,0.5,736.0,2352.0,0.035,4m,2.8,0.4,1.5,488.0,2528.0,0.04,6m,1.4,1.0,1.5,328.0,0.25,10,COMPLETE
39,39,0.9645290435159186,2025-06-22 17:25:38.971729,2025-06-22 17:25:49.628014,0 days 00:00:10.656285,1080.0,0.03,4m,2.0,0.8,1.5,248.0,7640.0,0.05,2m,2.2,0.4,0.5,600.0,5120,0.03,9m,2.0,1.0,1.0,344,,,,,,,,7280.0,0.04,5m,2.0,0.6000000000000001,2.0,408.0,5072.0,0.035,6m,2.2,0.8,2.0,992.0,,,,,,,,4448.0,0.02,4m,1.4,0.4,1.0,600.0,1144.0,0.045000000000000005,7m,1.8,0.0,0.5,928.0,4392.0,0.03,2m,2.6,0.4,2.0,584.0,0.3,8,COMPLETE
40,40,0.988519195606204,2025-06-22 17:25:49.662741,2025-06-22 17:26:00.462210,0 days 00:00:10.799469,6424.0,0.04,5m,1.0,0.6000000000000001,2.0,320.0,2936.0,0.045000000000000005,9m,1.4,0.2,1.0,896.0,4512,0.02,8m,1.0,0.8,0.5,576,,,,,,,,5712.0,0.015,4m,2.2,0.8,0.5,208.0,2464.0,0.02,3m,1.6,0.2,1.5,784.0,2792.0,0.01,7m,3.0,1.0,0.5,832.0,3248.0,0.045000000000000005,2m,2.4000000000000004,0.6000000000000001,1.5,248.0,5608.0,0.025,5m,2.4000000000000004,0.2,1.0,752.0,3512.0,0.01,5m,2.0,0.6000000000000001,1.5,232.0,0.35000000000000003,9,COMPLETE
41,41,1.0212066959084203,2025-06-22 17:26:00.511933,2025-06-22 17:26:08.495236,0 days 00:00:07.983303,8080.0,0.025,3m,2.4000000000000004,0.0,1.0,200.0,6520.0,0.04,4m,2.4000000000000004,0.0,0.5,288.0,2640,0.025,6m,2.4000000000000004,0.4,0.5,520,,,,,,,,3872.0,0.035,6m,2.8,0.4,1.0,248.0,,,,,,,,,,,,,,,5664.0,0.015,5m,1.8,0.8,0.5,840.0,3784.0,0.045000000000000005,9m,3.0,0.6000000000000001,1.5,312.0,2840.0,0.03,5m,1.6,0.2,2.0,576.0,0.2,7,COMPLETE
42,42,0.9908853628977626,2025-06-22 17:26:08.554103,2025-06-22 17:26:17.118598,0 days 00:00:08.564495,8080.0,0.025,3m,2.4000000000000004,0.0,1.0,176.0,6600.0,0.04,4m,2.8,0.0,0.5,288.0,3112,0.025,5m,2.4000000000000004,0.4,0.5,416,,,,,,,,3392.0,0.035,6m,2.8,0.4,1.0,256.0,,,,,,,,,,,,,,,5816.0,0.015,5m,1.8,0.8,0.5,864.0,3600.0,0.045000000000000005,9m,3.0,0.6000000000000001,1.5,312.0,2296.0,0.03,5m,1.6,0.2,2.0,488.0,0.2,7,COMPLETE
43,43,0.9702721801756448,2025-06-22 17:26:17.180792,2025-06-22 17:26:24.142611,0 days 00:00:06.961819,7208.0,0.03,9m,2.2,0.0,1.0,136.0,7448.0,0.035,7m,2.4000000000000004,0.0,0.5,512.0,3576,0.02,6m,2.2,0.6000000000000001,0.5,136,,,,,,,,4336.0,0.035,6m,2.8,0.2,1.5,392.0,,,,,,,,,,,,,,,6144.0,0.015,5m,1.4,0.8,0.5,552.0,4280.0,0.04,9m,2.6,0.8,1.5,552.0,2760.0,0.025,5m,1.4,0.4,2.0,576.0,0.15000000000000002,7,COMPLETE
44,44,0.9983219625599958,2025-06-22 17:26:24.182743,2025-06-22 17:26:37.181832,0 days 00:00:12.999089,7488.0,0.035,3m,2.2,0.0,1.0,232.0,5728.0,0.04,4m,2.8,0.2,0.5,352.0,2536,0.03,2m,2.8,0.2,0.5,552,1160.0,0.01,3m,2.6,1.0,0.5,880.0,1872.0,0.025,6m,2.2,0.0,0.5,232.0,4200.0,0.02,4m,2.0,0.0,2.0,752.0,5264.0,0.035,4m,2.0,0.2,1.5,312.0,4696.0,0.025,6m,2.0,0.6000000000000001,1.0,424.0,2816.0,0.045000000000000005,9m,3.0,0.4,1.5,336.0,1880.0,0.035,4m,1.2,0.2,2.0,440.0,0.1,10,COMPLETE
45,45,0.9722701183479714,2025-06-22 17:26:37.246875,2025-06-22 17:26:45.402744,0 days 00:00:08.155869,8136.0,0.025,7m,2.4000000000000004,0.2,1.0,392.0,7304.0,0.045000000000000005,8m,2.4000000000000004,0.0,1.0,200.0,1760,0.035,3m,2.4000000000000004,0.6000000000000001,1.5,496,,,,,,,,4480.0,0.045000000000000005,9m,2.6,0.6000000000000001,1.0,536.0,7104.0,0.04,7m,1.0,0.6000000000000001,1.0,448.0,,,,,,,,4560.0,0.01,5m,1.6,1.0,0.5,912.0,1912.0,0.035,9m,2.8,0.6000000000000001,1.0,232.0,3248.0,0.02,7m,1.6,0.4,2.0,568.0,0.2,8,COMPLETE
46,46,0.9501938095238404,2025-06-22 17:26:45.461322,2025-06-22 17:26:54.116808,0 days 00:00:08.655486,6448.0,0.03,6m,2.0,0.0,1.0,288.0,4184.0,0.03,4m,1.2,0.4,0.5,448.0,1336,0.02,8m,1.4,0.4,1.0,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1808.0,0.02,5m,2.4000000000000004,0.8,1.0,768.0,2584.0,0.04,2m,3.0,0.8,1.5,544.0,5080.0,0.03,2m,1.8,0.2,2.0,416.0,0.25,6,COMPLETE
47,47,0.9180361086543368,2025-06-22 17:26:54.153801,2025-06-22 17:27:05.082524,0 days 00:00:10.928723,3752.0,0.035,8m,2.2,1.0,0.5,208.0,5112.0,0.035,5m,1.8,0.2,1.0,208.0,2768,0.015,6m,2.2,0.2,0.5,608,,,,,,,,7424.0,0.025,2m,2.8,0.4,1.5,216.0,,,,,,,,,,,,,,,2064.0,0.015,6m,1.6,0.6000000000000001,0.5,672.0,1728.0,0.045000000000000005,6m,1.2,0.0,0.5,240.0,1376.0,0.015,6m,1.4,0.4,1.5,552.0,0.4,7,COMPLETE
48,48,0.9220545702353741,2025-06-22 17:27:05.162876,2025-06-22 17:27:16.978224,0 days 00:00:11.815348,6888.0,0.05,3m,2.4000000000000004,0.2,1.0,632.0,6208.0,0.025,7m,1.0,0.0,1.5,128.0,6008,0.025,7m,2.0,1.0,1.5,352,,,,,,,,2536.0,0.035,5m,2.2,0.2,0.5,392.0,3136.0,0.015,2m,1.4,0.2,1.5,888.0,7584.0,0.02,6m,2.4000000000000004,0.8,1.0,816.0,3264.0,0.025,5m,2.0,1.0,0.5,328.0,5456.0,0.025,5m,2.4000000000000004,1.0,0.5,944.0,4128.0,0.04,5m,2.4000000000000004,1.0,0.5,664.0,0.35000000000000003,9,COMPLETE
49,49,0.9095684853260584,2025-06-22 17:27:17.026577,2025-06-22 17:27:24.543412,0 days 00:00:07.516835,5224.0,0.015,9m,1.8,0.8,1.5,472.0,6720.0,0.05,5m,1.6,0.2,1.0,728.0,5464,0.03,9m,2.4000000000000004,0.8,2.0,680,,,,,,,,5128.0,0.045000000000000005,8m,1.8,0.8,1.0,600.0,1992.0,0.025,6m,2.6,0.4,0.5,544.0,,,,,,,,5208.0,0.035,8m,1.2,0.4,1.0,200.0,4488.0,0.05,6m,1.4,0.4,1.0,416.0,2848.0,0.02,9m,1.0,0.8,2.0,608.0,0.3,8,COMPLETE
50,50,1.0155677561086818,2025-06-22 17:27:24.626948,2025-06-22 17:27:37.726993,0 days 00:00:13.100045,4504.0,0.02,4m,1.4,0.4,1.0,184.0,5440.0,0.02,9m,2.2,0.4,0.5,656.0,6592,0.04,6m,3.0,0.2,0.5,920,4528.0,0.025,5m,2.2,0.0,2.0,160.0,3912.0,0.03,5m,2.4000000000000004,1.0,1.5,152.0,6360.0,0.03,5m,1.8,0.0,2.0,1024.0,1656.0,0.045000000000000005,2m,1.6,0.8,2.0,456.0,6440.0,0.04,2m,2.6,0.2,1.5,952.0,3560.0,0.035,9m,2.8,0.2,1.5,160.0,2376.0,0.025,4m,1.8,0.2,2.0,936.0,0.15000000000000002,10,COMPLETE
51,51,1.0042101063279805,2025-06-22 17:27:37.780046,2025-06-22 17:27:50.508816,0 days 00:00:12.728770,4584.0,0.02,4m,1.4,0.4,1.0,168.0,5416.0,0.02,9m,2.2,0.4,0.5,928.0,6832,0.04,6m,3.0,0.2,0.5,904,4224.0,0.025,5m,2.2,0.0,2.0,136.0,3784.0,0.03,5m,2.4000000000000004,1.0,1.5,128.0,6432.0,0.03,5m,1.8,0.0,2.0,1008.0,1936.0,0.05,2m,1.6,0.8,2.0,400.0,6456.0,0.045000000000000005,2m,2.6,0.2,1.5,1024.0,3376.0,0.035,9m,2.8,0.2,1.5,176.0,2400.0,0.025,4m,1.8,0.2,2.0,944.0,0.15000000000000002,10,COMPLETE
52,52,0.9579144004805115,2025-06-22 17:27:50.566895,2025-06-22 17:28:03.131455,0 days 00:00:12.564560,4936.0,0.025,4m,1.2,0.2,1.0,264.0,4672.0,0.02,9m,2.0,0.6000000000000001,0.5,656.0,6656,0.05,6m,2.8,0.0,0.5,824,4392.0,0.03,5m,2.0,0.4,1.5,136.0,4088.0,0.015,5m,2.2,1.0,1.5,272.0,4600.0,0.035,5m,1.8,0.2,2.0,920.0,1272.0,0.04,2m,1.6,0.8,1.5,464.0,6680.0,0.04,2m,2.6,0.2,1.5,912.0,3624.0,0.04,9m,2.6,0.4,1.5,272.0,2088.0,0.03,4m,1.6,0.0,2.0,840.0,0.05,10,COMPLETE
53,53,1.0204401544346522,2025-06-22 17:28:03.160971,2025-06-22 17:28:15.136948,0 days 00:00:11.975977,2856.0,0.015,4m,1.4,0.4,1.0,192.0,5920.0,0.035,9m,2.4000000000000004,0.4,0.5,544.0,7512,0.045000000000000005,6m,3.0,0.2,0.5,528,,,,,,,,2488.0,0.04,5m,2.6,1.0,1.5,184.0,7120.0,0.015,9m,1.4,0.0,1.5,880.0,2904.0,0.035,2m,2.6,0.8,2.0,312.0,5960.0,0.05,2m,2.8,0.4,1.5,944.0,3848.0,0.03,9m,2.8,0.2,2.0,152.0,1408.0,0.025,4m,2.2,0.2,2.0,952.0,0.1,9,COMPLETE
54,54,0.8876648282296024,2025-06-22 17:28:15.152827,2025-06-22 17:28:27.726722,0 days 00:00:12.573895,3712.0,0.015,4m,1.4,0.4,1.5,184.0,5936.0,0.03,2m,2.4000000000000004,0.4,0.5,560.0,7344,0.045000000000000005,6m,3.0,0.2,0.5,960,,,,,,,,2840.0,0.04,6m,2.6,1.0,2.0,184.0,7632.0,0.035,9m,2.2,0.2,1.5,800.0,2776.0,0.04,2m,2.6,0.8,2.0,240.0,6848.0,0.045000000000000005,2m,3.0,0.2,2.0,968.0,3840.0,0.03,9m,1.0,0.4,2.0,128.0,1176.0,0.025,4m,2.2,0.2,2.0,944.0,0.1,9,COMPLETE
55,55,0.9041461619894181,2025-06-22 17:28:27.771435,2025-06-22 17:28:41.918330,0 days 00:00:14.146895,2832.0,0.02,4m,1.0,0.4,1.0,328.0,6448.0,0.035,6m,2.6,0.6000000000000001,0.5,688.0,8152,0.045000000000000005,6m,3.0,0.2,0.5,784,6120.0,0.02,2m,1.0,0.2,1.0,704.0,2160.0,0.045000000000000005,3m,2.8,0.8,1.5,184.0,6784.0,0.025,9m,1.6,0.0,1.0,688.0,2712.0,0.03,2m,2.6,1.0,2.0,376.0,5928.0,0.035,2m,2.8,0.4,1.5,944.0,3024.0,0.035,9m,2.8,0.6000000000000001,2.0,200.0,1392.0,0.02,4m,2.2,0.2,1.5,968.0,0.1,10,COMPLETE
56,56,0.9496154251871011,2025-06-22 17:28:41.960584,2025-06-22 17:28:53.229067,0 days 00:00:11.268483,4360.0,0.015,4m,1.2,0.2,0.5,144.0,6032.0,0.015,3m,2.4000000000000004,0.4,0.5,768.0,7544,0.045000000000000005,6m,2.6,0.0,0.5,528,,,,,,,,3176.0,0.035,8m,3.0,1.0,1.5,288.0,5640.0,0.045000000000000005,8m,2.2,0.0,1.5,856.0,3696.0,0.045000000000000005,2m,1.8,0.6000000000000001,1.5,528.0,7776.0,0.04,9m,2.8,0.0,1.5,848.0,4560.0,0.015,9m,2.2,0.0,2.0,176.0,1960.0,0.025,4m,2.4000000000000004,0.0,2.0,856.0,0.1,9,COMPLETE
57,57,0.9968213710541726,2025-06-22 17:28:53.295774,2025-06-22 17:29:05.279046,0 days 00:00:11.983272,5280.0,0.015,7m,1.4,0.4,1.5,208.0,8192.0,0.025,4m,3.0,0.4,0.5,584.0,7256,0.04,4m,2.8,0.2,0.5,1016,2568.0,0.04,8m,2.2,0.6000000000000001,2.0,560.0,3856.0,0.03,2m,2.6,1.0,1.5,352.0,7528.0,0.03,9m,1.8,0.2,1.5,1016.0,2096.0,0.035,9m,2.8,0.8,2.0,256.0,6312.0,0.05,2m,2.6,0.2,2.0,784.0,3280.0,0.015,7m,1.8,0.6000000000000001,2.0,288.0,6744.0,0.045000000000000005,7m,2.0,0.2,2.0,984.0,0.15000000000000002,10,COMPLETE
58,58,0.9973477120427836,2025-06-22 17:29:05.314099,2025-06-22 17:29:12.156260,0 days 00:00:06.842161,6184.0,0.025,2m,1.6,0.2,1.0,1024.0,5568.0,0.01,9m,2.2,0.6000000000000001,0.5,520.0,6552,0.035,6m,3.0,0.2,0.5,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6120.0,0.03,4m,3.0,0.2,2.0,720.0,1800.0,0.015,5m,2.0,0.4,1.5,744.0,0.2,5,COMPLETE
59,59,0.9764043737506838,2025-06-22 17:29:12.197526,2025-06-22 17:29:23.305858,0 days 00:00:11.108332,3832.0,0.02,4m,1.4,0.4,0.5,384.0,4088.0,0.02,3m,2.8,0.2,0.5,640.0,7680,0.05,6m,2.6,0.0,0.5,608,,,,,,,,1832.0,0.04,7m,2.8,0.8,2.0,168.0,6104.0,0.02,3m,1.2,1.0,1.0,712.0,1328.0,0.03,8m,1.2,0.4,1.5,768.0,7200.0,0.03,6m,2.4000000000000004,0.4,1.5,904.0,5096.0,0.02,3m,2.8,0.0,1.5,960.0,1024.0,0.02,4m,2.6,0.0,2.0,904.0,0.15000000000000002,9,COMPLETE
60,60,1.0099231634986596,2025-06-22 17:29:23.339818,2025-06-22 17:29:28.065004,0 days 00:00:04.725186,5712.0,0.03,6m,1.2,0.2,1.0,312.0,7672.0,0.035,8m,2.6,1.0,0.5,696.0,4736,0.04,6m,2.8,0.4,0.5,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2528.0,0.035,3m,1.8,0.2,2.0,1024.0,0.2,4,COMPLETE
61,61,0.9798350483910188,2025-06-22 17:29:28.099079,2025-06-22 17:29:39.958571,0 days 00:00:11.859492,2944.0,0.02,5m,2.6,0.6000000000000001,1.0,232.0,4832.0,0.04,9m,2.0,0.2,1.0,480.0,5400,0.025,5m,3.0,0.4,0.5,464,,,,,,,,6296.0,0.035,5m,2.0,0.8,1.0,688.0,5024.0,0.015,4m,1.4,0.0,2.0,952.0,,,,,,,,5520.0,0.05,9m,3.0,0.4,1.5,552.0,2592.0,0.045000000000000005,9m,2.6,0.2,1.0,384.0,3232.0,0.03,5m,1.6,0.2,2.0,472.0,0.25,8,COMPLETE
62,62,1.0103605811302936,2025-06-22 17:29:40.016510,2025-06-22 17:29:41.574361,0 days 00:00:01.557851,,,,,,,,,,,,,,,5848,0.025,6m,3.0,0.4,0.5,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
63,63,0.9348885339494168,2025-06-22 17:29:41.634453,2025-06-22 17:29:52.222231,0 days 00:00:10.587778,1880.0,0.025,2m,2.8,0.6000000000000001,1.0,264.0,5272.0,0.045000000000000005,9m,1.6,0.4,1.0,400.0,2456,0.02,7m,1.2,0.2,1.0,384,,,,,,,,7544.0,0.015,5m,2.4000000000000004,0.6000000000000001,1.5,840.0,,,,,,,,,,,,,,,7072.0,0.05,2m,1.8,0.0,1.5,992.0,1520.0,0.04,2m,2.8,0.2,1.5,240.0,3792.0,0.025,4m,1.4,0.4,2.0,792.0,0.1,7,COMPLETE
64,64,0.9511812543713286,2025-06-22 17:29:52.281894,2025-06-22 17:30:02.162023,0 days 00:00:09.880129,1640.0,0.025,3m,2.4000000000000004,0.4,1.0,184.0,4328.0,0.04,9m,1.8,0.8,2.0,264.0,5264,0.045000000000000005,3m,2.2,0.4,1.5,528,,,,,,,,5256.0,0.04,5m,2.4000000000000004,1.0,1.5,256.0,6920.0,0.01,5m,1.2,0.0,2.0,896.0,,,,,,,,3928.0,0.045000000000000005,3m,2.2,0.8,2.0,656.0,4128.0,0.05,5m,3.0,0.4,0.5,192.0,3008.0,0.03,6m,2.0,0.2,2.0,696.0,0.2,8,COMPLETE
65,65,1.0165644650936574,2025-06-22 17:30:02.200359,2025-06-22 17:30:15.015706,0 days 00:00:12.815347,4752.0,0.01,4m,1.6,0.8,1.0,440.0,3840.0,0.04,9m,2.4000000000000004,0.2,0.5,608.0,6512,0.03,2m,2.6,0.2,0.5,488,,,,,,,,4728.0,0.02,3m,1.0,0.4,1.0,1000.0,3384.0,0.015,3m,1.6,0.0,1.5,832.0,4536.0,0.045000000000000005,3m,2.4000000000000004,1.0,2.0,440.0,5688.0,0.05,4m,2.8,0.6000000000000001,1.5,848.0,4832.0,0.01,8m,2.4000000000000004,0.2,1.5,512.0,2152.0,0.025,9m,2.2,0.4,2.0,912.0,0.15000000000000002,9,COMPLETE
66,66,0.9860116581296682,2025-06-22 17:30:15.048592,2025-06-22 17:30:27.708527,0 days 00:00:12.659935,4880.0,0.01,4m,1.8,0.8,1.0,440.0,3832.0,0.015,3m,2.4000000000000004,0.4,0.5,824.0,7264,0.03,2m,2.6,0.2,0.5,488,,,,,,,,4848.0,0.02,3m,1.0,0.4,1.0,960.0,3456.0,0.02,3m,2.0,0.2,1.5,832.0,4616.0,0.045000000000000005,3m,2.4000000000000004,1.0,2.0,408.0,5040.0,0.025,4m,2.8,0.4,1.5,840.0,5280.0,0.01,8m,2.4000000000000004,0.0,1.5,504.0,1448.0,0.025,9m,2.2,0.4,2.0,912.0,0.15000000000000002,9,COMPLETE
67,67,1.0021662132350098,2025-06-22 17:30:27.767512,2025-06-22 17:30:40.615969,0 days 00:00:12.848457,4776.0,0.01,4m,1.6,1.0,1.5,432.0,7128.0,0.035,4m,2.2,0.6000000000000001,0.5,600.0,2944,0.035,2m,2.8,0.0,0.5,584,7328.0,0.035,6m,1.6,0.6000000000000001,1.0,312.0,3512.0,0.025,3m,1.6,0.2,1.0,1024.0,4360.0,0.01,7m,1.6,0.6000000000000001,1.5,616.0,3216.0,0.045000000000000005,3m,2.4000000000000004,1.0,2.0,496.0,5704.0,0.04,4m,2.8,0.8,1.5,752.0,4664.0,0.01,8m,2.4000000000000004,0.2,1.5,624.0,2256.0,0.025,9m,2.2,0.4,2.0,864.0,0.2,10,COMPLETE
68,68,0.9896947114470203,2025-06-22 17:30:40.661354,2025-06-22 17:30:44.073093,0 days 00:00:03.411739,,,,,,,,,,,,,,,3880,0.035,2m,2.6,0.2,0.5,664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2136.0,0.02,9m,1.8,0.2,1.5,968.0,0.05,2,COMPLETE
69,69,0.9977542412584618,2025-06-22 17:30:44.104837,2025-06-22 17:30:51.905233,0 days 00:00:07.800396,3472.0,0.01,4m,1.6,0.8,1.0,512.0,2560.0,0.01,6m,2.6,0.2,0.5,944.0,6480,0.03,4m,2.6,0.2,0.5,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7584.0,0.045000000000000005,4m,3.0,0.6000000000000001,2.0,888.0,5920.0,0.015,8m,2.2,0.0,2.0,672.0,1656.0,0.025,3m,2.2,0.6000000000000001,2.0,824.0,0.15000000000000002,6,COMPLETE
