,number,value,datetime_start,datetime_complete,duration,params_ADSK_SIRI_beta_win,params_ADSK_SIRI_stop_loss,params_ADSK_SIRI_trade_freq,params_ADSK_SIRI_z_entry,params_ADSK_SIRI_z_exit,params_ADSK_SIRI_z_stop_scaler,params_ADSK_SIRI_z_win,params_CRWD_EXC_beta_win,params_CRWD_EXC_stop_loss,params_CRWD_EXC_trade_freq,params_CRWD_EXC_z_entry,params_CRWD_EXC_z_exit,params_CRWD_EXC_z_stop_scaler,params_CRWD_EXC_z_win,params_CTSH_MAR_beta_win,params_CTSH_MAR_stop_loss,params_CTSH_MAR_trade_freq,params_CTSH_MAR_z_entry,params_CTSH_MAR_z_exit,params_CTSH_MAR_z_stop_scaler,params_CTSH_MAR_z_win,params_DASH_ROP_beta_win,params_DASH_ROP_stop_loss,params_DASH_ROP_trade_freq,params_DASH_ROP_z_entry,params_DASH_ROP_z_exit,params_DASH_ROP_z_stop_scaler,params_DASH_ROP_z_win,params_DASH_SIRI_beta_win,params_DASH_SIRI_stop_loss,params_DASH_SIRI_trade_freq,params_DASH_SIRI_z_entry,params_DASH_SIRI_z_exit,params_DASH_SIRI_z_stop_scaler,params_DASH_SIRI_z_win,params_DDOG_SIRI_beta_win,params_DDOG_SIRI_stop_loss,params_DDOG_SIRI_trade_freq,params_DDOG_SIRI_z_entry,params_DDOG_SIRI_z_exit,params_DDOG_SIRI_z_stop_scaler,params_DDOG_SIRI_z_win,params_INTC_CTAS_beta_win,params_INTC_CTAS_stop_loss,params_INTC_CTAS_trade_freq,params_INTC_CTAS_z_entry,params_INTC_CTAS_z_exit,params_INTC_CTAS_z_stop_scaler,params_INTC_CTAS_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_MU_EXC_beta_win,params_MU_EXC_stop_loss,params_MU_EXC_trade_freq,params_MU_EXC_z_entry,params_MU_EXC_z_exit,params_MU_EXC_z_stop_scaler,params_MU_EXC_z_win,params_NFLX_SIRI_beta_win,params_NFLX_SIRI_stop_loss,params_NFLX_SIRI_trade_freq,params_NFLX_SIRI_z_entry,params_NFLX_SIRI_z_exit,params_NFLX_SIRI_z_stop_scaler,params_NFLX_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,0.9993817016603672,2025-06-22 17:21:41.669234,2025-06-22 17:21:45.866973,0 days 00:00:04.197739,,,,,,,,5000.0,0.05,7m,1.0,0.4,1.5,400.0,7840,0.05,7m,3.0,0.0,2.0,688,,,,,,,,7464.0,0.01,9m,2.0,0.0,0.5,968.0,,,,,,,,1416.0,0.04,4m,1.8,0.8,2.0,448.0,,,,,,,,,,,,,,,,,,,,,,0.5,4,COMPLETE
11,11,0.9983936158054558,2025-06-22 17:21:45.892229,2025-06-22 17:21:50.063020,0 days 00:00:04.170791,,,,,,,,5096.0,0.05,7m,1.0,0.0,1.5,424.0,7816,0.05,7m,3.0,0.0,2.0,688,,,,,,,,8000.0,0.01,9m,2.0,0.0,0.5,1024.0,,,,,,,,1232.0,0.04,4m,1.8,0.8,2.0,440.0,,,,,,,,,,,,,,,,,,,,,,0.5,4,COMPLETE
12,12,1.0,2025-06-22 17:21:50.108834,2025-06-22 17:21:51.518444,0 days 00:00:01.409610,,,,,,,,,,,,,,,8152,0.04,7m,3.0,0.0,2.0,576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
13,13,1.0,2025-06-22 17:21:51.546316,2025-06-22 17:21:52.972333,0 days 00:00:01.426017,,,,,,,,,,,,,,,8088,0.04,7m,2.4000000000000004,0.0,2.0,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
14,14,1.0,2025-06-22 17:21:52.996838,2025-06-22 17:21:54.304919,0 days 00:00:01.308081,,,,,,,,,,,,,,,6848,0.04,7m,2.4000000000000004,0.0,1.5,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
15,15,0.9887460003513094,2025-06-22 17:21:54.339290,2025-06-22 17:21:56.097415,0 days 00:00:01.758125,,,,,,,,,,,,,,,6784,0.04,4m,1.8,0.2,2.0,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,1,COMPLETE
16,16,0.9793521566379091,2025-06-22 17:21:56.124571,2025-06-22 17:21:58.244607,0 days 00:00:02.120036,,,,,,,,,,,,,,,8168,0.04,7m,2.6,0.2,1.5,384,,,,,,,,,,,,,,,,,,,,,,6520.0,0.025,8m,1.0,0.6000000000000001,1.0,136.0,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
17,17,0.9954742225591307,2025-06-22 17:21:58.283609,2025-06-22 17:21:59.548136,0 days 00:00:01.264527,,,,,,,,,,,,,,,6840,0.035,7m,2.4000000000000004,0.0,2.0,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
18,18,0.9800975415938833,2025-06-22 17:21:59.571795,2025-06-22 17:22:04.690339,0 days 00:00:05.118544,,,,,,,,2744.0,0.04,2m,1.6,0.6000000000000001,1.5,792.0,6136,0.045000000000000005,4m,1.8,0.4,2.0,280,,,,,,,,,,,,,,,,,,,,,,3368.0,0.01,3m,2.4000000000000004,0.2,1.5,1024.0,,,,,,,,,,,,,,,,,,,,,,0.45,3,COMPLETE
19,19,0.9968525934094986,2025-06-22 17:22:04.715200,2025-06-22 17:22:11.465581,0 days 00:00:06.750381,,,,,,,,6144.0,0.025,8m,3.0,1.0,0.5,520.0,4616,0.03,5m,2.8,0.0,1.5,480,,,,,,,,3704.0,0.04,3m,3.0,1.0,1.5,840.0,,,,,,,,5808.0,0.02,9m,2.2,0.6000000000000001,1.0,832.0,5648.0,0.01,2m,1.6,0.0,0.5,1000.0,,,,,,,,,,,,,,,0.4,5,COMPLETE
20,20,0.9760243699438976,2025-06-22 17:22:11.490133,2025-06-22 17:22:14.111087,0 days 00:00:02.620954,,,,,,,,,,,,,,,7448,0.035,9m,2.2,0.2,2.0,648,,,,,,,,,,,,,,,,,,,,,,6944.0,0.035,3m,1.2,0.2,1.5,456.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
21,21,0.999403542208908,2025-06-22 17:22:14.126826,2025-06-22 17:22:15.634466,0 days 00:00:01.507640,,,,,,,,,,,,,,,6968,0.04,7m,2.4000000000000004,0.0,1.5,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,1,COMPLETE
22,22,1.0,2025-06-22 17:22:15.691117,2025-06-22 17:22:17.063150,0 days 00:00:01.372033,,,,,,,,,,,,,,,7192,0.045000000000000005,7m,2.6,0.0,1.5,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
