,number,value,datetime_start,datetime_complete,duration,params_ADSK_SIRI_beta_win,params_ADSK_SIRI_stop_loss,params_ADSK_SIRI_trade_freq,params_ADSK_SIRI_z_entry,params_ADSK_SIRI_z_exit,params_ADSK_SIRI_z_stop_scaler,params_ADSK_SIRI_z_win,params_CRWD_EXC_beta_win,params_CRWD_EXC_stop_loss,params_CRWD_EXC_trade_freq,params_CRWD_EXC_z_entry,params_CRWD_EXC_z_exit,params_CRWD_EXC_z_stop_scaler,params_CRWD_EXC_z_win,params_CTSH_MAR_beta_win,params_CTSH_MAR_stop_loss,params_CTSH_MAR_trade_freq,params_CTSH_MAR_z_entry,params_CTSH_MAR_z_exit,params_CTSH_MAR_z_stop_scaler,params_CTSH_MAR_z_win,params_DASH_ROP_beta_win,params_DASH_ROP_stop_loss,params_DASH_ROP_trade_freq,params_DASH_ROP_z_entry,params_DASH_ROP_z_exit,params_DASH_ROP_z_stop_scaler,params_DASH_ROP_z_win,params_DASH_SIRI_beta_win,params_DASH_SIRI_stop_loss,params_DASH_SIRI_trade_freq,params_DASH_SIRI_z_entry,params_DASH_SIRI_z_exit,params_DASH_SIRI_z_stop_scaler,params_DASH_SIRI_z_win,params_DDOG_SIRI_beta_win,params_DDOG_SIRI_stop_loss,params_DDOG_SIRI_trade_freq,params_DDOG_SIRI_z_entry,params_DDOG_SIRI_z_exit,params_DDOG_SIRI_z_stop_scaler,params_DDOG_SIRI_z_win,params_INTC_CTAS_beta_win,params_INTC_CTAS_stop_loss,params_INTC_CTAS_trade_freq,params_INTC_CTAS_z_entry,params_INTC_CTAS_z_exit,params_INTC_CTAS_z_stop_scaler,params_INTC_CTAS_z_win,params_MU_CTAS_beta_win,params_MU_CTAS_stop_loss,params_MU_CTAS_trade_freq,params_MU_CTAS_z_entry,params_MU_CTAS_z_exit,params_MU_CTAS_z_stop_scaler,params_MU_CTAS_z_win,params_MU_EXC_beta_win,params_MU_EXC_stop_loss,params_MU_EXC_trade_freq,params_MU_EXC_z_entry,params_MU_EXC_z_exit,params_MU_EXC_z_stop_scaler,params_MU_EXC_z_win,params_NFLX_SIRI_beta_win,params_NFLX_SIRI_stop_loss,params_NFLX_SIRI_trade_freq,params_NFLX_SIRI_z_entry,params_NFLX_SIRI_z_exit,params_NFLX_SIRI_z_stop_scaler,params_NFLX_SIRI_z_win,params_buffer_capital,params_pairs_to_trade,state
33,33,0.9737213008565472,2025-06-22 17:23:07.530638,2025-06-22 17:23:16.579323,0 days 00:00:09.048685,,,,,,,,3888.0,0.02,5m,2.0,0.4,2.0,920.0,5784,0.025,2m,1.4,0.6000000000000001,2.0,224,,,,,,,,5136.0,0.02,6m,2.8,1.0,1.0,784.0,2544.0,0.015,7m,1.8,1.0,0.5,336.0,4048.0,0.025,9m,2.0,1.0,0.5,968.0,2264.0,0.025,8m,1.8,0.0,1.5,424.0,1064.0,0.015,6m,1.4,0.0,2.0,960.0,2752.0,0.01,6m,2.4000000000000004,0.6000000000000001,0.5,528.0,0.4,8,COMPLETE
34,34,1.0041448266206014,2025-06-22 17:23:16.603969,2025-06-22 17:23:22.880032,0 days 00:00:06.276063,,,,,,,,1968.0,0.03,5m,1.8,0.2,2.0,816.0,5424,0.01,6m,1.6,0.4,2.0,320,,,,,,,,6712.0,0.01,6m,2.4000000000000004,0.8,1.5,912.0,5528.0,0.05,4m,2.4000000000000004,0.6000000000000001,1.0,296.0,5528.0,0.015,9m,2.2,0.6000000000000001,0.5,888.0,1080.0,0.035,8m,2.6,0.4,1.0,256.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
35,35,1.0206030936788582,2025-06-22 17:23:22.895801,2025-06-22 17:23:27.211410,0 days 00:00:04.315609,,,,,,,,3800.0,0.035,5m,1.4,0.2,2.0,816.0,6248,0.01,6m,2.0,0.8,2.0,320,,,,,,,,6680.0,0.01,6m,2.4000000000000004,0.8,1.5,1016.0,,,,,,,,6576.0,0.015,5m,2.4000000000000004,0.6000000000000001,1.0,880.0,,,,,,,,,,,,,,,,,,,,,,0.3,4,COMPLETE
36,36,0.9829941593656024,2025-06-22 17:23:27.243666,2025-06-22 17:23:31.455935,0 days 00:00:04.212269,,,,,,,,4032.0,0.035,6m,1.4,0.2,1.5,920.0,6312,0.01,6m,2.0,0.8,1.5,176,,,,,,,,5840.0,0.02,8m,2.2,0.6000000000000001,1.5,1016.0,,,,,,,,6736.0,0.01,5m,2.6,0.6000000000000001,1.0,768.0,,,,,,,,,,,,,,,,,,,,,,0.25,4,COMPLETE
37,37,0.9820732736569101,2025-06-22 17:23:31.494918,2025-06-22 17:23:37.898535,0 days 00:00:06.403617,,,,,,,,2928.0,0.035,2m,1.4,0.6000000000000001,2.0,1024.0,7416,0.02,6m,1.8,0.8,0.5,136,,,,,,,,6768.0,0.01,4m,3.0,0.8,1.5,936.0,,,,,,,,3544.0,0.03,5m,1.6,1.0,1.0,856.0,4152.0,0.04,7m,1.6,0.4,1.5,472.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
38,38,0.9804232897957896,2025-06-22 17:23:37.930510,2025-06-22 17:23:44.656946,0 days 00:00:06.726436,,,,,,,,3976.0,0.03,8m,2.2,0.2,2.0,728.0,5904,0.015,2m,2.0,0.8,2.0,312,,,,,,,,7952.0,0.02,2m,2.6,0.6000000000000001,0.5,624.0,,,,,,,,6032.0,0.025,5m,2.4000000000000004,0.8,0.5,1024.0,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
39,39,0.9777247481881084,2025-06-22 17:23:44.693359,2025-06-22 17:23:48.087698,0 days 00:00:03.394339,,,,,,,,4280.0,0.02,4m,1.6,0.4,1.5,632.0,4224,0.02,8m,1.2,0.6000000000000001,1.5,432,,,,,,,,,,,,,,,,,,,,,,6848.0,0.015,8m,1.6,0.6000000000000001,1.0,912.0,,,,,,,,,,,,,,,,,,,,,,0.4,3,COMPLETE
40,40,0.9959376023919834,2025-06-22 17:23:48.118487,2025-06-22 17:23:53.582674,0 days 00:00:05.464187,,,,,,,,5800.0,0.045000000000000005,5m,1.2,0.6000000000000001,2.0,896.0,6576,0.035,3m,1.4,1.0,2.0,512,,,,,,,,4368.0,0.015,3m,2.2,1.0,1.0,800.0,,,,,,,,7264.0,0.02,6m,2.4000000000000004,1.0,0.5,720.0,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,4,COMPLETE
41,41,0.9950822307229472,2025-06-22 17:23:53.635417,2025-06-22 17:23:59.662697,0 days 00:00:06.027280,,,,,,,,2048.0,0.03,5m,2.0,0.2,2.0,816.0,5400,0.01,6m,1.8,0.4,2.0,328,,,,,,,,6680.0,0.01,6m,2.4000000000000004,0.8,1.5,920.0,5608.0,0.05,8m,2.6,0.6000000000000001,1.0,320.0,5624.0,0.015,5m,2.2,0.6000000000000001,0.5,872.0,2048.0,0.035,8m,2.6,0.4,1.0,296.0,,,,,,,,,,,,,,,0.35000000000000003,6,COMPLETE
42,42,1.0038164729005548,2025-06-22 17:23:59.684525,2025-06-22 17:24:06.006448,0 days 00:00:06.321923,,,,,,,,1552.0,0.03,5m,1.8,0.2,2.0,816.0,5960,0.015,6m,1.6,0.6000000000000001,2.0,184,,,,,,,,7256.0,0.01,6m,2.8,0.8,1.5,1024.0,,,,,,,,5440.0,0.015,9m,2.2,0.4,0.5,912.0,2688.0,0.04,2m,2.6,0.6000000000000001,0.5,272.0,,,,,,,,,,,,,,,0.3,5,COMPLETE
43,43,0.9747036896543912,2025-06-22 17:24:06.031793,2025-06-22 17:24:14.504502,0 days 00:00:08.472709,,,,,,,,1920.0,0.04,5m,1.6,0.0,2.0,968.0,4488,0.01,6m,1.4,0.4,2.0,360,,,,,,,,5552.0,0.01,6m,2.2,1.0,1.5,888.0,5712.0,0.045000000000000005,2m,2.4000000000000004,0.6000000000000001,1.0,488.0,4584.0,0.02,9m,1.8,0.6000000000000001,0.5,952.0,1704.0,0.02,3m,2.0,0.2,1.5,520.0,,,,,,,,7704.0,0.01,8m,2.4000000000000004,1.0,1.5,504.0,0.35000000000000003,7,COMPLETE
44,44,0.9858786206609922,2025-06-22 17:24:14.532697,2025-06-22 17:24:22.346690,0 days 00:00:07.813993,,,,,,,,3120.0,0.025,5m,2.8,0.2,2.0,760.0,4976,0.015,6m,2.0,0.6000000000000001,2.0,304,,,,,,,,6384.0,0.015,6m,2.6,0.8,1.5,768.0,3632.0,0.03,6m,1.2,0.8,1.5,752.0,4984.0,0.03,2m,2.2,0.8,1.0,800.0,3680.0,0.03,4m,2.8,0.4,1.0,216.0,,,,,,,,,,,,,,,0.4,6,COMPLETE
45,45,0.9715905962310921,2025-06-22 17:24:22.370549,2025-06-22 17:24:24.639930,0 days 00:00:02.269381,,,,,,,,,,,,,,,7520,0.025,5m,1.2,0.4,2.0,200,,,,,,,,,,,,,,,,,,,,,,6304.0,0.01,9m,2.4000000000000004,0.6000000000000001,0.5,896.0,,,,,,,,,,,,,,,,,,,,,,0.3,2,COMPLETE
46,46,1.002448319756727,2025-06-22 17:24:24.670254,2025-06-22 17:24:30.509946,0 days 00:00:05.839692,,,,,,,,2496.0,0.035,4m,2.0,0.4,2.0,864.0,5464,0.01,4m,2.2,0.2,2.0,264,,,,,,,,7496.0,0.01,6m,3.0,0.6000000000000001,1.0,960.0,,,,,,,,4616.0,0.015,5m,2.8,0.4,1.0,632.0,5088.0,0.02,5m,2.2,0.0,1.0,344.0,,,,,,,,,,,,,,,0.25,5,COMPLETE
47,47,1.0161638878550037,2025-06-22 17:24:30.545232,2025-06-22 17:24:38.678048,0 days 00:00:08.132816,,,,,,,,4480.0,0.03,3m,1.4,0.2,2.0,704.0,7192,0.025,8m,1.0,0.6000000000000001,0.5,792,,,,,,,,6728.0,0.02,7m,2.4000000000000004,1.0,2.0,960.0,4616.0,0.035,7m,2.0,0.6000000000000001,2.0,248.0,6024.0,0.025,6m,2.0,0.8,0.5,992.0,1080.0,0.04,9m,2.8,0.8,1.5,208.0,4056.0,0.025,9m,2.0,1.0,0.5,512.0,2648.0,0.035,4m,1.0,0.0,2.0,144.0,0.05,8,COMPLETE
48,48,1.035270897625016,2025-06-22 17:24:38.724553,2025-06-22 17:24:49.148906,0 days 00:00:10.424353,1144.0,0.05,3m,3.0,0.4,0.5,992.0,4512.0,0.02,3m,1.4,0.4,1.5,552.0,7112,0.025,8m,1.0,0.8,0.5,888,1032.0,0.05,6m,2.8,0.0,2.0,176.0,5504.0,0.02,7m,2.8,1.0,2.0,984.0,4664.0,0.035,7m,1.8,0.2,2.0,240.0,5968.0,0.025,6m,2.0,1.0,1.5,1008.0,2552.0,0.045000000000000005,9m,2.8,1.0,1.5,520.0,4072.0,0.025,9m,2.0,1.0,0.5,536.0,2848.0,0.035,4m,1.0,0.0,2.0,160.0,0.05,10,COMPLETE
49,49,1.0308659875942516,2025-06-22 17:24:49.188161,2025-06-22 17:24:58.004368,0 days 00:00:08.816207,,,,,,,,5472.0,0.02,3m,1.4,0.0,1.5,536.0,7136,0.025,8m,1.0,0.8,0.5,912,1272.0,0.05,6m,3.0,0.0,2.0,128.0,5696.0,0.02,7m,2.8,1.0,2.0,976.0,4616.0,0.035,7m,1.8,0.2,2.0,256.0,6416.0,0.03,6m,1.8,1.0,1.5,984.0,1704.0,0.04,9m,2.8,1.0,1.5,792.0,3936.0,0.025,9m,2.0,1.0,0.5,536.0,2656.0,0.035,4m,1.0,0.0,2.0,128.0,0.05,9,COMPLETE
50,50,1.044351139607911,2025-06-22 17:24:58.053631,2025-06-22 17:25:08.495999,0 days 00:00:10.442368,1496.0,0.05,3m,3.0,0.4,0.5,984.0,5520.0,0.01,3m,1.2,0.0,1.0,536.0,7152,0.02,8m,1.0,0.8,0.5,912,1040.0,0.05,6m,3.0,0.0,2.0,176.0,5456.0,0.025,7m,2.8,1.0,2.0,984.0,4432.0,0.03,7m,1.6,0.2,2.0,424.0,7144.0,0.035,6m,1.8,1.0,1.5,936.0,1760.0,0.045000000000000005,9m,3.0,1.0,1.5,792.0,3920.0,0.025,9m,2.0,0.8,1.0,576.0,2792.0,0.03,4m,1.0,0.2,1.5,320.0,0.05,10,COMPLETE
51,51,1.0587927974708093,2025-06-22 17:25:08.531534,2025-06-22 17:25:19.069606,0 days 00:00:10.538072,1272.0,0.05,3m,3.0,0.4,0.5,1008.0,5416.0,0.01,3m,1.2,0.0,1.0,560.0,6680,0.02,8m,1.0,0.8,0.5,928,1056.0,0.05,6m,3.0,0.0,2.0,128.0,5608.0,0.025,7m,2.8,1.0,2.0,984.0,4568.0,0.03,7m,1.6,0.2,2.0,416.0,7808.0,0.035,6m,1.8,1.0,1.5,936.0,1848.0,0.045000000000000005,9m,3.0,1.0,1.5,784.0,4000.0,0.025,9m,2.0,0.8,1.0,552.0,2712.0,0.03,4m,1.0,0.0,1.5,280.0,0.05,10,COMPLETE
52,52,1.019123957723046,2025-06-22 17:25:19.104401,2025-06-22 17:25:29.242557,0 days 00:00:10.138156,1136.0,0.05,3m,3.0,0.4,0.5,1024.0,5448.0,0.01,3m,1.2,0.0,1.0,504.0,6680,0.02,8m,1.0,0.8,0.5,952,1144.0,0.05,6m,3.0,0.0,2.0,144.0,5840.0,0.03,7m,2.8,1.0,2.0,984.0,4368.0,0.03,7m,1.6,0.2,2.0,440.0,7720.0,0.035,6m,1.8,1.0,1.5,928.0,2448.0,0.045000000000000005,9m,2.8,1.0,1.5,776.0,4192.0,0.025,9m,2.0,0.8,1.0,560.0,2608.0,0.03,4m,1.0,0.0,1.5,264.0,0.05,10,COMPLETE
53,53,0.987090708918099,2025-06-22 17:25:29.281822,2025-06-22 17:25:39.523825,0 days 00:00:10.242003,1072.0,0.05,3m,3.0,0.4,0.5,1008.0,6432.0,0.01,3m,1.2,0.0,1.0,544.0,7184,0.02,8m,1.0,1.0,0.5,912,1064.0,0.05,6m,3.0,0.0,2.0,128.0,5512.0,0.025,7m,2.8,1.0,2.0,992.0,4888.0,0.035,7m,1.8,0.2,2.0,256.0,7720.0,0.035,6m,1.4,1.0,1.5,840.0,1880.0,0.045000000000000005,9m,3.0,1.0,1.5,864.0,3584.0,0.025,9m,2.0,0.8,0.5,528.0,3552.0,0.035,4m,1.0,0.2,2.0,136.0,0.05,10,COMPLETE
54,54,0.9715951227548669,2025-06-22 17:25:39.569272,2025-06-22 17:25:48.460192,0 days 00:00:08.890920,,,,,,,,5368.0,0.015,3m,1.0,0.0,1.0,456.0,7072,0.025,8m,1.2,0.8,0.5,1016,1136.0,0.05,6m,3.0,0.0,2.0,168.0,6152.0,0.025,7m,2.6,1.0,2.0,896.0,2944.0,0.025,7m,1.6,0.0,2.0,384.0,7120.0,0.035,6m,1.6,1.0,1.5,736.0,1840.0,0.045000000000000005,9m,2.8,0.8,1.5,856.0,3040.0,0.03,9m,1.8,1.0,1.0,688.0,2024.0,0.03,4m,1.4,0.0,1.5,336.0,0.1,9,COMPLETE
55,55,1.015085945130345,2025-06-22 17:25:48.504116,2025-06-22 17:25:57.704196,0 days 00:00:09.200080,,,,,,,,4688.0,0.015,3m,1.4,0.0,1.0,576.0,7848,0.02,8m,1.0,0.8,0.5,840,2784.0,0.05,6m,2.6,0.0,2.0,296.0,4624.0,0.025,7m,2.8,1.0,2.0,968.0,4448.0,0.03,7m,1.8,0.4,2.0,216.0,6560.0,0.03,6m,1.8,1.0,1.5,944.0,1704.0,0.045000000000000005,9m,2.4000000000000004,1.0,1.5,768.0,5536.0,0.02,8m,2.4000000000000004,0.8,1.0,408.0,3600.0,0.035,4m,1.2,0.2,2.0,248.0,0.1,9,COMPLETE
56,56,0.9618380507693041,2025-06-22 17:25:57.765419,2025-06-22 17:26:08.004762,0 days 00:00:10.239343,,,,,,,,8152.0,0.01,3m,1.2,0.0,0.5,304.0,6608,0.02,8m,1.2,1.0,1.0,768,2512.0,0.04,3m,2.4000000000000004,0.2,1.5,360.0,5952.0,0.025,7m,2.6,0.8,2.0,1024.0,6216.0,0.04,7m,1.4,0.2,2.0,536.0,2496.0,0.045000000000000005,6m,1.4,1.0,1.5,808.0,2616.0,0.04,9m,3.0,1.0,1.5,544.0,2840.0,0.035,3m,1.6,0.8,1.5,688.0,2152.0,0.04,4m,1.0,0.0,1.5,416.0,0.1,9,COMPLETE
57,57,0.9159564374432221,2025-06-22 17:26:08.051702,2025-06-22 17:26:19.413029,0 days 00:00:11.361327,2248.0,0.05,3m,2.6,0.4,0.5,824.0,5656.0,0.02,3m,1.4,0.0,1.5,472.0,2256,0.025,8m,1.0,0.8,0.5,888,2456.0,0.04,6m,2.6,0.2,2.0,880.0,5480.0,0.02,7m,2.8,1.0,2.0,928.0,3864.0,0.035,7m,1.4,0.2,1.5,432.0,7856.0,0.03,6m,1.6,1.0,1.5,992.0,1640.0,0.05,6m,2.8,1.0,1.5,896.0,5216.0,0.02,4m,2.4000000000000004,1.0,0.5,680.0,4296.0,0.03,4m,1.6,0.2,2.0,208.0,0.05,10,COMPLETE
58,58,0.9742640137966669,2025-06-22 17:26:19.456008,2025-06-22 17:26:27.947731,0 days 00:00:08.491723,,,,,,,,5072.0,0.015,9m,1.0,0.0,1.0,376.0,7752,0.015,8m,1.2,0.8,0.5,944,1280.0,0.045000000000000005,5m,3.0,0.2,0.5,296.0,6320.0,0.03,5m,2.6,1.0,2.0,496.0,4920.0,0.03,7m,2.0,0.0,2.0,368.0,7440.0,0.035,7m,1.8,1.0,1.5,632.0,1560.0,0.045000000000000005,9m,2.4000000000000004,0.8,1.5,752.0,4696.0,0.03,9m,2.2,0.6000000000000001,1.5,376.0,3224.0,0.025,4m,1.2,0.0,1.5,128.0,0.15000000000000002,9,COMPLETE
59,59,0.906664694662385,2025-06-22 17:26:27.985887,2025-06-22 17:26:40.302664,0 days 00:00:12.316777,2936.0,0.035,3m,2.4000000000000004,0.6000000000000001,1.0,776.0,6976.0,0.01,3m,1.2,0.8,1.5,616.0,6512,0.025,8m,1.0,1.0,1.0,848,2424.0,0.025,2m,2.6,0.0,1.5,136.0,7072.0,0.02,7m,3.0,0.4,2.0,984.0,3000.0,0.025,3m,1.8,0.4,2.0,216.0,6480.0,0.04,6m,1.8,1.0,2.0,904.0,2384.0,0.05,9m,2.0,1.0,1.5,592.0,2864.0,0.02,9m,1.6,1.0,0.5,400.0,1800.0,0.045000000000000005,4m,1.0,0.4,2.0,424.0,0.1,10,COMPLETE
60,60,1.018678191166395,2025-06-22 17:26:40.334871,2025-06-22 17:26:49.869023,0 days 00:00:09.534152,,,,,,,,6096.0,0.015,3m,1.4,0.0,1.0,568.0,6856,0.015,8m,1.2,0.8,1.0,984,8136.0,0.045000000000000005,4m,2.8,0.8,2.0,304.0,4288.0,0.035,7m,2.6,0.8,2.0,880.0,4152.0,0.035,5m,2.0,0.2,1.5,304.0,7208.0,0.03,6m,1.6,1.0,1.5,856.0,3192.0,0.04,9m,1.6,0.8,2.0,936.0,3592.0,0.025,9m,1.8,0.8,1.0,632.0,4304.0,0.035,5m,1.2,0.0,1.5,256.0,0.05,9,COMPLETE
61,61,0.9771550337546103,2025-06-22 17:26:49.931653,2025-06-22 17:27:01.677983,0 days 00:00:11.746330,2720.0,0.045000000000000005,4m,3.0,0.2,1.0,840.0,3696.0,0.02,3m,1.2,0.2,1.5,664.0,6080,0.03,8m,1.2,0.8,0.5,912,1944.0,0.045000000000000005,7m,2.0,0.2,2.0,216.0,5192.0,0.015,8m,3.0,1.0,2.0,944.0,4984.0,0.04,7m,1.6,0.0,2.0,472.0,6968.0,0.025,3m,2.0,1.0,1.5,1000.0,1472.0,0.045000000000000005,6m,3.0,1.0,1.5,816.0,4840.0,0.035,9m,2.2,0.6000000000000001,0.5,464.0,3032.0,0.025,6m,1.6,0.2,2.0,384.0,0.05,10,COMPLETE
62,62,0.9576250445742482,2025-06-22 17:27:01.764721,2025-06-22 17:27:16.541429,0 days 00:00:14.776708,1264.0,0.025,2m,2.4000000000000004,0.6000000000000001,0.5,1008.0,4384.0,0.01,6m,1.6,0.0,1.0,520.0,6320,0.035,5m,1.0,0.8,0.5,1024,3552.0,0.03,6m,2.2,0.0,1.5,448.0,5472.0,0.025,7m,3.0,1.0,2.0,984.0,6256.0,0.035,8m,1.2,0.4,1.5,576.0,6352.0,0.035,2m,2.0,1.0,1.5,976.0,1440.0,0.03,9m,3.0,1.0,1.5,720.0,6664.0,0.03,9m,1.8,0.4,1.5,776.0,1760.0,0.03,2m,1.2,0.4,1.0,232.0,0.1,10,COMPLETE
63,63,0.9729300236118236,2025-06-22 17:27:16.582391,2025-06-22 17:27:25.609704,0 days 00:00:09.027313,,,,,,,,4768.0,0.02,9m,1.4,0.8,1.5,600.0,7136,0.02,9m,1.4,0.6000000000000001,0.5,744,1808.0,0.05,6m,2.8,0.4,2.0,256.0,4920.0,0.015,5m,2.8,1.0,2.0,848.0,3208.0,0.02,7m,1.8,0.2,2.0,224.0,5952.0,0.025,8m,2.4000000000000004,0.8,1.5,944.0,7800.0,0.05,5m,2.8,0.8,1.5,496.0,3728.0,0.02,3m,2.2,1.0,1.0,608.0,2456.0,0.035,9m,1.0,0.0,1.5,296.0,0.15000000000000002,9,COMPLETE
64,64,0.9429841210579818,2025-06-22 17:27:25.672346,2025-06-22 17:27:36.336691,0 days 00:00:10.664345,3760.0,0.04,5m,2.6,0.2,1.0,168.0,5432.0,0.025,7m,1.0,0.6000000000000001,0.5,480.0,6848,0.03,8m,1.0,1.0,1.0,872,3640.0,0.045000000000000005,6m,2.8,0.2,1.5,392.0,5960.0,0.02,2m,3.0,1.0,1.0,1024.0,2200.0,0.045000000000000005,6m,1.4,0.4,1.5,352.0,6696.0,0.03,6m,2.0,0.8,1.5,888.0,2016.0,0.045000000000000005,9m,3.0,1.0,2.0,664.0,2240.0,0.015,6m,2.4000000000000004,0.8,0.5,472.0,4864.0,0.04,8m,1.4,0.2,2.0,192.0,0.05,10,COMPLETE
65,65,0.9130577432199685,2025-06-22 17:27:36.352609,2025-06-22 17:27:48.363847,0 days 00:00:12.011238,2064.0,0.05,7m,3.0,0.8,0.5,704.0,5928.0,0.015,2m,1.6,0.2,1.5,656.0,7392,0.025,4m,1.4,0.8,0.5,960,1744.0,0.04,6m,3.0,0.0,2.0,232.0,5344.0,0.015,4m,1.8,1.0,1.0,904.0,4120.0,0.03,7m,1.2,0.2,2.0,536.0,8168.0,0.035,4m,2.0,1.0,2.0,984.0,2888.0,0.03,7m,1.8,1.0,1.0,448.0,4184.0,0.035,7m,1.6,1.0,1.0,784.0,3896.0,0.025,4m,1.6,0.0,1.5,448.0,0.1,10,COMPLETE
66,66,0.929749076054171,2025-06-22 17:27:48.398311,2025-06-22 17:27:52.807493,0 days 00:00:04.409182,,,,,,,,4992.0,0.02,8m,2.2,0.4,1.0,568.0,5752,0.025,3m,1.0,0.6000000000000001,0.5,720,,,,,,,,6472.0,0.025,9m,1.0,0.8,2.0,400.0,,,,,,,,7448.0,0.045000000000000005,7m,2.2,0.8,1.5,928.0,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
67,67,1.0174113627763095,2025-06-22 17:27:52.844523,2025-06-22 17:28:05.656859,0 days 00:00:12.812336,,,,,,,,5256.0,0.025,3m,1.2,0.0,1.5,536.0,8024,0.03,2m,1.2,0.8,0.5,912,1816.0,0.01,2m,2.0,0.6000000000000001,1.0,760.0,2936.0,0.045000000000000005,7m,2.8,1.0,1.0,208.0,5176.0,0.02,9m,1.6,0.2,2.0,632.0,5776.0,0.025,6m,2.6,1.0,1.5,512.0,1400.0,0.025,4m,1.4,0.6000000000000001,1.5,568.0,3192.0,0.025,2m,2.0,0.8,0.5,576.0,3128.0,0.045000000000000005,4m,1.2,0.2,2.0,624.0,0.2,9,COMPLETE
68,68,0.8783448393802383,2025-06-22 17:28:05.690573,2025-06-22 17:28:14.861995,0 days 00:00:09.171422,,,,,,,,6344.0,0.025,3m,1.4,0.2,1.0,408.0,6200,0.02,7m,1.4,0.8,0.5,640,,,,,,,,1240.0,0.03,7m,3.0,1.0,0.5,824.0,6168.0,0.025,5m,1.0,0.0,1.5,424.0,4096.0,0.02,6m,1.8,0.8,2.0,1024.0,2232.0,0.015,3m,2.8,0.8,2.0,960.0,4520.0,0.015,8m,2.2,0.6000000000000001,1.5,456.0,1432.0,0.03,4m,1.0,0.0,1.5,184.0,0.1,8,COMPLETE
69,69,0.9962645121076258,2025-06-22 17:28:14.898241,2025-06-22 17:28:22.745507,0 days 00:00:07.847266,,,,,,,,3232.0,0.01,3m,2.4000000000000004,0.6000000000000001,1.5,496.0,3144,0.035,8m,2.8,1.0,1.0,808,,,,,,,,4856.0,0.02,3m,2.6,0.2,2.0,712.0,,,,,,,,6192.0,0.04,3m,2.0,1.0,1.0,824.0,1408.0,0.04,2m,2.6,1.0,1.0,816.0,,,,,,,,,,,,,,,0.15000000000000002,5,COMPLETE
70,70,1.0175178069090145,2025-06-22 17:28:22.775188,2025-06-22 17:28:27.223110,0 days 00:00:04.447922,,,,,,,,4224.0,0.04,4m,1.6,0.4,0.5,376.0,6440,0.03,7m,2.2,0.6000000000000001,0.5,864,,,,,,,,5784.0,0.015,7m,2.8,0.8,1.0,952.0,,,,,,,,7904.0,0.03,5m,1.8,0.0,1.5,336.0,,,,,,,,,,,,,,,,,,,,,,0.05,4,COMPLETE
71,71,1.0089906293116446,2025-06-22 17:28:27.258756,2025-06-22 17:28:38.100152,0 days 00:00:10.841396,1032.0,0.05,3m,3.0,0.4,0.5,1024.0,5440.0,0.01,3m,1.2,0.0,1.0,440.0,6704,0.02,8m,1.0,0.8,0.5,944,1080.0,0.05,6m,3.0,0.0,2.0,128.0,6032.0,0.03,7m,2.8,1.0,2.0,992.0,4480.0,0.03,7m,1.6,0.2,2.0,448.0,7800.0,0.035,6m,1.8,1.0,1.5,936.0,2408.0,0.045000000000000005,9m,2.8,1.0,1.5,792.0,4008.0,0.025,9m,2.0,0.8,1.0,560.0,2328.0,0.03,4m,1.0,0.0,1.5,272.0,0.05,10,COMPLETE
72,72,1.0161362632886675,2025-06-22 17:28:38.134587,2025-06-22 17:28:48.994904,0 days 00:00:10.860317,1680.0,0.045000000000000005,3m,2.8,0.2,0.5,920.0,6808.0,0.01,3m,1.0,0.0,1.0,496.0,6960,0.02,8m,1.0,0.8,0.5,936,1048.0,0.05,6m,2.8,0.0,2.0,208.0,5744.0,0.03,7m,2.8,1.0,2.0,992.0,4416.0,0.035,7m,1.4,0.0,2.0,288.0,7664.0,0.035,6m,1.8,1.0,1.5,976.0,3584.0,0.05,9m,3.0,1.0,1.5,704.0,4480.0,0.025,9m,1.8,0.8,1.0,304.0,2864.0,0.035,3m,1.4,0.0,1.0,280.0,0.05,10,COMPLETE
73,73,0.9841246574564041,2025-06-22 17:28:49.024683,2025-06-22 17:28:59.101741,0 days 00:00:10.077058,1080.0,0.045000000000000005,8m,2.0,0.4,0.5,896.0,5640.0,0.01,3m,1.2,0.0,1.0,600.0,7264,0.025,8m,1.2,0.8,0.5,1000,1704.0,0.045000000000000005,6m,3.0,0.2,2.0,128.0,5320.0,0.025,7m,3.0,1.0,2.0,928.0,3448.0,0.03,7m,2.0,0.4,2.0,960.0,7024.0,0.04,6m,2.2,1.0,1.5,872.0,2536.0,0.045000000000000005,9m,2.8,1.0,1.5,632.0,3432.0,0.03,9m,2.0,1.0,1.0,616.0,2480.0,0.025,4m,1.2,0.0,1.5,368.0,0.05,10,COMPLETE
