,number,value,datetime_start,datetime_complete,duration,params_CSCO_TXN_beta_win,params_CSCO_TXN_stop_loss,params_CSCO_TXN_trade_freq,params_CSCO_TXN_z_entry,params_CSCO_TXN_z_exit,params_CSCO_TXN_z_stop_scaler,params_CSCO_TXN_z_win,params_HON_JD_beta_win,params_HON_JD_stop_loss,params_HON_JD_trade_freq,params_HON_JD_z_entry,params_HON_JD_z_exit,params_HON_JD_z_stop_scaler,params_HON_JD_z_win,params_HON_SBUX_beta_win,params_HON_SBUX_stop_loss,params_HON_SBUX_trade_freq,params_HON_SBUX_z_entry,params_HON_SBUX_z_exit,params_HON_SBUX_z_stop_scaler,params_HON_SBUX_z_win,params_JD_SBUX_beta_win,params_JD_SBUX_stop_loss,params_JD_SBUX_trade_freq,params_JD_SBUX_z_entry,params_JD_SBUX_z_exit,params_JD_SBUX_z_stop_scaler,params_JD_SBUX_z_win,params_MSFT_CTAS_beta_win,params_MSFT_CTAS_stop_loss,params_MSFT_CTAS_trade_freq,params_MSFT_CTAS_z_entry,params_MSFT_CTAS_z_exit,params_MSFT_CTAS_z_stop_scaler,params_MSFT_CTAS_z_win,params_NTES_PCAR_beta_win,params_NTES_PCAR_stop_loss,params_NTES_PCAR_trade_freq,params_NTES_PCAR_z_entry,params_NTES_PCAR_z_exit,params_NTES_PCAR_z_stop_scaler,params_NTES_PCAR_z_win,params_PDD_ORLY_beta_win,params_PDD_ORLY_stop_loss,params_PDD_ORLY_trade_freq,params_PDD_ORLY_z_entry,params_PDD_ORLY_z_exit,params_PDD_ORLY_z_stop_scaler,params_PDD_ORLY_z_win,params_PDD_TXN_beta_win,params_PDD_TXN_stop_loss,params_PDD_TXN_trade_freq,params_PDD_TXN_z_entry,params_PDD_TXN_z_exit,params_PDD_TXN_z_stop_scaler,params_PDD_TXN_z_win,params_VRTX_EBAY_beta_win,params_VRTX_EBAY_stop_loss,params_VRTX_EBAY_trade_freq,params_VRTX_EBAY_z_entry,params_VRTX_EBAY_z_exit,params_VRTX_EBAY_z_stop_scaler,params_VRTX_EBAY_z_win,params_VRTX_TXN_beta_win,params_VRTX_TXN_stop_loss,params_VRTX_TXN_trade_freq,params_VRTX_TXN_z_entry,params_VRTX_TXN_z_exit,params_VRTX_TXN_z_stop_scaler,params_VRTX_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,1.0481966223130594,2025-06-22 17:00:41.842677,2025-06-22 17:00:50.107333,0 days 00:00:08.264656,5192.0,0.03,8m,2.2,0.2,1.0,840.0,1616,0.04,7m,1.8,0.2,1.0,944,2496.0,0.04,5m,2.2,0.0,1.5,352.0,,,,,,,,,,,,,,,4552.0,0.035,5m,2.2,0.8,2.0,680.0,3888.0,0.025,4m,1.8,0.8,0.5,560.0,3392.0,0.035,6m,1.0,0.6000000000000001,1.5,512.0,4600.0,0.035,8m,2.2,0.6000000000000001,1.0,552.0,2632.0,0.04,5m,1.6,0.2,1.5,744.0,0.45,8,COMPLETE
31,31,1.0456080714446514,2025-06-22 17:00:50.131973,2025-06-22 17:00:58.134428,0 days 00:00:08.002455,5192.0,0.03,8m,2.2,0.2,1.0,824.0,1528,0.04,7m,1.8,0.2,1.0,928,2544.0,0.04,5m,2.2,0.0,1.5,360.0,,,,,,,,,,,,,,,4616.0,0.04,5m,2.2,0.8,2.0,1000.0,3896.0,0.025,4m,1.8,0.8,0.5,536.0,3344.0,0.035,6m,1.0,0.6000000000000001,1.5,520.0,4624.0,0.045000000000000005,8m,2.2,0.6000000000000001,1.0,584.0,2344.0,0.04,5m,1.6,0.0,1.5,744.0,0.45,8,COMPLETE
32,32,1.0427370942280996,2025-06-22 17:00:58.158557,2025-06-22 17:01:05.269265,0 days 00:00:07.110708,3472.0,0.035,8m,2.8,0.2,1.0,920.0,1704,0.025,7m,2.0,0.2,1.0,792,3152.0,0.045000000000000005,5m,2.4000000000000004,0.2,1.5,240.0,,,,,,,,,,,,,,,,,,,,,,2824.0,0.035,4m,1.6,0.6000000000000001,0.5,624.0,4200.0,0.03,6m,1.2,0.8,1.5,448.0,4984.0,0.035,8m,2.2,0.4,0.5,504.0,2480.0,0.045000000000000005,5m,1.0,0.2,1.5,840.0,0.5,7,COMPLETE
33,33,0.9943263663967541,2025-06-22 17:01:05.328929,2025-06-22 17:01:14.450173,0 days 00:00:09.121244,1568.0,0.025,7m,1.4,0.4,1.0,816.0,2312,0.045000000000000005,3m,1.6,0.0,1.5,960,1560.0,0.035,5m,1.8,0.0,2.0,480.0,4328.0,0.025,7m,1.6,0.4,0.5,352.0,,,,,,,,3032.0,0.03,5m,2.0,1.0,2.0,656.0,6104.0,0.03,9m,1.4,0.8,0.5,632.0,3384.0,0.035,6m,1.0,0.6000000000000001,2.0,720.0,3992.0,0.015,5m,2.8,0.6000000000000001,1.0,408.0,5048.0,0.035,5m,2.0,0.0,2.0,656.0,0.45,9,COMPLETE
34,34,0.9900516463915624,2025-06-22 17:01:14.471976,2025-06-22 17:01:23.753690,0 days 00:00:09.281714,4176.0,0.03,8m,1.8,0.4,0.5,712.0,3160,0.035,7m,1.8,0.4,0.5,864,2432.0,0.045000000000000005,9m,2.8,0.0,1.5,720.0,,,,,,,,,,,,,,,4352.0,0.025,4m,2.2,0.8,1.5,608.0,4952.0,0.025,2m,2.0,1.0,1.0,328.0,1800.0,0.025,5m,1.4,0.4,1.5,584.0,2592.0,0.035,6m,2.2,0.2,0.5,232.0,4056.0,0.045000000000000005,4m,2.2,0.2,1.0,928.0,0.4,8,COMPLETE
35,35,0.9076762455851469,2025-06-22 17:01:23.785674,2025-06-22 17:01:30.658877,0 days 00:00:06.873203,5168.0,0.04,8m,2.6,0.0,1.0,592.0,1448,0.04,6m,2.2,0.4,1.0,888,4016.0,0.04,5m,2.6,0.0,1.5,336.0,,,,,,,,,,,,,,,,,,,,,,1984.0,0.02,4m,1.2,0.8,0.5,768.0,2552.0,0.015,6m,1.0,1.0,0.5,280.0,,,,,,,,6680.0,0.04,3m,1.6,0.0,1.5,792.0,0.15000000000000002,6,COMPLETE
36,36,0.9830515902302883,2025-06-22 17:01:30.718694,2025-06-22 17:01:37.928603,0 days 00:00:07.209909,2264.0,0.025,5m,1.2,0.2,1.5,920.0,2920,0.035,4m,2.0,0.4,0.5,256,4664.0,0.03,6m,2.8,0.2,1.0,624.0,,,,,,,,,,,,,,,,,,,,,,4168.0,0.035,7m,2.4000000000000004,1.0,1.0,904.0,1136.0,0.03,6m,1.2,0.6000000000000001,1.0,512.0,6080.0,0.03,8m,1.2,0.8,1.5,568.0,7592.0,0.015,6m,2.4000000000000004,0.2,2.0,1008.0,0.35000000000000003,7,COMPLETE
37,37,0.9419145913854028,2025-06-22 17:01:37.955513,2025-06-22 17:01:48.095865,0 days 00:00:10.140352,3480.0,0.035,7m,1.0,0.4,1.0,504.0,1088,0.03,8m,1.4,0.2,1.0,808,5848.0,0.03,8m,3.0,0.2,0.5,520.0,8104.0,0.01,2m,2.4000000000000004,0.2,1.5,824.0,,,,,,,,4904.0,0.035,5m,1.8,0.4,1.0,736.0,3336.0,0.015,8m,1.8,0.6000000000000001,0.5,992.0,4008.0,0.045000000000000005,6m,1.8,0.2,2.0,408.0,5240.0,0.025,3m,2.4000000000000004,0.4,1.0,344.0,2568.0,0.035,9m,1.8,0.4,1.0,528.0,0.1,9,COMPLETE
38,38,0.9435089450815469,2025-06-22 17:01:48.123289,2025-06-22 17:02:00.436267,0 days 00:00:12.312978,1608.0,0.035,9m,2.0,0.2,0.5,696.0,3624,0.04,2m,1.6,0.6000000000000001,1.5,1024,1784.0,0.05,4m,2.2,0.4,1.0,640.0,,,,,,,,,,,,,,,6568.0,0.02,2m,2.4000000000000004,1.0,2.0,448.0,5088.0,0.03,2m,2.4000000000000004,0.8,1.5,544.0,4848.0,0.035,9m,1.0,0.8,2.0,640.0,4096.0,0.045000000000000005,2m,1.2,0.2,2.0,680.0,4296.0,0.04,7m,1.4,0.2,1.0,720.0,0.35000000000000003,8,COMPLETE
39,39,0.9752957492726517,2025-06-22 17:02:00.484547,2025-06-22 17:02:05.477862,0 days 00:00:04.993315,4384.0,0.03,6m,1.6,0.6000000000000001,1.0,768.0,2392,0.05,5m,1.2,0.6000000000000001,0.5,160,2272.0,0.04,7m,2.4000000000000004,0.0,2.0,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3424.0,0.02,7m,1.4,0.4,1.5,656.0,,,,,,,,7784.0,0.05,8m,2.2,0.0,1.5,616.0,0.45,5,COMPLETE
40,40,0.9692671536847907,2025-06-22 17:02:05.525778,2025-06-22 17:02:17.670354,0 days 00:00:12.144576,3232.0,0.02,2m,2.4000000000000004,0.0,1.5,1024.0,6320,0.045000000000000005,3m,2.6,0.0,1.0,952,3312.0,0.035,2m,2.8,0.0,0.5,256.0,,,,,,,,,,,,,,,,,,,,,,2080.0,0.025,9m,2.0,1.0,0.5,1024.0,2856.0,0.015,4m,1.2,0.0,1.0,600.0,7216.0,0.015,2m,1.8,0.0,0.5,352.0,6352.0,0.03,2m,2.6,0.2,2.0,240.0,0.15000000000000002,7,COMPLETE
41,41,0.9652779972446127,2025-06-22 17:02:17.734796,2025-06-22 17:02:25.957688,0 days 00:00:08.222892,5080.0,0.03,8m,2.2,0.2,1.0,832.0,1496,0.04,7m,1.8,0.2,1.0,904,2528.0,0.04,5m,2.2,0.0,1.5,352.0,,,,,,,,,,,,,,,4312.0,0.045000000000000005,5m,2.2,0.8,2.0,976.0,4064.0,0.025,4m,1.8,0.8,0.5,544.0,3224.0,0.035,6m,1.0,0.6000000000000001,1.5,528.0,4512.0,0.045000000000000005,8m,2.2,0.6000000000000001,1.0,560.0,1704.0,0.04,5m,1.6,0.0,1.5,736.0,0.45,8,COMPLETE
42,42,0.9979847123944502,2025-06-22 17:02:26.001622,2025-06-22 17:02:34.473689,0 days 00:00:08.472067,5584.0,0.025,8m,2.2,0.2,1.0,808.0,1920,0.035,7m,1.8,0.2,1.0,840,2792.0,0.045000000000000005,5m,2.0,0.0,1.5,376.0,,,,,,,,,,,,,,,4696.0,0.04,5m,2.4000000000000004,0.8,2.0,984.0,3384.0,0.025,4m,1.8,0.8,0.5,496.0,1976.0,0.04,6m,1.0,0.6000000000000001,1.5,480.0,2928.0,0.045000000000000005,8m,2.2,0.6000000000000001,1.0,624.0,2832.0,0.04,5m,1.4,0.0,1.5,792.0,0.5,8,COMPLETE
43,43,1.0056119373068055,2025-06-22 17:02:34.507239,2025-06-22 17:02:44.419662,0 days 00:00:09.912423,6272.0,0.025,8m,2.0,0.2,1.0,656.0,1504,0.04,7m,2.0,0.2,1.0,984,3872.0,0.04,5m,1.8,0.0,1.5,208.0,1408.0,0.025,5m,3.0,0.8,1.0,392.0,,,,,,,,2952.0,0.035,5m,1.8,0.6000000000000001,1.5,848.0,4192.0,0.02,4m,1.6,0.6000000000000001,0.5,624.0,3536.0,0.035,6m,1.2,0.6000000000000001,1.5,696.0,4088.0,0.05,3m,2.6,0.8,1.0,464.0,1976.0,0.045000000000000005,5m,2.0,0.0,1.5,872.0,0.4,9,COMPLETE
44,44,0.9480228546662863,2025-06-22 17:02:44.473325,2025-06-22 17:02:51.805639,0 days 00:00:07.332314,4800.0,0.03,4m,1.4,0.0,1.0,880.0,2776,0.05,7m,1.6,0.4,1.5,936,4352.0,0.045000000000000005,5m,1.6,0.2,1.5,296.0,,,,,,,,,,,,,,,,,,,,,,6072.0,0.025,4m,1.2,0.8,1.0,464.0,2752.0,0.03,8m,1.0,0.4,2.0,632.0,6256.0,0.045000000000000005,8m,2.4000000000000004,0.6000000000000001,1.0,704.0,2168.0,0.035,7m,1.2,0.0,1.0,696.0,0.4,7,COMPLETE
45,45,0.9968257417016593,2025-06-22 17:02:51.859789,2025-06-22 17:02:54.635394,0 days 00:00:02.775605,,,,,,,,1336,0.035,9m,1.8,0.2,1.0,880,2184.0,0.035,3m,2.2,0.0,2.0,432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,2,COMPLETE
46,46,0.9874135032376647,2025-06-22 17:02:54.667780,2025-06-22 17:03:01.176350,0 days 00:00:06.508570,5184.0,0.04,8m,1.8,0.4,1.0,968.0,2176,0.045000000000000005,8m,1.4,0.0,1.5,816,1624.0,0.02,4m,1.2,0.4,1.5,368.0,,,,,,,,,,,,,,,,,,,,,,3744.0,0.04,5m,2.0,0.2,0.5,360.0,4696.0,0.035,3m,1.6,0.6000000000000001,2.0,528.0,,,,,,,,1184.0,0.015,9m,1.6,0.2,1.5,632.0,0.5,6,COMPLETE
47,47,1.019056986471063,2025-06-22 17:03:01.197258,2025-06-22 17:03:12.602349,0 days 00:00:11.405091,3920.0,0.03,3m,2.2,0.2,1.0,216.0,1792,0.04,6m,2.2,0.8,0.5,992,2632.0,0.04,6m,2.4000000000000004,0.6000000000000001,1.0,528.0,3248.0,0.045000000000000005,2m,2.2,0.2,2.0,128.0,1120.0,0.01,5m,2.6,1.0,0.5,824.0,2376.0,0.04,9m,2.2,0.8,2.0,696.0,7664.0,0.03,7m,1.6,1.0,1.5,576.0,4344.0,0.03,6m,1.2,0.8,1.5,464.0,7112.0,0.05,8m,2.0,0.4,1.5,728.0,7384.0,0.04,5m,2.4000000000000004,0.8,2.0,760.0,0.3,10,COMPLETE
48,48,1.0301308531503943,2025-06-22 17:03:12.630120,2025-06-22 17:03:22.417497,0 days 00:00:09.787377,5896.0,0.035,8m,2.8,0.4,1.5,848.0,4264,0.02,7m,2.0,0.2,1.0,768,3192.0,0.01,7m,2.6,0.2,1.5,744.0,,,,,,,,,,,,,,,5376.0,0.03,6m,2.0,1.0,2.0,904.0,4416.0,0.02,3m,2.2,0.6000000000000001,0.5,672.0,3048.0,0.025,5m,1.4,0.4,2.0,576.0,4944.0,0.04,2m,1.6,0.8,2.0,600.0,3080.0,0.03,3m,1.8,0.0,1.5,544.0,0.25,8,COMPLETE
49,49,1.018795558325875,2025-06-22 17:03:22.472049,2025-06-22 17:03:29.021079,0 days 00:00:06.549030,5376.0,0.04,5m,2.4000000000000004,0.6000000000000001,0.5,560.0,4824,0.025,9m,1.2,0.4,1.5,216,7176.0,0.03,9m,2.0,0.0,0.5,304.0,,,,,,,,,,,,,,,,,,,,,,3160.0,0.05,9m,1.4,0.8,2.0,504.0,3888.0,0.04,6m,2.2,0.8,1.0,392.0,5792.0,0.025,7m,2.0,0.6000000000000001,1.0,544.0,6664.0,0.025,4m,2.0,0.4,0.5,568.0,0.1,7,COMPLETE
50,50,0.922879801688619,2025-06-22 17:03:29.051149,2025-06-22 17:03:39.070795,0 days 00:00:10.019646,6352.0,0.035,8m,1.8,0.8,1.0,936.0,2952,0.01,5m,1.8,0.0,2.0,360,6616.0,0.015,6m,2.2,0.2,0.5,192.0,,,,,,,,,,,,,,,4152.0,0.045000000000000005,8m,2.0,0.8,1.5,544.0,1032.0,0.035,4m,2.8,0.4,1.0,424.0,3296.0,0.01,2m,1.0,0.2,1.5,728.0,4456.0,0.035,3m,3.0,1.0,1.0,896.0,7800.0,0.035,3m,2.8,1.0,1.0,976.0,0.05,8,COMPLETE
51,51,1.033494628304979,2025-06-22 17:03:39.120318,2025-06-22 17:03:46.103707,0 days 00:00:06.983389,3680.0,0.035,8m,2.8,0.2,1.0,912.0,1712,0.015,7m,2.0,0.2,1.0,808,2984.0,0.045000000000000005,5m,2.4000000000000004,0.2,1.5,240.0,,,,,,,,,,,,,,,,,,,,,,2256.0,0.045000000000000005,4m,1.6,0.6000000000000001,0.5,608.0,4064.0,0.03,6m,1.2,0.8,1.5,448.0,5072.0,0.035,8m,2.2,0.4,0.5,472.0,2640.0,0.045000000000000005,5m,1.2,0.2,1.5,824.0,0.5,7,COMPLETE
52,52,0.9855763250008739,2025-06-22 17:03:46.131497,2025-06-22 17:03:53.043492,0 days 00:00:06.911995,4488.0,0.03,8m,3.0,0.2,1.0,792.0,2048,0.025,7m,2.0,0.2,1.0,776,3240.0,0.05,5m,2.2,0.4,1.5,272.0,,,,,,,,,,,,,,,,,,,,,,2544.0,0.035,4m,1.8,0.6000000000000001,0.5,536.0,4256.0,0.03,6m,1.2,1.0,1.5,504.0,4832.0,0.03,8m,2.2,0.4,0.5,512.0,2136.0,0.045000000000000005,5m,1.0,0.2,1.5,904.0,0.5,7,COMPLETE
53,53,1.0043671927607154,2025-06-22 17:03:53.085423,2025-06-22 17:04:02.252935,0 days 00:00:09.167512,4104.0,0.04,8m,2.6,0.2,1.0,736.0,1192,0.03,7m,1.6,0.2,1.0,928,1968.0,0.045000000000000005,5m,2.4000000000000004,0.0,1.5,168.0,5216.0,0.03,6m,1.4,0.8,1.0,872.0,,,,,,,,6376.0,0.025,4m,2.6,0.6000000000000001,0.5,440.0,1680.0,0.035,4m,1.6,0.8,0.5,656.0,4528.0,0.035,6m,2.4000000000000004,0.6000000000000001,1.5,1008.0,5296.0,0.04,8m,2.4000000000000004,0.2,0.5,504.0,1760.0,0.05,5m,1.0,0.0,1.5,744.0,0.45,9,COMPLETE
54,54,1.041033115131677,2025-06-22 17:04:02.295798,2025-06-22 17:04:11.445841,0 days 00:00:09.150043,2688.0,0.035,8m,2.8,0.0,1.0,856.0,1744,0.015,7m,2.4000000000000004,0.2,1.0,864,1336.0,0.04,5m,2.6,0.2,1.5,224.0,,,,,,,,,,,,,,,7968.0,0.015,3m,1.6,1.0,1.0,1016.0,3656.0,0.025,2m,1.8,0.6000000000000001,0.5,464.0,3544.0,0.03,5m,1.0,0.8,2.0,296.0,3792.0,0.035,9m,2.0,0.4,0.5,416.0,2384.0,0.01,5m,1.0,0.4,1.5,824.0,0.5,8,COMPLETE
55,55,1.0056580663987462,2025-06-22 17:04:11.461641,2025-06-22 17:04:19.161740,0 days 00:00:07.700099,3160.0,0.035,9m,2.4000000000000004,0.2,1.0,984.0,2576,0.02,2m,2.2,0.4,1.0,704,2272.0,0.035,2m,2.4000000000000004,0.0,1.0,336.0,,,,,,,,,,,,,,,,,,,,,,5248.0,0.03,7m,2.0,0.2,0.5,728.0,2896.0,0.04,7m,1.8,0.6000000000000001,1.5,552.0,,,,,,,,1456.0,0.045000000000000005,5m,2.2,0.2,1.5,672.0,0.4,6,COMPLETE
56,56,0.9302257369287247,2025-06-22 17:04:19.208691,2025-06-22 17:04:28.363867,0 days 00:00:09.155176,4944.0,0.03,2m,3.0,0.4,1.5,680.0,2264,0.035,3m,2.0,0.6000000000000001,1.5,992,3720.0,0.045000000000000005,6m,3.0,0.0,1.5,272.0,,,,,,,,,,,,,,,,,,,,,,2856.0,0.04,4m,1.0,1.0,0.5,856.0,5176.0,0.045000000000000005,6m,1.6,0.6000000000000001,1.5,440.0,4248.0,0.02,7m,1.8,0.2,1.0,592.0,2992.0,0.04,3m,1.4,0.8,1.0,488.0,0.2,7,COMPLETE
57,57,1.0414339897306455,2025-06-22 17:04:28.419306,2025-06-22 17:04:39.836750,0 days 00:00:11.417444,2296.0,0.045000000000000005,4m,1.6,0.2,1.0,896.0,1032,0.04,4m,2.0,0.0,1.0,528,4816.0,0.04,3m,2.0,0.2,2.0,400.0,1032.0,0.01,3m,1.2,0.2,1.5,424.0,7512.0,0.025,8m,2.2,0.6000000000000001,0.5,696.0,4816.0,0.035,5m,2.4000000000000004,0.8,2.0,592.0,1568.0,0.01,6m,2.2,0.8,1.0,600.0,2424.0,0.025,3m,1.2,0.8,1.5,384.0,3224.0,0.03,8m,1.0,0.6000000000000001,2.0,184.0,7112.0,0.02,8m,1.2,0.6000000000000001,1.5,864.0,0.45,10,COMPLETE
58,58,0.9539663198357637,2025-06-22 17:04:39.907882,2025-06-22 17:04:48.083998,0 days 00:00:08.176116,1416.0,0.035,7m,2.6,0.0,1.0,624.0,1424,0.035,9m,1.8,0.8,0.5,648,4296.0,0.02,9m,2.2,0.4,0.5,896.0,7320.0,0.02,8m,2.0,0.8,0.5,712.0,,,,,,,,3632.0,0.045000000000000005,5m,2.2,0.4,1.5,808.0,3904.0,0.025,9m,1.4,0.4,2.0,800.0,3144.0,0.03,9m,1.4,0.4,1.0,664.0,6608.0,0.04,4m,2.2,0.4,0.5,304.0,3568.0,0.05,6m,2.2,0.2,1.0,800.0,0.4,9,COMPLETE
59,59,0.9857780370370743,2025-06-22 17:04:48.115522,2025-06-22 17:04:56.414565,0 days 00:00:08.299043,3432.0,0.01,5m,2.2,0.6000000000000001,0.5,752.0,8000,0.03,6m,2.4000000000000004,0.2,1.0,440,5736.0,0.05,5m,2.6,0.0,1.0,168.0,,,,,,,,,,,,,,,,,,,,,,2424.0,0.02,7m,1.6,0.8,0.5,952.0,4136.0,0.035,2m,1.2,1.0,2.0,608.0,,,,,,,,5848.0,0.035,2m,2.4000000000000004,0.0,1.5,608.0,0.35000000000000003,6,COMPLETE
60,60,0.9355728692642327,2025-06-22 17:04:56.455546,2025-06-22 17:05:06.524924,0 days 00:00:10.069378,7024.0,0.025,8m,2.0,0.2,1.0,936.0,1944,0.01,5m,2.2,0.6000000000000001,1.5,904,3360.0,0.01,8m,3.0,0.6000000000000001,0.5,448.0,,,,,,,,,,,,,,,5864.0,0.015,4m,1.8,0.6000000000000001,1.0,928.0,4824.0,0.015,8m,2.0,0.0,1.0,424.0,3696.0,0.025,4m,1.0,0.8,2.0,144.0,1808.0,0.045000000000000005,2m,2.6,0.2,1.5,752.0,1024.0,0.045000000000000005,3m,2.0,1.0,2.0,704.0,0.5,8,COMPLETE
61,61,0.9268884196665546,2025-06-22 17:05:06.549437,2025-06-22 17:05:18.193750,0 days 00:00:11.644313,1968.0,0.05,4m,1.6,0.2,1.0,896.0,1096,0.04,4m,2.0,0.0,1.0,552,8040.0,0.04,3m,2.0,0.2,2.0,400.0,2424.0,0.01,3m,1.2,0.2,1.5,408.0,7896.0,0.025,8m,2.0,0.6000000000000001,0.5,656.0,5128.0,0.035,5m,2.4000000000000004,0.8,2.0,592.0,1496.0,0.01,6m,2.2,0.8,1.0,584.0,2432.0,0.025,3m,1.2,0.8,1.5,376.0,3280.0,0.03,8m,1.0,0.6000000000000001,2.0,128.0,7152.0,0.02,8m,1.2,0.6000000000000001,1.5,856.0,0.45,10,COMPLETE
62,62,0.9281073788092083,2025-06-22 17:05:18.239168,2025-06-22 17:05:30.616806,0 days 00:00:12.377638,2384.0,0.045000000000000005,4m,1.6,0.2,1.0,872.0,1624,0.04,4m,1.8,0.0,1.0,408,2952.0,0.04,3m,2.0,0.2,2.0,400.0,1120.0,0.015,3m,1.6,0.0,2.0,464.0,6336.0,0.025,3m,2.2,0.6000000000000001,1.0,672.0,4584.0,0.04,5m,2.4000000000000004,0.8,2.0,696.0,1384.0,0.01,6m,2.2,0.8,1.0,520.0,1528.0,0.02,3m,1.2,0.8,1.5,496.0,4792.0,0.025,8m,1.2,0.6000000000000001,2.0,200.0,6776.0,0.02,8m,1.2,0.6000000000000001,1.5,928.0,0.45,10,COMPLETE
63,63,0.9389569575074814,2025-06-22 17:05:30.651455,2025-06-22 17:05:41.563281,0 days 00:00:10.911826,2912.0,0.04,4m,1.8,0.2,1.0,832.0,1200,0.025,4m,1.8,0.0,1.0,312,5024.0,0.035,3m,1.8,0.2,2.0,320.0,3312.0,0.03,4m,1.0,0.4,1.5,296.0,,,,,,,,5560.0,0.035,5m,2.6,1.0,2.0,456.0,1096.0,0.01,6m,1.8,0.6000000000000001,1.5,592.0,2808.0,0.025,3m,1.4,0.8,1.5,216.0,3136.0,0.03,8m,1.0,0.6000000000000001,2.0,184.0,6328.0,0.015,8m,1.0,0.8,1.5,896.0,0.15000000000000002,9,COMPLETE
64,64,0.9980847611436364,2025-06-22 17:05:41.618829,2025-06-22 17:05:50.882685,0 days 00:00:09.263856,2256.0,0.045000000000000005,6m,1.6,0.4,1.0,800.0,2200,0.045000000000000005,4m,1.6,0.4,1.0,208,6792.0,0.045000000000000005,3m,2.2,0.2,2.0,280.0,,,,,,,,,,,,,,,4800.0,0.03,2m,2.8,0.6000000000000001,2.0,640.0,2992.0,0.02,6m,2.0,0.8,1.0,712.0,2304.0,0.03,8m,1.0,0.6000000000000001,1.5,432.0,3616.0,0.035,6m,1.0,0.4,2.0,648.0,8000.0,0.01,8m,1.4,0.4,1.5,768.0,0.45,8,COMPLETE
65,65,0.9928872562429553,2025-06-22 17:05:50.911889,2025-06-22 17:05:56.670461,0 days 00:00:05.758572,1264.0,0.03,4m,1.4,0.2,1.0,976.0,2632,0.04,7m,2.2,0.2,0.5,504,2488.0,0.015,6m,2.8,0.8,0.5,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2656.0,0.025,6m,1.0,0.4,1.5,464.0,,,,,,,,7168.0,0.02,3m,1.2,0.6000000000000001,1.5,816.0,0.5,5,COMPLETE
66,66,0.9839214344629365,2025-06-22 17:05:56.686381,2025-06-22 17:06:01.122229,0 days 00:00:04.435848,1784.0,0.05,3m,2.4000000000000004,0.0,2.0,1000.0,3432,0.035,8m,1.6,0.0,1.0,128,7696.0,0.04,9m,2.0,0.0,1.5,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7608.0,0.025,9m,1.6,0.6000000000000001,1.0,864.0,0.4,4,COMPLETE
67,67,1.0110907079516278,2025-06-22 17:06:01.159943,2025-06-22 17:06:09.977319,0 days 00:00:08.817376,2520.0,0.04,8m,1.2,0.2,1.0,944.0,1344,0.045000000000000005,6m,2.0,0.2,1.5,856,5720.0,0.035,4m,2.8,1.0,1.0,600.0,5240.0,0.02,7m,1.4,0.2,1.0,624.0,,,,,,,,6456.0,0.04,7m,2.2,0.8,2.0,568.0,1680.0,0.015,5m,2.2,1.0,0.5,664.0,3576.0,0.015,5m,1.2,0.8,1.0,304.0,5784.0,0.025,5m,1.4,0.8,1.5,288.0,6888.0,0.02,7m,2.2,0.4,1.5,392.0,0.25,9,COMPLETE
68,68,0.9516645234642239,2025-06-22 17:06:10.029285,2025-06-22 17:06:19.302289,0 days 00:00:09.273004,8192.0,0.035,5m,2.0,1.0,1.5,904.0,1656,0.04,9m,1.8,0.4,1.0,736,2728.0,0.04,5m,2.4000000000000004,0.0,0.5,504.0,,,,,,,,,,,,,,,,,,,,,,5640.0,0.03,2m,2.4000000000000004,0.8,1.5,480.0,2088.0,0.01,3m,3.0,1.0,1.5,552.0,5280.0,0.05,3m,1.2,0.6000000000000001,2.0,360.0,3384.0,0.04,5m,1.0,0.6000000000000001,1.0,672.0,0.45,7,COMPLETE
69,69,0.9845798719558346,2025-06-22 17:06:19.331238,2025-06-22 17:06:28.471781,0 days 00:00:09.140543,3768.0,0.03,8m,1.6,0.8,1.0,712.0,1960,0.035,5m,1.4,0.0,0.5,960,2168.0,0.035,7m,3.0,0.4,2.0,480.0,,,,,,,,,,,,,,,3912.0,0.025,5m,2.0,1.0,1.5,272.0,4408.0,0.01,9m,2.6,1.0,1.0,568.0,3896.0,0.02,6m,1.4,0.6000000000000001,2.0,344.0,7904.0,0.03,2m,1.0,0.4,0.5,152.0,5136.0,0.015,3m,1.8,0.0,1.0,968.0,0.5,8,COMPLETE
