,number,value,datetime_start,datetime_complete,duration,params_AAPL_CSGP_beta_win,params_AAPL_CSGP_stop_loss,params_AAPL_CSGP_trade_freq,params_AAPL_CSGP_z_entry,params_AAPL_CSGP_z_exit,params_AAPL_CSGP_z_stop_scaler,params_AAPL_CSGP_z_win,params_AAPL_VRSK_beta_win,params_AAPL_VRSK_stop_loss,params_AAPL_VRSK_trade_freq,params_AAPL_VRSK_z_entry,params_AAPL_VRSK_z_exit,params_AAPL_VRSK_z_stop_scaler,params_AAPL_VRSK_z_win,params_ADBE_CPRT_beta_win,params_ADBE_CPRT_stop_loss,params_ADBE_CPRT_trade_freq,params_ADBE_CPRT_z_entry,params_ADBE_CPRT_z_exit,params_ADBE_CPRT_z_stop_scaler,params_ADBE_CPRT_z_win,params_AMGN_PANW_beta_win,params_AMGN_PANW_stop_loss,params_AMGN_PANW_trade_freq,params_AMGN_PANW_z_entry,params_AMGN_PANW_z_exit,params_AMGN_PANW_z_stop_scaler,params_AMGN_PANW_z_win,params_AMZN_WBD_beta_win,params_AMZN_WBD_stop_loss,params_AMZN_WBD_trade_freq,params_AMZN_WBD_z_entry,params_AMZN_WBD_z_exit,params_AMZN_WBD_z_stop_scaler,params_AMZN_WBD_z_win,params_AZN_MNST_beta_win,params_AZN_MNST_stop_loss,params_AZN_MNST_trade_freq,params_AZN_MNST_z_entry,params_AZN_MNST_z_exit,params_AZN_MNST_z_stop_scaler,params_AZN_MNST_z_win,params_CSGP_EA_beta_win,params_CSGP_EA_stop_loss,params_CSGP_EA_trade_freq,params_CSGP_EA_z_entry,params_CSGP_EA_z_exit,params_CSGP_EA_z_stop_scaler,params_CSGP_EA_z_win,params_KLAC_WBD_beta_win,params_KLAC_WBD_stop_loss,params_KLAC_WBD_trade_freq,params_KLAC_WBD_z_entry,params_KLAC_WBD_z_exit,params_KLAC_WBD_z_stop_scaler,params_KLAC_WBD_z_win,params_NFLX_WBD_beta_win,params_NFLX_WBD_stop_loss,params_NFLX_WBD_trade_freq,params_NFLX_WBD_z_entry,params_NFLX_WBD_z_exit,params_NFLX_WBD_z_stop_scaler,params_NFLX_WBD_z_win,params_NVDA_WBD_beta_win,params_NVDA_WBD_stop_loss,params_NVDA_WBD_trade_freq,params_NVDA_WBD_z_entry,params_NVDA_WBD_z_exit,params_NVDA_WBD_z_stop_scaler,params_NVDA_WBD_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,0.997414633874687,2025-06-22 17:27:32.817775,2025-06-22 17:27:36.925521,0 days 00:00:04.107746,2968.0,0.03,5m,1.6,0.2,2.0,664.0,4616.0,0.015,3m,3.0,0.2,1.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3344,0.025,6m,2.6,0.4,0.5,560,,,,,,,,,,,,,,,0.5,3,COMPLETE
1,1,0.9718934238319672,2025-06-22 17:27:36.968815,2025-06-22 17:27:46.311763,0 days 00:00:09.342948,5296.0,0.05,2m,2.8,0.4,1.5,928.0,6536.0,0.04,4m,2.4000000000000004,0.2,2.0,984.0,1688.0,0.05,6m,1.0,1.0,0.5,240.0,,,,,,,,1128.0,0.025,7m,1.2,0.4,2.0,544.0,6640.0,0.035,8m,3.0,0.2,1.5,1016.0,,,,,,,,5560,0.025,3m,2.0,0.6000000000000001,1.0,808,6792.0,0.02,3m,1.4,0.8,1.0,656.0,,,,,,,,0.35000000000000003,7,COMPLETE
2,2,0.985234296166699,2025-06-22 17:27:46.354455,2025-06-22 17:27:49.818683,0 days 00:00:03.464228,2216.0,0.02,7m,2.8,0.0,1.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160,0.02,2m,1.2,1.0,0.5,168,,,,,,,,,,,,,,,0.4,2,COMPLETE
3,3,0.9813853787366354,2025-06-22 17:27:49.844453,2025-06-22 17:28:01.870927,0 days 00:00:12.026474,4664.0,0.03,2m,2.2,1.0,1.0,576.0,7592.0,0.03,3m,2.2,0.0,0.5,576.0,8072.0,0.05,6m,2.2,0.4,2.0,624.0,5192.0,0.04,9m,1.2,0.0,1.5,360.0,7048.0,0.035,8m,1.4,0.8,1.5,160.0,7208.0,0.025,6m,2.8,0.4,0.5,512.0,5984.0,0.01,7m,2.6,0.6000000000000001,1.0,232.0,3408,0.02,6m,1.2,1.0,0.5,880,3624.0,0.02,2m,1.8,0.2,1.5,784.0,6216.0,0.04,9m,1.0,1.0,1.0,648.0,0.15000000000000002,10,COMPLETE
4,4,1.0702918969171806,2025-06-22 17:28:01.904043,2025-06-22 17:28:10.570758,0 days 00:00:08.666715,4312.0,0.04,2m,1.4,0.8,0.5,672.0,7728.0,0.035,9m,2.0,0.2,1.0,160.0,6296.0,0.035,9m,2.8,0.6000000000000001,1.0,656.0,,,,,,,,1968.0,0.025,5m,1.0,0.2,1.0,680.0,3864.0,0.05,9m,1.4,0.2,1.5,624.0,,,,,,,,2848,0.035,2m,1.2,0.4,0.5,176,5608.0,0.04,7m,3.0,0.8,2.0,1000.0,,,,,,,,0.1,7,COMPLETE
5,5,1.0006384630725584,2025-06-22 17:28:10.605865,2025-06-22 17:28:18.559594,0 days 00:00:07.953729,8040.0,0.015,6m,3.0,0.0,0.5,296.0,7032.0,0.015,3m,2.2,1.0,1.0,680.0,3376.0,0.03,5m,1.2,0.4,2.0,648.0,,,,,,,,2000.0,0.035,5m,2.6,0.2,1.0,712.0,1352.0,0.025,9m,1.0,0.8,2.0,992.0,,,,,,,,2240,0.015,9m,2.2,0.6000000000000001,1.5,168,6832.0,0.025,3m,1.2,0.2,2.0,320.0,,,,,,,,0.35000000000000003,7,COMPLETE
6,6,0.9679922967326343,2025-06-22 17:28:18.591258,2025-06-22 17:28:29.410825,0 days 00:00:10.819567,6288.0,0.01,7m,2.4000000000000004,0.4,1.5,576.0,1336.0,0.015,7m,1.2,0.8,0.5,288.0,2840.0,0.015,7m,1.2,0.0,2.0,680.0,7896.0,0.015,9m,1.6,1.0,2.0,432.0,1792.0,0.05,7m,2.4000000000000004,0.4,2.0,312.0,7984.0,0.04,5m,2.8,0.0,1.0,400.0,1600.0,0.04,2m,3.0,0.2,2.0,880.0,2672,0.05,3m,1.4,0.8,1.0,992,4768.0,0.04,7m,1.4,1.0,1.0,344.0,6208.0,0.015,8m,1.4,0.4,1.5,536.0,0.1,10,COMPLETE
7,7,0.989118791512546,2025-06-22 17:28:29.471618,2025-06-22 17:28:33.539957,0 days 00:00:04.068339,2008.0,0.045000000000000005,4m,1.4,1.0,2.0,696.0,4800.0,0.01,7m,1.2,0.0,2.0,192.0,,,,,,,,,,,,,,,6144.0,0.05,9m,1.8,0.0,0.5,432.0,,,,,,,,,,,,,,,1288,0.05,8m,2.8,1.0,1.5,832,,,,,,,,,,,,,,,0.4,4,COMPLETE
8,8,0.9928415990205816,2025-06-22 17:28:33.571942,2025-06-22 17:28:41.719470,0 days 00:00:08.147528,4088.0,0.05,7m,1.0,0.0,2.0,200.0,1664.0,0.03,9m,1.4,0.8,2.0,672.0,6896.0,0.05,4m,2.2,0.8,2.0,704.0,,,,,,,,4000.0,0.025,2m,1.6,0.6000000000000001,2.0,560.0,7320.0,0.04,2m,1.6,0.0,1.5,816.0,,,,,,,,5704,0.02,8m,1.4,0.2,2.0,976,,,,,,,,,,,,,,,0.3,6,COMPLETE
9,9,0.9993081107881816,2025-06-22 17:28:41.756852,2025-06-22 17:28:50.405579,0 days 00:00:08.648727,7440.0,0.04,4m,3.0,0.4,0.5,304.0,3296.0,0.015,6m,2.4000000000000004,0.8,1.0,944.0,3104.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,616.0,,,,,,,,5728.0,0.03,4m,1.2,0.2,2.0,288.0,3600.0,0.02,3m,3.0,0.4,2.0,680.0,,,,,,,,4872,0.015,5m,1.0,0.2,1.0,584,1080.0,0.02,9m,2.0,0.4,1.0,840.0,,,,,,,,0.15000000000000002,7,COMPLETE
10,10,1.0,2025-06-22 17:28:50.450036,2025-06-22 17:28:51.795532,0 days 00:00:01.345496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7840,0.04,7m,1.8,0.0,2.0,384,,,,,,,,,,,,,,,0.05,1,COMPLETE
11,11,0.9491123573839114,2025-06-22 17:28:51.842622,2025-06-22 17:28:59.738223,0 days 00:00:07.895601,7808.0,0.01,6m,1.8,0.8,0.5,408.0,8016.0,0.05,8m,1.8,0.4,1.5,560.0,5528.0,0.03,5m,3.0,0.4,1.0,944.0,,,,,,,,3080.0,0.01,5m,3.0,0.0,1.0,880.0,1232.0,0.05,9m,1.0,1.0,2.0,216.0,8120.0,0.05,6m,1.0,1.0,0.5,152.0,2424,0.035,9m,2.4000000000000004,0.6000000000000001,1.5,192,7768.0,0.05,6m,3.0,0.0,2.0,160.0,,,,,,,,0.25,8,COMPLETE
12,12,1.0055902651408075,2025-06-22 17:28:59.766836,2025-06-22 17:29:05.054355,0 days 00:00:05.287519,6048.0,0.02,3m,1.0,0.8,0.5,416.0,6248.0,0.04,9m,1.8,1.0,1.0,752.0,4736.0,0.03,9m,1.6,0.2,1.0,376.0,,,,,,,,2680.0,0.04,5m,2.4000000000000004,0.2,1.0,856.0,,,,,,,,,,,,,,,4088,0.01,9m,2.2,0.4,1.5,336,,,,,,,,,,,,,,,0.25,5,COMPLETE
13,13,0.9991857065369975,2025-06-22 17:29:05.082916,2025-06-22 17:29:11.995846,0 days 00:00:06.912930,5912.0,0.035,3m,1.0,0.8,1.0,440.0,5864.0,0.04,9m,1.8,0.4,1.5,416.0,5072.0,0.035,9m,1.6,0.0,1.0,312.0,,,,,,,,3192.0,0.015,5m,2.2,0.2,0.5,992.0,,,,,,,,,,,,,,,3936,0.04,2m,1.8,0.4,1.5,344,,,,,,,,,,,,,,,0.2,5,COMPLETE
14,14,0.9957195630948834,2025-06-22 17:29:12.028762,2025-06-22 17:29:17.080234,0 days 00:00:05.051472,3728.0,0.025,9m,1.4,0.8,0.5,792.0,5712.0,0.04,9m,1.6,0.6000000000000001,1.0,800.0,6280.0,0.02,9m,3.0,0.2,0.5,392.0,,,,,,,,2752.0,0.04,6m,2.0,0.6000000000000001,1.0,752.0,,,,,,,,,,,,,,,7088,0.01,4m,1.8,0.2,1.0,368,,,,,,,,,,,,,,,0.05,5,COMPLETE
15,15,0.9708981946738706,2025-06-22 17:29:17.118293,2025-06-22 17:29:29.170155,0 days 00:00:12.051862,6392.0,0.04,3m,1.2,0.6000000000000001,1.0,1024.0,6352.0,0.05,5m,2.8,1.0,0.5,400.0,4368.0,0.04,9m,1.8,0.6000000000000001,1.0,432.0,,,,,,,,4888.0,0.02,3m,2.8,1.0,1.5,776.0,4144.0,0.01,4m,1.8,0.6000000000000001,1.0,736.0,1104.0,0.015,5m,1.4,0.0,2.0,960.0,4064,0.035,9m,3.0,0.4,2.0,288,4600.0,0.035,5m,3.0,0.8,0.5,936.0,1280.0,0.05,2m,3.0,0.0,0.5,136.0,0.2,9,COMPLETE
16,16,0.9898280853924173,2025-06-22 17:29:29.262757,2025-06-22 17:29:38.800426,0 days 00:00:09.537669,5192.0,0.02,8m,1.8,0.6000000000000001,0.5,464.0,8136.0,0.035,2m,2.0,0.2,1.5,840.0,,,,,,,,,,,,,,,4368.0,0.04,5m,2.2,0.2,1.0,1008.0,,,,,,,,,,,,,,,5040,0.03,2m,2.2,0.0,0.5,520,,,,,,,,,,,,,,,0.25,4,COMPLETE
17,17,1.0146452130415158,2025-06-22 17:29:38.849663,2025-06-22 17:29:45.430577,0 days 00:00:06.580914,1120.0,0.025,3m,1.2,0.8,0.5,712.0,3488.0,0.025,9m,1.6,0.6000000000000001,1.0,128.0,6992.0,0.025,8m,2.6,0.2,1.5,888.0,,,,,,,,1112.0,0.045000000000000005,5m,1.8,0.0,0.5,688.0,5248.0,0.05,7m,2.2,0.2,0.5,144.0,,,,,,,,6552,0.045000000000000005,7m,1.6,0.4,1.0,472,,,,,,,,,,,,,,,0.15000000000000002,6,COMPLETE
18,18,0.9664044447106439,2025-06-22 17:29:45.480459,2025-06-22 17:29:54.800037,0 days 00:00:09.319578,1184.0,0.035,2m,1.4,1.0,1.5,736.0,3128.0,0.025,9m,1.0,0.6000000000000001,1.5,336.0,7848.0,0.02,8m,2.6,0.8,1.5,904.0,,,,,,,,1168.0,0.045000000000000005,3m,1.0,0.0,0.5,648.0,5472.0,0.05,7m,2.2,0.2,0.5,168.0,4104.0,0.025,4m,2.0,1.0,0.5,552.0,6752,0.045000000000000005,7m,1.6,0.8,0.5,680,2672.0,0.01,7m,2.6,0.6000000000000001,2.0,1016.0,,,,,,,,0.15000000000000002,8,COMPLETE
19,19,0.9928407589370561,2025-06-22 17:29:54.864003,2025-06-22 17:30:03.247906,0 days 00:00:08.383903,1024.0,0.035,5m,2.0,0.6000000000000001,1.0,832.0,3288.0,0.025,8m,1.6,0.4,0.5,152.0,6680.0,0.04,2m,2.6,0.2,1.5,832.0,,,,,,,,8080.0,0.025,2m,1.0,0.0,0.5,616.0,2944.0,0.05,7m,2.2,0.2,1.0,384.0,,,,,,,,6328,0.045000000000000005,7m,1.0,0.2,1.0,464,,,,,,,,,,,,,,,0.1,6,COMPLETE
20,20,1.019767481847352,2025-06-22 17:30:03.322823,2025-06-22 17:30:11.911881,0 days 00:00:08.589058,3352.0,0.025,8m,1.6,0.8,0.5,616.0,2472.0,0.025,6m,2.6,0.6000000000000001,1.0,472.0,6048.0,0.01,8m,2.8,0.8,1.5,816.0,,,,,,,,1936.0,0.03,4m,1.6,0.4,1.5,416.0,5232.0,0.04,7m,1.4,0.6000000000000001,1.5,512.0,3648.0,0.035,9m,2.0,0.6000000000000001,1.5,552.0,7536,0.035,4m,1.4,0.8,0.5,704,5616.0,0.05,4m,2.4000000000000004,1.0,1.5,560.0,,,,,,,,0.1,8,COMPLETE
21,21,0.9909910655220692,2025-06-22 17:30:11.961874,2025-06-22 17:30:20.454327,0 days 00:00:08.492453,3304.0,0.025,8m,1.6,0.8,0.5,608.0,2288.0,0.025,6m,2.6,0.6000000000000001,1.0,472.0,6064.0,0.01,8m,2.8,0.8,1.5,816.0,,,,,,,,2008.0,0.03,4m,1.6,0.4,1.5,456.0,5320.0,0.045000000000000005,7m,1.4,0.6000000000000001,1.5,544.0,3880.0,0.035,9m,2.0,0.6000000000000001,1.5,552.0,7848,0.035,4m,1.4,0.8,0.5,672,5584.0,0.05,4m,2.4000000000000004,1.0,1.5,536.0,,,,,,,,0.1,8,COMPLETE
22,22,1.0073372238241929,2025-06-22 17:30:20.483739,2025-06-22 17:30:27.948770,0 days 00:00:07.465031,2360.0,0.025,8m,1.2,1.0,0.5,512.0,3880.0,0.02,6m,2.0,0.6000000000000001,1.0,248.0,7216.0,0.02,8m,2.6,1.0,1.5,792.0,,,,,,,,1032.0,0.02,4m,1.8,0.4,1.5,448.0,5304.0,0.04,7m,1.4,0.4,1.5,336.0,,,,,,,,7192,0.04,4m,1.6,0.6000000000000001,0.5,704,5888.0,0.04,4m,2.4000000000000004,0.8,1.5,544.0,,,,,,,,0.05,7,COMPLETE
23,23,0.9734959023719758,2025-06-22 17:30:27.969186,2025-06-22 17:30:38.013136,0 days 00:00:10.043950,4424.0,0.04,9m,1.6,0.6000000000000001,1.0,744.0,2528.0,0.035,4m,3.0,0.4,1.0,152.0,5728.0,0.01,8m,2.8,0.6000000000000001,1.5,1016.0,,,,,,,,2128.0,0.035,9m,1.4,0.6000000000000001,1.5,528.0,2776.0,0.045000000000000005,9m,2.0,0.8,1.5,688.0,2992.0,0.025,3m,1.6,0.4,1.5,736.0,6392,0.03,5m,1.2,0.8,1.0,464,5672.0,0.045000000000000005,4m,2.6,1.0,2.0,672.0,2080.0,0.01,4m,2.6,1.0,2.0,1000.0,0.2,9,COMPLETE
24,24,0.9657048980919232,2025-06-22 17:30:38.065212,2025-06-22 17:30:45.695108,0 days 00:00:07.629896,1792.0,0.03,2m,1.2,0.8,0.5,656.0,4128.0,0.035,5m,2.6,0.8,1.5,128.0,7360.0,0.025,8m,3.0,0.8,1.0,512.0,,,,,,,,3608.0,0.03,6m,1.8,0.2,0.5,680.0,4616.0,0.045000000000000005,7m,2.4000000000000004,0.2,1.0,488.0,,,,,,,,8080,0.045000000000000005,4m,1.6,0.4,0.5,744,,,,,,,,,,,,,,,0.1,6,COMPLETE
25,25,0.9875970727872889,2025-06-22 17:30:45.717218,2025-06-22 17:30:57.024029,0 days 00:00:11.306811,2944.0,0.025,8m,1.8,0.6000000000000001,0.5,512.0,5072.0,0.02,2m,2.2,0.2,0.5,304.0,6608.0,0.04,7m,2.4000000000000004,0.6000000000000001,1.5,768.0,,,,,,,,1656.0,0.02,8m,1.4,0.0,1.0,824.0,5976.0,0.035,6m,1.4,0.6000000000000001,0.5,816.0,6208.0,0.05,8m,2.4000000000000004,0.8,1.0,368.0,5912,0.035,2m,1.0,0.6000000000000001,1.0,272,4208.0,0.035,8m,2.8,0.6000000000000001,1.5,400.0,3776.0,0.025,3m,2.0,0.0,2.0,136.0,0.15000000000000002,9,COMPLETE
26,26,0.9762344433686402,2025-06-22 17:30:57.075381,2025-06-22 17:31:07.710518,0 days 00:00:10.635137,3488.0,0.015,3m,1.4,1.0,1.0,792.0,2368.0,0.03,6m,1.6,0.6000000000000001,1.0,480.0,3984.0,0.035,2m,2.8,1.0,0.5,520.0,,,,,,,,2568.0,0.045000000000000005,5m,2.0,0.4,1.5,360.0,4560.0,0.05,2m,1.8,0.0,1.5,256.0,5528.0,0.04,9m,2.4000000000000004,0.4,1.5,720.0,7248,0.04,7m,1.4,0.2,0.5,616,8112.0,0.045000000000000005,7m,2.2,0.8,2.0,736.0,,,,,,,,0.05,8,COMPLETE
27,27,0.9814174576561264,2025-06-22 17:31:07.742560,2025-06-22 17:31:12.696335,0 days 00:00:04.953775,2688.0,0.045000000000000005,3m,2.0,0.8,0.5,648.0,3840.0,0.02,9m,1.4,0.4,1.5,336.0,,,,,,,,,,,,,,,1600.0,0.025,4m,1.6,0.8,0.5,232.0,,,,,,,,,,,,,,,7480,0.03,7m,1.2,0.4,1.0,472,,,,,,,,,,,,,,,0.1,4,COMPLETE
28,28,0.976415881473029,2025-06-22 17:31:12.756418,2025-06-22 17:31:20.846242,0 days 00:00:08.089824,1704.0,0.035,2m,1.2,0.8,1.0,960.0,2064.0,0.025,9m,2.4000000000000004,0.0,1.0,248.0,5296.0,0.025,4m,2.4000000000000004,0.4,1.5,912.0,,,,,,,,3600.0,0.015,5m,1.2,0.2,1.0,488.0,3616.0,0.045000000000000005,5m,1.2,0.4,1.0,616.0,,,,,,,,6640,0.045000000000000005,4m,1.6,0.8,0.5,752,,,,,,,,,,,,,,,0.2,6,COMPLETE
29,29,0.9958948919933561,2025-06-22 17:31:20.892910,2025-06-22 17:31:24.159432,0 days 00:00:03.266522,4944.0,0.015,8m,1.6,0.6000000000000001,0.5,528.0,2776.0,0.035,6m,2.0,0.8,0.5,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3144,0.025,6m,2.0,0.4,0.5,240,,,,,,,,,,,,,,,0.5,3,COMPLETE
30,30,1.0042299715670675,2025-06-22 17:31:24.187033,2025-06-22 17:31:33.863989,0 days 00:00:09.676956,3960.0,0.03,5m,1.6,0.2,1.5,712.0,1136.0,0.045000000000000005,9m,2.8,0.6000000000000001,1.0,480.0,7568.0,0.035,3m,2.0,0.8,1.0,1008.0,,,,,,,,2344.0,0.035,4m,1.6,0.0,1.5,616.0,6160.0,0.035,3m,2.4000000000000004,0.8,2.0,128.0,,,,,,,,1872,0.05,2m,1.8,0.6000000000000001,0.5,512,6808.0,0.045000000000000005,8m,1.8,1.0,1.5,448.0,,,,,,,,0.15000000000000002,7,COMPLETE
31,31,1.0597372288241398,2025-06-22 17:31:33.897959,2025-06-22 17:31:41.627925,0 days 00:00:07.729966,2384.0,0.025,8m,1.2,1.0,0.5,520.0,4168.0,0.02,6m,2.0,0.6000000000000001,1.0,248.0,7208.0,0.015,8m,2.6,1.0,1.5,768.0,,,,,,,,1216.0,0.02,4m,1.8,0.4,1.5,448.0,5288.0,0.04,7m,1.4,0.4,1.5,328.0,,,,,,,,7456,0.04,4m,1.6,0.6000000000000001,0.5,656,5736.0,0.035,4m,2.4000000000000004,0.8,1.5,552.0,,,,,,,,0.05,7,COMPLETE
32,32,1.012353138802638,2025-06-22 17:31:41.654504,2025-06-22 17:31:49.633056,0 days 00:00:07.978552,2640.0,0.025,8m,1.2,1.0,0.5,632.0,4408.0,0.02,6m,2.2,0.6000000000000001,1.0,216.0,6200.0,0.015,8m,2.8,1.0,1.5,728.0,,,,,,,,1424.0,0.015,4m,2.0,0.4,1.5,384.0,4792.0,0.04,7m,1.6,0.2,1.5,288.0,,,,,,,,7664,0.04,4m,1.4,0.6000000000000001,0.5,608,5936.0,0.03,4m,2.6,0.6000000000000001,1.5,616.0,,,,,,,,0.05,7,COMPLETE
33,33,1.0091936748375552,2025-06-22 17:31:49.666382,2025-06-22 17:31:58.927534,0 days 00:00:09.261152,3136.0,0.02,8m,1.4,1.0,0.5,544.0,5120.0,0.01,6m,1.8,0.4,1.0,216.0,7064.0,0.015,8m,2.6,0.8,1.5,864.0,,,,,,,,1568.0,0.02,4m,1.8,0.6000000000000001,1.5,584.0,5864.0,0.03,7m,1.2,0.4,1.5,448.0,2384.0,0.03,9m,1.6,0.8,2.0,368.0,5992,0.035,3m,1.2,0.6000000000000001,1.0,128,5208.0,0.035,4m,2.2,0.8,1.0,504.0,,,,,,,,0.1,8,COMPLETE
34,34,0.9510212245081539,2025-06-22 17:31:59.000192,2025-06-22 17:32:07.742822,0 days 00:00:08.742630,1576.0,0.03,2m,1.0,0.8,0.5,864.0,3872.0,0.025,4m,2.0,0.2,1.0,128.0,5920.0,0.01,8m,2.2,1.0,1.0,752.0,,,,,,,,1032.0,0.025,4m,2.2,0.4,2.0,496.0,3776.0,0.045000000000000005,4m,1.6,0.2,1.5,600.0,,,,,,,,5296,0.025,4m,1.6,0.8,0.5,904,,,,,,,,,,,,,,,0.05,6,COMPLETE
35,35,0.93007389522255,2025-06-22 17:32:07.763903,2025-06-22 17:32:18.146459,0 days 00:00:10.382556,2368.0,0.02,8m,2.4000000000000004,1.0,1.0,360.0,3456.0,0.03,3m,2.6,0.6000000000000001,1.0,280.0,8192.0,0.025,8m,2.8,0.6000000000000001,1.5,552.0,,,,,,,,2248.0,0.03,5m,1.4,0.2,1.0,384.0,5048.0,0.05,8m,1.2,0.6000000000000001,1.0,320.0,4984.0,0.02,4m,1.0,0.0,1.0,432.0,8184,0.045000000000000005,6m,2.0,0.4,0.5,824,3704.0,0.04,5m,2.8,1.0,0.5,840.0,7976.0,0.03,5m,2.0,0.6000000000000001,0.5,904.0,0.15000000000000002,9,COMPLETE
36,36,1.0110083845839202,2025-06-22 17:32:18.212887,2025-06-22 17:32:27.319805,0 days 00:00:09.106918,4528.0,0.025,6m,1.6,0.8,0.5,600.0,7104.0,0.02,6m,1.4,0.8,0.5,192.0,6584.0,0.015,9m,3.0,0.8,1.5,864.0,,,,,,,,3104.0,0.01,7m,1.0,0.4,1.5,720.0,4216.0,0.03,9m,1.8,0.4,1.5,208.0,,,,,,,,6776,0.04,2m,1.2,1.0,1.0,752,6616.0,0.03,2m,2.2,0.8,2.0,720.0,,,,,,,,0.1,7,COMPLETE
37,37,1.0038399413850245,2025-06-22 17:32:27.351243,2025-06-22 17:32:36.877569,0 days 00:00:09.526326,1432.0,0.03,9m,1.8,1.0,1.0,688.0,2992.0,0.03,7m,2.4000000000000004,0.4,1.5,640.0,7600.0,0.01,6m,2.4000000000000004,1.0,0.5,152.0,1088.0,0.01,6m,3.0,0.4,0.5,1024.0,1568.0,0.035,8m,1.2,0.8,1.0,168.0,2944.0,0.04,7m,2.0,0.2,2.0,416.0,7304.0,0.04,7m,3.0,0.8,1.5,744.0,3008,0.035,8m,1.4,0.6000000000000001,0.5,424,6328.0,0.05,9m,2.8,0.6000000000000001,1.5,600.0,3616.0,0.05,7m,2.6,0.4,1.5,472.0,0.05,10,COMPLETE
38,38,0.9983153102399327,2025-06-22 17:32:36.921646,2025-06-22 17:32:43.716640,0 days 00:00:06.794994,2112.0,0.02,4m,1.4,0.2,0.5,752.0,1784.0,0.025,3m,2.2,0.0,0.5,536.0,7096.0,0.02,8m,2.6,1.0,1.0,936.0,,,,,,,,1968.0,0.02,7m,2.0,0.2,2.0,536.0,,,,,,,,,,,,,,,4424,0.03,3m,1.4,0.8,1.0,640,,,,,,,,,,,,,,,0.3,5,COMPLETE
39,39,1.006730687528888,2025-06-22 17:32:43.747917,2025-06-22 17:32:53.745140,0 days 00:00:09.997223,2824.0,0.015,7m,1.2,0.4,0.5,160.0,4632.0,0.015,8m,1.6,0.2,1.0,344.0,1032.0,0.045000000000000005,6m,2.8,0.2,1.5,704.0,,,,,,,,5392.0,0.025,3m,1.8,0.4,1.5,680.0,6504.0,0.045000000000000005,7m,1.4,0.0,0.5,352.0,3344.0,0.03,2m,1.8,0.2,1.0,672.0,7408,0.05,4m,2.0,1.0,0.5,552,5184.0,0.04,6m,2.4000000000000004,0.4,1.5,464.0,,,,,,,,0.5,8,COMPLETE
40,40,0.9366470025872504,2025-06-22 17:32:53.808798,2025-06-22 17:33:02.865494,0 days 00:00:09.056696,3808.0,0.05,2m,2.2,1.0,1.5,576.0,4240.0,0.03,2m,2.0,0.8,1.0,184.0,6216.0,0.025,5m,2.0,0.6000000000000001,2.0,616.0,,,,,,,,1256.0,0.035,9m,1.6,0.6000000000000001,0.5,304.0,4328.0,0.035,9m,2.2,0.6000000000000001,1.5,480.0,,,,,,,,5536,0.04,5m,1.0,0.2,1.0,880,2864.0,0.045000000000000005,7m,1.8,1.0,2.0,216.0,,,,,,,,0.15000000000000002,7,COMPLETE
41,41,1.024732033411357,2025-06-22 17:33:02.897162,2025-06-22 17:33:10.691280,0 days 00:00:07.794118,2624.0,0.025,8m,1.2,1.0,0.5,624.0,4432.0,0.02,6m,2.2,0.6000000000000001,1.0,240.0,6464.0,0.01,8m,2.8,1.0,1.5,736.0,,,,,,,,1448.0,0.015,4m,2.0,0.4,1.5,384.0,4952.0,0.04,7m,1.2,0.2,1.5,264.0,,,,,,,,7640,0.04,4m,1.2,0.6000000000000001,0.5,584,6000.0,0.03,4m,2.6,0.6000000000000001,1.5,616.0,,,,,,,,0.05,7,COMPLETE
42,42,1.0030394827982756,2025-06-22 17:33:10.736725,2025-06-22 17:33:17.610958,0 days 00:00:06.874233,3400.0,0.025,8m,1.0,1.0,0.5,480.0,5440.0,0.02,6m,2.2,0.6000000000000001,1.0,272.0,6576.0,0.01,8m,3.0,1.0,1.5,672.0,,,,,,,,1856.0,0.015,4m,2.4000000000000004,0.4,1.5,400.0,5728.0,0.04,8m,1.2,0.2,1.5,128.0,,,,,,,,3592,0.045000000000000005,4m,1.2,0.6000000000000001,0.5,544,,,,,,,,,,,,,,,0.1,6,COMPLETE
43,43,1.0185279110072152,2025-06-22 17:33:17.644849,2025-06-22 17:33:26.559526,0 days 00:00:08.914677,4352.0,0.03,8m,1.2,0.8,0.5,680.0,3464.0,0.015,6m,2.8,0.6000000000000001,1.0,224.0,5560.0,0.015,8m,2.6,0.8,2.0,776.0,,,,,,,,6800.0,0.025,2m,2.2,0.2,1.5,344.0,5240.0,0.035,7m,1.0,0.4,1.5,248.0,,,,,,,,6984,0.035,4m,1.2,0.6000000000000001,0.5,792,7456.0,0.025,4m,3.0,0.8,1.5,1016.0,,,,,,,,0.05,7,COMPLETE
