,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_AAPL_PANW_beta_win,params_AAPL_PANW_stop_loss,params_AAPL_PANW_trade_freq,params_AAPL_PANW_z_entry,params_AAPL_PANW_z_exit,params_AAPL_PANW_z_stop_scaler,params_AAPL_PANW_z_win,params_CPRT_FAST_beta_win,params_CPRT_FAST_stop_loss,params_CPRT_FAST_trade_freq,params_CPRT_FAST_z_entry,params_CPRT_FAST_z_exit,params_CPRT_FAST_z_stop_scaler,params_CPRT_FAST_z_win,params_CSCO_LCID_beta_win,params_CSCO_LCID_stop_loss,params_CSCO_LCID_trade_freq,params_CSCO_LCID_z_entry,params_CSCO_LCID_z_exit,params_CSCO_LCID_z_stop_scaler,params_CSCO_LCID_z_win,params_DDOG_ILMN_beta_win,params_DDOG_ILMN_stop_loss,params_DDOG_ILMN_trade_freq,params_DDOG_ILMN_z_entry,params_DDOG_ILMN_z_exit,params_DDOG_ILMN_z_stop_scaler,params_DDOG_ILMN_z_win,params_FAST_ON_beta_win,params_FAST_ON_stop_loss,params_FAST_ON_trade_freq,params_FAST_ON_z_entry,params_FAST_ON_z_exit,params_FAST_ON_z_stop_scaler,params_FAST_ON_z_win,params_GILD_TEAM_beta_win,params_GILD_TEAM_stop_loss,params_GILD_TEAM_trade_freq,params_GILD_TEAM_z_entry,params_GILD_TEAM_z_exit,params_GILD_TEAM_z_stop_scaler,params_GILD_TEAM_z_win,params_HON_TEAM_beta_win,params_HON_TEAM_stop_loss,params_HON_TEAM_trade_freq,params_HON_TEAM_z_entry,params_HON_TEAM_z_exit,params_HON_TEAM_z_stop_scaler,params_HON_TEAM_z_win,params_INTU_TTD_beta_win,params_INTU_TTD_stop_loss,params_INTU_TTD_trade_freq,params_INTU_TTD_z_entry,params_INTU_TTD_z_exit,params_INTU_TTD_z_stop_scaler,params_INTU_TTD_z_win,params_MNST_PYPL_beta_win,params_MNST_PYPL_stop_loss,params_MNST_PYPL_trade_freq,params_MNST_PYPL_z_entry,params_MNST_PYPL_z_exit,params_MNST_PYPL_z_stop_scaler,params_MNST_PYPL_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,1.0,2025-06-22 17:12:29.293783,2025-06-22 17:12:31.726204,0 days 00:00:02.432421,7840,0.035,7m,3.0,0.0,2.0,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
11,11,0.9924642142428237,2025-06-22 17:12:31.807751,2025-06-22 17:12:37.512205,0 days 00:00:05.704454,4008,0.03,6m,2.4000000000000004,0.4,0.5,560,7888.0,0.01,8m,3.0,1.0,1.5,1024.0,5288.0,0.05,3m,3.0,0.0,0.5,416.0,,,,,,,,3224.0,0.03,5m,2.0,1.0,1.0,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,4,COMPLETE
12,12,1.001575125895378,2025-06-22 17:12:37.549672,2025-06-22 17:12:48.732538,0 days 00:00:11.182866,3816,0.01,6m,1.8,0.8,0.5,400,8152.0,0.04,8m,2.2,1.0,1.5,136.0,3184.0,0.025,3m,3.0,0.4,0.5,496.0,7432.0,0.05,9m,1.0,1.0,0.5,1016.0,3144.0,0.03,8m,2.0,0.6000000000000001,1.5,464.0,8048.0,0.035,8m,1.8,0.2,1.5,984.0,7168.0,0.01,7m,2.0,1.0,0.5,136.0,2432.0,0.01,2m,2.4000000000000004,0.0,1.5,616.0,3128.0,0.05,9m,1.0,0.0,1.0,200.0,5656.0,0.01,6m,2.2,1.0,0.5,224.0,0.2,10,COMPLETE
13,13,0.9916723951868129,2025-06-22 17:12:48.782901,2025-06-22 17:12:53.109552,0 days 00:00:04.326651,4392,0.01,6m,1.8,0.8,0.5,376,,,,,,,,3192.0,0.025,2m,3.0,0.4,1.5,432.0,,,,,,,,2872.0,0.025,8m,1.8,0.6000000000000001,2.0,368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,COMPLETE
14,14,1.0143461077390095,2025-06-22 17:12:53.129586,2025-06-22 17:13:03.375798,0 days 00:00:10.246212,6728,0.01,4m,2.6,0.8,1.0,648,3992.0,0.04,3m,2.2,1.0,0.5,128.0,3344.0,0.02,5m,2.8,0.4,1.5,408.0,1304.0,0.05,5m,2.6,1.0,0.5,1000.0,1112.0,0.035,5m,1.6,0.2,1.5,744.0,5248.0,0.03,8m,1.6,0.0,1.0,976.0,7688.0,0.01,5m,1.2,1.0,0.5,136.0,2160.0,0.01,8m,2.8,0.0,0.5,504.0,,,,,,,,5496.0,0.01,6m,2.2,1.0,0.5,136.0,0.25,9,COMPLETE
15,15,0.979198112383169,2025-06-22 17:13:03.437533,2025-06-22 17:13:09.725285,0 days 00:00:06.287752,6960,0.04,4m,2.6,0.6000000000000001,1.0,712,3824.0,0.01,3m,2.8,0.8,0.5,936.0,4144.0,0.02,5m,2.6,0.6000000000000001,1.5,312.0,,,,,,,,1248.0,0.04,5m,1.4,0.2,2.0,768.0,5248.0,0.02,8m,1.6,0.0,0.5,984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,5,COMPLETE
16,16,1.025525089175846,2025-06-22 17:13:09.794062,2025-06-22 17:13:19.740576,0 days 00:00:09.946514,6632,0.025,4m,2.6,0.2,1.5,648,3240.0,0.045000000000000005,6m,2.0,0.8,0.5,840.0,5944.0,0.02,8m,1.8,0.2,1.5,304.0,1664.0,0.025,5m,3.0,0.0,0.5,1016.0,1064.0,0.035,9m,1.6,0.2,1.5,800.0,4464.0,0.025,2m,3.0,0.2,1.0,320.0,7880.0,0.025,5m,1.0,1.0,0.5,512.0,1144.0,0.05,8m,3.0,0.0,0.5,136.0,,,,,,,,5184.0,0.01,7m,2.2,0.8,1.0,136.0,0.45,9,COMPLETE
17,17,0.9939797120110196,2025-06-22 17:13:19.787969,2025-06-22 17:13:29.973115,0 days 00:00:10.185146,6880,0.04,4m,3.0,0.0,1.5,664,3200.0,0.045000000000000005,6m,2.0,0.8,0.5,824.0,5784.0,0.025,8m,1.6,0.4,1.5,352.0,1120.0,0.025,5m,3.0,0.0,0.5,1024.0,1080.0,0.035,9m,1.0,0.2,1.5,1024.0,4816.0,0.025,2m,3.0,0.2,1.0,240.0,8040.0,0.025,5m,1.0,1.0,0.5,544.0,1280.0,0.05,8m,3.0,0.0,0.5,136.0,,,,,,,,5104.0,0.01,7m,2.2,0.8,1.0,144.0,0.3,9,COMPLETE
18,18,0.9196866317668677,2025-06-22 17:13:30.034167,2025-06-22 17:13:40.840384,0 days 00:00:10.806217,8080,0.01,4m,2.4000000000000004,0.2,1.5,712,5088.0,0.04,3m,2.0,1.0,1.0,808.0,6120.0,0.01,8m,1.8,0.6000000000000001,1.5,520.0,,,,,,,,2104.0,0.035,3m,1.6,0.2,1.5,816.0,5760.0,0.01,2m,1.6,0.2,1.0,424.0,4552.0,0.025,5m,1.0,0.8,0.5,496.0,2704.0,0.01,8m,2.6,0.0,0.5,392.0,,,,,,,,5816.0,0.015,7m,2.4000000000000004,1.0,0.5,312.0,0.4,8,COMPLETE
19,19,1.0328104898877395,2025-06-22 17:13:40.873002,2025-06-22 17:13:50.724164,0 days 00:00:09.851162,6904,0.025,4m,2.6,0.2,2.0,480,3152.0,0.045000000000000005,6m,2.4000000000000004,0.6000000000000001,0.5,424.0,2424.0,0.02,5m,1.6,0.2,1.5,760.0,1224.0,0.03,5m,3.0,0.0,0.5,832.0,1056.0,0.02,9m,2.4000000000000004,0.2,1.0,1024.0,3944.0,0.04,8m,2.6,0.0,1.5,392.0,8088.0,0.035,5m,1.6,1.0,1.0,880.0,2456.0,0.05,8m,2.6,0.4,0.5,192.0,,,,,,,,3936.0,0.015,4m,1.8,0.8,1.0,128.0,0.05,9,COMPLETE
