,number,value,datetime_start,datetime_complete,duration,params_ADP_PAYX_beta_win,params_ADP_PAYX_stop_loss,params_ADP_PAYX_trade_freq,params_ADP_PAYX_z_entry,params_ADP_PAYX_z_exit,params_ADP_PAYX_z_stop_scaler,params_ADP_PAYX_z_win,params_ADP_QCOM_beta_win,params_ADP_QCOM_stop_loss,params_ADP_QCOM_trade_freq,params_ADP_QCOM_z_entry,params_ADP_QCOM_z_exit,params_ADP_QCOM_z_stop_scaler,params_ADP_QCOM_z_win,params_AMD_CMCSA_beta_win,params_AMD_CMCSA_stop_loss,params_AMD_CMCSA_trade_freq,params_AMD_CMCSA_z_entry,params_AMD_CMCSA_z_exit,params_AMD_CMCSA_z_stop_scaler,params_AMD_CMCSA_z_win,params_ATVI_NFLX_beta_win,params_ATVI_NFLX_stop_loss,params_ATVI_NFLX_trade_freq,params_ATVI_NFLX_z_entry,params_ATVI_NFLX_z_exit,params_ATVI_NFLX_z_stop_scaler,params_ATVI_NFLX_z_win,params_AVGO_CTAS_beta_win,params_AVGO_CTAS_stop_loss,params_AVGO_CTAS_trade_freq,params_AVGO_CTAS_z_entry,params_AVGO_CTAS_z_exit,params_AVGO_CTAS_z_stop_scaler,params_AVGO_CTAS_z_win,params_BIDU_CTAS_beta_win,params_BIDU_CTAS_stop_loss,params_BIDU_CTAS_trade_freq,params_BIDU_CTAS_z_entry,params_BIDU_CTAS_z_exit,params_BIDU_CTAS_z_stop_scaler,params_BIDU_CTAS_z_win,params_CERN_INCY_beta_win,params_CERN_INCY_stop_loss,params_CERN_INCY_trade_freq,params_CERN_INCY_z_entry,params_CERN_INCY_z_exit,params_CERN_INCY_z_stop_scaler,params_CERN_INCY_z_win,params_CHKP_VRTX_beta_win,params_CHKP_VRTX_stop_loss,params_CHKP_VRTX_trade_freq,params_CHKP_VRTX_z_entry,params_CHKP_VRTX_z_exit,params_CHKP_VRTX_z_stop_scaler,params_CHKP_VRTX_z_win,params_CMCSA_FOXA_beta_win,params_CMCSA_FOXA_stop_loss,params_CMCSA_FOXA_trade_freq,params_CMCSA_FOXA_z_entry,params_CMCSA_FOXA_z_exit,params_CMCSA_FOXA_z_stop_scaler,params_CMCSA_FOXA_z_win,params_CMCSA_FOX_beta_win,params_CMCSA_FOX_stop_loss,params_CMCSA_FOX_trade_freq,params_CMCSA_FOX_z_entry,params_CMCSA_FOX_z_exit,params_CMCSA_FOX_z_stop_scaler,params_CMCSA_FOX_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_CSCO_ROST_beta_win,params_CSCO_ROST_stop_loss,params_CSCO_ROST_trade_freq,params_CSCO_ROST_z_entry,params_CSCO_ROST_z_exit,params_CSCO_ROST_z_stop_scaler,params_CSCO_ROST_z_win,params_EBAY_KLAC_beta_win,params_EBAY_KLAC_stop_loss,params_EBAY_KLAC_trade_freq,params_EBAY_KLAC_z_entry,params_EBAY_KLAC_z_exit,params_EBAY_KLAC_z_stop_scaler,params_EBAY_KLAC_z_win,params_EBAY_MCHP_beta_win,params_EBAY_MCHP_stop_loss,params_EBAY_MCHP_trade_freq,params_EBAY_MCHP_z_entry,params_EBAY_MCHP_z_exit,params_EBAY_MCHP_z_stop_scaler,params_EBAY_MCHP_z_win,params_EBAY_MXIM_beta_win,params_EBAY_MXIM_stop_loss,params_EBAY_MXIM_trade_freq,params_EBAY_MXIM_z_entry,params_EBAY_MXIM_z_exit,params_EBAY_MXIM_z_stop_scaler,params_EBAY_MXIM_z_win,params_FISV_QCOM_beta_win,params_FISV_QCOM_stop_loss,params_FISV_QCOM_trade_freq,params_FISV_QCOM_z_entry,params_FISV_QCOM_z_exit,params_FISV_QCOM_z_stop_scaler,params_FISV_QCOM_z_win,params_FOX_MAR_beta_win,params_FOX_MAR_stop_loss,params_FOX_MAR_trade_freq,params_FOX_MAR_z_entry,params_FOX_MAR_z_exit,params_FOX_MAR_z_stop_scaler,params_FOX_MAR_z_win,params_GILD_PCAR_beta_win,params_GILD_PCAR_stop_loss,params_GILD_PCAR_trade_freq,params_GILD_PCAR_z_entry,params_GILD_PCAR_z_exit,params_GILD_PCAR_z_stop_scaler,params_GILD_PCAR_z_win,params_GOOG_GOOGL_beta_win,params_GOOG_GOOGL_stop_loss,params_GOOG_GOOGL_trade_freq,params_GOOG_GOOGL_z_entry,params_GOOG_GOOGL_z_exit,params_GOOG_GOOGL_z_stop_scaler,params_GOOG_GOOGL_z_win,params_JD_MDLZ_beta_win,params_JD_MDLZ_stop_loss,params_JD_MDLZ_trade_freq,params_JD_MDLZ_z_entry,params_JD_MDLZ_z_exit,params_JD_MDLZ_z_stop_scaler,params_JD_MDLZ_z_win,params_JD_PAYX_beta_win,params_JD_PAYX_stop_loss,params_JD_PAYX_trade_freq,params_JD_PAYX_z_entry,params_JD_PAYX_z_exit,params_JD_PAYX_z_stop_scaler,params_JD_PAYX_z_win,params_KHC_MAR_beta_win,params_KHC_MAR_stop_loss,params_KHC_MAR_trade_freq,params_KHC_MAR_z_entry,params_KHC_MAR_z_exit,params_KHC_MAR_z_stop_scaler,params_KHC_MAR_z_win,params_KHC_ROST_beta_win,params_KHC_ROST_stop_loss,params_KHC_ROST_trade_freq,params_KHC_ROST_z_entry,params_KHC_ROST_z_exit,params_KHC_ROST_z_stop_scaler,params_KHC_ROST_z_win,params_KHC_SBUX_beta_win,params_KHC_SBUX_stop_loss,params_KHC_SBUX_trade_freq,params_KHC_SBUX_z_entry,params_KHC_SBUX_z_exit,params_KHC_SBUX_z_stop_scaler,params_KHC_SBUX_z_win,params_KLAC_MCHP_beta_win,params_KLAC_MCHP_stop_loss,params_KLAC_MCHP_trade_freq,params_KLAC_MCHP_z_entry,params_KLAC_MCHP_z_exit,params_KLAC_MCHP_z_stop_scaler,params_KLAC_MCHP_z_win,params_MAR_QCOM_beta_win,params_MAR_QCOM_stop_loss,params_MAR_QCOM_trade_freq,params_MAR_QCOM_z_entry,params_MAR_QCOM_z_exit,params_MAR_QCOM_z_stop_scaler,params_MAR_QCOM_z_win,params_MNST_ROST_beta_win,params_MNST_ROST_stop_loss,params_MNST_ROST_trade_freq,params_MNST_ROST_z_entry,params_MNST_ROST_z_exit,params_MNST_ROST_z_stop_scaler,params_MNST_ROST_z_win,params_NXPI_ROST_beta_win,params_NXPI_ROST_stop_loss,params_NXPI_ROST_trade_freq,params_NXPI_ROST_z_entry,params_NXPI_ROST_z_exit,params_NXPI_ROST_z_stop_scaler,params_NXPI_ROST_z_win,params_ORLY_ROST_beta_win,params_ORLY_ROST_stop_loss,params_ORLY_ROST_trade_freq,params_ORLY_ROST_z_entry,params_ORLY_ROST_z_exit,params_ORLY_ROST_z_stop_scaler,params_ORLY_ROST_z_win,params_PAYX_QCOM_beta_win,params_PAYX_QCOM_stop_loss,params_PAYX_QCOM_trade_freq,params_PAYX_QCOM_z_entry,params_PAYX_QCOM_z_exit,params_PAYX_QCOM_z_stop_scaler,params_PAYX_QCOM_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,1.0056596783375455,2025-06-22 16:10:24.490040,2025-06-22 16:10:43.455800,0 days 00:00:18.965760,7704.0,0.045000000000000005,2m,1.8,0.2,2.0,144.0,,,,,,,,1464.0,0.05,2m,1.0,1.0,0.5,512.0,,,,,,,,,,,,,,,1424.0,0.025,5m,2.8,1.0,2.0,136.0,4288,0.05,5m,1.6,0.6000000000000001,1.0,856,6712.0,0.04,3m,3.0,0.8,0.5,1016.0,,,,,,,,,,,,,,,7464,0.05,4m,2.0,1.0,2.0,296,,,,,,,,,,,,,,,7968,0.01,3m,1.0,0.0,1.0,128,1200.0,0.05,5m,1.6,0.0,2.0,136.0,1344,0.035,2m,2.8,0.0,1.0,472,1240.0,0.01,3m,2.0,0.2,1.5,200.0,1456.0,0.03,1m,2.8,0.0,1.5,1016.0,6592,0.01,3m,3.0,0.8,1.0,1016,4976,0.01,2m,2.6,1.0,1.0,984,1584.0,0.01,5m,3.0,0.0,2.0,176.0,1704,0.03,2m,1.0,0.4,2.0,144,2488,0.02,2m,2.0,0.6000000000000001,2.0,152,6408.0,0.025,2m,3.0,0.2,1.5,496.0,7584.0,0.05,5m,3.0,0.0,1.5,712.0,8136,0.02,3m,1.2,1.0,1.5,152,8128,0.04,4m,1.0,0.2,0.5,488,,,,,,,,2168.0,0.01,5m,1.4,0.8,0.5,200.0,,,,,,,,0.5,21,COMPLETE
11,11,0.9718621484086286,2025-06-22 16:10:43.553721,2025-06-22 16:11:02.374643,0 days 00:00:18.820922,8072.0,0.045000000000000005,5m,1.8,0.2,2.0,160.0,,,,,,,,1072.0,0.05,2m,1.0,1.0,0.5,496.0,,,,,,,,,,,,,,,1512.0,0.025,5m,2.8,1.0,2.0,168.0,3856,0.05,5m,1.6,0.6000000000000001,1.0,992,6952.0,0.04,3m,3.0,0.8,0.5,1024.0,,,,,,,,,,,,,,,8144,0.045000000000000005,4m,2.0,1.0,2.0,240,,,,,,,,,,,,,,,7792,0.01,3m,1.0,0.0,1.0,176,1744.0,0.05,5m,1.6,0.0,2.0,144.0,1296,0.035,2m,2.8,0.0,1.0,512,1024.0,0.01,3m,2.0,0.2,1.5,136.0,1112.0,0.03,1m,2.8,0.0,1.5,984.0,6568,0.01,3m,1.0,0.8,1.0,1016,4976,0.02,2m,2.6,1.0,1.0,1024,1232.0,0.01,5m,3.0,0.0,2.0,136.0,1184,0.03,2m,1.0,0.4,2.0,168,2112,0.025,2m,2.0,0.6000000000000001,2.0,152,6312.0,0.025,2m,3.0,0.2,1.5,488.0,7888.0,0.05,5m,2.8,0.0,1.5,672.0,8176,0.02,3m,1.0,1.0,1.5,136,8120,0.04,4m,1.0,0.2,0.5,472,,,,,,,,1088.0,0.01,5m,1.4,0.8,0.5,184.0,,,,,,,,0.5,21,COMPLETE
12,12,0.9784939098961427,2025-06-22 16:11:02.417684,2025-06-22 16:11:20.640339,0 days 00:00:18.222655,4496.0,0.04,2m,2.2,0.2,2.0,392.0,,,,,,,,2408.0,0.03,2m,1.0,1.0,1.0,384.0,,,,,,,,,,,,,,,1152.0,0.025,5m,2.4000000000000004,0.4,2.0,544.0,5320,0.05,5m,1.6,0.4,0.5,856,6312.0,0.035,3m,3.0,0.8,0.5,1016.0,,,,,,,,,,,,,,,7872,0.05,4m,2.0,1.0,2.0,376,,,,,,,,,,,,,,,8112,0.01,3m,1.0,0.2,1.0,360,3944.0,0.05,5m,1.4,0.0,1.5,272.0,5584,0.03,2m,2.6,0.0,1.0,536,1120.0,0.02,3m,2.0,0.4,2.0,360.0,1512.0,0.025,4m,2.6,0.2,1.5,552.0,6720,0.01,3m,3.0,0.8,1.0,1000,5072,0.01,2m,2.6,0.8,1.0,872,2856.0,0.01,5m,3.0,0.0,2.0,456.0,1096,0.035,2m,1.0,0.4,2.0,128,3296,0.02,2m,1.6,0.4,2.0,144,6096.0,0.03,2m,2.6,0.2,1.5,336.0,8072.0,0.05,5m,3.0,0.0,1.5,1024.0,6480,0.015,3m,1.4,1.0,1.0,352,6112,0.04,4m,1.0,0.2,0.5,680,,,,,,,,2968.0,0.01,5m,1.6,0.6000000000000001,0.5,208.0,,,,,,,,0.5,21,COMPLETE
13,13,1.0072700818041338,2025-06-22 16:11:20.691852,2025-06-22 16:11:44.211436,0 days 00:00:23.519584,7720.0,0.05,2m,1.6,0.4,1.5,144.0,,,,,,,,2376.0,0.05,2m,1.6,0.8,0.5,616.0,,,,,,,,,,,,,,,2888.0,0.02,4m,2.4000000000000004,1.0,0.5,192.0,3504,0.03,5m,2.4000000000000004,0.6000000000000001,1.0,512,6160.0,0.05,5m,2.6,0.6000000000000001,1.0,784.0,4856.0,0.045000000000000005,1m,1.8,0.4,2.0,1000.0,1544.0,0.05,3m,3.0,0.0,0.5,152.0,6560,0.04,4m,2.4000000000000004,0.8,2.0,712,,,,,,,,7768.0,0.01,1m,3.0,1.0,0.5,1016.0,6744,0.015,3m,1.4,0.2,0.5,1000,1640.0,0.035,3m,3.0,0.2,2.0,848.0,1072,0.04,2m,2.4000000000000004,0.2,1.0,416,4328.0,0.01,3m,3.0,0.4,1.5,528.0,2968.0,0.04,1m,2.4000000000000004,0.2,1.0,1016.0,6328,0.02,3m,2.6,0.6000000000000001,1.0,816,2968,0.04,3m,2.6,1.0,1.0,864,2976.0,0.025,5m,1.0,0.4,1.0,296.0,2840,0.025,2m,2.6,0.2,2.0,328,1136,0.015,2m,2.2,0.8,1.5,320,8112.0,0.03,2m,2.6,0.2,1.5,624.0,6864.0,0.04,5m,2.2,0.6000000000000001,1.5,736.0,5392,0.025,3m,2.6,0.8,1.5,392,5960,0.045000000000000005,4m,2.0,0.4,0.5,400,,,,,,,,1896.0,0.02,3m,1.8,0.8,0.5,440.0,,,,,,,,0.15000000000000002,24,COMPLETE
14,14,0.9744174487175327,2025-06-22 16:11:44.258195,2025-06-22 16:12:12.525157,0 days 00:00:28.266962,5144.0,0.05,2m,1.6,0.4,1.5,848.0,,,,,,,,2624.0,0.04,5m,1.6,0.8,0.5,872.0,,,,,,,,,,,,,,,2960.0,0.02,4m,2.2,0.4,0.5,360.0,2904,0.03,1m,2.4000000000000004,0.4,1.5,480,5896.0,0.05,5m,2.4000000000000004,0.4,1.0,744.0,4888.0,0.05,1m,1.8,0.4,2.0,1016.0,1088.0,0.05,3m,3.0,0.0,0.5,192.0,6600,0.04,4m,2.6,0.8,2.0,744,,,,,,,,7848.0,0.01,1m,3.0,1.0,0.5,1008.0,1328,0.015,1m,1.6,0.2,0.5,1016,5616.0,0.035,3m,3.0,0.2,1.5,888.0,5104,0.045000000000000005,2m,2.4000000000000004,0.2,1.0,152,4400.0,0.025,1m,3.0,0.4,1.0,632.0,3216.0,0.04,1m,2.2,0.4,1.0,528.0,8168,0.02,3m,2.6,0.6000000000000001,0.5,816,2400,0.04,3m,2.4000000000000004,0.6000000000000001,1.5,816,3536.0,0.025,1m,1.0,1.0,1.0,392.0,3440,0.025,2m,2.6,0.2,1.5,344,1280,0.04,2m,2.2,0.8,1.5,328,8192.0,0.05,3m,2.4000000000000004,0.2,2.0,632.0,6704.0,0.04,5m,2.2,0.6000000000000001,1.5,512.0,5232,0.03,2m,2.6,0.8,1.0,456,5744,0.05,4m,2.2,0.4,1.0,360,,,,,,,,5248.0,0.02,3m,2.0,0.8,0.5,432.0,6368.0,0.015,4m,1.4,0.0,2.0,488.0,0.15000000000000002,25,COMPLETE
15,15,0.9893628923394792,2025-06-22 16:12:12.577992,2025-06-22 16:12:40.603608,0 days 00:00:28.025616,1080.0,0.04,4m,1.4,1.0,1.5,424.0,1168.0,0.015,1m,1.0,0.0,2.0,1024.0,2480.0,0.03,3m,1.4,0.6000000000000001,1.0,656.0,7472.0,0.05,4m,3.0,0.0,0.5,1016.0,7920.0,0.035,1m,2.2,0.0,2.0,144.0,5320.0,0.02,4m,1.6,0.8,1.0,704.0,3112,0.03,2m,2.4000000000000004,0.8,0.5,144,7824.0,0.03,5m,2.6,0.6000000000000001,1.0,808.0,4040.0,0.035,2m,1.8,0.2,2.0,744.0,2600.0,0.045000000000000005,3m,2.6,0.0,0.5,160.0,6680,0.04,4m,2.4000000000000004,0.4,1.5,696,1064.0,0.01,2m,3.0,0.0,0.5,1008.0,6960.0,0.01,5m,3.0,1.0,0.5,848.0,6696,0.02,3m,1.4,0.2,0.5,944,3584.0,0.01,3m,2.6,0.4,2.0,792.0,2168,0.04,3m,2.4000000000000004,0.6000000000000001,2.0,640,4520.0,0.02,4m,3.0,0.8,2.0,488.0,3152.0,0.01,1m,2.2,0.2,1.0,816.0,5824,0.02,3m,2.6,0.6000000000000001,1.0,776,1192,0.04,3m,3.0,1.0,0.5,408,2960.0,0.045000000000000005,2m,1.6,0.4,1.0,600.0,4912,0.05,2m,2.4000000000000004,0.2,2.0,344,5608,0.02,3m,2.2,0.8,1.5,312,7336.0,0.035,4m,2.6,0.0,1.5,1000.0,4376.0,0.04,3m,2.2,0.8,1.0,752.0,3496,0.025,3m,2.2,0.8,1.5,328,6104,0.045000000000000005,4m,2.0,0.4,2.0,384,3584.0,0.025,3m,1.6,0.0,1.0,336.0,4848.0,0.02,3m,2.0,1.0,1.0,424.0,5040.0,0.05,4m,2.0,1.0,0.5,480.0,0.2,30,COMPLETE
16,16,1.007754285708216,2025-06-22 16:12:40.683679,2025-06-22 16:12:57.083372,0 days 00:00:16.399693,3976.0,0.04,5m,2.2,0.4,1.5,624.0,,,,,,,,7392.0,0.04,2m,2.2,0.8,0.5,1024.0,,,,,,,,,,,,,,,2680.0,0.02,4m,2.4000000000000004,0.2,0.5,376.0,7856,0.035,5m,2.6,0.6000000000000001,1.0,472,5472.0,0.045000000000000005,5m,2.6,0.4,1.0,624.0,,,,,,,,,,,,,,,1960,0.035,3m,1.8,0.8,2.0,872,,,,,,,,,,,,,,,4424,0.05,3m,1.4,0.2,1.5,560,,,,,,,,4800,0.025,2m,2.4000000000000004,0.2,1.5,352,5568.0,0.03,5m,2.4000000000000004,0.6000000000000001,1.5,520.0,,,,,,,,3296,0.035,4m,2.4000000000000004,1.0,1.0,712,3184,0.05,3m,2.8,0.0,1.0,840,5040.0,0.02,3m,1.0,0.6000000000000001,1.0,312.0,2536,0.025,2m,2.0,0.2,1.5,288,3128,0.015,2m,1.6,0.4,0.5,992,5128.0,0.03,2m,1.6,0.6000000000000001,0.5,648.0,4640.0,0.01,5m,2.0,0.8,2.0,1024.0,6168,0.01,2m,3.0,0.8,1.0,488,5200,0.035,4m,1.8,0.0,0.5,656,,,,,,,,1120.0,0.03,3m,3.0,0.6000000000000001,0.5,408.0,,,,,,,,0.15000000000000002,19,COMPLETE
17,17,1.0104875496575219,2025-06-22 16:12:57.131993,2025-06-22 16:13:15.166330,0 days 00:00:18.034337,3480.0,0.035,5m,2.2,0.4,1.0,664.0,,,,,,,,7904.0,0.035,2m,2.4000000000000004,0.8,1.0,960.0,,,,,,,,,,,,,,,4960.0,0.03,1m,2.0,0.2,1.0,400.0,8104,0.04,5m,2.6,0.2,0.5,584,5368.0,0.04,2m,2.8,0.0,2.0,352.0,,,,,,,,,,,,,,,1288,0.01,3m,1.8,0.2,2.0,864,,,,,,,,,,,,,,,4456,0.05,3m,1.2,0.0,1.5,576,,,,,,,,4448,0.025,2m,2.2,1.0,1.5,296,5592.0,0.03,5m,2.4000000000000004,0.8,1.0,304.0,,,,,,,,3568,0.035,4m,1.4,1.0,0.5,696,3880,0.05,1m,2.8,0.0,1.5,808,5888.0,0.02,3m,1.8,0.8,0.5,568.0,4320,0.04,2m,1.8,0.2,1.5,440,3200,0.015,2m,1.6,0.4,0.5,1024,4976.0,0.035,2m,1.6,0.6000000000000001,0.5,872.0,4448.0,0.01,5m,1.8,0.8,2.0,1024.0,6544,0.01,2m,3.0,0.8,1.0,552,6984,0.035,4m,1.6,0.0,1.0,736,,,,,,,,,,,,,,,,,,,,,,0.25,18,COMPLETE
18,18,0.9875924623168049,2025-06-22 16:13:15.221273,2025-06-22 16:13:27.313500,0 days 00:00:12.092227,,,,,,,,,,,,,,,5616.0,0.025,2m,2.4000000000000004,0.4,1.0,888.0,,,,,,,,,,,,,,,,,,,,,,6864,0.04,5m,2.0,0.0,0.5,760,,,,,,,,,,,,,,,,,,,,,,2128,0.01,3m,1.6,0.2,1.5,600,,,,,,,,,,,,,,,1144,0.04,2m,1.2,0.0,1.5,576,,,,,,,,6160,0.02,2m,3.0,1.0,2.0,240,,,,,,,,,,,,,,,3672,0.035,4m,1.2,1.0,0.5,664,4024,0.045000000000000005,1m,2.2,0.0,1.5,440,,,,,,,,4256,0.04,5m,1.8,0.6000000000000001,1.5,528,4960,0.03,2m,1.4,0.2,0.5,936,,,,,,,,4368.0,0.01,5m,1.4,0.8,2.0,384.0,7136,0.015,2m,2.8,0.4,1.0,256,6952,0.025,5m,1.4,0.0,1.0,776,,,,,,,,,,,,,,,,,,,,,,0.3,12,COMPLETE
19,19,0.9676515139443675,2025-06-22 16:13:27.396657,2025-06-22 16:13:48.565488,0 days 00:00:21.168831,3456.0,0.035,5m,2.2,1.0,1.0,784.0,,,,,,,,8064.0,0.035,1m,2.2,0.6000000000000001,1.0,776.0,,,,,,,,,,,,,,,4904.0,0.035,1m,1.8,0.2,1.0,664.0,5928,0.045000000000000005,2m,1.0,0.2,0.5,584,3256.0,0.035,2m,2.8,0.0,2.0,320.0,,,,,,,,,,,,,,,4000,0.01,3m,1.8,0.2,2.0,1008,,,,,,,,,,,,,,,3384,0.05,4m,1.2,0.4,1.5,352,,,,,,,,7352,0.025,1m,2.2,1.0,1.5,976,3480.0,0.03,5m,1.6,0.8,1.0,304.0,,,,,,,,1232,0.035,2m,1.4,0.8,0.5,912,1704,0.025,1m,2.8,0.4,2.0,760,8056.0,0.04,3m,1.8,1.0,0.5,592.0,6136,0.04,1m,1.4,0.4,1.5,448,6224,0.04,4m,1.8,0.4,0.5,456,2984.0,0.05,2m,1.4,0.4,0.5,896.0,2744.0,0.03,3m,1.8,1.0,2.0,944.0,6744,0.015,2m,2.0,0.8,1.0,1008,7208,0.01,3m,1.6,0.2,1.0,744,,,,,,,,,,,,,,,,,,,,,,0.25,18,COMPLETE
20,20,1.0102601787488033,2025-06-22 16:13:48.620409,2025-06-22 16:14:01.562750,0 days 00:00:12.942341,4592.0,0.01,5m,2.6,0.0,0.5,992.0,,,,,,,,5680.0,0.025,3m,1.8,0.2,1.5,952.0,,,,,,,,,,,,,,,,,,,,,,5128,0.035,1m,2.6,0.2,0.5,768,,,,,,,,,,,,,,,,,,,,,,1344,0.015,3m,2.2,0.2,1.5,1024,,,,,,,,,,,,,,,4832,0.04,5m,1.8,0.0,1.5,776,,,,,,,,4496,0.02,3m,1.8,0.6000000000000001,2.0,688,,,,,,,,,,,,,,,2720,0.04,4m,1.4,1.0,0.5,480,5568,0.045000000000000005,1m,2.2,0.6000000000000001,1.5,920,,,,,,,,8128,0.05,4m,1.8,0.2,1.0,216,3616,0.015,3m,1.0,0.2,1.0,656,,,,,,,,4992.0,0.015,4m,1.2,0.2,2.0,1024.0,5680,0.01,2m,2.8,1.0,1.5,576,6752,0.035,2m,1.2,0.0,1.5,1024,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,13,COMPLETE
21,21,1.0125982481584817,2025-06-22 16:14:01.609557,2025-06-22 16:14:12.447980,0 days 00:00:10.838423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5016,0.035,1m,2.6,0.2,0.5,728,,,,,,,,,,,,,,,,,,,,,,1056,0.015,3m,2.2,0.2,1.5,880,,,,,,,,,,,,,,,5248,0.045000000000000005,5m,1.8,0.0,1.5,784,,,,,,,,4376,0.02,3m,1.8,0.6000000000000001,2.0,696,,,,,,,,,,,,,,,3952,0.04,4m,1.4,1.0,0.5,472,5752,0.045000000000000005,1m,2.2,0.6000000000000001,1.5,920,,,,,,,,7552,0.05,4m,1.8,0.2,1.0,240,3696,0.015,3m,1.0,0.2,1.0,648,,,,,,,,,,,,,,,5728,0.01,2m,2.8,1.0,1.5,592,6936,0.035,2m,1.2,0.0,1.5,944,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,10,COMPLETE
22,22,0.9728773054119743,2025-06-22 16:14:12.520585,2025-06-22 16:14:27.525175,0 days 00:00:15.004590,1808.0,0.035,5m,2.4000000000000004,0.6000000000000001,1.0,872.0,,,,,,,,7904.0,0.02,5m,2.8,0.8,1.0,1024.0,,,,,,,,,,,,,,,,,,,,,,6608,0.045000000000000005,1m,2.2,0.0,0.5,744,,,,,,,,,,,,,,,,,,,,,,2080,0.015,3m,2.2,0.0,2.0,864,,,,,,,,,,,,,,,4400,0.045000000000000005,5m,1.2,0.0,1.5,632,,,,,,,,5552,0.03,3m,1.8,0.6000000000000001,2.0,584,,,,,,,,,,,,,,,3896,0.04,4m,1.0,1.0,0.5,160,6712,0.05,1m,2.8,0.4,1.5,1024,,,,,,,,7376,0.045000000000000005,4m,1.8,0.2,1.5,248,4408,0.015,3m,1.2,0.4,0.5,1024,5376.0,0.04,1m,1.6,0.8,0.5,1024.0,3904.0,0.015,2m,2.6,0.6000000000000001,1.5,784.0,4616,0.015,2m,2.6,1.0,1.0,568,7664,0.035,2m,1.2,0.0,1.5,960,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,14,COMPLETE
23,23,1.0162563559428566,2025-06-22 16:14:27.611515,2025-06-22 16:14:38.880485,0 days 00:00:11.268970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4856,0.04,1m,2.6,0.4,0.5,552,,,,,,,,,,,,,,,,,,,,,,2560,0.02,3m,1.8,0.4,1.5,808,,,,,,,,,,,,,,,5144,0.045000000000000005,5m,2.0,0.2,1.0,872,,,,,,,,4344,0.015,3m,2.2,1.0,1.5,848,,,,,,,,,,,,,,,4128,0.035,4m,1.6,0.8,0.5,456,4384,0.035,1m,2.4000000000000004,0.8,1.5,920,,,,,,,,5584,0.035,4m,1.6,0.4,1.0,448,2984,0.025,3m,1.4,0.2,1.0,240,,,,,,,,2184.0,0.03,5m,1.8,0.8,2.0,392.0,7536,0.01,2m,3.0,0.8,1.5,832,6576,0.045000000000000005,2m,1.6,0.2,2.0,848,,,,,,,,,,,,,,,,,,,,,,0.25,11,COMPLETE
24,24,0.9977710418970506,2025-06-22 16:14:38.923500,2025-06-22 16:14:49.863432,0 days 00:00:10.939932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4824,0.025,1m,1.8,0.4,1.0,528,,,,,,,,,,,,,,,,,,,,,,2632,0.02,3m,1.4,0.4,1.0,640,,,,,,,,,,,,,,,5064,0.045000000000000005,5m,2.2,0.2,1.0,880,,,,,,,,5216,0.015,3m,1.6,0.8,1.5,856,,,,,,,,,,,,,,,4232,0.025,4m,1.6,0.8,1.0,448,6144,0.035,1m,2.0,0.8,2.0,936,,,,,,,,6312,0.035,4m,1.6,0.4,1.0,376,2584,0.025,3m,1.2,0.2,1.0,264,,,,,,,,,,,,,,,7584,0.015,2m,2.4000000000000004,1.0,1.5,864,5080,0.045000000000000005,2m,1.2,0.2,2.0,880,,,,,,,,,,,,,,,,,,,,,,0.2,10,COMPLETE
25,25,0.9991764442624393,2025-06-22 16:14:49.903729,2025-06-22 16:15:00.891593,0 days 00:00:10.987864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5744,0.035,1m,2.8,0.4,0.5,984,,,,,,,,,,,,,,,,,,,,,,2568,0.02,1m,2.6,0.4,1.5,808,,,,,,,,,,,,,,,5968,0.04,5m,3.0,0.2,1.0,888,,,,,,,,4152,0.015,3m,1.0,0.6000000000000001,2.0,784,,,,,,,,,,,,,,,4192,0.045000000000000005,4m,1.6,0.8,0.5,392,5656,0.025,1m,2.4000000000000004,0.8,1.5,912,,,,,,,,5384,0.035,4m,1.2,0.6000000000000001,1.0,232,4528,0.02,3m,1.4,0.2,1.0,224,,,,,,,,,,,,,,,7072,0.025,5m,2.8,0.8,1.5,880,5344,0.045000000000000005,2m,1.4,0.2,2.0,928,,,,,,,,,,,,,,,,,,,,,,0.3,10,COMPLETE
