,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_ANSS_EBAY_beta_win,params_ANSS_EBAY_stop_loss,params_ANSS_EBAY_trade_freq,params_ANSS_EBAY_z_entry,params_ANSS_EBAY_z_exit,params_ANSS_EBAY_z_stop_scaler,params_ANSS_EBAY_z_win,params_CHTR_FTNT_beta_win,params_CHTR_FTNT_stop_loss,params_CHTR_FTNT_trade_freq,params_CHTR_FTNT_z_entry,params_CHTR_FTNT_z_exit,params_CHTR_FTNT_z_stop_scaler,params_CHTR_FTNT_z_win,params_COST_INTU_beta_win,params_COST_INTU_stop_loss,params_COST_INTU_trade_freq,params_COST_INTU_z_entry,params_COST_INTU_z_exit,params_COST_INTU_z_stop_scaler,params_COST_INTU_z_win,params_CTSH_MU_beta_win,params_CTSH_MU_stop_loss,params_CTSH_MU_trade_freq,params_CTSH_MU_z_entry,params_CTSH_MU_z_exit,params_CTSH_MU_z_stop_scaler,params_CTSH_MU_z_win,params_DDOG_GOOGL_beta_win,params_DDOG_GOOGL_stop_loss,params_DDOG_GOOGL_trade_freq,params_DDOG_GOOGL_z_entry,params_DDOG_GOOGL_z_exit,params_DDOG_GOOGL_z_stop_scaler,params_DDOG_GOOGL_z_win,params_DDOG_GOOG_beta_win,params_DDOG_GOOG_stop_loss,params_DDOG_GOOG_trade_freq,params_DDOG_GOOG_z_entry,params_DDOG_GOOG_z_exit,params_DDOG_GOOG_z_stop_scaler,params_DDOG_GOOG_z_win,params_EBAY_FAST_beta_win,params_EBAY_FAST_stop_loss,params_EBAY_FAST_trade_freq,params_EBAY_FAST_z_entry,params_EBAY_FAST_z_exit,params_EBAY_FAST_z_stop_scaler,params_EBAY_FAST_z_win,params_FAST_MU_beta_win,params_FAST_MU_stop_loss,params_FAST_MU_trade_freq,params_FAST_MU_z_entry,params_FAST_MU_z_exit,params_FAST_MU_z_stop_scaler,params_FAST_MU_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_buffer_capital,params_pairs_to_trade,state
36,36,0.9600760977660384,2025-06-22 17:11:27.600378,2025-06-22 17:11:40.941031,0 days 00:00:13.340653,2608.0,0.02,4m,2.0,0.6000000000000001,0.5,440.0,4376.0,0.04,4m,2.2,0.0,0.5,840.0,3200.0,0.04,6m,2.2,0.4,0.5,952.0,2632.0,0.02,2m,1.8,1.0,1.5,472.0,7360.0,0.03,3m,2.2,1.0,1.5,232.0,1832.0,0.035,2m,2.6,0.2,1.0,472.0,2384.0,0.045000000000000005,3m,1.8,0.2,0.5,728.0,1048.0,0.05,7m,2.6,0.4,0.5,936.0,2968,0.045000000000000005,3m,1.6,0.6000000000000001,0.5,776,4280.0,0.035,6m,2.6,0.6000000000000001,0.5,544.0,0.2,10,COMPLETE
37,37,0.9993721920836505,2025-06-22 17:11:40.990234,2025-06-22 17:11:46.777318,0 days 00:00:05.787084,5568.0,0.03,7m,2.6,0.6000000000000001,1.0,224.0,,,,,,,,,,,,,,,3728.0,0.035,7m,2.6,0.6000000000000001,1.0,864.0,5864.0,0.02,8m,1.8,0.6000000000000001,0.5,360.0,5736.0,0.04,6m,2.8,0.4,1.5,744.0,1696.0,0.04,5m,1.2,0.0,1.0,944.0,,,,,,,,3576,0.035,3m,2.0,0.4,1.0,672,,,,,,,,0.4,6,COMPLETE
38,38,0.9905355866376118,2025-06-22 17:11:46.831973,2025-06-22 17:11:55.334024,0 days 00:00:08.502051,3696.0,0.015,3m,1.8,0.8,0.5,392.0,6848.0,0.025,9m,1.0,0.8,1.0,344.0,,,,,,,,5136.0,0.045000000000000005,9m,1.0,0.8,1.5,800.0,7512.0,0.01,8m,2.6,0.4,1.0,616.0,3776.0,0.045000000000000005,6m,3.0,0.0,1.0,632.0,2728.0,0.035,2m,2.2,0.0,1.5,520.0,,,,,,,,6336,0.05,9m,2.0,0.6000000000000001,1.5,544,8048.0,0.045000000000000005,4m,2.6,0.0,1.0,208.0,0.35000000000000003,8,COMPLETE
39,39,0.9747914379250363,2025-06-22 17:11:55.361023,2025-06-22 17:12:02.001913,0 days 00:00:06.640890,2016.0,0.02,8m,2.0,1.0,1.0,192.0,,,,,,,,,,,,,,,1616.0,0.035,5m,2.0,1.0,1.0,912.0,6448.0,0.035,8m,2.0,0.8,1.0,496.0,5128.0,0.05,2m,2.8,0.2,2.0,1024.0,3048.0,0.03,5m,2.6,0.2,1.0,904.0,,,,,,,,5488,0.04,8m,1.4,1.0,0.5,904,,,,,,,,0.25,6,COMPLETE
40,40,0.9471051835671411,2025-06-22 17:12:02.050767,2025-06-22 17:12:14.414910,0 days 00:00:12.364143,1064.0,0.05,2m,1.2,0.6000000000000001,0.5,728.0,7064.0,0.045000000000000005,6m,1.4,0.4,1.5,688.0,2752.0,0.04,3m,3.0,0.2,1.5,360.0,2344.0,0.045000000000000005,4m,1.4,0.6000000000000001,1.5,512.0,5480.0,0.025,7m,1.4,0.6000000000000001,1.5,216.0,6392.0,0.04,4m,2.4000000000000004,0.0,2.0,928.0,4552.0,0.04,9m,1.4,0.4,0.5,824.0,1184.0,0.01,5m,3.0,1.0,0.5,928.0,2640,0.015,2m,1.8,0.8,1.5,856,1072.0,0.035,4m,2.0,0.2,0.5,456.0,0.3,10,COMPLETE
41,41,1.0147491682597625,2025-06-22 17:12:14.475813,2025-06-22 17:12:23.229495,0 days 00:00:08.753682,1896.0,0.01,4m,2.2,1.0,0.5,128.0,8128.0,0.05,8m,1.0,1.0,0.5,128.0,1104.0,0.05,6m,3.0,0.0,2.0,136.0,1024.0,0.045000000000000005,8m,1.6,1.0,1.5,960.0,8088.0,0.02,8m,2.0,0.8,1.0,408.0,2064.0,0.045000000000000005,6m,3.0,0.0,1.5,608.0,3632.0,0.045000000000000005,5m,1.6,0.0,1.0,752.0,,,,,,,,6144,0.04,3m,2.2,0.4,1.5,416,2320.0,0.05,4m,3.0,0.0,0.5,136.0,0.35000000000000003,9,COMPLETE
42,42,0.9480814068903621,2025-06-22 17:12:23.275455,2025-06-22 17:12:35.015769,0 days 00:00:11.740314,1960.0,0.01,4m,2.4000000000000004,1.0,0.5,224.0,8160.0,0.045000000000000005,8m,1.2,0.8,0.5,128.0,1816.0,0.05,6m,2.6,0.0,2.0,128.0,1056.0,0.045000000000000005,8m,1.8,1.0,1.5,920.0,7512.0,0.015,8m,2.4000000000000004,1.0,1.0,360.0,1952.0,0.045000000000000005,6m,3.0,0.0,1.5,512.0,3512.0,0.045000000000000005,5m,1.6,0.0,1.0,640.0,,,,,,,,5744,0.045000000000000005,3m,2.0,0.4,1.5,488,2536.0,0.045000000000000005,4m,2.8,0.0,0.5,208.0,0.35000000000000003,9,COMPLETE
43,43,0.9692694187734316,2025-06-22 17:12:35.064215,2025-06-22 17:12:44.091337,0 days 00:00:09.027122,3208.0,0.015,4m,2.2,0.8,1.0,136.0,7144.0,0.05,8m,1.0,1.0,0.5,288.0,,,,,,,,1720.0,0.045000000000000005,8m,1.4,0.8,1.5,760.0,6816.0,0.02,8m,2.0,0.8,1.0,480.0,2920.0,0.04,3m,2.6,0.2,1.5,624.0,3768.0,0.05,5m,1.4,0.0,1.0,720.0,,,,,,,,4984,0.035,3m,2.2,0.4,1.5,608,1816.0,0.045000000000000005,4m,2.8,0.2,1.0,128.0,0.3,8,COMPLETE
44,44,0.9881418204732654,2025-06-22 17:12:44.167744,2025-06-22 17:12:50.924197,0 days 00:00:06.756453,4536.0,0.01,6m,1.8,1.0,0.5,336.0,,,,,,,,,,,,,,,1704.0,0.035,8m,1.6,1.0,1.0,920.0,7592.0,0.03,8m,1.8,0.8,0.5,640.0,4504.0,0.035,6m,2.8,0.0,1.0,816.0,4392.0,0.045000000000000005,6m,1.8,0.0,1.0,680.0,,,,,,,,7328,0.04,3m,2.4000000000000004,0.2,1.5,536,3720.0,0.05,9m,2.2,0.0,0.5,240.0,0.35000000000000003,7,COMPLETE
45,45,0.9797240484213143,2025-06-22 17:12:50.957228,2025-06-22 17:13:02.089759,0 days 00:00:11.132531,1848.0,0.015,5m,2.6,0.8,0.5,504.0,5456.0,0.04,8m,1.8,0.8,1.0,264.0,2192.0,0.05,5m,3.0,0.2,1.5,320.0,2520.0,0.025,8m,1.2,0.8,1.5,752.0,6464.0,0.025,4m,2.4000000000000004,0.6000000000000001,1.0,552.0,6896.0,0.05,9m,2.0,0.0,1.5,128.0,5168.0,0.04,4m,1.4,0.2,0.5,576.0,4696.0,0.025,6m,2.2,0.0,2.0,136.0,6368,0.035,3m,2.2,0.6000000000000001,1.0,432,2760.0,0.045000000000000005,2m,2.8,0.4,1.0,296.0,0.4,10,COMPLETE
46,46,1.0066908852936756,2025-06-22 17:13:02.129453,2025-06-22 17:13:12.144581,0 days 00:00:10.015128,2888.0,0.02,4m,2.2,1.0,1.0,216.0,7768.0,0.02,8m,1.4,1.0,0.5,488.0,4472.0,0.04,7m,1.8,0.8,2.0,264.0,3368.0,0.04,8m,1.8,1.0,2.0,360.0,8184.0,0.025,2m,2.2,1.0,1.5,352.0,2112.0,0.025,3m,3.0,0.6000000000000001,1.0,376.0,2176.0,0.05,7m,2.0,0.0,1.0,816.0,,,,,,,,6952,0.04,5m,1.6,0.4,1.5,368,1632.0,0.035,5m,2.4000000000000004,0.2,0.5,432.0,0.25,9,COMPLETE
47,47,0.9556788659239458,2025-06-22 17:13:12.203820,2025-06-22 17:13:20.802151,0 days 00:00:08.598331,2248.0,0.025,4m,2.0,1.0,0.5,352.0,2408.0,0.045000000000000005,7m,2.2,0.8,1.0,1000.0,,,,,,,,1544.0,0.045000000000000005,8m,2.2,0.8,1.5,952.0,4456.0,0.015,3m,1.4,0.8,0.5,224.0,8064.0,0.045000000000000005,7m,2.2,0.2,1.5,216.0,4808.0,0.045000000000000005,2m,1.6,0.2,1.5,584.0,,,,,,,,4712,0.03,6m,1.4,0.2,2.0,216,4432.0,0.05,8m,2.8,0.0,1.5,232.0,0.3,8,COMPLETE
48,48,0.953334416833754,2025-06-22 17:13:20.864184,2025-06-22 17:13:25.225260,0 days 00:00:04.361076,,,,,,,,,,,,,,,,,,,,,,2096.0,0.035,7m,1.4,1.0,1.0,856.0,7240.0,0.02,6m,1.2,0.4,1.0,496.0,2960.0,0.02,6m,1.4,0.0,2.0,712.0,4248.0,0.02,8m,1.8,0.0,1.0,864.0,,,,,,,,3808,0.05,8m,2.6,0.6000000000000001,1.0,464,,,,,,,,0.15000000000000002,5,COMPLETE
49,49,0.9483433252686878,2025-06-22 17:13:25.260812,2025-06-22 17:13:36.110190,0 days 00:00:10.849378,1504.0,0.01,4m,1.6,0.8,1.0,192.0,7312.0,0.045000000000000005,5m,1.2,1.0,0.5,232.0,8048.0,0.045000000000000005,6m,2.6,0.2,1.5,232.0,1544.0,0.05,6m,2.0,1.0,0.5,328.0,6736.0,0.025,5m,1.6,0.6000000000000001,1.5,600.0,1160.0,0.035,3m,2.4000000000000004,0.2,0.5,592.0,3192.0,0.035,5m,2.8,0.2,0.5,744.0,7992.0,0.03,8m,1.0,0.6000000000000001,1.0,688.0,6304,0.025,3m,1.0,0.6000000000000001,1.5,568,3752.0,0.045000000000000005,6m,3.0,0.6000000000000001,0.5,176.0,0.4,10,COMPLETE
50,50,0.9753445377739388,2025-06-22 17:13:36.141732,2025-06-22 17:13:44.081540,0 days 00:00:07.939808,4352.0,0.015,4m,2.6,0.6000000000000001,0.5,912.0,,,,,,,,,,,,,,,2832.0,0.025,2m,1.0,0.4,2.0,1008.0,2680.0,0.035,7m,1.0,1.0,1.0,440.0,1640.0,0.04,5m,2.8,0.8,1.0,496.0,7712.0,0.025,7m,1.2,0.4,1.5,984.0,,,,,,,,5592,0.045000000000000005,9m,2.8,0.4,0.5,680,5176.0,0.03,4m,2.6,0.0,1.0,592.0,0.45,7,COMPLETE
51,51,0.9776294561632786,2025-06-22 17:13:44.134309,2025-06-22 17:13:54.359424,0 days 00:00:10.225115,1648.0,0.01,4m,2.2,1.0,0.5,144.0,8024.0,0.05,8m,1.0,1.0,0.5,128.0,1056.0,0.05,2m,2.8,0.0,2.0,136.0,1088.0,0.04,8m,1.6,1.0,1.5,976.0,7856.0,0.02,8m,2.0,0.8,1.0,408.0,2368.0,0.045000000000000005,6m,3.0,0.0,1.5,576.0,3392.0,0.04,5m,1.6,0.0,1.0,776.0,,,,,,,,5968,0.04,3m,2.2,0.4,1.5,424,2048.0,0.05,4m,3.0,0.0,0.5,144.0,0.35000000000000003,9,COMPLETE
52,52,0.9891148865121795,2025-06-22 17:13:54.388447,2025-06-22 17:14:03.450956,0 days 00:00:09.062509,2232.0,0.01,4m,2.0,1.0,0.5,128.0,7528.0,0.05,8m,1.2,1.0,0.5,136.0,1032.0,0.045000000000000005,6m,3.0,0.0,2.0,200.0,1040.0,0.04,6m,1.6,1.0,1.5,904.0,8176.0,0.015,8m,2.0,0.8,1.0,384.0,1568.0,0.045000000000000005,6m,3.0,0.0,1.5,592.0,3768.0,0.04,5m,1.4,0.0,1.0,712.0,,,,,,,,6888,0.035,3m,1.8,0.4,1.5,480,2360.0,0.05,4m,3.0,0.0,0.5,128.0,0.35000000000000003,9,COMPLETE
53,53,1.0328702786685828,2025-06-22 17:14:03.493913,2025-06-22 17:14:12.472461,0 days 00:00:08.978548,1056.0,0.015,8m,2.4000000000000004,1.0,0.5,272.0,6408.0,0.045000000000000005,8m,1.0,0.8,0.5,296.0,1928.0,0.03,6m,2.6,0.2,2.0,440.0,1912.0,0.045000000000000005,8m,1.8,1.0,1.5,960.0,7552.0,0.02,8m,1.8,0.8,1.0,280.0,2224.0,0.05,6m,3.0,0.0,1.5,688.0,3768.0,0.045000000000000005,5m,1.6,0.0,1.0,776.0,,,,,,,,5872,0.04,3m,2.2,0.2,1.5,328,3008.0,0.045000000000000005,4m,2.8,0.2,0.5,272.0,0.3,9,COMPLETE
54,54,0.9806117696854965,2025-06-22 17:14:12.499893,2025-06-22 17:14:15.720471,0 days 00:00:03.220578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2104.0,0.05,7m,2.8,0.0,1.5,784.0,4000.0,0.045000000000000005,4m,1.8,0.0,1.0,664.0,,,,,,,,5320,0.035,6m,2.4000000000000004,0.2,1.5,128,,,,,,,,0.3,3,COMPLETE
55,55,0.9482897141274457,2025-06-22 17:14:15.796741,2025-06-22 17:14:28.559808,0 days 00:00:12.763067,1048.0,0.015,8m,2.4000000000000004,0.8,0.5,264.0,6272.0,0.045000000000000005,2m,1.2,0.8,1.0,320.0,2136.0,0.03,6m,2.6,0.2,2.0,424.0,1936.0,0.045000000000000005,9m,2.0,0.8,1.5,792.0,1200.0,0.025,5m,1.8,0.6000000000000001,1.0,264.0,3232.0,0.05,9m,3.0,0.2,1.0,688.0,2656.0,0.05,3m,1.4,0.2,1.0,808.0,3168.0,0.05,2m,2.0,0.4,1.5,632.0,5744,0.04,2m,2.0,0.2,1.5,320,2936.0,0.045000000000000005,4m,2.8,0.2,0.5,296.0,0.25,10,COMPLETE
56,56,1.0191176860286597,2025-06-22 17:14:28.600064,2025-06-22 17:14:35.983813,0 days 00:00:07.383749,2272.0,0.02,8m,2.6,1.0,0.5,192.0,5024.0,0.04,9m,1.2,0.6000000000000001,0.5,240.0,,,,,,,,6760.0,0.05,8m,1.8,0.6000000000000001,2.0,1024.0,7648.0,0.03,9m,1.8,0.8,1.0,184.0,1416.0,0.03,6m,2.8,0.4,1.5,736.0,2912.0,0.03,5m,2.2,0.0,1.0,600.0,,,,,,,,7560,0.02,5m,2.6,0.2,2.0,280,3376.0,0.04,4m,2.6,0.2,0.5,376.0,0.2,8,COMPLETE
57,57,1.0095242433032106,2025-06-22 17:14:36.040614,2025-06-22 17:14:43.257298,0 days 00:00:07.216684,3216.0,0.02,8m,2.8,1.0,0.5,184.0,4488.0,0.04,9m,1.0,0.6000000000000001,0.5,216.0,,,,,,,,7992.0,0.05,8m,1.8,0.6000000000000001,2.0,1024.0,7704.0,0.03,9m,1.8,0.8,1.0,160.0,1288.0,0.03,6m,2.8,0.8,1.5,664.0,2856.0,0.045000000000000005,5m,2.6,0.0,1.0,512.0,,,,,,,,8056,0.01,5m,2.6,0.2,2.0,248,3152.0,0.04,4m,2.6,0.2,0.5,264.0,0.2,8,COMPLETE
58,58,0.9740856507985439,2025-06-22 17:14:43.288168,2025-06-22 17:14:51.847416,0 days 00:00:08.559248,2312.0,0.015,8m,2.6,1.0,0.5,216.0,5488.0,0.045000000000000005,9m,1.2,0.4,0.5,208.0,1816.0,0.02,6m,2.8,0.2,1.5,752.0,6208.0,0.05,5m,1.8,0.4,2.0,952.0,7280.0,0.035,9m,1.6,0.8,1.0,184.0,1424.0,0.05,6m,2.6,0.6000000000000001,2.0,736.0,4392.0,0.05,5m,2.2,0.0,1.0,416.0,,,,,,,,7712,0.045000000000000005,5m,2.4000000000000004,0.0,2.0,280,3448.0,0.045000000000000005,3m,2.2,0.4,0.5,368.0,0.25,9,COMPLETE
59,59,0.991929261725307,2025-06-22 17:14:51.875934,2025-06-22 17:14:58.217605,0 days 00:00:06.341671,1416.0,0.025,8m,2.4000000000000004,0.2,0.5,264.0,,,,,,,,,,,,,,,7120.0,0.045000000000000005,8m,2.2,0.6000000000000001,2.0,872.0,7760.0,0.02,9m,1.4,1.0,1.0,264.0,1832.0,0.03,8m,1.8,0.4,1.5,840.0,5544.0,0.015,6m,2.4000000000000004,0.8,1.5,608.0,,,,,,,,6656,0.02,5m,2.8,0.0,2.0,336,1496.0,0.05,4m,2.8,0.2,0.5,192.0,0.3,7,COMPLETE
60,60,1.0119692273380623,2025-06-22 17:14:58.243388,2025-06-22 17:15:06.664640,0 days 00:00:08.421252,1648.0,0.03,9m,2.8,0.8,1.5,176.0,6592.0,0.05,3m,1.0,0.8,0.5,304.0,,,,,,,,5336.0,0.05,4m,1.4,0.8,2.0,952.0,7032.0,0.04,9m,1.8,0.8,1.0,304.0,2600.0,0.045000000000000005,6m,2.2,0.4,1.5,616.0,1744.0,0.03,5m,2.0,0.0,0.5,848.0,,,,,,,,7552,0.015,4m,2.0,0.2,2.0,200,2584.0,0.04,4m,2.4000000000000004,0.0,1.0,200.0,0.2,8,COMPLETE
61,61,0.958537836812173,2025-06-22 17:15:06.693979,2025-06-22 17:15:15.147797,0 days 00:00:08.453818,1576.0,0.035,9m,2.8,1.0,1.5,176.0,6360.0,0.05,3m,1.0,0.8,0.5,296.0,,,,,,,,5912.0,0.05,4m,1.4,0.8,2.0,952.0,7160.0,0.045000000000000005,9m,1.8,0.8,1.0,296.0,2640.0,0.045000000000000005,6m,2.2,0.4,1.5,544.0,1656.0,0.03,5m,2.0,0.0,0.5,904.0,,,,,,,,7648,0.015,4m,2.0,0.2,2.0,208,2552.0,0.04,4m,2.4000000000000004,0.0,1.0,200.0,0.1,8,COMPLETE
62,62,0.942498630619786,2025-06-22 17:15:15.171171,2025-06-22 17:15:24.864517,0 days 00:00:09.693346,1120.0,0.035,9m,3.0,1.0,1.5,248.0,5088.0,0.05,3m,1.2,0.6000000000000001,0.5,200.0,1992.0,0.025,6m,3.0,0.0,2.0,488.0,4976.0,0.05,3m,1.2,0.6000000000000001,2.0,1024.0,6576.0,0.04,9m,1.6,0.8,1.0,320.0,2168.0,0.05,6m,2.0,0.4,1.5,696.0,2440.0,0.025,5m,2.4000000000000004,0.0,0.5,848.0,,,,,,,,7528,0.015,4m,1.8,0.2,2.0,392,2728.0,0.045000000000000005,4m,2.6,0.0,0.5,280.0,0.2,9,COMPLETE
63,63,1.0078459838564051,2025-06-22 17:15:24.903483,2025-06-22 17:15:35.155909,0 days 00:00:10.252426,1648.0,0.045000000000000005,9m,2.8,0.8,1.5,328.0,7584.0,0.045000000000000005,6m,1.0,0.8,0.5,384.0,,,,,,,,6904.0,0.045000000000000005,4m,1.6,0.8,2.0,888.0,7096.0,0.04,9m,2.0,0.2,1.0,320.0,1840.0,0.045000000000000005,2m,1.6,0.6000000000000001,1.5,624.0,1840.0,0.035,3m,2.2,0.0,1.0,776.0,,,,,,,,6976,0.01,5m,2.2,0.2,2.0,264,4080.0,0.04,2m,2.8,0.2,1.5,184.0,0.15000000000000002,8,COMPLETE
64,64,0.8957068760581581,2025-06-22 17:15:35.178695,2025-06-22 17:15:46.037264,0 days 00:00:10.858569,2384.0,0.03,8m,2.6,1.0,2.0,176.0,6624.0,0.05,4m,1.2,1.0,0.5,176.0,3776.0,0.035,3m,2.0,0.2,1.0,240.0,7640.0,0.05,4m,1.6,0.2,1.5,968.0,7760.0,0.045000000000000005,8m,1.8,0.6000000000000001,1.0,464.0,2528.0,0.04,6m,1.4,0.4,1.5,776.0,3216.0,0.03,5m,2.2,0.0,0.5,792.0,6256.0,0.02,3m,1.6,0.6000000000000001,1.0,136.0,6416,0.015,4m,1.8,0.0,2.0,352,3376.0,0.05,7m,2.2,0.0,1.0,344.0,0.25,10,COMPLETE
65,65,1.007470808725852,2025-06-22 17:15:46.069415,2025-06-22 17:15:55.058584,0 days 00:00:08.989169,3008.0,0.01,6m,2.4000000000000004,0.8,1.5,160.0,3784.0,0.045000000000000005,3m,1.4,0.8,0.5,272.0,1720.0,0.045000000000000005,4m,2.4000000000000004,0.6000000000000001,2.0,696.0,4192.0,0.045000000000000005,8m,1.4,1.0,2.0,840.0,7368.0,0.05,9m,2.2,0.8,1.0,192.0,3096.0,0.045000000000000005,6m,3.0,0.6000000000000001,1.5,664.0,1280.0,0.025,8m,1.8,0.2,1.5,704.0,,,,,,,,7096,0.02,4m,2.0,0.2,2.0,144,2200.0,0.04,4m,1.0,0.2,0.5,240.0,0.15000000000000002,9,COMPLETE
66,66,0.9697444623403328,2025-06-22 17:15:55.098956,2025-06-22 17:16:02.342817,0 days 00:00:07.243861,1936.0,0.02,9m,2.2,1.0,0.5,128.0,,,,,,,,,,,,,,,5712.0,0.05,8m,1.8,1.0,1.5,936.0,6072.0,0.025,8m,1.8,1.0,0.5,128.0,1504.0,0.05,4m,2.8,1.0,1.5,608.0,3872.0,0.04,9m,2.0,1.0,1.0,944.0,,,,,,,,7392,0.04,3m,2.2,0.2,1.5,168,3848.0,0.03,3m,2.6,0.0,2.0,736.0,0.3,7,COMPLETE
67,67,0.9279285338771222,2025-06-22 17:16:02.368893,2025-06-22 17:16:11.904775,0 days 00:00:09.535882,1384.0,0.04,2m,3.0,0.8,0.5,240.0,5864.0,0.01,7m,1.0,0.6000000000000001,1.0,240.0,,,,,,,,6488.0,0.045000000000000005,4m,1.2,0.8,2.0,712.0,7880.0,0.03,6m,1.6,0.8,1.0,256.0,3672.0,0.04,6m,1.0,0.8,1.5,728.0,6832.0,0.03,5m,2.4000000000000004,0.0,0.5,272.0,,,,,,,,7968,0.035,3m,1.6,0.0,1.5,192,2016.0,0.045000000000000005,4m,1.6,0.2,1.0,176.0,0.2,8,COMPLETE
68,68,0.9696354203886698,2025-06-22 17:16:11.924799,2025-06-22 17:16:21.278775,0 days 00:00:09.353976,1792.0,0.01,3m,2.2,1.0,2.0,312.0,7456.0,0.05,9m,1.2,1.0,0.5,176.0,2648.0,0.025,7m,2.8,0.4,1.5,408.0,1400.0,0.04,8m,1.6,0.6000000000000001,1.5,984.0,7032.0,0.02,4m,2.0,0.8,1.5,528.0,2264.0,0.03,2m,2.0,0.2,1.5,552.0,3640.0,0.02,5m,1.6,0.0,1.0,640.0,,,,,,,,6688,0.04,8m,2.0,0.4,2.0,296,1440.0,0.035,9m,3.0,0.8,0.5,296.0,0.35000000000000003,9,COMPLETE
69,69,0.9929082302468444,2025-06-22 17:16:21.321318,2025-06-22 17:16:33.534744,0 days 00:00:12.213426,2544.0,0.015,5m,2.6,1.0,1.0,592.0,5144.0,0.04,8m,1.0,0.6000000000000001,2.0,352.0,1552.0,0.035,2m,2.6,0.0,2.0,208.0,4640.0,0.05,8m,1.8,0.8,1.5,984.0,6648.0,0.015,8m,1.8,0.6000000000000001,1.0,336.0,2800.0,0.045000000000000005,6m,1.2,0.0,1.5,888.0,3032.0,0.01,2m,2.2,0.2,1.5,752.0,2976.0,0.04,4m,3.0,0.8,2.0,792.0,6192,0.045000000000000005,3m,2.4000000000000004,0.2,1.5,232,2832.0,0.05,4m,2.4000000000000004,0.0,0.5,168.0,0.3,10,COMPLETE
70,70,1.0026660981177682,2025-06-22 17:16:33.610496,2025-06-22 17:16:41.002871,0 days 00:00:07.392375,6072.0,0.025,8m,2.4000000000000004,0.4,0.5,376.0,,,,,,,,,,,,,,,3128.0,0.01,9m,1.4,1.0,2.0,832.0,7568.0,0.01,2m,2.2,1.0,0.5,384.0,5096.0,0.05,5m,2.6,0.6000000000000001,2.0,456.0,4200.0,0.045000000000000005,3m,2.6,0.0,1.0,840.0,,,,,,,,4448,0.02,4m,1.8,0.0,1.0,392,,,,,,,,0.1,6,COMPLETE
71,71,0.9509631270577962,2025-06-22 17:16:41.060086,2025-06-22 17:16:44.674617,0 days 00:00:03.614531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800.0,0.015,3m,3.0,0.4,1.0,792.0,3416.0,0.03,5m,1.6,0.6000000000000001,2.0,680.0,,,,,,,,3976,0.025,6m,2.6,0.4,0.5,616,,,,,,,,0.25,3,COMPLETE
72,72,0.9434437400331983,2025-06-22 17:16:44.700928,2025-06-22 17:16:49.334414,0 days 00:00:04.633486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7968.0,0.02,3m,1.6,0.6000000000000001,1.0,440.0,5312.0,0.01,6m,3.0,0.2,1.0,752.0,2168.0,0.035,5m,1.8,0.2,2.0,544.0,,,,,,,,8168,0.02,6m,2.8,0.4,0.5,712,,,,,,,,0.2,4,COMPLETE
73,73,1.0028075007737822,2025-06-22 17:16:49.360670,2025-06-22 17:16:52.998231,0 days 00:00:03.637561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6232.0,0.025,7m,2.0,0.8,1.5,280.0,5608.0,0.02,8m,2.8,0.0,1.0,416.0,2888.0,0.03,5m,1.6,0.0,1.0,736.0,,,,,,,,5152,0.025,6m,3.0,0.4,1.0,544,,,,,,,,0.45,4,COMPLETE
74,74,0.9969882731804047,2025-06-22 17:16:53.064871,2025-06-22 17:16:55.225590,0 days 00:00:02.160719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4568.0,0.025,5m,2.0,0.2,2.0,880.0,,,,,,,,1112,0.02,7m,2.6,0.6000000000000001,1.5,632,,,,,,,,0.5,2,COMPLETE
75,75,0.9774778793203622,2025-06-22 17:16:55.266781,2025-06-22 17:17:03.168796,0 days 00:00:07.902015,1344.0,0.01,9m,2.4000000000000004,0.8,1.5,472.0,7704.0,0.045000000000000005,8m,2.6,0.4,0.5,168.0,,,,,,,,1400.0,0.04,7m,2.0,0.2,1.5,888.0,6976.0,0.04,8m,2.0,1.0,1.0,392.0,5864.0,0.015,2m,3.0,0.4,1.5,232.0,2536.0,0.015,5m,1.4,0.0,1.0,656.0,,,,,,,,1536,0.03,9m,2.4000000000000004,0.4,0.5,648,3408.0,0.025,7m,2.8,1.0,1.0,960.0,0.35000000000000003,8,COMPLETE
