,number,value,datetime_start,datetime_complete,duration,params_AAPL_INTU_beta_win,params_AAPL_INTU_stop_loss,params_AAPL_INTU_trade_freq,params_AAPL_INTU_z_entry,params_AAPL_INTU_z_exit,params_AAPL_INTU_z_stop_scaler,params_AAPL_INTU_z_win,params_ANSS_EBAY_beta_win,params_ANSS_EBAY_stop_loss,params_ANSS_EBAY_trade_freq,params_ANSS_EBAY_z_entry,params_ANSS_EBAY_z_exit,params_ANSS_EBAY_z_stop_scaler,params_ANSS_EBAY_z_win,params_CHTR_FTNT_beta_win,params_CHTR_FTNT_stop_loss,params_CHTR_FTNT_trade_freq,params_CHTR_FTNT_z_entry,params_CHTR_FTNT_z_exit,params_CHTR_FTNT_z_stop_scaler,params_CHTR_FTNT_z_win,params_COST_INTU_beta_win,params_COST_INTU_stop_loss,params_COST_INTU_trade_freq,params_COST_INTU_z_entry,params_COST_INTU_z_exit,params_COST_INTU_z_stop_scaler,params_COST_INTU_z_win,params_CTSH_MU_beta_win,params_CTSH_MU_stop_loss,params_CTSH_MU_trade_freq,params_CTSH_MU_z_entry,params_CTSH_MU_z_exit,params_CTSH_MU_z_stop_scaler,params_CTSH_MU_z_win,params_DDOG_GOOGL_beta_win,params_DDOG_GOOGL_stop_loss,params_DDOG_GOOGL_trade_freq,params_DDOG_GOOGL_z_entry,params_DDOG_GOOGL_z_exit,params_DDOG_GOOGL_z_stop_scaler,params_DDOG_GOOGL_z_win,params_DDOG_GOOG_beta_win,params_DDOG_GOOG_stop_loss,params_DDOG_GOOG_trade_freq,params_DDOG_GOOG_z_entry,params_DDOG_GOOG_z_exit,params_DDOG_GOOG_z_stop_scaler,params_DDOG_GOOG_z_win,params_EBAY_FAST_beta_win,params_EBAY_FAST_stop_loss,params_EBAY_FAST_trade_freq,params_EBAY_FAST_z_entry,params_EBAY_FAST_z_exit,params_EBAY_FAST_z_stop_scaler,params_EBAY_FAST_z_win,params_FAST_MU_beta_win,params_FAST_MU_stop_loss,params_FAST_MU_trade_freq,params_FAST_MU_z_entry,params_FAST_MU_z_exit,params_FAST_MU_z_stop_scaler,params_FAST_MU_z_win,params_LRCX_NXPI_beta_win,params_LRCX_NXPI_stop_loss,params_LRCX_NXPI_trade_freq,params_LRCX_NXPI_z_entry,params_LRCX_NXPI_z_exit,params_LRCX_NXPI_z_stop_scaler,params_LRCX_NXPI_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,1.0,2025-06-22 17:09:19.200085,2025-06-22 17:09:20.572476,0 days 00:00:01.372391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7840,0.035,7m,3.0,0.0,2.0,464,,,,,,,,0.5,1,COMPLETE
11,11,1.0053068489230808,2025-06-22 17:09:20.621555,2025-06-22 17:09:21.764506,0 days 00:00:01.142951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8128,0.035,7m,3.0,0.0,2.0,448,,,,,,,,0.5,1,COMPLETE
12,12,0.9907491003125332,2025-06-22 17:09:21.799803,2025-06-22 17:09:24.749077,0 days 00:00:02.949274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4968.0,0.05,5m,2.8,0.4,1.5,408.0,1120.0,0.03,5m,1.8,0.2,2.0,448.0,,,,,,,,6864,0.04,7m,2.6,0.0,1.5,472,,,,,,,,0.5,3,COMPLETE
13,13,1.0,2025-06-22 17:09:24.773085,2025-06-22 17:09:26.060516,0 days 00:00:01.287431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3888,0.03,6m,2.4000000000000004,0.4,2.0,640,,,,,,,,0.5,1,COMPLETE
14,14,0.9993935815003755,2025-06-22 17:09:26.086366,2025-06-22 17:09:32.225249,0 days 00:00:06.138883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7928.0,0.01,3m,3.0,1.0,0.5,992.0,3256.0,0.025,2m,3.0,0.4,1.5,408.0,3328.0,0.025,5m,1.8,0.6000000000000001,1.5,1016.0,,,,,,,,7864,0.04,4m,3.0,0.2,1.0,352,,,,,,,,0.45,4,COMPLETE
15,15,0.9214789498063656,2025-06-22 17:09:32.251022,2025-06-22 17:09:35.670117,0 days 00:00:03.419095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6136.0,0.02,8m,1.8,0.6000000000000001,0.5,456.0,2896.0,0.035,3m,1.0,0.2,2.0,784.0,,,,,,,,4200,0.01,7m,2.0,0.0,1.5,696,,,,,,,,0.25,3,COMPLETE
16,16,0.9826262255893218,2025-06-22 17:09:35.702067,2025-06-22 17:09:37.625073,0 days 00:00:01.923006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5984.0,0.02,8m,1.4,0.6000000000000001,1.0,456.0,,,,,,,,6576,0.03,6m,2.6,0.4,2.0,376,,,,,,,,0.25,2,COMPLETE
17,17,0.9856687888425687,2025-06-22 17:09:37.664307,2025-06-22 17:09:44.040435,0 days 00:00:06.376128,,,,,,,,,,,,,,,,,,,,,,5376.0,0.01,2m,1.6,0.0,0.5,1000.0,3648.0,0.01,6m,2.2,1.0,1.5,1024.0,3520.0,0.01,3m,2.8,0.2,1.5,280.0,1216.0,0.025,9m,2.0,0.2,1.5,464.0,,,,,,,,5312,0.04,4m,2.8,0.2,0.5,296,,,,,,,,0.45,5,COMPLETE
18,18,0.9939312730792688,2025-06-22 17:09:44.085983,2025-06-22 17:09:46.214637,0 days 00:00:02.128654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3192.0,0.035,5m,1.6,0.8,2.0,816.0,,,,,,,,6672,0.025,9m,2.4000000000000004,0.8,1.0,504,,,,,,,,0.45,2,COMPLETE
19,19,0.9939497252597765,2025-06-22 17:09:46.261116,2025-06-22 17:09:47.649775,0 days 00:00:01.388659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3576,0.045000000000000005,5m,1.8,0.6000000000000001,1.5,720,,,,,,,,0.4,1,COMPLETE
