,number,value,datetime_start,datetime_complete,duration,params_ADP_CTAS_beta_win,params_ADP_CTAS_stop_loss,params_ADP_CTAS_trade_freq,params_ADP_CTAS_z_entry,params_ADP_CTAS_z_exit,params_ADP_CTAS_z_stop_scaler,params_ADP_CTAS_z_win,params_ALXN_CHTR_beta_win,params_ALXN_CHTR_stop_loss,params_ALXN_CHTR_trade_freq,params_ALXN_CHTR_z_entry,params_ALXN_CHTR_z_exit,params_ALXN_CHTR_z_stop_scaler,params_ALXN_CHTR_z_win,params_AMD_CMCSA_beta_win,params_AMD_CMCSA_stop_loss,params_AMD_CMCSA_trade_freq,params_AMD_CMCSA_z_entry,params_AMD_CMCSA_z_exit,params_AMD_CMCSA_z_stop_scaler,params_AMD_CMCSA_z_win,params_AMD_PTON_beta_win,params_AMD_PTON_stop_loss,params_AMD_PTON_trade_freq,params_AMD_PTON_z_entry,params_AMD_PTON_z_exit,params_AMD_PTON_z_stop_scaler,params_AMD_PTON_z_win,params_AMGN_TEAM_beta_win,params_AMGN_TEAM_stop_loss,params_AMGN_TEAM_trade_freq,params_AMGN_TEAM_z_entry,params_AMGN_TEAM_z_exit,params_AMGN_TEAM_z_stop_scaler,params_AMGN_TEAM_z_win,params_CMCSA_PTON_beta_win,params_CMCSA_PTON_stop_loss,params_CMCSA_PTON_trade_freq,params_CMCSA_PTON_z_entry,params_CMCSA_PTON_z_exit,params_CMCSA_PTON_z_stop_scaler,params_CMCSA_PTON_z_win,params_CMCSA_QCOM_beta_win,params_CMCSA_QCOM_stop_loss,params_CMCSA_QCOM_trade_freq,params_CMCSA_QCOM_z_entry,params_CMCSA_QCOM_z_exit,params_CMCSA_QCOM_z_stop_scaler,params_CMCSA_QCOM_z_win,params_CMCSA_SPLK_beta_win,params_CMCSA_SPLK_stop_loss,params_CMCSA_SPLK_trade_freq,params_CMCSA_SPLK_z_entry,params_CMCSA_SPLK_z_exit,params_CMCSA_SPLK_z_stop_scaler,params_CMCSA_SPLK_z_win,params_CMCSA_VRTX_beta_win,params_CMCSA_VRTX_stop_loss,params_CMCSA_VRTX_trade_freq,params_CMCSA_VRTX_z_entry,params_CMCSA_VRTX_z_exit,params_CMCSA_VRTX_z_stop_scaler,params_CMCSA_VRTX_z_win,params_CMCSA_XLNX_beta_win,params_CMCSA_XLNX_stop_loss,params_CMCSA_XLNX_trade_freq,params_CMCSA_XLNX_z_entry,params_CMCSA_XLNX_z_exit,params_CMCSA_XLNX_z_stop_scaler,params_CMCSA_XLNX_z_win,params_CSCO_CTAS_beta_win,params_CSCO_CTAS_stop_loss,params_CSCO_CTAS_trade_freq,params_CSCO_CTAS_z_entry,params_CSCO_CTAS_z_exit,params_CSCO_CTAS_z_stop_scaler,params_CSCO_CTAS_z_win,params_FB_CTAS_beta_win,params_FB_CTAS_stop_loss,params_FB_CTAS_trade_freq,params_FB_CTAS_z_entry,params_FB_CTAS_z_exit,params_FB_CTAS_z_stop_scaler,params_FB_CTAS_z_win,params_FOXA_XLNX_beta_win,params_FOXA_XLNX_stop_loss,params_FOXA_XLNX_trade_freq,params_FOXA_XLNX_z_entry,params_FOXA_XLNX_z_exit,params_FOXA_XLNX_z_stop_scaler,params_FOXA_XLNX_z_win,params_FOX_XLNX_beta_win,params_FOX_XLNX_stop_loss,params_FOX_XLNX_trade_freq,params_FOX_XLNX_z_entry,params_FOX_XLNX_z_exit,params_FOX_XLNX_z_stop_scaler,params_FOX_XLNX_z_win,params_INTC_MU_beta_win,params_INTC_MU_stop_loss,params_INTC_MU_trade_freq,params_INTC_MU_z_entry,params_INTC_MU_z_exit,params_INTC_MU_z_stop_scaler,params_INTC_MU_z_win,params_JD_CTAS_beta_win,params_JD_CTAS_stop_loss,params_JD_CTAS_trade_freq,params_JD_CTAS_z_entry,params_JD_CTAS_z_exit,params_JD_CTAS_z_stop_scaler,params_JD_CTAS_z_win,params_KLAC_MCHP_beta_win,params_KLAC_MCHP_stop_loss,params_KLAC_MCHP_trade_freq,params_KLAC_MCHP_z_entry,params_KLAC_MCHP_z_exit,params_KLAC_MCHP_z_stop_scaler,params_KLAC_MCHP_z_win,params_MTCH_TEAM_beta_win,params_MTCH_TEAM_stop_loss,params_MTCH_TEAM_trade_freq,params_MTCH_TEAM_z_entry,params_MTCH_TEAM_z_exit,params_MTCH_TEAM_z_stop_scaler,params_MTCH_TEAM_z_win,params_NFLX_CHTR_beta_win,params_NFLX_CHTR_stop_loss,params_NFLX_CHTR_trade_freq,params_NFLX_CHTR_z_entry,params_NFLX_CHTR_z_exit,params_NFLX_CHTR_z_stop_scaler,params_NFLX_CHTR_z_win,params_NFLX_CTAS_beta_win,params_NFLX_CTAS_stop_loss,params_NFLX_CTAS_trade_freq,params_NFLX_CTAS_z_entry,params_NFLX_CTAS_z_exit,params_NFLX_CTAS_z_stop_scaler,params_NFLX_CTAS_z_win,params_PTON_CTAS_beta_win,params_PTON_CTAS_stop_loss,params_PTON_CTAS_trade_freq,params_PTON_CTAS_z_entry,params_PTON_CTAS_z_exit,params_PTON_CTAS_z_stop_scaler,params_PTON_CTAS_z_win,params_PTON_SGEN_beta_win,params_PTON_SGEN_stop_loss,params_PTON_SGEN_trade_freq,params_PTON_SGEN_z_entry,params_PTON_SGEN_z_exit,params_PTON_SGEN_z_stop_scaler,params_PTON_SGEN_z_win,params_PTON_XLNX_beta_win,params_PTON_XLNX_stop_loss,params_PTON_XLNX_trade_freq,params_PTON_XLNX_z_entry,params_PTON_XLNX_z_exit,params_PTON_XLNX_z_stop_scaler,params_PTON_XLNX_z_win,params_QCOM_CTAS_beta_win,params_QCOM_CTAS_stop_loss,params_QCOM_CTAS_trade_freq,params_QCOM_CTAS_z_entry,params_QCOM_CTAS_z_exit,params_QCOM_CTAS_z_stop_scaler,params_QCOM_CTAS_z_win,params_ROST_CTAS_beta_win,params_ROST_CTAS_stop_loss,params_ROST_CTAS_trade_freq,params_ROST_CTAS_z_entry,params_ROST_CTAS_z_exit,params_ROST_CTAS_z_stop_scaler,params_ROST_CTAS_z_win,params_SBUX_CTAS_beta_win,params_SBUX_CTAS_stop_loss,params_SBUX_CTAS_trade_freq,params_SBUX_CTAS_z_entry,params_SBUX_CTAS_z_exit,params_SBUX_CTAS_z_stop_scaler,params_SBUX_CTAS_z_win,params_SPLK_CTAS_beta_win,params_SPLK_CTAS_stop_loss,params_SPLK_CTAS_trade_freq,params_SPLK_CTAS_z_entry,params_SPLK_CTAS_z_exit,params_SPLK_CTAS_z_stop_scaler,params_SPLK_CTAS_z_win,params_TSLA_CTAS_beta_win,params_TSLA_CTAS_stop_loss,params_TSLA_CTAS_trade_freq,params_TSLA_CTAS_z_entry,params_TSLA_CTAS_z_exit,params_TSLA_CTAS_z_stop_scaler,params_TSLA_CTAS_z_win,params_ZM_CTAS_beta_win,params_ZM_CTAS_stop_loss,params_ZM_CTAS_trade_freq,params_ZM_CTAS_z_entry,params_ZM_CTAS_z_exit,params_ZM_CTAS_z_stop_scaler,params_ZM_CTAS_z_win,params_ZM_TEAM_beta_win,params_ZM_TEAM_stop_loss,params_ZM_TEAM_trade_freq,params_ZM_TEAM_z_entry,params_ZM_TEAM_z_exit,params_ZM_TEAM_z_stop_scaler,params_ZM_TEAM_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,0.9143103070955909,2025-06-22 16:10:14.821887,2025-06-22 16:10:25.266231,0 days 00:00:10.444344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8144,0.025,1m,1.0,1.0,2.0,144,6208,0.01,1m,1.2,0.0,1.0,976,,,,,,,,,,,,,,,7464,0.01,4m,1.8,1.0,0.5,288,,,,,,,,,,,,,,,1104,0.035,3m,2.8,1.0,1.0,408,5136,0.05,5m,1.2,1.0,1.5,144,7968,0.05,5m,1.4,0.2,0.5,128,3184,0.05,5m,2.0,0.6000000000000001,2.0,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8024,0.05,3m,1.0,0.6000000000000001,1.0,160,5568,0.03,2m,1.8,0.6000000000000001,2.0,776,4160,0.05,2m,2.6,1.0,0.5,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,10,COMPLETE
11,11,0.9904345136662529,2025-06-22 16:10:25.308005,2025-06-22 16:10:57.436052,0 days 00:00:32.128047,3656.0,0.05,3m,1.6,1.0,0.5,1024.0,7224.0,0.01,5m,2.8,1.0,1.5,152.0,7680.0,0.03,4m,2.0,0.4,0.5,176.0,5640.0,0.01,4m,1.0,0.8,1.0,632.0,4184.0,0.015,5m,1.2,1.0,1.5,472.0,3672,0.05,5m,2.8,0.4,0.5,720,4080,0.02,2m,1.4,0.0,1.5,408,1040.0,0.01,5m,2.8,1.0,2.0,136.0,1816.0,0.05,4m,2.0,1.0,2.0,1024.0,6648,0.025,2m,1.0,1.0,1.0,704,8104.0,0.035,2m,2.8,1.0,1.0,152.0,6952.0,0.025,5m,1.0,0.2,0.5,192.0,2048,0.01,3m,1.0,0.4,1.0,432,6464,0.025,3m,1.6,0.4,1.5,472,7472,0.05,3m,3.0,0.4,2.0,472,3384,0.035,1m,2.2,0.4,1.5,992,3272.0,0.05,1m,3.0,0.0,2.0,920.0,3152.0,0.04,2m,1.2,0.8,0.5,280.0,1120.0,0.03,1m,2.2,0.6000000000000001,1.5,448.0,2240.0,0.05,2m,1.0,1.0,0.5,936.0,1304.0,0.05,3m,2.8,1.0,2.0,984.0,1336.0,0.045000000000000005,2m,1.8,0.4,2.0,472.0,3328,0.05,1m,1.4,1.0,0.5,472,3056,0.01,1m,1.6,0.0,2.0,904,5312,0.045000000000000005,1m,1.0,0.6000000000000001,1.0,344,4224.0,0.01,1m,3.0,0.2,1.5,128.0,1680.0,0.05,2m,2.4000000000000004,0.2,2.0,224.0,8144.0,0.03,5m,2.8,0.4,1.0,128.0,4928.0,0.05,3m,2.0,0.8,2.0,168.0,7968.0,0.05,1m,2.0,0.6000000000000001,0.5,616.0,0.45,30,COMPLETE
12,12,0.9672818962331984,2025-06-22 16:10:57.493593,2025-06-22 16:11:16.652516,0 days 00:00:19.158923,3176.0,0.03,3m,1.4,1.0,0.5,496.0,7016.0,0.05,4m,2.6,0.8,1.0,200.0,6472.0,0.01,5m,1.6,1.0,2.0,888.0,8016.0,0.02,2m,1.6,1.0,1.5,776.0,,,,,,,,1296,0.04,5m,2.6,1.0,0.5,1000,3656,0.02,3m,1.6,1.0,2.0,160,7888.0,0.045000000000000005,1m,2.4000000000000004,0.4,1.0,184.0,,,,,,,,5952,0.05,2m,1.0,0.4,0.5,752,,,,,,,,,,,,,,,5008,0.01,3m,2.6,0.6000000000000001,1.0,136,7960,0.025,5m,1.8,0.4,1.0,992,6456,0.04,5m,2.2,1.0,1.5,496,1976,0.04,1m,1.6,0.0,2.0,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5896,0.04,1m,2.2,1.0,0.5,1016,2896,0.035,2m,2.2,0.4,1.0,768,5328,0.025,1m,2.4000000000000004,0.6000000000000001,1.0,408,4344.0,0.01,1m,2.2,0.8,2.0,560.0,2848.0,0.05,5m,2.4000000000000004,1.0,2.0,992.0,1024.0,0.03,3m,2.4000000000000004,0.0,0.5,248.0,,,,,,,,,,,,,,,0.4,18,COMPLETE
13,13,1.022809722602813,2025-06-22 16:11:16.733889,2025-06-22 16:11:39.194517,0 days 00:00:22.460628,5264.0,0.05,5m,2.2,0.6000000000000001,0.5,648.0,2192.0,0.01,5m,2.4000000000000004,0.8,1.5,336.0,6392.0,0.04,3m,2.4000000000000004,0.4,1.5,368.0,2568.0,0.01,3m,1.6,0.6000000000000001,0.5,520.0,,,,,,,,3160,0.05,1m,2.4000000000000004,0.6000000000000001,1.0,456,6424,0.035,4m,1.2,0.2,1.0,400,3232.0,0.04,4m,3.0,0.4,2.0,344.0,2048.0,0.04,5m,1.0,0.4,1.5,656.0,7704,0.035,3m,1.4,0.8,1.0,1008,,,,,,,,,,,,,,,2456,0.02,4m,2.4000000000000004,0.6000000000000001,0.5,520,3176,0.02,2m,1.4,0.8,1.5,304,1272,0.015,1m,2.2,0.2,0.5,1008,3472,0.025,3m,2.2,0.4,1.5,888,1672.0,0.045000000000000005,3m,2.2,0.4,1.5,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3936.0,0.035,3m,3.0,0.6000000000000001,1.5,584.0,3664,0.03,1m,1.6,0.6000000000000001,0.5,456,5096,0.02,1m,1.0,0.2,2.0,792,6304,0.04,5m,1.4,0.8,0.5,248,2880.0,0.02,1m,1.4,0.2,1.5,128.0,3984.0,0.025,2m,3.0,0.2,1.5,520.0,8008.0,0.01,1m,1.4,0.2,1.0,1000.0,,,,,,,,,,,,,,,0.5,21,COMPLETE
14,14,0.996917804396139,2025-06-22 16:11:39.267340,2025-06-22 16:11:58.211563,0 days 00:00:18.944223,5392.0,0.05,5m,2.2,0.6000000000000001,1.5,624.0,2312.0,0.01,5m,2.4000000000000004,0.8,1.5,368.0,7760.0,0.045000000000000005,4m,2.4000000000000004,0.4,0.5,368.0,2536.0,0.02,3m,1.6,0.6000000000000001,1.5,448.0,,,,,,,,2672,0.035,1m,2.4000000000000004,0.2,0.5,400,6472,0.04,4m,1.0,0.2,1.0,448,2704.0,0.045000000000000005,4m,3.0,0.6000000000000001,2.0,360.0,1064.0,0.04,5m,1.0,0.4,1.5,704.0,8104,0.04,3m,1.4,0.8,0.5,1008,,,,,,,,,,,,,,,2184,0.02,3m,2.6,0.6000000000000001,1.0,528,3232,0.03,3m,1.4,1.0,1.5,264,1200,0.01,1m,2.2,0.2,0.5,1016,3384,0.02,3m,2.2,0.4,1.5,144,1176.0,0.05,3m,2.6,0.2,0.5,752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3840.0,0.03,3m,3.0,0.6000000000000001,0.5,448.0,3904,0.03,2m,1.4,0.6000000000000001,1.0,368,5584,0.025,2m,1.0,0.2,1.5,656,3416,0.04,5m,1.4,0.8,0.5,816,5544.0,0.02,4m,1.8,0.2,1.0,456.0,1488.0,0.025,1m,3.0,0.4,1.5,488.0,6568.0,0.01,5m,1.4,0.6000000000000001,0.5,1024.0,,,,,,,,,,,,,,,0.5,21,COMPLETE
15,15,0.8998143704121359,2025-06-22 16:11:58.235717,2025-06-22 16:12:11.975982,0 days 00:00:13.740265,5160.0,0.03,5m,2.4000000000000004,0.8,0.5,328.0,2456.0,0.01,5m,3.0,1.0,1.5,392.0,6864.0,0.035,3m,1.8,0.2,1.5,128.0,2752.0,0.025,3m,2.2,0.8,1.0,496.0,,,,,,,,1736,0.05,1m,1.0,1.0,1.0,440,6576,0.04,4m,1.0,0.2,1.0,424,,,,,,,,,,,,,,,6984,0.02,3m,1.0,0.8,1.0,1016,,,,,,,,,,,,,,,1080,0.02,4m,3.0,0.6000000000000001,2.0,288,2432,0.02,5m,1.0,0.8,2.0,344,1208,0.015,1m,2.0,0.2,0.5,1016,4160,0.045000000000000005,3m,2.2,0.8,1.5,872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2736,0.03,3m,1.6,0.0,0.5,128,5496,0.04,1m,1.0,0.4,1.0,1016,5288,0.045000000000000005,5m,2.6,1.0,0.5,472,,,,,,,,,,,,,,,1200.0,0.01,3m,1.0,0.2,1.0,312.0,,,,,,,,,,,,,,,0.5,15,COMPLETE
16,16,1.0709283067270245,2025-06-22 16:12:12.023525,2025-06-22 16:12:30.509925,0 days 00:00:18.486400,2632.0,0.035,5m,1.8,1.0,1.5,584.0,2248.0,0.015,5m,2.4000000000000004,0.0,1.5,336.0,5168.0,0.04,4m,1.6,0.2,1.0,400.0,2592.0,0.015,5m,1.8,0.8,2.0,312.0,,,,,,,,4680,0.025,1m,1.8,0.6000000000000001,2.0,320,5512,0.035,4m,1.4,0.0,0.5,656,5568.0,0.02,4m,2.6,0.2,2.0,680.0,2928.0,0.035,4m,2.4000000000000004,0.2,1.5,968.0,1832,0.035,3m,1.4,0.8,2.0,880,,,,,,,,,,,,,,,4392,0.03,3m,2.4000000000000004,0.2,0.5,560,4648,0.035,2m,2.0,0.8,1.5,128,3328,0.045000000000000005,5m,1.4,0.4,1.0,872,1032,0.025,3m,1.8,0.4,2.0,960,1096.0,0.04,3m,2.4000000000000004,0.4,1.5,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080.0,0.05,3m,1.2,0.6000000000000001,1.5,216.0,5056,0.025,1m,1.0,0.4,1.5,488,4224,0.025,1m,2.0,0.8,2.0,744,6616,0.04,5m,1.4,0.8,1.0,160,3640.0,0.025,5m,1.4,0.2,1.5,760.0,4888.0,0.025,3m,2.6,0.2,2.0,136.0,2480.0,0.02,2m,1.4,1.0,0.5,648.0,,,,,,,,,,,,,,,0.35000000000000003,21,COMPLETE
17,17,0.9873272830871094,2025-06-22 16:12:30.548656,2025-06-22 16:12:42.610200,0 days 00:00:12.061544,,,,,,,,1024.0,0.05,3m,2.2,0.0,2.0,584.0,5056.0,0.05,4m,1.4,0.0,0.5,272.0,3352.0,0.02,5m,2.2,1.0,2.0,328.0,,,,,,,,6976,0.02,1m,1.8,0.8,2.0,304,5360,0.01,1m,1.6,0.0,0.5,664,,,,,,,,,,,,,,,1832,0.04,5m,1.2,0.8,2.0,864,,,,,,,,,,,,,,,4576,0.04,3m,1.0,0.2,1.0,280,4912,0.04,5m,2.0,0.8,2.0,128,3992,0.045000000000000005,5m,1.2,0.4,1.0,856,1120,0.04,5m,1.6,0.2,2.0,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6592,0.02,3m,1.0,0.4,1.5,264,3848,0.035,2m,2.0,1.0,1.5,504,3152,0.045000000000000005,2m,2.0,1.0,1.0,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,13,COMPLETE
18,18,1.137134483809631,2025-06-22 16:12:42.669096,2025-06-22 16:13:00.044715,0 days 00:00:17.375619,2704.0,0.025,5m,1.8,1.0,1.5,248.0,4760.0,0.015,5m,3.0,0.0,1.5,448.0,5512.0,0.035,4m,1.6,0.2,1.0,448.0,1952.0,0.025,5m,1.8,0.8,2.0,320.0,,,,,,,,4992,0.025,1m,1.4,0.2,2.0,128,2784,0.05,1m,1.4,0.0,0.5,856,5528.0,0.02,3m,1.8,0.2,1.5,680.0,,,,,,,,2240,0.02,3m,1.8,0.4,2.0,640,,,,,,,,,,,,,,,4744,0.04,3m,2.4000000000000004,0.2,1.5,344,5264,0.035,2m,2.0,1.0,1.5,216,3304,0.045000000000000005,5m,1.6,0.6000000000000001,1.0,624,2440,0.025,3m,1.8,0.8,2.0,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.0,0.05,3m,1.0,0.8,2.0,136.0,5016,0.035,1m,1.2,0.0,1.5,832,2160,0.025,4m,2.0,0.8,1.0,664,7048,0.04,5m,1.8,0.0,1.0,488,3744.0,0.05,5m,2.6,0.0,1.0,696.0,5304.0,0.02,3m,2.4000000000000004,1.0,2.0,136.0,2392.0,0.02,2m,1.4,1.0,0.5,704.0,,,,,,,,,,,,,,,0.15000000000000002,19,COMPLETE
19,19,0.9107785650201478,2025-06-22 16:13:00.103039,2025-06-22 16:13:16.901809,0 days 00:00:16.798770,2800.0,0.02,4m,1.6,1.0,1.5,184.0,4528.0,0.035,5m,3.0,0.0,1.0,472.0,4784.0,0.04,4m,1.4,0.2,1.0,448.0,1824.0,0.03,5m,2.0,0.8,2.0,336.0,,,,,,,,4744,0.025,1m,1.2,0.2,2.0,128,1032,0.02,4m,1.4,0.6000000000000001,0.5,944,5648.0,0.02,3m,1.6,0.2,1.5,656.0,3504.0,0.01,4m,2.4000000000000004,0.2,1.5,1008.0,2160,0.01,3m,2.4000000000000004,0.2,2.0,672,,,,,,,,,,,,,,,4896,0.045000000000000005,3m,2.4000000000000004,0.0,2.0,576,5808,0.045000000000000005,2m,2.2,1.0,1.5,440,4648,0.04,5m,1.6,0.6000000000000001,1.0,576,2336,0.02,3m,1.4,0.8,2.0,632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1376.0,0.05,3m,1.0,0.8,2.0,152.0,4696,0.025,1m,1.0,0.4,1.5,832,8120,0.025,4m,2.4000000000000004,0.8,0.5,688,7168,0.01,5m,1.6,0.0,1.0,144,3648.0,0.05,5m,2.6,0.0,1.0,712.0,5016.0,0.02,3m,2.4000000000000004,1.0,2.0,128.0,2528.0,0.025,2m,1.8,1.0,2.0,656.0,,,,,,,,,,,,,,,0.15000000000000002,20,COMPLETE
20,20,1.0059399288805893,2025-06-22 16:13:16.948914,2025-06-22 16:13:32.802818,0 days 00:00:15.853904,2608.0,0.025,5m,1.8,0.8,1.5,312.0,6424.0,0.015,5m,2.8,0.2,2.0,704.0,3712.0,0.045000000000000005,5m,1.6,0.0,1.0,440.0,1024.0,0.015,5m,2.4000000000000004,1.0,2.0,304.0,,,,,,,,4392,0.025,2m,1.4,0.2,2.0,264,3040,0.045000000000000005,2m,1.2,0.0,0.5,856,5656.0,0.02,3m,1.8,0.2,2.0,592.0,,,,,,,,2192,0.02,3m,1.8,0.4,2.0,432,,,,,,,,,,,,,,,5592,0.035,3m,2.4000000000000004,0.2,0.5,472,4224,0.03,2m,2.6,1.0,1.0,392,3128,0.045000000000000005,5m,1.0,0.8,1.5,352,1128,0.025,3m,1.8,0.8,2.0,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2392.0,0.05,3m,1.4,0.8,2.0,296.0,5224,0.035,1m,2.6,0.0,2.0,808,2264,0.025,4m,2.2,1.0,2.0,488,7240,0.04,5m,1.2,0.0,1.0,488,5336.0,0.03,5m,3.0,0.4,1.0,1008.0,4848.0,0.03,3m,2.6,0.8,2.0,328.0,2488.0,0.035,2m,1.4,0.8,0.5,656.0,,,,,,,,,,,,,,,0.15000000000000002,19,COMPLETE
21,21,0.9511626618096246,2025-06-22 16:13:32.853974,2025-06-22 16:13:53.463566,0 days 00:00:20.609592,2192.0,0.035,5m,1.8,1.0,1.5,504.0,5064.0,0.015,5m,2.4000000000000004,0.2,1.5,288.0,5576.0,0.03,4m,2.0,0.2,0.5,304.0,2176.0,0.025,5m,1.8,0.8,2.0,144.0,,,,,,,,5088,0.02,1m,1.8,0.4,1.5,192,4288,0.05,1m,1.6,0.0,0.5,696,6800.0,0.01,5m,2.6,0.0,1.5,944.0,3328.0,0.035,4m,2.4000000000000004,0.2,1.0,872.0,1040,0.025,3m,1.8,0.6000000000000001,1.5,600,,,,,,,,6064.0,0.01,2m,3.0,1.0,1.5,144.0,4288,0.03,3m,2.2,0.2,1.5,312,5408,0.035,2m,2.0,0.8,1.5,200,4272,0.045000000000000005,5m,1.4,0.4,1.0,600,2568,0.03,3m,1.8,0.6000000000000001,2.0,696,3216.0,0.035,3m,3.0,0.4,2.0,704.0,,,,,,,,6032.0,0.05,2m,1.8,0.0,1.5,992.0,,,,,,,,,,,,,,,2464.0,0.05,3m,1.4,0.8,1.5,128.0,5880,0.035,1m,1.2,0.0,1.5,1024,2240,0.035,4m,1.8,0.6000000000000001,1.0,880,8160,0.045000000000000005,5m,1.8,0.4,0.5,496,1512.0,0.05,5m,2.6,0.0,1.5,792.0,5400.0,0.02,3m,2.2,0.8,2.0,144.0,1992.0,0.02,2m,1.0,0.8,0.5,440.0,,,,,,,,,,,,,,,0.3,23,COMPLETE
22,22,1.00776194001972,2025-06-22 16:13:53.521158,2025-06-22 16:14:07.882684,0 days 00:00:14.361526,1224.0,0.035,5m,2.0,1.0,2.0,536.0,2904.0,0.015,5m,2.6,0.0,1.5,472.0,7296.0,0.035,4m,1.8,0.4,1.0,208.0,3104.0,0.015,2m,1.4,0.8,1.5,672.0,,,,,,,,6696,0.015,1m,1.6,0.2,2.0,344,5440,0.05,1m,1.4,0.2,1.0,888,,,,,,,,,,,,,,,2592,0.015,5m,1.2,0.2,2.0,856,,,,,,,,,,,,,,,3120,0.04,3m,2.8,0.4,1.5,352,4552,0.035,2m,1.8,0.6000000000000001,2.0,224,3112,0.04,5m,1.8,0.6000000000000001,0.5,792,1568,0.02,5m,2.0,0.8,2.0,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6560,0.045000000000000005,1m,1.2,0.2,1.5,520,1048,0.025,3m,2.0,0.8,1.0,704,5848,0.04,5m,1.8,0.8,1.0,776,,,,,,,,,,,,,,,3416.0,0.025,2m,1.2,0.8,0.5,760.0,,,,,,,,,,,,,,,0.35000000000000003,15,COMPLETE
23,23,0.9083283245632375,2025-06-22 16:14:07.921805,2025-06-22 16:14:27.662411,0 days 00:00:19.740606,3176.0,0.025,5m,1.4,0.8,1.0,280.0,4264.0,0.03,5m,2.2,0.0,1.5,240.0,5776.0,0.035,4m,1.6,0.2,0.5,376.0,4032.0,0.03,5m,1.8,0.4,2.0,544.0,,,,,,,,7376,0.035,1m,1.6,0.6000000000000001,1.5,512,2656,0.045000000000000005,1m,1.8,0.0,0.5,528,5216.0,0.025,2m,2.0,0.2,2.0,792.0,6264.0,0.03,2m,3.0,0.2,1.5,856.0,5016,0.035,3m,1.6,0.4,1.5,480,,,,,,,,5856.0,0.045000000000000005,4m,1.0,0.0,0.5,760.0,5400,0.045000000000000005,3m,2.2,0.2,1.5,184,6584,0.045000000000000005,3m,2.2,0.8,1.5,176,4904,0.05,5m,1.4,0.4,1.0,904,2800,0.035,3m,1.6,0.4,1.5,512,2224.0,0.03,5m,1.6,0.0,1.0,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408.0,0.01,1m,1.4,0.6000000000000001,1.0,320.0,5528,0.025,2m,1.4,0.0,1.0,928,3928,0.03,5m,1.6,0.6000000000000001,1.0,824,4632,0.05,5m,2.8,1.0,1.0,528,3712.0,0.03,5m,2.2,0.4,1.0,624.0,6840.0,0.03,3m,2.6,0.4,2.0,320.0,1792.0,0.015,2m,1.6,1.0,0.5,600.0,,,,,,,,,,,,,,,0.2,22,COMPLETE
24,24,1.0006655411556613,2025-06-22 16:14:27.705292,2025-06-22 16:14:43.254995,0 days 00:00:15.549703,2312.0,0.04,5m,1.8,1.0,1.5,416.0,3840.0,0.015,2m,2.8,0.2,1.5,424.0,6896.0,0.025,4m,1.4,0.6000000000000001,1.0,544.0,5208.0,0.02,5m,1.8,0.6000000000000001,1.5,392.0,,,,,,,,6272,0.025,4m,1.2,0.4,2.0,192,1272,0.035,1m,1.4,0.2,1.0,1024,6816.0,0.015,3m,2.6,0.2,1.5,688.0,,,,,,,,3808,0.025,4m,2.0,0.6000000000000001,2.0,792,,,,,,,,,,,,,,,4352,0.03,5m,1.6,0.4,1.0,240,5728,0.035,1m,1.6,1.0,1.5,544,2360,0.045000000000000005,5m,1.8,0.6000000000000001,1.0,744,4776,0.025,2m,1.4,1.0,2.0,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4784,0.035,3m,1.2,0.4,2.0,728,2312,0.04,4m,2.2,0.8,1.5,584,6904,0.035,5m,2.2,0.4,0.5,248,4992.0,0.04,5m,2.0,0.2,1.5,896.0,2904.0,0.015,5m,2.0,0.6000000000000001,1.0,224.0,3376.0,0.025,2m,1.2,0.8,1.0,144.0,,,,,,,,,,,,,,,0.05,18,COMPLETE
