,number,value,datetime_start,datetime_complete,duration,params_AMAT_TXN_beta_win,params_AMAT_TXN_stop_loss,params_AMAT_TXN_trade_freq,params_AMAT_TXN_z_entry,params_AMAT_TXN_z_exit,params_AMAT_TXN_z_stop_scaler,params_AMAT_TXN_z_win,params_AMD_PCAR_beta_win,params_AMD_PCAR_stop_loss,params_AMD_PCAR_trade_freq,params_AMD_PCAR_z_entry,params_AMD_PCAR_z_exit,params_AMD_PCAR_z_stop_scaler,params_AMD_PCAR_z_win,params_ATVI_NTES_beta_win,params_ATVI_NTES_stop_loss,params_ATVI_NTES_trade_freq,params_ATVI_NTES_z_entry,params_ATVI_NTES_z_exit,params_ATVI_NTES_z_stop_scaler,params_ATVI_NTES_z_win,params_BKNG_MAR_beta_win,params_BKNG_MAR_stop_loss,params_BKNG_MAR_trade_freq,params_BKNG_MAR_z_entry,params_BKNG_MAR_z_exit,params_BKNG_MAR_z_stop_scaler,params_BKNG_MAR_z_win,params_CHTR_CTAS_beta_win,params_CHTR_CTAS_stop_loss,params_CHTR_CTAS_trade_freq,params_CHTR_CTAS_z_entry,params_CHTR_CTAS_z_exit,params_CHTR_CTAS_z_stop_scaler,params_CHTR_CTAS_z_win,params_COST_PCAR_beta_win,params_COST_PCAR_stop_loss,params_COST_PCAR_trade_freq,params_COST_PCAR_z_entry,params_COST_PCAR_z_exit,params_COST_PCAR_z_stop_scaler,params_COST_PCAR_z_win,params_CSX_ZM_beta_win,params_CSX_ZM_stop_loss,params_CSX_ZM_trade_freq,params_CSX_ZM_z_entry,params_CSX_ZM_z_exit,params_CSX_ZM_z_stop_scaler,params_CSX_ZM_z_win,params_KHC_SPLK_beta_win,params_KHC_SPLK_stop_loss,params_KHC_SPLK_trade_freq,params_KHC_SPLK_z_entry,params_KHC_SPLK_z_exit,params_KHC_SPLK_z_stop_scaler,params_KHC_SPLK_z_win,params_LULU_PCAR_beta_win,params_LULU_PCAR_stop_loss,params_LULU_PCAR_trade_freq,params_LULU_PCAR_z_entry,params_LULU_PCAR_z_exit,params_LULU_PCAR_z_stop_scaler,params_LULU_PCAR_z_win,params_MCHP_ZM_beta_win,params_MCHP_ZM_stop_loss,params_MCHP_ZM_trade_freq,params_MCHP_ZM_z_entry,params_MCHP_ZM_z_exit,params_MCHP_ZM_z_stop_scaler,params_MCHP_ZM_z_win,params_MNST_ZM_beta_win,params_MNST_ZM_stop_loss,params_MNST_ZM_trade_freq,params_MNST_ZM_z_entry,params_MNST_ZM_z_exit,params_MNST_ZM_z_stop_scaler,params_MNST_ZM_z_win,params_buffer_capital,params_pairs_to_trade,state
78,78,1.0002654701054545,2025-06-22 17:05:00.384239,2025-06-22 17:05:06.610404,0 days 00:00:06.226165,2680,0.035,5m,2.4000000000000004,0.6000000000000001,0.5,472,,,,,,,,,,,,,,,3696,0.015,4m,1.6,0.6000000000000001,2.0,336,,,,,,,,1936.0,0.03,3m,1.0,0.2,1.0,496.0,,,,,,,,4248.0,0.025,7m,1.8,0.6000000000000001,0.5,472.0,5472.0,0.015,5m,1.2,0.4,1.0,456.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
79,79,1.0073328839509856,2025-06-22 17:05:06.647130,2025-06-22 17:05:13.857582,0 days 00:00:07.210452,3176,0.03,8m,2.2,0.4,0.5,648,7312.0,0.025,8m,2.8,0.2,2.0,824.0,,,,,,,,4736,0.045000000000000005,6m,1.4,0.0,2.0,216,,,,,,,,1376.0,0.035,5m,1.8,0.0,1.0,848.0,8168.0,0.03,9m,2.8,0.4,1.5,568.0,7456.0,0.01,8m,2.0,0.2,1.0,568.0,6824.0,0.01,8m,1.4,0.6000000000000001,1.5,488.0,3984.0,0.015,7m,2.6,0.2,1.0,832.0,,,,,,,,0.1,7,COMPLETE
80,80,1.0021179122664932,2025-06-22 17:05:13.891551,2025-06-22 17:05:19.363628,0 days 00:00:05.472077,2456,0.035,4m,1.8,0.6000000000000001,0.5,560,,,,,,,,,,,,,,,3064,0.015,2m,1.4,0.0,2.0,672,,,,,,,,2592.0,0.02,7m,1.4,0.2,1.5,584.0,,,,,,,,,,,,,,,5848.0,0.015,8m,1.0,0.4,0.5,344.0,,,,,,,,,,,,,,,0.05,3,COMPLETE
81,81,1.0,2025-06-22 17:05:19.411383,2025-06-22 17:05:26.824369,0 days 00:00:07.412986,3080,0.03,8m,2.2,0.4,0.5,664,7184.0,0.025,8m,2.8,0.2,2.0,808.0,,,,,,,,4656,0.045000000000000005,6m,1.4,0.0,2.0,176,,,,,,,,1304.0,0.035,5m,1.8,0.0,1.0,864.0,8168.0,0.03,9m,2.8,0.4,1.5,552.0,7416.0,0.01,8m,2.2,0.2,1.0,576.0,6664.0,0.01,8m,1.4,0.6000000000000001,1.5,536.0,3888.0,0.015,7m,2.6,0.2,1.0,864.0,,,,,,,,0.1,7,COMPLETE
82,82,0.9978104800886227,2025-06-22 17:05:26.844509,2025-06-22 17:05:36.395610,0 days 00:00:09.551101,3512,0.03,7m,2.0,0.4,0.5,648,7200.0,0.03,8m,2.8,0.4,2.0,912.0,1384.0,0.05,2m,2.0,0.6000000000000001,1.0,944.0,4048,0.05,6m,1.2,0.0,2.0,296,,,,,,,,1744.0,0.035,5m,1.8,0.0,1.0,832.0,7296.0,0.025,9m,3.0,0.4,1.0,608.0,6448.0,0.015,8m,2.0,0.2,1.0,408.0,7408.0,0.01,8m,1.4,0.6000000000000001,1.5,480.0,5240.0,0.015,7m,2.4000000000000004,0.2,0.5,640.0,,,,,,,,0.1,8,COMPLETE
83,83,0.9989775172327278,2025-06-22 17:05:36.449035,2025-06-22 17:05:44.518253,0 days 00:00:08.069218,5040,0.025,8m,2.2,0.4,0.5,616,6024.0,0.025,4m,2.4000000000000004,0.2,1.5,632.0,,,,,,,,3480,0.045000000000000005,6m,2.0,0.0,2.0,208,,,,,,,,1416.0,0.03,5m,1.6,0.0,1.0,792.0,6096.0,0.035,9m,2.6,0.4,1.5,640.0,6896.0,0.01,8m,2.0,0.4,1.0,752.0,6528.0,0.01,9m,1.6,0.6000000000000001,2.0,384.0,4224.0,0.025,4m,2.6,0.4,1.0,912.0,,,,,,,,0.05,7,COMPLETE
84,84,0.9751284302511332,2025-06-22 17:05:44.549417,2025-06-22 17:05:52.656919,0 days 00:00:08.107502,3256,0.03,8m,2.0,0.2,0.5,736,7360.0,0.015,8m,2.2,0.0,2.0,720.0,,,,,,,,5080,0.015,6m,1.6,0.0,2.0,560,,,,,,,,2000.0,0.04,8m,1.8,0.0,1.0,976.0,6696.0,0.03,6m,2.8,0.2,1.5,416.0,7552.0,0.015,5m,1.6,0.0,1.5,448.0,6944.0,0.01,8m,1.2,0.4,1.5,424.0,2368.0,0.015,3m,2.2,0.6000000000000001,0.5,752.0,,,,,,,,0.1,7,COMPLETE
85,85,0.9974730584630085,2025-06-22 17:05:52.701077,2025-06-22 17:05:59.405048,0 days 00:00:06.703971,2888,0.035,8m,1.8,0.4,0.5,696,3848.0,0.035,8m,2.6,0.2,2.0,792.0,,,,,,,,4760,0.01,8m,1.4,0.0,2.0,392,,,,,,,,2320.0,0.05,6m,2.0,0.2,1.0,912.0,7696.0,0.02,9m,3.0,0.6000000000000001,1.0,472.0,8144.0,0.02,4m,2.4000000000000004,0.2,1.0,368.0,5560.0,0.015,7m,1.4,0.6000000000000001,1.5,496.0,,,,,,,,,,,,,,,0.4,6,COMPLETE
86,86,0.9995439336641689,2025-06-22 17:05:59.454241,2025-06-22 17:06:10.144218,0 days 00:00:10.689977,3808,0.04,4m,2.4000000000000004,0.6000000000000001,0.5,888,7728.0,0.045000000000000005,4m,1.8,0.4,1.5,944.0,4976.0,0.025,7m,2.4000000000000004,1.0,1.5,528.0,4520,0.015,3m,1.0,0.0,2.0,424,,,,,,,,1304.0,0.035,9m,1.6,0.0,1.5,456.0,5640.0,0.04,8m,2.6,0.6000000000000001,2.0,744.0,3680.0,0.01,3m,1.4,0.4,1.0,552.0,8064.0,0.01,8m,1.2,0.8,0.5,440.0,6832.0,0.025,9m,2.8,0.8,1.0,528.0,8056.0,0.05,9m,2.0,0.4,2.0,1016.0,0.05,9,COMPLETE
87,87,1.0,2025-06-22 17:06:10.185799,2025-06-22 17:06:16.207080,0 days 00:00:06.021281,4328,0.03,5m,2.2,0.4,0.5,576,,,,,,,,,,,,,,,2816,0.02,5m,1.2,0.4,1.5,224,,,,,,,,3160.0,0.03,5m,1.2,0.0,1.0,712.0,7792.0,0.01,7m,2.8,0.0,1.0,840.0,7080.0,0.05,8m,2.2,0.8,1.5,640.0,6072.0,0.025,8m,1.6,0.2,0.5,584.0,,,,,,,,,,,,,,,0.1,5,COMPLETE
88,88,0.9815282177428095,2025-06-22 17:06:16.228214,2025-06-22 17:06:19.525494,0 days 00:00:03.297280,1296,0.025,6m,2.0,0.2,0.5,784,,,,,,,,,,,,,,,4112,0.035,8m,1.2,0.2,2.0,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6504.0,0.015,5m,1.0,0.4,0.5,704.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
89,89,0.9676544241549123,2025-06-22 17:06:19.577621,2025-06-22 17:06:29.885991,0 days 00:00:10.308370,1760,0.04,9m,1.8,0.6000000000000001,0.5,472,5680.0,0.015,5m,2.8,0.6000000000000001,1.5,552.0,6648.0,0.02,3m,1.6,0.0,1.0,744.0,3792,0.045000000000000005,7m,1.0,0.6000000000000001,2.0,304,,,,,,,,1024.0,0.04,2m,2.2,0.2,1.0,928.0,6944.0,0.025,5m,1.8,0.4,2.0,664.0,5632.0,0.02,9m,1.8,0.2,2.0,960.0,4480.0,0.02,8m,1.2,0.2,1.5,520.0,4840.0,0.01,6m,1.8,0.2,1.5,928.0,,,,,,,,0.3,8,COMPLETE
90,90,0.9896812221016292,2025-06-22 17:06:29.945094,2025-06-22 17:06:36.190515,0 days 00:00:06.245421,2552,0.01,4m,2.0,0.6000000000000001,0.5,664,,,,,,,,,,,,,,,5192,0.05,9m,1.4,0.0,1.0,264,,,,,,,,1728.0,0.035,2m,1.4,0.0,1.5,280.0,,,,,,,,5024.0,0.015,7m,2.6,1.0,1.0,208.0,4992.0,0.015,6m,2.4000000000000004,0.0,1.0,376.0,,,,,,,,,,,,,,,0.05,4,COMPLETE
91,91,1.0,2025-06-22 17:06:36.241390,2025-06-22 17:06:38.780511,0 days 00:00:02.539121,2152,0.05,4m,2.2,0.8,0.5,1024,,,,,,,,,,,,,,,4896,0.025,9m,2.0,0.0,2.0,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,1,COMPLETE
92,92,0.9935669432336338,2025-06-22 17:06:38.812155,2025-06-22 17:06:43.131766,0 days 00:00:04.319611,2416,0.03,4m,1.8,0.8,0.5,688,,,,,,,,,,,,,,,5072,0.02,9m,1.6,0.0,2.0,912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3712.0,0.025,2m,1.6,0.6000000000000001,0.5,312.0,,,,,,,,,,,,,,,0.1,2,COMPLETE
93,93,1.0036056810867797,2025-06-22 17:06:43.180124,2025-06-22 17:06:45.629707,0 days 00:00:02.449583,1912,0.05,4m,1.6,0.8,0.5,592,,,,,,,,,,,,,,,4312,0.02,9m,1.0,0.0,2.0,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
94,94,0.9958024982630859,2025-06-22 17:06:45.664362,2025-06-22 17:06:48.879453,0 days 00:00:03.215091,2808,0.025,4m,2.0,0.8,2.0,536,,,,,,,,,,,,,,,4768,0.015,8m,2.2,0.0,2.0,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696.0,0.01,8m,1.0,0.4,1.0,456.0,,,,,,,,,,,,,,,0.05,2,COMPLETE
95,95,0.9814595633486234,2025-06-22 17:06:48.917195,2025-06-22 17:07:00.807708,0 days 00:00:11.890513,3040,0.035,5m,2.0,0.8,0.5,632,6832.0,0.02,2m,3.0,0.4,2.0,824.0,,,,,,,,4968,0.025,9m,1.4,0.0,2.0,336,,,,,,,,2048.0,0.025,3m,1.6,0.4,1.5,808.0,6352.0,0.015,4m,2.4000000000000004,0.2,1.5,552.0,7880.0,0.03,6m,1.4,0.4,0.5,600.0,5368.0,0.02,9m,1.2,0.2,0.5,288.0,,,,,,,,,,,,,,,0.05,6,COMPLETE
96,96,0.9681660926876007,2025-06-22 17:07:00.858392,2025-06-22 17:07:07.362415,0 days 00:00:06.504023,3464,0.05,2m,2.2,1.0,0.5,720,,,,,,,,,,,,,,,5496,0.02,6m,2.4000000000000004,0.0,2.0,712,,,,,,,,1600.0,0.03,5m,1.2,0.2,1.0,352.0,,,,,,,,,,,,,,,2544.0,0.015,2m,1.4,0.8,0.5,248.0,,,,,,,,,,,,,,,0.1,3,COMPLETE
97,97,0.9902131759081998,2025-06-22 17:07:07.416115,2025-06-22 17:07:17.549911,0 days 00:00:10.133796,1232,0.03,4m,1.8,0.8,0.5,680,4960.0,0.04,9m,2.4000000000000004,0.0,1.0,608.0,,,,,,,,4472,0.02,8m,1.2,0.2,2.0,560,,,,,,,,4632.0,0.025,2m,1.8,0.8,1.0,392.0,7864.0,0.045000000000000005,9m,2.2,0.4,2.0,280.0,6656.0,0.025,2m,2.0,0.0,1.5,696.0,4096.0,0.01,3m,1.0,0.4,2.0,496.0,5800.0,0.03,7m,2.4000000000000004,0.0,0.5,768.0,,,,,,,,0.1,7,COMPLETE
98,98,0.9923013536464376,2025-06-22 17:07:17.582289,2025-06-22 17:07:20.121067,0 days 00:00:02.538778,3200,0.04,4m,1.6,0.4,1.5,744,,,,,,,,,,,,,,,5296,0.015,9m,1.6,0.0,2.0,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15000000000000002,1,COMPLETE
99,99,0.9960148648326123,2025-06-22 17:07:20.159690,2025-06-22 17:07:25.300334,0 days 00:00:05.140644,2064,0.045000000000000005,3m,2.0,0.8,0.5,656,,,,,,,,,,,,,,,4632,0.04,4m,2.6,0.6000000000000001,1.5,984,,,,,,,,2416.0,0.04,9m,1.0,0.0,2.0,520.0,,,,,,,,,,,,,,,6000.0,0.02,7m,1.8,0.6000000000000001,0.5,416.0,,,,,,,,,,,,,,,0.05,3,COMPLETE
