,number,value,datetime_start,datetime_complete,duration,params_ADBE_BIIB_beta_win,params_ADBE_BIIB_stop_loss,params_ADBE_BIIB_trade_freq,params_ADBE_BIIB_z_entry,params_ADBE_BIIB_z_exit,params_ADBE_BIIB_z_stop_scaler,params_ADBE_BIIB_z_win,params_AEP_JD_beta_win,params_AEP_JD_stop_loss,params_AEP_JD_trade_freq,params_AEP_JD_z_entry,params_AEP_JD_z_exit,params_AEP_JD_z_stop_scaler,params_AEP_JD_z_win,params_BIIB_ZM_beta_win,params_BIIB_ZM_stop_loss,params_BIIB_ZM_trade_freq,params_BIIB_ZM_z_entry,params_BIIB_ZM_z_exit,params_BIIB_ZM_z_stop_scaler,params_BIIB_ZM_z_win,params_CMCSA_FISV_beta_win,params_CMCSA_FISV_stop_loss,params_CMCSA_FISV_trade_freq,params_CMCSA_FISV_z_entry,params_CMCSA_FISV_z_exit,params_CMCSA_FISV_z_stop_scaler,params_CMCSA_FISV_z_win,params_COST_ORLY_beta_win,params_COST_ORLY_stop_loss,params_COST_ORLY_trade_freq,params_COST_ORLY_z_entry,params_COST_ORLY_z_exit,params_COST_ORLY_z_stop_scaler,params_COST_ORLY_z_win,params_CTSH_ORLY_beta_win,params_CTSH_ORLY_stop_loss,params_CTSH_ORLY_trade_freq,params_CTSH_ORLY_z_entry,params_CTSH_ORLY_z_exit,params_CTSH_ORLY_z_stop_scaler,params_CTSH_ORLY_z_win,params_DLTR_EA_beta_win,params_DLTR_EA_stop_loss,params_DLTR_EA_trade_freq,params_DLTR_EA_z_entry,params_DLTR_EA_z_exit,params_DLTR_EA_z_stop_scaler,params_DLTR_EA_z_win,params_DOCU_HON_beta_win,params_DOCU_HON_stop_loss,params_DOCU_HON_trade_freq,params_DOCU_HON_z_entry,params_DOCU_HON_z_exit,params_DOCU_HON_z_stop_scaler,params_DOCU_HON_z_win,params_EBAY_TXN_beta_win,params_EBAY_TXN_stop_loss,params_EBAY_TXN_trade_freq,params_EBAY_TXN_z_entry,params_EBAY_TXN_z_exit,params_EBAY_TXN_z_stop_scaler,params_EBAY_TXN_z_win,params_NFLX_TXN_beta_win,params_NFLX_TXN_stop_loss,params_NFLX_TXN_trade_freq,params_NFLX_TXN_z_entry,params_NFLX_TXN_z_exit,params_NFLX_TXN_z_stop_scaler,params_NFLX_TXN_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,1.074454077706331,2025-06-22 17:00:42.925497,2025-06-22 17:00:47.535454,0 days 00:00:04.609957,,,,,,,,,,,,,,,3672,0.04,6m,1.4,0.4,2.0,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4960.0,0.03,5m,2.8,0.8,0.5,488.0,3576.0,0.02,2m,2.2,0.6000000000000001,2.0,776.0,0.05,3,COMPLETE
31,31,1.0319444175042953,2025-06-22 17:00:47.567175,2025-06-22 17:00:56.840236,0 days 00:00:09.273061,4672.0,0.01,3m,1.8,0.6000000000000001,1.0,880.0,,,,,,,,6088,0.04,4m,1.4,0.0,1.5,376,,,,,,,,5232.0,0.04,3m,2.8,0.0,0.5,208.0,,,,,,,,5808.0,0.03,4m,2.0,0.8,1.0,848.0,,,,,,,,6768.0,0.035,4m,2.4000000000000004,0.6000000000000001,0.5,312.0,4232.0,0.02,2m,1.6,0.6000000000000001,1.5,728.0,0.1,6,COMPLETE
32,32,1.113361665107562,2025-06-22 17:00:56.871675,2025-06-22 17:01:06.474557,0 days 00:00:09.602882,5696.0,0.01,3m,1.6,0.4,1.0,760.0,,,,,,,,5872,0.035,4m,1.2,0.0,1.5,416,,,,,,,,5440.0,0.04,3m,2.4000000000000004,0.0,0.5,208.0,,,,,,,,6264.0,0.03,4m,1.8,0.6000000000000001,1.0,824.0,,,,,,,,7560.0,0.035,4m,2.6,0.6000000000000001,0.5,272.0,4504.0,0.015,2m,1.4,0.6000000000000001,1.5,736.0,0.1,6,COMPLETE
33,33,1.042469589200348,2025-06-22 17:01:06.505484,2025-06-22 17:01:17.101402,0 days 00:00:10.595918,4432.0,0.01,3m,1.4,0.8,1.0,792.0,,,,,,,,5240,0.04,4m,1.6,0.0,1.5,472,,,,,,,,4184.0,0.035,3m,2.8,0.0,1.0,224.0,8176.0,0.05,4m,3.0,1.0,1.5,176.0,5224.0,0.035,4m,2.2,0.8,1.0,928.0,,,,,,,,8136.0,0.03,4m,2.4000000000000004,0.6000000000000001,0.5,352.0,3864.0,0.025,2m,1.8,0.4,1.5,664.0,0.15000000000000002,7,COMPLETE
34,34,1.0665113366575192,2025-06-22 17:01:17.125371,2025-06-22 17:01:22.071180,0 days 00:00:04.945809,,,,,,,,,,,,,,,4528,0.045000000000000005,4m,1.2,0.2,1.5,304,,,,,,,,6640.0,0.045000000000000005,9m,2.6,0.2,0.5,128.0,,,,,,,,,,,,,,,,,,,,,,6440.0,0.045000000000000005,4m,2.8,0.8,0.5,408.0,2616.0,0.035,4m,1.2,0.8,1.5,552.0,0.1,4,COMPLETE
35,35,1.1541900550173292,2025-06-22 17:01:22.086951,2025-06-22 17:01:32.061324,0 days 00:00:09.974373,6752.0,0.015,8m,2.0,0.6000000000000001,1.0,928.0,,,,,,,,5504,0.035,2m,1.0,0.0,2.0,216,,,,,,,,5016.0,0.03,3m,2.8,0.0,0.5,352.0,5680.0,0.01,4m,2.4000000000000004,0.8,2.0,408.0,6352.0,0.025,7m,1.4,0.8,1.0,800.0,,,,,,,,7712.0,0.03,4m,2.2,0.4,1.0,536.0,4328.0,0.03,3m,2.0,0.6000000000000001,1.5,768.0,0.05,7,COMPLETE
36,36,1.1268475921808863,2025-06-22 17:01:32.106207,2025-06-22 17:01:41.734420,0 days 00:00:09.628213,6464.0,0.02,8m,2.0,0.4,1.0,936.0,,,,,,,,5120,0.025,2m,1.0,0.8,2.0,144,,,,,,,,4424.0,0.03,3m,2.2,0.2,1.0,496.0,5656.0,0.01,4m,2.4000000000000004,0.8,2.0,456.0,6808.0,0.025,7m,1.2,1.0,0.5,760.0,,,,,,,,7512.0,0.02,8m,1.8,0.4,1.0,552.0,4632.0,0.03,3m,2.0,0.4,2.0,920.0,0.05,7,COMPLETE
37,37,1.1491493294390285,2025-06-22 17:01:41.769417,2025-06-22 17:01:50.525421,0 days 00:00:08.756004,6792.0,0.02,8m,2.0,0.4,0.5,936.0,,,,,,,,5448,0.025,2m,1.0,0.8,2.0,128,,,,,,,,4368.0,0.03,8m,2.2,0.4,1.0,504.0,5656.0,0.01,4m,2.4000000000000004,0.8,2.0,424.0,6824.0,0.025,7m,1.2,1.0,0.5,640.0,,,,,,,,7760.0,0.02,8m,1.8,0.4,1.0,616.0,5920.0,0.035,3m,2.0,0.4,2.0,936.0,0.05,7,COMPLETE
38,38,1.1837234453131171,2025-06-22 17:01:50.560433,2025-06-22 17:01:59.412031,0 days 00:00:08.851598,7448.0,0.02,8m,2.0,0.4,0.5,960.0,,,,,,,,5456,0.025,2m,1.2,0.8,2.0,136,,,,,,,,3144.0,0.025,8m,2.0,0.4,1.0,608.0,5872.0,0.01,4m,2.4000000000000004,0.8,2.0,416.0,6584.0,0.025,7m,1.2,1.0,0.5,632.0,,,,,,,,5216.0,0.02,8m,1.6,0.4,1.5,608.0,6192.0,0.035,3m,2.0,0.2,2.0,960.0,0.05,7,COMPLETE
39,39,1.01175082408537,2025-06-22 17:01:59.429274,2025-06-22 17:02:09.327474,0 days 00:00:09.898200,7680.0,0.02,8m,2.0,0.2,0.5,936.0,,,,,,,,5600,0.025,2m,2.2,0.8,2.0,208,7736.0,0.04,8m,1.4,0.2,1.5,352.0,3368.0,0.025,8m,2.0,0.8,1.0,792.0,5968.0,0.01,4m,2.6,0.8,2.0,440.0,8024.0,0.025,7m,1.0,1.0,0.5,608.0,,,,,,,,3792.0,0.015,8m,1.6,0.4,1.5,656.0,6744.0,0.035,3m,2.2,0.2,2.0,960.0,0.45,8,COMPLETE
40,40,1.037469541324501,2025-06-22 17:02:09.351023,2025-06-22 17:02:17.892425,0 days 00:00:08.541402,7392.0,0.025,8m,2.2,0.4,0.5,968.0,,,,,,,,6352,0.02,2m,1.2,1.0,2.0,128,,,,,,,,2424.0,0.02,8m,1.8,0.4,1.0,616.0,4600.0,0.015,4m,2.4000000000000004,1.0,2.0,472.0,6648.0,0.015,7m,1.4,1.0,0.5,560.0,,,,,,,,2800.0,0.015,8m,1.4,0.4,1.5,624.0,7416.0,0.04,3m,2.0,0.2,2.0,896.0,0.35000000000000003,7,COMPLETE
41,41,1.1157345878479015,2025-06-22 17:02:17.921305,2025-06-22 17:02:26.779419,0 days 00:00:08.858114,6688.0,0.02,8m,2.0,0.4,0.5,912.0,,,,,,,,5320,0.025,2m,1.2,0.8,2.0,128,,,,,,,,4344.0,0.03,8m,2.2,0.4,1.0,504.0,5688.0,0.01,4m,2.4000000000000004,0.8,2.0,448.0,7152.0,0.025,7m,1.2,1.0,0.5,664.0,,,,,,,,4992.0,0.02,8m,1.8,0.4,1.0,528.0,6152.0,0.03,3m,2.2,0.0,2.0,928.0,0.05,7,COMPLETE
42,42,1.050694764441909,2025-06-22 17:02:26.834572,2025-06-22 17:02:37.607912,0 days 00:00:10.773340,7328.0,0.015,8m,2.0,0.4,0.5,1016.0,,,,,,,,5792,0.025,2m,1.0,0.8,2.0,200,2912.0,0.05,3m,3.0,0.4,1.5,768.0,2776.0,0.025,8m,1.8,0.4,1.0,512.0,6456.0,0.015,4m,2.6,0.6000000000000001,2.0,328.0,6600.0,0.025,7m,1.2,1.0,0.5,736.0,,,,,,,,7688.0,0.01,8m,1.6,0.2,1.5,608.0,8016.0,0.035,3m,2.0,0.4,2.0,968.0,0.05,8,COMPLETE
43,43,1.086110657470988,2025-06-22 17:02:37.623597,2025-06-22 17:02:46.547842,0 days 00:00:08.924245,8056.0,0.02,8m,2.2,0.4,0.5,952.0,,,,,,,,7128,0.02,2m,1.2,0.8,2.0,216,,,,,,,,1504.0,0.03,5m,2.4000000000000004,0.6000000000000001,1.0,592.0,4936.0,0.01,4m,2.2,0.8,2.0,528.0,7480.0,0.02,7m,1.2,1.0,0.5,768.0,,,,,,,,5616.0,0.02,8m,1.2,0.4,1.0,552.0,5728.0,0.03,3m,2.2,0.2,2.0,816.0,0.05,7,COMPLETE
44,44,1.1406890550880455,2025-06-22 17:02:46.573005,2025-06-22 17:02:55.350195,0 days 00:00:08.777190,6432.0,0.03,8m,2.2,0.2,0.5,888.0,,,,,,,,5584,0.03,2m,1.0,1.0,2.0,176,,,,,,,,3768.0,0.02,8m,2.2,0.2,1.0,456.0,5128.0,0.015,4m,2.8,0.8,1.5,232.0,6664.0,0.035,7m,1.4,1.0,0.5,656.0,,,,,,,,6128.0,0.015,8m,1.8,0.4,2.0,720.0,5072.0,0.03,3m,2.0,0.4,2.0,1024.0,0.15000000000000002,7,COMPLETE
45,45,1.023737515197195,2025-06-22 17:02:55.408626,2025-06-22 17:03:06.730686,0 days 00:00:11.322060,6312.0,0.03,5m,2.2,0.2,0.5,896.0,,,,,,,,5504,0.03,2m,1.4,1.0,2.0,240,6504.0,0.04,2m,1.0,0.0,1.0,344.0,3632.0,0.02,8m,2.0,0.4,1.0,712.0,3896.0,0.015,4m,2.8,1.0,1.5,128.0,6488.0,0.035,7m,1.4,1.0,0.5,568.0,,,,,,,,4528.0,0.015,7m,1.6,0.4,2.0,728.0,5160.0,0.045000000000000005,3m,2.4000000000000004,0.2,2.0,1000.0,0.15000000000000002,8,COMPLETE
46,46,1.100445900828371,2025-06-22 17:03:06.765124,2025-06-22 17:03:15.007296,0 days 00:00:08.242172,7048.0,0.015,7m,2.2,0.0,0.5,736.0,,,,,,,,6400,0.03,2m,1.2,1.0,0.5,184,,,,,,,,2568.0,0.025,8m,1.6,0.6000000000000001,1.0,560.0,5120.0,0.015,4m,2.8,0.6000000000000001,1.5,240.0,5240.0,0.04,7m,1.6,0.6000000000000001,0.5,456.0,,,,,,,,6056.0,0.015,6m,2.0,0.0,2.0,720.0,6256.0,0.035,9m,2.6,0.0,2.0,1024.0,0.1,7,COMPLETE
47,47,1.0676104518966416,2025-06-22 17:03:15.029242,2025-06-22 17:03:25.581685,0 days 00:00:10.552443,5584.0,0.035,4m,2.4000000000000004,0.2,0.5,976.0,3776.0,0.01,3m,2.0,1.0,2.0,968.0,1824,0.035,8m,1.0,0.6000000000000001,2.0,160,2728.0,0.01,7m,1.6,0.4,2.0,760.0,4840.0,0.02,7m,2.4000000000000004,0.2,1.5,440.0,7368.0,0.01,6m,2.2,0.8,1.5,384.0,6960.0,0.035,6m,1.6,0.8,0.5,640.0,,,,,,,,5280.0,0.01,2m,1.2,0.2,2.0,888.0,6848.0,0.03,7m,2.0,0.4,2.0,888.0,0.15000000000000002,9,COMPLETE
48,48,1.0285217667350184,2025-06-22 17:03:25.614684,2025-06-22 17:03:38.820491,0 days 00:00:13.205807,7744.0,0.025,8m,1.4,0.4,0.5,1024.0,7560.0,0.03,2m,2.0,0.6000000000000001,2.0,1024.0,5648,0.015,2m,1.2,1.0,2.0,192,6896.0,0.035,6m,2.6,0.8,1.0,984.0,3744.0,0.025,8m,2.2,0.8,1.0,336.0,4112.0,0.02,2m,2.8,1.0,2.0,256.0,7584.0,0.045000000000000005,7m,1.0,1.0,1.5,560.0,1288.0,0.05,8m,3.0,0.4,0.5,1024.0,5408.0,0.025,8m,1.4,1.0,1.5,648.0,5704.0,0.045000000000000005,3m,2.4000000000000004,0.4,0.5,968.0,0.25,10,COMPLETE
49,49,0.9464823465962847,2025-06-22 17:03:38.849075,2025-06-22 17:03:47.659625,0 days 00:00:08.810550,6520.0,0.035,8m,2.6,0.2,0.5,720.0,,,,,,,,3208,0.03,3m,2.4000000000000004,0.8,2.0,280,,,,,,,,3424.0,0.015,9m,1.6,0.4,1.5,760.0,6232.0,0.015,5m,2.2,0.6000000000000001,2.0,256.0,6288.0,0.03,5m,1.4,0.8,0.5,688.0,,,,,,,,7168.0,0.025,3m,2.0,0.4,1.5,592.0,6472.0,0.04,3m,2.2,0.2,2.0,824.0,0.3,7,COMPLETE
50,50,0.9767258042462971,2025-06-22 17:03:47.715780,2025-06-22 17:03:56.266738,0 days 00:00:08.550958,6064.0,0.03,6m,1.8,0.6000000000000001,0.5,896.0,,,,,,,,5032,0.035,6m,1.4,0.6000000000000001,2.0,912,5096.0,0.045000000000000005,8m,1.6,0.2,1.5,408.0,4048.0,0.015,5m,2.0,0.0,1.0,464.0,5352.0,0.025,4m,2.6,0.8,1.5,536.0,7680.0,0.025,9m,1.2,0.6000000000000001,0.5,608.0,,,,,,,,7848.0,0.015,9m,1.6,0.4,2.0,768.0,5952.0,0.035,3m,2.0,0.4,2.0,680.0,0.15000000000000002,8,COMPLETE
51,51,1.1436865592363896,2025-06-22 17:03:56.295571,2025-06-22 17:04:05.975231,0 days 00:00:09.679660,6608.0,0.02,8m,2.0,0.4,1.0,952.0,,,,,,,,5168,0.025,2m,1.0,0.8,2.0,152,,,,,,,,4392.0,0.03,2m,2.2,0.2,1.0,528.0,6000.0,0.01,4m,2.4000000000000004,0.8,2.0,416.0,7072.0,0.025,7m,1.4,1.0,0.5,776.0,,,,,,,,7288.0,0.02,8m,1.8,0.4,1.0,560.0,4688.0,0.03,3m,1.8,0.4,2.0,920.0,0.05,7,COMPLETE
52,52,1.0248522905723827,2025-06-22 17:04:06.006380,2025-06-22 17:04:13.574956,0 days 00:00:07.568576,7152.0,0.015,8m,2.2,0.4,1.0,968.0,,,,,,,,5984,0.02,2m,1.0,1.0,2.0,168,,,,,,,,4936.0,0.035,2m,2.0,0.2,1.0,544.0,,,,,,,,,,,,,,,,,,,,,,6824.0,0.02,8m,1.8,0.4,1.0,688.0,4912.0,0.03,3m,1.8,0.4,2.0,944.0,0.1,5,COMPLETE
53,53,1.1117132992188719,2025-06-22 17:04:13.604475,2025-06-22 17:04:25.699154,0 days 00:00:12.094679,6728.0,0.02,8m,2.0,0.4,1.0,576.0,,,,,,,,5352,0.02,2m,1.0,0.8,2.0,232,2296.0,0.03,5m,2.4000000000000004,0.8,2.0,696.0,4544.0,0.025,2m,2.2,0.4,1.0,624.0,6184.0,0.01,4m,2.2,0.8,2.0,408.0,7024.0,0.025,2m,1.4,1.0,0.5,792.0,,,,,,,,7136.0,0.02,8m,2.0,0.4,1.0,640.0,5328.0,0.035,3m,1.8,0.6000000000000001,2.0,880.0,0.05,8,COMPLETE
54,54,1.0108568689765554,2025-06-22 17:04:25.720662,2025-06-22 17:04:34.856450,0 days 00:00:09.135788,7680.0,0.015,8m,2.0,0.6000000000000001,0.5,864.0,,,,,,,,4760,0.025,9m,1.2,0.6000000000000001,2.0,160,,,,,,,,2856.0,0.03,2m,1.8,0.0,1.0,536.0,6840.0,0.01,3m,2.4000000000000004,0.8,2.0,576.0,6312.0,0.035,7m,1.0,0.2,0.5,696.0,,,,,,,,7808.0,0.01,8m,1.6,0.2,1.0,440.0,4360.0,0.025,3m,2.0,0.4,2.0,848.0,0.1,7,COMPLETE
55,55,1.1311340741364666,2025-06-22 17:04:34.906044,2025-06-22 17:04:42.158518,0 days 00:00:07.252474,5624.0,0.025,5m,2.4000000000000004,0.4,1.0,808.0,,,,,,,,4200,0.03,2m,1.0,0.8,2.0,128,,,,,,,,5680.0,0.035,8m,2.4000000000000004,0.2,1.5,672.0,,,,,,,,7152.0,0.02,7m,1.6,1.0,1.0,648.0,,,,,,,,6120.0,0.025,7m,1.8,0.4,1.5,832.0,4640.0,0.04,4m,1.8,0.2,1.0,992.0,0.05,6,COMPLETE
56,56,1.0353178341745701,2025-06-22 17:04:42.184341,2025-06-22 17:04:51.057547,0 days 00:00:08.873206,6248.0,0.02,9m,1.8,0.2,1.5,896.0,3864.0,0.02,7m,2.4000000000000004,0.6000000000000001,1.5,464.0,6672,0.03,7m,1.0,1.0,2.0,280,3360.0,0.015,4m,2.8,0.4,0.5,888.0,4264.0,0.03,7m,2.2,0.2,0.5,424.0,4464.0,0.015,4m,2.8,1.0,2.0,368.0,5128.0,0.03,7m,1.4,1.0,0.5,1024.0,,,,,,,,5840.0,0.015,8m,2.2,0.2,1.0,576.0,5056.0,0.03,9m,2.2,0.6000000000000001,2.0,1024.0,0.05,9,COMPLETE
57,57,1.0949718336860326,2025-06-22 17:04:51.077348,2025-06-22 17:04:59.617755,0 days 00:00:08.540407,6792.0,0.015,7m,2.2,0.0,0.5,984.0,,,,,,,,5000,0.025,2m,1.2,0.8,0.5,800,,,,,,,,2112.0,0.02,6m,2.6,1.0,1.0,584.0,6576.0,0.02,4m,1.8,0.6000000000000001,1.5,288.0,6216.0,0.04,6m,1.2,0.8,1.5,248.0,,,,,,,,7288.0,0.03,5m,2.2,0.4,2.0,720.0,3496.0,0.035,6m,3.0,0.4,2.0,800.0,0.2,7,COMPLETE
58,58,1.002618499046762,2025-06-22 17:04:59.654892,2025-06-22 17:05:10.702397,0 days 00:00:11.047505,8072.0,0.03,4m,1.2,0.6000000000000001,1.0,680.0,,,,,,,,7040,0.035,8m,1.4,0.4,2.0,376,7208.0,0.02,6m,2.2,0.0,1.5,128.0,4624.0,0.03,4m,3.0,0.0,0.5,360.0,5352.0,0.01,2m,2.6,0.8,2.0,672.0,4160.0,0.025,5m,1.4,1.0,1.0,928.0,,,,,,,,6696.0,0.025,2m,2.0,0.4,1.5,480.0,7208.0,0.025,8m,1.6,0.0,2.0,264.0,0.1,8,COMPLETE
59,59,1.1614819491349389,2025-06-22 17:05:10.748869,2025-06-22 17:05:17.685836,0 days 00:00:06.936967,7312.0,0.025,8m,2.6,0.4,2.0,936.0,,,,,,,,6176,0.015,2m,1.0,0.6000000000000001,2.0,176,,,,,,,,5040.0,0.025,8m,2.0,0.2,1.0,464.0,,,,,,,,8176.0,0.015,8m,2.6,1.0,0.5,528.0,,,,,,,,7848.0,0.03,8m,1.4,0.2,1.0,680.0,5520.0,0.03,7m,2.2,0.6000000000000001,1.0,856.0,0.05,6,COMPLETE
60,60,1.0408202477033133,2025-06-22 17:05:17.715123,2025-06-22 17:05:19.625942,0 days 00:00:01.910819,,,,,,,,,,,,,,,6136,0.015,3m,1.6,0.6000000000000001,2.0,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
61,61,1.1099602608415893,2025-06-22 17:05:19.652488,2025-06-22 17:05:25.567167,0 days 00:00:05.914679,7336.0,0.025,8m,2.6,0.4,2.0,928.0,,,,,,,,5752,0.015,2m,1.0,0.6000000000000001,2.0,176,,,,,,,,3904.0,0.025,8m,2.0,0.2,1.0,304.0,,,,,,,,,,,,,,,,,,,,,,7808.0,0.03,8m,1.4,0.0,1.0,696.0,5464.0,0.03,7m,2.2,0.6000000000000001,1.0,936.0,0.05,5,COMPLETE
62,62,1.0704626332169593,2025-06-22 17:05:25.603613,2025-06-22 17:05:32.722772,0 days 00:00:07.119159,6576.0,0.025,8m,2.8,0.4,2.0,848.0,,,,,,,,6512,0.01,2m,1.0,0.8,2.0,264,,,,,,,,5032.0,0.025,8m,1.8,0.2,1.0,472.0,,,,,,,,7784.0,0.015,8m,2.8,1.0,0.5,320.0,,,,,,,,7312.0,0.02,8m,1.2,0.2,1.0,752.0,5536.0,0.035,7m,2.6,0.6000000000000001,1.0,848.0,0.05,6,COMPLETE
63,63,0.98839710820527,2025-06-22 17:05:32.776089,2025-06-22 17:05:40.399690,0 days 00:00:07.623601,6928.0,0.02,8m,3.0,0.6000000000000001,1.5,1000.0,,,,,,,,5368,0.03,2m,2.8,0.6000000000000001,2.0,200,,,,,,,,6272.0,0.02,8m,2.0,0.4,1.0,408.0,5904.0,0.015,7m,3.0,0.8,2.0,512.0,7360.0,0.02,8m,2.6,1.0,0.5,512.0,,,,,,,,7912.0,0.03,8m,1.4,0.2,1.0,824.0,6056.0,0.03,7m,2.0,0.6000000000000001,1.0,984.0,0.1,7,COMPLETE
64,64,1.1761482316841059,2025-06-22 17:05:40.435506,2025-06-22 17:05:48.691800,0 days 00:00:08.256294,7344.0,0.035,8m,1.8,0.4,1.5,336.0,,,,,,,,5544,0.02,2m,1.2,0.4,2.0,152,,,,,,,,5568.0,0.035,2m,2.2,0.0,1.5,1016.0,,,,,,,,6856.0,0.01,8m,1.6,1.0,0.5,528.0,,,,,,,,6320.0,0.025,6m,1.6,0.4,1.0,664.0,4728.0,0.025,5m,2.4000000000000004,0.4,0.5,912.0,0.1,6,COMPLETE
65,65,1.0284740311773872,2025-06-22 17:05:48.743164,2025-06-22 17:05:57.226464,0 days 00:00:08.483300,7456.0,0.035,6m,1.6,0.4,2.0,296.0,,,,,,,,4704,0.02,2m,1.2,0.4,2.0,312,,,,,,,,5568.0,0.035,2m,2.2,0.0,1.5,904.0,,,,,,,,8176.0,0.01,8m,1.6,0.8,0.5,416.0,,,,,,,,6912.0,0.025,6m,1.6,0.2,1.0,672.0,6464.0,0.025,5m,2.4000000000000004,0.6000000000000001,0.5,872.0,0.1,6,COMPLETE
66,66,0.9940141535503616,2025-06-22 17:05:57.253155,2025-06-22 17:06:03.589602,0 days 00:00:06.336447,7200.0,0.015,8m,1.8,0.4,1.5,144.0,,,,,,,,6304,0.02,9m,1.2,0.4,2.0,128,,,,,,,,5848.0,0.035,2m,2.4000000000000004,0.0,1.5,1008.0,,,,,,,,,,,,,,,,,,,,,,8176.0,0.025,9m,1.4,0.6000000000000001,1.0,520.0,4800.0,0.025,5m,2.4000000000000004,0.4,0.5,912.0,0.05,5,COMPLETE
67,67,0.9459286756281119,2025-06-22 17:06:03.625455,2025-06-22 17:06:10.480272,0 days 00:00:06.854817,7864.0,0.02,8m,2.0,0.6000000000000001,1.5,600.0,,,,,,,,5920,0.025,7m,1.2,0.8,2.0,152,,,,,,,,6136.0,0.03,2m,1.8,0.0,1.5,912.0,,,,,,,,6888.0,0.01,8m,1.8,1.0,0.5,496.0,,,,,,,,7728.0,0.02,6m,1.0,0.0,1.0,1024.0,4040.0,0.035,5m,2.6,0.6000000000000001,0.5,776.0,0.05,6,COMPLETE
68,68,1.111421894670288,2025-06-22 17:06:10.518409,2025-06-22 17:06:18.871059,0 days 00:00:08.352650,6952.0,0.045000000000000005,9m,1.8,0.4,2.0,392.0,,,,,,,,5144,0.015,2m,1.0,0.2,2.0,256,,,,,,,,5160.0,0.035,2m,1.6,0.0,2.0,984.0,,,,,,,,6040.0,0.015,8m,2.6,0.8,1.0,600.0,,,,,,,,7288.0,0.03,6m,1.6,0.4,1.0,616.0,5920.0,0.04,5m,1.8,0.2,0.5,832.0,0.1,6,COMPLETE
69,69,1.2366350519301232,2025-06-22 17:06:18.913411,2025-06-22 17:06:26.137935,0 days 00:00:07.224524,7552.0,0.025,2m,1.6,0.4,1.5,368.0,,,,,,,,6144,0.02,2m,1.4,0.6000000000000001,2.0,216,,,,,,,,4672.0,0.03,9m,2.6,0.6000000000000001,0.5,168.0,,,,,,,,,,,,,,,,,,,,,,6336.0,0.025,6m,1.8,0.6000000000000001,1.0,576.0,2944.0,0.025,7m,2.2,0.4,1.0,696.0,0.05,5,COMPLETE
70,70,1.0099888087807518,2025-06-22 17:06:26.170102,2025-06-22 17:06:30.359674,0 days 00:00:04.189572,,,,,,,,,,,,,,,6912,0.02,6m,1.8,0.6000000000000001,2.0,352,,,,,,,,1032.0,0.035,9m,2.6,0.6000000000000001,0.5,184.0,,,,,,,,,,,,,,,,,,,,,,4960.0,0.025,6m,2.2,0.6000000000000001,1.5,608.0,2872.0,0.02,7m,2.4000000000000004,0.6000000000000001,1.0,608.0,0.05,4,COMPLETE
71,71,1.132581153348302,2025-06-22 17:06:30.390474,2025-06-22 17:06:36.482520,0 days 00:00:06.092046,7504.0,0.025,8m,1.6,0.4,1.5,344.0,,,,,,,,6136,0.02,2m,1.4,0.6000000000000001,2.0,216,,,,,,,,4744.0,0.03,9m,2.6,0.6000000000000001,0.5,280.0,,,,,,,,,,,,,,,,,,,,,,6368.0,0.03,6m,1.8,0.6000000000000001,1.0,592.0,1736.0,0.025,7m,2.2,0.4,1.0,704.0,0.05,5,COMPLETE
72,72,1.0578288003369298,2025-06-22 17:06:36.540956,2025-06-22 17:06:43.863044,0 days 00:00:07.322088,7960.0,0.02,2m,1.6,0.4,1.5,280.0,,,,,,,,5752,0.025,2m,1.4,0.6000000000000001,2.0,184,,,,,,,,5432.0,0.03,9m,1.2,0.6000000000000001,0.5,160.0,,,,,,,,,,,,,,,,,,,,,,8008.0,0.025,6m,1.8,0.4,1.0,568.0,1936.0,0.025,7m,2.2,0.4,1.0,792.0,0.05,5,COMPLETE
73,73,0.9942096849757844,2025-06-22 17:06:43.921017,2025-06-22 17:06:55.966206,0 days 00:00:12.045189,7640.0,0.025,2m,1.8,0.6000000000000001,1.5,224.0,,,,,,,,6496,0.015,2m,1.6,0.4,2.0,152,,,,,,,,5024.0,0.03,4m,2.4000000000000004,0.0,0.5,240.0,,,,,,,,7816.0,0.01,2m,1.6,0.4,0.5,544.0,,,,,,,,6960.0,0.02,3m,1.6,1.0,1.0,536.0,3296.0,0.03,6m,2.0,0.4,1.0,640.0,0.1,6,COMPLETE
74,74,1.1671864214489085,2025-06-22 17:06:56.054703,2025-06-22 17:07:05.567370,0 days 00:00:09.512667,7160.0,0.035,2m,1.4,0.4,1.0,216.0,,,,,,,,4888,0.025,2m,1.2,0.8,2.0,664,,,,,,,,4544.0,0.025,6m,3.0,0.4,0.5,144.0,,,,,,,,7320.0,0.015,9m,2.4000000000000004,0.2,1.0,416.0,,,,,,,,7632.0,0.025,6m,2.0,0.8,1.0,504.0,4384.0,0.025,7m,2.0,0.6000000000000001,1.5,696.0,0.05,6,COMPLETE
