,number,value,datetime_start,datetime_complete,duration,params_AAPL_CDW_beta_win,params_AAPL_CDW_stop_loss,params_AAPL_CDW_trade_freq,params_AAPL_CDW_z_entry,params_AAPL_CDW_z_exit,params_AAPL_CDW_z_stop_scaler,params_AAPL_CDW_z_win,params_ADP_PDD_beta_win,params_ADP_PDD_stop_loss,params_ADP_PDD_trade_freq,params_ADP_PDD_z_entry,params_ADP_PDD_z_exit,params_ADP_PDD_z_stop_scaler,params_ADP_PDD_z_win,params_ADSK_QCOM_beta_win,params_ADSK_QCOM_stop_loss,params_ADSK_QCOM_trade_freq,params_ADSK_QCOM_z_entry,params_ADSK_QCOM_z_exit,params_ADSK_QCOM_z_stop_scaler,params_ADSK_QCOM_z_win,params_ALGN_EA_beta_win,params_ALGN_EA_stop_loss,params_ALGN_EA_trade_freq,params_ALGN_EA_z_entry,params_ALGN_EA_z_exit,params_ALGN_EA_z_stop_scaler,params_ALGN_EA_z_win,params_ALGN_QCOM_beta_win,params_ALGN_QCOM_stop_loss,params_ALGN_QCOM_trade_freq,params_ALGN_QCOM_z_entry,params_ALGN_QCOM_z_exit,params_ALGN_QCOM_z_stop_scaler,params_ALGN_QCOM_z_win,params_AMD_QCOM_beta_win,params_AMD_QCOM_stop_loss,params_AMD_QCOM_trade_freq,params_AMD_QCOM_z_entry,params_AMD_QCOM_z_exit,params_AMD_QCOM_z_stop_scaler,params_AMD_QCOM_z_win,params_AVGO_QCOM_beta_win,params_AVGO_QCOM_stop_loss,params_AVGO_QCOM_trade_freq,params_AVGO_QCOM_z_entry,params_AVGO_QCOM_z_exit,params_AVGO_QCOM_z_stop_scaler,params_AVGO_QCOM_z_win,params_BIDU_CSCO_beta_win,params_BIDU_CSCO_stop_loss,params_BIDU_CSCO_trade_freq,params_BIDU_CSCO_z_entry,params_BIDU_CSCO_z_exit,params_BIDU_CSCO_z_stop_scaler,params_BIDU_CSCO_z_win,params_CMCSA_WDAY_beta_win,params_CMCSA_WDAY_stop_loss,params_CMCSA_WDAY_trade_freq,params_CMCSA_WDAY_z_entry,params_CMCSA_WDAY_z_exit,params_CMCSA_WDAY_z_stop_scaler,params_CMCSA_WDAY_z_win,params_DLTR_VRTX_beta_win,params_DLTR_VRTX_stop_loss,params_DLTR_VRTX_trade_freq,params_DLTR_VRTX_z_entry,params_DLTR_VRTX_z_exit,params_DLTR_VRTX_z_stop_scaler,params_DLTR_VRTX_z_win,params_DOCU_ILMN_beta_win,params_DOCU_ILMN_stop_loss,params_DOCU_ILMN_trade_freq,params_DOCU_ILMN_z_entry,params_DOCU_ILMN_z_exit,params_DOCU_ILMN_z_stop_scaler,params_DOCU_ILMN_z_win,params_DOCU_TEAM_beta_win,params_DOCU_TEAM_stop_loss,params_DOCU_TEAM_trade_freq,params_DOCU_TEAM_z_entry,params_DOCU_TEAM_z_exit,params_DOCU_TEAM_z_stop_scaler,params_DOCU_TEAM_z_win,params_FB_PCAR_beta_win,params_FB_PCAR_stop_loss,params_FB_PCAR_trade_freq,params_FB_PCAR_z_entry,params_FB_PCAR_z_exit,params_FB_PCAR_z_stop_scaler,params_FB_PCAR_z_win,params_FISV_VRTX_beta_win,params_FISV_VRTX_stop_loss,params_FISV_VRTX_trade_freq,params_FISV_VRTX_z_entry,params_FISV_VRTX_z_exit,params_FISV_VRTX_z_stop_scaler,params_FISV_VRTX_z_win,params_FOXA_QCOM_beta_win,params_FOXA_QCOM_stop_loss,params_FOXA_QCOM_trade_freq,params_FOXA_QCOM_z_entry,params_FOXA_QCOM_z_exit,params_FOXA_QCOM_z_stop_scaler,params_FOXA_QCOM_z_win,params_FOX_QCOM_beta_win,params_FOX_QCOM_stop_loss,params_FOX_QCOM_trade_freq,params_FOX_QCOM_z_entry,params_FOX_QCOM_z_exit,params_FOX_QCOM_z_stop_scaler,params_FOX_QCOM_z_win,params_GILD_MU_beta_win,params_GILD_MU_stop_loss,params_GILD_MU_trade_freq,params_GILD_MU_z_entry,params_GILD_MU_z_exit,params_GILD_MU_z_stop_scaler,params_GILD_MU_z_win,params_GOOGL_PCAR_beta_win,params_GOOGL_PCAR_stop_loss,params_GOOGL_PCAR_trade_freq,params_GOOGL_PCAR_z_entry,params_GOOGL_PCAR_z_exit,params_GOOGL_PCAR_z_stop_scaler,params_GOOGL_PCAR_z_win,params_GOOG_PCAR_beta_win,params_GOOG_PCAR_stop_loss,params_GOOG_PCAR_trade_freq,params_GOOG_PCAR_z_entry,params_GOOG_PCAR_z_exit,params_GOOG_PCAR_z_stop_scaler,params_GOOG_PCAR_z_win,params_ILMN_MTCH_beta_win,params_ILMN_MTCH_stop_loss,params_ILMN_MTCH_trade_freq,params_ILMN_MTCH_z_entry,params_ILMN_MTCH_z_exit,params_ILMN_MTCH_z_stop_scaler,params_ILMN_MTCH_z_win,params_ILMN_TEAM_beta_win,params_ILMN_TEAM_stop_loss,params_ILMN_TEAM_trade_freq,params_ILMN_TEAM_z_entry,params_ILMN_TEAM_z_exit,params_ILMN_TEAM_z_stop_scaler,params_ILMN_TEAM_z_win,params_ILMN_VRTX_beta_win,params_ILMN_VRTX_stop_loss,params_ILMN_VRTX_trade_freq,params_ILMN_VRTX_z_entry,params_ILMN_VRTX_z_exit,params_ILMN_VRTX_z_stop_scaler,params_ILMN_VRTX_z_win,params_INTU_VRTX_beta_win,params_INTU_VRTX_stop_loss,params_INTU_VRTX_trade_freq,params_INTU_VRTX_z_entry,params_INTU_VRTX_z_exit,params_INTU_VRTX_z_stop_scaler,params_INTU_VRTX_z_win,params_NVDA_VRTX_beta_win,params_NVDA_VRTX_stop_loss,params_NVDA_VRTX_trade_freq,params_NVDA_VRTX_z_entry,params_NVDA_VRTX_z_exit,params_NVDA_VRTX_z_stop_scaler,params_NVDA_VRTX_z_win,params_PCAR_CDW_beta_win,params_PCAR_CDW_stop_loss,params_PCAR_CDW_trade_freq,params_PCAR_CDW_z_entry,params_PCAR_CDW_z_exit,params_PCAR_CDW_z_stop_scaler,params_PCAR_CDW_z_win,params_PCAR_PAYX_beta_win,params_PCAR_PAYX_stop_loss,params_PCAR_PAYX_trade_freq,params_PCAR_PAYX_z_entry,params_PCAR_PAYX_z_exit,params_PCAR_PAYX_z_stop_scaler,params_PCAR_PAYX_z_win,params_PCAR_VRTX_beta_win,params_PCAR_VRTX_stop_loss,params_PCAR_VRTX_trade_freq,params_PCAR_VRTX_z_entry,params_PCAR_VRTX_z_exit,params_PCAR_VRTX_z_stop_scaler,params_PCAR_VRTX_z_win,params_PYPL_QCOM_beta_win,params_PYPL_QCOM_stop_loss,params_PYPL_QCOM_trade_freq,params_PYPL_QCOM_z_entry,params_PYPL_QCOM_z_exit,params_PYPL_QCOM_z_stop_scaler,params_PYPL_QCOM_z_win,params_REGN_CTAS_beta_win,params_REGN_CTAS_stop_loss,params_REGN_CTAS_trade_freq,params_REGN_CTAS_z_entry,params_REGN_CTAS_z_exit,params_REGN_CTAS_z_stop_scaler,params_REGN_CTAS_z_win,params_TEAM_VRTX_beta_win,params_TEAM_VRTX_stop_loss,params_TEAM_VRTX_trade_freq,params_TEAM_VRTX_z_entry,params_TEAM_VRTX_z_exit,params_TEAM_VRTX_z_stop_scaler,params_TEAM_VRTX_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,0.9323073880727979,2025-06-22 16:10:06.927017,2025-06-22 16:10:29.504194,0 days 00:00:22.577177,,,,,,,,1704,0.025,2m,1.0,0.4,2.0,144,6272,0.01,2m,3.0,0.6000000000000001,0.5,1016,4464.0,0.01,2m,2.8,0.2,1.5,1024.0,8064.0,0.025,1m,2.8,1.0,1.5,168.0,5344,0.015,5m,3.0,1.0,2.0,640,2112.0,0.035,4m,1.8,0.8,0.5,432.0,8104,0.03,3m,2.6,0.8,1.0,160,,,,,,,,,,,,,,,1056.0,0.01,2m,1.4,0.0,2.0,888.0,,,,,,,,6688.0,0.05,3m,2.4000000000000004,0.6000000000000001,2.0,376.0,1896,0.02,1m,1.2,1.0,1.5,448,1424.0,0.03,2m,2.8,1.0,2.0,384.0,8144,0.01,2m,1.0,0.0,2.0,160,6216.0,0.05,5m,3.0,0.4,2.0,496.0,2648,0.04,5m,1.0,1.0,2.0,152,1080,0.035,1m,2.8,1.0,2.0,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,0.05,2m,2.8,0.0,0.5,816.0,7720.0,0.05,2m,3.0,0.4,2.0,792.0,7944.0,0.01,1m,3.0,1.0,1.5,880.0,7968,0.05,1m,1.6,0.8,1.5,128,1104,0.01,4m,2.2,1.0,2.0,352,7584.0,0.05,4m,3.0,0.0,2.0,712.0,0.15000000000000002,21,COMPLETE
11,11,0.954621906252567,2025-06-22 16:10:29.571373,2025-06-22 16:10:53.306000,0 days 00:00:23.734627,5392.0,0.05,4m,1.0,1.0,2.0,976.0,5152,0.02,4m,3.0,0.6000000000000001,2.0,456,1504,0.02,1m,1.0,0.6000000000000001,1.0,864,5392.0,0.025,3m,1.2,0.4,1.0,984.0,6600.0,0.03,1m,1.6,0.6000000000000001,1.0,496.0,7784,0.04,5m,2.8,0.4,0.5,560,3784.0,0.025,4m,1.0,0.2,1.0,696.0,8096,0.03,2m,2.6,0.6000000000000001,2.0,992,,,,,,,,,,,,,,,1584.0,0.02,5m,1.6,0.2,1.0,160.0,,,,,,,,1768.0,0.03,5m,2.2,1.0,2.0,624.0,3248,0.05,3m,3.0,0.0,1.5,904,3736.0,0.03,1m,2.8,0.6000000000000001,0.5,528.0,4896,0.015,5m,2.2,0.4,1.0,1016,8056.0,0.03,2m,1.6,0.4,1.5,648.0,5584,0.025,4m,1.0,0.6000000000000001,0.5,1024,1680,0.04,1m,2.6,0.6000000000000001,2.0,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7952.0,0.025,2m,2.8,1.0,2.0,1016.0,1552.0,0.05,5m,1.0,1.0,0.5,1016.0,1752.0,0.03,2m,2.2,0.6000000000000001,0.5,704.0,3920,0.04,1m,3.0,0.6000000000000001,1.5,608,8144,0.01,1m,1.8,0.2,1.5,496,1568.0,0.04,1m,2.6,0.6000000000000001,0.5,1000.0,0.2,22,COMPLETE
12,12,1.007006001180406,2025-06-22 16:10:53.365386,2025-06-22 16:11:26.033517,0 days 00:00:32.668131,4928.0,0.05,2m,1.4,0.6000000000000001,1.5,792.0,4800,0.01,4m,2.4000000000000004,1.0,1.5,1016,3248,0.035,3m,1.4,0.2,1.0,536,5192.0,0.03,2m,1.0,0.8,1.5,792.0,6696.0,0.025,2m,3.0,1.0,0.5,616.0,5488,0.04,5m,2.4000000000000004,1.0,1.0,536,4608.0,0.03,3m,1.0,0.6000000000000001,1.0,800.0,3496,0.05,2m,2.6,0.6000000000000001,1.5,784,7136.0,0.05,5m,2.0,0.0,2.0,128.0,1128.0,0.01,3m,3.0,0.0,2.0,144.0,2768.0,0.01,1m,2.4000000000000004,1.0,1.0,360.0,1088.0,0.01,1m,1.0,1.0,0.5,184.0,2600.0,0.035,4m,1.4,1.0,2.0,712.0,2656,0.05,1m,2.8,0.4,1.0,1024,4568.0,0.035,5m,2.4000000000000004,0.6000000000000001,0.5,136.0,4696,0.02,4m,1.6,0.4,2.0,392,8192.0,0.03,5m,3.0,0.4,0.5,1016.0,5584,0.025,4m,1.4,0.4,1.0,928,2368,0.04,1m,2.4000000000000004,0.6000000000000001,1.0,872,1440.0,0.01,1m,3.0,0.0,0.5,1024.0,8048.0,0.05,1m,3.0,0.0,0.5,984.0,1120.0,0.01,1m,1.6,1.0,2.0,168.0,1264.0,0.01,2m,1.8,0.4,0.5,984.0,3960.0,0.04,1m,3.0,0.2,1.0,272.0,8048.0,0.02,3m,2.4000000000000004,1.0,0.5,736.0,1104.0,0.04,2m,1.6,0.8,1.5,1016.0,6672.0,0.02,4m,2.0,0.6000000000000001,1.0,536.0,1088,0.04,4m,1.8,0.8,1.5,1008,1288,0.05,1m,2.4000000000000004,0.2,1.0,384,2408.0,0.035,4m,2.4000000000000004,0.2,1.5,1016.0,0.5,30,COMPLETE
13,13,0.9536086903325931,2025-06-22 16:11:26.132475,2025-06-22 16:11:57.255559,0 days 00:00:31.123084,5856.0,0.05,5m,1.6,1.0,1.5,144.0,3536,0.01,2m,2.4000000000000004,1.0,1.5,984,3448,0.04,3m,1.2,0.0,0.5,744,3856.0,0.035,2m,1.0,0.8,1.5,736.0,8152.0,0.025,3m,3.0,1.0,1.5,328.0,5392,0.04,5m,2.2,1.0,1.0,664,5224.0,0.05,3m,3.0,0.6000000000000001,1.0,560.0,3328,0.05,2m,2.6,0.6000000000000001,1.5,848,7856.0,0.04,5m,1.8,0.0,1.5,1016.0,1432.0,0.01,1m,1.0,0.0,2.0,176.0,3304.0,0.01,5m,2.2,1.0,1.0,432.0,1528.0,0.04,1m,1.0,1.0,0.5,128.0,5920.0,0.04,4m,1.6,0.8,2.0,480.0,2408,0.025,1m,2.6,0.2,1.5,1000,7608.0,0.04,5m,2.4000000000000004,0.4,0.5,136.0,5608,0.02,2m,1.4,0.0,2.0,384,6032.0,0.025,5m,3.0,0.2,0.5,1016.0,6424,0.04,3m,1.4,0.8,1.5,928,2008,0.045000000000000005,1m,2.4000000000000004,0.8,1.0,904,1176.0,0.01,1m,3.0,0.0,0.5,1000.0,7960.0,0.045000000000000005,1m,3.0,0.0,0.5,1016.0,1368.0,0.01,1m,1.0,1.0,2.0,168.0,7720.0,0.01,2m,2.0,0.4,0.5,784.0,3744.0,0.04,1m,3.0,0.2,1.0,248.0,7072.0,0.03,3m,2.4000000000000004,0.8,0.5,672.0,6160.0,0.045000000000000005,2m,1.8,0.2,1.5,776.0,6656.0,0.02,4m,2.2,1.0,1.0,648.0,4552,0.04,4m,1.8,0.8,1.5,912,1088,0.05,3m,2.6,0.2,1.0,280,2824.0,0.04,4m,2.6,0.0,1.5,1000.0,0.5,30,COMPLETE
14,14,0.9744498143392264,2025-06-22 16:11:57.313258,2025-06-22 16:12:20.571164,0 days 00:00:23.257906,4112.0,0.045000000000000005,2m,2.8,0.4,2.0,784.0,4608,0.02,2m,2.6,0.8,1.0,1016,3208,0.04,3m,1.4,0.2,1.0,896,3376.0,0.03,2m,2.2,0.8,1.5,808.0,6656.0,0.02,5m,2.4000000000000004,0.8,1.0,568.0,5840,0.01,5m,2.6,1.0,1.0,472,5128.0,0.035,3m,1.4,0.6000000000000001,1.0,776.0,6816,0.05,1m,2.4000000000000004,1.0,1.0,816,6024.0,0.03,5m,1.8,0.6000000000000001,0.5,568.0,,,,,,,,7928.0,0.015,4m,2.4000000000000004,0.2,0.5,360.0,,,,,,,,2928.0,0.035,4m,3.0,0.4,2.0,992.0,2688,0.045000000000000005,1m,2.2,0.4,1.0,1024,1936.0,0.05,5m,2.4000000000000004,0.8,1.0,240.0,7080,0.02,1m,1.2,0.6000000000000001,2.0,416,7064.0,0.03,5m,2.6,0.6000000000000001,2.0,880.0,3392,0.035,5m,1.4,0.4,1.0,624,2568,0.02,1m,2.4000000000000004,1.0,1.0,488,,,,,,,,,,,,,,,,,,,,,,1184.0,0.035,2m,1.8,0.4,1.5,848.0,,,,,,,,8008.0,0.02,3m,1.4,1.0,0.5,360.0,5736.0,0.04,2m,1.0,0.8,2.0,864.0,6320.0,0.02,4m,3.0,0.4,1.5,848.0,1216,0.015,1m,1.2,1.0,1.5,1016,2064,0.015,5m,2.2,0.4,1.0,680,4448.0,0.035,4m,3.0,0.2,2.0,728.0,0.5,24,COMPLETE
15,15,0.9512120718396596,2025-06-22 16:12:20.636418,2025-06-22 16:12:39.606126,0 days 00:00:18.969708,,,,,,,,8056,0.04,4m,2.4000000000000004,1.0,2.0,728,6352,0.035,4m,3.0,0.2,0.5,136,1216.0,0.05,2m,1.6,0.8,1.5,552.0,5648.0,0.025,1m,3.0,0.8,2.0,328.0,4568,0.035,5m,2.0,0.8,1.0,736,2072.0,0.03,3m,2.2,0.8,1.5,504.0,3432,0.035,3m,2.8,0.8,1.5,464,,,,,,,,,,,,,,,2256.0,0.01,1m,1.4,0.2,1.0,136.0,,,,,,,,5576.0,0.05,4m,1.4,0.8,1.5,704.0,1192,0.03,1m,2.0,0.0,1.5,832,5048.0,0.035,5m,1.6,0.8,0.5,528.0,4384,0.02,5m,1.6,0.4,2.0,216,5336.0,0.05,5m,2.6,0.2,1.5,1016.0,6208,0.02,4m,2.2,0.8,2.0,968,5416,0.035,3m,3.0,0.6000000000000001,1.0,528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3024.0,0.01,2m,1.8,0.6000000000000001,1.5,632.0,,,,,,,,6944,0.05,1m,1.4,0.8,1.0,472,2200,0.05,1m,2.6,0.2,1.0,640,2408.0,0.05,4m,2.4000000000000004,0.2,1.5,1024.0,0.15000000000000002,19,COMPLETE
16,16,0.9837041036619844,2025-06-22 16:12:39.669252,2025-06-22 16:13:11.578548,0 days 00:00:31.909296,6440.0,0.025,4m,1.0,0.8,1.5,792.0,6016,0.05,2m,2.2,0.8,1.5,880,4120,0.02,3m,1.4,0.6000000000000001,1.0,680,5200.0,0.02,1m,1.0,0.8,1.0,880.0,7304.0,0.01,2m,2.4000000000000004,0.4,0.5,648.0,6568,0.025,5m,3.0,0.8,1.5,432,6208.0,0.01,1m,3.0,0.8,0.5,872.0,2888,0.045000000000000005,2m,2.2,0.6000000000000001,1.0,176,6312.0,0.03,2m,1.4,0.4,1.5,128.0,1040.0,0.025,2m,3.0,0.0,2.0,928.0,1760.0,0.02,2m,2.0,0.4,1.5,704.0,1104.0,0.01,1m,1.8,1.0,1.0,136.0,1136.0,0.035,4m,2.0,0.4,2.0,184.0,4808,0.015,3m,2.8,1.0,1.0,552,2968.0,0.025,2m,2.2,0.6000000000000001,1.0,376.0,5456,0.025,4m,2.6,0.2,1.0,440,5120.0,0.035,3m,3.0,0.6000000000000001,0.5,360.0,4880,0.035,4m,1.6,0.4,1.0,464,4616,0.02,1m,2.2,0.6000000000000001,1.0,872,1472.0,0.01,1m,2.8,0.0,0.5,968.0,7072.0,0.05,1m,3.0,0.0,0.5,1024.0,4136.0,0.01,5m,1.4,1.0,2.0,424.0,2568.0,0.025,5m,1.6,0.6000000000000001,0.5,528.0,7440.0,0.02,5m,2.4000000000000004,0.6000000000000001,1.5,400.0,3784.0,0.035,3m,1.0,0.8,1.0,696.0,5632.0,0.045000000000000005,2m,1.4,0.2,1.5,640.0,2432.0,0.01,1m,2.6,0.8,1.0,512.0,1112,0.04,4m,2.0,0.2,2.0,992,2072,0.04,1m,2.0,0.0,0.5,440,3760.0,0.04,3m,2.4000000000000004,0.2,2.0,480.0,0.3,30,COMPLETE
17,17,0.9875442629353957,2025-06-22 16:13:11.647823,2025-06-22 16:13:33.734855,0 days 00:00:22.087032,5040.0,0.05,2m,2.4000000000000004,0.2,2.0,1024.0,2672,0.015,4m,2.6,1.0,1.0,752,4024,0.045000000000000005,5m,1.0,0.8,0.5,464,2368.0,0.035,5m,1.4,1.0,1.5,632.0,5448.0,0.02,2m,3.0,0.8,1.0,464.0,4248,0.01,5m,2.2,1.0,1.0,736,3976.0,0.035,5m,1.4,0.4,2.0,664.0,6944,0.035,3m,2.4000000000000004,0.4,1.5,304,6504.0,0.05,5m,2.2,0.2,2.0,432.0,,,,,,,,4960.0,0.015,2m,1.4,1.0,0.5,624.0,,,,,,,,2760.0,0.025,3m,2.4000000000000004,0.8,2.0,416.0,2128,0.03,1m,2.2,0.4,2.0,872,5000.0,0.02,3m,2.0,1.0,2.0,136.0,3192,0.01,5m,1.2,0.0,1.5,128,7456.0,0.025,4m,2.4000000000000004,0.2,1.5,608.0,6136,0.025,5m,2.2,0.8,1.5,648,2320,0.03,1m,2.4000000000000004,0.8,2.0,944,,,,,,,,,,,,,,,4200.0,0.05,1m,1.8,0.8,0.5,456.0,6232.0,0.01,2m,2.6,0.4,1.5,832.0,,,,,,,,6224.0,0.025,5m,2.4000000000000004,0.4,0.5,792.0,1104.0,0.04,5m,3.0,1.0,2.0,904.0,6232.0,0.04,4m,2.0,0.8,1.0,736.0,3416,0.035,1m,1.8,0.8,1.5,352,6648,0.02,5m,2.4000000000000004,1.0,1.0,288,6800.0,0.035,4m,2.8,0.0,1.5,728.0,0.2,25,COMPLETE
18,18,0.9532085188226792,2025-06-22 16:13:33.788484,2025-06-22 16:13:55.465479,0 days 00:00:21.676995,3320.0,0.04,4m,1.8,0.8,1.5,840.0,4664,0.025,5m,2.0,0.2,1.5,1024,2696,0.035,3m,2.6,0.2,1.0,840,6480.0,0.03,4m,2.0,0.4,1.0,864.0,7416.0,0.05,1m,2.2,0.6000000000000001,1.5,288.0,5928,0.035,4m,2.6,0.6000000000000001,1.5,608,2848.0,0.03,3m,2.0,1.0,1.0,336.0,4296,0.025,2m,1.6,0.8,1.0,984,8088.0,0.04,5m,1.6,0.6000000000000001,1.0,768.0,,,,,,,,3544.0,0.03,1m,2.6,0.4,1.0,424.0,,,,,,,,7256.0,0.04,5m,1.4,0.6000000000000001,1.0,280.0,3064,0.045000000000000005,1m,1.4,0.2,1.5,360,8136.0,0.035,5m,2.4000000000000004,0.4,0.5,632.0,7000,0.025,4m,1.8,0.6000000000000001,2.0,296,3064.0,0.025,5m,2.8,0.8,2.0,888.0,1040,0.04,2m,1.2,0.6000000000000001,1.0,312,2672,0.04,1m,2.8,1.0,1.0,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7104.0,0.035,1m,1.6,0.8,0.5,400.0,2688.0,0.05,4m,2.6,0.8,1.0,1000.0,3144.0,0.02,3m,2.6,0.2,1.5,960.0,4480,0.025,4m,2.2,0.6000000000000001,1.0,808,1696,0.04,2m,3.0,0.4,1.5,144,4792.0,0.045000000000000005,4m,2.2,0.8,2.0,792.0,0.05,23,COMPLETE
19,19,0.9682424132804205,2025-06-22 16:13:55.522021,2025-06-22 16:14:14.981842,0 days 00:00:19.459821,,,,,,,,6768,0.01,1m,2.6,0.8,1.0,488,1024,0.045000000000000005,5m,1.6,0.0,0.5,1024,4400.0,0.04,2m,3.0,0.8,2.0,712.0,2528.0,0.03,3m,2.8,0.4,2.0,592.0,3792,0.045000000000000005,2m,2.0,1.0,0.5,816,7072.0,0.04,4m,1.4,0.6000000000000001,1.5,880.0,5304,0.045000000000000005,1m,2.8,1.0,1.5,504,,,,,,,,,,,,,,,1056.0,0.045000000000000005,4m,2.2,0.4,1.5,800.0,,,,,,,,3704.0,0.04,2m,1.8,0.4,1.5,576.0,1776,0.025,1m,2.6,0.8,1.0,128,2576.0,0.04,2m,1.6,0.2,1.5,456.0,5760,0.015,1m,1.2,0.4,1.5,512,5648.0,0.045000000000000005,5m,1.6,0.4,0.5,688.0,4536,0.03,3m,1.8,0.4,1.5,128,1120,0.015,2m,1.8,0.6000000000000001,0.5,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8176.0,0.025,3m,1.4,0.2,1.5,184.0,,,,,,,,5280,0.045000000000000005,2m,1.4,1.0,2.0,888,2472,0.015,4m,2.2,0.8,0.5,520,2360.0,0.03,4m,2.8,0.4,1.5,376.0,0.45,19,COMPLETE
20,20,0.9594833987728618,2025-06-22 16:14:15.064769,2025-06-22 16:14:39.312461,0 days 00:00:24.247692,6672.0,0.01,3m,1.4,0.6000000000000001,1.0,672.0,1200,0.035,3m,2.2,1.0,0.5,928,5728,0.025,2m,2.8,0.4,1.0,680,1896.0,0.02,2m,1.4,1.0,1.5,904.0,5824.0,0.015,5m,2.6,1.0,0.5,144.0,5056,0.025,3m,2.6,0.8,1.0,536,5304.0,0.025,3m,2.6,0.8,0.5,600.0,7336,0.035,4m,2.4000000000000004,0.4,1.0,760,1056.0,0.04,5m,2.4000000000000004,0.8,1.5,360.0,3176.0,0.025,4m,2.0,0.2,1.5,376.0,2272.0,0.025,3m,1.2,0.2,0.5,528.0,4256.0,0.03,2m,3.0,0.0,1.0,440.0,2216.0,0.045000000000000005,4m,2.2,1.0,2.0,728.0,3792,0.015,5m,2.0,0.0,2.0,968,6800.0,0.05,5m,3.0,0.8,1.0,280.0,4816,0.025,2m,2.4000000000000004,0.2,2.0,816,6944.0,0.035,5m,2.8,0.6000000000000001,1.5,528.0,3448,0.02,1m,1.2,1.0,1.0,880,4784,0.03,3m,2.2,0.8,2.0,936,8152.0,0.03,2m,1.0,0.4,1.0,576.0,,,,,,,,1104.0,0.02,4m,1.8,0.4,1.0,1008.0,2672.0,0.04,2m,1.6,0.2,1.5,1024.0,,,,,,,,4968.0,0.01,3m,2.2,0.4,1.0,680.0,4944.0,0.04,2m,2.0,0.4,1.0,696.0,8184.0,0.035,1m,1.0,0.6000000000000001,1.0,424.0,6824,0.02,5m,1.6,0.4,1.5,536,1040,0.045000000000000005,3m,2.6,0.2,1.0,376,3312.0,0.03,2m,2.2,0.2,1.0,624.0,0.35000000000000003,28,COMPLETE
21,21,0.9372064758482723,2025-06-22 16:14:39.396763,2025-06-22 16:15:08.759380,0 days 00:00:29.362617,4280.0,0.03,2m,1.4,0.6000000000000001,1.5,704.0,5384,0.015,4m,3.0,0.6000000000000001,1.5,608,2440,0.03,1m,1.8,0.4,1.5,528,5904.0,0.025,3m,1.0,0.6000000000000001,0.5,968.0,6496.0,0.035,2m,1.4,0.0,0.5,680.0,7992,0.04,5m,2.8,0.4,0.5,488,3728.0,0.025,4m,1.0,0.0,1.0,840.0,4664,0.01,2m,3.0,0.4,2.0,728,5160.0,0.05,4m,2.8,0.0,2.0,232.0,7888.0,0.01,3m,3.0,0.8,0.5,168.0,2784.0,0.02,1m,3.0,0.8,1.0,256.0,3112.0,0.01,4m,1.4,0.8,0.5,408.0,3008.0,0.01,4m,1.0,1.0,1.5,776.0,3744,0.05,2m,3.0,0.8,0.5,816,4144.0,0.02,1m,2.6,0.6000000000000001,0.5,784.0,3688,0.015,4m,1.8,0.4,1.5,872,8152.0,0.035,2m,1.6,0.4,1.0,728.0,5248,0.025,4m,1.0,0.2,0.5,824,2840,0.04,1m,1.8,0.4,1.5,832,,,,,,,,,,,,,,,2528.0,0.025,1m,2.4000000000000004,0.6000000000000001,2.0,224.0,2280.0,0.02,4m,1.4,0.2,1.0,944.0,,,,,,,,7248.0,0.02,2m,2.6,1.0,2.0,960.0,2344.0,0.035,1m,1.4,0.8,0.5,920.0,5640.0,0.03,2m,1.6,0.6000000000000001,0.5,304.0,3040,0.035,4m,3.0,0.6000000000000001,1.5,648,3736,0.035,1m,1.6,0.2,1.5,432,1672.0,0.035,1m,1.4,0.6000000000000001,0.5,936.0,0.25,27,COMPLETE
