,number,value,datetime_start,datetime_complete,duration,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_CPRT_MSFT_beta_win,params_CPRT_MSFT_stop_loss,params_CPRT_MSFT_trade_freq,params_CPRT_MSFT_z_entry,params_CPRT_MSFT_z_exit,params_CPRT_MSFT_z_stop_scaler,params_CPRT_MSFT_z_win,params_CPRT_MU_beta_win,params_CPRT_MU_stop_loss,params_CPRT_MU_trade_freq,params_CPRT_MU_z_entry,params_CPRT_MU_z_exit,params_CPRT_MU_z_stop_scaler,params_CPRT_MU_z_win,params_CSGP_CSX_beta_win,params_CSGP_CSX_stop_loss,params_CSGP_CSX_trade_freq,params_CSGP_CSX_z_entry,params_CSGP_CSX_z_exit,params_CSGP_CSX_z_stop_scaler,params_CSGP_CSX_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_FTNT_ROST_beta_win,params_FTNT_ROST_stop_loss,params_FTNT_ROST_trade_freq,params_FTNT_ROST_z_entry,params_FTNT_ROST_z_exit,params_FTNT_ROST_z_stop_scaler,params_FTNT_ROST_z_win,params_GOOGL_MU_beta_win,params_GOOGL_MU_stop_loss,params_GOOGL_MU_trade_freq,params_GOOGL_MU_z_entry,params_GOOGL_MU_z_exit,params_GOOGL_MU_z_stop_scaler,params_GOOGL_MU_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_MU_beta_win,params_GOOG_MU_stop_loss,params_GOOG_MU_trade_freq,params_GOOG_MU_z_entry,params_GOOG_MU_z_exit,params_GOOG_MU_z_stop_scaler,params_GOOG_MU_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_buffer_capital,params_pairs_to_trade,state
30,30,0.9946063578668991,2025-06-22 17:17:28.728321,2025-06-22 17:17:33.567357,0 days 00:00:04.839036,,,,,,,,3392,0.045000000000000005,4m,2.8,1.0,0.5,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1048,0.035,6m,1.8,0.8,1.0,384,1672.0,0.05,3m,1.8,0.4,0.5,312.0,,,,,,,,6376.0,0.025,7m,1.0,0.6000000000000001,2.0,528.0,,,,,,,,0.35000000000000003,3,COMPLETE
31,31,1.01946800629504,2025-06-22 17:17:33.601066,2025-06-22 17:17:44.999927,0 days 00:00:11.398861,3048.0,0.05,7m,2.6,0.4,1.5,720.0,3000,0.03,4m,3.0,0.8,0.5,488,3488.0,0.025,9m,2.4000000000000004,0.0,1.5,424.0,3736.0,0.05,4m,1.4,0.8,2.0,920.0,6064.0,0.03,6m,1.2,1.0,2.0,936.0,4320.0,0.02,2m,1.4,0.6000000000000001,2.0,840.0,1680,0.03,9m,1.0,0.8,0.5,200,2408.0,0.05,9m,1.4,0.4,0.5,240.0,5880.0,0.035,9m,1.6,0.6000000000000001,1.5,568.0,5824.0,0.035,7m,1.4,0.6000000000000001,1.5,360.0,2952.0,0.025,8m,2.4000000000000004,0.8,2.0,520.0,0.3,10,COMPLETE
32,32,1.0139793995605773,2025-06-22 17:17:45.037634,2025-06-22 17:17:56.364667,0 days 00:00:11.327033,3048.0,0.05,7m,2.6,0.4,1.5,776.0,3008,0.025,4m,2.8,0.8,0.5,648,3392.0,0.025,9m,2.4000000000000004,0.2,1.5,456.0,3768.0,0.05,4m,1.2,1.0,1.5,864.0,6664.0,0.035,6m,1.0,1.0,2.0,920.0,4416.0,0.02,2m,1.4,0.6000000000000001,2.0,808.0,1384,0.04,9m,1.0,0.8,0.5,168,2704.0,0.05,9m,1.4,0.4,0.5,208.0,5680.0,0.03,9m,1.6,0.6000000000000001,1.5,552.0,5856.0,0.035,7m,1.4,0.6000000000000001,1.5,376.0,2680.0,0.025,8m,2.8,1.0,2.0,536.0,0.3,10,COMPLETE
33,33,0.990758259787335,2025-06-22 17:17:56.403858,2025-06-22 17:18:06.198296,0 days 00:00:09.794438,1952.0,0.05,7m,3.0,0.2,1.5,920.0,4104,0.03,4m,2.6,0.6000000000000001,0.5,528,2576.0,0.02,9m,2.2,0.0,1.0,312.0,3168.0,0.04,8m,1.4,0.8,2.0,584.0,,,,,,,,4176.0,0.015,2m,1.4,0.8,1.5,712.0,1600,0.035,8m,1.0,1.0,0.5,184,1648.0,0.05,9m,1.4,0.4,0.5,216.0,6008.0,0.035,9m,1.6,0.6000000000000001,1.5,464.0,7520.0,0.025,7m,1.2,0.4,1.5,480.0,2232.0,0.015,8m,2.2,0.8,2.0,440.0,0.4,9,COMPLETE
34,34,0.9509582216304027,2025-06-22 17:18:06.236627,2025-06-22 17:18:15.880297,0 days 00:00:09.643670,3664.0,0.045000000000000005,7m,2.6,0.4,2.0,640.0,3528,0.02,4m,3.0,0.8,0.5,432,1104.0,0.02,8m,2.0,0.2,1.5,552.0,,,,,,,,,,,,,,,5792.0,0.025,2m,1.6,0.6000000000000001,2.0,880.0,2024,0.03,9m,2.0,0.8,0.5,296,2448.0,0.045000000000000005,9m,1.6,0.0,0.5,336.0,4768.0,0.02,9m,2.0,0.4,1.0,600.0,4640.0,0.015,3m,1.4,0.6000000000000001,1.5,280.0,4896.0,0.025,8m,2.4000000000000004,0.8,2.0,608.0,0.3,8,COMPLETE
35,35,0.9604977827298548,2025-06-22 17:18:15.924457,2025-06-22 17:18:26.908738,0 days 00:00:10.984281,2416.0,0.045000000000000005,7m,2.8,0.2,1.5,592.0,2408,0.035,9m,2.2,0.4,0.5,592,3768.0,0.015,9m,2.4000000000000004,0.0,2.0,400.0,4520.0,0.03,5m,1.4,0.8,1.5,896.0,3512.0,0.03,6m,1.0,0.6000000000000001,1.5,888.0,5336.0,0.02,3m,1.0,0.8,1.5,504.0,2768,0.04,4m,1.4,0.6000000000000001,0.5,512,1056.0,0.04,4m,1.8,0.2,0.5,256.0,4152.0,0.035,9m,2.0,0.2,2.0,392.0,6104.0,0.035,7m,3.0,0.4,1.0,608.0,3184.0,0.015,8m,2.0,0.8,2.0,336.0,0.4,10,COMPLETE
36,36,0.9573931437361298,2025-06-22 17:18:26.946227,2025-06-22 17:18:37.549533,0 days 00:00:10.603306,3616.0,0.05,4m,2.0,0.0,1.5,800.0,2792,0.025,2m,2.6,1.0,0.5,808,4088.0,0.03,4m,2.6,0.4,1.5,544.0,,,,,,,,,,,,,,,,,,,,,,6560,0.035,2m,1.6,1.0,1.5,280,3208.0,0.05,6m,1.2,0.4,0.5,432.0,5776.0,0.02,6m,1.2,0.6000000000000001,1.5,584.0,5224.0,0.03,7m,2.0,0.8,2.0,496.0,1712.0,0.035,6m,2.8,1.0,1.5,472.0,0.25,7,COMPLETE
37,37,0.995028432178684,2025-06-22 17:18:37.599260,2025-06-22 17:18:41.303284,0 days 00:00:03.704024,,,,,,,,2232,0.035,6m,2.8,0.2,1.0,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496,0.015,5m,2.2,0.8,0.5,208,1616.0,0.04,5m,1.6,0.6000000000000001,2.0,192.0,,,,,,,,,,,,,,,,,,,,,,0.25,2,COMPLETE
38,38,0.9308693824737602,2025-06-22 17:18:41.349933,2025-06-22 17:18:52.682033,0 days 00:00:11.332100,3776.0,0.045000000000000005,5m,2.6,0.4,2.0,720.0,4648,0.025,4m,2.4000000000000004,0.8,0.5,456,2096.0,0.025,6m,2.2,0.0,1.0,256.0,4440.0,0.045000000000000005,4m,1.0,0.8,2.0,640.0,,,,,,,,3624.0,0.03,7m,1.4,0.4,2.0,744.0,2992,0.03,9m,1.2,0.6000000000000001,2.0,144,2160.0,0.045000000000000005,2m,1.2,0.2,0.5,552.0,5096.0,0.035,3m,1.6,0.4,1.0,728.0,5312.0,0.015,7m,1.2,0.2,1.0,376.0,5752.0,0.025,7m,2.8,0.6000000000000001,2.0,672.0,0.4,9,COMPLETE
39,39,0.9713496121130129,2025-06-22 17:18:52.719872,2025-06-22 17:19:00.266615,0 days 00:00:07.546743,,,,,,,,3200,0.04,8m,3.0,0.4,1.0,600,4528.0,0.015,5m,1.8,0.2,2.0,344.0,,,,,,,,,,,,,,,,,,,,,,2240,0.04,3m,1.0,0.8,1.0,624,1632.0,0.05,7m,1.4,0.4,0.5,720.0,6592.0,0.04,9m,1.8,0.8,1.5,432.0,6824.0,0.04,7m,1.8,0.6000000000000001,1.5,768.0,4432.0,0.015,4m,2.4000000000000004,0.8,2.0,360.0,0.35000000000000003,6,COMPLETE
40,40,0.9854270785676134,2025-06-22 17:19:00.304116,2025-06-22 17:19:09.583848,0 days 00:00:09.279732,1704.0,0.01,3m,2.2,0.6000000000000001,1.5,560.0,5320,0.03,9m,2.6,0.6000000000000001,1.0,704,2768.0,0.035,8m,2.8,1.0,0.5,208.0,,,,,,,,,,,,,,,6568.0,0.02,8m,1.8,0.6000000000000001,1.5,888.0,3216,0.025,8m,3.0,0.6000000000000001,0.5,384,2816.0,0.035,8m,2.6,0.6000000000000001,0.5,648.0,3600.0,0.02,9m,1.2,0.6000000000000001,2.0,648.0,5888.0,0.025,2m,1.4,0.4,1.5,240.0,2976.0,0.02,8m,2.6,0.4,1.5,568.0,0.3,8,COMPLETE
41,41,1.001775449378213,2025-06-22 17:19:09.629325,2025-06-22 17:19:22.714545,0 days 00:00:13.085220,5048.0,0.035,9m,2.2,0.6000000000000001,1.0,480.0,1608,0.03,2m,3.0,0.8,1.5,384,3584.0,0.03,9m,2.6,0.0,1.5,424.0,7000.0,0.05,4m,2.2,0.4,2.0,936.0,5968.0,0.025,3m,2.4000000000000004,1.0,2.0,680.0,1960.0,0.045000000000000005,2m,2.2,0.2,2.0,936.0,1896,0.02,9m,1.2,0.6000000000000001,0.5,240,2272.0,0.045000000000000005,9m,1.0,0.8,1.0,376.0,7360.0,0.045000000000000005,8m,1.4,0.8,1.5,856.0,4272.0,0.045000000000000005,7m,1.6,0.8,1.5,176.0,3664.0,0.03,3m,2.4000000000000004,0.4,1.0,704.0,0.15000000000000002,10,COMPLETE
42,42,0.9534143861472013,2025-06-22 17:19:22.730515,2025-06-22 17:19:33.521999,0 days 00:00:10.791484,6504.0,0.025,8m,2.8,0.8,1.0,520.0,2088,0.035,4m,3.0,0.8,2.0,168,4888.0,0.025,9m,2.8,0.0,1.5,360.0,2464.0,0.045000000000000005,4m,1.8,0.2,2.0,952.0,6200.0,0.03,7m,1.6,1.0,1.5,1024.0,1864.0,0.025,2m,1.8,0.4,2.0,928.0,1248,0.025,9m,1.2,0.4,0.5,360,5272.0,0.045000000000000005,9m,1.2,0.4,1.0,432.0,8168.0,0.05,8m,1.6,0.6000000000000001,1.5,304.0,2184.0,0.05,9m,1.6,1.0,1.5,312.0,3368.0,0.035,8m,2.2,0.2,0.5,840.0,0.25,10,COMPLETE
43,43,0.9784911629077288,2025-06-22 17:19:33.597303,2025-06-22 17:19:44.075482,0 days 00:00:10.478179,5304.0,0.04,7m,2.4000000000000004,0.6000000000000001,1.0,424.0,2600,0.03,7m,2.8,1.0,1.5,232,5840.0,0.03,9m,3.0,0.0,1.5,296.0,7232.0,0.045000000000000005,4m,1.6,0.6000000000000001,2.0,864.0,,,,,,,,3544.0,0.015,2m,1.6,0.0,2.0,1024.0,8128,0.03,9m,1.4,1.0,0.5,440,3552.0,0.05,9m,1.4,0.8,1.0,328.0,6608.0,0.045000000000000005,9m,1.4,0.8,1.5,768.0,3696.0,0.045000000000000005,8m,1.2,0.6000000000000001,1.5,720.0,2320.0,0.025,3m,2.4000000000000004,0.6000000000000001,2.0,648.0,0.35000000000000003,9,COMPLETE
44,44,1.0065200713076277,2025-06-22 17:19:44.135172,2025-06-22 17:20:00.116792,0 days 00:00:15.981620,5808.0,0.035,2m,1.8,0.4,1.0,632.0,1512,0.03,5m,2.8,0.8,2.0,296,6400.0,0.035,7m,2.4000000000000004,0.2,1.5,440.0,5760.0,0.05,4m,2.0,0.2,1.5,1024.0,5992.0,0.025,6m,1.4,0.8,2.0,744.0,4880.0,0.045000000000000005,4m,1.2,0.4,2.0,792.0,1832,0.025,9m,1.0,0.8,0.5,272,6464.0,0.025,5m,1.2,1.0,0.5,248.0,7552.0,0.04,8m,1.0,0.6000000000000001,1.5,552.0,6368.0,0.035,3m,1.8,0.8,1.5,384.0,4112.0,0.025,5m,2.8,0.6000000000000001,1.5,560.0,0.15000000000000002,10,COMPLETE
45,45,0.9728636322442414,2025-06-22 17:20:00.160906,2025-06-22 17:20:03.188577,0 days 00:00:03.027671,,,,,,,,1928,0.05,6m,3.0,0.6000000000000001,1.0,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256,0.02,7m,1.6,0.2,0.5,320,1440.0,0.05,9m,1.6,0.2,1.0,480.0,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
46,46,0.9714775521615062,2025-06-22 17:20:03.226204,2025-06-22 17:20:13.177921,0 days 00:00:09.951717,4704.0,0.045000000000000005,7m,2.2,0.4,1.5,320.0,3736,0.025,3m,3.0,0.0,1.5,392,2448.0,0.045000000000000005,9m,1.2,0.0,1.5,232.0,2472.0,0.045000000000000005,4m,2.8,0.8,2.0,824.0,,,,,,,,2704.0,0.035,6m,2.2,0.2,2.0,912.0,1512,0.045000000000000005,5m,1.0,0.4,1.0,216,7096.0,0.045000000000000005,6m,2.2,0.6000000000000001,1.5,392.0,6120.0,0.05,9m,1.8,1.0,1.5,648.0,4808.0,0.04,7m,2.8,1.0,1.5,912.0,4744.0,0.02,8m,1.8,1.0,1.0,920.0,0.2,9,COMPLETE
47,47,0.9371305593321809,2025-06-22 17:20:13.230803,2025-06-22 17:20:21.297368,0 days 00:00:08.066565,,,,,,,,1384,0.015,3m,2.0,0.8,0.5,200,1712.0,0.05,2m,2.6,0.8,1.5,616.0,,,,,,,,,,,,,,,,,,,,,,1104,0.015,9m,2.2,0.6000000000000001,0.5,400,1976.0,0.04,3m,1.0,0.8,0.5,128.0,5248.0,0.03,6m,2.2,0.8,1.0,944.0,3568.0,0.02,9m,2.4000000000000004,0.6000000000000001,1.0,200.0,,,,,,,,0.3,5,COMPLETE
48,48,0.9737017411281226,2025-06-22 17:20:21.363215,2025-06-22 17:20:37.272421,0 days 00:00:15.909206,2592.0,0.025,2m,2.6,0.6000000000000001,0.5,872.0,6992,0.02,4m,2.6,1.0,2.0,312,4120.0,0.02,6m,2.8,0.2,1.0,528.0,5176.0,0.02,9m,1.4,0.6000000000000001,1.0,392.0,4488.0,0.035,9m,2.2,0.8,0.5,344.0,1664.0,0.025,9m,2.8,0.6000000000000001,1.5,664.0,2776,0.035,7m,1.4,1.0,0.5,480,1128.0,0.03,2m,3.0,1.0,1.0,608.0,6920.0,0.04,7m,1.2,0.6000000000000001,2.0,824.0,3088.0,0.045000000000000005,4m,1.4,0.4,2.0,544.0,3520.0,0.045000000000000005,3m,2.6,0.8,1.5,776.0,0.5,10,COMPLETE
49,49,1.038573757838278,2025-06-22 17:20:37.321657,2025-06-22 17:20:42.097362,0 days 00:00:04.775705,,,,,,,,1056,0.035,8m,2.8,0.8,1.5,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5048,0.01,4m,1.2,0.8,1.0,696,5128.0,0.02,4m,1.6,0.4,0.5,528.0,,,,,,,,7384.0,0.035,5m,2.6,0.2,1.5,440.0,,,,,,,,0.05,3,COMPLETE
50,50,1.0054106552439181,2025-06-22 17:20:42.124441,2025-06-22 17:20:46.610367,0 days 00:00:04.485926,,,,,,,,1104,0.05,8m,2.8,1.0,2.0,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5088,0.01,4m,1.8,0.8,1.5,784,8192.0,0.02,4m,1.6,0.4,0.5,936.0,,,,,,,,7424.0,0.035,5m,2.6,0.2,2.0,448.0,,,,,,,,0.05,3,COMPLETE
51,51,1.0064835320335208,2025-06-22 17:20:46.641127,2025-06-22 17:20:51.254699,0 days 00:00:04.613572,,,,,,,,1768,0.035,8m,2.8,0.8,1.5,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6112,0.01,4m,1.2,0.8,1.0,648,5304.0,0.01,4m,1.4,0.4,0.5,528.0,,,,,,,,7616.0,0.03,5m,2.6,0.2,1.5,648.0,,,,,,,,0.05,3,COMPLETE
52,52,0.9871991432784469,2025-06-22 17:20:51.278471,2025-06-22 17:20:56.536760,0 days 00:00:05.258289,,,,,,,,2680,0.03,8m,3.0,0.8,1.5,160,4944.0,0.01,8m,1.8,0.0,1.0,664.0,,,,,,,,,,,,,,,,,,,,,,4744,0.015,4m,1.2,0.8,0.5,704,5760.0,0.015,4m,1.2,0.2,0.5,440.0,,,,,,,,6632.0,0.035,5m,2.6,0.0,1.5,400.0,,,,,,,,0.1,4,COMPLETE
53,53,0.969893595890103,2025-06-22 17:20:56.580162,2025-06-22 17:20:59.875829,0 days 00:00:03.295667,,,,,,,,1024,0.035,5m,2.8,0.6000000000000001,1.5,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5488,0.01,2m,1.0,1.0,1.0,968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
54,54,1.044898236818028,2025-06-22 17:20:59.939482,2025-06-22 17:21:06.234215,0 days 00:00:06.294733,,,,,,,,2032,0.04,3m,1.8,0.8,1.5,200,3048.0,0.04,3m,2.2,0.4,2.0,464.0,,,,,,,,,,,,,,,,,,,,,,4160,0.03,7m,1.2,0.6000000000000001,0.5,584,4984.0,0.025,9m,1.8,0.6000000000000001,0.5,624.0,,,,,,,,7064.0,0.04,6m,2.8,0.4,1.5,456.0,,,,,,,,0.1,4,COMPLETE
55,55,1.0342699475116999,2025-06-22 17:21:06.290864,2025-06-22 17:21:15.703268,0 days 00:00:09.412404,,,,,,,,2144,0.045000000000000005,3m,1.8,1.0,1.5,192,3440.0,0.025,3m,2.0,0.6000000000000001,2.0,456.0,,,,,,,,,,,,,,,,,,,,,,4056,0.03,7m,1.4,0.8,0.5,584,4480.0,0.025,3m,1.8,0.6000000000000001,0.5,672.0,,,,,,,,7128.0,0.04,6m,2.8,0.4,1.5,448.0,,,,,,,,0.1,4,COMPLETE
56,56,1.03044735666433,2025-06-22 17:21:15.742627,2025-06-22 17:21:22.541659,0 days 00:00:06.799032,,,,,,,,2136,0.045000000000000005,3m,1.8,1.0,1.5,200,2896.0,0.03,3m,1.6,0.6000000000000001,2.0,744.0,,,,,,,,,,,,,,,,,,,,,,4136,0.05,7m,1.4,0.6000000000000001,1.0,552,4880.0,0.025,3m,1.8,0.6000000000000001,0.5,688.0,,,,,,,,7040.0,0.04,6m,3.0,0.4,1.5,464.0,,,,,,,,0.1,4,COMPLETE
57,57,0.9978018050218412,2025-06-22 17:21:22.583735,2025-06-22 17:21:29.104983,0 days 00:00:06.521248,,,,,,,,1376,0.045000000000000005,3m,1.8,1.0,1.5,184,3016.0,0.03,3m,1.6,0.6000000000000001,2.0,824.0,,,,,,,,,,,,,,,,,,,,,,4136,0.045000000000000005,7m,1.6,0.6000000000000001,1.0,568,5008.0,0.025,3m,1.8,0.6000000000000001,0.5,696.0,,,,,,,,7176.0,0.04,6m,3.0,0.4,1.5,440.0,,,,,,,,0.15000000000000002,4,COMPLETE
58,58,1.0199160611271885,2025-06-22 17:21:29.155955,2025-06-22 17:21:37.668962,0 days 00:00:08.513007,,,,,,,,2136,0.04,3m,1.8,1.0,1.5,896,2024.0,0.03,3m,1.4,0.6000000000000001,2.0,712.0,,,,,,,,,,,,,,,,,,,,,,3848,0.05,7m,1.4,0.6000000000000001,1.0,600,4544.0,0.02,3m,2.0,0.6000000000000001,0.5,640.0,2144.0,0.015,2m,3.0,0.2,2.0,312.0,7872.0,0.04,6m,3.0,0.2,1.5,512.0,,,,,,,,0.05,5,COMPLETE
59,59,0.9636362466410532,2025-06-22 17:21:37.708137,2025-06-22 17:21:44.698091,0 days 00:00:06.989954,,,,,,,,2432,0.045000000000000005,3m,1.4,1.0,1.5,264,2704.0,0.035,3m,2.0,0.6000000000000001,2.0,472.0,,,,,,,,,,,,,,,,,,,,,,4848,0.05,7m,1.4,0.6000000000000001,1.5,688,6168.0,0.025,3m,2.2,0.6000000000000001,0.5,784.0,,,,,,,,6984.0,0.04,6m,2.8,0.4,1.5,472.0,,,,,,,,0.1,4,COMPLETE
60,60,0.9773289250836943,2025-06-22 17:21:44.758987,2025-06-22 17:21:51.890391,0 days 00:00:07.131404,,,,,,,,2096,0.04,3m,1.6,0.2,1.5,208,3880.0,0.02,3m,2.2,0.8,2.0,824.0,,,,,,,,,,,,,,,,,,,,,,4448,0.045000000000000005,7m,1.8,0.6000000000000001,1.0,768,4000.0,0.02,7m,1.8,0.6000000000000001,0.5,616.0,2672.0,0.015,5m,2.8,0.4,1.0,248.0,7768.0,0.035,6m,2.8,0.4,0.5,568.0,,,,,,,,0.15000000000000002,5,COMPLETE
61,61,1.0133822644114425,2025-06-22 17:21:51.956231,2025-06-22 17:21:56.201254,0 days 00:00:04.245023,,,,,,,,1712,0.045000000000000005,3m,2.0,1.0,1.5,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5184,0.015,7m,1.4,0.8,0.5,528,4984.0,0.025,3m,1.8,0.6000000000000001,0.5,840.0,,,,,,,,,,,,,,,,,,,,,,0.1,2,COMPLETE
62,62,0.9952386436385967,2025-06-22 17:21:56.241275,2025-06-22 17:22:03.005784,0 days 00:00:06.764509,,,,,,,,1304,0.05,3m,1.6,1.0,2.0,224,3296.0,0.04,3m,1.6,0.4,2.0,512.0,,,,,,,,,,,,,,,,,,,,,,4416,0.01,7m,1.2,0.8,0.5,672,4376.0,0.03,3m,2.0,0.8,0.5,728.0,,,,,,,,8192.0,0.03,6m,2.8,0.4,1.5,416.0,,,,,,,,0.1,4,COMPLETE
63,63,1.0088984319182532,2025-06-22 17:22:03.039329,2025-06-22 17:22:08.432331,0 days 00:00:05.393002,,,,,,,,1976,0.05,3m,1.8,1.0,1.5,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3776,0.04,7m,1.6,0.8,2.0,736,4984.0,0.025,3m,1.6,0.6000000000000001,0.5,664.0,,,,,,,,6696.0,0.04,6m,2.4000000000000004,0.4,1.5,456.0,,,,,,,,0.05,3,COMPLETE
64,64,1.013252416478532,2025-06-22 17:22:08.483545,2025-06-22 17:22:14.382049,0 days 00:00:05.898504,,,,,,,,2512,0.045000000000000005,3m,2.2,0.8,1.5,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5872,0.03,7m,1.2,0.8,1.0,544,3824.0,0.02,2m,2.0,0.8,0.5,544.0,,,,,,,,7256.0,0.045000000000000005,6m,3.0,0.2,1.5,560.0,,,,,,,,0.1,3,COMPLETE
65,65,1.043000369124134,2025-06-22 17:22:14.457238,2025-06-22 17:22:20.463517,0 days 00:00:06.006279,,,,,,,,1648,0.04,7m,1.4,1.0,1.0,200,2992.0,0.025,3m,1.4,0.8,2.0,912.0,,,,,,,,,,,,,,,,,,,,,,3416,0.035,7m,1.4,0.4,0.5,624,6808.0,0.015,4m,1.6,0.4,0.5,800.0,,,,,,,,6920.0,0.035,6m,2.6,0.2,1.5,320.0,,,,,,,,0.15000000000000002,4,COMPLETE
66,66,0.9979149718508693,2025-06-22 17:22:20.515819,2025-06-22 17:22:28.890142,0 days 00:00:08.374323,,,,,,,,1536,0.04,7m,1.4,1.0,1.0,200,2920.0,0.025,3m,1.4,0.8,2.0,976.0,,,,,,,,,,,,,,,,,,,,,,3280,0.035,6m,1.4,0.4,0.5,624,6888.0,0.015,4m,1.6,0.4,0.5,760.0,3200.0,0.025,3m,2.2,0.0,0.5,160.0,7408.0,0.035,6m,2.6,0.2,1.5,328.0,7560.0,0.03,9m,1.0,0.0,1.5,208.0,0.2,6,COMPLETE
67,67,1.0216096320856594,2025-06-22 17:22:28.940490,2025-06-22 17:22:35.563052,0 days 00:00:06.622562,,,,,,,,2184,0.04,7m,1.8,0.8,1.5,248,2280.0,0.03,3m,1.2,0.6000000000000001,2.0,912.0,,,,,,,,,,,,,,,,,,,,,,4136,0.035,3m,1.6,0.4,1.0,592,6688.0,0.015,4m,1.8,0.4,0.5,840.0,,,,,,,,6936.0,0.04,6m,2.8,0.2,1.5,288.0,,,,,,,,0.05,4,COMPLETE
68,68,1.0231282199364102,2025-06-22 17:22:35.608077,2025-06-22 17:22:42.851878,0 days 00:00:07.243801,,,,,,,,1768,0.04,7m,1.2,1.0,1.5,152,4464.0,0.025,3m,1.4,0.8,2.0,904.0,,,,,,,,,,,,,,,,,,,,,,3880,0.03,7m,1.4,0.4,0.5,480,6048.0,0.03,4m,2.0,0.4,0.5,696.0,1960.0,0.01,4m,2.4000000000000004,0.4,1.0,384.0,6192.0,0.035,6m,3.0,0.0,1.0,248.0,,,,,,,,0.15000000000000002,5,COMPLETE
69,69,0.9934673634236951,2025-06-22 17:22:42.882520,2025-06-22 17:22:48.511501,0 days 00:00:05.628981,,,,,,,,2840,0.045000000000000005,9m,1.0,0.6000000000000001,1.5,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3472,0.035,4m,1.8,0.2,0.5,656,7400.0,0.015,4m,1.6,0.6000000000000001,2.0,624.0,,,,,,,,6552.0,0.03,2m,2.8,0.2,1.5,352.0,,,,,,,,0.1,3,COMPLETE
70,70,0.9652488481991354,2025-06-22 17:22:48.542951,2025-06-22 17:22:54.161940,0 days 00:00:05.618989,,,,,,,,4288,0.035,8m,1.2,0.8,1.0,184,1744.0,0.02,3m,1.2,0.6000000000000001,2.0,752.0,,,,,,,,,,,,,,,,,,,,,,4496,0.04,8m,1.4,0.4,0.5,848,7528.0,0.02,5m,1.8,0.2,0.5,584.0,,,,,,,,7088.0,0.04,6m,2.6,0.4,2.0,392.0,,,,,,,,0.15000000000000002,4,COMPLETE
71,71,1.0033780631117908,2025-06-22 17:22:54.197585,2025-06-22 17:23:01.027732,0 days 00:00:06.830147,,,,,,,,1792,0.04,7m,1.2,1.0,1.5,152,4456.0,0.025,3m,1.0,0.8,2.0,904.0,,,,,,,,,,,,,,,,,,,,,,3744,0.03,7m,1.4,0.4,0.5,464,6192.0,0.03,4m,2.0,0.4,0.5,704.0,1408.0,0.01,4m,2.6,0.4,1.0,416.0,6088.0,0.035,6m,3.0,0.0,1.0,272.0,,,,,,,,0.15000000000000002,5,COMPLETE
72,72,1.0083655976737147,2025-06-22 17:23:01.092790,2025-06-22 17:23:08.263479,0 days 00:00:07.170689,,,,,,,,1400,0.04,7m,1.6,1.0,1.5,216,3576.0,0.025,3m,1.4,1.0,2.0,968.0,,,,,,,,,,,,,,,,,,,,,,3936,0.03,7m,1.2,0.4,0.5,504,5552.0,0.03,4m,2.0,0.4,0.5,672.0,1792.0,0.01,4m,2.8,0.4,1.0,352.0,6480.0,0.035,6m,3.0,0.0,1.0,256.0,,,,,,,,0.15000000000000002,5,COMPLETE
