,number,value,datetime_start,datetime_complete,duration,params_AMZN_LRCX_beta_win,params_AMZN_LRCX_stop_loss,params_AMZN_LRCX_trade_freq,params_AMZN_LRCX_z_entry,params_AMZN_LRCX_z_exit,params_AMZN_LRCX_z_stop_scaler,params_AMZN_LRCX_z_win,params_CMCSA_MAR_beta_win,params_CMCSA_MAR_stop_loss,params_CMCSA_MAR_trade_freq,params_CMCSA_MAR_z_entry,params_CMCSA_MAR_z_exit,params_CMCSA_MAR_z_stop_scaler,params_CMCSA_MAR_z_win,params_CPRT_MSFT_beta_win,params_CPRT_MSFT_stop_loss,params_CPRT_MSFT_trade_freq,params_CPRT_MSFT_z_entry,params_CPRT_MSFT_z_exit,params_CPRT_MSFT_z_stop_scaler,params_CPRT_MSFT_z_win,params_CPRT_MU_beta_win,params_CPRT_MU_stop_loss,params_CPRT_MU_trade_freq,params_CPRT_MU_z_entry,params_CPRT_MU_z_exit,params_CPRT_MU_z_stop_scaler,params_CPRT_MU_z_win,params_CSGP_CSX_beta_win,params_CSGP_CSX_stop_loss,params_CSGP_CSX_trade_freq,params_CSGP_CSX_z_entry,params_CSGP_CSX_z_exit,params_CSGP_CSX_z_stop_scaler,params_CSGP_CSX_z_win,params_CTAS_INTC_beta_win,params_CTAS_INTC_stop_loss,params_CTAS_INTC_trade_freq,params_CTAS_INTC_z_entry,params_CTAS_INTC_z_exit,params_CTAS_INTC_z_stop_scaler,params_CTAS_INTC_z_win,params_FTNT_ROST_beta_win,params_FTNT_ROST_stop_loss,params_FTNT_ROST_trade_freq,params_FTNT_ROST_z_entry,params_FTNT_ROST_z_exit,params_FTNT_ROST_z_stop_scaler,params_FTNT_ROST_z_win,params_GOOGL_MU_beta_win,params_GOOGL_MU_stop_loss,params_GOOGL_MU_trade_freq,params_GOOGL_MU_z_entry,params_GOOGL_MU_z_exit,params_GOOGL_MU_z_stop_scaler,params_GOOGL_MU_z_win,params_GOOGL_VRSK_beta_win,params_GOOGL_VRSK_stop_loss,params_GOOGL_VRSK_trade_freq,params_GOOGL_VRSK_z_entry,params_GOOGL_VRSK_z_exit,params_GOOGL_VRSK_z_stop_scaler,params_GOOGL_VRSK_z_win,params_GOOG_MU_beta_win,params_GOOG_MU_stop_loss,params_GOOG_MU_trade_freq,params_GOOG_MU_z_entry,params_GOOG_MU_z_exit,params_GOOG_MU_z_stop_scaler,params_GOOG_MU_z_win,params_GOOG_VRSK_beta_win,params_GOOG_VRSK_stop_loss,params_GOOG_VRSK_trade_freq,params_GOOG_VRSK_z_entry,params_GOOG_VRSK_z_exit,params_GOOG_VRSK_z_stop_scaler,params_GOOG_VRSK_z_win,params_buffer_capital,params_pairs_to_trade,state
10,10,0.9246970032720064,2025-06-22 17:14:03.610486,2025-06-22 17:14:07.152468,0 days 00:00:03.541982,,,,,,,,1104,0.015,3m,2.4000000000000004,1.0,2.0,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5392,0.03,3m,1.0,1.0,1.0,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1,COMPLETE
11,11,0.9792301172969262,2025-06-22 17:14:07.205471,2025-06-22 17:14:14.814456,0 days 00:00:07.608985,,,,,,,,2864,0.01,7m,1.4,0.0,2.0,800,8064.0,0.025,8m,2.0,1.0,2.0,984.0,,,,,,,,,,,,,,,,,,,,,,1080,0.05,7m,1.6,0.4,0.5,480,3624.0,0.01,3m,1.6,1.0,0.5,144.0,1240.0,0.01,2m,1.8,0.4,2.0,184.0,1616.0,0.045000000000000005,7m,2.4000000000000004,1.0,0.5,1024.0,,,,,,,,0.15000000000000002,5,COMPLETE
12,12,1.0059420668949863,2025-06-22 17:14:14.834417,2025-06-22 17:14:25.248384,0 days 00:00:10.413967,,,,,,,,3528,0.02,3m,1.6,0.6000000000000001,2.0,328,6848.0,0.03,8m,2.0,0.6000000000000001,1.0,1008.0,,,,,,,,,,,,,,,,,,,,,,4160,0.01,7m,2.6,0.0,1.0,792,1240.0,0.05,2m,1.6,1.0,0.5,984.0,3392.0,0.025,2m,1.8,0.4,0.5,512.0,4856.0,0.01,7m,2.2,0.0,2.0,480.0,7096.0,0.01,2m,3.0,0.6000000000000001,0.5,1024.0,0.2,6,COMPLETE
13,13,0.9123673381696092,2025-06-22 17:14:25.298081,2025-06-22 17:14:37.720610,0 days 00:00:12.422529,6992.0,0.01,3m,1.0,1.0,0.5,1024.0,3896,0.02,3m,1.6,0.8,2.0,336,7888.0,0.02,5m,3.0,0.4,1.5,784.0,1120.0,0.01,7m,1.0,1.0,0.5,128.0,,,,,,,,7720.0,0.01,4m,1.0,0.0,0.5,240.0,4664,0.01,7m,2.4000000000000004,0.4,1.0,856,1256.0,0.05,8m,1.8,0.8,1.0,1024.0,4072.0,0.025,5m,1.2,0.2,0.5,648.0,5192.0,0.01,4m,2.2,0.4,2.0,432.0,8192.0,0.01,2m,2.2,1.0,0.5,1008.0,0.1,9,COMPLETE
14,14,0.9577961837669665,2025-06-22 17:14:37.753858,2025-06-22 17:14:45.953802,0 days 00:00:08.199944,,,,,,,,1248,0.04,3m,1.0,0.6000000000000001,1.5,296,4632.0,0.04,3m,2.2,0.6000000000000001,1.0,480.0,,,,,,,,,,,,,,,,,,,,,,5656,0.02,7m,1.4,0.8,1.0,712,4832.0,0.04,3m,2.0,0.6000000000000001,0.5,880.0,8032.0,0.025,3m,1.6,0.4,0.5,912.0,5704.0,0.035,5m,2.0,0.6000000000000001,2.0,416.0,,,,,,,,0.2,5,COMPLETE
15,15,0.9917363519285406,2025-06-22 17:14:45.987450,2025-06-22 17:14:56.809618,0 days 00:00:10.822168,1120.0,0.05,5m,2.0,1.0,2.0,248.0,4032,0.02,4m,1.8,0.6000000000000001,0.5,432,6184.0,0.035,2m,2.2,0.4,2.0,496.0,,,,,,,,,,,,,,,,,,,,,,3600,0.015,6m,2.6,0.2,0.5,168,2480.0,0.04,2m,1.6,1.0,1.0,872.0,3960.0,0.03,4m,2.4000000000000004,0.0,0.5,488.0,3440.0,0.01,6m,1.4,0.2,1.5,424.0,8176.0,0.01,4m,2.2,0.4,0.5,1000.0,0.05,7,COMPLETE
16,16,0.9935589562696474,2025-06-22 17:14:56.838162,2025-06-22 17:15:03.198218,0 days 00:00:06.360056,,,,,,,,6384,0.045000000000000005,3m,2.2,1.0,2.0,248,4280.0,0.015,4m,1.8,0.8,1.0,888.0,,,,,,,,,,,,,,,,,,,,,,4208,0.01,7m,2.0,0.6000000000000001,1.0,832,3912.0,0.045000000000000005,3m,2.2,0.6000000000000001,1.5,872.0,,,,,,,,6616.0,0.03,7m,2.4000000000000004,0.0,2.0,584.0,,,,,,,,0.2,4,COMPLETE
17,17,1.0703813309885652,2025-06-22 17:15:03.217036,2025-06-22 17:15:18.523216,0 days 00:00:15.306180,5496.0,0.035,2m,2.0,0.6000000000000001,1.0,456.0,1936,0.025,3m,3.0,0.8,1.5,152,7000.0,0.04,8m,2.6,0.0,1.5,376.0,7880.0,0.05,4m,2.0,0.4,2.0,1000.0,5720.0,0.025,3m,2.2,1.0,2.0,160.0,1104.0,0.05,2m,2.0,0.2,2.0,1008.0,2216,0.02,9m,1.2,0.4,0.5,312,1104.0,0.045000000000000005,2m,1.4,0.8,0.5,488.0,5440.0,0.05,8m,1.4,0.6000000000000001,1.5,800.0,3592.0,0.05,7m,1.6,0.8,1.5,312.0,6224.0,0.02,3m,2.6,0.4,0.5,680.0,0.1,10,COMPLETE
18,18,1.0167223457892756,2025-06-22 17:15:18.555079,2025-06-22 17:15:32.071163,0 days 00:00:13.516084,5384.0,0.035,2m,2.2,0.6000000000000001,1.0,464.0,1872,0.03,5m,3.0,0.8,1.5,128,5176.0,0.04,9m,3.0,0.0,1.5,392.0,7696.0,0.05,4m,2.0,0.4,2.0,976.0,5632.0,0.02,3m,2.2,1.0,2.0,152.0,1896.0,0.05,2m,2.0,0.2,2.0,984.0,1896,0.025,9m,1.2,0.4,0.5,344,5520.0,0.045000000000000005,9m,1.0,0.8,1.0,392.0,7344.0,0.05,8m,1.4,0.8,1.5,792.0,3400.0,0.045000000000000005,9m,1.6,1.0,1.5,128.0,3592.0,0.05,3m,2.4000000000000004,0.2,1.0,704.0,0.1,10,COMPLETE
19,19,1.010168900608017,2025-06-22 17:15:32.105589,2025-06-22 17:15:42.885669,0 days 00:00:10.780080,5448.0,0.035,6m,2.0,0.6000000000000001,1.0,480.0,1888,0.04,4m,2.8,1.0,1.5,192,3160.0,0.04,2m,2.6,0.2,2.0,128.0,,,,,,,,,,,,,,,1256.0,0.05,5m,2.0,0.4,2.0,968.0,2008,0.02,9m,1.6,0.8,0.5,128,2648.0,0.035,4m,1.4,0.6000000000000001,0.5,472.0,5296.0,0.05,8m,2.4000000000000004,1.0,1.5,808.0,8184.0,0.05,6m,1.0,0.8,0.5,280.0,6328.0,0.02,3m,1.6,0.4,2.0,440.0,0.1,8,COMPLETE
