,number,value,datetime_start,datetime_complete,duration,params_ASML_NFLX_beta_win,params_ASML_NFLX_stop_loss,params_ASML_NFLX_trade_freq,params_ASML_NFLX_z_entry,params_ASML_NFLX_z_exit,params_ASML_NFLX_z_stop_scaler,params_ASML_NFLX_z_win,params_AVGO_COST_beta_win,params_AVGO_COST_stop_loss,params_AVGO_COST_trade_freq,params_AVGO_COST_z_entry,params_AVGO_COST_z_exit,params_AVGO_COST_z_stop_scaler,params_AVGO_COST_z_win,params_CCEP_MRVL_beta_win,params_CCEP_MRVL_stop_loss,params_CCEP_MRVL_trade_freq,params_CCEP_MRVL_z_entry,params_CCEP_MRVL_z_exit,params_CCEP_MRVL_z_stop_scaler,params_CCEP_MRVL_z_win,params_CDW_FAST_beta_win,params_CDW_FAST_stop_loss,params_CDW_FAST_trade_freq,params_CDW_FAST_z_entry,params_CDW_FAST_z_exit,params_CDW_FAST_z_stop_scaler,params_CDW_FAST_z_win,params_CDW_GEHC_beta_win,params_CDW_GEHC_stop_loss,params_CDW_GEHC_trade_freq,params_CDW_GEHC_z_entry,params_CDW_GEHC_z_exit,params_CDW_GEHC_z_stop_scaler,params_CDW_GEHC_z_win,params_DDOG_INTU_beta_win,params_DDOG_INTU_stop_loss,params_DDOG_INTU_trade_freq,params_DDOG_INTU_z_entry,params_DDOG_INTU_z_exit,params_DDOG_INTU_z_stop_scaler,params_DDOG_INTU_z_win,params_DXCM_PYPL_beta_win,params_DXCM_PYPL_stop_loss,params_DXCM_PYPL_trade_freq,params_DXCM_PYPL_z_entry,params_DXCM_PYPL_z_exit,params_DXCM_PYPL_z_stop_scaler,params_DXCM_PYPL_z_win,params_LRCX_NFLX_beta_win,params_LRCX_NFLX_stop_loss,params_LRCX_NFLX_trade_freq,params_LRCX_NFLX_z_entry,params_LRCX_NFLX_z_exit,params_LRCX_NFLX_z_stop_scaler,params_LRCX_NFLX_z_win,params_MAR_MRVL_beta_win,params_MAR_MRVL_stop_loss,params_MAR_MRVL_trade_freq,params_MAR_MRVL_z_entry,params_MAR_MRVL_z_exit,params_MAR_MRVL_z_stop_scaler,params_MAR_MRVL_z_win,params_ROP_ROST_beta_win,params_ROP_ROST_stop_loss,params_ROP_ROST_trade_freq,params_ROP_ROST_z_entry,params_ROP_ROST_z_exit,params_ROP_ROST_z_stop_scaler,params_ROP_ROST_z_win,params_buffer_capital,params_pairs_to_trade,state
64,64,0.9313741921826325,2025-06-22 17:30:24.687110,2025-06-22 17:30:35.371655,0 days 00:00:10.684545,2608.0,0.02,5m,1.2,0.2,1.0,1000.0,,,,,,,,3632.0,0.05,5m,2.4000000000000004,0.2,0.5,408.0,4032.0,0.025,2m,2.8,0.6000000000000001,0.5,344.0,1768.0,0.04,7m,1.6,1.0,1.0,352.0,7968,0.01,5m,2.8,0.6000000000000001,0.5,368,,,,,,,,1688.0,0.015,4m,2.8,1.0,2.0,600.0,2672.0,0.035,2m,1.0,0.4,1.5,168.0,5448.0,0.02,7m,1.8,0.4,1.0,912.0,0.1,8,COMPLETE
65,65,1.0494258044617526,2025-06-22 17:30:35.423849,2025-06-22 17:30:45.498969,0 days 00:00:10.075120,2336.0,0.025,5m,1.8,0.0,1.0,912.0,6040.0,0.01,8m,2.6,0.8,0.5,136.0,4712.0,0.045000000000000005,6m,2.2,0.4,0.5,280.0,5992.0,0.02,6m,3.0,0.6000000000000001,0.5,384.0,1264.0,0.045000000000000005,9m,1.6,1.0,1.0,456.0,7736,0.02,5m,2.2,0.4,0.5,392,2368.0,0.02,5m,2.8,0.6000000000000001,1.5,656.0,1792.0,0.03,4m,2.6,1.0,2.0,560.0,1368.0,0.04,7m,1.4,0.2,2.0,408.0,5976.0,0.015,9m,2.2,0.4,1.0,816.0,0.05,10,COMPLETE
66,66,1.0459305653371302,2025-06-22 17:30:45.528949,2025-06-22 17:30:55.053703,0 days 00:00:09.524754,1864.0,0.015,5m,1.4,0.2,1.0,848.0,,,,,,,,5832.0,0.05,2m,2.8,0.2,0.5,520.0,4360.0,0.03,5m,2.8,0.4,0.5,656.0,1048.0,0.05,7m,1.8,1.0,1.0,392.0,7256,0.015,9m,2.4000000000000004,0.2,0.5,216,,,,,,,,1280.0,0.035,7m,3.0,0.8,2.0,648.0,2008.0,0.035,6m,1.2,0.4,1.5,232.0,4472.0,0.025,3m,2.0,0.6000000000000001,1.0,960.0,0.15000000000000002,8,COMPLETE
67,67,0.9424482214106962,2025-06-22 17:30:55.102167,2025-06-22 17:31:04.228376,0 days 00:00:09.126209,1224.0,0.03,8m,1.4,0.0,1.0,800.0,,,,,,,,2208.0,0.04,4m,2.4000000000000004,0.0,1.0,624.0,3024.0,0.035,6m,3.0,0.8,1.0,368.0,2512.0,0.045000000000000005,7m,1.2,0.8,0.5,320.0,6928,0.015,4m,2.6,0.4,1.0,136,7408.0,0.035,7m,1.8,0.8,2.0,128.0,1552.0,0.025,6m,2.6,1.0,1.5,816.0,2896.0,0.04,6m,1.0,0.0,1.5,352.0,5488.0,0.01,7m,2.0,0.4,1.5,656.0,0.1,9,COMPLETE
68,68,1.0286597898773415,2025-06-22 17:31:04.256172,2025-06-22 17:31:13.201859,0 days 00:00:08.945687,3296.0,0.025,5m,1.6,0.2,0.5,648.0,,,,,,,,5448.0,0.045000000000000005,7m,2.6,0.8,1.0,432.0,4608.0,0.015,4m,3.0,0.6000000000000001,0.5,240.0,4928.0,0.04,7m,1.8,1.0,1.0,256.0,7528,0.02,5m,2.8,0.6000000000000001,0.5,256,,,,,,,,2056.0,0.035,4m,2.8,1.0,2.0,688.0,1328.0,0.05,9m,1.0,0.2,1.0,288.0,4592.0,0.03,4m,1.2,0.6000000000000001,1.0,1024.0,0.05,8,COMPLETE
69,69,0.9666840390959802,2025-06-22 17:31:13.254945,2025-06-22 17:31:22.464751,0 days 00:00:09.209806,2672.0,0.035,6m,1.4,0.0,1.0,984.0,,,,,,,,6312.0,0.05,5m,2.8,0.4,0.5,216.0,6552.0,0.025,5m,2.6,0.6000000000000001,0.5,512.0,3032.0,0.05,9m,2.0,0.8,1.5,184.0,8008,0.015,8m,2.4000000000000004,0.4,0.5,312,3688.0,0.01,4m,1.2,0.2,1.5,896.0,2296.0,0.03,4m,2.8,0.8,2.0,768.0,2032.0,0.035,8m,1.2,0.4,1.5,160.0,5024.0,0.025,7m,2.2,0.4,0.5,792.0,0.1,9,COMPLETE
70,70,0.9899578699305591,2025-06-22 17:31:22.515629,2025-06-22 17:31:32.463549,0 days 00:00:09.947920,2352.0,0.02,3m,1.2,0.2,1.0,872.0,,,,,,,,7328.0,0.035,3m,3.0,0.2,1.5,352.0,3752.0,0.025,8m,3.0,0.4,0.5,312.0,1688.0,0.04,6m,2.2,1.0,1.0,528.0,7656,0.01,5m,2.6,0.2,0.5,272,,,,,,,,1200.0,0.025,3m,2.6,0.6000000000000001,2.0,720.0,3288.0,0.045000000000000005,4m,1.6,0.2,2.0,232.0,1056.0,0.02,7m,1.8,0.8,2.0,232.0,0.15000000000000002,8,COMPLETE
71,71,1.0211095235023893,2025-06-22 17:31:32.504283,2025-06-22 17:31:42.667771,0 days 00:00:10.163488,2952.0,0.025,5m,1.8,0.0,1.0,904.0,6320.0,0.01,8m,2.8,0.8,0.5,144.0,4656.0,0.045000000000000005,6m,2.2,0.4,0.5,272.0,5528.0,0.015,6m,3.0,0.6000000000000001,0.5,416.0,1360.0,0.045000000000000005,9m,1.6,1.0,1.0,464.0,7240,0.02,5m,2.2,0.4,0.5,392,2408.0,0.02,5m,3.0,0.6000000000000001,1.5,680.0,1792.0,0.03,4m,2.6,1.0,2.0,648.0,1376.0,0.04,7m,1.4,0.2,2.0,488.0,5928.0,0.015,9m,2.2,0.4,1.0,824.0,0.05,10,COMPLETE
72,72,0.9802707232028467,2025-06-22 17:31:42.702927,2025-06-22 17:31:52.970376,0 days 00:00:10.267449,2432.0,0.03,5m,1.8,0.0,1.0,824.0,6120.0,0.025,8m,2.6,0.6000000000000001,0.5,136.0,3216.0,0.05,6m,2.2,0.2,0.5,272.0,6064.0,0.02,6m,2.8,0.6000000000000001,0.5,376.0,1280.0,0.045000000000000005,9m,1.6,1.0,1.0,408.0,7800,0.02,5m,2.0,0.4,0.5,416,1792.0,0.02,5m,2.6,0.6000000000000001,1.0,504.0,1936.0,0.03,4m,2.6,1.0,2.0,560.0,1600.0,0.04,7m,1.0,0.4,2.0,368.0,6264.0,0.015,9m,2.2,0.4,1.0,904.0,0.05,10,COMPLETE
73,73,0.9582192338814007,2025-06-22 17:31:53.021266,2025-06-22 17:32:03.735739,0 days 00:00:10.714473,7464.0,0.025,5m,1.8,0.0,1.0,928.0,2744.0,0.02,4m,2.4000000000000004,1.0,1.0,496.0,4528.0,0.045000000000000005,6m,1.8,0.6000000000000001,0.5,312.0,7256.0,0.015,6m,3.0,0.6000000000000001,0.5,440.0,1944.0,0.045000000000000005,9m,1.4,1.0,1.0,456.0,7328,0.02,5m,2.2,0.4,0.5,168,4992.0,0.025,5m,2.2,0.4,1.5,616.0,3392.0,0.03,4m,2.8,1.0,2.0,600.0,1096.0,0.035,7m,2.2,0.0,2.0,312.0,5952.0,0.02,9m,2.2,0.4,1.0,840.0,0.05,10,COMPLETE
74,74,0.9519673741875709,2025-06-22 17:32:03.768198,2025-06-22 17:32:14.854823,0 days 00:00:11.086625,3128.0,0.025,9m,1.6,0.2,1.0,296.0,,,,,,,,3856.0,0.05,2m,2.0,0.4,0.5,480.0,4960.0,0.03,6m,2.8,0.8,0.5,488.0,1520.0,0.05,8m,1.6,1.0,1.0,360.0,7680,0.015,6m,2.4000000000000004,0.4,0.5,544,3208.0,0.015,2m,2.8,0.8,1.5,728.0,1600.0,0.035,9m,2.6,1.0,2.0,512.0,1992.0,0.04,7m,3.0,0.2,1.5,416.0,5592.0,0.015,5m,2.0,0.4,1.0,808.0,0.1,9,COMPLETE
75,75,1.0479451303659837,2025-06-22 17:32:14.893334,2025-06-22 17:32:24.506661,0 days 00:00:09.613327,1592.0,0.03,7m,1.4,0.0,1.0,784.0,,,,,,,,5048.0,0.01,5m,1.8,0.2,0.5,400.0,4272.0,0.02,9m,1.8,0.6000000000000001,2.0,640.0,2176.0,0.045000000000000005,2m,1.8,0.8,1.0,512.0,7024,0.02,5m,2.6,0.4,0.5,344,2088.0,0.015,9m,1.8,0.6000000000000001,2.0,296.0,6920.0,0.025,8m,2.0,0.8,2.0,560.0,2440.0,0.035,5m,1.6,0.8,2.0,168.0,3824.0,0.01,9m,2.4000000000000004,0.4,1.0,736.0,0.05,9,COMPLETE
76,76,0.9673245790073932,2025-06-22 17:32:24.554314,2025-06-22 17:32:32.794368,0 days 00:00:08.240054,5488.0,0.025,5m,1.6,0.2,1.0,712.0,,,,,,,,,,,,,,,3328.0,0.025,5m,3.0,0.8,0.5,376.0,1312.0,0.035,9m,1.6,1.0,1.0,568.0,8176,0.05,3m,2.4000000000000004,0.2,0.5,440,,,,,,,,2568.0,0.035,6m,2.4000000000000004,1.0,2.0,624.0,5072.0,0.045000000000000005,3m,1.2,0.4,1.0,216.0,5184.0,0.03,7m,2.0,0.4,1.0,696.0,0.1,7,COMPLETE
77,77,0.9786881549509238,2025-06-22 17:32:32.829388,2025-06-22 17:32:46.218259,0 days 00:00:13.388871,2296.0,0.035,5m,1.6,0.0,1.0,872.0,7656.0,0.04,2m,2.6,0.2,1.5,776.0,6000.0,0.04,6m,2.4000000000000004,0.0,2.0,200.0,5952.0,0.035,2m,2.8,0.6000000000000001,0.5,304.0,1720.0,0.04,7m,1.8,0.8,1.0,376.0,7888,0.02,8m,2.2,0.4,1.0,496,4104.0,0.025,3m,2.2,0.4,1.0,1024.0,8176.0,0.03,4m,2.8,0.6000000000000001,1.5,744.0,1816.0,0.05,6m,1.4,1.0,1.5,256.0,6320.0,0.02,6m,1.8,0.6000000000000001,1.5,752.0,0.05,10,COMPLETE
78,78,0.9671357500063823,2025-06-22 17:32:46.251566,2025-06-22 17:32:53.560814,0 days 00:00:07.309248,2608.0,0.02,4m,3.0,0.2,1.0,576.0,,,,,,,,,,,,,,,2808.0,0.03,6m,3.0,0.8,1.0,240.0,1024.0,0.045000000000000005,7m,2.0,1.0,1.5,432.0,3104,0.015,5m,2.8,0.6000000000000001,0.5,384,,,,,,,,1544.0,0.03,4m,3.0,1.0,2.0,416.0,4000.0,0.035,8m,1.0,0.2,1.5,320.0,4768.0,0.025,7m,2.4000000000000004,1.0,1.0,928.0,0.2,7,COMPLETE
79,79,1.0121772576305916,2025-06-22 17:32:53.614370,2025-06-22 17:33:02.423161,0 days 00:00:08.808791,1880.0,0.03,7m,1.2,0.4,0.5,912.0,,,,,,,,3256.0,0.05,3m,2.2,0.4,0.5,280.0,4128.0,0.025,5m,1.2,0.6000000000000001,0.5,400.0,5552.0,0.05,9m,2.2,1.0,1.0,472.0,6840,0.01,5m,2.6,0.4,1.5,360,,,,,,,,3056.0,0.04,4m,2.6,0.8,2.0,696.0,2736.0,0.04,6m,1.4,0.6000000000000001,2.0,464.0,2992.0,0.015,4m,2.0,0.4,1.0,888.0,0.1,8,COMPLETE
80,80,0.9416093588146422,2025-06-22 17:33:02.454321,2025-06-22 17:33:13.890638,0 days 00:00:11.436317,1376.0,0.03,5m,1.8,0.0,1.0,736.0,,,,,,,,4656.0,0.045000000000000005,8m,2.0,0.2,0.5,544.0,4712.0,0.02,6m,3.0,0.4,0.5,528.0,3536.0,0.045000000000000005,7m,1.8,0.8,0.5,328.0,6600,0.045000000000000005,9m,2.4000000000000004,0.4,2.0,320,1048.0,0.035,3m,1.4,0.0,1.5,472.0,1208.0,0.025,7m,1.6,0.8,2.0,864.0,1528.0,0.04,2m,1.0,0.4,1.5,152.0,5432.0,0.03,2m,2.2,0.2,1.0,848.0,0.15000000000000002,9,COMPLETE
81,81,0.9710206712175943,2025-06-22 17:33:13.925536,2025-06-22 17:33:23.704085,0 days 00:00:09.778549,1592.0,0.03,7m,1.4,0.0,1.0,784.0,,,,,,,,4976.0,0.01,5m,2.0,0.2,0.5,400.0,4240.0,0.02,9m,1.8,0.6000000000000001,2.0,632.0,2088.0,0.045000000000000005,2m,1.8,0.8,1.0,544.0,7056,0.02,5m,2.6,0.4,0.5,352,2064.0,0.015,9m,1.8,0.6000000000000001,2.0,288.0,7472.0,0.02,8m,2.0,0.8,2.0,552.0,2376.0,0.035,5m,1.8,0.8,2.0,176.0,3984.0,0.01,9m,2.4000000000000004,0.4,1.0,752.0,0.05,9,COMPLETE
82,82,1.0490427627331715,2025-06-22 17:33:23.764041,2025-06-22 17:33:35.734537,0 days 00:00:11.970496,1624.0,0.03,7m,1.4,0.0,1.0,808.0,,,,,,,,5272.0,0.02,5m,1.8,0.2,0.5,360.0,3904.0,0.015,9m,1.8,0.6000000000000001,2.0,688.0,1256.0,0.045000000000000005,2m,1.8,0.8,1.0,496.0,7448,0.02,5m,2.6,0.4,0.5,408,2392.0,0.02,9m,1.8,0.6000000000000001,2.0,392.0,5568.0,0.025,8m,2.0,0.6000000000000001,2.0,576.0,2504.0,0.03,5m,1.2,0.8,2.0,128.0,3720.0,0.01,9m,2.2,0.4,1.0,736.0,0.05,9,COMPLETE
83,83,0.9938170410533935,2025-06-22 17:33:35.834372,2025-06-22 17:33:49.022105,0 days 00:00:13.187733,1936.0,0.025,7m,1.2,0.0,1.0,432.0,5144.0,0.01,3m,1.8,0.8,0.5,296.0,5680.0,0.025,5m,1.8,0.2,0.5,352.0,3656.0,0.015,9m,2.0,0.6000000000000001,2.0,696.0,1224.0,0.05,2m,2.0,1.0,1.0,400.0,7440,0.02,5m,2.8,0.4,0.5,408,3216.0,0.02,9m,2.0,0.8,2.0,344.0,5560.0,0.025,8m,1.8,0.6000000000000001,2.0,496.0,2168.0,0.03,5m,1.2,1.0,2.0,128.0,6024.0,0.01,9m,2.2,0.4,1.0,792.0,0.05,10,COMPLETE
84,84,0.9394366832213952,2025-06-22 17:33:49.084604,2025-06-22 17:33:59.069455,0 days 00:00:09.984851,2320.0,0.03,8m,1.6,0.2,1.0,816.0,,,,,,,,6200.0,0.015,3m,1.6,0.0,0.5,912.0,3480.0,0.01,9m,1.8,0.8,0.5,568.0,1512.0,0.05,2m,1.6,0.8,1.0,504.0,7696,0.015,5m,2.6,0.4,0.5,592,,,,,,,,1776.0,0.03,8m,2.2,0.6000000000000001,2.0,584.0,1752.0,0.03,9m,1.0,0.8,2.0,208.0,4408.0,0.015,3m,2.2,0.4,1.0,656.0,0.1,8,COMPLETE
85,85,0.9879407246729484,2025-06-22 17:33:59.105203,2025-06-22 17:34:07.528237,0 days 00:00:08.423034,2096.0,0.035,7m,1.4,0.4,1.0,856.0,,,,,,,,5448.0,0.02,4m,3.0,0.4,0.5,376.0,3984.0,0.01,5m,1.6,0.6000000000000001,0.5,680.0,1224.0,0.045000000000000005,7m,1.8,1.0,1.0,456.0,8000,0.025,5m,1.2,0.4,0.5,456,,,,,,,,4816.0,0.025,6m,2.0,0.6000000000000001,2.0,672.0,2552.0,0.03,6m,1.0,0.8,1.5,248.0,3456.0,0.01,7m,2.0,0.2,1.0,704.0,0.05,8,COMPLETE
86,86,1.0222498002026297,2025-06-22 17:34:07.558203,2025-06-22 17:34:16.839576,0 days 00:00:09.281373,1752.0,0.03,5m,1.6,0.0,1.5,952.0,,,,,,,,5184.0,0.03,9m,2.6,0.8,1.5,312.0,3888.0,0.03,3m,2.2,0.6000000000000001,0.5,728.0,1664.0,0.04,7m,1.6,1.0,1.0,592.0,7552,0.02,5m,2.4000000000000004,0.4,0.5,400,2480.0,0.03,9m,1.4,0.6000000000000001,2.0,416.0,6136.0,0.03,4m,2.4000000000000004,0.6000000000000001,2.0,640.0,2152.0,0.025,6m,1.2,0.6000000000000001,0.5,280.0,4880.0,0.025,8m,1.8,0.4,1.0,608.0,0.1,9,COMPLETE
87,87,0.9884118957152772,2025-06-22 17:34:16.891041,2025-06-22 17:34:26.506028,0 days 00:00:09.614987,1256.0,0.025,5m,1.4,0.2,1.0,992.0,,,,,,,,2880.0,0.03,3m,1.6,0.2,0.5,600.0,3216.0,0.035,5m,3.0,0.8,1.0,608.0,1928.0,0.045000000000000005,9m,2.0,0.8,1.0,496.0,7240,0.025,6m,2.6,0.6000000000000001,0.5,432,5816.0,0.025,5m,1.6,1.0,1.5,216.0,5896.0,0.03,4m,1.8,0.4,2.0,616.0,1256.0,0.035,7m,1.0,0.4,1.0,192.0,5824.0,0.02,7m,2.6,0.0,1.0,880.0,0.05,9,COMPLETE
88,88,0.9718939668365157,2025-06-22 17:34:26.541344,2025-06-22 17:34:33.234436,0 days 00:00:06.693092,2496.0,0.03,5m,1.2,0.0,1.0,728.0,,,,,,,,,,,,,,,2312.0,0.03,7m,2.8,0.4,0.5,480.0,4984.0,0.05,7m,1.4,1.0,1.0,608.0,7400,0.01,8m,2.8,0.4,0.5,328,,,,,,,,1504.0,0.035,4m,2.2,1.0,2.0,776.0,1928.0,0.025,8m,1.2,0.6000000000000001,1.5,144.0,5144.0,0.015,9m,2.2,0.4,0.5,944.0,0.1,7,COMPLETE
89,89,0.9544519599073232,2025-06-22 17:34:33.272719,2025-06-22 17:34:43.236863,0 days 00:00:09.964144,3856.0,0.035,7m,1.2,0.2,1.0,688.0,6624.0,0.03,4m,3.0,0.8,1.0,848.0,3928.0,0.05,3m,3.0,0.2,1.0,440.0,6856.0,0.015,6m,3.0,0.6000000000000001,0.5,544.0,1504.0,0.035,6m,1.8,0.6000000000000001,1.0,560.0,8056,0.015,4m,2.4000000000000004,0.2,0.5,528,4024.0,0.02,9m,1.0,0.4,2.0,592.0,2064.0,0.02,6m,2.4000000000000004,0.6000000000000001,2.0,664.0,1568.0,0.045000000000000005,6m,1.2,1.0,1.5,216.0,2440.0,0.025,7m,1.6,0.2,1.5,560.0,0.15000000000000002,10,COMPLETE
90,90,0.9336001453152736,2025-06-22 17:34:43.290725,2025-06-22 17:34:51.767069,0 days 00:00:08.476344,2960.0,0.015,6m,1.4,0.4,1.0,536.0,,,,,,,,,,,,,,,5112.0,0.025,5m,3.0,0.8,0.5,584.0,6176.0,0.05,2m,1.2,1.0,1.0,432.0,6344,0.02,3m,2.0,0.6000000000000001,1.0,232,,,,,,,,5232.0,0.025,4m,2.8,0.4,2.0,536.0,2808.0,0.03,5m,2.0,0.4,2.0,640.0,6832.0,0.02,7m,2.4000000000000004,0.4,1.0,984.0,0.2,7,COMPLETE
91,91,1.0530616044005607,2025-06-22 17:34:51.792951,2025-06-22 17:35:00.381087,0 days 00:00:08.588136,1560.0,0.03,7m,1.4,0.0,1.0,776.0,,,,,,,,4960.0,0.01,5m,1.8,0.2,0.5,400.0,4424.0,0.02,9m,1.8,0.6000000000000001,2.0,328.0,1200.0,0.045000000000000005,2m,1.8,0.8,1.0,504.0,7080,0.02,5m,2.6,0.4,0.5,304,1600.0,0.015,9m,1.8,0.6000000000000001,2.0,288.0,6776.0,0.025,8m,2.0,0.8,2.0,576.0,2480.0,0.035,5m,1.6,0.8,2.0,176.0,3712.0,0.01,9m,2.4000000000000004,0.4,1.0,744.0,0.05,9,COMPLETE
92,92,0.9735377532030604,2025-06-22 17:35:00.434760,2025-06-22 17:35:08.746124,0 days 00:00:08.311364,1536.0,0.03,7m,1.4,0.0,1.0,784.0,,,,,,,,4344.0,0.05,5m,1.0,0.2,0.5,368.0,4552.0,0.02,9m,2.0,0.6000000000000001,2.0,312.0,1208.0,0.045000000000000005,2m,1.8,0.8,1.0,536.0,7792,0.025,5m,2.6,0.4,0.5,296,,,,,,,,6520.0,0.025,8m,2.0,0.6000000000000001,2.0,720.0,3256.0,0.035,5m,1.6,0.8,2.0,256.0,3688.0,0.01,9m,2.0,0.4,1.0,776.0,0.05,8,COMPLETE
93,93,1.0574046106507582,2025-06-22 17:35:08.794068,2025-06-22 17:35:17.774611,0 days 00:00:08.980543,2208.0,0.03,7m,1.6,0.0,1.0,888.0,,,,,,,,4800.0,0.015,5m,1.8,0.0,0.5,248.0,3776.0,0.03,9m,1.8,0.6000000000000001,2.0,272.0,1424.0,0.045000000000000005,2m,1.6,0.8,1.0,472.0,7112,0.02,5m,2.8,0.4,0.5,184,1640.0,0.015,9m,1.8,0.6000000000000001,2.0,344.0,6856.0,0.03,8m,1.8,0.8,2.0,448.0,2312.0,0.02,5m,1.4,1.0,2.0,192.0,3280.0,0.01,9m,2.0,0.4,1.0,680.0,0.05,9,COMPLETE
94,94,0.9490622648622405,2025-06-22 17:35:17.808468,2025-06-22 17:35:27.341010,0 days 00:00:09.532542,2256.0,0.025,7m,1.6,0.0,1.0,944.0,4104.0,0.045000000000000005,8m,2.6,0.2,2.0,592.0,4728.0,0.015,3m,2.0,0.0,0.5,264.0,3528.0,0.03,9m,1.6,0.6000000000000001,2.0,264.0,1032.0,0.045000000000000005,8m,1.6,0.8,1.0,472.0,7120,0.02,5m,2.8,0.4,0.5,272,1344.0,0.01,8m,2.0,0.6000000000000001,2.0,240.0,7312.0,0.03,8m,1.6,0.8,2.0,696.0,2248.0,0.015,3m,1.4,1.0,1.5,192.0,3280.0,0.015,9m,2.0,0.6000000000000001,1.0,680.0,0.1,10,COMPLETE
95,95,0.955568401683224,2025-06-22 17:35:27.375880,2025-06-22 17:35:36.481978,0 days 00:00:09.106098,2712.0,0.03,5m,1.8,0.6000000000000001,1.0,888.0,,,,,,,,5656.0,0.01,5m,1.6,0.0,0.5,240.0,3672.0,0.025,5m,2.0,0.6000000000000001,2.0,184.0,1424.0,0.04,2m,1.6,0.6000000000000001,1.0,416.0,7664,0.015,5m,2.8,0.4,0.5,176,,,,,,,,6664.0,0.03,3m,1.8,0.8,2.0,304.0,2328.0,0.015,6m,1.8,1.0,2.0,304.0,6416.0,0.01,7m,2.2,0.4,1.0,832.0,0.05,8,COMPLETE
96,96,0.9924440783232633,2025-06-22 17:35:36.513559,2025-06-22 17:35:45.460261,0 days 00:00:08.946702,3488.0,0.035,5m,2.0,0.0,1.5,848.0,,,,,,,,4232.0,0.015,4m,2.2,0.0,0.5,472.0,8136.0,0.03,4m,1.4,0.6000000000000001,0.5,328.0,2488.0,0.05,5m,1.6,1.0,1.0,440.0,6624,0.02,5m,3.0,0.4,0.5,208,1536.0,0.015,9m,2.0,0.8,1.5,352.0,1192.0,0.035,9m,1.8,0.8,1.0,440.0,1888.0,0.02,6m,1.6,1.0,1.5,232.0,2824.0,0.05,7m,2.0,0.2,1.0,672.0,0.05,9,COMPLETE
97,97,0.9659037732912028,2025-06-22 17:35:45.503085,2025-06-22 17:35:55.054894,0 days 00:00:09.551809,2112.0,0.025,3m,1.6,0.2,1.0,656.0,,,,,,,,6112.0,0.045000000000000005,3m,2.8,0.0,1.0,176.0,4840.0,0.035,6m,1.8,0.4,2.0,280.0,1792.0,0.045000000000000005,7m,1.4,1.0,1.0,384.0,7872,0.025,5m,2.8,0.4,0.5,192,,,,,,,,7832.0,0.03,4m,2.6,1.0,2.0,360.0,1632.0,0.035,4m,1.4,0.4,2.0,264.0,5624.0,0.03,2m,2.8,0.4,1.0,800.0,0.1,8,COMPLETE
98,98,0.8209109439724492,2025-06-22 17:35:55.066914,2025-06-22 17:36:05.102548,0 days 00:00:10.035634,2016.0,0.03,9m,1.6,0.0,1.0,888.0,2296.0,0.02,6m,2.0,0.6000000000000001,0.5,264.0,3440.0,0.05,6m,3.0,0.6000000000000001,0.5,416.0,1440.0,0.03,8m,2.2,0.8,1.5,424.0,5888.0,0.04,3m,2.0,0.8,1.0,344.0,7584,0.01,5m,2.6,0.4,0.5,240,1888.0,0.015,4m,1.6,0.4,0.5,184.0,1024.0,0.035,8m,2.6,1.0,0.5,448.0,3048.0,0.01,6m,1.0,0.6000000000000001,1.5,552.0,6144.0,0.015,5m,1.8,0.6000000000000001,1.0,624.0,0.1,10,COMPLETE
99,99,0.9392851325934092,2025-06-22 17:36:05.143723,2025-06-22 17:36:16.243262,0 days 00:00:11.099539,1840.0,0.025,4m,2.6,0.0,1.0,208.0,,,,,,,,3840.0,0.04,3m,2.6,0.2,0.5,312.0,1784.0,0.025,2m,3.0,0.2,0.5,352.0,1552.0,0.05,7m,1.8,1.0,1.0,520.0,6872,0.015,2m,2.6,0.2,0.5,152,1528.0,0.01,6m,2.2,0.6000000000000001,2.0,256.0,7112.0,0.03,4m,1.6,0.8,2.0,680.0,2640.0,0.05,5m,2.6,1.0,1.5,880.0,4080.0,0.045000000000000005,7m,2.0,0.4,0.5,712.0,0.05,9,COMPLETE
