date,time,PRICE_ADP_ADP_ON_PAYX,PRICE_PAYX_ADP_ON_PAYX,BETA_ADP_ON_PAYX,SPREAD_ADP_ON_PAYX,Z_ADP_ON_PAYX,market_close,SIGNAL_ADP_ON_PAYX,POS_ADP_ON_PAYX,POS_BETA_ADP_ON_PAYX,PAIR_BASE_ADP_ON_PAYX,PAIR_RET_ADP_ON_PAYX,SL_ADP_ON_PAYX,LOSS_ADP_ON_PAYX,COOLDOWN_ADP_ON_PAYX,CAPITAL_ADP_ON_PAYX,REMAINING_CAPITAL,CAPITAL,PORT_RET
2025-02-25,14:29:00.000000000,313.03,149.89,1.1740273889156212,137.05503467543753,-0.5769323497636063,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:30:00.000000000,311.39,150.185,1.1709636272627242,135.52882763954776,-0.5963929575006272,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:31:00.000000000,311.39,150.13,1.167527704657116,136.10906569982717,-0.5866575914418083,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:32:00.000000000,312.115,150.415,1.164395121599116,136.972507784669,-0.5729849210756419,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:33:00.000000000,314.02,150.97,1.1647489530589163,138.17785055669538,-0.5545510682586658,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:34:00.000000000,313.84,150.53,1.1661213938136077,138.30374658923762,-0.5511206204253998,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:35:00.000000000,313.46,150.67,1.164300490216219,138.03484513912227,-0.5531866317425675,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:36:00.000000000,313.025,150.63,1.16105759243018,138.13489485224196,-0.5501096288865268,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:37:00.000000000,313.025,150.56,1.1587376427746283,138.56546050385194,-0.5424147851881144,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:38:00.000000000,313.025,150.82,1.1561950817673066,138.6476577678548,-0.5395821725311944,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:39:00.000000000,313.085,151.0,1.15135509348612,139.23038088359584,-0.5297403784218985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:40:00.000000000,313.04,150.865,1.1484906324984725,139.77296072811797,-0.5204495513563349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:41:00.000000000,313.045,150.82,1.1460178641274368,140.2025857323,-0.5127323018310943,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:42:00.000000000,313.05,150.86,1.1439769786816496,140.46963299608635,-0.5072894073881429,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:43:00.000000000,312.74,150.705,1.1414114848070733,140.72358218215,-0.5020226211359933,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:44:00.000000000,312.8,150.84,1.137301213303638,141.24948498527925,-0.4929152058543764,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:45:00.000000000,312.91,150.98,1.1334898571424055,141.77570136863966,-0.4837891819321538,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-02-25,14:46:00.000000000,312.95,150.87,1.1309934516431899,142.31701795059192,-0.4744347568529085,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
